doi,type,query_name,query_value,publication,publisher,publication_date,database,title,url,abstract,id,status
10.1186/s13677-020-00211-9,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',Journal of Cloud Computing,Springer,2020-11-25,springer,flexible computation offloading in a fuzzy-based mobile edge orchestrator for iot applications,http://dx.doi.org/10.1186/s13677-020-00211-9,"In the Internet of Things (IoT) era, the capacity-limited Internet and uncontrollable service delays for various new applications, such as video streaming analysis and augmented reality, are challenges. Cloud computing systems, also known as a solution that offloads energy-consuming computation of IoT applications to a cloud server, cannot meet the delay-sensitive and context-aware service requirements. To address this issue, an edge computing system provides timely and context-aware services by bringing the computations and storage closer to the user. The dynamic flow of requests that can be efficiently processed is a significant challenge for edge and cloud computing systems. To improve the performance of IoT systems, the mobile edge orchestrator (MEO), which is an application placement controller, was designed by integrating end mobile devices with edge and cloud computing systems. In this paper, we propose a flexible computation offloading method in a fuzzy-based MEO for IoT applications in order to improve the efficiency in computational resource management. Considering the network, computation resources, and task requirements, a fuzzy-based MEO allows edge workload orchestration actions to decide whether to offload a mobile user to local edge, neighboring edge, or cloud servers. Additionally, increasing packet sizes will affect the failed-task ratio when the number of mobile devices increases. To reduce failed tasks because of transmission collisions and to improve service times for time-critical tasks, we define a new input crisp value, and a new output decision for a fuzzy-based MEO. Using the EdgeCloudSim simulator, we evaluate our proposal with four benchmark algorithms in augmented reality, healthcare, compute-intensive, and infotainment applications. Simulation results show that our proposal provides better results in terms of WLAN delay, service times, the number of failed tasks, and VM utilization.",1,unknown
10.1109/netsoft48620.2020.9165443,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',2020 6th IEEE Conference on Network Softwarization (NetSoft),IEEE,2020-07-03,ieeexplore,ani: abstracted network inventory for streamlined service placement in distributed clouds,https://ieeexplore.ieee.org/document/9165443/,"Scenarios for distributed cloud with multiple edge clouds and centralized data centers are being investigated as the computing and networking underpinnings of next-generation network services such as augmented reality, self-driving vehicles, drones, and more. In such distributed environments, service providers will typically face tens, hundreds, or thousands of compute location candidates (edge, regional, and central) where network service components can be placed. To take optimized placement decisions of network services and execute the management workflows, orchestration systems require up-to-date and accurate resource availability representation, in the form of a network inventory that can be immense in distributed cloud scenarios. As a result, the service management and placement problems may become not tractable. In this work, we propose the Abstracted Network Inventory (ANI) component to generate service-optimized network views over the same network inventory. ANI implements a novel abstraction method where network service requirements are used as an input to generate an optimized abstract network inventory representation, called Logical Network Inventory (LNI). We also provide a formal definition of the network model and problem statement along with the development of three algorithms to efficiently build an LNI. Results show the potential benefits of using an LNI to streamline service management and placement: (i) the relationship between compute nodes and links (i.e., density) in an LNI is reduced between 1.8-2.7x compared to a full network inventory topology; and (ii) up to 50% of time can be saved for service placement after abstracting around 20% of the compute nodes.",2,unknown
10.1109/tnsm.2021.3050009,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',IEEE Transactions on Network and Service Management,IEEE,2021-03-01,ieeexplore,managing chains of application functions over multi-technology edge networks,https://ieeexplore.ieee.org/document/9316983/,"Next-generation networks are expected to provide higher data rates and ultra-low latency in support of demanding applications, such as virtual and augmented reality, robots and drones, etc. To meet these stringent requirements of applications, edge computing constitutes a central piece of the solution architecture wherein functional components of an application can be deployed over the edge network to reduce bandwidth demand over the core network while providing ultra-low latency communication to users. In this article, we provide solutions to resource orchestration and management for applications over a virtualized client-edge-server infrastructure. We investigate the problem of optimal placement of pipelines of application functions (virtual service chains) and the steering of traffic through them, over a multi-technology edge network model consisting of both wired and wireless millimeter-wave (mmWave) links. This problem is NP-hard. We provide a comprehensive “microscopic” binary integer program to model the system, along with a heuristic that is one order of magnitude faster than optimally solving the problem. Extensive evaluations demonstrate the benefits of orchestrating virtual service chains (by distributing them over the edge network) compared to a baseline “middlebox” approach in terms of overall admissible virtual capacity. Moreover, we observe significant gains when deploying a small number of mmWave links that complement the Wire physical infrastructure in high node density networks.",3,unknown
http://arxiv.org/abs/2205.14188v1,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',arxiv,arxiv,2022-05-27,arxiv,"introducing k4.0s: a model for mixed-criticality container orchestration
  in industry 4.0",http://arxiv.org/abs/2205.14188v1,"Time predictable edge cloud is seen as the answer for many arising needs in
Industry 4.0 environments, since it is able to provide flexible, modular, and
reconfigurable services with low latency and reduced costs. Orchestration
systems are becoming the core component of clouds since they take decisions on
the placement and lifecycle of software components. Current solutions start
introducing real-time containers support for time predictability; however,
these approaches lack of determinism as well as support for workloads requiring
multiple levels of assurance/criticality.
  In this paper, we present k4.0s, an orchestration model for real-time and
mixed-criticality environments, which includes timeliness, criticality and
network requirements. The model leverages new abstractions for both node and
jobs, e.g., node assurance, and requires novel monitoring strategies. We sketch
an implementation of the proposal based on Kubernetes, and present an
experimentation motivating the need for node assurance levels and adequate
monitoring.",4,unknown
http://arxiv.org/abs/2205.01944v1,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',arxiv,arxiv,2022-05-04,arxiv,"joint compute-caching-communication control for online data-intensive
  service delivery",http://arxiv.org/abs/2205.01944v1,"Emerging Metaverse applications, designed to deliver highly interactive and
immersive experiences that seamlessly blend physical reality and digital
virtuality, are accelerating the need for distributed compute platforms with
unprecedented storage, computation, and communication requirements. To this
end, the integrated evolution of next-generation networks (e.g., 5G and beyond)
and distributed cloud technologies (e.g., fog and mobile edge computing), have
emerged as a promising paradigm to address the interaction- and
resource-intensive nature of Metaverse applications. In this paper, we focus on
the design of control policies for the joint orchestration of compute, caching,
and communication (3C) resources in next-generation distributed cloud networks
for the efficient delivery of Metaverse applications that require the real-time
aggregation, processing, and distribution of multiple live media streams and
pre-stored digital assets. We describe Metaverse applications via directed
acyclic graphs able to model the combination of real-time stream-processing and
content distribution pipelines. We design the first throughput-optimal control
policy that coordinates joint decisions around (i) routing paths and processing
locations for live data streams, together with (ii) cache selection and
distribution paths for associated data objects. We then extend the proposed
solution to include a max-throughput database placement policy and two
efficient replacement policies. In addition, we characterize the network
stability regions for all studied scenarios. Numerical results demonstrate the
superior performance obtained via the novel multi-pipeline flow control and 3C
resource orchestration mechanisms of the proposed policy, compared with
state-of-the-art algorithms that lack full 3C integrated control.",5,unknown
http://arxiv.org/abs/2201.00994v1,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',arxiv,arxiv,2022-01-04,arxiv,toward a utm-based service orchestration for uavs in mec-nfv environment,http://arxiv.org/abs/2201.00994v1,"The increased use of Unmanned Aerial Vehicles (UAVs) in numerous domains will
result in high traffic densities in the low-altitude airspace. Consequently,
UAVs Traffic Management (UTM) systems that allow the integration of UAVs in the
low-altitude airspace are gaining a lot of momentum. Furthermore, the 5th
generation of mobile networks (5G) will most likely provide the underlying
support for UTM systems by providing connectivity to UAVs, enabling the
control, tracking and communication with remote applications and services.
However, UAVs may need to communicate with services with different
communication Quality of Service (QoS) requirements, ranging form best-effort
services to Ultra-Reliable Low-Latency Communications (URLLC) services. Indeed,
5G can ensure efficient Quality of Service (QoS) enhancements using new
technologies, such as network slicing and Multi-access Edge Computing (MEC). In
this context, Network Functions Virtualization (NFV) is considered as one of
the pillars of 5G systems, by providing a QoS-aware Management and
Orchestration (MANO) of softwarized services across cloud and MEC platforms.
The MANO process of UAV's services can be enhanced further using the
information provided by the UTM system, such as the UAVs'flight plans. In this
paper,we propose an extended framework for the management and orchestration of
UAVs'services in MECNFV environment by combining the functionalities provided
by the MEC-NFV management and orchestration framework with the functionalities
of a UTM system. Moreover, we propose an Integer Linear Programming (ILP) model
of the placement scheme of our framework and we evaluate its performances.",6,unknown
10.1186/s13638-021-02067-2,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',EURASIP Journal on Wireless Communications and Networking,Springer,2021-12-04,springer,"beyond private 5g networks: applications, architectures, operator models and technological enablers",http://dx.doi.org/10.1186/s13638-021-02067-2,"Private networks will play a key role in 5G and beyond to enable smart factories with the required better deployment, operation and flexible usage of available resource and infrastructure. 5G private networks will offer a lean and agile solution to effectively deploy and operate services with stringent and heterogeneous constraints in terms of reliability, latency, re-configurability and re-deployment of resources as well as issues related to governance and ownership of 5G components, and elements. In this paper, we present a novel approach to operator models, specifically targeting 5G and beyond private networks. We apply the proposed operator models to different network architecture options and to a selection of relevant use cases offering mixed private–public network operator governance and ownership. Moreover, several key enabling technologies have been identified for 5G private networks. Before the deployment, stakeholders should consider spectrum allocation and on-site channel measurements in order to fully understand the propagation characteristic of a given environment and to set up end-to-end system parameters. During the deployment, a monitoring tools will support to validate the deployment and to make sure that the end-to-end system meet the target KPI. Finally, some optimization can be made individually for service placement, network slicing and orchestration or jointly at radio access, multi-access edge computing or core network level.",7,unknown
10.1109/tvt.2021.3126803,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',IEEE Transactions on Vehicular Technology,IEEE,2022-02-01,ieeexplore,mobility-aware controller orchestration in multi-tier service-oriented architecture for iot,https://ieeexplore.ieee.org/document/9610993/,"This work addresses the problem of controller orchestration in Internet of Things (IoT)-based Service-Oriented Architecture. It focuses on the fundamental issues of heterogeneity and dynamism of hybrid edge-cloud networks involving both static and mobile IoT devices for provisioning IoT-based services. Due to the limited capacity of IoT devices, IoT-cloud services require the support of edge networks, termed as ‘Service Edge,’ for meeting their ultra-low latency requirements. In such complex and dynamic networks, software-defined networking (SDN) paradigm is utilized for efficient resource utilization and service-oriented network management. A significant problem in SDN is the controller placement problem. Although researchers proposed several controller placement schemes for SDN, the problem of multi-tier controller placement in hybrid cloud-edge networks has not yet been addressed. In this work, this problem is formulated mathematically and shown to be a variant of the well-known two-level capacitated facility location problem, which is NP-hard. Thereafter, COMET, a scheme based on coalitional game and social choice theory, is proposed to solve the problem in polynomial time. COMET is designed while considering varying loads on the switches due to the presence of mobile IoT devices. Simulations depict that COMET reduces network delay by 49.02% with a significant increase in resiliency compared to the state-of-the-art.",8,unknown
10.1002/ett.3536,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',semantic_scholar,Trans. Emerg. Telecommun. Technol.,2018-01-01,semantic_scholar,"sdn, nfv, and mobile edge computing with qoe support for 5g",https://www.semanticscholar.org/paper/d46992ca7ac9f9d81a16ed1a385da30b3d3a3029,"With the proliferation of latency and bandwidth sensitive mobile applications, the need for new telecommunications standards, with high capacities (eg, 1000 x) to support massive number of connections with diverse requirements, become a crucial need. Such new standards must be capable of serving large number of devices, especially mobile and wearable devices, with the best quality-of-experience (QoE) possible including highly crowded areas. The 5G standard, which is not just an extension to 4G, has emerged as a viable solution to fulfill the aforementioned needs. In this context, 5G promises a paradigm shift, in telecommunication systems and services, by focusing not only on providing high-speed connections with higher data rates, but also in serving large number of devices/users while maintaining high QoE. 5G is regarded as capable of satisfying the resource requirements for the emerging mobile applications such as virtual and augmented reality, vehicular networks (VANETs), and the internet-of-things (IoT) applications. 5G will support emerging communications including machine-to-machine (M2M) communications with low cost, low latency, high bandwidth, and energy efficiency. The deployment of 5G-based systems, which is expected to be available by 2020, will require the integration of multiple new technologies to achieve its goals. Such technologies include Mobile Edge Comping (MEC), wireless virtualization, and software defined systems or networks (SDNs) and Network Function Virtualization (NFV) among others. In addition, methodologies for resource manipulation and sensing as well as allocation for optimized performance so that QoE of the end-users is maximized. Due to the nonlinearity of the QoE model, the resource manipulation with solution provision within the context of SDN for MEC devices should be solved concurrently so that the associated performance can be assessed and evaluated. The inclusion of MEC, SDN, and NFV, and its possible support for 5G systems is emerging as one of the highly active research areas with a large room for improvements. One specific aspect of great importance is the continuously increasing processing, caching, and storage capabilities required by the emerging applications such as IoT and virtual reality. Considering the aforementioned needs, we arranged a special issue in European Transactions on Telecommunications (ETT). In response to the call for contribution of this special issue, we received 19 paper submissions. After a careful review process, 11 outstanding papers were selected for this special section. The first article is entitled “EdgePlace: Availability-aware Placement for Chained Mobile Edge Applications,” co-authored by Zhu, He and Huang, Changcheng. The authors proposed a novel model to track the availability and cost impact from placement policy changes of the mobile edge applications. The authors formulated their model as a stochastic programming problem. To minimize the complexity challenge, they also propose a heuristic algorithm called EdgePlace. The second article is entitled “A Collaborative Mobile Edge Computing and User Solution for Service Composition in 5G Systems,” co-authored by Al Ridhawi, Ismaeel; Aloqaily, Moayad; Kotb, Yehia; Al Ridhawi, Yousif; and Jararweh, Yaser. The authors envision a real-time context-aware service-composition collaborative framework that lies at the edge of the network, comprising MEC and user devices for fast composite service delivery. The proposed solution decomposes cloud data into a set of files and services, which are then replicated to MEC nodes. The third article is entitled “Sub-Carriers Assignment Scheme for Multiple Secondary Users in OFDMA Based IEEE 802.22 WRAN: A Game Theoretic Approach,” co-authored by Gupta, Nitin; Dhurandher, Sanjay; and Woungang, Isaac. The paper developed a suboptimal algorithm in which initially optimal number of subcarriers are found considering the equal power distribution. The problem is formulated as an oligopoly market competition and a noncooperative Cournot game is used in which different unlicensed secondary users (SUs) compete for the number of subcarriers based upon the data rate they are getting from current channel condition. The fair distribution of subcarriers is ensured by finding the Nash equilibrium. The fourth article is entitled “Reinforcement Learning based QoS/QoE-aware Service Function Chaining in Software-Driven 5G Slices,” co-authored by Chen, Xi; Li, Zonghang; Zhang, Yupeng; Long, Ruiming; Yu, Hongfang; Du,",9,unknown
http://arxiv.org/abs/1909.05530v2,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',arxiv,arxiv,2019-09-12,arxiv,"reinforcing edge computing with multipath tcp enabled mobile device
  clouds",http://arxiv.org/abs/1909.05530v2,"In recent years, enormous growth has been witnessed in the computational and
storage capabilities of mobile devices. However, much of this computational and
storage capabilities are not always fully used. On the other hand, popularity
of mobile edge computing which aims to replace the traditional centralized
powerful cloud with multiple edge servers is rapidly growing. In particular,
applications having strict latency requirements can be best served by the
mobile edge clouds due to a reduced round-trip delay. In this paper we propose
a Multi-Path TCP (MPTCP) enabled mobile device cloud (MDC) as a replacement to
the existing TCP based or D2D device cloud techniques, as it effectively makes
use of the available bandwidth by providing much higher throughput as well as
ensures robust wireless connectivity. We investigate the congestion in
mobile-device cloud formation resulting mainly due to the message passing for
service providing nodes at the time of discovery, service continuity and
formation of cloud composition. We propose a user space agent called congestion
handler that enable offloading of packets from one sub-flow to the other under
link quality constraints. Further, we discuss the benefits of this design and
perform preliminary analysis of the system.",10,not included
http://arxiv.org/abs/1004.3099v1,filtered,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement',arxiv,arxiv,2010-04-19,arxiv,"controlled growth, patterning and placement of carbon nanotube thin
  films",http://arxiv.org/abs/1004.3099v1,"Controlled growth, patterning and placement of carbon nanotube (CNT) thin
films for electronic applications are demonstrated. The density of CNT films is
controlled by optimizing the feed gas composition as well as the concentration
of growth catalyst in a chemical vapor deposition process. Densities of CNTs
ranging from 0.02 CNTs/{\mu}m^2 to 1.29 CNTs/{\mu}m^2 are obtained. The
resulting pristine CNT thin films are then successfully patterned using either
pre-growth or post-growth techniques. By developing a layered photoresist
process that is compatible with ferric nitrate catalyst, significant
improvements over popular pre-growth patterning methods are obtained.
Limitations of traditional post-growth patterning methods are circumvented by
selective transfer printing of CNTs with either thermoplastic or metallic
stamps. Resulting as-grown patterns of CNT thin films have edge roughness (< 1
{\mu}m) and resolution (< 5 {\mu}m) comparable to standard photolithography.
Bottom gate CNT thin film devices are fabricated with field-effect mobilities
up to 20 cm^2/Vs and on/off ratios of the order of 10^3. The patterning and
transfer printing methods discussed here have a potential to be generalized to
include other nanomaterials in new device configurations.",11,unknown
