doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
,A Rank-based Mechanism for Service Placement in the Fog,IEEE,Conferences,"As communications evolve to give space to new applications, such as augmented reality and virtual reality, new paradigms arise to provide essential characteristics like lower latency levels, mobility support, and location awareness. Such is the case of Fog computing, which extends from the well-known Cloud computing paradigm by bringing processing, communications, and storage capabilities to the edge of the network. By offering these novel features, also new challenges emerge that call for the design and implementation of orchestration mechanisms to deal with resource management. One of these mechanisms is related to the service placement, which consists in the selection of the appropriate execution node for the applications according to a specific optimization objective. In this paper, an Integer Linear Programming model for service placement aimed at latency reduction of popular applications is proposed. Furthermore, a heuristic based on the PageRank algorithm, called Popularity Ranked Placement, is also introduced. Simulation results show that the heuristic has lower execution times and is able to better balance the load in the network nodes, while being close to the ILP-based solution latency levels.",https://ieeexplore.ieee.org/document/9142750/,2020 IFIP Networking Conference (Networking),22-26 June 2020,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/NetSoft48620.2020.9165443,ANI: Abstracted Network Inventory for Streamlined Service Placement in Distributed Clouds,IEEE,Conferences,"Scenarios for distributed cloud with multiple edge clouds and centralized data centers are being investigated as the computing and networking underpinnings of next-generation network services such as augmented reality, self-driving vehicles, drones, and more. In such distributed environments, service providers will typically face tens, hundreds, or thousands of compute location candidates (edge, regional, and central) where network service components can be placed. To take optimized placement decisions of network services and execute the management workflows, orchestration systems require up-to-date and accurate resource availability representation, in the form of a network inventory that can be immense in distributed cloud scenarios. As a result, the service management and placement problems may become not tractable. In this work, we propose the Abstracted Network Inventory (ANI) component to generate service-optimized network views over the same network inventory. ANI implements a novel abstraction method where network service requirements are used as an input to generate an optimized abstract network inventory representation, called Logical Network Inventory (LNI). We also provide a formal definition of the network model and problem statement along with the development of three algorithms to efficiently build an LNI. Results show the potential benefits of using an LNI to streamline service management and placement: (i) the relationship between compute nodes and links (i.e., density) in an LNI is reduced between 1.8-2.7x compared to a full network inventory topology; and (ii) up to 50% of time can be saved for service placement after abstracting around 20% of the compute nodes.",https://ieeexplore.ieee.org/document/9165443/,2020 6th IEEE Conference on Network Softwarization (NetSoft),29 June-3 July 2020,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/ICTAI52525.2021.00137,Adaptive Workload Orchestration in Pure Edge Computing: A Reinforcement-Learning Model,IEEE,Conferences,"Edge computing is a promising paradigm that can address the requirements of compute-intensive tasks generated by delay-sensitive applications, through bringing processing and storage to the edge of the network. Task offloading is challenging in open and dynamic environments where applications with various Service Level Agreement (SLA) and Quality of Service (QoS) requirements frequently produce a fluctuated workload at the edge of a network with heterogeneous, mobile, and geodistributed nodes.The current literature has addressed this challenge by offloading tasks to fog or Mobile Edge Computing (MEC) servers. However, in strictly delay-sensitive applications such as augmented reality, autonomous driving, or remote surgery, a Pure Edge Computing (PEC) paradigm that allows peer-to-peer communication and cooperation is more reasonable.This paper proposes a novel learning-based task offloading model that enables a pure edge-based system with mobile and resource-constrained nodes to accommodate fluctuating workload generated by applications with various SLAs and QoS. The results show a better utilization of resources and tasks success rate when compared to the state-of-the-art algorithms.",https://ieeexplore.ieee.org/document/9643374/,2021 IEEE 33rd International Conference on Tools with Artificial Intelligence (ICTAI),1-3 Nov. 2021,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/GLOBECOM46510.2021.9685091,Blockchain and FL-based Network Resource Management for Interactive Immersive Services,IEEE,Conferences,"Advanced services leveraged for future smart cities have played a significant role in the advancement of 5G networks towards the 6G vision. Interactive immersive applications are an example of those enabled services. Such applications allow for the interaction between multiple users in a 3D environment created by virtual presentations of real objects and participants using various technologies such as Virtual Reality (VR), Augmented Reality (AR), Extended Reality (XR), Digital Twin (DT) and holography. These applications require advanced computing models which allow for the processing of massive gathered amounts of data. Motions, gestures and object modification should be captured, added to the virtual environment, and shared with all the participants. Relying only on the cloud to process this data can cause significant delays. Therefore, a hybrid cloud/edge architecturewith an intelligent resource orchestration mechanism, that is able to allocate the available capacities efficiently is necessary. In this paper, a blockchain and federated learning-enabled predicted edge-resource allocation (FLP-RA) algorithm is introduced to manage the allocation of computing resources in B5G networks. It allows for smart edge nodes to train their local data and share it with other nodes to create a global estimation of future network loads. As such, nodes are able to make accurate decisions to distribute the available resources to provide the lowest computing delay.",https://ieeexplore.ieee.org/document/9685091/,2021 IEEE Global Communications Conference (GLOBECOM),7-11 Dec. 2021,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/INFCOMW.2019.8845035,Demo Abstract: Turning OpenStack into a Fog Orchestrator,IEEE,Conferences,"5G networks are expected to enable revolutionary services to be established, such as tactile Internet and online augmented reality applications. These services require a dynamically programmable back-haul network topology in order to serve large amount of network traffic and to guarantee near real-time response times. For high flexibility of service capabilities service functions will be deployed in virtualized environments instead of the currently used special purpose hardware. The most widely used Virtual Infrastructure Manager (VIM) is OpenStack, which is responsible for managing compute, storage and virtual network resources. As the current scheduler of OpenStack does not take into account the underlying physical network characteristics, in order to deploy network services (NS) in a geographically distributed infrastructure, multiple VIMs and an orchestrator on top of them, are necessary for resource management. In contrast to today's setups we show a novel solution that merges these functionalities under one common OpenStack domain: our solution is capable of i) measuring the bandwidth and delay characteristics of the underlying physical network among compute nodes, ii) creating a topology model that contains both compute-, and network-related features, iii) mapping the incoming service requests, and re-mapping already deployed services to the underlying resources with our novel orchestration algorithm, iv) deploying and migrating services via OpenStack API calls.",https://ieeexplore.ieee.org/document/8845035/,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),29 April-2 May 2019,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/TNSM.2021.3050009,Managing Chains of Application Functions Over Multi-Technology Edge Networks,IEEE,Journals,"Next-generation networks are expected to provide higher data rates and ultra-low latency in support of demanding applications, such as virtual and augmented reality, robots and drones, etc. To meet these stringent requirements of applications, edge computing constitutes a central piece of the solution architecture wherein functional components of an application can be deployed over the edge network to reduce bandwidth demand over the core network while providing ultra-low latency communication to users. In this article, we provide solutions to resource orchestration and management for applications over a virtualized client-edge-server infrastructure. We investigate the problem of optimal placement of pipelines of application functions (virtual service chains) and the steering of traffic through them, over a multi-technology edge network model consisting of both wired and wireless millimeter-wave (mmWave) links. This problem is NP-hard. We provide a comprehensive “microscopic” binary integer program to model the system, along with a heuristic that is one order of magnitude faster than optimally solving the problem. Extensive evaluations demonstrate the benefits of orchestrating virtual service chains (by distributing them over the edge network) compared to a baseline “middlebox” approach in terms of overall admissible virtual capacity. Moreover, we observe significant gains when deploying a small number of mmWave links that complement the Wire physical infrastructure in high node density networks.",https://ieeexplore.ieee.org/document/9316983/,IEEE Transactions on Network and Service Management,March 2021,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/ACCESS.2021.3085370,Service Placement for Latency Reduction in the Fog Using Application Profiles,IEEE,Journals,"The Cloud-Fog-Internet of Things continuum combines different paradigms to provide connectivity and ubiquity for end-users, while also granting low latency and low jitter to cope with different challenges, including the requirements of latency-sensitive applications, such as virtual/augmented reality and online gaming. This constitutes a complex and dynamic environment with heterogeneous resources that need to be managed or orchestrated, in order to accomplish application requirements for low latency. Common orchestration solutions make placement decisions based only on the resources of the underlying network and the application resource requests; however, using the profiles of applications to make placement decisions has the potential to enhance the final performance perceived by the end-users. This paper proposes the use of application profiles according to their popularity to guide their placement. To corroborate the effectiveness of the use of the profiles, two placement mechanisms are presented, one based on Genetic Algorithm and the other inspired on graph partitions. Simulation results show that it is possible to reduce the latency and jitter of applications via a service placement guided by the profiles. The mechanism based on graph partitions showed better results for all scenarios, followed closely by the Genetic Algorithm in the scenarios with lower load.",https://ieeexplore.ieee.org/document/9445114/,IEEE Access,2021,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/ACCESS.2019.2948399,"What the Fog? Edge Computing Revisited: Promises, Applications and Future Challenges",IEEE,Journals,"Edge computing brings computing and storage resources closer to (mobile) end users and data sources, thus bypassing expensive and slow links to distant cloud computing infrastructures. Often leveraged opportunistically, these heterogeneous resources can be used to offload data and computations, enabling upcoming demanding applications such as augmented reality and autonomous driving. Research in this direction has addressed various challenges, from architectural concerns to runtime optimizations. As of today, however, we lack a widespread availability of edge computing-partly because it remains unclear which of the promised benefits of edge computing are relevant for what types of applications. This article provides a comprehensive snapshot of the current edge computing landscape, with a focus on the application perspective. We outline the characteristics of edge computing and its postulated benefits and drawbacks. To understand the functional composition of applications, we first define common application components that are relevant w.r.t. edge computing. We then present a classification of proposed use cases and analyze them according to their expected benefits from edge computing and which components they use. Furthermore, we illustrate existing products and industry solutions that have recently surfaced and outline future research challenges.",https://ieeexplore.ieee.org/document/8877785/,IEEE Access,2019,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.23919/CNSM52442.2021.9615539,Efficient Orchestration of Service Chains in Fog Computing for Immersive Media,IEEE,Conferences,"Immersive media services, such as Augmented and Virtual Reality (AR/VR) are getting significant attention in recent years with the promise of bringing immersive experiences to end users. However, despite the remarkable advances in the field, AR/VR applications are mostly local and individual experiences. The main obstacle between current technology and future remote, multi-user AR/VR applications is the stringent end-to-end (E2E) latency requirement, which cannot exceed 20 ms to avoid motion sickness. Emerging AR/VR services put even more pressure on current network infrastructures, calling for considerable advancements toward fully cloud-native architectures. Cloud-based VR services, where participants can virtually interact across vast distances, remain a distant dream. Several challenges still arise concerning the deployment and management of VR services. This paper presents a Mixed-Integer Linear Programming (MILP) formulation for the efficient orchestration of VR services in fog-cloud infrastructures. The model considers Fog Computing (FC), an extension of cloud computing, and Segment Routing (SR), which leverages the source routing paradigm. The evaluation of realistic VR container-based service chains shows that deploying VR components hosted in a fog-cloud infrastructure can satisfy the 20 ms latency boundary.",https://ieeexplore.ieee.org/document/9615539/,2021 17th International Conference on Network and Service Management (CNSM),25-29 Oct. 2021,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
10.1109/NOMS54207.2022.9789821,ROMA: Resource Orchestration for Microservices-based 5G Applications,IEEE,Conferences,"With the growth of 5G, Internet of Things (IoT), edge computing and cloud computing technologies, the infrastructure (compute and network) available to emerging applications (AR/VR, autonomous driving, industry 4.0, etc.) has become quite complex. There are multiple tiers of computing (IoT devices, near edge, far edge, cloud, etc.) that are connected with different types of networking technologies (LAN, LTE, 5G, MAN, WAN, etc.). Deployment and management of applications in such an environment is quite challenging. In this paper, we propose ROMA, which performs resource orchestration for microservices-based 5G applications in a dynamic, heterogeneous, multi-tiered compute and network fabric. We assume that only application-level requirements are known, and the detailed requirements of the individual microservices in the application are not specified. As part of our solution, ROMA identifies and leverages the coupling relationship between compute and network usage for various microservices and solves an optimization problem in order to appropriately identify how each microservice should be deployed in the complex, multi-tiered compute and network fabric, so that the end-to-end application requirements are optimally met. We implemented two real-world 5G applications in video surveillance and intelligent transportation system (ITS) domains. Through extensive experiments, we show that ROMA is able to save up to 90%, 55% and 44% compute and up to 80%, 95% and 75% network bandwidth for the surveillance (watchlist) and transportation application (person and car detection), respectively. This improvement is achieved while honoring the application performance requirements, and it is over an alternative scheme that employs a static and overprovisioned resource allocation strategy by ignoring the resource coupling relationships.",https://ieeexplore.ieee.org/document/9789821/,NOMS 2022-2022 IEEE/IFIP Network Operations and Management Symposium,25-29 April 2022,ieeexplore,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
