contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Article,doi:10.1007/s11227-022-04458-8,Service placement strategy for joint network selection and resource scheduling in edge computing,The Journal of Supercomputing,10.1007/s11227-022-04458-8,Springer,2022-08-01,"In the edge computing, service placement refers to the process of installing service platforms, databases, and configuration files corresponding to computing tasks on edge service nodes. In order to meet the latency requirements of new types of applications, service placement in edge computing becomes critical. The service placement strategy must be carried out in accordance with the relevant tasks within the program. However, previous research has paid little attention to related tasks within the application. If the service placement strategy does not consider task relevance, the system will frequently switch services and cause serious system overhead. In this paper, we mainly study the problem of service placement in edge computing. At the same time, we considered the issue of network access point selection during data transmission and the dependencies of task execution. We propose a Dynamic Service Placement List Scheduling (DSPLS) algorithm based on dynamic remaining task service time prediction. We conducted relevant simulation experiments, and our algorithm took the least amount of time to complete the task.",http://dx.doi.org/10.1007/s11227-022-04458-8,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s10586-021-03376-3,Joint wireless power transfer and task offloading in mobile edge computing: a survey,Cluster Computing,10.1007/s10586-021-03376-3,Springer,2022-08-01,"The promising technique of Wireless Power Transfer (WPT) to end devices and sensors has gained the attention of researchers recently. Mobile edge computing (MEC) is also succeeding from Cloud Computing due to its minimum latency constraints. In MEC, smart devices offload computation intensive tasks to the MEC server which achieves low latency. However, limitations exist for smart device battery lifetime and task execution delay because of an effective decision in the offloading scenario necessitating joint WPT and MEC offloading. The joint WPT and MEC offloading decisions are based on real time application requirements, placement of Base Station (BS) with power transfer capabilities for smart devices, and offloading opportunities in the MEC. To meet the energy consumption requirement, a BS integrated with MEC server and power transfer capability transfers wireless power to end devices as an incentive and offers opportunities for offloading. Transferring wireless power to end devices effectively meets the requirement of smart devices while extending battery lifetime. This article encapsulates the state of art work in methodologies of offloading in MEC and WPT to end nodes. We consider MEC offloading techniques with WPT and real time application requirements while summarizing related studies. We formulate a taxonomy of joint WPT and offloading in MEC. We compare the state-of-the-art studies based on parameters identified from taxonomy. Finally, we provide the challenges and debate future research directions relevant to the domain of joint MEC-WPT.",http://dx.doi.org/10.1007/s10586-021-03376-3,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s10922-022-09672-6,Value is King: The MECForge Deep Reinforcement Learning Solution for Resource Management in 5G and Beyond,Journal of Network and Systems Management,10.1007/s10922-022-09672-6,Springer,2022-07-27,"Multi-access edge computing (MEC) is a key enabler to fulfill the promises of a new generation of immersive and low-latency services in 5G and Beyond networks. MEC represents a defining function of 5G, offering significant computational power at a reduced latency, allowing to augment the capabilities of user equipments while preserving their battery life. However, the demands generated by a plethora of innovative and concurrent IT services requiring high quality of service and quality of experience levels will likely overwhelm the—albeit considerable—resources available in 5G and Beyond scenarios. To take full advantage of its potential, MEC needs to be paired with innovative resource management solutions capable of effectively addressing the highly dynamic aspects of the scenario and of properly considering the heterogeneous and ever-changing nature of next generation IT services, prioritizing the assignment of resources in a highly dynamic and contextual fashion. This calls for the adoption of Artificial Intelligence based tools, implementing self-* approaches capable of learning the best resource management strategy to adapt to the ever changing conditions. In this paper, we present MECForge, a novel solution based on deep reinforcement learning that considers the maximization of total value-of-information delivered to end-user as a coherent and comprehensive resource management criterion. The experimental evaluation we conducted in a simulated but realistic environment shows how the Deep Q-Network based algorithm implemented by MECForge is capable of learning effective autonomous resource management policies that allocate service components to maximize the overall value delivered to the end-users.",http://dx.doi.org/10.1007/s10922-022-09672-6,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Chapter,doi:10.1007/10_2022_209,Laboratory and Analytical Device Standard (LADS): A Communication Standard Based on OPC UA for Networked Laboratories,,10.1007/10_2022_209,Springer,2022-07-22,"In a similar vein to Industry 4.0 in manufacturing industries, digitisation is making inroads in the laboratory industry in the form of Laboratory 4.0, or networked laboratories. Companies can gain decisive competitive edges by automating their work processes and systems and networking them with each other and primary IT systems. A uniform communication standard such as OPC UA, a well-established global standard in the aforementioned manufacturing industries, is essential to a modular, scalable network of heterogeneous laboratory structures. Can the laboratory industry benefit from this standard and the years of development experience? In SPECTARIS, the German Industry Association for Optics, Photonics, Analytical and Medical Technologies, over 30 global market leaders, hidden champions and drivers of innovation in the laboratory industry put their heads together in the “Networked Laboratory Devices” working group and created the “Laboratory and Analytical Device Standard”, or LADS for short. Unlike numerous other attempts to establish communication standards for laboratories, LADS is based on the advanced OPC UA standard and takes an agnostic approach to cover the variety of devices, systems and requirements in laboratories. In this context, “agnostic” refers to the generic design and display of potentially as-yet-unknown aspects of the flow of information or communication structures. For the first time, LADS allows for modular, scalable networking of heterogeneous laboratory structures, efficient data transfers and – currently unused – user, process and device-based data analysis (keywords: big data, predictive analytics, data science) – even taking normative requirements into consideration. This agnostic modelling makes LADS a future-proof communication solution for the laboratory industry, the likes of which the world has never seen.",http://dx.doi.org/10.1007/10_2022_209,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11227-022-04338-1,Classification of resource management approaches in fog/edge paradigm and future research prospects: a systematic review,The Journal of Supercomputing,10.1007/s11227-022-04338-1,Springer,2022-07-01,"The fog paradigm extends the cloud capabilities at the edge of the network. Fog computing-based real-time applications (Online gaming, 5G, Healthcare 4.0, Industrial IoT, autonomous vehicles, virtual reality, augmented reality, and many more) are growing at a very fast pace. There are limited resources at the fog layer compared to the cloud, which leads to resource constraint problems. Edge resources need to be utilized efficiently to fulfill the growing demand for a large number of IoT devices. Lots of work has been done for the efficient utilization of edge resources. This paper provided a systematic review of fog resource management literature from the year 2016–2021. In this review paper, the fog resource management approaches are divided into 9 categories which include resource scheduling, application placement, load balancing, resource allocation, resource estimation, task offloading, resource provisioning, resource discovery, and resource orchestration. These resource management approaches are further subclassified based on the technology used, QoS factors, and data-driven strategies. Comparative analysis of existing articles is provided based on technology, tools, application area, and QoS factors. Further, future research prospects are discussed in the context of QoS factors, technique/algorithm, tools, applications, mobility support, heterogeneity, AI-based, distributed network, hierarchical network, and security. A systematic literature review of existing survey papers is also included. At the end of this work, key findings are highlighted in the conclusion section.",http://dx.doi.org/10.1007/s11227-022-04338-1,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11277-022-09590-5,"6G Communication Networks: Introduction, Vision, Challenges, and Future Directions",Wireless Personal Communications,10.1007/s11277-022-09590-5,Springer,2022-07-01,"In the fastest-growing world, technological innovation and industrial transformation are accelerating. The enhancement of Information and Communication Technology and its various applications like artificial intelligence, virtual reality, internet of things, and blockchain technology has directed towards the development of the 6G communication system. Considering 5G as a base, the 6G revolution and its growth have a default influence on intelligent communication, including smart connectivity, faster communication, and holographic connectivity. In this paper, we have reviewed existing recent articles related to 6G. We have included 6G introduction, core technologies, basic architecture, challenges, and the related aspects. Moreover, different applications and architectural descriptions are also included in this study. Our study is also beneficial in driving the applicability of 6G in various real-life applications like smart city, military surveillance, healthcare, etc. Further, the primary contribution of this study is that it clarifies the future research direction and state-of-the-art. This work can be helpful for the new researchers who want to start their study on 6G technology.",http://dx.doi.org/10.1007/s11277-022-09590-5,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11227-021-04288-0,Computation offloading for object-oriented applications in a UAV-based edge-cloud environment,The Journal of Supercomputing,10.1007/s11227-021-04288-0,Springer,2022-05-01,"The high mobility and maneuverability of unmanned aerial vehicles (UAVs) enable them to act as temporary base stations (BSs) in extreme environments, expanding the computing capacities of terminals for intelligent applications, most of which are object-oriented ones. Computation offloading in a UAV-based edge-cloud environment is an excellent way to improve the performance of these object-oriented intelligent applications. In contrast, the computation-intensive tasks are offloaded to the cloud, and the data-intensive ones are offloaded to the edge. Though computation offloading over the cloud, edge, and terminals has been broadly studied, existing researches primarily establish scheduling algorithms on program high-level abstraction without consideration of challenges from program structures. We focus on task scheduling for offloading object-oriented applications while considering the ’encapsulation’ characteristic. We proposed a time-driven offloading strategy based on a particle swarm optimization algorithm employing the genetic algorithm operators with floating encoding (PGFE). This strategy introduces a genetic algorithm’s randomly two-point crossover and mutation operator to avoid converging on local optima effectively. The simulation results show that our strategy can reduce the average execution time of object-oriented applications by 11.78–48.02%, compared with other classic algorithms in a UAV-based edge-cloud environment.",http://dx.doi.org/10.1007/s11227-021-04288-0,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11831-021-09622-6,A Review and State of Art of Internet of Things (IoT),Archives of Computational Methods in Engineering,10.1007/s11831-021-09622-6,Springer,2022-05-01,"The Internet of Things (IoT) is basically like a system for connecting computer devices, mechanical and digital machines, objects, or individuals provided with the unique system (UIDs) and without transfer to transmit data over an ability human-to-human or computer-to-human relation. Another thing on the internet is that the items in the IoT are like a connected manner with humans and computers to which internet protocol addresses can be assigned and which can transfer data over the network or another man-made object. In this paper, we describe the utilization of IoT in the cloud, fog, IoT technologies with applications and security. Specifically, we provide IoT architecture for design and development with sensors in 6G. Finally, we discuss the current research, solutions, and present open issues of future research in IoT.",http://dx.doi.org/10.1007/s11831-021-09622-6,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11036-022-01974-y,An Optimized Collaborative Scheduling Algorithm for Prioritized Tasks with Shared Resources in Mobile-Edge and Cloud Computing Systems,Mobile Networks and Applications,10.1007/s11036-022-01974-y,Springer,2022-04-20,"Mobile edge computing (MEC) is a promising technology that has the potential to meet the latency requirements of next-generation mobile networks. Since MEC servers have limited resources, an orchestrator utilizes a scheduling algorithm to decide where and when each task should execute so that the quality of service (QoS) of each task is achieved. The scheduling algorithm should use the least possible resources required to meet the service demands. In this paper, we develop a two-level cooperative scheduling algorithm with a centralized orchestrator layer. The first scheduling level is used to schedule tasks locally on MEC servers. In contrast, the second level resides at the orchestrator and assigns tasks to a neighboring base station or the cloud. The tasks serve in accordance with their priority, which is determined by the latency and required throughput. We also present a resource optimization algorithm for determining resource distribution in the system in order to ensure satisfactory service availability at the minimum cost. The resource optimization algorithm contains two variations that can be employed depending on the traffic model. One variant is used when the traffic is uniformly distributed, and the other is used when the traffic load is unbalanced among base stations. Numerical results show that the cooperative model of task scheduling outperforms the non-cooperative model. Furthermore, the results show that the suggested scheduling algorithm performs better than other well-known scheduling algorithms, such as shortest job first scheduling and earliest deadline first scheduling.",http://dx.doi.org/10.1007/s11036-022-01974-y,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
Article,doi:10.1007/s11280-022-01053-y,A survey on nature-inspired techniques for computation offloading and service placement in emerging edge technologies,World Wide Web,10.1007/s11280-022-01053-y,Springer,2022-04-18,"Internet of Things (IoT) aims to make an environment more innovative and productive by connecting physical things to the internet. Processing generated data from IoT devices and actuation warranted in real-time requires computational infrastructure near the edge to get the outcome without delay. Emerging edge technologies such as Fog computing, Multi-Access Edge Computing, and Cloudlet provide computing resources near the edge, i.e. closer to the IoT devices, where devices can place their services/applications or offload their computational job for processing. The utilization of computing resources provided by emerging edge technologies addresses the issue of delay in the outcome and increases the battery life of IoT devices/End-user devices. Computational resources provided by the edge technologies, i.e. edge/fog nodes, can be heterogeneous, dynamic and mobile. Therefore, service placement and computation offloading on edge/fog nodes are challenging issues, and the problem to finding the best suitable fog/edge nodes is NP-Hard. Nature-inspired algorithms provide robust solutions to NP-Hard problems. Nowadays, nature-inspired algorithms have been widely applied for resource allocation for service placement and computation offloading in emerging edge technologies. In this work, we provide a detailed study on the applications of nature-inspired algorithms in emerging edge computing domains. We provide an overview of emerging edge technologies, related quality parameters and nature-inspired algorithms followed by the basic formulation of service placement and computation offloading in emerging edge computing systems. In this work, we classify the works in emerging edge computing applying nature-inspired algorithms into two categories: works related to service placement and works related to offloading. We provide a thorough review and comparison of the existing nature-inspired approaches in each category. We discuss various open issues at the end to set future research directions.",http://dx.doi.org/10.1007/s11280-022-01053-y,springer,augmented reality,'augmented reality' AND 'edge' AND 'orchestration' AND 'placement'
