id,updated,published,title,summary,database
http://arxiv.org/abs/1807.11805v2,2018-08-08T09:29:37Z,2018-07-31T13:24:31Z,Disaster Monitoring using Unmanned Aerial Vehicles and Deep Learning,"Monitoring of disasters is crucial for mitigating their effects on the
environment and human population, and can be facilitated by the use of unmanned
aerial vehicles (UAV), equipped with camera sensors that produce aerial photos
of the areas of interest. A modern technique for recognition of events based on
aerial photos is deep learning. In this paper, we present the state of the art
work related to the use of deep learning techniques for disaster
identification. We demonstrate the potential of this technique in identifying
disasters with high accuracy, by means of a relatively simple deep learning
model. Based on a dataset of 544 images (containing disaster images such as
fires, earthquakes, collapsed buildings, tsunami and flooding, as well as
non-disaster scenes), our results show an accuracy of 91% achieved, indicating
that deep learning, combined with UAV equipped with camera sensors, have the
potential to predict disasters with high accuracy.",arxiv
http://arxiv.org/abs/1906.05015v10,2020-03-04T02:18:20Z,2019-06-12T09:12:50Z,"Deep Reinforcement Learning for Unmanned Aerial Vehicle-Assisted
  Vehicular Networks","Unmanned aerial vehicles (UAVs) are envisioned to complement the 5G
communication infrastructure in future smart cities. Hot spots easily appear in
road intersections, where effective communication among vehicles is
challenging. UAVs may serve as relays with the advantages of low price, easy
deployment, line-of-sight links, and flexible mobility. In this paper, we study
a UAV-assisted vehicular network where the UAV jointly adjusts its transmission
control (power and channel) and 3D flight to maximize the total throughput.
First, we formulate a Markov decision process (MDP) problem by modeling the
mobility of the UAV/vehicles and the state transitions. Secondly, we solve the
target problem using a deep reinforcement learning method under unknown or
unmeasurable environment variables especially in 5G, namely, the deep
deterministic policy gradient (DDPG), and propose three solutions with
different control objectives. Environment variables are unknown and
unmeasurable, therefore, we use a deep reinforcement learning method. Moreover,
considering the energy consumption of 3D flight, we extend the proposed
solutions to maximize the total throughput per energy unit by encouraging or
discouraging the UAV's mobility. To achieve this goal, the DDPG framework is
modified. Thirdly, in a simplified model with small state space and action
space, we verify the optimality of proposed algorithms. Comparing with two
baseline schemes, we demonstrate the effectiveness of proposed algorithms in a
realistic model.",arxiv
http://arxiv.org/abs/1706.01384v1,2017-06-05T15:49:12Z,2017-06-05T15:49:12Z,"Time-Varying Formation Controllers for Unmanned Aerial Vehicles Using
  Deep Reinforcement Learning","We consider the problem of designing scalable and portable controllers for
unmanned aerial vehicles (UAVs) to reach time-varying formations as quickly as
possible. This brief confirms that deep reinforcement learning can be used in a
multi-agent fashion to drive UAVs to reach any formation while taking into
account optimality and portability. We use a deep neural network to estimate
how good a state is, so the agent can choose actions accordingly. The system is
tested with different non-high-dimensional sensory inputs without any change in
the neural network architecture, algorithm or hyperparameters, just with
additional training.",arxiv
http://arxiv.org/abs/2008.06189v1,2020-08-14T04:35:10Z,2020-08-14T04:35:10Z,"An Improved Deep Convolutional Neural Network-Based Autonomous Road
  Inspection Scheme Using Unmanned Aerial Vehicles","Advancements in artificial intelligence (AI) gives a great opportunity to
develop an autonomous devices. The contribution of this work is an improved
convolutional neural network (CNN) model and its implementation for the
detection of road cracks, potholes, and yellow lane in the road. The purpose of
yellow lane detection and tracking is to realize autonomous navigation of
unmanned aerial vehicle (UAV) by following yellow lane while detecting and
reporting the road cracks and potholes to the server through WIFI or 5G medium.
The fabrication of own data set is a hectic and time-consuming task. The data
set is created, labeled and trained using default and an improved model. The
performance of both these models is benchmarked with respect to accuracy, mean
average precision (mAP) and detection time. In the testing phase, it was
observed that the performance of the improved model is better in respect of
accuracy and mAP. The improved model is implemented in UAV using the robot
operating system for the autonomous detection of potholes and cracks in roads
via UAV front camera vision in real-time.",arxiv
http://arxiv.org/abs/1908.06472v1,2019-08-18T16:25:14Z,2019-08-18T16:25:14Z,"Training Deep Learning Models via Synthetic Data: Application in
  Unmanned Aerial Vehicles","This paper describes preliminary work in the recent promising approach of
generating synthetic training data for facilitating the learning procedure of
deep learning (DL) models, with a focus on aerial photos produced by unmanned
aerial vehicles (UAV). The general concept and methodology are described, and
preliminary results are presented, based on a classification problem of fire
identification in forests as well as a counting problem of estimating number of
houses in urban areas. The proposed technique constitutes a new possibility for
the DL community, especially related to UAV-based imagery analysis, with much
potential, promising results, and unexplored ground for further research.",arxiv
http://arxiv.org/abs/2001.04944v1,2020-01-14T17:59:09Z,2020-01-14T17:59:09Z,"Testbed for Connected Artificial Intelligence using Unmanned Aerial
  Vehicles and Convolutional Pose Machines","Unmanned Aerial Vehicles (UAVs) became very popular in a vast number of
applications in recent years, especially drones with computer vision functions
enabled by on-board cameras and embedded systems. Many of them apply object
detection using data collected by the integrated camera. However, several
applications of real-time object detection rely on Convolutional Neural
Networks (CNNs) which are computationally expensive and processing CNNs on a
UAV platform is challenging (due to its limited battery life and limited
processing power). To understand the effects of these issues, in this paper we
evaluate the constraints and benefits of processing the whole data in the UAV
versus in an edge computing device. We apply Convolutional Pose Machines (CPMs)
known as OpenPose for the task of articulated pose estimation. We used this
information to detect human gestures that are used as input to send commands to
control the UAV. The experimental results using a real UAV indicate that the
edge processing is more efficient and faster (w.r.t battery consumption and the
delay in recognizing the human pose and the command given to the drone) than
UAV processing and then could be more suitable for CNNs based applications.",arxiv
http://arxiv.org/abs/2012.15472v1,2020-12-31T07:00:44Z,2020-12-31T07:00:44Z,"Multi-Agent Reinforcement Learning for Unmanned Aerial Vehicle
  Coordination by Multi-Critic Policy Gradient Optimization","Recent technological progress in the development of Unmanned Aerial Vehicles
(UAVs) together with decreasing acquisition costs make the application of drone
fleets attractive for a wide variety of tasks. In agriculture, disaster
management, search and rescue operations, commercial and military applications,
the advantage of applying a fleet of drones originates from their ability to
cooperate autonomously. Multi-Agent Reinforcement Learning approaches that aim
to optimize a neural network based control policy, such as the best performing
actor-critic policy gradient algorithms, struggle to effectively back-propagate
errors of distinct rewards signal sources and tend to favor lucrative signals
while neglecting coordination and exploitation of previously learned
similarities. We propose a Multi-Critic Policy Optimization architecture with
multiple value estimating networks and a novel advantage function that
optimizes a stochastic actor policy network to achieve optimal coordination of
agents. Consequently, we apply the algorithm to several tasks that require the
collaboration of multiple drones in a physics-based reinforcement learning
environment. Our approach achieves a stable policy network update and
similarity in reward signal development for an increasing number of agents. The
resulting policy achieves optimal coordination and compliance with constraints
such as collision avoidance.",arxiv
http://arxiv.org/abs/2004.08603v2,2020-04-21T10:35:16Z,2020-04-18T12:17:18Z,"Real-time System Identification Using Deep Learning for Linear Processes
  with Application to Unmanned Aerial Vehicles","This paper proposes a novel parametric identification approach for linear
systems using Deep Learning (DL) and the Modified Relay Feedback Test (MRFT).
The proposed methodology utilizes MRFT to reveal distinguishing frequencies
about an unknown process; which are then passed to a trained DL model to
identify the underlying process parameters. The presented approach guarantees
stability and performance in the identification and control phases
respectively, and requires few seconds of observation data to infer the dynamic
system parameters. Quadrotor Unmanned Aerial Vehicle (UAV) attitude and
altitude dynamics were used in simulation and experimentation to verify the
presented methodology. Results show the effectiveness and real-time
capabilities of the proposed approach, which outperforms the conventional
Prediction Error Method in terms of accuracy, robustness to biases,
computational efficiency and data requirements.",arxiv
http://arxiv.org/abs/1905.10796v1,2019-05-26T12:36:26Z,2019-05-26T12:36:26Z,"Online Deep Learning for Improved Trajectory Tracking of Unmanned Aerial
  Vehicles Using Expert Knowledge","This work presents an online learning-based control method for improved
trajectory tracking of unmanned aerial vehicles using both deep learning and
expert knowledge. The proposed method does not require the exact model of the
system to be controlled, and it is robust against variations in system dynamics
as well as operational uncertainties. The learning is divided into two phases:
offline (pre-)training and online (post-)training. In the former, a
conventional controller performs a set of trajectories and, based on the
input-output dataset, the deep neural network (DNN)-based controller is
trained. In the latter, the trained DNN, which mimics the conventional
controller, controls the system. Unlike the existing papers in the literature,
the network is still being trained for different sets of trajectories which are
not used in the training phase of DNN. Thanks to the rule-base, which contains
the expert knowledge, the proposed framework learns the system dynamics and
operational uncertainties in real-time. The experimental results show that the
proposed online learning-based approach gives better trajectory tracking
performance when compared to the only offline trained network.",arxiv
http://arxiv.org/abs/1906.08716v1,2019-06-20T16:03:32Z,2019-06-20T16:03:32Z,"Deep-Learning-Based Aerial Image Classification for Emergency Response
  Applications Using Unmanned Aerial Vehicles","Unmanned Aerial Vehicles (UAVs), equipped with camera sensors can facilitate
enhanced situational awareness for many emergency response and disaster
management applications since they are capable of operating in remote and
difficult to access areas. In addition, by utilizing an embedded platform and
deep learning UAVs can autonomously monitor a disaster stricken area, analyze
the image in real-time and alert in the presence of various calamities such as
collapsed buildings, flood, or fire in order to faster mitigate their effects
on the environment and on human population. To this end, this paper focuses on
the automated aerial scene classification of disaster events from on-board a
UAV. Specifically, a dedicated Aerial Image Database for Emergency Response
(AIDER) applications is introduced and a comparative analysis of existing
approaches is performed. Through this analysis a lightweight convolutional
neural network (CNN) architecture is developed, capable of running efficiently
on an embedded platform achieving ~3x higher performance compared to existing
models with minimal memory requirements with less than 2% accuracy drop
compared to the state-of-the-art. These preliminary results provide a solid
basis for further experimentation towards real-time aerial image classification
for emergency response applications using UAVs.",arxiv
