id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.tins.2021.07.007,journal,Trends in Neurosciences,sciencedirect,2021-10-31,sciencedirect,Learning offline: memory replay in biological and artificial reinforcement learning,https://api.elsevier.com/content/article/pii/S0166223621001442,"
                  Learning to act in an environment to maximise rewards is among the brain’s key functions. This process has often been conceptualised within the framework of reinforcement learning, which has also gained prominence in machine learning and artificial intelligence (AI) as a way to optimise decision making. A common aspect of both biological and machine reinforcement learning is the reactivation of previously experienced episodes, referred to as replay. Replay is important for memory consolidation in biological neural networks and is key to stabilising learning in deep neural networks. Here, we review recent developments concerning the functional roles of replay in the fields of neuroscience and AI. Complementary progress suggests how replay might support learning processes, including generalisation and continual learning, affording opportunities to transfer knowledge across the two fields to advance the understanding of biological and artificial learning and memory.
               ",autonomous vehicle
10.1016/j.imed.2021.10.001,journal,Intelligent Medicine,sciencedirect,2021-11-11,sciencedirect,A comprehensive study on artificial intelligence and machine learning in drug discovery and drug development,https://api.elsevier.com/content/article/pii/S2667102621001066,"The current rise of artificial intelligence and machine learning has been significant. It has reduced the human workload improved quality of life significantly. This article describes the use of artificial intelligence and machine learning to augment drug discovery and development to make them more efficient and accurate. In this study, a systematic evaluation of studies was carried out; these were selected based on prior knowledge of the authors and a keyword search in publicly available databases which were filtered based on related context, abstract, methodology, and full text. This body of work supported the roles of machine learning and artificial intelligence in facilitating drug development and discovery processes, making them more cost-effective or altogether eliminating the need for clinical trials, owing to the ability to conduct simulations using these technologies. They also enabled researchers to study different molecules more extensively, without any trials. The results of this paper demonstrate the prevalent application of machine learning and artificial intelligence methods in drug discovery, and indicate a promising future for these technologies; these results should enable researchers, students, and pharmaceutical industry to dive deeper into machine learning and artificial intelligence in a drug discovery and development context.",autonomous vehicle
10.1016/j.jpowsour.2021.230584,journal,Journal of Power Sources,sciencedirect,2021-12-01,sciencedirect,Self-supervised reinforcement learning-based energy management for a hybrid electric vehicle,https://api.elsevier.com/content/article/pii/S037877532101082X,"
                  Reinforcement learning is a new research hotspot in the energy management strategy. At present, some problems in the application of reinforcement learning to energy management control still exist, including sparse reward, convergence speed, generalization ability, etc. This paper proposes a self-supervised reinforcement learning method based on a Deep Q-learning approach for fuel-saving optimization of a plug-in hybrid electric vehicle (PHEV). First, a detailed vehicle powertrain model of the Prius is built. Second, we use the self-supervised learning model to enrich the reward function. The reward function consists of two parts: internal and external rewards. Finally, to prevent the self-supervised model from falling into the “self-good” situation, a reinforcement learning calibration method is proposed. The vehicle exploration method is more effective because of the enrichment of the reward function. Furthermore, following the characteristics of self-supervised learning, we have also constructed a new driving cycle to verify the generalization ability. Results show that our proposed deep reinforcement learning method based on self-supervised and learning calibration realizes faster training convergence and lower fuel consumption than the traditional policy, and its fuel economy can reach approximately the global optimum under our new driving cycle.
               ",autonomous vehicle
10.1016/j.ptlrs.2021.05.009,journal,Petroleum Research,sciencedirect,2021-06-04,sciencedirect,Application of machine learning and artificial intelligence in oil and gas industry,https://api.elsevier.com/content/article/pii/S2096249521000429,Oil and gas industries are facing several challenges and issues in data processing and handling. Large amount of data bank is generated with various techniques and processes. The proper technical analysis of this database is to be carried out to improve performance of oil and gas industries. This paper provides a comprehensive state-of-art review in the field of machine learning and artificial intelligence to solve oil and gas industry problems. It also narrates the various types of machine learning and artificial intelligence techniques which can be used for data processing and interpretation in different sectors of upstream oil and gas industries. The achievements and developments promise the benefits of machine learning and artificial intelligence techniques towards large data storage capabilities and high efficiency of numerical calculations. In this paper a summary of various researchers work on machine learning and artificial intelligence applications and limitations is showcased for upstream and sectors of oil and gas industry. The existence of this extensive intelligent system could really eliminate the risk factor and cost of maintenance. The development and progress using this emerging technologies have become smart and makes the judgement procedure easy and straightforward. The study is useful to access intelligence of different machine learning methods to declare its application for distinct task in oil and gas sector.,autonomous vehicle
10.1016/S2352-3018(21)00247-2,journal,The Lancet HIV,sciencedirect,2021-11-08,sciencedirect,Application of artificial intelligence and machine learning for HIV prevention interventions,https://api.elsevier.com/content/article/pii/S2352301821002472,"
                  In 2019, the US Government announced its goal to end the HIV epidemic within 10 years, mirroring the initiatives set forth by UNAIDS. Public health prevention interventions are a crucial part of this ambitious goal. However, numerous challenges to this goal exist, including improving HIV awareness, increasing early HIV infection detection, ensuring rapid treatment, optimising resource distribution, and providing efficient prevention services for vulnerable populations. Artificial intelligence has had a pivotal role in revolutionising health care and has shown great potential in developing effective HIV prevention intervention strategies. Although artificial intelligence has been used in a few HIV prevention intervention areas, there are challenges to address and opportunities to explore.
               ",autonomous vehicle
10.1016/j.knosys.2021.107585,journal,Knowledge-Based Systems,sciencedirect,2021-12-25,sciencedirect,RL-DARTS: Differentiable neural architecture search via reinforcement-learning-based meta-optimizer,https://api.elsevier.com/content/article/pii/S0950705121008479,"
                  Differentiable search approaches have attracted extensive attention recently due to their advantages in effectively finding novel neural architectures. However, these methods suffer from shortcomings on heavy computation consumption and low robustness in some cases. In this work, we propose a novel differentiable search method based on reinforcement learning, to further improve the computation efficiency, network precision, and robustness in the neural architecture search area. Our method constructs a reinforcement learning-based meta-optimizer to solve the architecture-parameter optimization problem, which is superior in properties of adaptability and robustness to fixed optimizers. This learnable meta-optimizer can alter its model parameters along with the search process to adapt the optimization procedure, making it possible to find out better structures and parameters with less time. Specifically, we formulate a double-loop algorithm to address the optimization problem in the searched super-network. Through switching between the external and internal loops, our method alternately optimizes the super-network and the meta-optimizer, which converges to the optimal location more rapidly and robustly.
               ",autonomous vehicle
10.1016/j.jmbbm.2021.104728,journal,Journal of the Mechanical Behavior of Biomedical Materials,sciencedirect,2021-11-30,sciencedirect,What can artificial intelligence and machine learning tell us? A review of applications to equine biomechanical research,https://api.elsevier.com/content/article/pii/S1751616121003775,"
                  Artificial intelligence (AI) and machine learning (ML) are fascinating interdisciplinary scientific domains where machines are provided with an approximation of human intelligence. The conjecture is that machines are able to learn from existing examples, and employ this accumulated knowledge to fulfil challenging tasks such as regression analysis, pattern classification, and prediction. The horse biomechanical models have been identified as an alternative tool to investigate the effects of mechanical loading and induced deformations on the tissues and structures in humans. Many reported investigations into bone fatigue, subchondral bone damage in the joints of both humans and animals, and identification of vital parameters responsible for retaining integrity of anatomical regions during normal activities in all species are heavily reliant on equine biomechanical research. Horse racing is a lucrative industry and injury prevention in expensive thoroughbreds has encouraged the implementation of various measurement techniques, which results in massive data generation. ML substantially accelerates analysis and interpretation of data and provides considerable advantages over traditional statistical tools historically adopted in biomechanical research. This paper provides the reader with: a brief introduction to AI, taxonomy and several types of ML algorithms, working principle of a feedforward artificial neural network (ANN), and, a detailed review of the applications of AI, ML, and ANN in equine biomechanical research (i.e. locomotory system function, gait analysis, joint and bone mechanics, and hoof function). Reviewing literature on the use of these data-driven tools is essential since their wider application has the potential to: improve clinical assessments enabling real-time simulations, avoid and/or minimize injuries, and encourage early detection of such injuries in the first place.
               ",autonomous vehicle
10.1016/j.robot.2021.103731,journal,Robotics and Autonomous Systems,sciencedirect,2021-04-30,sciencedirect,Two-stage visual navigation by deep neural networks and multi-goal reinforcement learning,https://api.elsevier.com/content/article/pii/S0921889021000166,"
                  In this paper, we propose a two-stage learning framework for visual navigation in which the experience of the agent during exploration of one goal is shared to learn to navigate to other goals. We train a deep neural network for estimating the robot’s position in the environment using ground truth information provided by a classical localization and mapping approach. The second simpler multi-goal Q-function learns to traverse the environment by using the provided discretized map. Transfer learning is applied to the multi-goal Q-function from a maze structure to a 2D simulator and is finally deployed in a 3D simulator where the robot uses the estimated locations from the position estimator deep network. In the experiments, we first compare different architectures to select the best deep network for location estimation, and then compare the effects of the multi-goal reinforcement learning method to traditional reinforcement learning. The results show a significant improvement when multi-goal reinforcement learning is used. Furthermore, the results of the location estimator show that a deep network can learn and generalize in different environments using camera images with high accuracy in both position and orientation.
               ",autonomous vehicle
10.1016/j.ejmp.2021.04.016,journal,Physica Medica,sciencedirect,2021-03-31,sciencedirect,Artificial intelligence and machine learning for medical imaging: A technology review,https://api.elsevier.com/content/article/pii/S1120179721001733,"
                  Artificial intelligence (AI) has recently become a very popular buzzword, as a consequence of disruptive technical advances and impressive experimental results, notably in the field of image analysis and processing. In medicine, specialties where images are central, like radiology, pathology or oncology, have seized the opportunity and considerable efforts in research and development have been deployed to transfer the potential of AI to clinical applications. With AI becoming a more mainstream tool for typical medical imaging analysis tasks, such as diagnosis, segmentation, or classification, the key for a safe and efficient use of clinical AI applications relies, in part, on informed practitioners. The aim of this review is to present the basic technological pillars of AI, together with the state-of-the-art machine learning methods and their application to medical imaging. In addition, we discuss the new trends and future research directions. This will help the reader to understand how AI methods are now becoming an ubiquitous tool in any medical image analysis workflow and pave the way for the clinical implementation of AI-based solutions.
               ",autonomous vehicle
10.1016/j.desal.2021.115443,journal,Desalination,sciencedirect,2022-01-15,sciencedirect,An efficient deep reinforcement machine learning-based control reverse osmosis system for water desalination,https://api.elsevier.com/content/article/pii/S0011916421005142,"
                  Water scarcity is a permanent problem that faces all over the world. Artificial Intelligence (AI) has many machine learning methods used to solve many problems in all fields. This paper suggests a novel and efficient approach to finding a trans-membrane pressure using Deep Reinforcement Learning (DRL). Our system uses Deep Deterministic Policy Gradient (DDPG) agent to adjust the pressure across the membrane. This adjustment considers the Salt Rejection (SR) to be 99% to investigate the desired water flux. The system takes the maximum height of the water in the tank (h
                     
                        max
                     ), the salt concentration of feed flow (C), the temperature of feed flow (T), the recovery ratio (R), and the salt rejection ratio (SR) as input, and returns the water flux Q
                     
                        p
                     . The results show the effectiveness and the power of the DDPG agent in finding that pressure. The agent is trained in a small number of episodes (150), and the average reward value is high.
               ",autonomous vehicle
10.1016/B978-0-12-819726-4.00078-8,journal,Encyclopedia of Materials: Metals and Alloys,sciencedirect,2022-12-31,sciencedirect,"Data Science, Machine Learning and Artificial Intelligence Applied to Metals and Alloys Research: Past, Present, and Future",https://api.elsevier.com/content/article/pii/B9780128197264000788,"
               In this contribution, we discuss how Data Science, Machine Learning, and Artificial Intelligence have been increasingly used to understand better and design metallic materials systems. We begin by providing some historical perspectives, basic concepts, and significant elements of data-driven materials discovery/design workflows. The contribution concludes by presenting some very recent developments related to closed-loop optimal frameworks for accelerated materials discovery, including the concept of autonomous research platforms.
            ",autonomous vehicle
10.1016/j.knosys.2021.107526,journal,Knowledge-Based Systems,sciencedirect,2021-12-05,sciencedirect,Deep reinforcement learning for transportation network combinatorial optimization: A survey,https://api.elsevier.com/content/article/pii/S0950705121007887,"
                  Traveling salesman and vehicle routing problems with their variants, as classic combinatorial optimization problems, have attracted considerable attention for decades of their theoretical and practical value. Many classic algorithms have been proposed, for example, exact algorithms, heuristic algorithms, solution solvers, etc. Still, due to their complexity, even the most advanced traditional methods require too much computational time or are not well-defined mathematically; algorithm-based decision-making is no exception. Also, these methods cannot be generalized to a larger scale or other similar problems. With the latest developments in machine and deep learning, people believe it is feasible to apply reinforcement learning and other technologies in the decision-making or heuristic for learning combinatorial optimization. In this paper, we first gave an overview on how combinate deep reinforcement learning for the NP-hard combinatorial optimization, emphasizing general optimization problems as data points and exploring the relevant distribution of data used for learning in a given task. We next reviewed state-of-the-art learning techniques related to combinational optimization problems on graphs. Then, we summarized the experimental methods of using reinforcement learning to solve combinatorial optimization problems and analyzed the performance comparison of different algorithms. Lastly, we sorted out the challenges encountered by deep reinforcement learning in solving combinatorial optimization problems and future research directions.
               ",autonomous vehicle
