@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
true,2021-09-01T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0166223621001442', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0166223621001442?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.tins.2021.07.007,https://api.elsevier.com/content/article/pii/S0166223621001442,Learning offline: memory replay in biological and artificial reinforcement learning,Emma L. Roscow,Trends in Neurosciences,44,2021-10-31,808,821,10.1016/j.tins.2021.07.007,False,S0166223621001442,"{'author': [{'$': 'Emma L. Roscow'}, {'$': 'Raymond Chua'}, {'$': 'Nathan Lepora'}]}"
true,2021-11-11T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2667102621001066', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2667102621001066?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.imed.2021.10.001,https://api.elsevier.com/content/article/pii/S2667102621001066,A comprehensive study on artificial intelligence and machine learning in drug discovery and drug development,Veer Patel,Intelligent Medicine,,2021-11-11,,,10.1016/j.imed.2021.10.001,True,S2667102621001066,"{'author': [{'$': 'Veer Patel'}, {'$': 'Manan Shah'}]}"
true,2021-10-07T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S037877532101082X', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S037877532101082X?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jpowsour.2021.230584,https://api.elsevier.com/content/article/pii/S037877532101082X,Self-supervised reinforcement learning-based energy management for a hybrid electric vehicle,Chunyang Qi,Journal of Power Sources,514,2021-12-01,230584,,10.1016/j.jpowsour.2021.230584,False,S037877532101082X,"{'author': [{'$': 'Chunyang Qi'}, {'$': 'Yiwen Zhu'}, {'$': 'Shixin Song'}]}"
true,2021-06-04T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2096249521000429', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2096249521000429?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ptlrs.2021.05.009,https://api.elsevier.com/content/article/pii/S2096249521000429,Application of machine learning and artificial intelligence in oil and gas industry,Anirbid Sircar,Petroleum Research,,2021-06-04,,,10.1016/j.ptlrs.2021.05.009,True,S2096249521000429,"{'author': [{'$': 'Anirbid Sircar'}, {'$': 'Kriti Yadav'}, {'$': 'Hemangi Oza'}]}"
true,2021-11-08T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2352301821002472', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2352301821002472?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/S2352-3018(21)00247-2,https://api.elsevier.com/content/article/pii/S2352301821002472,Application of artificial intelligence and machine learning for HIV prevention interventions,Yang Xiang,The Lancet HIV,,2021-11-08,,,10.1016/S2352-3018(21)00247-2,False,S2352301821002472,"{'author': [{'$': 'Yang Xiang'}, {'$': 'Jingcheng Du'}, {'$': 'Cui Tao'}]}"
true,2021-10-19T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950705121008479', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950705121008479?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.knosys.2021.107585,https://api.elsevier.com/content/article/pii/S0950705121008479,RL-DARTS: Differentiable neural architecture search via reinforcement-learning-based meta-optimizer,Dong Pang,Knowledge-Based Systems,234,2021-12-25,107585,,10.1016/j.knosys.2021.107585,False,S0950705121008479,"{'author': [{'$': 'Dong Pang'}, {'$': 'Xinyi Le'}, {'$': 'Xinping Guan'}]}"
true,2021-08-12T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1751616121003775', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1751616121003775?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jmbbm.2021.104728,https://api.elsevier.com/content/article/pii/S1751616121003775,What can artificial intelligence and machine learning tell us? A review of applications to equine biomechanical research,Saeed Mouloodi,Journal of the Mechanical Behavior of Biomedical Materials,123,2021-11-30,104728,,10.1016/j.jmbbm.2021.104728,False,S1751616121003775,"{'author': [{'$': 'Saeed Mouloodi'}, {'$': 'Hadi Rahmanpanah'}, {'$': 'Helen M. S. Davies'}]}"
true,2021-01-16T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0921889021000166', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0921889021000166?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.robot.2021.103731,https://api.elsevier.com/content/article/pii/S0921889021000166,Two-stage visual navigation by deep neural networks and multi-goal reinforcement learning,Amirhossein Shantia,Robotics and Autonomous Systems,138,2021-04-30,103731,,10.1016/j.robot.2021.103731,False,S0921889021000166,"{'author': [{'$': 'Amirhossein Shantia'}, {'$': 'Rik Timmers'}, {'$': 'Marco Wiering'}]}"
true,2021-05-09T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S1120179721001733', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S1120179721001733?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ejmp.2021.04.016,https://api.elsevier.com/content/article/pii/S1120179721001733,Artificial intelligence and machine learning for medical imaging: A technology review,Ana Barragán-Montero,Physica Medica,83,2021-03-31,242,256,10.1016/j.ejmp.2021.04.016,False,S1120179721001733,"{'author': [{'$': 'Ana Barragán-Montero'}, {'$': 'Umair Javaid'}, {'$': 'John A. Lee'}]}"
true,2021-11-09T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0011916421005142', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0011916421005142?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.desal.2021.115443,https://api.elsevier.com/content/article/pii/S0011916421005142,An efficient deep reinforcement machine learning-based control reverse osmosis system for water desalination,Talal Bonny,Desalination,522,2022-01-15,115443,,10.1016/j.desal.2021.115443,False,S0011916421005142,"{'author': [{'$': 'Talal Bonny'}, {'$': 'Mariam Kashkash'}, {'$': 'Farah Ahmed'}]}"
true,2021-09-01T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/B9780128197264000788', 'scidir': 'https://www.sciencedirect.com/science/article/pii/B9780128197264000788?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/B978-0-12-819726-4.00078-8,https://api.elsevier.com/content/article/pii/B9780128197264000788,"Data Science, Machine Learning and Artificial Intelligence Applied to Metals and Alloys Research: Past, Present, and Future",Raymundo Arróyave,Encyclopedia of Materials: Metals and Alloys,4,2022-12-31,609,621,10.1016/B978-0-12-819726-4.00078-8,False,B9780128197264000788,{'author': 'Raymundo Arróyave'}
true,2021-09-27T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950705121007887', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950705121007887?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.knosys.2021.107526,https://api.elsevier.com/content/article/pii/S0950705121007887,Deep reinforcement learning for transportation network combinatorial optimization: A survey,Qi Wang,Knowledge-Based Systems,233,2021-12-05,107526,,10.1016/j.knosys.2021.107526,False,S0950705121007887,"{'author': [{'$': 'Qi Wang'}, {'$': 'Chunlei Tang'}]}"
true,2021-03-19T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0031320321001382', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0031320321001382?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.patcog.2021.107951,https://api.elsevier.com/content/article/pii/S0031320321001382,Unsupervised meta-learning for few-shot learning,Hui Xu,Pattern Recognition,116,2021-08-31,107951,,10.1016/j.patcog.2021.107951,False,S0031320321001382,"{'author': [{'$': 'Hui Xu'}, {'$': 'Jiaxing Wang'}, {'$': 'Jie Shao'}]}"
true,2021-08-30T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2214635021001210', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2214635021001210?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.jbef.2021.100577,https://api.elsevier.com/content/article/pii/S2214635021001210,"Artificial intelligence and machine learning in finance: Identifying foundations, themes, and research clusters from bibliometric analysis",John W. Goodell,Journal of Behavioral and Experimental Finance,32,2021-12-31,100577,,10.1016/j.jbef.2021.100577,False,S2214635021001210,"{'author': [{'$': 'John W. Goodell'}, {'$': 'Satish Kumar'}, {'$': 'Debidutta Pattnaik'}]}"
true,2021-11-12T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S2405896321018917', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S2405896321018917?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.ifacol.2021.10.454,https://api.elsevier.com/content/article/pii/S2405896321018917,Flight Control of a Multicopter using Reinforcement Learning,Francesco d’Apolito,IFAC-PapersOnLine,54,2021-12-31,251,255,10.1016/j.ifacol.2021.10.454,False,S2405896321018917,"{'author': [{'$': 'Francesco d’Apolito'}, {'$': 'Christoph Sulzbachner'}]}"
true,2020-07-13T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0896627320304682', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0896627320304682?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.neuron.2020.06.014,https://api.elsevier.com/content/article/pii/S0896627320304682,Deep Reinforcement Learning and Its Neuroscientific Implications,Matthew Botvinick,Neuron,107,2020-08-19,603,616,10.1016/j.neuron.2020.06.014,True,S0896627320304682,"{'author': [{'$': 'Matthew Botvinick'}, {'$': 'Jane X. Wang'}, {'$': 'Zeb Kurth-Nelson'}]}"
true,2021-07-24T00:00:00.000Z,"{'self': 'https://api.elsevier.com/content/article/pii/S0950061821020377', 'scidir': 'https://www.sciencedirect.com/science/article/pii/S0950061821020377?dgcid=api_sd_search-api-endpoint'}",DOI:10.1016/j.conbuildmat.2021.124278,https://api.elsevier.com/content/article/pii/S0950061821020377,Asphalt pavement maintenance plans intelligent decision model based on reinforcement learning algorithm,Chengjia Han,Construction and Building Materials,299,2021-09-13,124278,,10.1016/j.conbuildmat.2021.124278,False,S0950061821020377,"{'author': [{'$': 'Chengjia Han'}, {'$': 'Tao Ma'}, {'$': 'Siyu Chen'}]}"
