id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.rcim.2021.102231,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-02-01,scopus,A Survey of Robot Learning Strategies for Human-Robot Collaboration in Industrial Settings,https://api.elsevier.com/content/abstract/scopus_id/85111512074,"
                  Increased global competition has placed a premium on customer satisfaction, and there is a greater demand for manufacturers to be flexible with their products and services. This challenge is usually addressed with the introduction of human operators for precise tasks that require dexterity, flexibility and cognitive decision making. On the other hand, robots, through automation, are very effective in carrying out repetitive, non-ergonomic tasks. Owing to the complementary nature of robots’ and humans’ capabilities, there is an increased interest towards a shared workspace for humans and robots to work together collaboratively, forming the motivation behind the field of human-robot collaboration (HRC). Research in HRC in industry is concerned with the safety of the humans and robots, extent, and modes of collaboration among them, and the level of autonomy and adaptability of robots that can be trained for different tasks. This paper introduces a novel taxonomy of levels of interaction between humans and robots along the lines of SAEs guidelines for autonomous vehicles in response to a need for standard definitions and evolving nature of the field. Research into modes of communication for HRC driven by machine learning are reviewed followed by broad definitions of the types of machine learning. The authors also present a comprehensive review of the machine learning (ML) methodologies and industrial applications of the same in the context of adaptable collaborative robots.
               ",autonomous vehicle
10.1016/j.neucom.2021.09.060,Journal,Neurocomputing,scopus,2022-01-11,scopus,Adaptive tracking control for an unmanned autonomous helicopter using neural network and disturbance observer,https://api.elsevier.com/content/abstract/scopus_id/85118114449,"
                  In this paper, an adaptive tracking control scheme is investigated for a medium scale unmanned autonomous helicopter (UAH) with unknown external disturbances and system uncertainties to achieve improvement on the flight performance. The neural networks (NNs) are employed to compensate the system uncertainties. The second-order disturbance observers are introduced to restrain the compound disturbances which are combined with the NN approximation errors and the external disturbances. Accordingly, the tracking control law is designed for the UAH. The closed-loop stability of the whole UAH system is proved by using Lyapunov function method. Simulation results show that the developed control scheme can effectively solve the tracking control problems of UAH and certainly accomplish strong robustness with respect to the external disturbances and system uncertainties.
               ",autonomous vehicle
10.1016/j.scs.2021.103492,Journal,Sustainable Cities and Society,scopus,2022-01-01,scopus,Urban energy efficiency assessment models from an AI and big data perspective: Tools for policy makers,https://api.elsevier.com/content/abstract/scopus_id/85118507585,"
                  Although energy efficiency is quite a cliché term, it is a topic that attracts an increasing attention the last decade, especially in the context of cities and as a means to address emerging challenges like sustainability and climate change. Several models have been introduced to conceptualize and calculate the urban energy system, and to demonstrate the variants that calibrate the local energy efficiency. Nevertheless, cutting-edge technologies like blockchain, electrical -and even autonomous- vehicles, smart building systems, Artificial Intelligence (AI) and big data etc. are growing within cities and question the identified urban energy efficiency, since they demand enormous amounts of power. In this regard, policy makers are concerned of the emerging technologies’ energy efficiency and their impact on the urban energy system and they attempt to introduce corresponding standards for their development. This article focuses on the impact of AI and big data in city's energy efficiency. More specifically, a literature analysis is performed and returned a taxonomy of existing energy efficiency assessment models under the lens of AI and big data. Moreover, the definition of a unified assessment model for AI and big data energy efficiency is approached.
               ",autonomous vehicle
10.26552/com.C.2022.1.C1-C17,Journal,Communications - Scientific Letters of the University of Zilina,scopus,2022-01-01,scopus,Redundant multi-object detection for autonomous vehicles in structured environments,https://api.elsevier.com/content/abstract/scopus_id/85118295188,,autonomous vehicle
10.32604/iasc.2022.021296,Journal,Intelligent Automation and Soft Computing,scopus,2022-01-01,scopus,Restoration of adversarial examples using image arithmetic operations,https://api.elsevier.com/content/abstract/scopus_id/85118177637,,autonomous vehicle
,Book Series,Lecture Notes in Networks and Systems,scopus,2022-01-01,scopus,"16th International Conference on P2P, Parallel, Grid, Cloud and Internet Computing, 3PGCIC-2021",https://api.elsevier.com/content/abstract/scopus_id/85118176899,,autonomous vehicle
10.32604/iasc.2022.020249,Journal,Intelligent Automation and Soft Computing,scopus,2022-01-01,scopus,Deriving driver behavioral pattern analysis and performance using neural network approaches,https://api.elsevier.com/content/abstract/scopus_id/85118175447,,autonomous vehicle
10.1007/978-3-030-89899-1_4,Book Series,Lecture Notes in Networks and Systems,scopus,2022-01-01,scopus,A LiDAR Based Mobile Area Decision Method for TLS-DQN: Improving Control for AAV Mobility,https://api.elsevier.com/content/abstract/scopus_id/85118133163,,autonomous vehicle
10.1007/978-981-16-6372-7_61,Book Series,Lecture Notes in Electrical Engineering,scopus,2022-01-01,scopus,Survey of Action Recognition Based on Attention Mechanism,https://api.elsevier.com/content/abstract/scopus_id/85118132510,,autonomous vehicle
10.1007/978-981-16-3637-0_28,Book Series,"Smart Innovation, Systems and Technologies",scopus,2022-01-01,scopus,Security of Deep Learning Models in 5G Networks: Proposition of Security Assessment Process,https://api.elsevier.com/content/abstract/scopus_id/85116903511,,autonomous vehicle
10.1007/978-981-16-4621-8_1,Book Series,"Smart Innovation, Systems and Technologies",scopus,2022-01-01,scopus,Digital Platforms and Cloud Technologies in Post-capitalist Discourse: A Doctrinal and Legal Perspective,https://api.elsevier.com/content/abstract/scopus_id/85116880906,,autonomous vehicle
10.1007/978-981-16-2406-3_22,Book Series,Lecture Notes in Electrical Engineering,scopus,2022-01-01,scopus,A Real-Time Malaysian Traffic Sign Recognition Using YOLO Algorithm,https://api.elsevier.com/content/abstract/scopus_id/85116495719,,autonomous vehicle
,Book Series,Lecture Notes in Electrical Engineering,scopus,2022-01-01,scopus,"International Conference on Applied Nonlinear Dynamics, Vibration and Control, ICANDVC 2021",https://api.elsevier.com/content/abstract/scopus_id/85116477751,,autonomous vehicle
,Book Series,Lecture Notes in Electrical Engineering,scopus,2022-01-01,scopus,"12th National Technical Seminar on Unmanned System Technology, NUSYS 2020",https://api.elsevier.com/content/abstract/scopus_id/85116446818,,autonomous vehicle
10.1007/978-981-16-2406-3_70,Book Series,Lecture Notes in Electrical Engineering,scopus,2022-01-01,scopus,Autonomous Lane Navigation: Using Hand-Coded Method and Deep Learning Method,https://api.elsevier.com/content/abstract/scopus_id/85116433437,,autonomous vehicle
10.32604/cmc.2022.020197,Journal,"Computers, Materials and Continua",scopus,2022-01-01,scopus,AI based traffic flow prediction model for connected and autonomous electric vehicles,https://api.elsevier.com/content/abstract/scopus_id/85115989379,,autonomous vehicle
