contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Chapter ConferencePaper,doi:10.1007/978-3-030-84760-9_55,Traffic Sign Detection and Recognition for Hazy Images: ADAS,Second International Conference on Image Processing and Capsule Networks,10.1007/978-3-030-84760-9_55,Springer,2022-01-01,2021-09-10,"Self driving cars are picking up pace and thus serves as a challenging research domain. One of the most crucial functions in an autonomous vehicle is accurately detecting and recognising the traffic signs. Traffic sign detection is a crucial task in traffic sign recognition systems. Deep neural networks are proven powerful in traffic sign classification. As traffic sign violation leads to law and order disruption, posing a threat to human life, there is a need for robust algorithms with efficient actuation to perform the delegated task. Thus, this paper proposes a robust algorithm which addresses challenges like haze, fog, unclear images due to improper condition of roads to efficiently detect and recognize traffic signs using Image manipulation, Optical Character Recognition (OCR) algorithm and You Only Look Once (YOLOv3) detection algorithm. The proposed algorithm in this paper for hazy images that aids in ADAS applications has an accuracy of 87.29%. This contributes to the emerging research domains of autonomous vehicles and self-driving cars.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-84760-9_55,springer
Chapter ConferencePaper,doi:10.1007/978-981-33-4597-3_80,Rain Classification for Autonomous Vehicle Navigation Using Machine Learning,Recent Trends in Mechatronics Towards Industry 4.0,10.1007/978-981-33-4597-3_80,Springer,2022-01-01,2021-07-16,"Autonomous vehicles (AV) has gained popularity in research and development in many countries due to the advancement of sensor technology that is used in the AV system. Despite that, sensing and perceiving in harsh weather conditions has been an issue in this modern sensor technology as it needs the ability to adapt to human behaviour in various situations. This paper aims to classify clear and rainy weather using a physical-based simulator to imitate the real-world environment which consists of roads, vehicles, and buildings. The real-world environment was constructed in a physical-based simulator to publish the data logging and testing using the ROS network. Point cloud data generated from LiDAR with a different frame of different weather are to be coupled with three machine learning models namely Naïve Bayes (NB), Random Forest (RF), and k-Nearest Neighbour (kNN) as classifiers. The preliminary analysis demonstrated that with the proposed methodology, the RF machine learning model attained a test classification accuracy (CA) of 99.9% on the test dataset, followed by kNN with a test CA of 99.4% and NB at 92.4%. Therefore, the proposed strategy has the potential to classify clear and rainy weather that provides objective-based judgement.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-33-4597-3_80,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-2937-2_14,Enhanced Behavioral Cloning-Based Self-driving Car Using Transfer Learning,"Data Management, Analytics and Innovation",10.1007/978-981-16-2937-2_14,Springer,2022-01-01,2021-09-20,"Sumanth, Uppala Punn, Narinder Singh Sonbhadra, Sanjay Kumar Agarwal, Sonali With the growing phase of artificial intelligence and autonomous learning, the self-driving car is one of the promising areas of research and emerging as a center of focus for automobile industries. Behavioral cloning is the process of replicating human behavior via visuomotor policies by means of machine learning algorithms. In recent years, several deep learning-based behavioral cloning approaches have been developed in the context of self-driving cars specifically based on the concept of transfer learning. Concerning the same, the present paper proposes a transfer learning approach using VGG16 architecture, which is fine-tuned by retraining the last block while keeping other blocks as non-trainable. The performance of proposed architecture is further compared with existing NVIDIA’s architecture and its pruned variants (pruned by 22.2 and 33.85% using $$1\times 1$$ 1 × 1 filter to decrease the total number of parameters). Experimental results show that the VGG16 with transfer learning architecture has outperformed other discussed approaches with faster convergence.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-2937-2_14,springer
Chapter,doi:10.1007/978-3-030-79766-9_1,Security Challenges in 5G and IoT Networks: A Review,Secure Communication for 5G and IoT Networks,10.1007/978-3-030-79766-9_1,Springer,2022-01-01,2021-10-29,"5G networks are poised to satisfy the anticipated growth in Internet of Technology (IoT) devices and their related systems. The invasion of 5G networks brings along with it an accelerated need for security and privacy. The need for tailor-made security solutions has become the need of the hour to ensure data integrity, confidentiality, and authentication in 5G-based IoT networks. Since IoT initiates sensors and actuators in a totally smart environment, IoT security will involve protecting the total deployment architecture of IoT from internal and external attacks. Integration of cryptographical algorithms and quantum cryptography has been used effectively to secure data in 5G networks. Privacy and identity management has been a mandatory requirement in networks carrying delicate data involved in retail shops, traffic services, and health monitoring systems. Securing data in 5G and IoT networks and detection of trustworthy and rogue nodes, proper monitoring, logging, and broadcasting are the vital necessities of any security system. The exhaustive survey on the security issues in the 5G-IoT scenario, highlights the application of the latest technologies, incorporation of hybrid methodologies in securing them, and also emphasizes on the open issues yet to be addressed and research challenges that are to be explored.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-79766-9_1,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-4016-2_65,The Mythical or Realistic Implementation of AI-powered Driverless Cars in Africa: A Review of Challenges and Risks,Smart Trends in Computing and Communications,10.1007/978-981-16-4016-2_65,Springer,2022-01-01,2021-10-26,"In recent times, African nations have been mostly absent in discussions concerning artificial intelligence (AI)-powered driverless cars. Additionally, it was also discovered that several global surveys and other studies on driverless car acceptance, popularity and confidence excluded Africa. This is in the light of its immense benefits which include the reduction of road accidents, an effectual car-sharing and transport structure and accurate navigation with less consideration of distractions. Therefore, we examined the challenges and risks attendant to the deployment of self-driving cars in a developing region such as Africa. Several challenges were identified, and they include lack of needed infrastructure, absence of law and order, cost, absence of image detection and recognition projects, absence of practical artificial intelligence courseware, need for an advanced AI-based algorithm, weak legal framework and other ethical issues, criminalization, security and privacy and high tendency to cause more unemployment. The paper highlights several risks attendant to such forms of advancement in Africa.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-4016-2_65,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-1866-6_8,Advancing e-Government Using Internet of Things,Mobile Computing and Sustainable Informatics,10.1007/978-981-16-1866-6_8,Springer,2022-01-01,2021-07-23,"Internet of Things (IoT) is the most revolutionary and attractive technology of today without which it is nearly impossible to imagine the future due to its applications in numerous fields such as smart cities, home automation, wearable devices, etc., and its ability to make human life much easier via integration with other technologies such as cloud computing and artificial intelligence. In this paper, we have conducted a survey on the ways IoT can be utilized in various sectors of an e-Government such as pollution control, health care and voting. We have also described a six-layer IoT-based model for smart agriculture and studied the benefits of using unmanned aerial vehicles in smart agriculture. This paper further introduces the concept of a “smart” government and its realization via integration of fog computing with IoT leading to a Fog-of-Things (FoT) architecture.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-1866-6_8,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-85540-6_1,"Human and Machine Trust Considerations, Concerns and Constraints for Lethal Autonomous Weapon Systems (LAWS)","Human Interaction, Emerging Technologies and Future Systems V",10.1007/978-3-030-85540-6_1,Springer,2022-01-01,2021-09-10,"Trust and autonomous systems, especially weapon systems, could be the most difficult technological challenge facing defense industries, militaries, politicians, and the public because the algorithms have to be trusted. Furthermore, the operator, the military, defense industry, politicians and the public need to trust the system to also follow ethical and legal rules. This paper briefly describes the trust considerations, concerns and constraints regarding autonomous weapons systems and concludes with a brief description of the current development programs and projects by the various US military services.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-85540-6_1,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-87178-9_5,Neural Network Adaptation of the Kalman Filter for Odometry Fusion,Proceedings of the Fifth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’21),10.1007/978-3-030-87178-9_5,Springer,2022-01-01,2021-09-16,"In navigation systems for unmanned vehicles, an important task is fusion of the pose estimations (odometry and localization) obtained from different sensors: cameras, LiDARs, wheel encoders, inertial measurement modules, etc. To solve this task, it is necessary to know the covariance matrices for each of the odometry sources, which characterize the prediction accuracy of the corresponding pose. In this paper we propose a neural network adaptation of noise covariances in Kalman filter for odometry fusion task. Instead of specifying process and measurement noise covariances manually, we use optimization technique and neural network on input time series data to automatically predict values of these covariance matrices. Our approach fuses the vehicle 3D position and orientation obtained using visual and LiDAR-based methods for simultaneously localization and mapping. The experiments were conducted on a dataset from unmanned ground robot Clearpath Husky. Comparing to Kalman filter without adaptation, our method is more precise. We made a software implementation of the proposed approach based on PyTorch deep learning framework.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87178-9_5,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-87178-9_58,Analysis of the Possibility of Intellectualization of Algorithms for Estimating the Parameters of Dynamic Systems Based on Adaptive Model of Motion,Proceedings of the Fifth International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’21),10.1007/978-3-030-87178-9_58,Springer,2022-01-01,2021-09-16,"Existing onboard systems for processing measurement information do not always provide the necessary accuracy in estimating the parameters of movement of unmanned aerial vehicles. These errors are due to the use of kinematic motion models based on filtering algorithms, which does not allow to take into account the action of external forces on the control object. The possibility of intellectualizing the adaptive algorithms for estimating the parameters of dynamic systems is considered. The proposed adaptive motion model with an intelligent system to determine the adaptation parameter as a part of the angular position estimation filter makes it possible to increase the estimation accuracy in comparison with the classical Kalman filter. The effectiveness of the proposed approach is confirmed by the comparative analysis of the results of numerical modeling of the process of estimation of the roll angle of the unmanned aerial vehicle model.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87178-9_58,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-2406-3_70,Autonomous Lane Navigation: Using Hand-Coded Method and Deep Learning Method,Proceedings of the 12th National Technical Seminar on Unmanned System Technology 2020,10.1007/978-981-16-2406-3_70,Springer,2022-01-01,2021-09-25,"Autonomous vehicle is known as a vehicle that requires no or little human decision while in motion because it’s capable of sensing its environment, it has been a continuous field of research and falls under autonomous navigation system (ANS). Autonomous navigation depicts that a vehicle is capable to plot its path and achieve its plan without human interference remote navigation aids are used in the planning process. In this project, the navigation aid is a front-facing camera mounted and images from the camera are used to compute steering commands. This work made use of two methods which are the handcrafted method for lane navigation and the end to end learning scheme developed by Nvidia cooperation to train a model to compute steering command from a front-facing camera. The deep learning model is compared with the handcraft method of computing steering angle. The difference between these two methods is presented in this work as the navigation of a modelled car which navigates through the designed lanes using both methods, the accuracy of the car following the lanes is used to determine the better method for lane navigation. Which turns out to be the end to end learning method for lane navigation.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-2406-3_70,springer
