contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1631/FITEE.1900637,Pre-training with asynchronous supervised learning for reinforcement learning based autonomous driving,Frontiers of Information Technology & Electronic Engineering,10.1631/FITEE.1900637,Springer,2021-05-01,2021-05-28,"基于人定规则所设计的自动驾驶系统可能会因大规模相互耦合的规则而变得越来越复杂, 因此许多研究人员致力于探索基于学习的解决方案. 强化学习 (reinforcement learning, RL) 因其在各种顺序控制问题上的出色表现而被应用于自动驾驶系统设计. 然而, 基于RL的自动驾驶系统落地应用所面临的主要挑战是其初始性能不佳. 强化学习训练需要大量训练数据, 然后模型才能达到合理的性能要求, 这使得基于强化学习的模型不适用于现实环境, 尤其在数据昂贵的情况下. 本文为基于强化学习的端到端自动驾驶模型提出一种异步监督学习 (asynchronous supervised learning, ASL) 方法, 以解决在实际环境中训练基于强化学习模型时初始性能差的问题. 具体而言, 通过在多个驾驶演示数据集上并行且异步执行多个监督学习过程, 在异步监督学习预训练阶段引入先验知识。经过预训练后, 模型将被部署到真实车辆上进一步开展强化学习训练, 以适应实际环境并不断突破性能极限. 本文在赛车模拟器TORCS (The Open Racing Car Simulator) 上对所提出的预训练方法进行评估, 以验证该方法在改善强化学习训练阶段端到端自动驾驶模型的初始性能和收敛速度方面足够可靠. 此外, 建立一个实车验证系统, 以验证所提预训练方法在实车部署中的可行性. 仿真结果表明, 在有监督的预训练阶段使用一些演示, 可以显著提高强化学习训练阶段的初始性能和收敛速度. Rule-based autonomous driving systems may suffer from increased complexity with large-scale intercoupled rules, so many researchers are exploring learning-based approaches. Reinforcement learning (RL) has been applied in designing autonomous driving systems because of its outstanding performance on a wide variety of sequential control problems. However, poor initial performance is a major challenge to the practical implementation of an RL-based autonomous driving system. RL training requires extensive training data before the model achieves reasonable performance, making an RL-based model inapplicable in a real-world setting, particularly when data are expensive. We propose an asynchronous supervised learning (ASL) method for the RL-based end-to-end autonomous driving model to address the problem of poor initial performance before training this RL-based model in real-world settings. Specifically, prior knowledge is introduced in the ASL pre-training stage by asynchronously executing multiple supervised learning processes in parallel, on multiple driving demonstration data sets. After pre-training, the model is deployed on a real vehicle to be further trained by RL to adapt to the real environment and continuously break the performance limit. The presented pre-training method is evaluated on the race car simulator, TORCS (The Open Racing Car Simulator), to verify that it can be sufficiently reliable in improving the initial performance and convergence speed of an end-to-end autonomous driving model in the RL training stage. In addition, a real-vehicle verification system is built to verify the feasibility of the proposed pre-training method in a real-vehicle deployment. Simulations results show that using some demonstrations during a supervised pre-training stage allows significant improvements in initial performance and convergence speed in the RL training stage.",http://link.springer.com/openurl/pdf?id=doi:10.1631/FITEE.1900637,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-0041-8_16,It is not a Driverless Car!—A Framework for Interacting with the AI in Autonomous Vehicles,Design for Tomorrow—Volume 1,10.1007/978-981-16-0041-8_16,Springer,2021-01-01,2021-04-27,"With autonomous vehicles (AV) fast becoming a reality, in the not so distant future, streets are expected to be populated with these intelligent autonomous beings ferrying passengers alongside human-driven vehicles and pedestrians. The bulk of research today seems to focus on setting up the required software and hardware systems, alongside policies and transportation infrastructure. A gap is seen to exist within the realm where the passengers and vehicle AI interface. This calls for research in developing capabilities for the AI in AVs a form of social transactions that are more familiar to human beings, taking cues from natural conversations and body language signals. The reason for this is that autonomous vehicles not only need to perform navigational duties, but also need to communicate, respond, and reciprocate in a social manner. This would give the AI the dignity they deserve when performing their functions, as performing these activities accords with the capabilities of a self-aware, intelligent being. This paper proposes a framework for future communication between autonomous vehicles and humans, focusing on the working relationship between the vehicle and its passengers taking references of the communications theory related to human-to-human interactions, extrapolating to human-to-AI interaction within the AV.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-0041-8_16,springer
Chapter,doi:10.1007/978-3-030-72065-0_18,Artificial Intelligence Techniques in Smart Cities Surveillance Using UAVs: A Survey,Machine Intelligence and Data Analytics for Sustainable Future Smart Cities,10.1007/978-3-030-72065-0_18,Springer,2021-01-01,2021-06-01,"The security and urbanization challenge is expected to rise to 90% by 2050, and to leverage existing resources, technology is the solitary means to cope with this anticipated raise in entail. The Smart City is focused on the smooth convergence of Information and Communication Technology with the most technological innovations like well-connected home and equipment. Smart city augments the lifestyle of its residents by providing efficacious infrastructure and enhanced security. Surveillance is a recurring and monotonous assignment that descends the performance of human guards when continued for a longer period of time. Unmanned Aerial Vehicles (UAVs) or Drones can be deployed as security cameras to augment human guards. It can be deployed to track intruders, monitor unusual activities such as theft, violence and unprecedented corona-virus pandemic scenarios. UAV based visual surveillance in Smart cities, produces a huge amount of multimedia data. The need to process and analyze the data automatically in real-time is critical. Artificial Intelligence and Deep learning imitates human intelligence and provides excellent analytical capabilities to learn about complex data obtained in real environments. The integrated solution of Deep learning technology with the UAVs an electronic eye-in-the-sky has leveraged the capability of detection, recognition and deterrence in a scalable surveillance system. A comprehensive review on the potential benefits of UAVs and its applications for surveillance in smart cities has been presented. This chapter elaborates seamless integration of UAVs and Deep Learning technologies solutions for smart city surveillance. The paper concludes with a description of main challenges for the application of UAVs in deep learning solutions.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-72065-0_18,springer
Article,doi:10.1007/s42421-021-00038-z,Model Free Identification of Traffic Conditions Using Unmanned Aerial Vehicles and Deep Learning,Journal of Big Data Analytics in Transportation,10.1007/s42421-021-00038-z,Springer,2021-04-01,2021-03-08,"The purpose of this paper is to provide a methodological framework to identify traffic conditions based on non-calibrated video recordings captured from unmanned aerial vehicles (UAV) using deep learning. To this end, we propose two complementary to each other approaches: (i) identify in real time, with minimal computational cost, traffic conditions, (ii) localize, classify vehicles and approximate traffic variables (volume, speed, density) on a road segment from video captured by UAVs. Both problems are formulated as classification problems and tackled using Convolutional Neural Networks (CNN). The use of pre-trained CNNs is also investigated. Both approaches are, then, analysed based on their accuracy and feasibility in implementation. Findings indicate that all models developed achieve a detection accuracy of 89% and higher. The CNN with the best performance can classify traffic conditions between constrained and unconstrained traffic with 91% accuracy higher than what a pretrained model achieved and with significantly faster training times. Furthermore, findings indicated that pretrained neural network for traffic localization was able to predict the position and type of vehicles with a precision of 0.91. Based on the fundamental traffic diagram, it was shown that the two approaches provide compatible results and a feasible representation of traffic on the study area. Finally, possible applications in the field of transportation and traffic monitoring are discussed.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42421-021-00038-z,springer
Article,doi:10.1007/s10670-020-00331-3,"Robot Ethics 2.0. From Autonomous Cars to Artificial Intelligence—Edited by Patrick Lin, Keith Abney, Ryan Jenkins. New York: Oxford University Press, 2017. Pp xiii + 421",Erkenntnis,10.1007/s10670-020-00331-3,Springer,2020-10-22,2020-10-22,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10670-020-00331-3,springer
Chapter,doi:10.1007/978-981-15-9255-3_1,Challenges for and with Autonomous Vehicles: An Introduction,Autonomous Vehicles,10.1007/978-981-15-9255-3_1,Springer,2021-01-01,2020-12-22,"The deployment of autonomous vehicles has been announced for years. Yet, full autonomous vehicles are not on public roads. Elon Musk Elon Musk , speaking at an event during the first half of 2020, stated that his firm will be able to present a fully autonomous vehicle technology by the end of the year. This statement is met with skepticism, especially because several of the challenges that existed have not been solved. Road traffic laws have not been adjusted to face the reality of driving by an autonomous machine. The only way that full autonomous vehicles can hit public roads is through test procedures. There also exists quite some uncertainty on who should be liable for accidents with autonomous vehicles. Accidents may occur, and this is something that adversarial machine learning Adversarial machine learning is showing. Even with the best set of sensors, the interpretation of the sensed environment may be misinterpreted. Connectivity Connectivity is being suggested as a possible solution to several of the problems autonomous vehicles are facing. Deploying autonomous vehicles will also challenge business organization, as car manufacturers Manufacturer may turn their business vehicles into mobility service providers. This may require a different type of organization within the firm.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-15-9255-3_1,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-90963-5_36,Applying Human Cognition to Assured Autonomy,"HCI International 2021 - Late Breaking Papers: Multimodality, eXtended Reality, and Artificial Intelligence",10.1007/978-3-030-90963-5_36,Springer,2021-01-01,2021-11-11,"The scaled deployment of semi- and fully autonomous systems undeniably depends on assured autonomy. This reality, however, has become far more complex than expected because it necessarily demands an integrated tripartite solution not yet achieved: consensus-based standards and compliance across industry, scientific innovation within artificial intelligence R&D of explainability, and robust end-user education. In this is paper I present my human-centered approach to the design, development, and deployment of autonomous systems and break down how human factors such as cognitive and behavioral insights into how we think, feel, act, plan, make decisions, and problem-solve are foundational to assuring autonomy.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-90963-5_36,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-69066-3_22,Delay Minimization in Multi-UAV Assisted Wireless Networks: A Reinforcement Learning Approach,Artificial Intelligence for Communications and Networks,10.1007/978-3-030-69066-3_22,Springer,2021-01-01,2021-02-19,"Unmanned Aerial Vehicles (UAVs) assisted communications are promising technology for meeting the demand of unprecedented demands for wireless services. In this paper, we propose a novel framework for delay minimization driven deployment of multiple UAVs. The problem of joint non-convex three dimensional (3D) deployment for minimizing average delay is formulated and solved by Deep Q network (DQN), which is a reinforcement learning based algorithm. Firstly, we obtain the cell partition by K-means algorithm. Then, we find the optimal 3D position for each UAV in each cluster to provide low delay service. Finally, when users are roaming, the UAVs are still able to track the real-time users. Numerical results show that the proposed DQN-based delay algorithm shows a fast convergence after a small number of iterations. Additionally, the proposed deployment algorithm outperforms several benchmarks in terms of average delay.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-69066-3_22,springer
Chapter,doi:10.1007/978-3-030-59897-6_11,Internet of Things and Artificial Intelligence-Enabled Secure Autonomous Vehicles for Smart Cities,Automotive Embedded Systems,10.1007/978-3-030-59897-6_11,Springer,2021-01-01,2021-04-25,"The ever-increasing count of vehicles wrecks several cities in the global scenario. Smart cities have evolved as a winning strategy that helps to cope up with this issue and overcome the urban problems such as pollution, traffic, waste management, optimization of energy consumption, and so on. Technologies such as machine learning (ML), Internet of Things (IoT), artificial intelligence (AI), big data analytics, cloud computing, and smart sensors serve as tools that provide enormous possibilities in the smart revolution. Several researchers are working on developing a complete system that performs information gathering, alternate identification, smart predictions, review of choices, decision-making, and taking suitable actions. These systems impose various challenges in terms of governance, economy, mobility, environment, people, and living. This chapter provides an in-depth analysis of these challenges in smart cities with respect to autonomous vehicles and also offers real-time solutions to overcome these challenges. A comparative analysis of the existing algorithms is done, and the optimal algorithms that can help in implementation of the system with a user-friendly approach and linguistic flexibility are proposed. Factors such as use of unmanned aerial vehicles (UAV), vehicle-to-vehicle and vehicle-to-infrastructure communication, deployment of location and path planning, data routing, dynamic coordination, data transmission, privacy, and cybersecurity are also considered while designing the system.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-59897-6_11,springer
Chapter ConferencePaper,doi:10.1007/978-981-33-6862-0_28,Object Detection for Autonomous Vehicles Using Deep Learning Algorithm,Computational Vision and Bio-Inspired Computing,10.1007/978-981-33-6862-0_28,Springer,2021-01-01,2021-06-15,"Self-driving cars is recently gaining an increasing interest from the people across the globe. Over 33,000 Americans are killed in car accidents every year and lots of those accidents are often avoided by implementing the autonomous vehicle detection. Different ways are developed to manage and detect the road obstacles with the help of the techniques like machine learning and artificial intelligence. To resolve the issues associated with the existing vehicle detection like vehicle type recognition, low detection accuracy, and slow speed, many algorithms like the fast and faster region-based convolutional neural networks (RCNNs) are implemented but those were not supportive in real time because of the speed at which they compute and its two-step architecture with the faster RCNN, which is the enhanced version of RCNNs that runs at a speed of 7 frames per second. As it is observed that the CNN family has two steps (object detection and classification), which can reduce the response time in real time with good accuracy and high image resolution. So, the vehicle detection model like YOLOv2 and YOLOv3 is taken into consideration in this paper as they are very useful in real-time detection with a comparatively higher frame rate. As YOLO family of algorithms will mostly use the single step detection and classification. YOLO has an FPS rate of 45 which is pretty good in the real-time scenarios. We had an average of 90.4 using the taken algorithm for each image in this paper with a lower resolution image alone.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-33-6862-0_28,springer
