@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,pubmed-id,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,pii,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122309535', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122309535?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122309535&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122309535&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0921453421001891'}",https://api.elsevier.com/content/abstract/scopus_id/85122309535,SCOPUS_ID:85122309535,2-s2.0-85122309535,Optical fibre based quench detection in HTS applications using machine learning classifiers,Akbar A.,Physica C: Superconductivity and its Applications,,593,,,2022-02-15,15 February 2022,10.1016/j.physc.2021.1354007,0,"[{'@_fa': 'true', 'affilname': 'Ecole Polytechnique Fédérale de Lausanne', 'affiliation-city': 'Lausanne', 'affiliation-country': 'Switzerland'}]",,Journal,ar,Article,1354007,29119,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",09214534,S0921453421001891,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121903251', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121903251?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121903251&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121903251&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1389128621005405'}",https://api.elsevier.com/content/abstract/scopus_id/85121903251,SCOPUS_ID:85121903251,2-s2.0-85121903251,Evaluating Federated Learning for intrusion detection in Internet of Things: Review and challenges,Campos E.M.,Computer Networks,,203,,,2022-02-11,11 February 2022,10.1016/j.comnet.2021.108661,0,"[{'@_fa': 'true', 'affilname': 'Universidad de Murcia', 'affiliation-city': 'Murcia', 'affiliation-country': 'Spain'}]",,Journal,ar,Article,108661,26811,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",13891286,S1389128621005405,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124167260', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124167260?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124167260&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124167260&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124167260,SCOPUS_ID:85124167260,2-s2.0-85124167260,"Imaging Flow Cytometry as a Quick and Effective Identification Technique of Pollen Grains from Betulaceae, Oleaceae, Urticaceae and Asteraceae",Gierlicka I.,Cells,20734409,11,4,,2022-02-02,February-2 2022,10.3390/cells11040598,0,"[{'@_fa': 'true', 'affilname': 'University of Rzeszów', 'affiliation-city': 'Rzeszow', 'affiliation-country': 'Poland'}]",,Journal,ar,Article,598,21100978391,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118896502', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118896502?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118896502&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118896502&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0009250921007703'}",https://api.elsevier.com/content/abstract/scopus_id/85118896502,SCOPUS_ID:85118896502,2-s2.0-85118896502,"Developments of leak detection, diagnostics, and prediction algorithms in multiphase flows",Kumar Vandrangi S.,Chemical Engineering Science,,248,,,2022-02-02,2 February 2022,10.1016/j.ces.2021.117205,1,"[{'@_fa': 'true', 'affilname': 'Universiti Teknologi PETRONAS', 'affiliation-city': 'Seri Iskandar', 'affiliation-country': 'Malaysia'}]",,Journal,ar,Article,117205,16413,0,False,,,00092509,S0009250921007703,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124627503', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124627503?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124627503&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124627503&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124627503,SCOPUS_ID:85124627503,2-s2.0-85124627503,"Applications of digital medicine to care pathways: taxonomy, methods, impact on patients, barriers to overcome",Calabria S.,Recenti progressi in medicina,20381840,113,2,105-113,2022-02-01,1 February 2022,10.1701/3748.37314,0,"[{'@_fa': 'true', 'affilname': 'Fondazione Ricerca e Salute (ReS)', 'affiliation-city': 'Casalecchio di Reno (Bologna)', 'affiliation-country': 'Italy'}]",35156953,Journal,ar,Article,,17760,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124617821', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124617821?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124617821&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124617821&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124617821,SCOPUS_ID:85124617821,2-s2.0-85124617821,Graph Representation Learning-Based Early Depression Detection Framework in Smart Home Environments,Kim J.,Sensors,,22,4,,2022-02-01,February-2 2022,10.3390/s22041545,0,"[{'@_fa': 'true', 'affilname': 'Sungkyunkwan University', 'affiliation-city': 'Seoul', 'affiliation-country': 'South Korea'}]",,Journal,ar,Article,1545,130124,1,True,,,14248220,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124541344', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124541344?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124541344&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124541344&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124541344,SCOPUS_ID:85124541344,2-s2.0-85124541344,Toward a Symbolic AI Approach to the WHO/ACSM Physical Activity &amp; Sedentary Behavior Guidelines,Allocca C.,Applied Sciences (Switzerland),20763417,12,4,,2022-02-01,February-2 2022,10.3390/app12041776,0,"[{'@_fa': 'true', 'affilname': 'Samsung Research UK', 'affiliation-city': 'Staines', 'affiliation-country': 'United Kingdom'}]",,Journal,ar,Article,1776,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124478994', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124478994?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124478994&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124478994&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124478994,SCOPUS_ID:85124478994,2-s2.0-85124478994,State of Health Estimation of Lithium‐Ion Batteries in Electric Vehicles under Dynamic Load Conditions,Ezemobi E.,Energies,19961073,15,3,,2022-02-01,February-1 2022,10.3390/en15031234,0,"[{'@_fa': 'true', 'affilname': 'University of Waterloo', 'affiliation-city': 'Waterloo', 'affiliation-country': 'Canada'}, {'@_fa': 'true', 'affilname': 'Politecnico di Torino', 'affiliation-city': 'Turin', 'affiliation-country': 'Italy'}]",,Journal,ar,Article,1234,62932,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124466260', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124466260?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124466260&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124466260&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124466260,SCOPUS_ID:85124466260,2-s2.0-85124466260,IoT-Based Human Fall Detection System,Ribeiro O.,Electronics (Switzerland),20799292,11,4,,2022-02-01,February-2 2022,10.3390/electronics11040592,0,"[{'@_fa': 'true', 'affilname': 'Grupo de Investigação em Engenharia e Computação Inteligente para a Inovação e o Desenvolvimento', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}]",,Journal,ar,Article,592,21100829272,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124374001', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124374001?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124374001&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124374001&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124374001,SCOPUS_ID:85124374001,2-s2.0-85124374001,Intelligent Load-Balancing Framework for Fog-Enabled Communication in Healthcare,Malik S.,Electronics (Switzerland),20799292,11,4,,2022-02-01,February-2 2022,10.3390/electronics11040566,0,"[{'@_fa': 'true', 'affilname': 'Chitkara University, Punjab', 'affiliation-city': 'Rajpura', 'affiliation-country': 'India'}]",,Journal,re,Review,566,21100829272,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
