id,updated,published,title,summary,database
http://arxiv.org/abs/2202.08227v1,2022-02-16T18:12:14Z,2022-02-16T18:12:14Z,Ditto: Building Digital Twins of Articulated Objects from Interaction,"Digitizing physical objects into the virtual world has the potential to
unlock new research and applications in embodied AI and mixed reality. This
work focuses on recreating interactive digital twins of real-world articulated
objects, which can be directly imported into virtual environments. We introduce
Ditto to learn articulation model estimation and 3D geometry reconstruction of
an articulated object through interactive perception. Given a pair of visual
observations of an articulated object before and after interaction, Ditto
reconstructs part-level geometry and estimates the articulation model of the
object. We employ implicit neural representations for joint geometry and
articulation modeling. Our experiments show that Ditto effectively builds
digital twins of articulated objects in a category-agnostic way. We also apply
Ditto to real-world objects and deploy the recreated digital twins in physical
simulation. Code and additional results are available at
https://ut-austin-rpl.github.io/Ditto",arxiv
http://arxiv.org/abs/2202.06483v2,2022-02-15T01:54:22Z,2022-02-14T05:16:53Z,BiFSMN: Binary Neural Network for Keyword Spotting,"The deep neural networks, such as the Deep-FSMN, have been widely studied for
keyword spotting (KWS) applications. However, computational resources for these
networks are significantly constrained since they usually run on-call on edge
devices. In this paper, we present BiFSMN, an accurate and extreme-efficient
binary neural network for KWS. We first construct a High-frequency Enhancement
Distillation scheme for the binarization-aware training, which emphasizes the
high-frequency information from the full-precision network's representation
that is more crucial for the optimization of the binarized network. Then, to
allow the instant and adaptive accuracy-efficiency trade-offs at runtime, we
also propose a Thinnable Binarization Architecture to further liberate the
acceleration potential of the binarized network from the topology perspective.
Moreover, we implement a Fast Bitwise Computation Kernel for BiFSMN on ARMv8
devices which fully utilizes registers and increases instruction throughput to
push the limit of deployment efficiency. Extensive experiments show that BiFSMN
outperforms existing binarization methods by convincing margins on various
datasets and is even comparable with the full-precision counterpart (e.g., less
than 3% drop on Speech Commands V1-12). We highlight that benefiting from the
thinnable architecture and the optimized 1-bit implementation, BiFSMN can
achieve an impressive 22.3x speedup and 15.5x storage-saving on real-world edge
hardware.",arxiv
http://arxiv.org/abs/2202.05940v1,2022-02-12T00:18:13Z,2022-02-12T00:18:13Z,Automatic Curriculum Generation for Learning Adaptation in Networking,"As deep reinforcement learning (RL) showcases its strengths in networking and
systems, its pitfalls also come to the public's attention--when trained to
handle a wide range of network workloads and previously unseen deployment
environments, RL policies often manifest suboptimal performance and poor
generalizability.
  To tackle these problems, we present Genet, a new training framework for
learning better RL-based network adaptation algorithms. Genet is built on the
concept of curriculum learning, which has proved effective against similar
issues in other domains where RL is extensively employed. At a high level,
curriculum learning gradually presents more difficult environments to the
training, rather than choosing them randomly, so that the current RL model can
make meaningful progress in training. However, applying curriculum learning in
networking is challenging because it remains unknown how to measure the
""difficulty"" of a network environment.
  Instead of relying on handcrafted heuristics to determine the environment's
difficulty level, our insight is to utilize traditional rule-based (non-RL)
baselines: If the current RL model performs significantly worse in a network
environment than the baselines, then the model's potential to improve when
further trained in this environment is substantial. Therefore, Genet
automatically searches for the environments where the current model falls
significantly behind a traditional baseline scheme and iteratively promotes
these environments as the training progresses. Through evaluating Genet on
three use cases--adaptive video streaming, congestion control, and load
balancing, we show that Genet produces RL policies which outperform both
regularly trained RL policies and traditional baselines in each context, not
only under synthetic workloads but also in real environments.",arxiv
http://arxiv.org/abs/2202.05811v1,2022-02-11T18:21:18Z,2022-02-11T18:21:18Z,Overhead Image Factors for Underwater Sonar-based SLAM,"Simultaneous localization and mapping (SLAM) is a critical capability for any
autonomous underwater vehicle (AUV). However, robust, accurate state estimation
is still a work in progress when using low-cost sensors. We propose enhancing a
typical low-cost sensor package using widely available and often free prior
information; overhead imagery. Given an AUV's sonar image and a partially
overlapping, globally-referenced overhead image, we propose using a
convolutional neural network (CNN) to generate a synthetic overhead image
predicting the above-surface appearance of the sonar image contents. We then
use this synthetic overhead image to register our observations to the provided
global overhead image. Once registered, the transformation is introduced as a
factor into a pose SLAM factor graph. We use a state-of-the-art simulation
environment to perform validation over a series of benchmark trajectories and
quantitatively show the improved accuracy of robot state estimation using the
proposed approach. We also show qualitative outcomes from a real AUV field
deployment. Video attachment: https://youtu.be/_uWljtp58ks",arxiv
http://arxiv.org/abs/2202.04971v1,2022-02-10T12:03:00Z,2022-02-10T12:03:00Z,"ASRPU: A Programmable Accelerator for Low-Power Automatic Speech
  Recognition","The outstanding accuracy achieved by modern Automatic Speech Recognition
(ASR) systems is enabling them to quickly become a mainstream technology. ASR
is essential for many applications, such as speech-based assistants, dictation
systems and real-time language translation. However, highly accurate ASR
systems are computationally expensive, requiring on the order of billions of
arithmetic operations to decode each second of audio, which conflicts with a
growing interest in deploying ASR on edge devices. On these devices, hardware
acceleration is key for achieving acceptable performance. However, ASR is a
rich and fast-changing field, and thus, any overly specialized hardware
accelerator may quickly become obsolete.
  In this paper, we tackle those challenges by proposing ASRPU, a programmable
accelerator for on-edge ASR. ASRPU contains a pool of general-purpose cores
that execute small pieces of parallel code. Each of these programs computes one
part of the overall decoder (e.g. a layer in a neural network). The accelerator
automates some carefully chosen parts of the decoder to simplify the
programming without sacrificing generality. We provide an analysis of a modern
ASR system implemented on ASRPU and show that this architecture can achieve
real-time decoding with a very low power budget.",arxiv
http://arxiv.org/abs/2202.04834v1,2022-02-10T04:47:47Z,2022-02-10T04:47:47Z,"Geometric Digital Twinning of Industrial Facilities: Retrieval of
  Industrial Shapes","This paper devises, implements and benchmarks a novel shape retrieval method
that can accurately match individual labelled point clusters (instances) of
existing industrial facilities with their respective CAD models. It employs a
combination of image and point cloud deep learning networks to classify and
match instances to their geometrically similar CAD model. It extends our
previous research on geometric digital twin generation from point cloud data,
which currently is a tedious, manual process. Experiments with our joint
network reveal that it can reliably retrieve CAD models at 85.2\% accuracy. The
proposed research is a fundamental framework to enable the geometric Digital
Twin (gDT) pipeline and incorporate the real geometric configuration into the
Digital Twin.",arxiv
http://arxiv.org/abs/2202.02656v1,2022-02-05T23:27:46Z,2022-02-05T23:27:46Z,A survey of top-down approaches for human pose estimation,"Human pose estimation in two-dimensional images videos has been a hot topic
in the computer vision problem recently due to its vast benefits and potential
applications for improving human life, such as behaviors recognition, motion
capture and augmented reality, training robots, and movement tracking. Many
state-of-the-art methods implemented with Deep Learning have addressed several
challenges and brought tremendous remarkable results in the field of human pose
estimation. Approaches are classified into two kinds: the two-step framework
(top-down approach) and the part-based framework (bottom-up approach). While
the two-step framework first incorporates a person detector and then estimates
the pose within each box independently, detecting all body parts in the image
and associating parts belonging to distinct persons is conducted in the
part-based framework. This paper aims to provide newcomers with an extensive
review of deep learning methods-based 2D images for recognizing the pose of
people, which only focuses on top-down approaches since 2016. The discussion
through this paper presents significant detectors and estimators depending on
mathematical background, the challenges and limitations, benchmark datasets,
evaluation metrics, and comparison between methods.",arxiv
http://arxiv.org/abs/2202.02653v1,2022-02-05T22:49:26Z,2022-02-05T22:49:26Z,"Millisecond speed deep learning based proton dose calculation with Monte
  Carlo accuracy","Next generation online and real-time adaptive radiotherapy workflows require
precise particle transport simulations in sub-second times, which is unfeasible
with current analytical pencil beam algorithms (PBA) or stochastic Monte Carlo
(MC) methods. We present a data-driven millisecond speed dose calculation
algorithm (DoTA) accurately predicting the dose deposited by mono-energetic
proton pencil beams for arbitrary energies and patient geometries. Given the
forward-scattering nature of protons, we frame 3D particle transport as
modeling a sequence of 2D geometries in the beam's eye view. DoTA combines
convolutional neural networks extracting spatial features (e.g., tissue and
density contrasts) with a transformer self-attention backbone that routes
information between the sequence of geometry slices and a vector representing
the beam's energy, and is trained to predict low noise MC simulations of proton
beamlets using 80,000 different head and neck, lung, and prostate geometries.
Predicting beamlet doses in 5 ms with a very high gamma pass rate of 99.37%
(1%, 3 mm) compared to the ground truth MC calculations, DoTA significantly
improves upon analytical pencil beam algorithms both in precision and speed.
Offering MC accuracy 100 times faster than PBAs for pencil beams, our model
calculates full treatment plan doses in 10 to 15 s depending on the number of
beamlets, achieving a 99.70% (2%, 2 mm) gamma pass rate across 9 test patients.
Outperforming all previous analytical pencil beam and deep learning based
approaches, DoTA represents a new state of the art in data-driven dose
calculation and can directly compete with the speed of even commercial GPU MC
approaches. Providing the sub-second speed required for adaptive treatments,
straightforward implementations could offer similar benefits to other steps of
the radiotherapy workflow or other modalities such as helium or carbon
treatments.",arxiv
http://arxiv.org/abs/2202.02559v1,2022-02-05T14:12:01Z,2022-02-05T14:12:01Z,"Digital Twin of Wireless Systems: Overview, Taxonomy, Challenges, and
  Opportunities","Future wireless services must be focused on improving the quality of life by
enabling various applications, such as extended reality, brain-computer
interaction, and healthcare. These applications have diverse performance
requirements (e.g., user-defined quality of experience metrics, latency, and
reliability) that are challenging to be fulfilled by existing wireless systems.
To meet the diverse requirements of the emerging applications, the concept of a
digital twin has been recently proposed. A digital twin uses a virtual
representation along with security-related technologies (e.g., blockchain),
communication technologies (e.g., 6G), computing technologies (e.g., edge
computing), and machine learning, so as to enable the smart applications. In
this tutorial, we present a comprehensive overview on digital twins for
wireless systems. First, we present an overview of fundamental concepts (i.e.,
design aspects, high-level architecture, and frameworks) of digital twin of
wireless systems. Second, a comprehensive taxonomy is devised for both
different aspects. These aspects are twins for wireless and wireless for twins.
For the twins for wireless aspect, we consider parameters, such as twin objects
design, prototyping, deployment trends, physical devices design, interface
design, incentive mechanism, twins isolation, and decoupling. On the other
hand, for wireless for twins, parameters such as, twin objects access aspects,
security and privacy, and air interface design are considered. Finally, open
research challenges and opportunities are presented along with causes and
possible solutions.",arxiv
http://arxiv.org/abs/2201.12170v3,2022-02-16T07:33:20Z,2022-01-28T15:11:34Z,"Unsupervised Single-shot Depth Estimation using Perceptual
  Reconstruction","Real-time estimation of actual object depth is a module that is essential to
performing various autonomous system tasks such as 3D reconstruction, scene
understanding and condition assessment of machinery parts. During the last
decade of machine learning, extensive deployment of deep learning methods to
computer vision tasks has yielded approaches that succeed in achieving
realistic depth synthesis out of a simple RGB modality. While most of these
models are based on paired depth data or availability of video sequences and
stereo images, methods for single-view depth synthesis in a fully unsupervised
setting have hardly been explored. This study presents the most recent advances
in the field of generative neural networks, leveraging them to perform fully
unsupervised single-shot depth synthesis. Two generators for RGB-to-depth and
depth-to-RGB transfer are implemented and simultaneously optimized using the
Wasserstein-1 distance and a novel perceptual reconstruction term. To ensure
that the proposed method is plausible, we comprehensively evaluate the models
using industrial surface depth data as well as the Texas 3D Face Recognition
Database and the SURREAL dataset that records body depth. The success observed
in this study suggests the great potential for unsupervised single-shot depth
estimation in real-world applications.",arxiv
