doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/ASYU48272.2019.8946337,A Real-World Text Classification Application for an E-commerce Platform,IEEE,Conferences,"This study aims to reflect the real-world utilities of machine learning applications by implementing a set of different text classification algorithms in terms of accuracy and performance. We developed a system capable of executing various text classification algorithms and generated models trained on real product catalog data collected from morhipo.com, an online fashion commerce platform. The highest mean accuracy rate was obtained as 96.08% (ranging between 85.44% and 99.99%) with a standard deviation value of 5.65% by Linear Support Vector Classifier (LinearSVC) algorithm.",https://ieeexplore.ieee.org/document/8946337/,2019 Innovations in Intelligent Systems and Applications Conference (ASYU),31 Oct.-2 Nov. 2019,ieeexplore
10.1109/CMPSAC.2004.1342880,AdapTIVE: an intelligent virtual environment and its application in e-commerce,IEEE,Conferences,"This work presents an intelligent virtual environment, called AdapTIVE (adaptive three-dimensional intelligent and virtual environment), which has its structure and presentation customized according to users' interests and preferences (represented in a user model) and in accordance with insertion and removal of contents in this environment. An automatic content categorization process is applied to create content models, used in the spatial organization of the contents in the environment. An intelligent agent assists users during navigation in the environment and retrieval of relevant information. This is a promising approach for new and advanced forms of education, entertainment and e-commerce. In order to validate our approach, a case study of an e-commerce environment is presented.",https://ieeexplore.ieee.org/document/1342880/,"Proceedings of the 28th Annual International Computer Software and Applications Conference, 2004. COMPSAC 2004.",28-30 Sept. 2004,ieeexplore
10.1109/CEC-EEE.2006.11,Agile Decision Agent for Service-Oriented E-Commerce Systems,IEEE,Conferences,"In a service-oriented e-commerce environment, it is a crucial task to help consumers choose desired products efficiently from a huge amount of dynamically configured product candidates. Decision agents can be designed to provide interactive decision aids for end-users by eliciting their preferences and then recommending matching products. In reality the users’ preferences may keep changing along with the dynamic decision environment and may not be fully satisfied. As a result, the decision agent is required to be agile: it should allow decision making with an incomplete user’s preference model and should afford users to add, retract or revise their various preferences with little effort. In this paper we propose the general design of an agile decision agent to meet this need. We model users’ preferences with the soft constraint technique and elicit them by the example critiquing interaction paradigm.",https://ieeexplore.ieee.org/document/1640279/,"The 8th IEEE International Conference on E-Commerce Technology and The 3rd IEEE International Conference on Enterprise Computing, E-Commerce, and E-Services (CEC/EEE'06)",26-29 June 2006,ieeexplore
10.1109/KSE53942.2021.9648642,An incremental ensemble learning system for Vietnamese e-commerce product classification,IEEE,Conferences,"With the booming of e-commerce platforms, text classification models play an increasingly important role in businesses. Major challenges that businesses would face include dataset imbalance, continuously added data, language specificity and product specificity. In this paper, we propose a scalable incremental machine learning system for industrial-scale deployment in real-world business. The system also includes steps to optimize e-commerce product specifics. The proposal tactics including keyword dictionary mapping, sampling technique and ensemble learning delivered better performance when compared to models without them. Our experiments also showed that minibatch SVM produced good results and might be considerable in a lighter system.",https://ieeexplore.ieee.org/document/9648642/,2021 13th International Conference on Knowledge and Systems Engineering (KSE),10-12 Nov. 2021,ieeexplore
10.1109/ICMLA.2015.183,Comparative Evaluation of Top-N Recommenders in e-Commerce: An Industrial Perspective,IEEE,Conferences,"We experiment on two real e-commerce datasets and survey more than 30 popular e-commerce platforms to reveal what methods work best for product recommendations in industrial settings. Despite recent academic advances in the field, we observe that simple methods such as best-seller lists dominate deployed recommendation engines in e-commerce. We find our empirical findings to be well-aligned with those of the survey, where in both cases simple personalized recommenders achieve higher ranking than more advanced techniques. We also compare the traditional random evaluation protocol to our proposed chronological sampling method, which can be used for determining the optimal time-span of the training history for optimizing the performance of algorithms. This performance is also affected by a proper hyperparameter tuning, for which we propose golden section search as a fast alternative to other optimization techniques.",https://ieeexplore.ieee.org/document/7424455/,2015 IEEE 14th International Conference on Machine Learning and Applications (ICMLA),9-11 Dec. 2015,ieeexplore
10.1109/ICDE.2019.00205,FAIR: Fraud Aware Impression Regulation System in Large-Scale Real-Time E-Commerce Search Platform,IEEE,Conferences,"Fraud sellers in e-commerce usually promote their products via fake transactions. Such behaviors damage the reputation of the e-commerce platform and jeopardize the business environment in the platform. The search engine of existing e-commerce platforms mainly focuses on generating transactions by matching users' queries and sellers' products. The most common method to defense fraud sellers is to set up a blacklist based on fraud detection and manual investigation, and then punish those sellers in the list, which is inefficient and can only cover a small fraction of potential fraud sellers. In this paper, we propose the first fraud aware impression regulation system (FAIR) which is data-driven and can work in large-scale e-commerce platforms. Its main function is to actively regulate the impressions received by all potential fraud sellers in a real-time fashion. It utilizes the reinforcement learning architecture to dynamically adjust the impression regulation strategy under different reward settings, which can not only promote the impression regulation effects, but also improve the revenue of the platform simultaneously. We deploy FAIR on the Taobao platform of Alibaba, one of the world's largest e-commerce search platform, and perform an A/B test for two weeks. The results show that FAIR can effectively reduce the fraud impressions and improve the overall platform revenue at the same time.",https://ieeexplore.ieee.org/document/8731598/,2019 IEEE 35th International Conference on Data Engineering (ICDE),8-11 April 2019,ieeexplore
10.1109/ICDE48307.2020.00149,Hierarchical Bipartite Graph Neural Networks: Towards Large-Scale E-commerce Applications,IEEE,Conferences,"The e-commerce appeals to a multitude of online shoppers by providing personalized experiences and becomes indispensable in our daily life. Accurately predicting user preference and making a recommendation of favorable items plays a crucial role in improving several key tasks such as Click Through Rate (CTR) and Conversion Rate (CVR) in order to increase commercial value. Some state-of-the-art collaborative filtering methods exploiting non-linear interactions on a user-item bipartite graph are able to learn better user and item representations with Graph Neural Networks (GNNs), which do not learn hierarchical representations of graphs because they are inherently flat. Hierarchical representation is reportedly favorable in making more personalized item recommendations in terms of behaviorally similar users in the same community and a context of topic-driven taxonomy. However, some advanced approaches, in this regard, are either only considering linear interactions, or adopting single-level community, or computationally expensive. To address these problems, we propose a novel method with Hierarchical bipartite Graph Neural Network (HiGNN) to handle large-scale e-commerce tasks. By stacking multiple GNN modules and using a deterministic clustering algorithm alternately, HiGNN is able to efficiently obtain hierarchical user and item embeddings simultaneously, and effectively predict user preferences on a larger scale. Extensive experiments on some real-world e-commerce datasets demonstrate that HiGNN achieves a significant improvement compared to several popular methods. Moreover, we deploy HiGNN in Taobao, one of the largest e-commerces with hundreds of million users and items, for a series of large-scale prediction tasks of item recommendations. The results also illustrate that HiGNN is arguably promising and scalable in real-world applications.",https://ieeexplore.ieee.org/document/9101846/,2020 IEEE 36th International Conference on Data Engineering (ICDE),20-24 April 2020,ieeexplore
10.1109/SAINTW.2003.1210141,Intelligent agent stakes for e-commerce,IEEE,Conferences,"The transformations of the business environment have led to the emergence of new business reality. Business processes are dynamic as never before. Solely participants able to take snap decisions have a chance to survive and, what is more important, generate some benefits. Moreover, the pressure to apply IT solutions forces companies to permanent search for the state-of-the-art technologies. It becomes, thus, necessary to support business processes with a tool that is able to inform, co-operate, act fast as well as replace a human in many business situations. Artificial intelligence (AI) based systems constitute the solution fulfilling such requirements. Quite recently AI started playing significant role in e-commerce world. Its new form is not the monolithic system of the past, but distributed artificial intelligence, known as intelligent agent technology. This technology is the next step in dealing with some shortcomings in e-commerce. However, successful computer systems underlying e-commerce require judgement and the knowledge of experts such as buyers, contract negotiators as well as marketing specialists.",https://ieeexplore.ieee.org/document/1210141/,"2003 Symposium on Applications and the Internet Workshops, 2003. Proceedings.",27-31 Jan. 2003,ieeexplore
10.1109/SNPD.2017.8022721,Issues with conducting controlled on-line experiments for E-Commerce,IEEE,Conferences,"More and more on-line experiments have been done in E-Commerce in order to understand the behavior of users or customers and then apply the data analysis technique to provide business guidance. One of the techniques is A/B testing. However, there is not clear guidance on the sample size in order for us to have valuable, trustable discovery. The purpose of this work is to find out a way to group customers in the data sample in order to achieve an optimal difference between the buckets. Based on the analysis result of real data collected during joining an industry project, we think the problem is complex and the meaningful conclusions have to be drawn with caution from business experiments such as A/B testing, due to the vast variation in the data. Moreover, if we don't allocate enough samples in the treatment group, the experiment could be inconclusive even if the testing lasts for a longer enough time, such as one month.",https://ieeexplore.ieee.org/document/8022721/,"2017 18th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)",26-28 June 2017,ieeexplore
10.1109/ICACSIS.2018.8618144,Protagoras: A Service for Tagging E-Commerce Products at Scale,IEEE,Conferences,"Despite widespread adoption of machine learning to solve real world problems, the implementation of ML solutions in production environment is more complicated than it seems. It is quite straightforward to write machine learning codes these days but they are not designed to be deployed in production scale where millions of requests per day is a norm. In this paper, we describe our implementation of a ML service for large scale product tagging in e-commerce called Protagoras. The problem of tagging products can be seen as multi-label classification where the labels are product tags. By performing the classification within each product category, the precision can be increased and the inference can be performed faster. Protagoras combined the scalability and speed of microservice implementation in Golang and robust machine learning implementation in Python. We present the architecture of the system with all its components including API endpoints, job queue, database, and monitoring. The benchmark shows that, even with 1000 classifiers in one category, the average latency for online inference is below 300 millisecond. The throughput can be further maximized by replicating the service into multiple servers.",https://ieeexplore.ieee.org/document/8618144/,2018 International Conference on Advanced Computer Science and Information Systems (ICACSIS),27-28 Oct. 2018,ieeexplore
10.1109/ICNSC.2019.8743331,Real-time Sentiment Analysis On E-Commerce Application,IEEE,Conferences,"Opinion mining is one of the most important tasks of natural language processing, which is also known as sentiment analysis, used to identify about what people have an impression about their services and products in social media platforms. To improve marketing strategies using product reviews, an effective method should be used for predicting the sentiment polarity. In this research article, a Machine learning technique called Support Vector Machine (SVM) is used to design a model and this model has been implemented on an E-commerce application. The data used in this study are online product reviews which are collected from Amazon.com. The experiments of sentiment analysis are performed for two levels of categorization: review level and sentence level. The main focus of this paper is to present a real-time sentimental analysis on the product reviews of e-commerce application so that the user experience can be enhanced.",https://ieeexplore.ieee.org/document/8743331/,"2019 IEEE 16th International Conference on Networking, Sensing and Control (ICNSC)",9-11 May 2019,ieeexplore
10.1109/BIGCOM.2018.00045,Research and Implementation of a Brand Normalization Method across E-Commerce Platforms,IEEE,Conferences,"A brand is the basic attribute of a commodity, and it is the primary metadata for commodity information analysis. However, in different E-commerce platforms, the same brand entity may be named as different labels, which brings challenges to further data analysis on spoken language analysis, personalized recommendation and other works. Brand Entity Normalization becomes a research issue to recognize labels under a certain brand. The former methods focus on dictionary based text matching. However, it is unpractical to define matching rules in an effective way. This paper proposes a brand entity normalization algorithm integrating text similarity and commodity object similarity. Firstly, the text similarity of brand labels is computed to generate candidate brand entity set. Furthermore, the commodity information is introduced and candidate brand entities are merged by Gaussian mixture clustering. The performance of the proposed method is evaluated by involving real data from popular E-commerce platforms. Experimental results show that this method achieves solid performance in brand entity normalization.",https://ieeexplore.ieee.org/document/8488655/,2018 4th International Conference on Big Data Computing and Communications (BIGCOM),7-9 Aug. 2018,ieeexplore
10.1109/ICIBA52610.2021.9688086,Research on Recommendation Algorithm Based on E-commerce User Behavior Sequence,IEEE,Conferences,"With the rapid rise and development of the Internet, e-commerce has become one of the most promising and fastest-growing industries. we propose an architecture of a personalized recommendation system based on offline mining, real-time mining, and deep learning technology. First, through the Flume + Kafka + Spark Streaming system, user behavior data is collected and stored in the business database after data preprocessing First, through the Flume + Kafka + Spark Streaming system, user behavior data is collected and stored in the business database after data preprocessing, which is the work preparing for the next step of data mining. Data mining includes offline mining and real-time mining. Offline mining mainly runs MapReduce on the Hadoop platform, there are also some calculations on the Spark platform, and the calculation results are stored in the business database; The implementation of real-time mining mainly is based on the message subscription of the Kafka cluster, and get real-time consumption statistics through Spark clusters; Deeplearning4j, a deep learning framework, runs on a multi-GPU Spark distributed cluster, which can be optimized the algorithm model online and generate recommendation results to push to the real-time business database and give feedback to the users.; It can also extract features from these data for training automatically, which is conducive to improving the quality and efficiency of users' shopping decisions, and improve the platform's cross-selling capabilities, shorten the user's shopping path, increase traffic conversion rates.",https://ieeexplore.ieee.org/document/9688086/,"2021 IEEE 2nd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",17-19 Dec. 2021,ieeexplore
10.1109/ITAIC.2011.6030381,The application of e-commerce system based on data warehouse,IEEE,Conferences,"This paper describes the building process of the warehouse platform on the e-commerce systems, including research the basic theory, the system design, the ETL design of data preprocessing, as well as the OLAP analysis. The last part is a data warehouse implementation within the electronic commerce system. The paper realizes the real-time data warehouse modeling on the web platform. ETL data processing is also achieved under the rules. Finally on the OLAP part, the result is displayed using graphical.",https://ieeexplore.ieee.org/document/6030381/,2011 6th IEEE Joint International Information Technology and Artificial Intelligence Conference,20-22 Aug. 2011,ieeexplore
