id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.techfore.2021.121448,Journal,Technological Forecasting and Social Change,scopus,2022-03-01,sciencedirect,"Digital twin for sustainable manufacturing supply chains: Current trends, future perspectives, and an implementation framework",https://api.elsevier.com/content/abstract/scopus_id/85121967867,"A digital twin is an integration of virtual and physical systems using disruptive technologies. More precisely, it is a method of developing sustainable, intelligent manufacturing systems for attaining robust quality, reducing time, and customized products using real-time information throughout the product life cycle. This paper presents a systematic literature review of 98 research papers on various digital supply chain twin dimensions with sustainable performance objectives. The selected papers were reviewed and classified into three broad categories: components of the digital twin, applications in the manufacturing supply chain, and sustainability. Based on the review and future perspectives from the study, we suggest that advancements in technologies such as IoT, cloud computing, and blockchain have increased the potential of digital twin applications in the supply chain. The results indicate that a digital supply chain twin should include the things and humans from the entire supply chain and not be restricted to the local manufacturing systems. Based on our review findings, we present a sustainable digital twin implementation framework for supply chains. The proposed framework will guide future practitioners and researchers.",e-commerce
10.1016/j.eswa.2021.115121,Journal,Expert Systems with Applications,scopus,2021-11-15,sciencedirect,Modelling cloud service latency and availability using a deep learning strategy,https://api.elsevier.com/content/abstract/scopus_id/85107676921,"Low latency and high availability in cloud services give users satisfactory response time and guarantee stability to request they make to services that are hosted in the cloud, thus increasing the usability and reliability of cloud services. On the other hand, high latencies and poor availability will cost businesses their customers due customers dissatisfaction, thus losing customers to competitors. This situation noticeable in e-commerce businesses where real-time response and decision making within seconds are critical for business service delivery. Therefore, latency and availability are important parameters in the Service Level Agreement for cloud users when choosing Cloud Services Providers (CSPs). But the challenge for businesses is that they do not have their in–house mechanism that can accurately predict the required latency and availability for their requirements. Companies only rely on the CSPs tools for estimating resource requirements, which is biased towards the CSPs business model. In this paper, we developed a deep learning algorithm that predicts the latency and availability of cloud services using real-time live data from three CSPs. We designed and implemented experiments on Amazon Web Services, Alibaba Cloud and Tencent Cloud in Beijing University of Posts and Telecommunications to run compute instances across the United States, Europe and Asia Pacific regions. In each cloud platform, five servers were used that resulted in 30,815,100 invocations of http and ping operations for 6 weeks. The algorithm used the data on hourly, daily and weekly basis as historical network data to predict latency and availability. We used MATLABs deep learning toolbox for the implementation of our algorithm and the results showed that the prediction is usually above 90% accurate as compared with the data obtained. The results also revealed that latency performance depends on the locations of users and the availability depends on number of availability zones used.",e-commerce
10.1016/j.elerap.2021.101098,Journal,Electronic Commerce Research and Applications,scopus,2021-11-01,sciencedirect,An intelligent knowledge-based chatbot for customer service,https://api.elsevier.com/content/abstract/scopus_id/85119699964,"This study proposes an intelligent knowledge-based conversational agent system architecture to support customer services in e-commerce sales and marketing. A pilot implementation of a chatbot for customer services is reported in a leading women’s intimate apparel manufacturing firm. The proposed system incorporates various emerging technologies, including web crawling, natural language processing, knowledge bases, and artificial intelligence. In this study, a prototype system is built in a real-world setting. The results of the system prototype evaluation are satisfactory and support the contention that the system is effective. The study also discusses the challenges and lessons learned during system implementation and the theoretical and managerial implications of this study.",e-commerce
10.1016/j.asoc.2021.107520,Journal,Applied Soft Computing,scopus,2021-09-01,sciencedirect,Transformative computing for products sales forecast based on SCIM,https://api.elsevier.com/content/abstract/scopus_id/85107761559,"Online agricultural product trading has the characteristics of rapid and diversified transaction data; there is a fuzzy correspondence between sales volume influencing factors and sales volume levels. Based on this, this paper combines the data preprocessing technology of fuzzy membership and optimized deep learning algorithm, adding a self-encoding method with sparseness restriction, and proposes a deep learning sales forecasting model based on transformative computing with fuzzy membership-the super crown model (Super Imperial Crown Model, referred to as SICM). The model uses fuzzy membership to process the weighted relationship between sales influencing factors and sales rank, and uses a sparse autoencoder network to adaptively extract sample features; sales rank classification prediction uses Softmax classifier; BP fine-tuning is used to Achieve parameter optimization. Finally, use the collected transaction data to apply R software to simulate the optimized model and compare and analyze the comprehensive prediction performance. The results show that the super crown model can realize real-time and accurate dynamic sales classification prediction according to the characteristics of current online agricultural product transaction data, effectively overcome the imbalance of supply and demand caused by information imbalance, and promote the study of deep learning in the field of e-commerce transactions effect. Presented algorithm based on transformative computing techniques can be used in optimization of sales processes, management and analysis of sales markets.",e-commerce
10.1016/j.procs.2021.06.026,Conference Proceeding,Procedia Computer Science,scopus,2021-07-01,sciencedirect,"Detection of non-typical users of the electronic marketplace ""freight transportation"" to prevent the competitive intelligence",https://api.elsevier.com/content/abstract/scopus_id/85112607564,"This article presents results of usage of cluster analysis and machine learning to detect non-typical users of the electronic freight transportation marketplace. The most significant red flags to identify system users who collect commercial information have been identified, a competitor’s profile has been drawn up. The use of various methods of clustering and classification in the modeling of this problem is studied. The procedure of formation of a training sample in the absence of labeled data has been carried out. The algorithm has been developed to detect non-typical users based on machine data analysis methods in order to prevent the real-time commercial intelligence. This algorithm is based on density-based spatial clustering of applications with noise (DBSCAN) and balanced iterative reducing and clustering using hierarchies (BIRCH) cluster analysis methods, identification of anomalous objects using the Isolation Forest method and ensemble Gradient Boosting algorithm with decision trees as the base classifiers. It can be used by electronic marketplace’s owners, as well as by other companies that apply similar technologies while providing their services. As a result, software tool in Python has been developed, which allows to timely detect users collecting commercial information and hence to reduce a negative impact from possible competitive intelligence.",e-commerce
10.1016/j.future.2020.10.018,Journal,Future Generation Computer Systems,scopus,2021-03-01,sciencedirect,Large-scale online multi-view graph neural network and applications,https://api.elsevier.com/content/abstract/scopus_id/85095762066,"Recently popularized Graph Neural Network (GNN) has been attaching great attention along with its successful industry applications. This paper focuses on two challenges traditional GNN frameworks face: (i) most of them are transductive and mainly concentrate on homogeneous networks considering single typed nodes and edges; (ii) they are difficult to handle the real-time changing network structures as well as scale to big graph data. To address these issues, a novel attention-based Heterogeneous Multi-view Graph Neural Network (aHMGNN) solution is introduced. aHMGNN models a more intricate heterogeneous multi-view network, where various node and edge types co-exist and each of these objects also contain specific attributes. It is end-to-end, and two stages are designed for node embeddings learning and multi-typed node and edge representations fusion, respectively. Experimental studies on large-scale spam detection and link prediction tasks clearly verify the efficiency and effectiveness of our proposed aHMGNN. Furthermore, we have implemented our approach in one of the largest e-commerce platforms which further verifies that aHMGNN is arguably promising and scalable in real-world applications.",e-commerce
10.1016/j.procs.2022.01.187,Conference Proceeding,Procedia Computer Science,scopus,2021-01-01,sciencedirect,Lost in Translation: What Linguistic Measurements Best Measure Text Quality of Online Listings,https://api.elsevier.com/content/abstract/scopus_id/85124965543,"Ecommerce websites are filled with international sellers. Product descriptions on these sites are often written in English by non-native speakers. Linguistic imperfections in these descriptions confuse consumers, which may further attenuate their purchase intentions. How descriptive quality/efficacy can be defined and then improved shall be of great interest to all sellers and their consumers. In this research, we attempt to evaluate online product description quality using lexical measurements from linguistics studies. Linguistics measurements of writing quality were mostly developed in pure academic settings. We test and analyze these measurements’ applicability in defining and contrasting business description quality using Amazon.com data. Modern classification techniques in the artificial intelligence and machine learning field are deployed in identifying measurement applicability and assessing computational efficiency. Our findings enable automatic identification of descriptive efficacy through artificial intelligence methods on real ecommerce text data.",e-commerce
10.1016/j.heliyon.2020.e04667,Journal,Heliyon,scopus,2020-08-01,sciencedirect,Effects of mobile augmented reality apps on impulse buying behavior: An investigation in the tourism field,https://api.elsevier.com/content/abstract/scopus_id/85089806662,"Many of today's online services are designed specifically to encourage impulse buying. Moreover, many studies have shown that with the assistance of Mobile Augmented Reality, retailers have the potential to significantly improve their sales. However, the effects of Mobile AR on consumer impulse buying behavior have yet to be examined, particularly in the tourism field. Consequently, the present study integrates the Technology Acceptance Model (TAM), Stimulus-Organism-Response (SOR) framework, and flow theory to examine the effects of Mobile AR apps on tourist impulse buyingbehavior. The research model is implemented using an online questionnaire, with the results analyzed by Partial-Least-Squares Structural Equation Modeling (PLS-SEM) approach. The results obtained from 479 valid samples show that the characteristics of Mobile AR apps play an important role in governing tourist behavior in making unplanned purchases. In particular, as the utility, ease-of-use, and interactivity of the apps increase, the perceived enjoyment and satisfaction of the user also increase and give rise to a stronger impulse buying behavior. The results also reveal a mediating effect of the flow experience on the relationship between the perceived ease of use of the Mobile AR app and the user satisfaction in using the app. Overall, the findings presented in this study provide a useful source of reference for Mobile AR app developers, retailers, and tourism marketers in better understanding users' preferences for Mobile AR apps and strengthening their impulse buying behavior in the tourism context as a result.",e-commerce
10.1016/j.ssci.2019.06.025,Journal,Safety Science,scopus,2019-12-01,sciencedirect,Securing instant messaging based on blockchain with machine learning,https://api.elsevier.com/content/abstract/scopus_id/85067872085,"Instant Messaging (IM) offers real-time communications between two or more participants on Internet. Nowadays, most IMs take place on mobile applications, such as WhatsApp, WeChat, Viber and Facebook Messenger, which have more users than social networks, such as Twitter and Facebook. Among the applications of IMs, online shopping has become a part of our everyday life, primarily those who are busiest. However, transaction disputes are often occurred online shopping. Since most IMs are centralized and message history is not stored in the center, the messaging between users and owners of online shops are not reliable and traceable. In China, online shopping sales have soared from practically zero in 2003 to nearly 600 hundred million dollars last year, and now top those in the United States. It is very crucial to secure the instant messaging in online shopping in China. We present techniques to exploit blockchain and machine learning algorithms to secure instant messaging. Since the cryptography of Chinese national standard is encouraged to adopt in security applications of China, we propose a blockchain-based IM scheme with the Chinese cryptographic bases. First, we design a message authentication model based on SM2 to avoid the counterfeit attack and replay attack. Second, we design a cryptographic hash mode based on SM3 to verify the integrity of message. Third, we design a message encryption model based on SM4 to protect the privacy of users. Besides, we propose a method based on machine learning algorithms to monitor the activity on blockchain to detect anomaly. To prove and verify the blockchain-based IM scheme, a blockchain-based IM system has been designed on Linux platforms. The implementation result shows that it is a practical and secure IM system, which can be applied to a variety of instant messaging applications directly.",e-commerce
10.1016/j.ins.2018.11.028,Journal,Information Sciences,scopus,2019-04-01,sciencedirect,Machine learning based privacy-preserving fair data trading in big data market,https://api.elsevier.com/content/abstract/scopus_id/85056879362,"In the era of big data, the produced and collected data explode due to the emerging technologies and applications that pervade everywhere in our daily lives, including internet of things applications such as smart home, smart city, smart grid, e-commerce applications and social network. Big data market can carry out efficient data trading, which provides a way to share data and further enhances the utility of data. However, to realize effective data trading in big data market, several challenges need to be resolved. The first one is to verify the data availability for a data consumer. The second is privacy of a data provider who is unwilling to reveal his real identity to the data consumer. The third is the payment fairness between a data provider and a data consumer with atomic exchange. In this paper, we address these challenges by proposing a new blockchain-based fair data trading protocol in big data market. The proposed protocol integrates ring signature, double-authentication-preventing signature and similarity learning to guarantee the availability of trading data, privacy of data providers and fairness between data providers and data consumers. We show the proposed protocol achieves the desirable security properties that a secure data trading protocol should have. The implementation results with Solidity smart contract demonstrate the validity of the proposed blockchain-based fair data trading protocol.",e-commerce
