doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/IT48810.2020.9070689,A Private Blockchain Implementation Using Multichain Open Source Platform,IEEE,Conferences,"The impact of digital transformation is becoming visible in every aspect of our lives. Digital transformation strategies mostly rely on disruptive technologies such as Internet of Things, augmented reality, artificial intelligence, and blockchain. Blockchain provides decentralized, immutable, and trustless database distributed across all participants and it was initially proposed as distributed ledger for digital cryptocurrency. However, besides in the finance sector, blockchain technology is considered to be a major innovation enabler in various industries. The paper describes an implementation of a private blockchain using the Multichain open source platform with possible application to agrifood use cases such as food tracking and tracing, product lifecycle management, and counterfeit prevention.",https://ieeexplore.ieee.org/document/9070689/,2020 24th International Conference on Information Technology (IT),18-22 Feb. 2020,ieeexplore
10.1109/ICISS49785.2020.9316056,A Proposal for a novel approach to analyze and detect the fake news using AI techniques,IEEE,Conferences,"Fake news is a type of news that contains deliberately incorrect information and is spread with malicious intent in fields that include and are not limited to politics, finance and entertainment. Fake news and misinformation are abundant these days due to increased access to the internet and social media websites and other sharing platforms. These can have harmful effects on society and its spread must be contained. The first step in containing the proliferation of fake news is to identify a piece of news as fake or real. The goal of our system is to train it with articles using reliable news sources using web mining techniques and subsequently analyze a piece of news using natural language processing and machine learning algorithms to classify it as fake or real.",https://ieeexplore.ieee.org/document/9316056/,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),3-5 Dec. 2020,ieeexplore
10.1109/VTCSpring.2014.7022797,A Standardized Path Loss Model for the GSM-Railway Based High-Speed Railway Communication Systems,IEEE,Conferences,"High-speed railway (HSR) has been widely introduced to meet the increasing demand for passenger rail travel. While it provides more and more conveniences to the people, the huge cost of the HSR has laid big burden on the government finance. Reducing the cost of HSR has been necessary and urgent. Optimizing the arrangement of the base stations (BS) by improving the prediction of the communication link is one of the most effective methods, which could reduce the number of the BSs to a reasonable number. However, it requires a carefully developed propagation model, which has been largely neglected before in the research on the HSR. In this paper, we propose a standardized path loss model for HSR channels based on an extensive measurement campaign in 4594 HSR cells of the ""Zhengzhou-Xian"" HSR line. The measurements are conducted using a practically deployed and operative GSM-Railway (GSM-R) system to reflect the real conditions of the HSR channels. The proposed model is validated by the measurements conducted in another operative railway - ""Beijing-Shanghai"" HSR line. The results are helpful for the HSR communications system designers to gain a better tool in the system planning, and propagation researchers to assess where the most pressing needs in the modeling of HSR channels lie.",https://ieeexplore.ieee.org/document/7022797/,2014 IEEE 79th Vehicular Technology Conference (VTC Spring),18-21 May 2014,ieeexplore
10.1109/ISPA.2012.145,Anomaly Detection Algorithms on IBM InfoSphere Streams: Anomaly Detection for Data in Motion,IEEE,Conferences,"This paper presents and shares excerpts from our implementation of near real-time anomaly detection algorithms on the IBM InfoSphere Streams platform. The purpose of this article is to: 1) Describe how to design and implement known anomaly detection algorithms on IBM InfoSphere Streams. 2) Present some performance optimization capabilities of IBM InfoSphere Streams platform and propose a method to use them in anomaly detection applications. 3) Present some IBM InfoSphere Streams best practices and describe how their adoption in the context of anomaly detection application. The document describes the architecture and design of anomaly detection algorithms developed on IBM InfoSphere Streams. Although the solution was designed to be used for cyber security, the implemented algorithms are agnostic regarding the data type that they monitor and therefore can detect anomalies in data from various industries such as healthcare, finance and retail. The document describes the implementation of two anomaly detection algorithms: KOAD and PCA. The KOAD algorithm performs online anomaly detection with incremental learning and the PCA algorithm in performs offline anomaly detection. The solution was designed to provide near real-time insight into low latency on large data volume observation.",https://ieeexplore.ieee.org/document/6280306/,2012 IEEE 10th International Symposium on Parallel and Distributed Processing with Applications,10-13 July 2012,ieeexplore
10.1109/Confluence51648.2021.9377160,Application of Artificial Intelligence in Human Resource Management Practices,IEEE,Conferences,"In the dynamic and competitive world, technology has changed the pace of all the industry. Artificial intelligence is a technology which enables the industry to grow at faster pace and efficiently finishing their work. This technology has entered into various departments such as finance department, human resource department, marketing, production etc. AI system has enabled the organization to enhance their existing performance and efficiently performing functions on a day-to-day basis. Currently, due to dynamic and competitive environment people working at different managerial level are working under pressure and understanding the need of artificial intelligence at workplace. Authors have used quantitative research to conduct the research and regression methods has been used to analyse the data. AI as a technology has a role in the different HR practices starting from talent acquisition and extending it to the assessing the performance of the people at work place. This research will study the relation of artificial intelligence and HR functions and different functions performed by HR department. The objective is to understand the factor like innovativeness and how use of HR operations. To conduct the study HR professionals from different IT companies were considered. Through the analysis the result indicated the positive linkage between different factors such ease of use and innovativeness which clearly indicates that AI has a influence on both the factors. This research paper will provide indepth knowledge about artificial intelligence which is at present a new revolution in industry and referred as industry 4.0.",https://ieeexplore.ieee.org/document/9377160/,"2021 11th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",28-29 Jan. 2021,ieeexplore
10.1109/IGSC51522.2020.9291232,Conversion of an Unsupervised Anomaly Detection System to Spiking Neural Network for Car Hacking Identification,IEEE,Conferences,"Across industry, there is an increasing availability of streaming, time-varying data, where it is important to detect anomalous behavior. These data are found in an enormous number of sensor-based applications, in cybersecurity (where anomalous behavior could indicate an attack), and in finance. Spiking Neural Networks (SNNs) have come under the spotlight for machine learning applications due to the extreme energy efficiency of their implementation on neuromorphic processors like the Intel Loihi research chip. In this paper we explore the applicability of spiking neural networks for in vehicle cyberattack detection. We show exemplary results by converting an autoencoder model to spiking form. We present a learning model comparison that shows the proposed SNN autoencoder outperforms a One Class Support Vector Machine and an Isolation Forest. Furthermore, only a slight reduction in accuracy is observed when compared to a traditional autoencoder.",https://ieeexplore.ieee.org/document/9291232/,2020 11th International Green and Sustainable Computing Workshops (IGSC),19-22 Oct. 2020,ieeexplore
10.1109/IJCNN.2018.8489360,Cross-Domain Deep Learning Approach For Multiple Financial Market Prediction,IEEE,Conferences,"Over recent decades, globalization has resulted in a steady increase in cross-border financial flows around the world. To build an abstract representation of a real-world financial market situation, we structure the fundamental influences among homogeneous and heterogeneous markets with three types of correlations: the inner-domain correlation between homogeneous markets in various countries, the cross-domain correlation between heterogeneous markets, and the time-series correlation between current and past markets. Such types of correlations in global finance challenge traditional machine learning approaches due to model complexity and nonlinearity. In this paper, we propose a novel cross-domain deep learning approach (Cd-DLA) to learn real-world complex correlations for multiple financial market prediction. Based on recurrent neural networks, which capture the time-series interactions in financial data, our model utilizes the attention mechanism to analyze the inner-domain and cross-domain correlations, and then aggregates all of them for financial forecasting. Experiment results on ten-year financial data on currency and stock markets from three countries prove the performance of our approach over other baselines.",https://ieeexplore.ieee.org/document/8489360/,2018 International Joint Conference on Neural Networks (IJCNN),8-13 July 2018,ieeexplore
10.1109/IJCNN48605.2020.9206730,Data-efficient Online Classification with Siamese Networks and Active Learning,IEEE,Conferences,"An ever increasing volume of data is nowadays becoming available in a streaming manner in many application areas, such as, in critical infrastructure systems, finance and banking, security and crime and web analytics. To meet this new demand, predictive models need to be built online where learning occurs on-the-fly. Online learning poses important challenges that affect the deployment of online classification systems to real-life problems. In this paper we investigate learning from limited labelled, nonstationary and imbalanced data in online classification. We propose a learning method that synergistically combines siamese neural networks and active learning. The proposed method uses a multi-sliding window approach to store data, and maintains separate and balanced queues for each class. Our study shows that the proposed method is robust to data nonstationarity and imbalance, and significantly outperforms baselines and state-of-the-art algorithms in terms of both learning speed and performance. Importantly, it is effective even when only 1% of the labels of the arriving instances are available.",https://ieeexplore.ieee.org/document/9206730/,2020 International Joint Conference on Neural Networks (IJCNN),19-24 July 2020,ieeexplore
10.1109/ITAIC49862.2020.9339148,Design and Implementation of Network Course-choosing Based on the F5 Load Balancing Technology,IEEE,Conferences,"The paper based the exploration of improving the strategy of large amount of concurrent processing during the network course-choosing on the existing network condition of Yunnan University of Finance and Economics, which combined network with server load balancing by F5_BIG_IP LTM, in order to solve the problem that server overload can't response to the request of the students may be coursed by a large number of students access the elective course platform concurrently. This architecture greatly solved the problem of network congestion coursed by concurrency access in the process of actual practice. Load balancing technology service provides a reliable and stable architecture for increasing Web application service and a reference scheme for real-timely dealing with the congestion problem online of concurrency access.",https://ieeexplore.ieee.org/document/9339148/,2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),11-13 Dec. 2020,ieeexplore
10.1109/ICECA.2019.8821811,Detection of Permission Driven Malware in Android Using Deep Learning Techniques,IEEE,Conferences,"In today's busy world, usage of mobile applications is increasing in all aspects of life including banking and finance. Taking this as an opportunity, cyber crimes are taking place in the form of hacking and malware. While installing the mobile apps, everyone may not be aware of which permissions to accept and which one to deny. If the user start accepting all permissions, malware or malicious apk files may enter the mobile through some of them. Many machine learning techniques have been introduced to resolve this problem but failed to get considerable accuracy in real-time applications. The present research concentrates on detecting the malware which can enter through permissions in android using deep neural network model. The proposed approach detects the permission driven malware in real time android apk files with more than 85% accuracy.",https://ieeexplore.ieee.org/document/8821811/,"2019 3rd International conference on Electronics, Communication and Aerospace Technology (ICECA)",12-14 June 2019,ieeexplore
