doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/OCEANS-Bergen.2013.6608083,Field test experience of an underwater wireless network in the Atlantic Ocean,IEEE,Conferences,"UnderwaterWireless Networks (UWNs) have gained significant attention in recent years given their ability to expand underwater monitoring and detection applications. In this paper, we share our experience from a recent field experiment in the Atlantic Ocean, in which we have deployed an 11 node UWN. We discuss the system architecture, both hardware and software, and evaluate two new network protocols and one existing network protocol for real-world performance. Additionally, we provide insight on how the physical environment and surroundings impact the performance of the networked system. This work will share our practical issues in real systems and inspire new advances in the area of UWN research.",https://ieeexplore.ieee.org/document/6608083/,2013 MTS/IEEE OCEANS - Bergen,10-14 June 2013,ieeexplore
10.23919/OCEANS44145.2021.9705808,Ocean current observations by infrared and visual Large Scale Particle Image Velocimetry (LSPIV),IEEE,Conferences,"The natural dynamics of tidal currents continuously change the appearance of the Wadden Sea. Especially coastal regions and bays with shallow waters are strongly influenced by tidal dynamics. Meanwhile, in offshore study areas with harsh environmental conditions as well as dynamic ocean currents and water levels, continuous in-situ investigations of the prevailing current conditions requires a high effort. In-situ measurement technology is thereby maintenance-intensive and partly limited in time or space by limited accessibility or restricted by the measurement method. In hence, remote sensing techniques based on video image information, such as Large Scale Particle Image Velocimetry (LSPIV) for sensing, and computer vision algorithms for long-term investigation of the prevailing dynamic near-surface ocean flow conditions, have become highly relevant. However, in some environmental situations there may be not sufficient or significant natural textures evaluable in the visual camera images, or only insufficient contrast ratio under varying ambient illumination at the water observation site, to perform image based velocimetry. Thus, we consider with this study an extended approach of visual and infrared video data analysis by an automated LSPIV measurement technique under real offshore deployment conditions. The treatise of this paper first introduces the reader to the subject area and technologies as well as the principles of the LSPIV measurement method. Followed by the depiction of the motivation for an extended approach to visual and infrared video data analysis by an automated LSPIV measurement method in real offshore applications. Subsequently, related research is discussed. Thereafter, the remote sensing setup and sensor-test-bed-system for offshore deployment on an observation platform is presented, therein we also addresses routines of necessary calibration procedures for camera sensors. We then depict details of our automated LSPIV measurement procedure. This is followed with an overview of the preceding validation procedures and LSPIV multispectral remote sensing results of long-term monitoring of horizontal flow dynamics over several days. Finally, we discuss uncertainties of the LSPIV velocity measurement method encountered in real applications and conclude with a brief outlook on further developments and applications.",https://ieeexplore.ieee.org/document/9705808/,OCEANS 2021: San Diego – Porto,20-23 Sept. 2021,ieeexplore
10.1109/OCEANSE.2019.8867398,Ocean of Things : Affordable Maritime Sensors with Scalable Analysis,IEEE,Conferences,"DARPA's Ocean of Things (OoT) program enables persistent maritime situational awareness over large ocean areas by deploying thousands of low-cost, intelligent floats that drift as a distributed sensor network. Each float manages a suite of commercially available sensors to collect environmental data such as sea surface temperature, sea state, and location as well as activity data about vessels and marine mammals moving across the ocean. The floats periodically transmit processed data, or immediately report events based on internal prioritization schemes. Messages travel via commercial satellite to a government cloud for storage and real-time analysis. Cloud-based data analytics feature machine learning aimed at discovering emergent features and behaviors from sparse data. The multiple performers manufacturing floats and developing software are being led by a government management team to employ commercial design methodology and agile best practices. At-sea float deployments are planned in two phases over 2019 (1-month) and 2020 (3-month). Program benefits include ocean environmental products derived from high-density, in-situ measurements and analytical applications, which can simultaneously provide users a range of outputs to include ocean circulation prediction, vessel and marine mammal tracking, and dynamic ocean resource management.",https://ieeexplore.ieee.org/document/8867398/,OCEANS 2019 - Marseille,17-20 June 2019,ieeexplore
10.1109/ICALIP.2010.5684387,On realization of visualization system for global ocean simulation,IEEE,Conferences,"Simulating and rendering realistic ocean is always one of the most popular and difficult tasks in computer graphics and oceanography. However, because of the restriction of computer software and hardware conditions, mass data and real-time, there are less people to research global ocean simulation. Under the background of global environment simulation, the paper describes a solution for the application of global ocean simulation on the basis of previous work, and realizes the visualization system successfully using OSG (OpenSceneGraph) API and all kinds of open-source libraries, and demonstrates the result of cross-sea flight. At last, we analysis the deficiencies of our solution and make some improvement suggestions.",https://ieeexplore.ieee.org/document/5684387/,"2010 International Conference on Audio, Language and Image Processing",23-25 Nov. 2010,ieeexplore
10.1109/ICRERA.2014.7016517,Use of artificial neural networks for real-time prediction of heave displacement in ocean buoys,IEEE,Conferences,"Many advanced control systems for wave energy converters (WEC's) require knowledge of incoming wave profiles to be implemented. This is due to the non-causal relationship between water elevation and force exerted on a floating body. This study focuses on the use of cascade feedforward neural networks to predict short-term incoming water surface displacements based on recently observed data in real time. Prediction networks are trained with time series data reconstructed from spectral data and recorded time series data from a data buoy deployed off the West Irish Coast. Both training methods are shown to have predictive capabilities with regression coefficients between 0.8–0.9 for a small range of sea states. Both networks prediction accuracies are tested on a large range of sea states as well. For sea states dramatically different from training data prediction accuracies decrease, but less so for the network trained on observed data. The need for accurate wave predictions in the field of WEC control design is also discussed.",https://ieeexplore.ieee.org/document/7016517/,2014 International Conference on Renewable Energy Research and Application (ICRERA),19-22 Oct. 2014,ieeexplore
10.1109/JOE.2017.2706100,Comparison of Two Hyperparameter-Free Sparse Signal Processing Methods for Direction-of-Arrival Tracking in the HF97 Ocean Acoustic Experiment,IEEE,Journals,"In this paper, we review and compare the performance of two recently introduced hyperparameter-free sparse signal processing methods namely, the sparse iterative covariance-based estimation method and the sparse Bayesian learning-based relevance vector machine method, for direction-of-arrival (DOA) tracking of multiple signals using an array of sensors. The methods are presented to the readers, in a tutorial style for easy understanding. Hyperparameter-free sparsity-based methods are attractive in practice since tuning of regularization parameters (hyperparameters) is not necessary as they are automatically estimated from the data. The DOA tracking problem is formulated as a snapshot-by-snapshot estimation problem and the implementation of the methods are discussed in detail. A simulation study using a uniform-linear-array is carried out to evaluate the performance of the methods in terms of the root-mean-squared error of the DOA estimates and the probability of resolution with the goal of determining when one is to be preferred over the other. The algorithms are also applied on passive sonar data from the 1997 High-Frequency (HF97) ocean acoustic experiment to demonstrate their usability in a real underwater scenario, as well as their robustness to the modeling assumptions made. We draw new conclusions about the main features of these methods that are important to the underwater acoustic practitioners.",https://ieeexplore.ieee.org/document/7939967/,IEEE Journal of Oceanic Engineering,July 2018,ieeexplore
10.1109/ACCESS.2020.3018270,iOceanSee: A Novel Scheme for Ocean State Estimation Using 3D Mobile Convolutional Neural Network,IEEE,Journals,"Ocean state estimation is a basic problem in the field of ocean engineering. Under the trend of data-driven, the development of intelligent ship decision-making, ocean energy system design and other aspects, are inseparable from the estimation of wave parameters in the ocean area. In recent years, researchers have developed remote sensing technology to monitor ocean waves. However, sensor-based methods all have a key limitation, which is high cost and fault worry. More importantly, one major limitation exists in current research: due to lack of change information and relying on a single feature of spatial data, the final predictive results are inaccurate. Adopting a 3D Convolutional Neural Network is a possible solution to improve the detection accuracy. Unfortunately, it cannot be deployed in the ocean environment due to lack of physical network connections. To resolve these issues, we develop a light-weight version of 3D Convolutional Neural Network, namely a low-cost, high-accuracy detection scheme to foresee ocean wave parameters using a 3D Mobile Convolutional Neural Network technique called iOceanSee in the marine environment. iOceanSee employs a mobile terminal composed of low-cost measuring equipment and non-interference (except light) device-an RGB camera to collect video data in real time. It extracts both space and time features through three-dimensional depthwise separable convolutions. More specifically, iOceanSee is able to capture the encoding motion information from multiple adjacent frames of the video, according to which period and height of the waves being evaluated. Our experimental results conclude that iOceanSee obtains comparable performance to 3D Convolutional Neural Network and outperforms other models in terms of measurement accuracy in the marine environments.",https://ieeexplore.ieee.org/document/9172055/,IEEE Access,2020,ieeexplore
10.23919/OCEANS44145.2021.9706096,A Deep Learning Approach To Dead-Reckoning Navigation For Autonomous Underwater Vehicles With Limited Sensor Payloads,IEEE,Conferences,"This paper presents a deep learning approach to aid dead-reckoning (DR) navigation using a limited sensor suite. A Recurrent Neural Network (RNN) was developed to predict the relative horizontal velocities of an Autonomous Underwater Vehicle (AUV) using data from an IMU, pressure sensor, and control inputs. The RNN network is trained using experimental data, where a doppler velocity logger (DVL) provided ground truth velocities. The predictions of the relative velocities were implemented in a dead-reckoning algorithm to approximate north and east positions. The studies in this paper were twofold I) Experimental data from a Long-Range AUV was investigated. Datasets from a series of surveys in Monterey Bay, California (U.S) were used to train and test the RNN network. II) The second study explore datasets generated by a simulated autonomous underwater glider. Environmental variables e.g ocean currents were implemented in the simulation to reflect real ocean conditions. The proposed neural network approach to DR navigation was compared to the on-board navigation system and ground truth simulated positions.",https://ieeexplore.ieee.org/document/9706096/,OCEANS 2021: San Diego – Porto,20-23 Sept. 2021,ieeexplore
10.1109/ICRA40945.2020.9196998,A Novel Solar Tracker Driven by Waves: From Idea to Implementation,IEEE,Conferences,"Traditional solar trackers often adopt motors to automatically adjust the attitude of the solar panels towards the sun for maximum power efficiency. In this paper, a novel design of solar tracker for the ocean environment is introduced. Utilizing the fluctuations due to the waves, electromagnetic brakes are utilized instead of motors to adjust the attitude of the solar panels. Compared with the traditional solar trackers, the proposed one is simpler in hardware while the harvesting efficiency is similar. The desired attitude is calculated out of the local location and time. Then based on the dynamic model of the system, the angular acceleration of the solar panels is estimated and a control algorithm is proposed to decide the release and lock states of the brakes. In such a manner, the adjustment of the attitude of the solar panels can be achieved by using two brakes only. Experiments are conducted to validate the acceleration estimator and the dynamic model. At last, the feasibility of the proposed solar tracker is tested on the real water surface. The results show that the system is able to adjust 40° in two dimensions within 28 seconds.",https://ieeexplore.ieee.org/document/9196998/,2020 IEEE International Conference on Robotics and Automation (ICRA),31 May-31 Aug. 2020,ieeexplore
10.1109/IROS51168.2021.9636055,A Predictive Control Method for Stabilizing a Manipulator-based UAV Landing Platform on Fluctuating Marine Surface<sup>*</sup>,IEEE,Conferences,"In the process of landing unmanned aerial vehicles (UAVs) on an unmanned surface vehicle (USV), a manipulator can be applied to help the UAV land safely and accurately. However, it is a challenge to control the manipulator on a disturbed USV due to joint velocity constraints and bandwidth limitations. To solve this problem, a predictive control framework is proposed in this paper. We leverage a first-order delay system to describe the kinematics of each joint, and control joint velocities by the model predictive controller (MPC). To generate references for MPC, the motion of the floating base needs to be predicted. We apply the recent approach for motion prediction based on the wavelet network (WN) and modify the network to get smooth trajectories. The accuracy of the modified wavelet network (MWN) for motion prediction is tested on four-hour motion data from the real ocean environment and the smoothness of the generated trajectories is also evaluated. Simulations and experiments are implemented to verify the proposed method, the results show that the average control accuracies are improved by more than 30% and 50% in position and rotation compared with the traditional inverse kinematics (IK) controller for 1 Hz base fluctuation.",https://ieeexplore.ieee.org/document/9636055/,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),27 Sept.-1 Oct. 2021,ieeexplore
