id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.ins.2021.08.081,Journal,Information Sciences,scopus,2021-11-01,sciencedirect,OCEAn: Ordinal classification with an ensemble approach,https://api.elsevier.com/content/abstract/scopus_id/85114120946,"Generally, classification problems catalog instances according to their target variable without considering the relation among the different labels. However, there are real problems in which the different values of the class are related to each other. Because of interest in this type of problem, several solutions have been proposed, such as cost-sensitive classifiers. Ensembles have proven to be very effective for classification tasks; however, as far as we know, there are no proposals that use a genetic-based methodology as the metaheuristic to create the models. In this paper, we present OCEAn, an ordinal classification algorithm based on an ensemble approach, which makes a final prediction according to a weighted vote system. This weighted voting takes into account weights obtained by a genetic algorithm that tries to minimize the cost of classification. To test the performance of this approach, we compared our proposal with ordinal classification algorithms in the literature and demonstrated that, indeed, our approach improves on previous results.",oceanology
10.1016/j.petrol.2021.109038,Journal,Journal of Petroleum Science and Engineering,scopus,2021-11-01,sciencedirect,Optimization of WAG in real geological field using rigorous soft computing techniques and nature-inspired algorithms,https://api.elsevier.com/content/abstract/scopus_id/85108013019,"To meet the ever-increasing global energy demands, it is more necessary than ever to ensure increments in the recovery factors (RF) associated with oil reservoirs. Owing to this challenge, enhanced oil recovery (EOR) techniques are increasingly gaining more significance as robust strategies for producing more oil volumes from mature reservoirs. Water alternating gas (WAG) injection is an EOR method intended at improving the microscopic and macroscopic displacement efficiencies. To handle and implement successfully this technique, it is of vital importance to optimize its operating parameters. This study targeted at implementing robust proxy paradigms for investigating the suitable design parameters of a WAG project applied to real field data from “Gullfaks” in the North Sea. The proxy models aimed at reducing significantly the rum-time related to the commercial simulators without scarifying the accuracy. To this end, machine learning (ML) approaches, including multi-layer perceptron (MLP) and radial basis function neural network (RBFNN) were implemented for estimating the needed parameters for the formulated optimization problem. To improve the reliability of these ML methods, they were evolved using optimization algorithms, namely Levenberg–Marquardt (LM) for MLP, and ant colony optimization (ACO) and grey wolf optimization (GWO) for RBFNN. The performance analysis of the proxy models revealed that MLP-LMA has better prediction ability than the other two proxy paradigms. In this context, the highest average absolute relative deviation noticed per runs by MLP-LMA was lower than 3.60%. Besides, the best-implemented proxy was coupled with ACO and GWO for resolving the studied WAG optimization problem. The findings revealed that the suggested proxies are cheap, accurate, and practical in emulating the performance of numerical reservoir model. In addition, the results demonstrated the effectiveness of ACO and GWO in optimizing the parameters of WAG process for the real field data used in this study.",oceanology
10.1016/j.gsd.2021.100612,Journal,Groundwater for Sustainable Development,scopus,2021-08-01,sciencedirect,"Assessing drinking water quality based on physical, chemical and microbial parameters in the Red Sea State, Sudan using a combination of water quality index and artificial neural network model",https://api.elsevier.com/content/abstract/scopus_id/85107352300,"This study aimed to assess the quality of water resources, and its suitability for the drinking uses in Red Sea State, Sudan. Particularly, with regard to international standards from the World Health Organization (WHO/2017), and the national standards from Sudanese Standard and Meteorology Organization for drinking water (SDS-044/2007). Twenty locations site were investigated to represent this important area, where its analysed for compliance with the national and international standards, furthermore, the suitability for drinking purpose was assessed by using water quality index (WQI) method. Artificial Neural Network (ANN) was applied to predict the QWI by using the algorithm of feed forward back propagation artificial neural networks (BP ANN) for optimization. Physio-chemical assessments indicated that, water resources did not conform to the safe limits, especially heavy metals likes cadmium, which has the highest concentrations-hazard in almost all samples. High lead levels were observed at nineteen sites, while a high concentrations of nickel, and Total dissolved solids were observed at seven locations. The microbial assessment indicated most of locations did not conform to the safe limits, a high bacteria –hazard for Total coliform and Escherichia coli were observed in fourteen, and seven locations, respectively. Computed WQI values ranged from 35.61 to 337.52. ANN model showed much high prediction accuracy of WQI modeling with R2 values greater than 0.95 during training, testing and validation. WQI spatial distribution shown that, Red Sea State has unsuitable water quality in most of study sites (70%). The effects of heavy pollutants dominated on the water quality, and spread in these regions. This study conducted the first full-scale survey of the drinking water sources (ground and surface) in the Red Sea State of Sudan. Based on these results, we recommended that, an urgent measures such as a chemical treatments to treat the pollution, with/or filters installation should be implemented as soon as possible to manage and protect the water resources.",oceanology
10.1016/j.gsf.2020.04.016,Journal,Geoscience Frontiers,scopus,2020-09-01,sciencedirect,A novel type of neural networks for feature engineering of geological data: Case studies of coal and gas hydrate-bearing sediments,https://api.elsevier.com/content/abstract/scopus_id/85087418242,"The nature of the measured data varies among different disciplines of geosciences. In rock engineering, features of data play a leading role in determining the feasible methods of its proper manipulation. The present study focuses on resolving one of the major deficiencies of conventional neural networks (NNs) in dealing with rock engineering data. Herein, since the samples are obtained from hundreds of meters below the surface with the utmost difficulty, the number of samples is always limited. Meanwhile, the experimental analysis of these samples may result in many repetitive values and 0s. However, conventional neural networks are incapable of making robust models in the presence of such data. On the other hand, these networks strongly depend on the initial weights and bias values for making reliable predictions. With this in mind, the current research introduces a novel kind of neural network processing framework for the geological that does not suffer from the limitations of the conventional NNs. The introduced single-data-based feature engineering network extracts all the information wrapped in every single data point without being affected by the other points. This method, being completely different from the conventional NNs, re-arranges all the basic elements of the neuron model into a new structure. Therefore, its mathematical calculations were performed from the very beginning. Moreover, the corresponding programming codes were developed in MATLAB and Python since they could not be found in any common programming software at the time being. This new kind of network was first evaluated through computer-based simulations of rock cracks in the 3DEC environment. After the model’s reliability was confirmed, it was adopted in two case studies for estimating respectively tensile strength and shear strength of real rock samples. These samples were coal core samples from the Southern Qinshui Basin of China, and gas hydrate-bearing sediment (GHBS) samples from the Nankai Trough of Japan. The coal samples used in the experiments underwent nuclear magnetic resonance (NMR) measurements, and Scanning Electron Microscopy (SEM) imaging to investigate their original micro and macro fractures. Once done with these experiments, measurement of the rock mechanical properties, including tensile strength, was performed using a rock mechanical test system. However, the shear strength of GHBS samples was acquired through triaxial and direct shear tests. According to the obtained result, the new network structure outperformed the conventional neural networks in both cases of simulation-based and case study estimations of the tensile and shear strength. Even though the proposed approach of the current study originally aimed at resolving the issue of having a limited dataset, its unique properties would also be applied to larger datasets from other subsurface measurements.",oceanology
10.1016/j.oceaneng.2019.106129,Journal,Ocean Engineering,scopus,2019-08-15,sciencedirect,Study on wavelet neural network based anomaly detection in ocean observing data series,https://api.elsevier.com/content/abstract/scopus_id/85067611959,"In this paper, a novel method is presented for detecting anomalies in ocean fixed-point observing time series, which combines wavelet neural network (WNN), classifying threshold and two detecting strategies. The WNN was developed without any labeled training data to simulate the non-anomalous behaviors for next-step prediction. The classifying threshold was constructed according to the estimated distribution of long-term historical residual errors. The observation strategy (OS) and prediction strategy (PS) were designed to detect new unknown anomalies. Two types of marine observing time series from a buoy, deployed at the National Ocean Test Site of China, were selected for verifying the method. The results show that 99% of classifying confidence level is adequate to provide a reasonable trade-off between the false negative and false positive. By using the two detecting strategies and selecting proper estimated distribution of the threshold, the method is efficient for identifying the anomalous points and patterns which were caused by the natural factors or equipment failures. Compared with traditional ANN and wavelet-ANN, the WNN-based method is more tolerant to noise and more sensitive to anomalies with temporal dependencies. Furthermore, this approach introduced here can work in a real-time way and will help ocean engineering managers to obtain informed decisions.",oceanology
10.1016/j.energy.2018.12.084,Journal,Energy,scopus,2019-03-01,sciencedirect,Recurrent wavelet-based Elman neural network with modified gravitational search algorithm control for integrated offshore wind and wave power generation systems,https://api.elsevier.com/content/abstract/scopus_id/85059621878,A new approach to rotational speed control structures based on an optimized intelligent recurrent wavelet-based Elman neural network (RWENN) controller used for the integration of offshore wind and wave energy conversion systems driven by a doubly fed induction generator. The nodes connecting the weights of the RWENN are trained online using a backpropagation method. A modified gravitational search algorithm (MGSA) is developed to adjust the learning rates and improve learning capability. The proposed control scheme has improved the real power regulation and dynamic performance of a combined wind and ocean wave energy scheme over a wide range of operating conditions. The performance of this control scheme is assessed by comparing it to a traditional proportional-integral based control scheme in a series of case studies representative of maximum power generation. Simulations are carried out using PSCAD/EMTDC software to verify the robustness of the power electronics converters and the efficiency of the proposed controller under steady state and transient conditions.,oceanology
10.1016/j.chroma.2018.06.016,Journal,Journal of Chromatography A,scopus,2018-08-24,sciencedirect,Development and optimization of a solid-phase microextraction gas chromatography–tandem mass spectrometry methodology to analyse ultraviolet filters in beach sand,https://api.elsevier.com/content/abstract/scopus_id/85048474681,"A methodology based on solid-phase microextraction (SPME) followed by gas chromatography–tandem mass spectrometry (GC–MS/MS) has been developed for the simultaneous analysis of eleven multiclass ultraviolet (UV) filters in beach sand. To the best of our knowledge, this is the first time that this extraction technique is applied to the analysis of UV filters in sand samples, and in other kind of environmental solid samples. Main extraction parameters such as the fibre coating, the amount of sample, the addition of salt, the volume of water added to the sand, and the temperature were optimized. An experimental design approach was implemented in order to find out the most favourable conditions. The final conditions consisted of adding 1 mL of water to 1 g of sample followed by the headspace SPME for 20 min at 100 °C, using PDMS/DVB as fibre coating. The SPME-GC–MS/MS method was validated in terms of linearity, accuracy, limits of detection and quantification, and precision. Recovery studies were also performed at three concentration levels in real Atlantic and Mediterranean sand samples. The recoveries were generally above 85% and relative standard deviations below 11%. The limits of detection were in the pg g−1 level. The validated methodology was successfully applied to the analysis of real sand samples collected from Atlantic Ocean beaches in the Northwest coast of Spain and Portugal, Canary Islands (Spain), and from Mediterranean Sea beaches in Mallorca Island (Spain). The most frequently found UV filters were ethylhexyl salicylate (EHS), homosalate (HMS), 4-methylbenzylidene camphor (4MBC), 2-ethylhexyl methoxycinnamate (2EHMC) and octocrylene (OCR), with concentrations up to 670 ng g−1.",oceanology
10.1016/j.neucom.2017.09.044,Journal,Neurocomputing,scopus,2018-01-31,sciencedirect,Transferring deep knowledge for object recognition in Low-quality underwater videos,https://api.elsevier.com/content/abstract/scopus_id/85030701582,"In recent years, underwater video technologies allow us to explore the ocean in scientific and noninvasive ways, such as environmental monitoring, marine ecology studies, and fisheries management. However the low-light and high-noise scenarios pose great challenges for the underwater image and video analysis. We here propose a CNN knowledge transfer framework for underwater object recognition and tackle the problem of extracting discriminative features from relatively low contrast images. Even with the insufficient training set, the transfer framework can well learn a recognition model for the special underwater object recognition task together with the help of data augmentation. For better identifying objects from an underwater video, a weighted probabilities decision mechanism is introduced to identify the object from a series of frames. The proposed framework can be implemented for real-time underwater object recognition on autonomous underwater vehicles and video monitoring systems. To verify the effectiveness of our method, experiments on a public dataset are carried out. The results show that the proposed method achieves promising results for underwater object recognition on both test image datasets and underwater videos.",oceanology
10.1016/j.oceaneng.2017.08.047,Journal,Ocean Engineering,scopus,2018-01-01,sciencedirect,Sea state identification based on vessel motion response learning via multi-layer classifiers,https://api.elsevier.com/content/abstract/scopus_id/85033575900,"In order to extend the operational weather window for marine vessels under Dynamic Positioning (DP) control, a novel sea state identification method with multi-layer classifiers is proposed in this paper. Due to the distinction of system responses for various sea states, four motion signals including surge, sway, roll and yaw are adopted for classification purpose. Firstly, preprocessing techniques, like filtration and k-means clustering are performed to the raw data to filter out the “corrupted” low frequency (LF) information and generate the band-pass filter bank. Then, the processed data is decomposed into 20 categories via Hilbert-Huang transform (HHT), filter bank method and wavelet transform and 11 statistical features are extracted for each category. Subsequently, Max-relevance Min-redundancy (mRMR) method helps to select salient features with best trade-off between relevance and redundancy. With these selected features, a newly developed three-layer classification structure with Adaptive Neuro-Fuzzy Inference System (ANFIS), Random Forest (RF) and Particle Swarm Optimization (PSO) based combination classifiers is proposed to derive the current sea state. The simulation results demonstrate that the proposed identification system can achieve satisfactory classification accuracy. Moreover, the multi-layer classifier outperforms single layer classifier and can rapidly classify the sea state in real-time implementation.",oceanology
10.1016/j.oceaneng.2017.02.026,Journal,Ocean Engineering,scopus,2017-01-01,sciencedirect,A real-time strategy-decision program for sailing yacht races,https://api.elsevier.com/content/abstract/scopus_id/85014101158,"Optimal decisions for a skipper competing in a match race depend on a number of factors, including wind speed and direction variations, behaviour of the opponent, sea state, currents, racing rules. Expert sailors are able to combine observations on these various factors and process them to take optimal decisions. This study presents an attempt at emulating this decision process through a computer code that can be used in real time to advise on race strategy. The novelty of the proposed method consists in combining various approaches for the multiple factors affecting the decision process.
                  The wind variability is modelled with the use of neural networks, to produce a short-term wind forecast. The willingness of the sailor to risk is modelled using coherent-risk measures. Experimental results are used to quantify the loss of speed due to the presence of a nearby opponent. Finally, all these factors are combined through dynamic programming to compute an optimal course, based also on information on the current and yachts performance. The program is tested modelling the last 13 races of the 34th America's Cup, and results show that the route computed is close to the shortest possible route computed assuming perfect knowledge of sea conditions.",oceanology
