@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,article-number,prism:isbn,pii,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124729917', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124729917?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124729917&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124729917&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124729917,SCOPUS_ID:85124729917,2-s2.0-85124729917,Real-Time Optical-Wireless Video Surveillance System for High Visual-Fidelity Underwater Monitoring,Kong M.,IEEE Photonics Journal,19430655,14,2,,2022-04-01,1 April 2022,10.1109/JPHOT.2022.3147844,0,"[{'@_fa': 'true', 'affilname': 'King Abdullah University of Science and Technology', 'affiliation-city': 'Thuwal', 'affiliation-country': 'Saudi Arabia'}]",Journal,ar,Article,19700176215,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116072775', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116072775?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116072775&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116072775&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85116072775,SCOPUS_ID:85116072775,2-s2.0-85116072775,Reinforcement learning-based dynamic position control of mobile node for ocean sensor networks,Wang W.,Transactions of the Institute of Measurement and Control,,44,4,926-940,2022-02-01,February 2022,10.1177/01423312211043034,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Maritime University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,15449,0,False,,,01423312,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123740966', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123740966?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123740966&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123740966&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123740966,SCOPUS_ID:85123740966,2-s2.0-85123740966,"Automated Detection, Classification and Counting of Fish in Fish Passages With Deep Learning",Kandimalla V.,Frontiers in Marine Science,22967745,8,,,2022-01-13,13 January 2022,10.3389/fmars.2021.823173,0,"[{'@_fa': 'true', 'affilname': 'Dalhousie University', 'affiliation-city': 'Halifax', 'affiliation-country': 'Canada'}, {'@_fa': 'true', 'affilname': 'Innovasea', 'affiliation-city': 'Halifax', 'affiliation-country': 'Canada'}]",Journal,ar,Article,21100790929,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,823173,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120579680', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120579680?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120579680&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120579680&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85120579680,SCOPUS_ID:85120579680,2-s2.0-85120579680,A Generalized Complex-Valued Constrained Energy Minimization Scheme for the Arctic Sea Ice Extraction Aided with Neural Algorithm,Fu D.,IEEE Transactions on Geoscience and Remote Sensing,15580644,60,,,2022-01-01,2022,10.1109/TGRS.2021.3130647,0,"[{'@_fa': 'true', 'affilname': 'Guangdong Ocean University', 'affiliation-city': 'Zhanjiang', 'affiliation-country': 'China'}]",Journal,ar,Article,17360,0,False,,,01962892,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122611934', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122611934?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122611934&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122611934&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122611934,SCOPUS_ID:85122611934,2-s2.0-85122611934,Real-Time Prediction of Ocean Observation Data Based on Transformer Model,Chang W.,ACM International Conference Proceeding Series,,,,83-88,2021-12-28,28 December 2021,10.1145/3491396.3506511,0,"[{'@_fa': 'true', 'affilname': 'Qilu University of Technology', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}]",Conference Proceeding,cp,Conference Paper,21101071944,0,False,,,,,"[{'@_fa': 'true', '$': '9781450391603'}]",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121974807', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121974807?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121974807&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121974807&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85121974807,SCOPUS_ID:85121974807,2-s2.0-85121974807,The Identification and Prediction of Mesoscale Eddy Variation via Memory in Memory With Scheduled Sampling for Sea Level Anomaly,Nian R.,Frontiers in Marine Science,22967745,8,,,2021-12-06,6 December 2021,10.3389/fmars.2021.753942,1,"[{'@_fa': 'true', 'affilname': 'Ocean University of China', 'affiliation-city': 'Qingdao', 'affiliation-country': 'China'}]",Journal,ar,Article,21100790929,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,753942,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125633279', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125633279?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125633279&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125633279&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125633279,SCOPUS_ID:85125633279,2-s2.0-85125633279,Comparative evaluation of Machine Learning algorithms and Physical based models for the prediction of Vessel Speed in real life applications,Alexiou K.,ACM International Conference Proceeding Series,,,,442-447,2021-11-26,26 November 2021,10.1145/3503823.3503904,0,"[{'@_fa': 'true', 'affilname': 'University of West Attica', 'affiliation-city': 'Athens', 'affiliation-country': 'Greece'}]",Conference Proceeding,cp,Conference Paper,21101078808,0,False,,,,,"[{'@_fa': 'true', '$': '9781450395557'}]",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107862421', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107862421?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107862421&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107862421&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85107862421,SCOPUS_ID:85107862421,2-s2.0-85107862421,Real time identification of anomalous events in coastal regions using deep learning techniques,Perumal V.,Concurrency and Computation: Practice and Experience,15320634,33,21,,2021-11-10,10 November 2021,10.1002/cpe.6421,1,"[{'@_fa': 'true', 'affilname': 'Madras Institute of Technology', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Journal,ar,Article,27871,0,False,,,15320626,e6421,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114120946', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114120946?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114120946&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114120946&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0020025521008896'}",https://api.elsevier.com/content/abstract/scopus_id/85114120946,SCOPUS_ID:85114120946,2-s2.0-85114120946,OCEAn: Ordinal classification with an ensemble approach,Vega-Márquez B.,Information Sciences,,580,,221-242,2021-11-01,November 2021,10.1016/j.ins.2021.08.081,1,"[{'@_fa': 'true', 'affilname': 'Universidad de Sevilla', 'affiliation-city': 'Sevilla', 'affiliation-country': 'Spain'}]",Journal,ar,Article,15134,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",00200255,,,S0020025521008896,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85108013019', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85108013019?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108013019&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108013019&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0920410521006951'}",https://api.elsevier.com/content/abstract/scopus_id/85108013019,SCOPUS_ID:85108013019,2-s2.0-85108013019,Optimization of WAG in real geological field using rigorous soft computing techniques and nature-inspired algorithms,Nait Amar M.,Journal of Petroleum Science and Engineering,,206,,,2021-11-01,November 2021,10.1016/j.petrol.2021.109038,9,"[{'@_fa': 'true', 'affilname': 'Université de Boumerdes', 'affiliation-city': 'Boumerdes', 'affiliation-country': 'Algeria'}, {'@_fa': 'true', 'affilname': 'Sonatrach', 'affiliation-city': 'Algiers', 'affiliation-country': 'Algeria'}]",Journal,ar,Article,17013,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",09204105,109038,,S0920410521006951,
