contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s11069-021-05002-2,Surrogate modeling of time-dependent metocean conditions during hurricanes,Natural Hazards,10.1007/s11069-021-05002-2,Springer,2022-02-01,2021-08-26,"Metocean conditions during hurricanes are defined by multiple parameters (e.g., significant wave height and surge height) that vary in time with significant auto- and cross-correlation. In many cases, the nature of the variation of these characteristics in time is important to design and assess the risk to offshore structures, but a persistent problem is that measurements are sparse and time history simulations using metocean models are computationally onerous. Surrogate modeling is an appealing approach to ease the computational burden of metocean modeling; however, modeling the time-dependency of metocean conditions using surrogate models is challenging because the conditions at one time instant are dependent on not only the conditions at that instant but also on the conditions at previous time instances. In this paper, time-dependent surrogate modeling of significant wave height, peak wave period, peak wave direction, and storm surge is explored using a database of metocean conditions at an offshore site. Three types of surrogate models, including Kriging, multilayer perceptron (MLP), and recurrent neural network with gated recurrent unit (RNN-GRU), are evaluated, with two different time-dependent structures considered for the Kriging model and two training set sizes for the MLP model, resulting in a total of five models evaluated in this paper. The performance of the models is compared in terms of accuracy and sensitivity toward hyperparameters, and the MLP and RNN-GRU models are demonstrated to have extraordinary prediction performance in this context.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11069-021-05002-2,springer
Article,doi:10.1007/s00521-021-06878-8,Prediction of temperature anomaly in Indian Ocean based on autoregressive long short-term memory neural network,Neural Computing and Applications,10.1007/s00521-021-06878-8,Springer,2022-01-06,2022-01-06,"Surface temperature is one of the first ocean variables investigated. Ocean temperature is a key indicator of global climate change. The anomalies in ocean temperature have caused significant deterioration of marine systems. Existing works on surface temperature anomaly considered a suite of other remote sensing measurements such as wave height, salinity and models such as support vector machine, self-organizing maps and convolutional neural networks. Neural networks are used for predicting the surface temperature. This paper proposes use of long short-term memory, a recurrent neural network method to the estimate sea surface temperature anomalies based on previous year’s sea surface temperature anomalies. NOAA OI SST V2 dataset with 40 years of data is used in the experimentation. Auto-regression is used during data preprocessing. The basic LSTM method with 3 blocks of size 2 is enhanced to 50 neurons. This proposed LSTM model has been assessed for performance on time series data, yearly wise and for the entire dataset and found that the model has been able to predict the anomalies with a reasonably good precision. The model produced error of 0.036 indicating that the model is feasible for predicting the temperature anomaly and mean absolute error of 0.14 on the testing data.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-06878-8,springer
Article,doi:10.1007/s40868-021-00109-4,Oil spill detection over ocean surface using deep learning: a comparative study,Marine Systems & Ocean Technology,10.1007/s40868-021-00109-4,Springer,2021-12-01,2021-11-09,"Marine pollution poses a humongous threat to oceanic life especially large scale oil spills. The paper addresses this concern by offering a comparative study of novel deep learning architectures trained on identical datasets and computational conditions. We explore the concept of dataset amplification through non-learning image manipulations techniques like Horizontal and Vertical flipping along with random rotations. The models are thoroughly attested using parameters like Mean-IoU, F1 scores and percentage accuracy. The paper concludes by showing V-Net supremacy, as it outperforms it’s fellow implementations with an accuracy of 90.65% and a Dice-Coefficient of 90.34.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40868-021-00109-4,springer
Article,doi:10.1007/s13131-021-1841-z,Inversion of the three-dimensional temperature structure of mesoscale eddies in the Northwest Pacific based on deep learning,Acta Oceanologica Sinica,10.1007/s13131-021-1841-z,Springer,2021-10-01,2021-12-01,"Mesoscale eddies, which are mainly caused by baroclinic effects in the ocean, are common oceanic phenomena in the Northwest Pacific Ocean and play very important roles in ocean circulation, ocean dynamics and material energy transport. The temperature structure of mesoscale eddies will lead to variations in oceanic baroclinity, which can be reflected in the sea level anomaly (SLA). Deep learning can automatically extract different features of data at multiple levels without human intervention, and find the hidden relations of data. Therefore, combining satellite SLA data with deep learning is a good way to invert the temperature structure inside eddies. This paper proposes a deep learning algorithm, eddy convolution neural network (ECN), which can train the relationship between mesoscale eddy temperature anomalies and sea level anomalies (SLAs), relying on the powerful feature extraction and learning abilities of convolutional neural networks. After obtaining the temperature structure model through ECN, according to climatic temperature data, the temperature structure of mesoscale eddies in the Northwest Pacific is retrieved with a spatial resolution of 0.25° at depths of 0–1 000 m. The overall accuracy of the ECN temperature structure is verified using Argo profiles at the locations of cyclonic and anticyclonic eddies during 2015–2016. Taking 10% error as the acceptable threshold of accuracy, 89.64% and 87.25% of the cyclonic and anticyclonic eddy temperature structures obtained by ECN met the threshold, respectively.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s13131-021-1841-z,springer
Article,doi:10.1007/s11001-021-09451-z,Seamount age prediction machine learning model based on multiple geophysical observables: methods and applications in the Pacific Ocean,Marine Geophysical Research,10.1007/s11001-021-09451-z,Springer,2021-09-15,2021-09-15,"Seamount ages are important for understanding crust-mantle interactions and exploring sea bottom ore resources. Rock sampling and laboratory measurements are time-consuming and expensive, and are currently the main methods for dating seamounts. Thus, the ages of many seamounts in the Pacific Ocean are still unknown. To address this problem, gravity anomalies, magnetic anomalies, oceanic crustal ages, sediment thicknesses and seamount heights are chosen as the input parameters for seamount age prediction based on the potential relationship between geophysical observables and seamount ages. A Back-propagation (BP) neural network is constructed using the currently known seamount ages in the Pacific Ocean. Then, the weight and threshold of the BP network are optimized by a Genetic algorithm (GA); finally, the GA-BP model for seamount age production is derived. In addition, Convolutional neural network (CNN), BP model, and Support vector regression (SVR) methods are also used to predict seamount ages. The uncertainties in the prediction results decrease in the order of the GA-BP model, CNN, BP model, and SVR methods. The RMSE of the GA-BP prediction results is 10.22 Ma, and R ^2 is 0.90.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11001-021-09451-z,springer
Article,doi:10.1007/s40808-020-00974-9,Performances of deep learning models for Indian Ocean wind speed prediction,Modeling Earth Systems and Environment,10.1007/s40808-020-00974-9,Springer,2021-06-01,2020-09-19,"A wind speed forecasting technique, using deep learning architectures based on long short-term memory (LSTM) model and bidirectional long short-term memory (BiLSTM) model is presented in this work. The coastal belts of the Indian peninsula are vulnerable to natural disasters like storm surges and inundations due to cyclones each year. The wind speed is a major parameter for analyzing extreme weather events. Prediction using numerical models is not efficient enough due to the irregular patterns in the data and, thus, deep neural network models involving many layers have been tested. The shallow feed-forward model has also been considered along with deep learning models to estimate future values from past data. The present work employs a comparison study of different models to forecast wind speed time series at two locations in the Bay of Bengal and the Arabian Sea, respectively, having different dynamics and randomness. For training the models, daily wind speed data are considered for the period 2006–2017 and an independent validation set is chosen comprising 2018 wind speed data to check the accuracy. To evaluate forecast efficiency among different network models fitted to given time series, mean square error (MSE) and root mean square error (RMSE) have been computed. Multiple experiments are conducted with different hidden unit values and epoch values to obtain the minimum error. Regression equations generated may be used for forecasting future time series. The BiLSTM model connecting hidden states of opposite directions proved to be most efficient for the wind speed forecasting in different regions.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40808-020-00974-9,springer
Article,doi:10.1057/s41278-020-00156-5,Forecasting container freight rates for major trade routes: a comparison of artificial neural networks and conventional models,Maritime Economics & Logistics,10.1057/s41278-020-00156-5,Springer,2021-06-01,2020-04-02,"Major players in maritime business such as shipping lines, charterers, shippers, and others rely on container freight rate forecasts for operational decision-making. The absence of a formal forward market in container shipping necessitates reliance on forecasts, also for hedging purposes. To identify better performing forecasting approaches, we compare three models, namely autoregressive integrated moving average (ARIMA), vector autoregressive (VAR) or vector error correction (VEC), and artificial neural network (ANN) models. We examine the China Containerized Freight Index (CCFI) as a collection of weekly freight rates published by the Shanghai Shipping Exchange (SSE) for four major trade routes. We find that, overall, VAR/VEC models outperform ARIMA and ANN in training-sample forecasts, but ARIMA outperforms VAR and ANN taking test-samples. At route level, we observe two exceptions to this. ARIMA performs better for the Far East to Mediterranean route, in the training-sample, and the VEC model does the same in the Far East to US East Coast route in the test-sample. Hence, we advise industry players to use ARIMA for forecasting container freight rates for major trade routes ex-China, except for VEC in the case of the Far East to US East Coast route.",http://link.springer.com/openurl/fulltext?id=doi:10.1057/s41278-020-00156-5,springer
Article,doi:10.1007/s00530-020-00733-x,Application of machine learning in ocean data,Multimedia Systems,10.1007/s00530-020-00733-x,Springer,2021-02-14,2021-02-14,"In recent years, machine learning has become a hot research method in various fields and has been applied to every aspect of our life, providing an intelligent solution to problems that could not be solved or difficult to be solved before. Machine learning is driven by data. It learns from a part of the input data and builds a model. The model is used to predict and analyze another part of the data to get the results people want. With the continuous advancement of ocean observation technology, the amount of ocean data and data dimensions are rising sharply. The use of traditional data analysis methods to analyze massive amounts of data has revealed many shortcomings. The development of machine learning has solved these shortcomings. Nowadays, the use of machine learning technology to analyze and apply ocean data becomes the focus of scientific research. This method has important practical and long-term significance for protecting the ocean environment, predicting ocean elements, exploring the unknown, and responding to extreme weather. This paper focuses on the analysis of the state of the art and specific practices of machine learning in ocean data, review the application examples of machine learning in various fields such as ocean sound source identification and positioning, ocean element prediction, ocean biodiversity monitoring, and deep-sea resource monitoring. We also point out some constraints that still exist in the research and put forward the future development direction and application prospects.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00530-020-00733-x,springer
Chapter ConferencePaper,doi:10.1007/978-981-15-8599-9_53,Intelligent Ocean Governance—Deep Learning-Based Ship Behavior Detection and Application,Artificial Intelligence in China,10.1007/978-981-15-8599-9_53,Springer,2021-01-01,2021-02-09,"The development and utilization of marine resources by mankind has brought out a series of practical problems such as the destruction of marine ecology, the damage of seabed assets, and the disputes over marine sovereignty. How to use information technology tools to profile and monitor ships, accurately classify and identify ship behaviors through multi-source data fusion analysis, and timely alert and invert abnormal behaviors have become an important means of intelligent ocean governance. In response to the above needs, this paper classifies the ship’s behavior, designs a new data structure ShipInfoSet that represents the ship’s multi-source heterogeneous spatio-temporal information, and proposes a deep learning-based ship behavior-monitoring algorithm ML-Dabs. Accurate identification of the ship’s behavior based on deep learning has realized the monitoring and warning of different types of ships’ profiles and abnormal behaviors. This paper designs an intelligent ocean information port architecture, which can be implemented by deploying the algorithm.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-15-8599-9_53,springer
Chapter,doi:10.1007/978-3-030-87683-8_2,Machine Learning Based Retrieval Algorithms: Application to Ocean Optics,Springer Series in Light Scattering,10.1007/978-3-030-87683-8_2,Springer,2021-01-01,2021-10-28,"Global ocean color measurements from satellites provide critical information about ocean ecology and biogeochemistry, this advances our knowledge of the carbon cycle and its impact on climate disturbances. The repeated synoptic observations of spectral leaving reflectance can be used to estimate marine inherent optical properties. The spatial, angular, and spectral distributions of underwater light field depend upon the absorption and scattering characteristics, the inherent optical properties (IOPs), of oceanic particles or hydrosols. The remote sensing algorithms or inverse methods typically rely on forward models to relate the satellite observed quantity, remote sensing reflectance, with the corresponding IOPs. The viewing angle dependence, spectral, and polarization states of reflected light contain rich information on the retrieval IOP parameters. The inverse methods depend on a reliable atmospheric correction algorithm. However, due to the presence of absorbing aerosols and complex optical properties of coastal waters, it is difficult to achieve successful atmospheric correction over coastal waters or when absorbing aerosols are involved. To overcome the limitations of atmospheric correction in coastal and inland waters involving absorbing aerosols, the use of multi-angle, multi-wavelength, polarized measurements to characterize aerosol and hydrosol properties would be beneficial. The polarized signal is measured by several multi-angular polarimeters like POLDER, the Research Scanning Polarimeter (RSP), the Airborne Multiangle SpectroPolarimetric Imager (AirMSPI), the Spectropolarimeter for Planetary EXploration (SPEX) and the HyperAngular Rainbow Polarimeter (HARP). Notably, NASA’s Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) mission plans to carry SPEXone and HARP2 as well as the Ocean Color Instrument (OCI), which will acquire an abundance of unprecedented co-located datasets of polarimeter and ocean color measurements. To handle the huge volume of data it is critical to use a fast ocean reflectance model that can be used in the retrieval algorithms to achieve operational retrieval of aerosol and ocean color information. The retrieval algorithms need to call radiative transfer models iteratively in order to minimize the difference between measurements and model prediction, which is computationally expensive. In this chapter, available fast retrieval algorithms based on machine learning techniques used by the community are reviewed. Their scopes and limitations is discussed. Particularly this chapter summarizes various machine learning and optimization algorithms used in ocean optics studies.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87683-8_2,springer
