id,updated,published,title,summary,database
http://arxiv.org/abs/2203.07967v1,2022-03-15T14:52:52Z,2022-03-15T14:52:52Z,Intrinsic Neural Fields: Learning Functions on Manifolds,"Neural fields have gained significant attention in the computer vision
community due to their excellent performance in novel view synthesis, geometry
reconstruction, and generative modeling. Some of their advantages are a sound
theoretic foundation and an easy implementation in current deep learning
frameworks. While neural fields have been applied to signals on manifolds,
e.g., for texture reconstruction, their representation has been limited to
extrinsically embedding the shape into Euclidean space. The extrinsic embedding
ignores known intrinsic manifold properties and is inflexible wrt. transfer of
the learned function. To overcome these limitations, this work introduces
intrinsic neural fields, a novel and versatile representation for neural fields
on manifolds. Intrinsic neural fields combine the advantages of neural fields
with the spectral properties of the Laplace-Beltrami operator. We show
theoretically that intrinsic neural fields inherit many desirable properties of
the extrinsic neural field framework but exhibit additional intrinsic
qualities, like isometry invariance. In experiments, we show intrinsic neural
fields can reconstruct high-fidelity textures from images with state-of-the-art
quality and are robust to the discretization of the underlying manifold. We
demonstrate the versatility of intrinsic neural fields by tackling various
applications: texture transfer between deformed shapes & different shapes,
texture reconstruction from real-world images with view dependence, and
discretization-agnostic learning on meshes and point clouds.",arxiv
http://arxiv.org/abs/2203.07390v1,2022-03-14T18:00:03Z,2022-03-14T18:00:03Z,"There's no difference: Convolutional Neural Networks for transient
  detection without template subtraction","We present a Convolutional Neural Network (CNN) model for the separation of
astrophysical transients from image artifacts, a task known as ""real-bogus""
classification, that does not rely on Difference Image Analysis (DIA) which is
a computationally expensive process involving image matching on small spatial
scales in large volumes of data. We explore the use of CNNs to (1) automate the
""real-bogus"" classification, (2) reduce the computational costs of transient
discovery. We compare the efficiency of two CNNs with similar architectures,
one that uses ""image triplets"" (templates, search, and the corresponding
difference image) and one that adopts a similar architecture but takes as input
the template and search only. Without substantially changing the model
architecture or retuning the hyperparameters to the new input, we observe only
a small decrease in model efficiency (97% to 92% accuracy). We further
investigate how the model that does not receive the difference image learns the
required information from the template and search by exploring the saliency
maps. Our work demonstrates that (1) CNNs are excellent models for ""real-bogus""
classification that rely exclusively on the imaging data and require no feature
engineering task; (2) high-accuracy models can be built without the need to
construct difference images. Since once trained, neural networks can generate
predictions at minimal computational costs, we argue that future
implementations of this methodology could dramatically reduce the computational
costs in the detection of genuine transients in synoptic surveys like Rubin
Observatory's Legacy Survey of Space and Time by bypassing the DIA step
entirely.",arxiv
http://arxiv.org/abs/2203.05334v1,2022-03-10T12:30:50Z,2022-03-10T12:30:50Z,"Iterative Corresponding Geometry: Fusing Region and Depth for Highly
  Efficient 3D Tracking of Textureless Objects","Tracking objects in 3D space and predicting their 6DoF pose is an essential
task in computer vision. State-of-the-art approaches often rely on object
texture to tackle this problem. However, while they achieve impressive results,
many objects do not contain sufficient texture, violating the main underlying
assumption. In the following, we thus propose ICG, a novel probabilistic
tracker that fuses region and depth information and only requires the object
geometry. Our method deploys correspondence lines and points to iteratively
refine the pose. We also implement robust occlusion handling to improve
performance in real-world settings. Experiments on the YCB-Video, OPT, and Choi
datasets demonstrate that, even for textured objects, our approach outperforms
the current state of the art with respect to accuracy and robustness. At the
same time, ICG shows fast convergence and outstanding efficiency, requiring
only 1.3 ms per frame on a single CPU core. Finally, we analyze the influence
of individual components and discuss our performance compared to deep
learning-based methods. The source code of our tracker is publicly available.",arxiv
http://arxiv.org/abs/2203.02662v1,2022-03-05T05:33:55Z,2022-03-05T05:33:55Z,"A Survey on Metaverse: Fundamentals, Security, and Privacy","Metaverse, as an evolving paradigm of the next-generation Internet, aims to
build a fully immersive, hyper spatiotemporal, and self-sustaining virtual
shared space for humans to play, work, and socialize. Driven by recent advances
in emerging technologies such as extended reality, artificial intelligence, and
blockchain, metaverse is stepping from the science fiction to an upcoming
reality. However, severe privacy invasions and security breaches (inherited
from underlying technologies or emerged in the new digital ecology) of
metaverse can impede its wide deployment. At the same time, a series of
fundamental challenges (e.g., scalability and interoperability) can arise in
metaverse security provisioning owing to the intrinsic characteristics of
metaverse, such as immersive realism, hyper spatiotemporality, sustainability,
and heterogeneity. In this paper, we present a comprehensive survey of the
fundamentals, security, and privacy of metaverse. Specifically, we first
investigate a novel distributed metaverse architecture and its key
characteristics with ternary-world interactions. Then, we discuss the security
and privacy threats, present the critical challenges of metaverse systems, and
review the state-of-the-art countermeasures. Finally, we draw open research
directions for building future metaverse systems.",arxiv
http://arxiv.org/abs/2203.00927v1,2022-03-02T08:14:06Z,2022-03-02T08:14:06Z,"TransDARC: Transformer-based Driver Activity Recognition with Latent
  Space Feature Calibration","Traditional video-based human activity recognition has experienced remarkable
progress linked to the rise of deep learning, but this effect was slower as it
comes to the downstream task of driver behavior understanding. Understanding
the situation inside the vehicle cabin is essential for Advanced Driving
Assistant System (ADAS) as it enables identifying distraction, predicting
driver's intent and leads to more convenient human-vehicle interaction. At the
same time, driver observation systems face substantial obstacles as they need
to capture different granularities of driver states, while the complexity of
such secondary activities grows with the rising automation and increased driver
freedom. Furthermore, a model is rarely deployed under conditions identical to
the ones in the training set, as sensor placements and types vary from vehicle
to vehicle, constituting a substantial obstacle for real-life deployment of
data-driven models. In this work, we present a novel vision-based framework for
recognizing secondary driver behaviours based on visual transformers and an
additional augmented feature distribution calibration module. This module
operates in the latent feature-space enriching and diversifying the training
set at feature-level in order to improve generalization to novel data
appearances, (e.g., sensor changes) and general feature quality. Our framework
consistently leads to better recognition rates, surpassing previous
state-of-the-art results of the public Drive&Act benchmark on all granularity
levels. Our code will be made publicly available at
https://github.com/KPeng9510/TransDARC.",arxiv
http://arxiv.org/abs/2203.00112v1,2022-02-28T22:00:02Z,2022-02-28T22:00:02Z,GraphWorld: Fake Graphs Bring Real Insights for GNNs,"Despite advances in the field of Graph Neural Networks (GNNs), only a small
number (~5) of datasets are currently used to evaluate new models. This
continued reliance on a handful of datasets provides minimal insight into the
performance differences between models, and is especially challenging for
industrial practitioners who are likely to have datasets which look very
different from those used as academic benchmarks. In the course of our work on
GNN infrastructure and open-source software at Google, we have sought to
develop improved benchmarks that are robust, tunable, scalable,and
generalizable. In this work we introduce GraphWorld, a novel methodology and
system for benchmarking GNN models on an arbitrarily-large population of
synthetic graphs for any conceivable GNN task. GraphWorld allows a user to
efficiently generate a world with millions of statistically diverse datasets.
It is accessible, scalable, and easy to use. GraphWorld can be run on a single
machine without specialized hardware, or it can be easily scaled up to run on
arbitrary clusters or cloud frameworks. Using GraphWorld, a user has
fine-grained control over graph generator parameters, and can benchmark
arbitrary GNN models with built-in hyperparameter tuning. We present insights
from GraphWorld experiments regarding the performance characteristics of tens
of thousands of GNN models over millions of benchmark datasets. We further show
that GraphWorld efficiently explores regions of benchmark dataset space
uncovered by standard benchmarks, revealing comparisons between models that
have not been historically obtainable. Using GraphWorld, we also are able to
study in-detail the relationship between graph properties and task performance
metrics, which is nearly impossible with the classic collection of real-world
benchmarks.",arxiv
http://arxiv.org/abs/2202.12622v1,2022-02-25T11:19:05Z,2022-02-25T11:19:05Z,Towards neoRL networks; the emergence of purposive graphs,"The neoRL framework for purposive AI implements latent learning by emulated
cognitive maps, with general value functions (GVF) expressing operant desires
toward separate states. The agent's expectancy of reward, expressed as learned
projections in the considered space, allows the neoRL agent to extract
purposive behavior from the learned map according to the reward hypothesis. We
explore this allegory further, considering neoRL modules as nodes in a network
with desire as input and state-action Q-value as output; we see that action
sets with Euclidean significance imply an interpretation of state-action
vectors as Euclidean projections of desire. Autonomous desire from neoRL nodes
within the agent allows for deeper neoRL behavioral graphs. Experiments confirm
the effect of neoRL networks governed by autonomous desire, verifying the four
principles for purposive networks. A neoRL agent governed by purposive networks
can navigate Euclidean spaces in real-time while learning, exemplifying how
modern AI still can profit from inspiration from early psychology.",arxiv
http://arxiv.org/abs/2202.10707v1,2022-02-22T07:38:23Z,2022-02-22T07:38:23Z,"Targeting occupant feedback using digital twins: Adaptive
  spatial-temporal thermal preference sampling to optimize personal comfort
  models","Collecting intensive longitudinal thermal preference data from building
occupants is emerging as an innovative means of characterizing the performance
of buildings and the people who use them. These techniques have occupants
giving subjective feedback using smartphones or smartwatches frequently over
the course of days or weeks. The intention is that the data will be collected
with high spatial and temporal diversity to best characterize a building and
the occupant's preferences. But in reality, leaving the occupant to respond in
an ad-hoc or fixed interval way creates unneeded survey fatigue and redundant
data. This paper outlines a scenario-based (virtual experiment) method for
optimizing data sampling using a smartwatch to achieve comparable accuracy in a
personal thermal preference model with less data. This method uses
BIM-extracted spatial data, and Graph Neural Network (GNN) based modeling to
find regions of similar comfort preference to identify the best scenarios for
triggering the occupant to give feedback. This method is compared to two
baseline scenarios based on the spatial context of specific spaces and 4 x 4 m
grid squares in the building using a theoretical implementation on two
field-collected data sets. The results show that the proposed Build2Vec method
is 18-23% more in the overall sampling quality than the spaces-based and the
square-grid-based sampling methods. The Build2Vec method also has similar
performance to the baselines when removing redundant occupant feedback points
but with better scalability potential.",arxiv
http://arxiv.org/abs/2202.10574v1,2022-02-21T23:36:40Z,2022-02-21T23:36:40Z,"A Multi-Agent Reinforcement Learning Framework for Off-Policy Evaluation
  in Two-sided Markets","The two-sided markets such as ride-sharing companies often involve a group of
subjects who are making sequential decisions across time and/or location. With
the rapid development of smart phones and internet of things, they have
substantially transformed the transportation landscape of human beings. In this
paper we consider large-scale fleet management in ride-sharing companies that
involve multiple units in different areas receiving sequences of products (or
treatments) over time. Major technical challenges, such as policy evaluation,
arise in those studies because (i) spatial and temporal proximities induce
interference between locations and times; and (ii) the large number of
locations results in the curse of dimensionality. To address both challenges
simultaneously, we introduce a multi-agent reinforcement learning (MARL)
framework for carrying policy evaluation in these studies. We propose novel
estimators for mean outcomes under different products that are consistent
despite the high-dimensionality of state-action space. The proposed estimator
works favorably in simulation experiments. We further illustrate our method
using a real dataset obtained from a two-sided marketplace company to evaluate
the effects of applying different subsidizing policies. A Python implementation
of the proposed method is available at
https://github.com/RunzheStat/CausalMARL.",arxiv
http://arxiv.org/abs/2202.08004v1,2022-02-16T11:40:36Z,2022-02-16T11:40:36Z,Deep Koopman Operator with Control for Nonlinear Systems,"Recently Koopman operator has become a promising data-driven tool to
facilitate real-time control for unknown nonlinear systems. It maps nonlinear
systems into equivalent linear systems in embedding space, ready for real-time
linear control methods. However, designing an appropriate Koopman embedding
function remains a challenging task. Furthermore, most Koopman-based algorithms
only consider nonlinear systems with linear control input, resulting in lousy
prediction and control performance when the system is fully nonlinear with the
control input. In this work, we propose an end-to-end deep learning framework
to learn the Koopman embedding function and Koopman Operator together to
alleviate such difficulties. We first parameterize the embedding function and
Koopman Operator with the neural network and train them end-to-end with the
K-steps loss function. We then design an auxiliary control network to encode
the nonlinear state-dependent control term to model the nonlinearity in control
input. For linear control, this encoded term is considered the new control
variable instead, ensuring the linearity of the embedding space. Then we deploy
Linear Quadratic Regulator (LQR) on the linear embedding space to derive the
optimal control policy and decode the actual control input from the control
net. Experimental results demonstrate that our approach outperforms other
existing methods, reducing the prediction error by order-of-magnitude and
achieving superior control performance in several nonlinear dynamic systems
like damping pendulum, CartPole, and 7 Dof robotic manipulator.",arxiv
http://arxiv.org/abs/2202.06836v1,2022-02-14T16:19:40Z,2022-02-14T16:19:40Z,"A Machine Learning Framework for Event Identification via Modal Analysis
  of PMU Data","Power systems are prone to a variety of events (e.g. line trips and
generation loss) and real-time identification of such events is crucial in
terms of situational awareness, reliability, and security. Using measurements
from multiple synchrophasors, i.e., phasor measurement units (PMUs), we propose
to identify events by extracting features based on modal dynamics. We combine
such traditional physics-based feature extraction methods with machine learning
to distinguish different event types. Including all measurement channels at
each PMU allows exploiting diverse features but also requires learning
classification models over a high-dimensional space. To address this issue,
various feature selection methods are implemented to choose the best subset of
features. Using the obtained subset of features, we investigate the performance
of two well-known classification models, namely, logistic regression (LR) and
support vector machines (SVM) to identify generation loss and line trip events
in two datasets. The first dataset is obtained from simulated generation loss
and line trip events in the Texas 2000-bus synthetic grid. The second is a
proprietary dataset with labeled events obtained from a large utility in the
USA involving measurements from nearly 500 PMUs. Our results indicate that the
proposed framework is promising for identifying the two types of events.",arxiv
http://arxiv.org/abs/2202.06639v1,2022-02-14T11:47:26Z,2022-02-14T11:47:26Z,"On the Complexity of Object Detection on Real-world Public
  Transportation Images for Social Distancing Measurement","Social distancing in public spaces has become an essential aspect in helping
to reduce the impact of the COVID-19 pandemic. Exploiting recent advances in
machine learning, there have been many studies in the literature implementing
social distancing via object detection through the use of surveillance cameras
in public spaces. However, to date, there has been no study of social distance
measurement on public transport. The public transport setting has some unique
challenges, including some low-resolution images and camera locations that can
lead to the partial occlusion of passengers, which make it challenging to
perform accurate detection. Thus, in this paper, we investigate the challenges
of performing accurate social distance measurement on public transportation. We
benchmark several state-of-the-art object detection algorithms using real-world
footage taken from the London Underground and bus network. The work highlights
the complexity of performing social distancing measurement on images from
current public transportation onboard cameras. Further, exploiting domain
knowledge of expected passenger behaviour, we attempt to improve the quality of
the detections using various strategies and show improvement over using vanilla
object detection alone.",arxiv
http://arxiv.org/abs/2202.06558v2,2022-02-16T10:53:59Z,2022-02-14T08:57:01Z,"SAUTE RL: Almost Surely Safe Reinforcement Learning Using State
  Augmentation","Satisfying safety constraints almost surely (or with probability one) can be
critical for deployment of Reinforcement Learning (RL) in real-life
applications. For example, plane landing and take-off should ideally occur with
probability one. We address the problem by introducing Safety Augmented (Saute)
Markov Decision Processes (MDPs), where the safety constraints are eliminated
by augmenting them into the state-space and reshaping the objective. We show
that Saute MDP satisfies the Bellman equation and moves us closer to solving
Safe RL with constraints satisfied almost surely. We argue that Saute MDP
allows to view Safe RL problem from a different perspective enabling new
features. For instance, our approach has a plug-and-play nature, i.e., any RL
algorithm can be ""sauteed"". Additionally, state augmentation allows for policy
generalization across safety constraints. We finally show that Saute RL
algorithms can outperform their state-of-the-art counterparts when constraint
satisfaction is of high importance.",arxiv
http://arxiv.org/abs/2202.05953v1,2022-02-12T02:13:55Z,2022-02-12T02:13:55Z,Open-set Adversarial Defense with Clean-Adversarial Mutual Learning,"Open-set recognition and adversarial defense study two key aspects of deep
learning that are vital for real-world deployment. The objective of open-set
recognition is to identify samples from open-set classes during testing, while
adversarial defense aims to robustify the network against images perturbed by
imperceptible adversarial noise. This paper demonstrates that open-set
recognition systems are vulnerable to adversarial samples. Furthermore, this
paper shows that adversarial defense mechanisms trained on known classes are
unable to generalize well to open-set samples. Motivated by these observations,
we emphasize the necessity of an Open-Set Adversarial Defense (OSAD) mechanism.
This paper proposes an Open-Set Defense Network with Clean-Adversarial Mutual
Learning (OSDN-CAML) as a solution to the OSAD problem. The proposed network
designs an encoder with dual-attentive feature-denoising layers coupled with a
classifier to learn a noise-free latent feature representation, which
adaptively removes adversarial noise guided by channel and spatial-wise
attentive filters. Several techniques are exploited to learn a noise-free and
informative latent feature space with the aim of improving the performance of
adversarial defense and open-set recognition. First, we incorporate a decoder
to ensure that clean images can be well reconstructed from the obtained latent
features. Then, self-supervision is used to ensure that the latent features are
informative enough to carry out an auxiliary task. Finally, to exploit more
complementary knowledge from clean image classification to facilitate feature
denoising and search for a more generalized local minimum for open-set
recognition, we further propose clean-adversarial mutual learning, where a peer
network (classifying clean images) is further introduced to mutually learn with
the classifier (classifying adversarial images).",arxiv
http://arxiv.org/abs/2202.05741v1,2022-02-11T16:27:14Z,2022-02-11T16:27:14Z,"Neural-Network Decoders for Quantum Error Correction using Surface
  Codes:A Space Exploration of the Hardware Cost-Performance Trade-Offs","Quantum Error Correction (QEC) is required in quantum computers to mitigate
the effect of errors on physical qubits. When adopting a QEC scheme based on
surface codes, error decoding is the most computationally expensive task in the
classical electronic back-end. Decoders employing neural networks (NN) are
well-suited for this task but their hardware implementation has not been
presented yet. This work presents a space exploration of fully-connected
feed-forward NN decoders for small distance surface codes. The goal is to
optimize the neural network for high decoding performance, while keeping a
minimalistic hardware implementation. This is needed to meet the tight delay
constraints of real-time surface code decoding. We demonstrate that hardware
based NN-decoders can achieve high decoding performance comparable to other
state-of-the-art decoding algorithms whilst being well below the tight delay
requirements $(\approx 440\ \mathrm{ns})$ of current solid-state qubit
technologies for both ASIC designs $(<30\ \mathrm{ns})$ and FPGA
implementations $(<90\ \mathrm{ns})$. These results designates NN-decoders as
fitting candidates for an integrated hardware implementation in future
large-scale quantum computers.",arxiv
http://arxiv.org/abs/2202.03087v2,2022-02-08T14:28:18Z,2022-02-07T11:55:23Z,Unsupervised Long-Term Person Re-Identification with Clothes Change,"We investigate unsupervised person re-identification (Re-ID) with clothes
change, a new challenging problem with more practical usability and scalability
to real-world deployment. Most existing re-id methods artificially assume the
clothes of every single person to be stationary across space and time. This
condition is mostly valid for short-term re-id scenarios since an average
person would often change the clothes even within a single day. To alleviate
this assumption, several recent works have introduced the clothes change facet
to re-id, with a focus on supervised learning person identity discriminative
representation with invariance to clothes changes. Taking a step further
towards this long-term re-id direction, we further eliminate the requirement of
person identity labels, as they are significantly more expensive and more
tedious to annotate in comparison to short-term person re-id datasets. Compared
to conventional unsupervised short-term re-id, this new problem is drastically
more challenging as different people may have similar clothes whilst the same
person can wear multiple suites of clothes over different locations and times
with very distinct appearance. To overcome such obstacles, we introduce a novel
Curriculum Person Clustering (CPC) method that can adaptively regulate the
unsupervised clustering criterion according to the clustering confidence.
Experiments on three long-term person re-id datasets show that our CPC
outperforms SOTA unsupervised re-id methods and even closely matches the
supervised re-id models.",arxiv
http://arxiv.org/abs/2202.01197v3,2022-02-04T17:41:29Z,2022-02-02T18:43:01Z,VOS: Learning What You Don't Know by Virtual Outlier Synthesis,"Out-of-distribution (OOD) detection has received much attention lately due to
its importance in the safe deployment of neural networks. One of the key
challenges is that models lack supervision signals from unknown data, and as a
result, can produce overconfident predictions on OOD data. Previous approaches
rely on real outlier datasets for model regularization, which can be costly and
sometimes infeasible to obtain in practice. In this paper, we present VOS, a
novel framework for OOD detection by adaptively synthesizing virtual outliers
that can meaningfully regularize the model's decision boundary during training.
Specifically, VOS samples virtual outliers from the low-likelihood region of
the class-conditional distribution estimated in the feature space. Alongside,
we introduce a novel unknown-aware training objective, which contrastively
shapes the uncertainty space between the ID data and synthesized outlier data.
VOS achieves state-of-the-art performance on both object detection and image
classification models, reducing the FPR95 by up to 7.87% compared to the
previous best method. Code is available at
https://github.com/deeplearning-wisc/vos.",arxiv
