id,datePublished,description,publisher,title,downloadUrl,doi,journals,database
395002254,2021-01-11T17:09:03,"Both the military and civil worlds are being transformed by the development and deployment of unmanned systems to a wider range of scenarios. As the field of unmanned systems has grown and matured, it has continuously advanced towards increasing levels of autonomy. As an example, the cars of today have gone from ""maintain this speed"" to ""drive on this highway."" As this push towards greater levels of autonomy continues, new methods for developing policies for control of these systems are required. Recent breakthroughs in reinforcement learning hope to address this problem. The primary advantage of reinforcement learning based systems is their focus on goal driven behavior. In developing reinforcement learning based policies, there is a need for significant exploration of a system’s possible state-action space. As such, modeling and simulation has been an indispensable tool. However, transferring policies from a simulated world to the real world presents its own challenges. This work develops a method for evaluating the relative importance of different possible simplifications that can be taken during the modeling process. This relies on a sampling-based method to explore the possible simplification space of a given referent model. Experiments show that this method compares favorably to a number of baseline model development strategies and can lead to significantly simplified system models that maintain similar transference properties. Additional experiments are presented that evaluate different choices within this sampling-based strategy and the effects of imperfect referent models on the resulting evaluations.Ph.D",Georgia Institute of Technology,Evaluating the Effects of Model Simplifications on the Transference of Policies Learned in Simulation,https://core.ac.uk/download/395002254.pdf,,,core
478906302,2021-08-09T17:00:00,"In the context of fierce competition arising in the space economy, the number of satellites and constellations that will be placed in orbit is set to increase considerably in the upcoming years. In such a dynamic environment, raising the autonomy level of the next space missions is key to maintaining a competitive edge in terms of the scientific, technological, and commercial outcome.
We propose the adoption of an AI-based autonomous agent aiming to fully enable spacecraft’s goal-oriented autonomy. The implemented cognitive architecture collects input starting from the sensing of the surrounding operating environment and defines a low-level schedule of tasks that will be carried out throughout the specified horizon. Furthermore, the agent provides a planner module designed to find optimal solutions that maximize the outcome of the pursued objective goal. The autonomous loop is closed by comparing the expected outcome of these scheduled tasks against the real environment measurements.
The entire algorithmic pipeline was tested in a simulated operational environment, specifically developed for replicating inputs and resources relative to Earth Observation missions. The autonomous reasoning agent was evaluated against the classical, non-autonomous, mission control approach, considering both the quantity and the quality of collected observation data in addition to the quantity of the observation opportunities exploited throughout the simulation time. The preliminary simulation results point out that the adoption of our software agent enhances dramatically the effectiveness of the entire mission, increasing and optimizing in-orbit activities, on the one hand, reducing events\u27 response latency (opportunities, failures, malfunctioning, etc.) on the other.
In the presentation, we will cover the description of the high-level algorithmic structure of the proposed goal-oriented reasoning model, as well as a brief explanation of each internal module’s contribution to the overall agent’s architecture. Besides, an overview of the parameters processed as input and the expected algorithms\u27 output will be provided, to contextualize the placement of the proposed solution. Finally, an Earth Observation use case will be used as the benchmark to test the performances of the proposed approach against the classical one, highlighting promising conclusions regarding our autonomous agent’s adoption",DigitalCommons@USU,An AI-Based Goal-Oriented Agent for Advanced On-Board Automation,https://core.ac.uk/download/478906302.pdf,,,core
483548310,2021-01-01T00:00:00,"The ability to mentally evaluate variations of the future may well be the key to intelligence. Combined with the ability to reason, it makes humans excellent at handling new and complex situations. If we want robots to solve varying tasks autonomously, we need to endow them with such kind of ‘mental rehearsal’. Physics simulations allow predicting how the environment will change depending on a sequence of actions. For example, robots can simulate multiple control policies in different simulations instances, collect the results, and subsequently reason about which policy to execute in the real world. As such physics simulations are highly customizable, they enable generating vast amounts of diverse data at a relatively low cost. Therefore, they make it possible to apply deep learning methods for physical systems despite the exorbitant demand for data. Since state-of-the-art deep learning methods come with few guarantees, it is essential to test them in many simulated scenarios before deployment on the real system.
Over the last decade, the speed and modeling power of general-purpose physics engines increased significantly. State-of-the-art simulators feature rigid body, soft body, and fluid dynamics, as well as massive GPU-based parallelization. Despite the impressive progress, simulations will always remain an idealized model of the real world, thus are inevitably flawed. Typical error sources are unmodeled physical phenomena, or suboptimal parameter values of the underlying generative model. These discrepancies between the real and the simulated world are summarized by the term ‘reality gap’. This gap can manifest in various ways when learning from simulations. In the best case, it is only a performance drop, e.g., a lower success rate, or a reduced tracking accuracy. More likely, the learned policy is not transferable to the robot because of unknown friction effects, which lead to underestimating the friction in simulation. Thus, the commanded actions are in this case not strong enough to get the robot moving. Another reason for failure are small parameter estimation errors, which can quickly lead to unstable system dynamics. This case is particularly dangerous for humans and robots. For these reasons, bridging the reality gap is the essential step to endow robots with the ability to learn from simulated experience.
In this thesis, we will tackle the challenge of learning robot control policies from simulations such that the results can be (directly) transferred to the real world. We focus on scenarios where the source domain is a randomized simulator and the target domain is either a different simulation instance (sim-to-sim) or the physical robot (sim-to-real).
We strive to answer the following research questions:
1. How can we quantitatively estimate the transferability of a control policy from one domain to another?
2. Does randomizing the simulator during learning make the resulting policy more robust against modeling imperfections?
3. How do we adapt the randomized simulator based on real-world evaluations?
4. Can we infer the source domain parameter distribution from data and subsequently use it for learning?
5. What are the necessary assumptions and technical requirements to learn robot
control policies from randomized simulations?
Despite the recent popularity of sim-to-real methods, the first question has been unanswered up to this point in time. As a consequence, state-of-the-art algorithms can not make a quantitative statement about the transferability of the resulting control policies. Moreover, they stop training according to some heuristic like a fixed number of iterations, which can lead to a waste of computation time. In Chapter 3, we derive the simulation optimization bias as a measure of the reality gap, and show that policies learned from a source domain are optimistically biased in terms of their performance in the target domain, even if they originate from the same distribution. To mitigate this problem, we propose a policy search algorithm that estimates simulation optimization bias and continues training until an estimated upper confidence bound on this bias is below a given threshold. Thus, the resulting policy satisfies a probabilistic guarantee on the performance loss when transferring the policy to a different environment from the same source domain distribution. Moreover, our sim-to-real evaluations answer the second question with a clear “yes”.
Straightforwardly learning from randomized source domains shows the tendency to be slower and have lower performance at the nominal model than methods that close the sim-to-real loop by adapting the domain parameter distribution. Therefore, we tackle the third question in Chapter 4 by introducing a policy search algorithm which incorporates Bayesian optimization to adapt the domain parameter distribution based on real-world data. The sample-efficiency of Bayesian optimization allows updating the distribution’s parameters, including the uncertainty, while only requiring few evaluations on the physical device. Most notably, the data yielded from these evaluations can be very scarce, e.g., a scalar return value per trial. This way, the connection between distribution over simulator parameters and the target domain performance is captured by a probabilistic model. At the same time, we can eliminate the common assumption of knowing the distribution’s mean and variance a priori.
So far, existing domain randomization approaches assume that each domain parameter is independent and obeys a known probability distribution type, typically chosen to be a normal or uniform distribution. These and other assumptions impose unnecessary restrictions on the posterior distribution over simulators, and prevent us from utilizing the full power of domain randomization. In order to overcome this limitation, we propose to combine reinforcement learning with state-of-the-art likelihood-free inference methods, powered by flexible neural density estimators, to learn the posterior over domain parameters. The proposed method only requires a parametric generative model, e.g., a physics simulator, coarse prior ranges, and a small set of real-world trajectories. Together with a policy optimization algorithm, this approach iteratively updates the posterior over simulators and learns how to solve a given task. Most importantly, the generative model does not need to be differentiable, and the neural posterior can capture dependencies between domain parameters. By drastically reducing the quality and quantity of assumptions while still successfully learning transferable control policies, this procedure answers the fourth and the fifth question in Chapter 5. The methods presented in this thesis will greatly benefit from the continuous increase in computational power, allowing the randomization schemes to perform more exhaustive searches through the domain parameter space. In consequence, the required computation time as well as the variance will be reduced, alleviating the two biggest drawbacks of the domain randomization approaches. Meanwhile, financially strong actors like the video gaming industry are heavily pushing the development of physics simulators. Thus, current niche applications like simulations of muscles or interactions between fluid and solid particles are going to be consumer standard in the near future. The facilitated access to high-fidelity simulators will open the door to a whole new range of tasks which can be solved with methods presented in this thesis. One example could be to train control policies for active robotic prostheses in simulation such that to support human motion. In a subsequent step, these controllers could be customized based on user-specific data. The foreseeable establishment of (differentiable) probabilistic simulation engines will
provide access to the simulator’s likelihood function, hence boost the applicability of Bayesian inference. As a consequence, the popularity of research on highly data-efficient simulation-based inference methods will increase, leading to new algorithms that can perform complex inference in real time. These approaches have the potential to become the next mega trend in robotics research after the era deep learning",,Randomizing Physics Simulations for Robot Learning,,10.26083/tuprints-00019940,,core
291773415,10000-01-01,"200 p.Thesis (Ph.D.)--University of Illinois at Urbana-Champaign, 1997.In the past, AI systems have strived to automate problem-solving processes completely. However, in recent years researchers have come to realize that it is not always possible or desirable to aim for total automation. Researchers are realizing the importance of human-computer collaborative systems in which the human and the computer work as a team in solving problems. This approach raises the question of how to design systems that support effective collaborative problem-solving between humans and computers. The primary contribution of this thesis is an architecture for coordination of collaborative problem-solving (CO-SOLVE) for an important class of human-computer collaborative systems called associate systems. Associate systems are knowledge-based systems which share the cognitive workload with their human partners. Designers of associate systems must deal with the complexities of integrating mixed-initiative (i.e. human and computer) control with the general issues of problem-solving control faced by traditional AI systems. CO-SOLVE provides mechanisms for attention synchronization and collaborative alternatives exploration. The Attention Synchronization Model (ASM) allows the system to track (rather than direct) the user's activities in order to provide advice relevant to the current user activities. The Collaborative Alternatives Exploration Model (CAEM) is a mixed-initiative approach to exploring large, complex solution spaces. In this collaborative framework the user serves as solution evaluator and system controller and the computer as solution alternative generator. System developers using CAEM explicitly lay out steps in the problem-solving process for a given task and define points of human-computer interaction within the sequence of process steps. The other contribution of this thesis is a proof-of-concept prototype of CO-SOLVE, called SEDAR, which is implemented for a real-world, complex domain (flat and low-slope roof design). Two evaluations were conducted on SEDAR. The first assessed the effectiveness and usability of the ASM and its critiquing strategies as implemented in SEDAR. The evaluation showed that SEDAR reduced the error rate of experienced architects and also which advising strategies they preferred. The second evaluation assessed the effectiveness of the CAEM as implemented in SEDAR and showed that SEDAR (1) helped experienced architects reduce the amount of time spent developing solutions, and (2) increased the number of alternatives searched in the solution space.U of I OnlyRestricted to the U of I community idenfinitely during batch ingest of legacy ETD",,An Architecture for Collaborative Problem-Solving Control in Associate Systems,,,,core
395037775,2021-04-08T00:00:00,"With electric power systems becoming more compact and increasingly powerful,
the relevance of thermal stress especially during overload operation is
expected to increase ceaselessly. Whenever critical temperatures cannot be
measured economically on a sensor base, a thermal model lends itself to
estimate those unknown quantities. Thermal models for electric power systems
are usually required to be both, real-time capable and of high estimation
accuracy. Moreover, ease of implementation and time to production play an
increasingly important role. In this work, the thermal neural network (TNN) is
introduced, which unifies both, consolidated knowledge in the form of
heat-transfer-based lumped-parameter models, and data-driven nonlinear function
approximation with supervised machine learning. A quasi-linear
parameter-varying system is identified solely from empirical data, where
relationships between scheduling variables and system matrices are inferred
statistically and automatically. At the same time, a TNN has physically
interpretable states through its state-space representation, is end-to-end
trainable -- similar to deep learning models -- with automatic differentiation,
and requires no material, geometry, nor expert knowledge for its design.
Experiments on an electric motor data set show that a TNN achieves higher
temperature estimation accuracies than previous white-/grey- or black-box
models with a mean squared error of $3.18~\text{K}^2$ and a worst-case error of
$5.84~\text{K}$ at 64 model parameters.Comment: Preprint; Fix typos, streamline math. notation; 10 page",,"Thermal Neural Networks: Lumped-Parameter Thermal Modeling With
  State-Space Machine Learning",http://arxiv.org/abs/2103.16323,,,core
395174551,2021-02-25T13:22:07,"We address the detection, tracking, and relative localization of the agents of a drone swarm from a human perspective using a headset equipped with a single camera and an Inertial Measurement Unit (IMU). We train and deploy a deep neural network detector on image data to detect the drones. A joint probabilistic data association filter resolves the detection problems and couples this information with the headset IMU data to track the agents. In order to estimate the drones’ relative poses in 3D space with respect to the human, we use an additional deep neural network that processes image regions of the drones provided by the tracker. Finally, to speed up the deep neural networks’ training, we introduce an automated labeling process relying on a motion capture system. Several experimental results validate the effectiveness of the proposed approach. The approach is real-time, does not rely on any communication between the human and the drones, and can scale to a large number of agents, often called swarms. It can be used to spatially task a swarm of drones and also employed without a headset for formation control and coordination of terrestrial vehicles",'Institute of Electrical and Electronics Engineers (IEEE)',Tracking and Relative Localization of Drone Swarms With a Vision-Based Headset,,10.1109/LRA.2021.3051565,,core
337299269,2021-01-06T00:00:00,"Domains where supervised models are deployed often come with task-specific
constraints, such as prior expert knowledge on the ground-truth function, or
desiderata like safety and fairness. We introduce a novel probabilistic
framework for reasoning with such constraints and formulate a prior that
enables us to effectively incorporate them into Bayesian neural networks
(BNNs), including a variant that can be amortized over tasks. The resulting
Output-Constrained BNN (OC-BNN) is fully consistent with the Bayesian framework
for uncertainty quantification and is amenable to black-box inference. Unlike
typical BNN inference in uninterpretable parameter space, OC-BNNs widen the
range of functional knowledge that can be incorporated, especially for model
users without expertise in machine learning. We demonstrate the efficacy of
OC-BNNs on real-world datasets, spanning multiple domains such as healthcare,
criminal justice, and credit scoring.Comment: 11 pages, with six supplementary pages. 34th Conference on Neural
  Information Processing Systems (NeurIPS 2020), Vancouver, Canada. Code
  available at: https://github.com/dtak/ocbnn-public. Updated version (final,
  official submission to NeurIPS in January 2021) includes post-conference
  revisions: improved results in Section 6.2, and corrected minor errata in
  Appendix ",,"Incorporating Interpretable Output Constraints in Bayesian Neural
  Networks",http://arxiv.org/abs/2010.10969,,,core
337301296,2021-04-20T00:00:00,"We explore the potential of feed-forward deep neural networks (DNNs) for
emulating cloud superparameterization in realistic geography, using offline
fits to data from the Super Parameterized Community Atmospheric Model. To
identify the network architecture of greatest skill, we formally optimize
hyperparameters using ~250 trials. Our DNN explains over 70 percent of the
temporal variance at the 15-minute sampling scale throughout the mid-to-upper
troposphere. Autocorrelation timescale analysis compared against DNN skill
suggests the less good fit in the tropical, marine boundary layer is driven by
neural network difficulty emulating fast, stochastic signals in convection.
However, spectral analysis in the temporal domain indicates skillful emulation
of signals on diurnal to synoptic scales. A close look at the diurnal cycle
reveals correct emulation of land-sea contrasts and vertical structure in the
heating and moistening fields, but some distortion of precipitation.
Sensitivity tests targeting precipitation skill reveal complementary effects of
adding positive constraints vs. hyperparameter tuning, motivating the use of
both in the future. A first attempt to force an offline land model with DNN
emulated atmospheric fields produces reassuring results further supporting
neural network emulation viability in real-geography settings. Overall, the fit
skill is competitive with recent attempts by sophisticated Residual and
Convolutional Neural Network architectures trained on added information,
including memory of past states. Our results confirm the parameterizability of
superparameterized convection with continents through machine learning and we
highlight advantages of casting this problem locally in space and time for
accurate emulation and hopefully quick implementation of hybrid climate models.Comment: 32 Pages, 13 Figures, Revised Version Submitted to Journal of
  Advances in Modeling Earth Systems April 202",'American Geophysical Union (AGU)',"Assessing the Potential of Deep Learning for Emulating Cloud
  Superparameterization in Climate Models with Real-Geography Boundary
  Conditions",http://arxiv.org/abs/2010.12996,10.1029/2020MS002385,,core
388192614,2021-01-01T00:00:00,"Hard time constraints in space missions bring in the problem of fast video processing for numerous autonomous tasks. Video processing involves the separation of distinct image frames, fetching image descriptors, applying different machine learning algorithms for object detection, obstacle avoidance, and many more tasks involved in the automatic maneuvering of a spacecraft. These tasks require the most informative descriptions of an image within the time constraints. Tracking these informative points from consecutive image frames is needed in flow estimation applications. Classical algorithms like SIFT and SURF are the milestones in the feature description development. But computational complexity and high time requirements force the critical missions to avoid these techniques to get adopted in real-time processing. Hence a time conservative and less complex pre-trained Convolutional Neural Network (CNN) model is chosen in this paper as a feature descriptor. 7-layer CNN model is designed and implemented with pre-trained VGG model parameters and then these CNN features are used to match the points of interests from consecutive image frames of a lunar descent video. The performance of the system is evaluated based on visual and empirical keypoints matching. The scores of matches between two consecutive images from the video using CNN features are then compared with state-of-the-art algorithms like SIFT and SURF. The results show that CNN features are more reliable and robust in case of time-critical video processing tasks for keypoint tracking applications of space missions",'University North',Tracking Keypoints from Consecutive Video Frames Using CNN Features for Space Applications,https://core.ac.uk/download/388192614.pdf,10.31803/tg-20210204161210,,core
459156956,2021-11-01T00:00:00,"Building ventilation accounts for up to 30% of the heat loss in commercial buildings and 25% in industrial buildings. To effectively aid the reduction of energy consumption in the building sector, the development of demand-driven control systems for heating ventilation and air-conditioning (HVAC) is necessary. In countries with temperate climates such as the UK, many buildings depend on natural ventilation strategies such as openable windows, which are useful for reducing overheating prevalence during the summer. The manual opening and adjustment of windows by occupants, particularly during the heating season, can lead to substantial heat loss and consequent energy consumption. This could also result in the unnecessary or over ventilation of the space, or the fresh air is more than what is required to ensure adequate air quality. Furthermore, energy losses build up when windows are left open for extended periods. Hence, it is important to develop control strategies that can detect and recognise the period and amount of window opening in real-time and at the same time adjust the HVAC systems to minimise energy wastage and maintain indoor environment quality and thermal comfort. This paper presents a vision-based deep learning framework for the detection and recognition of manual window operation in buildings. A trained deep learning model is deployed into an artificial intelligence-powered camera. To assess the proposed strategy's capabilities, building energy simulation was used with various operation profiles of the opening of the windows based on various scenarios. Initial experimental tests were conducted within a university lecture room with a south-facing window. Deep learning influenced profile (DLIP) was generated via the framework, which uses real-time window detection and recognition data. The generated DLIP were compared with the actual observations, and the initial detection results showed that the method was capable of identifying windows that were opened and had an average accuracy of 97.29%. The results for the three scenarios showed that the proposed strategy could potentially be used to help adjust the HVAC setpoint or alert the occupants or building managers to prevent unnecessary heating demand. Further developments include enhancing the framework ability to detect multiple window opening types and sizes and the detection accuracy by optimising the model",'Elsevier BV',A deep learning approach towards the detection and recognition of opening of windows for effective management of building ventilation heat losses and reducing space heating demand,,10.1016/j.renene.2021.05.155,,core
