doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/CODESISSS51650.2020.9244038,A Fast Design Space Exploration Framework for the Deep Learning Accelerators: Work-in-Progress,IEEE,Conferences,"The Capsule Networks (CapsNets) is an advanced form of Convolutional Neural Network (CNN), capable of learning spatial relations and being invariant to transformations. CapsNets requires complex matrix operations which current accelerators are not optimized for, concerning both <sub>training</sub> and <sub>inference</sub> passes. Current state-of-the-art simulators and design space exploration (DSE) tools for DNN hardware neglect the modeling of training operations, while requiring long exploration times that slow down the complete design flow. These impediments restrict the real-world applications of CapsNets (e.g., autonomous driving and robotics) as well as the further development of DNNs in life-long learning scenarios that require training on low-power embedded devices. Towards this, we present <sub>XploreDL</sub>, a novel framework to perform fast yet high-fidelity DSE for both inference and training accelerators, supporting both CNNs and CapsNets operations. <sub>XploreDL</sub> enables a resource-efficient DSE for accelerators, focusing on power, area, and latency, highlighting Pareto-optimal solutions which can be a green-lit to expedite the design flow. <sub>XploreDL</sub> can reach the same fidelity as ARM's SCALE-sim, while providing 600x speedup and having a 50x lower memory-footprint. Preliminary results with a deep CapsNet model on MNIST for training accelerators show promising Pareto-optimal architectures with up to 0.4 TOPS/squared-mm and 800 fJ/op efficiency. With inference accelerators for AlexNet the Pareto-optimal solutions reach up to 1.8 TOPS/squared-mm and 200 fJ/op efficiency.",https://ieeexplore.ieee.org/document/9244038/,2020 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),20-25 Sept. 2020,ieeexplore
10.1109/ISAI.2016.0070,A Method to Guarantee Real-Time for Software-Defined Radio in User-Space,IEEE,Conferences,"With the rapid development of computer technology, Software-Defined Radio has become more and more popular. We can now transfer the communication system from hardware to software, which makes it more flexible and helps us virtualize the communication system. In this paper, we creatively introduce a method to guarantee hard real-time in user-space on Linux. Unlike the usual methods, Our method(real time with RDTSC) provides real-time feature by soft ware clock with RDTSC and isolating CPUs instead of interrupts from the hardware. Our method is highly lightweight and give the SDR systems more flexibility when compared to the usual methods with interrupts. The experiment and validation results show that real time with RDTSC has a significantperformance and can be used in physical communication systems.",https://ieeexplore.ieee.org/document/7816723/,2016 International Conference on Information System and Artificial Intelligence (ISAI),24-26 June 2016,ieeexplore
10.23919/ACC.1990.4791047,A Neural Net Approach to Space Vehicle Guidance,IEEE,Conferences,"The on-line implementation of numerical algorithms for solving the optimum trajectory/guidance problem for advanced space vehicles such as ALS, HLLV, AOTV, transatmospheric vehicles and interplanetary spacecraft is not possible due to their complexity. Hence, the current approach to the development of real-time guidance laws for these advanced space vehicles is to use approximation theory to obtain closed-loop guidance laws. Neural networks offer an alternative to the derivation and implementation of guidance laws. In this paper, we formulate the space vehicle guidance problem using a neural network approach and investigate the appropriate neural net architecture for modelling optimum guidance trajectories. In particular, we investigate the incorporation of a priori knowledge about the characteristics of the optimal guidance solution into the neural network architecture. The online classification performance of the developed network is demonstrated using a synthesized network trained with a data base of optimum guidance trajectories. Such a neural network based guidance approach can readily adapt to environment uncertainties such as those encountered by an AOTV during atmospheric maneuvers.",https://ieeexplore.ieee.org/document/4791047/,1990 American Control Conference,23-25 May 1990,ieeexplore
10.1109/i-PACT52855.2021.9696457,A Novel Deep Recurrent Neural Network for Assessment of Role of Space Charge Effect in Partial Discharge Recognition and Diagnosis,IEEE,Conferences,"Partial Discharge (PD) has evolved into an inevitable tool for diagnosis of insulation of power equipment due to its inherent non-intrusive testing methodology. Since accurate recognition of complex overlapped PD sources is essential for effective diagnosis, recently the focus of research has shifted to challenges related to real-time PD measurement that involve complexities in discriminating multi-source pulse signatures, variations in applied voltage, dynamics of PD patterns related to space charge effect etc. Though research studies have successfully utilized a gamut of machine intelligence techniques such as neural networks, Hidden Markov Models, Support Vector Machines etc, effectiveness of recognition of complex overlapped PD sources based on space charge effect associated with PD has not been comprehensively established. This research focuses on implementation of Deep Recurrent Neural Network (DRNN) as a novel strategy for assessing the role of space charge and its associated memory propagation effect in PD signatures. Since Long Short-Term Memory (LSTM) based DRNN architecture augurs well for data involving sequence similarity recognition, the objective of this research is on establishing an indigenous approach of formulating identification markers to ascertain the role of space charge in PD patterns. The second objective is on establishing a unique approach to decipher state transitions of pulses using transition labels that describes the dynamics of PD signatures due to space charge effect. Detailed case studies based on laboratory benchmark models that replicate complex PD patterns clearly demonstrate the excellent capability of DRNN in deciphering the role of space charge in discriminating complex PD patterns.",https://ieeexplore.ieee.org/document/9696457/,2021 Innovations in Power and Advanced Computing Technologies (i-PACT),27-29 Nov. 2021,ieeexplore
10.1109/ICSS.2010.65,A Novel End-User Oriented Service Composition Model Based on Quotient Space Theory,IEEE,Conferences,"Nowadays, the services on the World Wide Web (WWW) are proliferating dramatically. The relationships of invoking among these services are becoming more and more complicated. The performances of traditional automated service composition methods suffer from the complexity of the service composition problem. Hence it is hardly to apply these automated methods in real cases. Semi-automated service composition is an alternative for coping with the complexity of service composition. A novel end-user oriented service composition model based on quotient space theory and service relation diagram is presented. This model proposes a hierarchical service composition from coarse-grain to fine-grain. The performance analysis and simulation showed that this model can reduce the complexity of service composition efficiently.",https://ieeexplore.ieee.org/document/5494284/,2010 International Conference on Service Sciences,13-14 May 2010,ieeexplore
10.1109/ICET52293.2021.9563174,A Physical-Cyber Dual Space Fusion Learning Assistant Method Based on Mixed Reality Implementation,IEEE,Conferences,"The learning assistant method of the Physical-Cyber dual space is an effective method to improve learning interaction and learning effect. In this paper, we proposed a learning assistant method based on mixed reality technology and the fusion of physical space and cyber space, including two classical learning scenes. Firstly, we integrated physical real classroom scene with online three-dimensional resource scene, which effectively expanded the imagination of students. It allows students to learn abstract knowledge of macro or micro scenes more intuitively. Secondly, we explored the online search functions to extend resources related to offline teaching knowledge. Finally, we constructed the instructing scene and application example of the dual space fusion learning companion system using HoloLens. We have come to the necessity, rationality and technical feasibility of the method, and carry out learning activities on the basis of HoloLens, which provides new ideas for promoting the innovation of teaching and learning forms in the future.",https://ieeexplore.ieee.org/document/9563174/,2021 IEEE International Conference on Educational Technology (ICET),18-20 June 2021,ieeexplore
10.1109/ICSLP.1996.607836,A comparison of modified k-means (MKM) and NN based real time adaptive clustering algorithms for articulatory space codebook formation,IEEE,Conferences,"The paper proposes the use of a neural network based real time adaptive clustering algorithm for the formation of a codebook of limited set of acoustical representation of finite set of vocal tract shapes from an articulatory space. A modified k-means algorithm (MKM) used for clustering nearly 10000 vocal tract shapes into 1000 cluster centers to form a codebook of articulatory shapes is computationally intensive for the application. An investigative study on the use of the NN based algorithm over the MKM algorithm at the peripheral level, for an application on computer aided pronunciation education, suggests the former for less intensive computation, with the possibility of improving the performance of the system by implementing the algorithm using a dedicated neural computer. Preliminary results of this study are reported.",https://ieeexplore.ieee.org/document/607836/,Proceeding of Fourth International Conference on Spoken Language Processing. ICSLP '96,3-6 Oct. 1996,ieeexplore
10.1109/ICRA.2012.6225245,A depth space approach to human-robot collision avoidance,IEEE,Conferences,"In this paper a real-time collision avoidance approach is presented for safe human-robot coexistence. The main contribution is a fast method to evaluate distances between the robot and possibly moving obstacles (including humans), based on the concept of depth space. The distances are used to generate repulsive vectors that are used to control the robot while executing a generic motion task. The repulsive vectors can also take advantage of an estimation of the obstacle velocity. In order to preserve the execution of a Cartesian task with a redundant manipulator, a simple collision avoidance algorithm has been implemented where different reaction behaviors are set up for the end-effector and for other control points along the robot structure. The complete collision avoidance framework, from perception of the environment to joint-level robot control, is presented for a 7-dof KUKA Light-Weight-Robot IV using the Microsoft Kinect sensor. Experimental results are reported for dynamic environments with obstacles and a human.",https://ieeexplore.ieee.org/document/6225245/,2012 IEEE International Conference on Robotics and Automation,14-18 May 2012,ieeexplore
10.1109/ICSMC.2008.4811556,A digital circuit design of state-space recurrent neural networks,IEEE,Conferences,"This paper presents a digital circuit design of a state-space recurrent neural network (RNN). The proposed digital circuit design separates the datapath of the state-space RNN into a linear subcircuit and a nonlinear subcircuit. The linear subcircuit is realized by a matrix-vector multiplier while the nonlinear subcircuit by a customized nonlinear function computing unit. The throughput rate of the proposed RNN circuit is 36060.5 times faster than that of the software simulation using MATLAB<sup>reg</sup>. The proposed state-space RNN digital design methodology not only possesses the advantages including high computing speed, small area and portability, but also increases the possibility of using the digital RNN circuit in real-world dynamic problems.",https://ieeexplore.ieee.org/document/4811556/,"2008 IEEE International Conference on Systems, Man and Cybernetics",12-15 Oct. 2008,ieeexplore
10.1109/CISP.2012.6469706,A fast and highly accurate carrier acquisition for deep space applications,IEEE,Conferences,"On-board carrier acquisition in deep space telecommunications depends on the residual carrier, to overcome the detection difficulty of low-level received signal. Nowadays, it becomes reality for the receiver itself acquiring Doppler frequency offset. Frequency acquisition based on fast Fourier transform (FFT) has been applied extensively. In this paper, we introduce an algorithm of refined estimation after FFT frequency coarse estimation, which is theoretically analyzed to be maximum likelihood (ML) estimation. Its accuracy can achieve 10-4 when the signal-to-noise ratio (SNR) is 5dB. By the aid of data, the estimator performs well at low SNR ranges. In the design of carrier acquisition, the accurate estimation of frequency offset aids the phase-locked loop (PLL) into locked state. If the acquisition bandwidth of PLL is fixed, accurate estimation value helps to decrease the FFT size. Due to simple implementation and good performance, the algorithm can be applied in burst communications.",https://ieeexplore.ieee.org/document/6469706/,2012 5th International Congress on Image and Signal Processing,16-18 Oct. 2012,ieeexplore
