id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.egyr.2022.01.224,Journal,Energy Reports,scopus,2022-07-01,sciencedirect,Research on anomaly detection of wireless data acquisition in power system based on spark,https://api.elsevier.com/content/abstract/scopus_id/85125473240,"In the era of big data, the network data of power system is more and more complex. Due to the limitation of data storage and processing capacity, the abnormal data detection of power grid terminal information system has the problems of low accuracy and high false alarm rate. The original machine learning algorithm with good detection effect is limited by the processing capacity and storage space of the traditional platform, and the detection effect and efficiency are significantly reduced. This paper takes improving the detection accuracy of abnormal data as the main research target, and designs an abnormal data behavior analysis program based on the Internet of Things under the Spark framework combined with improved Support Vector Machine (SVM) and random forest algorithm. The parallel SA_SVM_RF anomaly data behavior detection model based on Spark is mainly studied and applied to real-time detection. Combined with the respective advantages of Internet of Things technology and machine learning in anomaly data detection, the detection capability and rate of power grid anomaly data detection model are further improved. Experimental tests show that the proposed program is superior to traditional methods in data anomaly detection efficiency and quality, and has certain research significance in the field of power grid security.",space
10.1016/j.future.2022.02.008,Journal,Future Generation Computer Systems,scopus,2022-07-01,sciencedirect,Hatch: Self-distributing systems for data centers,https://api.elsevier.com/content/abstract/scopus_id/85125223395,"Designing and maintaining distributed systems remains highly challenging: there is a high-dimensional design space of potential ways to distribute a system’s sub-components over a large-scale infrastructure; and the deployment environment for a system tends to change in unforeseen ways over time. For engineers, this is a complex prediction problem to gauge which distributed design may best suit a given environment. We present the concept of self-distributing systems, in which any local system built using our framework can learn, at runtime, the most appropriate distributed design given its perceived operating conditions. Our concept abstracts distribution of a system’s sub-components to a list of simple actions in a reward matrix of distributed design alternatives to be used by reinforcement learning algorithms. By doing this, we enable software to experiment, in a live production environment, with different ways in which to distribute its software modules by placing them in different hosts throughout the system’s infrastructure. We implement this concept in a framework we call Hatch, which has three major elements: (i) a transparent and generalized RPC layer that supports seamless relocation of any local component to a remote host during execution; (ii) a set of primitives, including relocation, replication and sharding, from which to create an action/reward matrix of possible distributed designs of a system; and (iii) a decentralized reinforcement learning approach to converge towards more optimal designs in real time. Using an example of a self-distributing web-serving infrastructure, Hatch is able to autonomously select the most suitable distributed design from among 
                        ≈
                     700,000 alternatives in about 5 min.",space
10.1016/j.jbusres.2022.02.039,Journal,Journal of Business Research,scopus,2022-05-01,sciencedirect,Multi-target CNN-LSTM regressor for predicting urban distribution of short-term food delivery demand,https://api.elsevier.com/content/abstract/scopus_id/85124904640,"The food delivery market has increased rapidly in the last few years, becoming a well-established reality in the business world and a common feature of urban life. Food delivery platforms provide the end-to-end services that connect restaurants with consumers, including the delivery service to those people ordering food through an online portal. A key component of these platforms is logistics, specifically the logistics of drivers. Ideally, the number of drivers operating in an urban area should be just the right number to serve the demand in that area. Since the demand is extremely dynamic in space and time, the spatial–temporal distribution of drivers remains a challenging problem, partially solved by means of variable incentives in different city areas at different times. In this context, a precise demand prediction would avoid a local lack of drivers in some areas, and an inefficient concentration of drivers in some other areas. For this reason, we propose a deep neural network-based methodology to forecast short-term food delivery demand distribution over urban areas. The study, carried out on a real-world dataset from a food delivery company, focuses on hourly demands and frequent prediction updates. The sequential modeling approach, designed to catch rapid changes and sudden variations beyond the general demand trend, is based on a multi-target CNN-LSTM regressor trained on location-specific time series. The methodology uses a single model for all service areas simultaneously, and a single one-step volume inference for every area at each time update. The results disclose a better performance over baselines (historical estimates for the same time-area) and more traditional statistical approaches (moving averages and univariate time-series forecasting), demonstrating a promising implementation potential within an online delivery platform framework.",space
10.1016/j.jss.2022.111231,Journal,Journal of Systems and Software,scopus,2022-05-01,sciencedirect,Discovering boundary values of feature-based machine learning classifiers through exploratory datamorphic testing,https://api.elsevier.com/content/abstract/scopus_id/85124473834,"Testing has been widely recognised as difficult for AI applications. This paper proposes a set of testing strategies for testing machine learning applications in the framework of the datamorphism testing methodology. In these strategies, testing aims at exploring the data space of a classification or clustering application to discover the boundaries between classes that the machine learning application defines. This enables the tester to understand precisely the behaviour and function of the software under test. In the paper, three variants of exploratory strategies are presented with the algorithms implemented in the automated datamorphic testing tool Morphy. The correctness of these algorithms are formally proved. Their capability and cost of discovering borders between classes are evaluated via a set of controlled experiments with manually designed subjects and a set of case studies with real machine learning models.",space
10.1016/j.ijheatmasstransfer.2021.122444,Journal,International Journal of Heat and Mass Transfer,scopus,2022-05-01,sciencedirect,A versatile inversion approach for space/temperature/time-related thermal conductivity via deep learning,https://api.elsevier.com/content/abstract/scopus_id/85122239809,"Identifying the thermophysical properties of unknown material through the measurement of temperature is of great significance in computational heat transfer. Existing numerical algorithms are generally computationally cumbersome and resource demanding. Rapid advances in deep learning (DL) offer an alternative pathway to speed up the inversion process by fully utilizing the parallel computing ability of Graphics Processing Units (GPUs). In this paper, a DL framework is proposed to reconstruct the thermal conductivity related to space, temperature or time. The whole framework consists of a forward data generation module, a denoising module and an inversion module. It is noteworthy that the physics informed neural network (PINN) is employed in the process of generating training data, which avoids the use of commercial software based on traditional methods. In order to simulate the measurement error in practical scenarios, a certain intensity of Gaussian noise is added to the generated data. After denoising by the U-net, the measured temperature is fed to the nonlinear mapping module (NMM) for the inversion of the unknown thermal conductivity. As a result, a well-trained framework can realize high precision real-time inversion even with intensive environmental noise, offering great potential for applications pertaining to the reconstruction of thermophysical properties.",space
10.1016/j.eswa.2021.116323,Journal,Expert Systems with Applications,scopus,2022-04-15,sciencedirect,Deep multi-agent reinforcement learning for multi-level preventive maintenance in manufacturing systems[Formula presented],https://api.elsevier.com/content/abstract/scopus_id/85121584320,"Designing preventive maintenance (PM) policies that ensure smooth and efficient production for large-scale manufacturing systems is non-trivial. Recent model-free reinforcement learning (RL) methods shed lights on how to cope with the non-linearity and stochasticity in such complex systems. However, the action space explosion impedes RL-based PM policies to be generalized to real applications. In order to obtain cost efficient PM policies for a serial production line that has multiple levels of PM actions, a novel multi-agent modeling is adopted to support adaptive learning by modeling each machine as cooperative agent. The evaluation of system-level production loss is leveraged to construct the reward function. An adaptive learning framework based on value-decomposition multi-agent actor–critic algorithm is utilized to obtain PM policies. In simulation study, the proposed framework demonstrates its effectiveness by leading other baselines on a comprehensive set of metrics whereas the centralized RL-based methods struggles to converge to stable policies. Our analysis further demonstrates that our multi-agent reinforcement learning based method learns effective PM policies without any knowledge about the environment and maintenance strategies.",space
10.1016/j.jobe.2021.103778,Journal,Journal of Building Engineering,scopus,2022-04-15,sciencedirect,A coupled deep learning-based internal heat gains detection and prediction method for energy-efficient office building operation,https://api.elsevier.com/content/abstract/scopus_id/85121269022,"Occupants' behaviour and the use of electrical equipment can significantly impact the building energy demand. Accurate occupancy and equipment usage information are key to improving the performance of demand-driven control, which can automatically adjust the heating, cooling and ventilation system operation. Employing static schedules is commonly used for the operation of heating, ventilation and air-conditioning systems, while it cannot satisfy the actual requirements due to the dynamic variations within the conditioned spaces. This study introduces a coupled real-time occupancy and equipment usage detection and recognition approach using deep learning and computer vision techniques for efficient building energy controls. The experimental results presented an overall equipment detection and occupancy activity detection accuracy of 78.39% and 93.60%. To investigate the influence of the implementation of the approach on building energy demand, a case study office building was selected to conduct experimental tests and modeled using a building energy simulation tool. Four scenarios with different occupancy and equipment profiles were defined and evaluated. The simulation results showed that heat gains, when employing static profiles were larger than the heat gains predicted when using the deep learning influenced profiles. Up to 53.95% lower heat gains were estimated when using both occupancy and equipment detection approaches than static schedules solely. The results highlighted the importance of monitoring real-time occupancy and electrical equipment usage and the advantages of using deep learning detection techniques to provide data for demand-driven controls, optimising building energy efficiency while maintaining a comfortable indoor environment.",space
10.1016/j.conengprac.2021.105046,Journal,Control Engineering Practice,scopus,2022-04-01,sciencedirect,Deep reinforcement learning with shallow controllers: An experimental application to PID tuning,https://api.elsevier.com/content/abstract/scopus_id/85122624409,"Deep reinforcement learning (RL) is an optimization-driven framework for producing control strategies for general dynamical systems without explicit reliance on process models. Good results have been reported in simulation. Here we demonstrate the challenges in implementing a state of the art deep RL algorithm on a real physical system. Aspects include the interplay between software and existing hardware; experiment design and sample efficiency; training subject to input constraints; and interpretability of the algorithm and control law. At the core of our approach is the use of a PID controller as the trainable RL policy. In addition to its simplicity, this approach has several appealing features: No additional hardware needs to be added to the control system, since a PID controller can easily be implemented through a standard programmable logic controller; the control law can easily be initialized in a “safe” region of the parameter space; and the final product—a well-tuned PID controller—has a form that practitioners can reason about and deploy with confidence.",space
10.1016/j.buildenv.2022.108786,Journal,Building and Environment,scopus,2022-03-15,sciencedirect,Decision Support System for technology selection based on multi-criteria ranking: Application to NZEB refurbishment,https://api.elsevier.com/content/abstract/scopus_id/85123838318,"Refurbishing existing building into Near Zero Energy Building (NZEB) is a key objective for the European Union. In order to achieve high rate of conversion, new refurbishment process must allow Decision Makers (DMs) (architects or designers) to sort through an ever increasing list of new technologies while taking into account uncertain preferences from multiple stakeholders.
                  A Decision Support System (DSS) based on Multi-Criteria Decision-Making (MCDM) approaches is proposed. The DSS enables the DMs to browse the solutions space by selecting the relevant criteria, order them by preferences and specify the granularity in the assessment of the technologies regarding each criteria.
                  This DSS is based on a ranking algorithm that operates on multiple types of quantitative (continuous, discrete, or binary) and qualitative (nominative or ordinal) variables from technological and human sources. An online user interface allows the real-time exploration of the solution space. A sensitivity analysis of the algorithm is conducted to expose the influence of the ranking algorithm parameters and to demonstrate the robustness of this algorithm. The proposed DSS is eventually implemented and validated through a use case concerning the choice of insulating materials considering heterogeneous criteria that model sustainable constraints.",space
10.1016/j.jbi.2022.103996,Journal,Journal of Biomedical Informatics,scopus,2022-03-01,sciencedirect,Evaluating pointwise reliability of machine learning prediction,https://api.elsevier.com/content/abstract/scopus_id/85123373748,"Interest in Machine Learning applications to tackle clinical and biological problems is increasing. This is driven by promising results reported in many research papers, the increasing number of AI-based software products, and by the general interest in Artificial Intelligence to solve complex problems. It is therefore of importance to improve the quality of machine learning output and add safeguards to support their adoption. In addition to regulatory and logistical strategies, a crucial aspect is to detect when a Machine Learning model is not able to generalize to new unseen instances, which may originate from a population distant to that of the training population or from an under-represented subpopulation. As a result, the prediction of the machine learning model for these instances may be often wrong, given that the model is applied outside its “reliable” space of work, leading to a decreasing trust of the final users, such as clinicians. For this reason, when a model is deployed in practice, it would be important to advise users when the model’s predictions may be unreliable, especially in high-stakes applications, including those in healthcare. Yet, reliability assessment of each machine learning prediction is still poorly addressed.
                  Here, we review approaches that can support the identification of unreliable predictions, we harmonize the notation and terminology of relevant concepts, and we highlight and extend possible interrelationships and overlap among concepts. We then demonstrate, on simulated and real data for ICU in-hospital death prediction, a possible integrative framework for the identification of reliable and unreliable predictions. To do so, our proposed approach implements two complementary principles, namely the density principle and the local fit principle. The density principle verifies that the instance we want to evaluate is similar to the training set. The local fit principle verifies that the trained model performs well on training subsets that are more similar to the instance under evaluation. Our work can contribute to consolidating work in machine learning especially in medicine.",space
