@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,prism:issueIdentifier,article-number,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125473240', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125473240?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125473240&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125473240&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352484722002244'}",https://api.elsevier.com/content/abstract/scopus_id/85125473240,SCOPUS_ID:85125473240,2-s2.0-85125473240,Research on anomaly detection of wireless data acquisition in power system based on spark,Pei C.,Energy Reports,23524847,8,1392-1404,2022-07-01,July 2022,10.1016/j.egyr.2022.01.224,S2352484722002244,0,"[{'@_fa': 'true', 'affilname': 'Hebei Normal University of Science and Technology', 'affiliation-city': 'Hebei', 'affiliation-country': 'China'}]",Journal,ar,Article,21100389511,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125223395', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125223395?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125223395&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125223395&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167739X22000516'}",https://api.elsevier.com/content/abstract/scopus_id/85125223395,SCOPUS_ID:85125223395,2-s2.0-85125223395,Hatch: Self-distributing systems for data centers,Rodrigues-Filho R.,Future Generation Computer Systems,,132,80-92,2022-07-01,July 2022,10.1016/j.future.2022.02.008,S0167739X22000516,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Goiás', 'affiliation-city': 'Goiania', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,12264,0,False,,,0167739X,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116896554', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116896554?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116896554&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116896554&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85116896554,SCOPUS_ID:85116896554,2-s2.0-85116896554,Topology-Aware Neural Model for Highly Accurate QoS Prediction,Li J.,IEEE Transactions on Parallel and Distributed Systems,15582183,33,1538-1552,2022-07-01,1 July 2022,10.1109/TPDS.2021.3116865,,2,"[{'@_fa': 'true', 'affilname': 'Yunnan University', 'affiliation-city': 'Kunming', 'affiliation-country': 'China'}]",Journal,ar,Article,26098,0,False,,,10459219,7,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124904640', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124904640?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124904640&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124904640&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S014829632200159X'}",https://api.elsevier.com/content/abstract/scopus_id/85124904640,SCOPUS_ID:85124904640,2-s2.0-85124904640,Multi-target CNN-LSTM regressor for predicting urban distribution of short-term food delivery demand,Crivellari A.,Journal of Business Research,,144,844-853,2022-05-01,May 2022,10.1016/j.jbusres.2022.02.039,S014829632200159X,0,"[{'@_fa': 'true', 'affilname': 'Southern University of Science and Technology', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Universitat Salzburg', 'affiliation-city': 'Salzburg', 'affiliation-country': 'Austria'}]",Journal,ar,Article,20550,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",01482963,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124473834', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124473834?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124473834&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124473834&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0164121222000097'}",https://api.elsevier.com/content/abstract/scopus_id/85124473834,SCOPUS_ID:85124473834,2-s2.0-85124473834,Discovering boundary values of feature-based machine learning classifiers through exploratory datamorphic testing,Zhu H.,Journal of Systems and Software,,187,,2022-05-01,May 2022,10.1016/j.jss.2022.111231,S0164121222000097,0,"[{'@_fa': 'true', 'affilname': 'Oxford Brookes University', 'affiliation-city': 'Oxford', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,19309,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",01641212,,111231,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122239809', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122239809?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122239809&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122239809&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0017931021015428'}",https://api.elsevier.com/content/abstract/scopus_id/85122239809,SCOPUS_ID:85122239809,2-s2.0-85122239809,A versatile inversion approach for space/temperature/time-related thermal conductivity via deep learning,Wang Y.,International Journal of Heat and Mass Transfer,,186,,2022-05-01,1 May 2022,10.1016/j.ijheatmasstransfer.2021.122444,S0017931021015428,0,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,20448,0,False,,,00179310,,122444,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114733248', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114733248?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114733248&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114733248&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114733248,SCOPUS_ID:85114733248,2-s2.0-85114733248,Privacy-Preserving Efficient Fire Detection System for Indoor Surveillance,Jain A.,IEEE Transactions on Industrial Informatics,19410050,18,3043-3054,2022-05-01,1 May 2022,10.1109/TII.2021.3110576,,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Indore', 'affiliation-city': 'Indore', 'affiliation-country': 'India'}]",Journal,ar,Article,144912,0,False,,,15513203,5,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121584320', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121584320?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121584320&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121584320&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0957417421016249'}",https://api.elsevier.com/content/abstract/scopus_id/85121584320,SCOPUS_ID:85121584320,2-s2.0-85121584320,Deep multi-agent reinforcement learning for multi-level preventive maintenance in manufacturing systems[Formula presented],Su J.,Expert Systems with Applications,,192,,2022-04-15,15 April 2022,10.1016/j.eswa.2021.116323,S0957417421016249,0,"[{'@_fa': 'true', 'affilname': 'University of Virginia', 'affiliation-city': 'Charlottesville', 'affiliation-country': 'United States'}]",Journal,ar,Article,24201,0,False,,,09574174,,116323,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121269022', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121269022?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121269022&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121269022&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352710221016363'}",https://api.elsevier.com/content/abstract/scopus_id/85121269022,SCOPUS_ID:85121269022,2-s2.0-85121269022,A coupled deep learning-based internal heat gains detection and prediction method for energy-efficient office building operation,Wei S.,Journal of Building Engineering,23527102,47,,2022-04-15,15 April 2022,10.1016/j.jobe.2021.103778,S2352710221016363,1,"[{'@_fa': 'true', 'affilname': 'University of Nottingham', 'affiliation-city': 'Nottingham', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,21100389518,0,False,,,,,103778,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85125728458', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85125728458?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125728458&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125728458&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85125728458,SCOPUS_ID:85125728458,2-s2.0-85125728458,Scalability analysis of machine learning QoT estimators for a cloud-native SDN controller on a WDM over SDM network,Manso C.,Journal of Optical Communications and Networking,19430639,14,257-266,2022-04-01,1 April 2022,10.1364/JOCN.449009,,0,"[{'@_fa': 'true', 'affilname': 'Centre Tecnológic de Telecomunicacions de Catalunya', 'affiliation-city': 'Castelldefels', 'affiliation-country': 'Spain'}]",Journal,ar,Article,17900156735,0,False,,,19430620,4,,,
