contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s00521-021-06056-w,Neural network-based robust finite-time attitude stabilization for rigid spacecraft under angular velocity constraint,Neural Computing and Applications,10.1007/s00521-021-06056-w,Springer,2022-04-01,2021-05-08,"In this paper, the problem of attitude stabilization control of spacecraft under angular velocity constraint is investigated. A state-constrained finite-time attitude control scheme is designed by making full use of the model feature of the quaternion. Based on the homogeneous domination approach, the finite-time stability of the closed-loop system is proved. It proves that the angular velocity can be constrained within the limited range at any time. For the attitude loop dynamics subsystem with external disturbances, based on a radial basis function neural network, an integral terminal sliding mode controller is proposed. Finally, the validity and advantages of the proposed control scheme are demonstrated in the simulation section compared with the other two control methods.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-06056-w,springer
Article,doi:10.1007/s00146-022-01423-0,Against the new space race: global AI competition and cooperation for people,AI & SOCIETY,10.1007/s00146-022-01423-0,Springer,2022-03-13,2022-03-13,"This Open Forum contribution critically interrogates the use of space race rhetoric in current discussions about artificial intelligence (AI). According to this rhetoric, similar to the space race of the twentieth century, AI development is portrayed as a rivalry among superpowers where one country will win and reap major benefits, while others will be left behind. Using this rhetoric to frame AI development tends to prioritize narrow and short-term economic interests over broader and longer-term societal needs. Three particularly problematic aspects of using space race narrative in AI discussions are highlighted: first, perceiving technology development globally as a zero-sum game; second, pressuring governments to regulate less; and third, prioritising high technologies over social issues. This contribution invites to challenge underlying political assumptions of the AI space race discourse and to open up conversations about alternative futures.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00146-022-01423-0,springer
Article,doi:10.1007/s11277-022-09602-4,Deep Neural Network Routing with Dynamic Space Division for 3D½ UAV FANETs,Wireless Personal Communications,10.1007/s11277-022-09602-4,Springer,2022-03-07,2022-03-07,"With unmanned aerial vehicles (UAVs) being widely used, the rapidly changing network topology and vertical height changes of UAVs have been bottlenecks for many wild applications, such as battlefield communication. These problems lead to the frequent communication interruptions and poor stability of 3D UAV networks. Facing these challenges, we propose deep neural network routing (DNNR) that is characterized by a dynamic 3D two-subspace division (i.e., vertical-axis cylinder and horizontal-plane divisions) and deep neural network (DNN) forwarding. With the trajectories of base station and nodes changing, vertical-axis cylinder and horizontal-plane divisions also change dynamically according to the broadcast information. Different from multi subspace division, this kind of two subspace divisions could reduce the complexity of routing discovery and make full use of the dynamic adaptability of 3D space division against the rapidly changing network topology. Due to the DNN flexibility, DNN forwarding is a promising scheme to improve the probability of recognizing the available links and select the rational next-hop node. We implement four compared protocols and DNNR in NS3 network simulator and test them for various application scenarios, when changing base station speed, node speed, horizontal plane size, and vertical height. Comparing with four protocols, DNNR achieves better performance in terms of packet delivery rate and energy-saving performance. These indicate that 3D space division is a concise and feasible scheme in flight ad hoc networks which may be extended to other fields. Besides, owing to the flexibility and prevalent availability, machine learning routing protocols are becoming a popular technology.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11277-022-09602-4,springer
Article,doi:10.1007/s40304-021-00246-7,A Survey of Deep Learning-Based Mesh Processing,Communications in Mathematics and Statistics,10.1007/s40304-021-00246-7,Springer,2022-03-01,2022-02-14,"In the past ten years, deep learning technology has achieved a great success in many fields, like computer vision and speech recognition. Recently, large-scale geometry data become more and more available, and the learned geometry priors have been successfully applied to 3D computer vision and computer graphics fields. Different from the regular representation of images, surface meshes have irregular structures with different vertex numbers and topologies. Therefore, the traditional convolution neural networks used for images cannot be directly used to handle surface meshes, and thus, many methods have been proposed to solve this problem. In this paper, we provide a comprehensive survey of existing geometric deep learning methods for mesh processing. We first introduce the relevant knowledge and theoretical background of geometric deep learning and some basic mesh data knowledge, including some commonly used mesh datasets. Then, we review various deep learning models for mesh data with two different types: graph-based methods and mesh structure-based methods. We also review the deep learning-based applications for mesh data. In the final, we give some potential research directions in this field.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40304-021-00246-7,springer
Article,doi:10.1007/s42486-021-00076-0,An efficient and low power deep learning framework for image recognition on mobile devices,CCF Transactions on Pervasive Computing and Interaction,10.1007/s42486-021-00076-0,Springer,2022-03-01,2021-09-10,"Image classification on mobile devices can provide convenient and secure services for users when using various social software. The traditional classification method mainly relies on the user’s manual marking, but the accuracy of automatic classification has some defects. With the development of convolutional neural network(CNN), the design of lightweight neural network has become a hot topic. However, the state-of-the-art studies always sacrifice classification accuracy for network lightweight, which greatly frustrates usability. In this paper, a new neural network framework, named MobVi, is proposed to enhance the precision of lightweight neural network by solution space division. MobVi is including image solution space division and judgment class. The former uses clustering method based on deep learning to distinguish which small solution space the image belongs to, while the latter uses lightweight neural network customized for the solution space to judge the class. In order to reduce the amount of model parameters and calculations, we designed a customized CNN module. Finally, we propose an energy prediction model to measure whether the model can be successfully implemented on mobile devices. A series of experiments have proved that MobVi has better performance than most existing models for mobile devices. Our model achieves 83.5% accuracy on CIFAR-10 data set, and the parameter quantity is only 2.0 M.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42486-021-00076-0,springer
Article,doi:10.1007/s40295-022-00309-z,Convolutional Neural Networks for Inference of Space Object Attitude Status,The Journal of the Astronautical Sciences,10.1007/s40295-022-00309-z,Springer,2022-02-28,2022-02-28,"Convolutional neural networks (CNNs) are utilized for the task of inferring the attitude status in terms of rotation rate of resident space objects (RSOs) using simulated light curve measurements. Research into the performance of CNNs on synthetic light curve data-sets has shown significant promise that has not yet translated into success when working with empirically collected light curves. This limitation appears to be due to a number of factors including: mixing of bidirectional reflectance distribution function (BRDF) signatures, the effects of sensor noise, and blurring due to atmospheric turbulence. A synthetic data-set of approximately 7500 light curves was generated that takes into account realistic BRDF signatures and environmental parameters. The RSO used in this study was texture mapped with three unique material BRDF signatures: silicon solar panel, glossy paint, and aluminum. A two-step BRDF model inversion of the Beard-Maxwell model was performed using empirically collected data-sets of these materials in order to physically derive the BRDF model parameters. The CNN was trained on light curves resulting from the RSO performing four different maneuvers: tumbling, accelerating in rotational rate, stabilizing, and inactive (or stable in rotation rate). The CNN achieved an overall classification accuracy of 86.2% across the four maneuver classes. A confusion matrix analysis of the different classes of maneuvers suggested that our model performed best when classifying tumbling and accelerating RSOs (94% accuracy) and worst at classifying inactive RSOs (60% accuracy). This performance limitation when classifying inactive RSOs is attributed to (1) back-scatter signatures and specular glints within the synthetic light curves of inactive satellites being mistaken as attitude maneuvers, and (2) low signal-to-noise ratio due to factors such as atmospheric blurring. These results suggest that CNNs have strong potential for aiding in the problem of classifying satellite attitude status from light curves, but that machine learning research must focus on developing training sets and pre-processing techniques that account for these complications.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40295-022-00309-z,springer
Article,doi:10.1007/s12206-022-0234-3,Adaptive local approximation neural network control based on extraordinariness particle swarm optimization for robotic manipulators,Journal of Mechanical Science and Technology,10.1007/s12206-022-0234-3,Springer,2022-02-28,2022-02-28,"In this paper, an adaptive radial basis function neural network (RBFNN) controller based on extraordinariness particle swarm optimization (EPSO) is proposed. To improve the trajectory tracking performance of robotic manipulators, the uncertainties of the manipulator dynamic equation are locally approximated using three RBFNNs with optimized hyperparameters. Besides, a robust control item is also considered in the controller to resist external disturbances. During hyperparameters optimization, the EPSO optimizer iteratively optimizes the hyperparameters of the RBFNN controller using the composite error of the system output. The stability of the control scheme is analyzed with the Lyapunov stability. Simulation results as well as the experimental verification prove the efficiency and applicability of the control scheme.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12206-022-0234-3,springer
Article,doi:10.1007/s00024-022-02975-4,Application of Focal Plane Directions for Estimating Ground Motion Models with General Regression Neural Networks,Pure and Applied Geophysics,10.1007/s00024-022-02975-4,Springer,2022-02-28,2022-02-28,"The general regression neural network (GRNN) allows testing of various events, wave paths, and site features as ground motion model (GMM) predictors. The GRNN is determined by all previous measurements, while this research aims to find the best conditional probability distribution $$f\left(\mathbf{X}|y\right)$$ f X | y of ground motion predictors given ground motion values. The $$f\left(\mathbf{X}|y\right)$$ f X | y is estimated by a kernel estimator. The GRNN was modified. Instead of the Euclidean distance of all predictors, we look for various metric spaces of predictors that minimize cross-validation error. This approach was used in the search for the GMM whose predictors include values describing focal mechanisms. Nodal plane angles were applied. GMMs containing different predictor configurations were compared. It was noticed that rake and strike nodal plane angles have an impact on the GRNN GMM while the dip angle does not. The databases of ground motions and events containing focal mechanisms, NGA-West2 and from Lubin Głogów Copper District in Poland, were used for the research.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00024-022-02975-4,springer
Article,doi:10.1007/s40194-022-01257-w,Automated defect detection in digital radiography of aerospace welds using deep learning,Welding in the World,10.1007/s40194-022-01257-w,Springer,2022-02-24,2022-02-24,"Aerospace welds are non-destructively evaluated (NDE) during manufacturing to identify defective parts that may pose structural risks, often using digital radiography. The analysis of these digital radiographs is time consuming and costly. Attempts to automate the analysis using conventional computer vision methods or shallow machine learning have not, thus far, provided performance equivalent to human inspectors due to the high reliability requirements and low contrast to noise ratio of the defects. Modern approaches based on deep learning have made considerable progress towards reliable automated analysis. However, limited data sets render current machine learning solutions insufficient for industrial use. Moreover, industrial acceptance would require performance demonstration using standard metrics in non-destructive evaluation, such as probability of detection (POD), which are not commonly used in previous studies. In this study, data augmentation with virtual flaws was used to overcome data scarcity, and compared with conventional data augmentation. A semantic segmentation network was trained to find defects from computed radiography data of aerospace welds. Standard evaluation metrics in non-destructive testing were adopted for the comparison. Finally, the network was deployed as an inspector’s aid in a realistic environment to predict flaws from production radiographs. The network achieved high detection reliability and defect sizing performance, and an acceptable false call rate. Virtual flaw augmentation was found to significantly improve performance, especially for limited data set sizes, and for underrepresented flaw types even at large data sets. The deployed prototype was found to be easy to use indicating readiness for industry adoption.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40194-022-01257-w,springer
Article,doi:10.1007/s10878-022-00849-y,A study of feature representation via neural network feature extraction and weighted distance for clustering,Journal of Combinatorial Optimization,10.1007/s10878-022-00849-y,Springer,2022-02-21,2022-02-21,"Neural Networks are well known for its performance to classify and cluster data sets via multiple layers of networks passing and transforming information pictured by raw data. The feature layer projects the raw data into a space spanned by hidden features. To understand data representations in both original (i.e., image) and feature spaces, the main purpose of this research is to analyze the clustering performance with different feature representations. Naturally, distance measures have a great impact on clustering performance. Different distances and their combinations are tested on both the original and feature spaces. The combined distances were obtained by using different optimal weights that minimize classification errors in different measures via a series of optimization models. These weights were multiplied by their respective distances in order to create the combined distance. Clustering was evaluated using silhouette scores. The feature space in general has better performance, in terms of clustering, than the image space, with Cosine Similarity being the best distance for both the image space and feature space.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10878-022-00849-y,springer
