id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.05403v1,2022-07-12T09:07:25Z,2022-07-12T09:07:25Z,"Design of Dynamics Invariant LSTM for Touch Based Human-UAV Interaction
  Detection","The field of Unmanned Aerial Vehicles (UAVs) has reached a high level of
maturity in the last few years. Hence, bringing such platforms from closed
labs, to day-to-day interactions with humans is important for commercialization
of UAVs. One particular human-UAV scenario of interest for this paper is the
payload handover scheme, where a UAV hands over a payload to a human upon their
request. In this scope, this paper presents a novel real-time human-UAV
interaction detection approach, where Long short-term memory (LSTM) based
neural network is developed to detect state profiles resulting from human
interaction dynamics. A novel data pre-processing technique is presented; this
technique leverages estimated process parameters of training and testing UAVs
to build dynamics invariant testing data. The proposed detection algorithm is
lightweight and thus can be deployed in real-time using off the shelf UAV
platforms; in addition, it depends solely on inertial and position measurements
present on any classical UAV platform. The proposed approach is demonstrated on
a payload handover task between multirotor UAVs and humans. Training and
testing data were collected using real-time experiments. The detection approach
has achieved an accuracy of 96\%, giving no false positives even in the
presence of external wind disturbances, and when deployed and tested on two
different UAVs.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.02162v1,2022-07-05T16:33:20Z,2022-07-05T16:33:20Z,Tackling Real-World Autonomous Driving using Deep Reinforcement Learning,"In the typical autonomous driving stack, planning and control systems
represent two of the most crucial components in which data retrieved by sensors
and processed by perception algorithms are used to implement a safe and
comfortable self-driving behavior. In particular, the planning module predicts
the path the autonomous car should follow taking the correct high-level
maneuver, while control systems perform a sequence of low-level actions,
controlling steering angle, throttle and brake. In this work, we propose a
model-free Deep Reinforcement Learning Planner training a neural network that
predicts both acceleration and steering angle, thus obtaining a single module
able to drive the vehicle using the data processed by localization and
perception algorithms on board of the self-driving car. In particular, the
system that was fully trained in simulation is able to drive smoothly and
safely in obstacle-free environments both in simulation and in a real-world
urban area of the city of Parma, proving that the system features good
generalization capabilities also driving in those parts outside the training
scenarios. Moreover, in order to deploy the system on board of the real
self-driving car and to reduce the gap between simulated and real-world
performances, we also develop a module represented by a tiny neural network
able to reproduce the real vehicle dynamic behavior during the training in
simulation.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.00191v1,2022-07-01T03:42:33Z,2022-07-01T03:42:33Z,"Data generation using simulation technology to improve perception
  mechanism of autonomous vehicles","Recent advancements in computer graphics technology allow more realistic
ren-dering of car driving environments. They have enabled self-driving car
simulators such as DeepGTA-V and CARLA (Car Learning to Act) to generate large
amounts of synthetic data that can complement the existing real-world dataset
in training autonomous car perception. Furthermore, since self-driving car
simulators allow full control of the environment, they can generate dangerous
driving scenarios that the real-world dataset lacks such as bad weather and
accident scenarios. In this paper, we will demonstrate the effectiveness of
combining data gathered from the real world with data generated in the
simulated world to train perception systems on object detection and
localization task. We will also propose a multi-level deep learning perception
framework that aims to emulate a human learning experience in which a series of
tasks from the simple to more difficult ones are learned in a certain domain.
The autonomous car perceptron can learn from easy-to-drive scenarios to more
challenging ones customized by simulation software.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.14195v1,2022-06-28T17:59:45Z,2022-06-28T17:59:45Z,Pedestrian 3D Bounding Box Prediction,"Safety is still the main issue of autonomous driving, and in order to be
globally deployed, they need to predict pedestrians' motions sufficiently in
advance. While there is a lot of research on coarse-grained (human center
prediction) and fine-grained predictions (human body keypoints prediction), we
focus on 3D bounding boxes, which are reasonable estimates of humans without
modeling complex motion details for autonomous vehicles. This gives the
flexibility to predict in longer horizons in real-world settings. We suggest
this new problem and present a simple yet effective model for pedestrians' 3D
bounding box prediction. This method follows an encoder-decoder architecture
based on recurrent neural networks, and our experiments show its effectiveness
in both the synthetic (JTA) and real-world (NuScenes) datasets. The learned
representation has useful information to enhance the performance of other
tasks, such as action anticipation. Our code is available online:
https://github.com/vita-epfl/bounding-box-prediction",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.14608v1,2022-06-28T02:46:20Z,2022-06-28T02:46:20Z,"Traffic Management of Autonomous Vehicles using Policy Based Deep
  Reinforcement Learning and Intelligent Routing","Deep Reinforcement Learning (DRL) uses diverse, unstructured data and makes
RL capable of learning complex policies in high dimensional environments.
Intelligent Transportation System (ITS) based on Autonomous Vehicles (AVs)
offers an excellent playground for policy-based DRL. Deep learning
architectures solve computational challenges of traditional algorithms while
helping in real-world adoption and deployment of AVs. One of the main
challenges in AVs implementation is that it can worsen traffic congestion on
roads if not reliably and efficiently managed. Considering each vehicle's
holistic effect and using efficient and reliable techniques could genuinely
help optimise traffic flow management and congestion reduction. For this
purpose, we proposed a intelligent traffic control system that deals with
complex traffic congestion scenarios at intersections and behind the
intersections. We proposed a DRL-based signal control system that dynamically
adjusts traffic signals according to the current congestion situation on
intersections. To deal with the congestion on roads behind the intersection, we
used re-routing technique to load balance the vehicles on road networks. To
achieve the actual benefits of the proposed approach, we break down the data
silos and use all the data coming from sensors, detectors, vehicles and roads
in combination to achieve sustainable results. We used SUMO micro-simulator for
our simulations. The significance of our proposed approach is manifested from
the results.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.13034v1,2022-06-27T03:55:23Z,2022-06-27T03:55:23Z,Monitoring Shortcut Learning using Mutual Information,"The failure of deep neural networks to generalize to out-of-distribution data
is a well-known problem and raises concerns about the deployment of trained
networks in safety-critical domains such as healthcare, finance and autonomous
vehicles. We study a particular kind of distribution shift $\unicode{x2013}$
shortcuts or spurious correlations in the training data. Shortcut learning is
often only exposed when models are evaluated on real-world data that does not
contain the same spurious correlations, posing a serious dilemma for AI
practitioners to properly assess the effectiveness of a trained model for
real-world applications. In this work, we propose to use the mutual information
(MI) between the learned representation and the input as a metric to find where
in training, the network latches onto shortcuts. Experiments demonstrate that
MI can be used as a domain-agnostic metric for monitoring shortcut learning.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11981v1,2022-06-23T21:13:10Z,2022-06-23T21:13:10Z,"Never trust, always verify : a roadmap for Trustworthy AI?","Artificial Intelligence (AI) is becoming the corner stone of many systems
used in our daily lives such as autonomous vehicles, healthcare systems, and
unmanned aircraft systems. Machine Learning is a field of AI that enables
systems to learn from data and make decisions on new data based on models to
achieve a given goal. The stochastic nature of AI models makes verification and
validation tasks challenging. Moreover, there are intrinsic biaises in AI
models such as reproductibility bias, selection bias (e.g., races, genders,
color), and reporting bias (i.e., results that do not reflect the reality).
Increasingly, there is also a particular attention to the ethical, legal, and
societal impacts of AI. AI systems are difficult to audit and certify because
of their black-box nature. They also appear to be vulnerable to threats; AI
systems can misbehave when untrusted data are given, making them insecure and
unsafe. Governments, national and international organizations have proposed
several principles to overcome these challenges but their applications in
practice are limited and there are different interpretations in the principles
that can bias implementations. In this paper, we examine trust in the context
of AI-based systems to understand what it means for an AI system to be
trustworthy and identify actions that need to be undertaken to ensure that AI
systems are trustworthy. To achieve this goal, we first review existing
approaches proposed for ensuring the trustworthiness of AI systems, in order to
identify potential conceptual gaps in understanding what trustworthy AI is.
Then, we suggest a trust (resp. zero-trust) model for AI and suggest a set of
properties that should be satisfied to ensure the trustworthiness of AI
systems.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.10620v1,2022-06-21T14:10:22Z,2022-06-21T14:10:22Z,CoCoPIE XGen: A Full-Stack AI-Oriented Optimizing Framework,"There is a growing demand for shifting the delivery of AI capability from
data centers on the cloud to edge or end devices, exemplified by the fast
emerging real-time AI-based apps running on smartphones, AR/VR devices,
autonomous vehicles, and various IoT devices. The shift has however been
seriously hampered by the large growing gap between DNN computing demands and
the computing power on edge or end devices. This article presents the design of
XGen, an optimizing framework for DNN designed to bridge the gap. XGen takes
cross-cutting co-design as its first-order consideration. Its full-stack
AI-oriented optimizations consist of a number of innovative optimizations at
every layer of the DNN software stack, all designed in a cooperative manner.
The unique technology makes XGen able to optimize various DNNs, including those
with an extreme depth (e.g., BERT, GPT, other transformers), and generate code
that runs several times faster than those from existing DNN frameworks, while
delivering the same level of accuracy.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.09742v1,2022-06-20T12:43:33Z,2022-06-20T12:43:33Z,"Developing a Free and Open-source Automated Building Exterior Crack
  Inspection Software for Construction and Facility Managers","Inspection of cracks is an important process for properly monitoring and
maintaining a building. However, manual crack inspection is time-consuming,
inconsistent, and dangerous (e.g., in tall buildings). Due to the development
of open-source AI technologies, the increase in available Unmanned Aerial
Vehicles (UAVs) and the availability of smartphone cameras, it has become
possible to automate the building crack inspection process. This study presents
the development of an easy-to-use, free and open-source Automated Building
Exterior Crack Inspection Software (ABECIS) for construction and facility
managers, using state-of-the-art segmentation algorithms to identify concrete
cracks and generate a quantitative and qualitative report. ABECIS was tested
using images collected from a UAV and smartphone cameras in real-world
conditions and a controlled laboratory environment. From the raw output of the
algorithm, the median Intersection over Unions for the test experiments is (1)
0.686 for indoor crack detection experiment in a controlled lab environment
using a commercial drone, (2) 0.186 for indoor crack detection at a
construction site using a smartphone and (3) 0.958 for outdoor crack detection
on university campus using a commercial drone. These IoU results can be
improved significantly to over 0.8 when a human operator selectively removes
the false positives. In general, ABECIS performs best for outdoor drone images,
and combining the algorithm predictions with human verification/intervention
offers very accurate crack detection results. The software is available
publicly and can be downloaded for out-of-the-box use at:
https://github.com/SMART-NYUAD/ABECIS",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.08209v1,2022-06-16T14:26:45Z,2022-06-16T14:26:45Z,"Improved Gaussian-Bernoulli Restricted Boltzmann Machines for UAV-Ground
  Communication Systems","Unmanned aerial vehicle (UAV) is steadily growing as a promising technology
for next-generation communication systems due to their appealing features such
as wide coverage with high altitude, on-demand low-cost deployment, and fast
responses. UAV communications are fundamentally different from the conventional
terrestrial and satellite communications owing to the high mobility and the
unique channel characteristics of air-ground links. However, obtaining
effective channel state information (CSI) is challenging because of the dynamic
propagation environment and variable transmission delay. In this paper, a deep
learning (DL)-based CSI prediction framework is proposed to address channel
aging problem by extracting the most discriminative features from the UAV
wireless signals. Specifically, we develop a procedure of multiple Gaussian
Bernoulli restricted Boltzmann machines (GBRBM) for dimension reduction and
pre-training utilization incorporated with an autoencoder-based deep neural
networks (DNNs). To evaluate the proposed approach, real data measurements from
an UAV communicating with base-stations within a commercial cellular network
are obtained and used for training and validation. Numerical results
demonstrate that the proposed method is accurate in channel acquisition for
various UAV flying scenarios and outperforms the conventional DNNs.",arxiv,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
