@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:isbn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,pii,article-number,prism:issueIdentifier,freetoread,freetoreadLabel,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132993255', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132993255?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132993255&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132993255&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132993255,SCOPUS_ID:85132993255,2-s2.0-85132993255,"Bridge Status Realization and Management Enhanced by UAV, SfM, and Deep Learning",Montes K.M.,Lecture Notes in Civil Engineering,23662557,23662565,"[{'@_fa': 'true', '$': '9783031072574'}]",254 LNCE,536-545,2023-01-01,2023,10.1007/978-3-031-07258-1_55,0,"[{'@_fa': 'true', 'affilname': 'Saitama University', 'affiliation-city': 'Saitama', 'affiliation-country': 'Japan'}]",Book Series,cp,Conference Paper,21100889404,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133281340', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133281340?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133281340&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133281340&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0045790622004086'}",https://api.elsevier.com/content/abstract/scopus_id/85133281340,SCOPUS_ID:85133281340,2-s2.0-85133281340,Intelligent energy and ecosystem for real-time monitoring of glaciers,Kimothi S.,Computers and Electrical Engineering,00457906,,,102,,2022-09-01,September 2022,10.1016/j.compeleceng.2022.108163,0,"[{'@_fa': 'true', 'affilname': 'Uttaranchal University', 'affiliation-city': 'Dehradun', 'affiliation-country': 'India'}]",Journal,ar,Article,18159,0,False,S0045790622004086,108163,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132402181', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132402181?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132402181&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132402181&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132402181,SCOPUS_ID:85132402181,2-s2.0-85132402181,An Efficient Deep Learning Approach Using Improved Generative Adversarial Networks for Incomplete Information Completion of Self-driving Vehicles,Tu J.,Journal of Grid Computing,15707873,15729184,,20,,2022-09-01,September 2022,10.1007/s10723-022-09610-5,0,"[{'@_fa': 'true', 'affilname': 'China University of Geosciences, Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,800147111,0,False,,21,3,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132836946', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132836946?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132836946&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132836946&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132836946,SCOPUS_ID:85132836946,2-s2.0-85132836946,Advance generalization technique through 3D CNN to overcome the false positives pedestrian in autonomous vehicles,Iftikhar S.,Telecommunication Systems,10184864,15729451,,80,545-557,2022-08-01,August 2022,10.1007/s11235-022-00930-1,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",Journal,ar,Article,21916,0,False,,,4,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132238263', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132238263?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132238263&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132238263&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352938522000957'}",https://api.elsevier.com/content/abstract/scopus_id/85132238263,SCOPUS_ID:85132238263,2-s2.0-85132238263,A novel drone-based system for accurate human temperature measurement and disease symptoms detection using thermography and AI,Al Maashri A.,Remote Sensing Applications: Society and Environment,,23529385,,27,,2022-08-01,August 2022,10.1016/j.rsase.2022.100787,0,"[{'@_fa': 'true', 'affilname': 'Sultan Qaboos University', 'affiliation-city': 'Muscat', 'affiliation-country': 'Oman'}]",Journal,ar,Article,21100416071,1,True,S2352938522000957,100787,,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129960792', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129960792?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129960792&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129960792&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0893608022001435'}",https://api.elsevier.com/content/abstract/scopus_id/85129960792,SCOPUS_ID:85129960792,2-s2.0-85129960792,Risk-based implementation of COLREGs for autonomous surface vehicles using deep reinforcement learning,Heiberg A.,Neural Networks,08936080,18792782,,152,17-33,2022-08-01,August 2022,10.1016/j.neunet.2022.04.008,0,"[{'@_fa': 'true', 'affilname': 'Equinor ASA', 'affiliation-city': 'Stavanger', 'affiliation-country': 'Norway'}]",Journal,ar,Article,24804,1,True,S0893608022001435,,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",35500457
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128727333', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128727333?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128727333&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128727333&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128727333,SCOPUS_ID:85128727333,2-s2.0-85128727333,Implementation of a Compact Traffic Signs Recognition System Using a New Squeezed YOLO,Khnissi K.,International Journal of Intelligent Transportation Systems Research,13488503,18688659,,20,466-482,2022-08-01,August 2022,10.1007/s13177-022-00304-6,0,"[{'@_fa': 'true', 'affilname': ""École Nationale Supérieure d'Ingénieurs de Tunis"", 'affiliation-city': 'Tunis', 'affiliation-country': 'Tunisia'}]",Journal,ar,Article,19600157217,0,False,,,2,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122706625', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122706625?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122706625&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122706625&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122706625,SCOPUS_ID:85122706625,2-s2.0-85122706625,360 <sup>∘</sup> real-time and power-efficient 3D DAMOT for autonomous driving applications,Gómez-Huélamo C.,Multimedia Tools and Applications,13807501,15737721,,81,26915-26940,2022-08-01,August 2022,10.1007/s11042-021-11624-2,0,"[{'@_fa': 'true', 'affilname': 'Universidad de Alcalá', 'affiliation-city': 'Alcala de Henares', 'affiliation-country': 'Spain'}]",Journal,ar,Article,25627,1,True,,,19,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134235798', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134235798?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134235798&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134235798&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134235798,SCOPUS_ID:85134235798,2-s2.0-85134235798,Enhanced Perception for Autonomous Driving Using Semantic and Geometric Data Fusion,Florea H.,Sensors,14248220,,,22,,2022-07-01,July-1 2022,10.3390/s22135061,0,"[{'@_fa': 'true', 'affilname': 'Technical University of Cluj-Napoca', 'affiliation-city': 'Cluj-Napoca', 'affiliation-country': 'Romania'}]",Journal,ar,Article,130124,1,True,,5061,13,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",35808555
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133612410', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133612410?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133612410&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133612410&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133612410,SCOPUS_ID:85133612410,2-s2.0-85133612410,"Application of Neural Data Processing in Autonomous Model Platform—A Complex Review of Solutions, Design and Implementation",Malarczyk M.,Energies,,19961073,,15,,2022-07-01,July-1 2022,10.3390/en15134766,0,"[{'@_fa': 'true', 'affilname': 'Wrocław University of Science and Technology', 'affiliation-city': 'Wroclaw', 'affiliation-country': 'Poland'}]",Journal,ar,Article,62932,1,True,,4766,13,,,
