id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.01137v1,2022-07-03T22:38:01Z,2022-07-03T22:38:01Z,"Promotheus: An End-to-End Machine Learning Framework for Optimizing
  Markdown in Online Fashion E-commerce","Managing discount promotional events (""markdown"") is a significant part of
running an e-commerce business, and inefficiencies here can significantly
hamper a retailer's profitability. Traditional approaches for tackling this
problem rely heavily on price elasticity modelling. However, the partial
information nature of price elasticity modelling, together with the
non-negotiable responsibility for protecting profitability, mean that machine
learning practitioners must often go through great lengths to define strategies
for measuring offline model quality. In the face of this, many retailers fall
back on rule-based methods, thus forgoing significant gains in profitability
that can be captured by machine learning. In this paper, we introduce two novel
end-to-end markdown management systems for optimising markdown at different
stages of a retailer's journey. The first system, ""Ithax"", enacts a rational
supply-side pricing strategy without demand estimation, and can be usefully
deployed as a ""cold start"" solution to collect markdown data while maintaining
revenue control. The second system, ""Promotheus"", presents a full framework for
markdown optimization with price elasticity. We describe in detail the specific
modelling and validation procedures that, within our experience, have been
crucial to building a system that performs robustly in the real world. Both
markdown systems achieve superior profitability compared to decisions made by
our experienced operations teams in a controlled online test, with improvements
of 86% (Promotheus) and 79% (Ithax) relative to manual strategies. These
systems have been deployed to manage markdown at ASOS.com, and both systems can
be fruitfully deployed for price optimization across a wide variety of retail
e-commerce settings.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.07353v1,2022-06-15T08:05:16Z,2022-06-15T08:05:16Z,"Rethinking Reinforcement Learning for Recommendation: A Prompt
  Perspective","Modern recommender systems aim to improve user experience. As reinforcement
learning (RL) naturally fits this objective -- maximizing an user's reward per
session -- it has become an emerging topic in recommender systems. Developing
RL-based recommendation methods, however, is not trivial due to the
\emph{offline training challenge}. Specifically, the keystone of traditional RL
is to train an agent with large amounts of online exploration making lots of
`errors' in the process. In the recommendation setting, though, we cannot
afford the price of making `errors' online. As a result, the agent needs to be
trained through offline historical implicit feedback, collected under different
recommendation policies; traditional RL algorithms may lead to sub-optimal
policies under these offline training settings.
  Here we propose a new learning paradigm -- namely Prompt-Based Reinforcement
Learning (PRL) -- for the offline training of RL-based recommendation agents.
While traditional RL algorithms attempt to map state-action input pairs to
their expected rewards (e.g., Q-values), PRL directly infers actions (i.e.,
recommended items) from state-reward inputs. In short, the agents are trained
to predict a recommended item given the prior interactions and an observed
reward value -- with simple supervised learning. At deployment time, this
historical (training) data acts as a knowledge base, while the state-reward
pairs are used as a prompt. The agents are thus used to answer the question:
\emph{ Which item should be recommended given the prior interactions \& the
prompted reward value}? We implement PRL with four notable recommendation
models and conduct experiments on two real-world e-commerce datasets.
Experimental results demonstrate the superior performance of our proposed
methods.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.13084v1,2022-05-25T23:51:27Z,2022-05-25T23:51:27Z,BRIGHT -- Graph Neural Networks in Real-Time Fraud Detection,"Detecting fraudulent transactions is an essential component to control risk
in e-commerce marketplaces. Apart from rule-based and machine learning filters
that are already deployed in production, we want to enable efficient real-time
inference with graph neural networks (GNNs), which is useful to catch multihop
risk propagation in a transaction graph. However, two challenges arise in the
implementation of GNNs in production. First, future information in a dynamic
graph should not be considered in message passing to predict the past. Second,
the latency of graph query and GNN model inference is usually up to hundreds of
milliseconds, which is costly for some critical online services. To tackle
these challenges, we propose a Batch and Real-time Inception GrapH Topology
(BRIGHT) framework to conduct an end-to-end GNN learning that allows efficient
online real-time inference. BRIGHT framework consists of a graph transformation
module (Two-Stage Directed Graph) and a corresponding GNN architecture (Lambda
Neural Network). The Two-Stage Directed Graph guarantees that the information
passed through neighbors is only from the historical payment transactions. It
consists of two subgraphs representing historical relationships and real-time
links, respectively. The Lambda Neural Network decouples inference into two
stages: batch inference of entity embeddings and real-time inference of
transaction prediction. Our experiments show that BRIGHT outperforms the
baseline models by >2\% in average w.r.t.~precision. Furthermore, BRIGHT is
computationally efficient for real-time fraud detection. Regarding end-to-end
performance (including neighbor query and inference), BRIGHT can reduce the P99
latency by >75\%. For the inference stage, our speedup is on average
7.8$\times$ compared to the traditional GNN.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.10538v1,2022-05-21T08:35:02Z,2022-05-21T08:35:02Z,"Automated machine learning: AI-driven decision making in business
  analytics","The realization that AI-driven decision-making is indispensable in todays
fast-paced and ultra-competitive marketplace has raised interest in industrial
machine learning (ML) applications significantly. The current demand for
analytics experts vastly exceeds the supply. One solution to this problem is to
increase the user-friendliness of ML frameworks to make them more accessible
for the non-expert. Automated machine learning (AutoML) is an attempt to solve
the problem of expertise by providing fully automated off-the-shelf solutions
for model choice and hyperparameter tuning. This paper analyzed the potential
of AutoML for applications within business analytics, which could help to
increase the adoption rate of ML across all industries. The H2O AutoML
framework was benchmarked against a manually tuned stacked ML model on three
real-world datasets to test its performance, robustness, and reliability. The
manually tuned ML model could reach a performance advantage in all three case
studies used in the experiment. Nevertheless, the H2O AutoML package proved to
be quite potent. It is fast, easy to use, and delivers reliable results, which
come close to a professionally tuned ML model. The H2O AutoML framework in its
current capacity is a valuable tool to support fast prototyping with the
potential to shorten development and deployment cycles. It can also bridge the
existing gap between supply and demand for ML experts and is a big step towards
fully automated decisions in business analytics.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.08084v2,2022-05-19T06:50:31Z,2022-05-17T04:13:42Z,"M6-Rec: Generative Pretrained Language Models are Open-Ended Recommender
  Systems","Industrial recommender systems have been growing increasingly complex, may
involve \emph{diverse domains} such as e-commerce products and user-generated
contents, and can comprise \emph{a myriad of tasks} such as retrieval, ranking,
explanation generation, and even AI-assisted content production. The mainstream
approach so far is to develop individual algorithms for each domain and each
task. In this paper, we explore the possibility of developing a unified
foundation model to support \emph{open-ended domains and tasks} in an
industrial recommender system, which may reduce the demand on downstream
settings' data and can minimize the carbon footprint by avoiding training a
separate model from scratch for every task. Deriving a unified foundation is
challenging due to (i) the potentially unlimited set of downstream domains and
tasks, and (ii) the real-world systems' emphasis on computational efficiency.
We thus build our foundation upon M6, an existing large-scale industrial
pretrained language model similar to GPT-3 and T5, and leverage M6's pretrained
ability for sample-efficient downstream adaptation, by representing user
behavior data as plain texts and converting the tasks to either language
understanding or generation. To deal with a tight hardware budget, we propose
an improved version of prompt tuning that outperforms fine-tuning with
negligible 1\% task-specific parameters, and employ techniques such as late
interaction, early exiting, parameter sharing, and pruning to further reduce
the inference time and the model size. We demonstrate the foundation model's
versatility on a wide range of tasks such as retrieval, ranking, zero-shot
recommendation, explanation generation, personalized content creation, and
conversational recommendation, and manage to deploy it on both cloud servers
and mobile devices.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.00831v1,2022-04-24T04:40:44Z,2022-04-24T04:40:44Z,Adaptive Task Planning for Large-Scale Robotized Warehouses,"Robotized warehouses are deployed to automatically distribute millions of
items brought by the massive logistic orders from e-commerce. A key to
automated item distribution is to plan paths for robots, also known as task
planning, where each task is to deliver racks with items to pickers for
processing and then return the rack back. Prior solutions are unfit for
large-scale robotized warehouses due to the inflexibility to time-varying item
arrivals and the low efficiency for high throughput. In this paper, we propose
a new task planning problem called TPRW, which aims to minimize the end-to-end
makespan that incorporates the entire item distribution pipeline, known as a
fulfilment cycle. Direct extensions from state-of-the-art path finding methods
are ineffective to solve the TPRW problem because they fail to adapt to the
bottleneck variations of fulfillment cycles. In response, we propose Efficient
Adaptive Task Planning, a framework for large-scale robotized warehouses with
time-varying item arrivals. It adaptively selects racks to fulfill at each
timestamp via reinforcement learning, accounting for the time-varying
bottleneck of the fulfillment cycles. Then it finds paths for robots to
transport the selected racks. The framework adopts a series of efficient
optimizations on both time and memory to handle large-scale item throughput.
Evaluations on both synthesized and real data show an improvement of $37.1\%$
in effectiveness and $75.5\%$ in efficiency over the state-of-the-arts.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2204.03998v1,2022-04-08T11:08:03Z,2022-04-08T11:08:03Z,"SnapMode: An Intelligent and Distributed Large-Scale Fashion Image
  Retrieval Platform Based On Big Data and Deep Generative Adversarial Network
  Technologies","Fashion is now among the largest industries worldwide, for it represents
human history and helps tell the worlds story. As a result of the Fourth
Industrial Revolution, the Internet has become an increasingly important source
of fashion information. However, with a growing number of web pages and social
data, it is nearly impossible for humans to manually catch up with the ongoing
evolution and the continuously variable content in this domain. The proper
management and exploitation of big data can pave the way for the substantial
growth of the global economy as well as citizen satisfaction. Therefore,
computer scientists have found it challenging to handle e-commerce fashion
websites by using big data and machine learning technologies. This paper first
proposes a scalable focused Web Crawler engine based on the distributed
computing platforms to extract and process fashion data on e-commerce websites.
The role of the proposed platform is then described in developing a
disentangled feature extraction method by employing deep convolutional
generative adversarial networks (DCGANs) for content-based image indexing and
retrieval. Finally, the state-of-the-art solutions are compared, and the
results of the proposed approach are analyzed on a standard dataset. For the
real-life implementation of the proposed solution, a Web-based application is
developed on Apache Storm, Kafka, Solr, and Milvus platforms to create a
fashion search engine called SnapMode.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2203.10975v1,2022-03-21T13:35:55Z,2022-03-21T13:35:55Z,"GCF: Generalized Causal Forest for Heterogeneous Treatment Effect
  Estimation in Online Marketplace","Uplift modeling is a rapidly growing approach that utilizes machine learning
and causal inference methods to estimate the heterogeneous treatment effects.
It has been widely adopted and applied to online marketplaces to assist
large-scale decision-making in recent years. The existing popular methods, like
forest-based modeling, either work only for discrete treatments or make
partially linear or parametric assumptions that may suffer from model
misspecification. To alleviate these problems, we extend causal forest (CF)
with non-parametric dose-response functions (DRFs) that can be estimated
locally using a kernel-based doubly robust estimator. Moreover, we propose a
distance-based splitting criterion in the functional space of conditional DRFs
to capture the heterogeneity for the continuous treatments. We call the
proposed algorithm generalized causal forest (GCF) as it generalizes the use
case of CF to a much broader setup. We show the effectiveness of GCF by
comparing it to popular uplift modeling models on both synthetic and real-world
datasets. We implement GCF in Spark and successfully deploy it into DiDi's
real-time pricing system. Online A/B testing results further validate the
superiority of GCF.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2203.10289v6,2022-03-31T11:16:25Z,2022-03-19T10:18:51Z,METL: a modern ETL pipeline with a dynamic mapping matrix,"Modern ETL streaming pipelines extract data from various sources and forward
it to multiple consumers, such as data warehouses (DW) and analytical systems
that leverage machine learning (ML). However, the increasing number of systems
that are connected to such pipelines requires new solutions for data
integration. The canonical (or common) data model (CDM) offers such an
integration. It is particular useful for integrating microservice systems into
ETL pipelines. (Villaca et al 2020, Oliveira et al 2019) However, a mapping to
a CDM is complex. (Lemcke et al 2012) There are three complexity problems,
namely the size of the required mapping matrix, the automation of updates of
the matrix in response to changes in the extraction sources and the time
efficiency of the mapping. In this paper, we present a new solution for these
problems. More precisely, we present a new dynamic mapping matrix (DMM), which
is based on permutation matrices that are obtained by block-partitioning the
full mapping matrix. We show that the DMM can be used for automated updates in
response to schema changes, for parallel computation in near real-time and for
highly efficient compacting. For the solution, we draw on research into matrix
partitioning (Quinn 2004) and dynamic networks (Haase et al 2021). The DMM has
been implemented into an app called Message ETL (METL). METL is the key part of
a new ETL streaming pipeline at EOS that conducts the transformation to a CDM.
The ETL pipeline is based on Kafka-streams. It extracts data from more than 80
microservices with log-based Change Data Capture (CDC) with Debezium and loads
the data to a DW and an ML platform. EOS is part of the Otto-Group, the
second-largest e-commerce provider in Europe.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2202.10574v2,2022-06-14T09:17:44Z,2022-02-21T23:36:40Z,"A Multi-Agent Reinforcement Learning Framework for Off-Policy Evaluation
  in Two-sided Markets","The two-sided markets such as ride-sharing companies often involve a group of
subjects who are making sequential decisions across time and/or location. With
the rapid development of smart phones and internet of things, they have
substantially transformed the transportation landscape of human beings. In this
paper we consider large-scale fleet management in ride-sharing companies that
involve multiple units in different areas receiving sequences of products (or
treatments) over time. Major technical challenges, such as policy evaluation,
arise in those studies because (i) spatial and temporal proximities induce
interference between locations and times; and (ii) the large number of
locations results in the curse of dimensionality. To address both challenges
simultaneously, we introduce a multi-agent reinforcement learning (MARL)
framework for carrying policy evaluation in these studies. We propose novel
estimators for mean outcomes under different products that are consistent
despite the high-dimensionality of state-action space. The proposed estimator
works favorably in simulation experiments. We further illustrate our method
using a real dataset obtained from a two-sided marketplace company to evaluate
the effects of applying different subsidizing policies. A Python implementation
of our proposed method is available at
https://github.com/RunzheStat/CausalMARL.",arxiv,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
