id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.11173v1,2022-07-22T16:18:04Z,2022-07-22T16:18:04Z,Verifying Fairness in Quantum Machine Learning,"Due to the beyond-classical capability of quantum computing, quantum machine
learning is applied independently or embedded in classical models for decision
making, especially in the field of finance. Fairness and other ethical issues
are often one of the main concerns in decision making. In this work, we define
a formal framework for the fairness verification and analysis of quantum
machine learning decision models, where we adopt one of the most popular
notions of fairness in the literature based on the intuition -- any two similar
individuals must be treated similarly and are thus unbiased. We show that
quantum noise can improve fairness and develop an algorithm to check whether a
(noisy) quantum machine learning model is fair. In particular, this algorithm
can find bias kernels of quantum data (encoding individuals) during checking.
These bias kernels generate infinitely many bias pairs for investigating the
unfairness of the model. Our algorithm is designed based on a highly efficient
data structure -- Tensor Networks -- and implemented on Google's TensorFlow
Quantum. The utility and effectiveness of our algorithm are confirmed by the
experimental results, including income prediction and credit scoring on
real-world data, for a class of random (noisy) quantum decision models with 27
qubits ($2^{27}$-dimensional state space) tripling ($2^{18}$ times more than)
that of the state-of-the-art algorithms for verifying quantum machine learning
models.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.13034v1,2022-06-27T03:55:23Z,2022-06-27T03:55:23Z,Monitoring Shortcut Learning using Mutual Information,"The failure of deep neural networks to generalize to out-of-distribution data
is a well-known problem and raises concerns about the deployment of trained
networks in safety-critical domains such as healthcare, finance and autonomous
vehicles. We study a particular kind of distribution shift $\unicode{x2013}$
shortcuts or spurious correlations in the training data. Shortcut learning is
often only exposed when models are evaluated on real-world data that does not
contain the same spurious correlations, posing a serious dilemma for AI
practitioners to properly assess the effectiveness of a trained model for
real-world applications. In this work, we propose to use the mutual information
(MI) between the learned representation and the input as a metric to find where
in training, the network latches onto shortcuts. Experiments demonstrate that
MI can be used as a domain-agnostic metric for monitoring shortcut learning.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.05910v1,2022-06-13T05:40:03Z,2022-06-13T05:40:03Z,"Safe-FinRL: A Low Bias and Variance Deep Reinforcement Learning
  Implementation for High-Freq Stock Trading","In recent years, many practitioners in quantitative finance have attempted to
use Deep Reinforcement Learning (DRL) to build better quantitative trading (QT)
strategies. Nevertheless, many existing studies fail to address several serious
challenges, such as the non-stationary financial environment and the bias and
variance trade-off when applying DRL in the real financial market. In this
work, we proposed Safe-FinRL, a novel DRL-based high-freq stock trading
strategy enhanced by the near-stationary financial environment and low bias and
variance estimation. Our main contributions are twofold: firstly, we separate
the long financial time series into the near-stationary short environment;
secondly, we implement Trace-SAC in the near-stationary financial environment
by incorporating the general retrace operator into the Soft Actor-Critic.
Extensive experiments on the cryptocurrency market have demonstrated that
Safe-FinRL has provided a stable value estimation and a steady policy
improvement and reduced bias and variance significantly in the near-stationary
financial environment.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.02868v1,2022-06-06T19:47:29Z,2022-06-06T19:47:29Z,A Human-Centric Take on Model Monitoring,"Predictive models are increasingly used to make various consequential
decisions in high-stakes domains such as healthcare, finance, and policy. It
becomes critical to ensure that these models make accurate predictions, are
robust to shifts in the data, do not rely on spurious features, and do not
unduly discriminate against minority groups. To this end, several approaches
spanning various areas such as explainability, fairness, and robustness have
been proposed in recent literature. Such approaches need to be human-centered
as they cater to the understanding of the models to their users. However, there
is a research gap in understanding the human-centric needs and challenges of
monitoring machine learning (ML) models once they are deployed. To fill this
gap, we conducted an interview study with 13 practitioners who have experience
at the intersection of deploying ML models and engaging with customers spanning
domains such as financial services, healthcare, hiring, online retail,
computational advertising, and conversational assistants. We identified various
human-centric challenges and requirements for model monitoring in real-world
applications. Specifically, we found the need and the challenge for the model
monitoring systems to clarify the impact of the monitoring observations on
outcomes. Further, such insights must be actionable, robust, customizable for
domain-specific use cases, and cognitively considerate to avoid information
overload.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.09526v1,2022-05-19T12:49:37Z,2022-05-19T12:49:37Z,Simple Regularisation for Uncertainty-Aware Knowledge Distillation,"Considering uncertainty estimation of modern neural networks (NNs) is one of
the most important steps towards deploying machine learning systems to
meaningful real-world applications such as in medicine, finance or autonomous
systems. At the moment, ensembles of different NNs constitute the
state-of-the-art in both accuracy and uncertainty estimation in different
tasks. However, ensembles of NNs are unpractical under real-world constraints,
since their computation and memory consumption scale linearly with the size of
the ensemble, which increase their latency and deployment cost. In this work,
we examine a simple regularisation approach for distribution-free knowledge
distillation of ensemble of machine learning models into a single NN. The aim
of the regularisation is to preserve the diversity, accuracy and uncertainty
estimation characteristics of the original ensemble without any intricacies,
such as fine-tuning. We demonstrate the generality of the approach on
combinations of toy data, SVHN/CIFAR-10, simple to complex NN architectures and
different tasks.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2203.17081v1,2022-03-31T14:54:35Z,2022-03-31T14:54:35Z,Interpretation of Black Box NLP Models: A Survey,"An increasing number of machine learning models have been deployed in domains
with high stakes such as finance and healthcare. Despite their superior
performances, many models are black boxes in nature which are hard to explain.
There are growing efforts for researchers to develop methods to interpret these
black-box models. Post hoc explanations based on perturbations, such as LIME,
are widely used approaches to interpret a machine learning model after it has
been built. This class of methods has been shown to exhibit large instability,
posing serious challenges to the effectiveness of the method itself and harming
user trust. In this paper, we propose S-LIME, which utilizes a hypothesis
testing framework based on central limit theorem for determining the number of
perturbation points needed to guarantee stability of the resulting explanation.
Experiments on both simulated and real world data sets are provided to
demonstrate the effectiveness of our method.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2202.07787v1,2022-02-15T23:25:37Z,2022-02-15T23:25:37Z,Trustworthy Anomaly Detection: A Survey,"Anomaly detection has a wide range of real-world applications, such as bank
fraud detection and cyber intrusion detection. In the past decade, a variety of
anomaly detection models have been developed, which lead to big progress
towards accurately detecting various anomalies. Despite the successes, anomaly
detection models still face many limitations. The most significant one is
whether we can trust the detection results from the models. In recent years,
the research community has spent a great effort to design trustworthy machine
learning models, such as developing trustworthy classification models. However,
the attention to anomaly detection tasks is far from sufficient. Considering
that many anomaly detection tasks are life-changing tasks involving human
beings, labeling someone as anomalies or fraudsters should be extremely
cautious. Hence, ensuring the anomaly detection models conducted in a
trustworthy fashion is an essential requirement to deploy the models to conduct
automatic decisions in the real world. In this brief survey, we summarize the
existing efforts and discuss open problems towards trustworthy anomaly
detection from the perspectives of interpretability, fairness, robustness, and
privacy-preservation.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2202.02751v1,2022-02-06T10:33:13Z,2022-02-06T10:33:13Z,Pipe Overflow: Smashing Voice Authentication for Fun and Profit,"Recent years have seen a surge of popularity of acoustics-enabled personal
devices powered by machine learning. Yet, machine learning has proven to be
vulnerable to adversarial examples. Large number of modern systems protect
themselves against such attacks by targeting the artificiality, i.e., they
deploy mechanisms to detect the lack of human involvement in generating the
adversarial examples. However, these defenses implicitly assume that humans are
incapable of producing meaningful and targeted adversarial examples. In this
paper, we show that this base assumption is wrong. In particular, we
demonstrate that for tasks like speaker identification, a human is capable of
producing analog adversarial examples directly with little cost and
supervision: by simply speaking through a tube, an adversary reliably
impersonates other speakers in eyes of ML models for speaker identification.
Our findings extend to a range of other acoustic-biometric tasks such as
liveness, bringing into question their use in security-critical settings in
real life, such as phone banking.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2112.13338v1,2021-12-26T09:25:32Z,2021-12-26T09:25:32Z,MPCLeague: Robust MPC Platform for Privacy-Preserving Machine Learning,"In the modern era of computing, machine learning tools have demonstrated
their potential in vital sectors, such as healthcare and finance, to derive
proper inferences. The sensitive and confidential nature of the data in such
sectors raises genuine concerns for data privacy. This motivated the area of
Privacy-preserving Machine Learning (PPML), where privacy of data is
guaranteed. In this thesis, we design an efficient platform, MPCLeague, for
PPML in the Secure Outsourced Computation (SOC) setting using Secure
Multi-party Computation (MPC) techniques.
  MPC, the holy-grail problem of secure distributed computing, enables a set of
n mutually distrusting parties to perform joint computation on their private
inputs in a way that no coalition of t parties can learn more information than
the output (privacy) or affect the true output of the computation
(correctness). While MPC, in general, has been a subject of extensive research,
the area of MPC with a small number of parties has drawn popularity of late
mainly due to its application to real-time scenarios, efficiency and
simplicity. This thesis focuses on designing efficient MPC frameworks for 2, 3
and 4 parties, with at most one corruption and supports ring structures.
  At the heart of this thesis are four frameworks - ASTRA, SWIFT, Tetrad,
ABY2.0 - catered to different settings. The practicality of our framework is
argued through improvements in the benchmarking of widely used ML algorithms --
Linear Regression, Logistic Regression, Neural Networks, and Support Vector
Machines. We propose two variants for each of our frameworks, with one variant
aiming to minimise the execution time while the other focuses on the monetary
cost. The concrete efficiency gains of our frameworks coupled with the stronger
security guarantee of robustness make our platform an ideal choice for a
real-time deployment of PPML techniques.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2112.07575v1,2021-12-14T17:33:32Z,2021-12-14T17:33:32Z,Robust Graph Neural Networks via Probabilistic Lipschitz Constraints,"Graph neural networks (GNNs) have recently been demonstrated to perform well
on a variety of network-based tasks such as decentralized control and resource
allocation, and provide computationally efficient methods for these tasks which
have traditionally been challenging in that regard. However, like many
neural-network based systems, GNNs are susceptible to shifts and perturbations
on their inputs, which can include both node attributes and graph structure. In
order to make them more useful for real-world applications, it is important to
ensure their robustness post-deployment. Motivated by controlling the Lipschitz
constant of GNN filters with respect to the node attributes, we propose to
constrain the frequency response of the GNN's filter banks. We extend this
formulation to the dynamic graph setting using a continuous frequency response
constraint, and solve a relaxed variant of the problem via the scenario
approach. This allows for the use of the same computationally efficient
algorithm on sampled constraints, which provides PAC-style guarantees on the
stability of the GNN using results in scenario optimization. We also highlight
an important connection between this setup and GNN stability to graph
perturbations, and provide experimental results which demonstrate the efficacy
and broadness of our approach.",arxiv,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
