id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.ejor.2021.06.023,Journal,European Journal of Operational Research,scopus,2022-03-16,sciencedirect,"Fairness in credit scoring: Assessment, implementation and profit implications",https://api.elsevier.com/content/abstract/scopus_id/85109424638,"The rise of algorithmic decision-making has spawned much research on fair machine learning (ML). Financial institutions use ML for building risk scorecards that support a range of credit-related decisions. Yet, the literature on fair ML in credit scoring is scarce. The paper makes three contributions. First, we revisit statistical fairness criteria and examine their adequacy for credit scoring. Second, we catalog algorithmic options for incorporating fairness goals in the ML model development pipeline. Last, we empirically compare different fairness processors in a profit-oriented credit scoring context using real-world data. The empirical results substantiate the evaluation of fairness measures, identify suitable options to implement fair credit scoring, and clarify the profit-fairness trade-off in lending decisions. We find that multiple fairness criteria can be approximately satisfied at once and recommend separation as a proper criterion for measuring the fairness of a scorecard. We also find fair in-processors to deliver a good balance between profit and fairness and show that algorithmic discrimination can be reduced to a reasonable level at a relatively low cost. The codes corresponding to the paper are available on GitHub.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.scs.2021.102801,Journal,Sustainable Cities and Society,scopus,2021-06-01,sciencedirect,"Smart and sustainable logistics of Port cities: A framework for comprehending enabling factors, domains and goals",https://api.elsevier.com/content/abstract/scopus_id/85104756448,"Digital technologies integrated into port logistics are becoming increasingly decisive among port cities around the world. This growing importance is due to the need for policymakers, urban managers, port authorities, local administrators, shipping companies, couriers, and so on to develop increasingly digitalized and sustainable logistic processes. Therefore, in a global context characterized by intense datafication and globalization of trade, the data-based approach has become a necessary modus operandi to promote smart and sustainable logistics development. This forward-looking model of port logistics uses technologies such as IoT, sensors, cloud computing platforms, Big Data analytics, Artificial Intelligence (AI), GPS tracking systems, radars, drones, real-time monitoring stations, smart grids, and so on in order to collect, process, monitor and analyse data and information concerning the economic, environmental, social and technological sphere of port cities. In this sense, mobile and fixed platforms help logistics operators to optimize the management of flows (e.g., water, waste, emissions, raw materials, people, monetary investments, etc.) in an efficient and digitized manner. The study proposes a systematic literature review of the most recurring themes concerning smart and sustainable logistics initiatives within port cities in order to develop a multidimensional framework capable of holistically integrating the prevailing enabling factors (Ecosystem, Internal Organization, Data and Security, Policy and Regulation, Finance and Funding, and Digital and Technology), domains (Mobility, Environment, Economy, Telecommunications, Safety and Security, Government, and Community) and goals (Sustainable Development and Digitalization) that characterize smart and sustainable logistical development. To this end, the best practices of several pioneering port cities such as Rotterdam, Hamburg, Singapore, Los Angeles, Amsterdam, etc. implemented in partnerships with technology companies such as Cisco, IBM, Huawei and SAP were also analysed. Therefore, the results of this research show that smart and sustainable logistics initiatives in port cities: (a) have the potential to enhance the efficiency of the economic, environmental, social and technological flows; (b) increase the involvement and awareness of stakeholders such as couriers, shippers, shipping companies, citizens, port authorities, municipalities, security officers, gate and terminal personnel, and so on; and (c) provide a detailed overview of the enabling factors, domains and goals that must be activated by port cities to foster a smart and sustainable logistic transition.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.patter.2020.100195,Journal,Patterns,scopus,2021-02-12,sciencedirect,Topic classification of electric vehicle consumer experiences with transformer-based deep learning,https://api.elsevier.com/content/abstract/scopus_id/85100638713,"The transportation sector is a major contributor to greenhouse gas (GHG) emissions and is a driver of adverse health effects globally. Increasingly, government policies have promoted the adoption of electric vehicles (EVs) as a solution to mitigate GHG emissions. However, government analysts have failed to fully utilize consumer data in decisions related to charging infrastructure. This is because a large share of EV data is unstructured text, which presents challenges for data discovery. In this article, we deploy advances in transformer-based deep learning to discover topics of attention in a nationally representative sample of user reviews. We report classification accuracies greater than 91% (F1 scores of 0.83), outperforming previously leading algorithms in this domain. We describe applications of these deep learning models for public policy analysis and large-scale implementation. This capability can boost intelligence for the EV charging market, which is expected to grow to US$27.6 billion by 2027.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.micpro.2020.103594,Journal,Microprocessors and Microsystems,scopus,2021-02-01,sciencedirect,Enterprise financial risk management platform based on 5 G mobile communication and embedded system,https://api.elsevier.com/content/abstract/scopus_id/85097578772,"5 G technology has been applied to the financial sector. As a mortgage and supervision of sensors, network cameras, mobile device to improve the financial performance of real-time data generated by the data, bank loan credit risk management has been used. There are many risks of financial credit in modern society, the most important of which is the financial danger on mobile Internet. In the case of mobile phone payment popularity, financial risk has also greatly improved. This makes the traditional statistics and models can not fully meet the needs of the development of modern society. Bank credit risk has also improved to some extent. Therefore, there is a practical need for a more robust risk prediction model of artificial intelligence to predict the default behavior with good accuracy and competency-based big data analytics. This paper presents data mining method optimization and 5 G mobile communications and embedded systems commercial banks, based on financial risk management. It is safe to protect personal privacy, consider these requirements 5 G system design. To successfully connect to the ability to make money, telecom service providers need to ask their players to match their products and the industry. In addition to simple connections, they need a unified high-level function, such as coordination of network resources, analytical capabilities, and automated business and operations. Mob ileum provides Business Assurance Analytics to improve and develop a strong customer value proposition during 5 G technologies deployment. Experimental results show that the risk management models have fast convergence, powerful forecasting capabilities, and effectively perform screening default behavior. Simultaneously, distributed significant data clusters to achieve significantly reduce the processing time model training and testing.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/B978-0-12-819742-4.09991-1,Book,"Machine Learning and Data Science in the Power Generation Industry: Best Practices, Tools, and Case Studies",scopus,2021-01-01,sciencedirect,"Machine Learning and Data Science in the Power Generation Industry: Best Practices, Tools, and Case Studies",https://api.elsevier.com/content/abstract/scopus_id/85126829359,Unknown,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.orp.2021.100204,Journal,Operations Research Perspectives,scopus,2021-01-01,sciencedirect,A review of approximate dynamic programming applications within military operations research,https://api.elsevier.com/content/abstract/scopus_id/85117385700,"Sequences of decisions that occur under uncertainty arise in a variety of settings, including transportation, communication networks, finance, defence, etc. The classic approach to find an optimal decision policy for a sequential decision problem is dynamic programming; however its usefulness is limited due to the curse of dimensionality and the curse of modelling, and thus many real-world applications require an alternative approach. Within operations research, over the last 25 years the use of Approximate Dynamic Programming (ADP), known as reinforcement learning in many disciplines, to solve these types of problems has increased in popularity. These efforts have resulted in the successful deployment of ADP-generated decision policies for driver scheduling in the trucking industry, locomotive planning and management, and managing high-value spare parts in manufacturing. In this article we present the first review of applications of ADP within a defence context, specifically focusing on those which provide decision support to military or civilian leadership. This article’s main contributions are twofold. First, we review 18 decision support applications, spanning the spectrum of force development, generation, and employment, that use an ADP-based strategy and for each highlight how its ADP algorithm was designed, evaluated, and the results achieved. Second, based on the trends and gaps identified we discuss five topics relevant to applying ADP to decision support problems within defence: the classes of problems studied; best practices to evaluate ADP-generated policies; advantages of designing policies that are incremental versus complete overhauls when compared to currently practiced policies; the robustness of policies as scenarios change, such as a shift from high to low intensity conflict; and sequential decision problems not yet studied within defence that may benefit from ADP.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.neucom.2020.04.018,Journal,Neurocomputing,scopus,2020-09-24,sciencedirect,Residue Number System-Based Solution for Reducing the Hardware Cost of a Convolutional Neural Network,https://api.elsevier.com/content/abstract/scopus_id/85086393278,"Convolutional neural networks (CNNs) represent deep learning architectures that are currently used in a wide range of applications, including computer vision, speech recognition, time series analysis in finance, and many others. At the same time, CNNs are very demanding in terms of the hardware and time cost of a computing system, which considerably restricts their practical use, e.g., in embedded systems, real-time systems, and mobile volatile devices. The goal of this paper is to reduce the resources required to build and operate CNNs. To achieve this goal, a CNN architecture based on Residue Number System (RNS) and the new Chinese Remainder Theorem with fractions is proposed. The new architecture gives an efficient solution to the main problem of RNSs associated with restoring the number from its residues, which determines the main contribution to the CNN structure. In accordance with the results of hardware simulation on Kintex7 xc7k70tfbg484-2 FPGA, the use of RNS in the convolutional layer of a neural network reduces hardware cost by 32.6% compared to the traditional approach based on the binary number system. In addition, the use of the proposed hardware-software architecture reduces the average image recognition time by 37.06% compared to the software implementation.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.engappai.2019.103427,Journal,Engineering Applications of Artificial Intelligence,scopus,2020-03-01,sciencedirect,Stochastic parallel extreme artificial hydrocarbon networks: An implementation for fast and robust supervised machine learning in high-dimensional data,https://api.elsevier.com/content/abstract/scopus_id/85076620125,"Artificial hydrocarbon networks (AHN) – a supervised learning method inspired on organic chemical structures and mechanisms – have shown improvements in predictive power and interpretability in comparison with other well-known machine learning models. However, AHN are very time-consuming that are not able to deal with large data until now. In this paper, we introduce the stochastic parallel extreme artificial hydrocarbon networks (SPE-AHN), an algorithm for fast and robust training of supervised AHN models in high-dimensional data. This training method comprises a population-based meta-heuristic optimization with defined individual encoding and objective function related to the AHN-model, an implementation in parallel-computing, and a stochastic learning approach for consuming large data. We conducted three experiments with synthetic and real data sets to validate the training execution time and performance of the proposed algorithm. Experimental results demonstrated that the proposed SPE-AHN outperforms the original-AHN method, increasing the speed of training more than 
                        
                           10
                           ,
                           000
                           x
                        
                      times in the worst case scenario. Additionally, we present two case studies in real data sets for solar-panel deployment prediction (regression problem), and human falls and daily activities classification in healthcare monitoring systems (classification problem). These case studies showed that SPE-AHN improves the state-of-the-art machine learning models in both engineering problems. We anticipate our new training algorithm to be useful in many applications of AHN like robotics, finance, medical engineering, aerospace, and others, in which large amounts of data (e.g. big data) is essential.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.micpro.2020.103493,Journal,Microprocessors and Microsystems,scopus,2020-01-01,sciencedirect,Analysis of real-time changes in financial exchange rates based on machine learning and complex embedded systems,https://api.elsevier.com/content/abstract/scopus_id/85096603260,"This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/our-business/policies/article-withdrawal).
                  This article has been withdrawn at the request of the Editor in Chief. Subsequent to acceptance of this special issue paper by the responsible Guest Editor Sundhararajan Mahalingam, the integrity and rigor of the peer-review process was investigated and confirmed to fall beneath the high standards expected by Microprocessors & Microsystems. There are also indications that much of the Special Issue includes unoriginal and heavily paraphrased content. Due to a configuration error in the editorial system, unfortunately the Editor in Chief did not receive these papers for approval as per the journal's standard workflow.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.future.2018.01.043,Journal,Future Generation Computer Systems,scopus,2019-07-01,sciencedirect,Combining humans and machines for the future: A novel procedure to predict human interest,https://api.elsevier.com/content/abstract/scopus_id/85042366370,"This paper proposes a method to quantify interest. In common terminology, when we engage with an object, e.g. Online Games, Social Networking Websites, Mobile Apps, etc., there is a degree of interest between us and the object. But, owing to the lack of a procedure that can quantify interest, we are unable to tell by how ‘much’ of a factor are we interested in the object. In other words, can we find a number for someone’s interest? In this article, we propose a method that uses the principle of Bayesian Inference to tackle this issue. We formulate the “interest estimation problem” as a state estimation problem to deduce interest (in any object) indirectly from user activity. Activity caused by interest is computed through a subjective–objectiveweighted approach, then using indirect inference rules, we provide numerical estimates of interest. To do that, we model the dynamics of interest through the Ornstein–Uhlenbeck process. To further enhance the base performance, we draw inspiration from Stochastic Volatility models from Finance. Subsequently, drawing upon a self-adapting transfer function, we provide an avant-garde statistical procedure to model the transformation of interest into activity. The individual contributions are then combined and a solution is provided via Particle filters. Validation of the method is done in two ways. (1) Experimentation is performed on real datasets. Through numerical investigation we have found that the method shows good performance. (2) We implement the framework as a Web application and deploy it on an Enterprise Service Bus. The framework has been successfully hosted on a Cloud based Virtualized testbed consisting of several Virtual Machines constructed over XENServer as the underlying hypervisor. Through this experimental setup, we show the efficacy of the proposed algorithm in estimating interest, at much the same time, we demonstrate the viability of the method in practical cloud based deployment scenarios.",finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
