id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.03366v1,2022-07-07T15:14:37Z,2022-07-07T15:14:37Z,"A simple normalization technique using window statistics to improve the
  out-of-distribution generalization in medical images","Since data scarcity and data heterogeneity are prevailing for medical images,
well-trained Convolutional Neural Networks (CNNs) using previous normalization
methods may perform poorly when deployed to a new site. However, a reliable
model for real-world applications should be able to generalize well both on
in-distribution (IND) and out-of-distribution (OOD) data (e.g., the new site
data). In this study, we present a novel normalization technique called window
normalization (WIN), which is a simple yet effective alternative to existing
normalization methods. Specifically, WIN perturbs the normalizing statistics
with the local statistics computed on a window of features. This feature-level
augmentation technique regularizes the models well and improves their OOD
generalization significantly. Taking its advantage, we propose a novel
self-distillation method called WIN-WIN to further improve the OOD
generalization in classification. WIN-WIN is easily implemented with twice
forward passes and a consistency constraint, which can be a simple extension
for existing methods. Extensive experimental results on various tasks (such as
glaucoma detection, breast cancer detection, chromosome classification, optic
disc and cup segmentation, etc.) and datasets (26 datasets) demonstrate the
generality and effectiveness of our methods. The code is available at
https://github.com/joe1chief/windowNormalizaion.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.13034v1,2022-06-27T03:55:23Z,2022-06-27T03:55:23Z,Monitoring Shortcut Learning using Mutual Information,"The failure of deep neural networks to generalize to out-of-distribution data
is a well-known problem and raises concerns about the deployment of trained
networks in safety-critical domains such as healthcare, finance and autonomous
vehicles. We study a particular kind of distribution shift $\unicode{x2013}$
shortcuts or spurious correlations in the training data. Shortcut learning is
often only exposed when models are evaluated on real-world data that does not
contain the same spurious correlations, posing a serious dilemma for AI
practitioners to properly assess the effectiveness of a trained model for
real-world applications. In this work, we propose to use the mutual information
(MI) between the learned representation and the input as a metric to find where
in training, the network latches onto shortcuts. Experiments demonstrate that
MI can be used as a domain-agnostic metric for monitoring shortcut learning.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11981v1,2022-06-23T21:13:10Z,2022-06-23T21:13:10Z,"Never trust, always verify : a roadmap for Trustworthy AI?","Artificial Intelligence (AI) is becoming the corner stone of many systems
used in our daily lives such as autonomous vehicles, healthcare systems, and
unmanned aircraft systems. Machine Learning is a field of AI that enables
systems to learn from data and make decisions on new data based on models to
achieve a given goal. The stochastic nature of AI models makes verification and
validation tasks challenging. Moreover, there are intrinsic biaises in AI
models such as reproductibility bias, selection bias (e.g., races, genders,
color), and reporting bias (i.e., results that do not reflect the reality).
Increasingly, there is also a particular attention to the ethical, legal, and
societal impacts of AI. AI systems are difficult to audit and certify because
of their black-box nature. They also appear to be vulnerable to threats; AI
systems can misbehave when untrusted data are given, making them insecure and
unsafe. Governments, national and international organizations have proposed
several principles to overcome these challenges but their applications in
practice are limited and there are different interpretations in the principles
that can bias implementations. In this paper, we examine trust in the context
of AI-based systems to understand what it means for an AI system to be
trustworthy and identify actions that need to be undertaken to ensure that AI
systems are trustworthy. To achieve this goal, we first review existing
approaches proposed for ensuring the trustworthiness of AI systems, in order to
identify potential conceptual gaps in understanding what trustworthy AI is.
Then, we suggest a trust (resp. zero-trust) model for AI and suggest a set of
properties that should be satisfied to ensure the trustworthiness of AI
systems.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11804v4,2022-07-07T05:57:55Z,2022-06-23T16:22:56Z,"Rethinking Surgical Instrument Segmentation: A Background Image Can Be
  All You Need","Data diversity and volume are crucial to the success of training deep
learning models, while in the medical imaging field, the difficulty and cost of
data collection and annotation are especially huge. Specifically in robotic
surgery, data scarcity and imbalance have heavily affected the model accuracy
and limited the design and deployment of deep learning-based surgical
applications such as surgical instrument segmentation. Considering this, we
rethink the surgical instrument segmentation task and propose a one-to-many
data generation solution that gets rid of the complicated and expensive process
of data collection and annotation from robotic surgery. In our method, we only
utilize a single surgical background tissue image and a few open-source
instrument images as the seed images and apply multiple augmentations and
blending techniques to synthesize amounts of image variations. In addition, we
also introduce the chained augmentation mixing during training to further
enhance the data diversities. The proposed approach is evaluated on the real
datasets of the EndoVis-2018 and EndoVis-2017 surgical scene segmentation. Our
empirical analysis suggests that without the high cost of data collection and
annotation, we can achieve decent surgical instrument segmentation performance.
Moreover, we also observe that our method can deal with novel instrument
prediction in the deployment domain. We hope our inspiring results will
encourage researchers to emphasize data-centric methods to overcome demanding
deep learning limitations besides data shortage, such as class imbalance,
domain adaptation, and incremental learning. Our code is available at
https://github.com/lofrienger/Single_SurgicalScene_For_Segmentation.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.08967v1,2022-06-17T18:47:40Z,2022-06-17T18:47:40Z,Random Forest of Epidemiological Models for Influenza Forecasting,"Forecasting the hospitalizations caused by the Influenza virus is vital for
public health planning so that hospitals can be better prepared for an influx
of patients. Many forecasting methods have been used in real-time during the
Influenza seasons and submitted to the CDC for public communication. The
forecasting models range from mechanistic models, and auto-regression models to
machine learning models. We hypothesize that we can improve forecasting by
using multiple mechanistic models to produce potential trajectories and use
machine learning to learn how to combine those trajectories into an improved
forecast. We propose a Tree Ensemble model design that utilizes the individual
predictors of our baseline model SIkJalpha to improve its performance. Each
predictor is generated by changing a set of hyper-parameters. We compare our
prospective forecasts deployed for the FluSight challenge (2022) to all the
other submitted approaches. Our approach is fully automated and does not
require any manual tuning. We demonstrate that our Random Forest-based approach
is able to improve upon the forecasts of the individual predictors in terms of
mean absolute error, coverage, and weighted interval score. Our method
outperforms all other models in terms of the mean absolute error and the
weighted interval score based on the mean across all weekly submissions in the
current season (2022). Explainability of the Random Forest (through analysis of
the trees) enables us to gain insights into how it improves upon the individual
predictors.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.06253v1,2022-06-13T15:35:59Z,2022-06-13T15:35:59Z,"RPLHR-CT Dataset and Transformer Baseline for Volumetric
  Super-Resolution from CT Scans","In clinical practice, anisotropic volumetric medical images with low
through-plane resolution are commonly used due to short acquisition time and
lower storage cost. Nevertheless, the coarse resolution may lead to
difficulties in medical diagnosis by either physicians or computer-aided
diagnosis algorithms. Deep learning-based volumetric super-resolution (SR)
methods are feasible ways to improve resolution, with convolutional neural
networks (CNN) at their core. Despite recent progress, these methods are
limited by inherent properties of convolution operators, which ignore content
relevance and cannot effectively model long-range dependencies. In addition,
most of the existing methods use pseudo-paired volumes for training and
evaluation, where pseudo low-resolution (LR) volumes are generated by a simple
degradation of their high-resolution (HR) counterparts. However, the domain gap
between pseudo- and real-LR volumes leads to the poor performance of these
methods in practice. In this paper, we build the first public real-paired
dataset RPLHR-CT as a benchmark for volumetric SR, and provide baseline results
by re-implementing four state-of-the-art CNN-based methods. Considering the
inherent shortcoming of CNN, we also propose a transformer volumetric
super-resolution network (TVSRN) based on attention mechanisms, dispensing with
convolutions entirely. This is the first research to use a pure transformer for
CT volumetric SR. The experimental results show that TVSRN significantly
outperforms all baselines on both PSNR and SSIM. Moreover, the TVSRN method
achieves a better trade-off between the image quality, the number of
parameters, and the running time. Data and code are available at
https://github.com/smilenaxx/RPLHR-CT.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.04336v1,2022-06-09T08:31:14Z,2022-06-09T08:31:14Z,"Joint Modeling of Image and Label Statistics for Enhancing Model
  Generalizability of Medical Image Segmentation","Although supervised deep-learning has achieved promising performance in
medical image segmentation, many methods cannot generalize well on unseen data,
limiting their real-world applicability. To address this problem, we propose a
deep learning-based Bayesian framework, which jointly models image and label
statistics, utilizing the domain-irrelevant contour of a medical image for
segmentation. Specifically, we first decompose an image into components of
contour and basis. Then, we model the expected label as a variable only related
to the contour. Finally, we develop a variational Bayesian framework to infer
the posterior distributions of these variables, including the contour, the
basis, and the label. The framework is implemented with neural networks, thus
is referred to as deep Bayesian segmentation. Results on the task of
cross-sequence cardiac MRI segmentation show that our method set a new state of
the art for model generalizability. Particularly, the BayeSeg model trained
with LGE MRI generalized well on T2 images and outperformed other models with
great margins, i.e., over 0.47 in terms of average Dice. Our code is available
at https://zmiclab.github.io/projects.html.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.03359v1,2022-06-07T14:53:35Z,2022-06-07T14:53:35Z,"An efficient semi-supervised quality control system trained using
  physics-based MRI-artefact generators and adversarial training","Large medical imaging data sets are becoming increasingly available. A common
challenge in these data sets is to ensure that each sample meets minimum
quality requirements devoid of significant artefacts. Despite a wide range of
existing automatic methods having been developed to identify imperfections and
artefacts in medical imaging, they mostly rely on data-hungry methods. In
particular, the lack of sufficient scans with artefacts available for training
has created a barrier in designing and deploying machine learning in clinical
research. To tackle this problem, we propose a novel framework having four main
components: (1) a set of artefact generators inspired by magnetic resonance
physics to corrupt brain MRI scans and augment a training dataset, (2) a set of
abstract and engineered features to represent images compactly, (3) a feature
selection process that depends on the class of artefact to improve
classification performance, and (4) a set of Support Vector Machine (SVM)
classifiers trained to identify artefacts. Our novel contributions are
threefold: first, we use the novel physics-based artefact generators to
generate synthetic brain MRI scans with controlled artefacts as a data
augmentation technique. This will avoid the labour-intensive collection and
labelling process of scans with rare artefacts. Second, we propose a large pool
of abstract and engineered image features developed to identify 9 different
artefacts for structural MRI. Finally, we use an artefact-based feature
selection block that, for each class of artefacts, finds the set of features
that provide the best classification performance. We performed validation
experiments on a large data set of scans with artificially-generated artefacts,
and in a multiple sclerosis clinical trial where real artefacts were identified
by experts, showing that the proposed pipeline outperforms traditional methods.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.02868v1,2022-06-06T19:47:29Z,2022-06-06T19:47:29Z,A Human-Centric Take on Model Monitoring,"Predictive models are increasingly used to make various consequential
decisions in high-stakes domains such as healthcare, finance, and policy. It
becomes critical to ensure that these models make accurate predictions, are
robust to shifts in the data, do not rely on spurious features, and do not
unduly discriminate against minority groups. To this end, several approaches
spanning various areas such as explainability, fairness, and robustness have
been proposed in recent literature. Such approaches need to be human-centered
as they cater to the understanding of the models to their users. However, there
is a research gap in understanding the human-centric needs and challenges of
monitoring machine learning (ML) models once they are deployed. To fill this
gap, we conducted an interview study with 13 practitioners who have experience
at the intersection of deploying ML models and engaging with customers spanning
domains such as financial services, healthcare, hiring, online retail,
computational advertising, and conversational assistants. We identified various
human-centric challenges and requirements for model monitoring in real-world
applications. Specifically, we found the need and the challenge for the model
monitoring systems to clarify the impact of the monitoring observations on
outcomes. Further, such insights must be actionable, robust, customizable for
domain-specific use cases, and cognitively considerate to avoid information
overload.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.02061v1,2022-06-04T22:09:34Z,2022-06-04T22:09:34Z,Low Power Neuromorphic EMG Gesture Classification,"EMG (Electromyograph) signal based gesture recognition can prove vital for
applications such as smart wearables and bio-medical neuro-prosthetic control.
Spiking Neural Networks (SNNs) are promising for low-power, real-time EMG
gesture recognition, owing to their inherent spike/event driven spatio-temporal
dynamics. In literature, there are limited demonstrations of neuromorphic
hardware implementation (at full chip/board/system scale) for EMG gesture
classification. Moreover, most literature attempts exploit primitive SNNs based
on LIF (Leaky Integrate and Fire) neurons. In this work, we address the
aforementioned gaps with following key contributions: (1) Low-power, high
accuracy demonstration of EMG-signal based gesture recognition using
neuromorphic Recurrent Spiking Neural Networks (RSNN). In particular, we
propose a multi-time scale recurrent neuromorphic system based on special
double-exponential adaptive threshold (DEXAT) neurons. Our network achieves
state-of-the-art classification accuracy (90%) while using ~53% lesser neurons
than best reported prior art on Roshambo EMG dataset. (2) A new multi-channel
spike encoder scheme for efficient processing of real-valued EMG data on
neuromorphic systems. (3) Unique multi-compartment methodology to implement
complex adaptive neurons on Intel's dedicated neuromorphic Loihi chip is shown.
(4) RSNN implementation on Loihi (Nahuku 32) achieves significant
energy/latency benefits of ~983X/19X compared to GPU for batch size as 50.",arxiv,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
