id,datePublished,description,journals,publisher,title,doi,downloadUrl,database,query_name,query_value
201404438,2019-01-01T00:00:00,"There is currently great interest in applying neural networks to prediction tasks in medicine. It is important for predictive models to be able to use survival data, where each patient has a known follow-up time and event/censoring indicator. This avoids information loss when training the model and enables generation of predicted survival curves. In this paper, we describe a discrete-time survival model that is designed to be used with neural networks, which we refer to as Nnet-survival. The model is trained with the maximum likelihood method using mini-batch stochastic gradient descent (SGD). The use of SGD enables rapid convergence and application to large datasets that do not fit in memory. The model is flexible, so that the baseline hazard rate and the effect of the input data on hazard probability can vary with follow-up time. It has been implemented in the Keras deep learning framework, and source code for the model and several examples is available online. We demonstrate the performance of the model on both simulated and real data and compare it to existing models Cox-nnet and Deepsurv","[{'title': 'PeerJ', 'identifiers': ['issn:2167-8359', '2167-8359']}]",'PeerJ',A scalable discrete-time survival model for neural networks,10.7717/peerj.6257,https://core.ac.uk/download/201404438.pdf,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
428894003,2019-01-01T00:00:00,"1: ESGE suggests that high definition endoscopy, and dye or virtual chromoendoscopy, as well as add-on devices, can be used in average risk patients to increase the endoscopist's adenoma detection rate. However, their routine use must be balanced against costs and practical considerations.Weak recommendation, high quality evidence. 2: ESGE recommends the routine use of high definition systems in individuals with Lynch syndrome.Strong recommendation, high quality evidence. 3: ESGE recommends the routine use, with targeted biopsies, of dye-based pancolonic chromoendoscopy or virtual chromoendoscopy for neoplasia surveillance in patients with long-standing colitis.Strong recommendation, moderate quality evidence. 4: ESGE suggests that virtual chromoendoscopy and dye-based chromoendoscopy can be used, under strictly controlled conditions, for real-time optical diagnosis of diminutive (</= 5 mm) colorectal polyps and can replace histopathological diagnosis. The optical diagnosis has to be reported using validated scales, must be adequately photodocumented, and can be performed only by experienced endoscopists who are adequately trained, as defined in the ESGE curriculum, and audited.Weak recommendation, high quality evidence. 5: ESGE recommends the use of high definition white-light endoscopy in combination with (virtual) chromoendoscopy to predict the presence and depth of any submucosal invasion in nonpedunculated colorectal polyps prior to any treatment. Strong recommendation, moderate quality evidence. 6: ESGE recommends the use of virtual or dye-based chromoendoscopy in addition to white-light endoscopy for the detection of residual neoplasia at a piecemeal polypectomy scar site. Strong recommendation, moderate quality evidence. 7: ESGE suggests the possible incorporation of computer-aided diagnosis (detection and characterization of lesions) to colonoscopy, if acceptable and reproducible accuracy for colorectal neoplasia is demonstrated in high quality multicenter in vivo clinical studies. Possible significant risks with implementation, specifically endoscopist deskilling and over-reliance on artificial intelligence, unrepresentative training datasets, and hacking, need to be considered. Weak recommendation, low quality evidence",,'Georg Thieme Verlag KG',Advanced imaging for detection and differentiation of colorectal neoplasia: European Society of Gastrointestinal Endoscopy (ESGE) Guideline - Update 2019,10.1055/a-1031-7657,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
304693960,2020-01-01T00:00:00,Fault detection and fault diagnosis are crucial subsystems to be integrated within the control architecture of modern industrial processes to ensure high quality standards. In this paper we present a two-stage unsupervised approach for fault detection and diagnosis in household appliances. In particular a suitable testing procedure has been implemented on a real industrial production line in order to extract the most meaningful features that allow to efficiently classify different types of fault by consecutively exploiting deep autoencoder neural network and k-means or hierarchical clustering techniques,,,A deep learning unsupervised approach for fault diagnosis of household appliances,,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
475059757,2021-07-01T00:00:00,"Electronic health records (EHRs) have been widely adopted in recent years, but often include a high proportion of missing data, which can create difficulties in implementing machine learning and other tools of personalized medicine. Completed datasets are preferred for a number of analysis methods, and successful imputation of missing EHR data can improve interpretation and increase our power to predict health outcomes. However, use of the most popular imputation methods mainly require scripting skills, and are implemented using various packages and syntax. Thus, the implementation of a full suite of methods is generally out of reach to all except experienced data scientists. Moreover, imputation is often considered as a separate exercise from exploratory data analysis, but should be considered as art of the data exploration process. We have created a new graphical tool, ImputEHR, that is based on a Python base and allows implementation of a range of simple and sophisticated (e.g., gradient-boosted tree-based and neural network) data imputation approaches. In addition to imputation, the tool enables data exploration for informed decision-making, as well as implementing machine learning prediction tools for response data selected by the user. Although the approach works for any missing data problem, the tool is primarily motivated by problems encountered for EHR and other biomedical data. We illustrate the tool using multiple real datasets, providing performance measures of imputation and downstream predictive analysis","[{'title': 'Frontiers in Genetics', 'identifiers': ['1664-8021', 'issn:1664-8021']}]",'Frontiers Media SA',ImputEHR: A Visualization Tool of Imputation for the Prediction of Biomedical Data,10.3389/fgene.2021.691274,https://core.ac.uk/download/475059757.pdf,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
304119006,2019-01-01T00:00:00,"Prognostic Health Management (PHM) is a maintenance policy aimed at predicting the occurrence of a failure in components in order to minimize unexpected downtimes of complex systems and maximize their availability. Recent developments in condition monitoring (CM) techniques and Artificial Intelligence (AI) tools enabled the collection of a huge amount of data in real-time and its transformation into meaningful information that will support the maintenance decision-making process. The emerging Cyber-Physical Systems (CPS) technologies connect distributed physical systems with their virtual representations in the cyber computational world. The PHM assumes a key role in the implementation of CPS in manufacturing contexts, since it allows to keep CPS and its machines in proper conditions. On the other hand, CPS-based PHM provide an efficient solution to maximize availability of machines and production systems.
In this paper, evolving and unsupervised approaches for the implementation of PHM at a component level are described, which are able to process streaming data in real-time and with almost-zero prior knowledge about the monitored component. A case study from a real industrial context is presented. Different unsupervised and online anomaly detection methods are combined with evolving clustering models in order to detect anomalous behaviors in streaming vibration data and integrate the so-generated knowledge into supervised and adaptive models; then, the degradation model for each identified fault is built and the resulting RUL prediction model integrated into the online analysis. Supervised methods are applied to the same dataset, in batch mode, to validate the proposed procedure",,'Elsevier BV',Prognostic Health Management of Production Systems. New Proposed Approach and Experimental Evidences,10.1016/j.promfg.2020.01.333,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
490875871,2021-10-01T00:00:00,"The classic monitoring methods for detecting faults in automotive vehicles based on on-board diagnostics (OBD) are insufficient when diagnosing several mechanical failures. Other sensing techniques present drawbacks such as high invasiveness and limited physical range. The present work presents a fully noninvasive system for fault detection and isolation in internal combustion engines through sound signals processing. An acquisition system was developed, whose data are transmitted to a smartphone in which the signal is processed, and the user has access to the information. A study of the chaotic behavior of the vehicle was carried out, and the feasibility of using fractal dimensions as a tool to diagnose engine misfire and problems in the alternator belt was verified. An artificial neural network was used for fault classification using the fractal dimension data extracted from the sound of the engine. For comparison purposes, a strategy based on wavelet multiresolution analysis was also implemented. The proposed solution allows a diagnosis without having any contact with the vehicle, with low computational cost, without the need for installing sensors, and in real time. The system and method were validated through experimental tests, with a success rate of 99% for the faults under consideration","[{'title': 'Sensors', 'identifiers': ['issn:1424-8220', '1424-8220']}]",'MDPI AG',Noninvasive Methods for Fault Detection and Isolation in Internal Combustion Engines Based on Chaos Analysis,10.3390/s21206925,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
440882566,2021-01-01T00:00:00,"An axial piston pump fault diagnosis algorithm based on empirical wavelet transform (EWT) and one-dimensional convolutional neural network (1D-CNN) is presented. The fault vibration signals and pressure signals of axial piston pump are taken as the analysis objects. Firstly, the original signals are decomposed by EWT, and each signal component is screened and reconstructed according to the energy characteristics. Then, the time-domain features and the frequency-domain features of the denoised signal are extracted, and features of time domain and frequency domain are fused. Finally, the 1D-CNN model was deployed to the WISE-Platform as a Service (WISE-PaaS) cloud platform to realize the real-time fault diagnosis of axial piston pump based on the cloud platform. Compared with ensemble empirical mode decomposition (EEMD) and complementary ensemble empirical mode decomposition (CEEMD), the results show that the axial piston pump fault diagnosis algorithm based on EWT and 1D-CNN has higher fault identification accuracy","[{'title': 'Shock and Vibration', 'identifiers': ['issn:1070-9622', '1875-9203', '1070-9622', 'issn:1875-9203']}]",'Hindawi Limited',Hydraulic Pump Fault Diagnosis Method Based on EWT Decomposition Denoising and Deep Learning on Cloud Platform,10.1155/2021/6674351,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
352152004,2019-03-20T00:00:00,"Robotic Process Automation (RPA) is a new wave of the future technologies. Robotic Process Automation is one of the most advanced technologies in the area of computers science, electronic and communications, mechanical engineering, and information technology. It is a combination of both hardware and software, networking and automation for doing things very simple. In this light, the research manuscript investigated the secondary data - which is available on google, academic and research databases. The investigation went for totally 6 months, i.e., 1-1-2018 to 30-6-2018. A very few empirical articles, white papers, blogs and were found RPA and came across to compose this research manuscript. This study is exploratory in nature because of the contemporary phenomenon. The keywords used in searching from the database were Robotic Process Automation, RPA, Robots, Artificial Intelligence, Blue Prism. The study finally discovered that Robots and Robotic Process Automation technologies are becoming compulsory as a part to do business operations in organizations across the globe. Robotic Process Automation can bring immediate value to the core business processes including employee payroll, employee status changes, new hire recruitment, and onboarding, accounts receivable and payable, invoice processing, inventory management, report creation, software installations, data migration, and vendor onboarding etc. to name a few applications. Besides, the Robotic Process Automation has abundant applications including healthcare and pharmaceuticals, financial services, outsourcing, retail, telecom, energy and utilities, real estate and FMCG and many more sectors. To put in the right place of RPA in business operations, their many allied technologies are working at the background level, artificial intelligence, machine learning, deep learning, data analytics, HR analytics, virtual reality (second life), home automation, blockchain technologies, 4D printing etc. Moreover, it covers the content of different start-ups companies and existing companies - their RPA applications used across the world. This manuscript will be a good guideline for the academicians, researchers, students, and practitioners to get an overall idea",,"Universidade de São Paulo. Faculdade de Economia, Administração e Contabilidade",The future digital work force: Robotic Process Automation (Rpa),,https://core.ac.uk/download/352152004.pdf,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
389983439,2020-05-06T00:00:00,"Блокчейн – це відкритий розподілений реєстр, яким користуються усі користувачі в мережі.Штучний інтелект – це один з найперспективніших напрямків комп'ютерних наук, який вивчає методи розв'язання задач, для яких не існує способів вирішення. Блокчейн має чимало слабких місць, в тому числі з точки зору безпеки, масштабованості і ефективності, а штучний інтелект, в свою чергу, страждає від проблем, пов'язаних з можливістю порушення приватності, а також з відсутністю довіри і можливості пояснити принцип дії. Об'єднання цих двох технологій, схоже, неминуче - вони могли б взаємно доповнити один одного для створення принципово нового покоління цифрових систем.Сombination of blockchain and artificial intelligence  technology for improvement data clarity and privacy  Blockchain - a chain of custody of registrations, yakimit to corrode beyond the years of usa by the corridors to the extent. As a rule, there is a real basis for a new server-free internet technology, which is the basis for a new serverless internet technology.  And particular intellect - as if it were a la carte, like a software program or a machine and the manifestations of ""intellectual"" health",,Institute of telecommunications Igor Sikorsky Kyiv Polytechnic Institute,ПОЄДНАННЯ ТЕХНОЛОГІЙ БЛОКЧЕЙН ТА ШТУЧНОГО ІНТЕЛЕКТУ ДЛЯ ПОКРАЩЕННЯ ПРОЗОРОСТІ ТА ПРИВАТНОСТІ ДАНИX,,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
491329314,2021-08-11T19:44:40,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying
and mining video event patterns. This paper details GNOSIS, an
event processing platform to perform near-real-time video event
detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices
and can be deployed at multiple nodes. GNOSIS uses a declarative
query-driven approach where users can write customize queries
for spatiotemporal video event reasoning. The system converts the
incoming video streams into a continuous evolving graph stream
using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS
can perform both stateful and stateless video event matching. To
improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy
efficiency, and content-driven windows. This paper demonstrates
the Occupational Health and Safety query use cases to show the
GNOSIS efficacyThis work was supported with the financial support of the Science
Foundation Ireland (SFI) grant SFI/12/RC/2289_P2.peer-reviewe","[{'title': 'Proceedings of the VLDB Endowment', 'identifiers': ['issn:2150-8097', '2150-8097']}]",'VLDB Endowment',Query-driven video event processing for the internet of multimedia things,10.14778/3476311.3476360,https://core.ac.uk/download/491329314.pdf,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
