id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.eswa.2022.117634,Journal,Expert Systems with Applications,scopus,2022-10-15,sciencedirect,RADIS: A real-time anomaly detection intelligent system for fault diagnosis of marine machinery,https://api.elsevier.com/content/abstract/scopus_id/85131074045,"By enhancing data accessibility, the implementation of data-driven models has been made possible to empower strategies in relation to O&M activities. Such models have been extensively applied to perform anomaly detection tasks, with the express purpose of detecting data patterns that deviate significantly from normal operational behaviour. Due to its preeminent importance in the maritime industry to adequately identify the behaviour of marine systems, the Real-time Anomaly Detection Intelligent System (RADIS) framework, constituted by a Long Short-Term Memory-based Variational Autoencoder in tandem with multi-level Otsu’s thresholding, is proposed. RADIS aims to address the current gaps identified within the maritime industry in relation to data-driven model applications for enabling smart maintenance. To assess the performance of such a framework, a case study on a total of 14 parameters obtained from sensors installed on a diesel generator of a tanker ship is introduced to highlight the implementation of RADIS. Results demonstrated the capability of RADIS to be part of a diagnostic analytics tool that will promote the implementation of smart maintenance within the maritime industry, as RADIS detected an average of 92.5% of anomalous instances in the presented case study.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.bios.2022.114475,Journal,Biosensors and Bioelectronics,scopus,2022-10-01,sciencedirect,Biosensor prototype for rapid detection and quantification of DNase activity,https://api.elsevier.com/content/abstract/scopus_id/85132387568,"DNases are enzymes that cleave phosphodiesteric bonds of deoxyribonucleic acid molecules and are found everywhere in nature, especially in bodily fluids, i.e., saliva, blood, or sweat. Rapid and sensitive detection of DNase activity is highly important for quality control in the pharmaceutical and biotechnology industries. For clinical diagnostics, recent reports indicate that increased DNase activity could be related to various diseases, such as cancers. In this paper, we report a new bioelectronic device for the determination of nuclease activity in various fluids. The system consists of a sensor electrode, a custom design DNA target to maximize the DNase cleavage rate, a signal analysis algorithm, and supporting electronics. The developed sensor enables the determination of DNase activity in the range of 3.4 × 10−4 – 3.0 × 10−2 U mL−1 with a limit of detection of up to 3.4 × 10−4 U mL−1. The sensor was tested by measuring nuclease activity in real human saliva samples and found to demonstrate high accuracy and reproducibility compared to the industry standard DNaseAlert™️. Finally, the entire detection system was implemented as a prototype device system utilizing single-use electrodes, custom-made cells, and electronics. The developed technology can improve nuclease quality control processes in the pharmaceutical/biotechnology industry and provide new insights into the importance of nucleases for medical applications.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.future.2022.05.006,Journal,Future Generation Computer Systems,scopus,2022-10-01,sciencedirect,A multi-sensor architecture combining human pose estimation and real-time location systems for workflow monitoring on hybrid operating suites,https://api.elsevier.com/content/abstract/scopus_id/85130825694,"Despite the advancements to improve patient safety, a significant number of errors still occur in Operating Suites (OS). To improve medical decision-making and the resulting quality of care, it is essential to monitor and understand medical activities’ workflow and interactions. Although some strategies employ different sensor devices, their focus is not on generating complete workflow information. They only combine different data sources to generate their final output, lacking at least one piece of information from a workflow. To tackle this challenge, this paper presents 
                        
                     
 , a distributed architecture model for sensor data acquisition and processing. 
                        
                     
 ’s main contribution lies in its multi-sensor data fusion algorithms to extract a computational representation of activities in surgical procedures. In addition, 
                        
                     
 is flexible to accommodate different deployment configurations,combining depth cameras, Ultra-Wideband positioning systems,and deep learning-based human pose estimation (HPE) mechanisms. The workflow monitoring mechanism was deployed in an actual hybrid OS for an extensive evaluation of the proposal. Our experiments demonstrate that the architecture can capture the information required to monitor the surgical workflow. In particular, the proposed HPE methodology accurately detects the poses of medical staff members, with a maximum error of 5cm.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117356,Journal,Expert Systems with Applications,scopus,2022-10-01,sciencedirect,On the limits of Conditional Generative Adversarial Neural Networks to reconstruct the identification of inhabitants from IoT low-resolution thermal sensors,https://api.elsevier.com/content/abstract/scopus_id/85130365841,"One of the main objectives of smart homes is to facilitate daily life by increasing user comfort, with the potential to play a key role in revolutionizing healthcare for the elderly, the disabled and people with functional limitations. To achieve this end, smart homes will have to be able to distinguish the identity of users, their location and the activities they are performing, while also being implemented in a non-invasive way that protects the privacy of these users. Computer vision is one of the main technologies included in smart homes. However, there are drawbacks to traditional cameras, given their dependence on light and privacy-related concerns. Thermal cameras provide a solution, as they operate regardless of light conditions (e.g. at night) while respecting users’ privacy. In this work, image reconstruction and identification of inhabitants from facial images collected by low-resolution thermal sensors has been carried out by using Conditional Generative Adversarial Neural Networks (CGANs). The system has been implemented through an IoT device with raspberry Pi and dual-vision thermal and visible-spectrum sensors installed in a real smart home to automatically collect paired visible-spectrum and thermal images. Thus, different configurations of CGANs have been implemented and analyzed to achieve the following outcomes: (1) inhabitant identification (normal and masked face) with enhanced user privacy and (2) transfer from thermal to color images in the visible spectrum. Results show that the proposed CGAN achieves a recognition rate of 95% and 94% for uncovered and masked faces. This enables user identification without registering accurate facial expressions in the color image reconstruction, protecting user privacy. Furthermore, the developed system outperformed similar approaches using low-resolution datasets and has demonstrated that the accuracy of image reconstruction depends on the resolution of the input visible-spectrum images. In addition, a contribution to high-performance computing has been made by designing a CGAN that runs efficiently on multiple GPUs, achieving increased performance and response speed of the network, as well as applicability to larger problems.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117362,Journal,Expert Systems with Applications,scopus,2022-09-15,sciencedirect,Mobile and wearable sensors for data-driven health monitoring system: State-of-the-art and future prospect,https://api.elsevier.com/content/abstract/scopus_id/85129976791,"Mobile and wearable devices embedded with multiple sensors for health monitoring and disease diagnosis are growing fields with the potential to provide efficient means for remote health management. A sensor-based health monitoring system offers an essential mechanism for real-time diagnosis and management to detect/predict, recommend treatment and prevent the onset of diseases. This paper aims to synthesize the research efforts on mobile and wearable sensors for health monitoring. It will investigate sensors, components of health monitoring systems, major application areas, challenges, and solutions faced during the implementation of health monitoring systems by researchers and practitioners. It was observed that sensors embedded in mobile and wearable devices for health monitoring are broadly categorized into homogeneous, dual, and heterogeneous sensors. In health monitoring, heterogeneous sensor-based is widely implemented and the most effective due to its ability to combine multiple sensors from various domains. The fusion of multiple sensors provides reliability, credibility, and better accuracy for monitoring multiple health parameters. We observed that researchers follow established procedures such as data collection, data transmission, preprocessing, feature extraction and development, data analysis, and evaluation of different algorithms for implementation of the health monitoring system. Supervised machine learning algorithms such as support vector machine, decision tree, k-nearest neighbors, and deep learning methods were the most implemented methods, while accuracy was the favored evaluation measure for health monitoring. Generally, we found that a health monitoring system is implemented to resolve health issues in the areas of human activity and posture monitoring, sleep disorder, sleep stage detection, fall monitoring in the elderly, depression, and mood swing detection. Other important areas include Parkinson’s disease management, cardiac diseases monitoring, disease diagnosis, and well-being, and Corona virus detection and contact tracing to minimize infection rate. Furthermore, the review succinctly highlights various challenges impeding the development of sensor-based health monitoring systems with significant solutions that were recommended in the literature to ameliorate these challenges discussed. From the review, it can be acknowledged that various research efforts have been conducted to develop effective health monitoring systems, and many new systems have been implemented. However, there is still much work to be done which we have also discussed under future prospects.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.techfore.2022.121778,Journal,Technological Forecasting and Social Change,scopus,2022-09-01,sciencedirect,A metaverse assessment model for sustainable transportation using ordinal priority approach and Aczel-Alsina norms,https://api.elsevier.com/content/abstract/scopus_id/85132442768,"Metaverse comes from the meta-universe, and it is the integration of physical and digital space into a virtual universe. Metaverse technologies will change the transportation system as we know it. Preparations for the transition of the transportation systems into the world of metaverse are underway. This study considers four alternative metaverses: auto-driving algorithm testing for training autonomous driving artificial intelligence, public transportation operation and safety, traffic operation, and sharing economy applications to obtain sustainable transportation. These alternatives are evaluated on thirteen sub-criteria, grouped under four main aspects: efficiency, operation, social and health, and legislation and regulation. A novel Rough Aczel–Alsa (RAA) function and the Ordinal Priority Approach (OPA) method are used in the assessment model. We also present a case study to demonstrate the applicability and exhibit the efficacy of the assessment framework in prioritizing the metaverse implementation alternatives.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.neuroimage.2022.119348,Journal,NeuroImage,scopus,2022-09-01,sciencedirect,A benchmark for prediction of psychiatric multimorbidity from resting EEG data in a large pediatric sample,https://api.elsevier.com/content/abstract/scopus_id/85131691120,"Psychiatric disorders are among the most common and debilitating illnesses across the lifespan and begin usually during childhood and adolescence, which emphasizes the importance of studying the developing brain. Most of the previous pediatric neuroimaging studies employed traditional univariate statistics on relatively small samples. Multivariate machine learning approaches have a great potential to overcome the limitations of these approaches. On the other hand, the vast majority of existing multivariate machine learning studies have focused on differentiating between children with an isolated psychiatric disorder and typically developing children. However, this line of research does not reflect the real-life situation as the majority of children with a clinical diagnosis have multiple psychiatric disorders (multimorbidity), and consequently, a clinician has the task to choose between different diagnoses and/or the combination of multiple diagnoses. Thus, the goal of the present benchmark is to predict psychiatric multimorbidity in children and adolescents. For this purpose, we implemented two kinds of machine learning benchmark challenges: The first challenge targets the prediction of the seven most prevalent DSM-V psychiatric diagnoses for the available data set, of which each individual can exhibit multiple ones concurrently (i.e. multi-task multi-label classification). Based on behavioral and cognitive measures, a second challenge focuses on predicting psychiatric symptom severity on a dimensional level (i.e. multiple regression task). For the present benchmark challenges, we will leverage existing and future data from the biobank of the Healthy Brain Network (HBN) initiative, which offers a unique large-sample dataset (N = 2042) that provides a wide array of different psychiatric developmental disorders and true hidden data sets. Due to limited real-world practicability and economic viability of MRI measurements, the present challenge will permit only resting state EEG data and demographic information to derive predictive models. We believe that a community driven effort to derive predictive markers from these data using advanced machine learning algorithms can help to improve the diagnosis of psychiatric developmental disorders.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.jpowsour.2022.231582,Journal,Journal of Power Sources,scopus,2022-09-01,sciencedirect,Failure mode diagnosis in proton exchange membrane fuel cells using local electrochemical noise,https://api.elsevier.com/content/abstract/scopus_id/85131646698,"Early diagnosis of fuel cell failure modes is a very active research topic, as it improves robustness and durability of fuel cells used in commercial applications. The diagnosis method should be suited for being applied in real time, without interfering with the fuel cell operation, and it should be implemented using inexpensive hardware and light equipment. A novel method of failure diagnosis in PEM fuel cells, based on the analysis of local electrochemical noise, is proposed. Seven electrochemical noise signals are acquired in different parts of the cell, significantly increasing the information for an effective diagnosis, since previous studies have only analyzed a single signal from the electrochemical noise in the cell.
                  Each electrochemical noise signal is frequency decomposed using wavelet transform to create a characteristic pattern. These patterns are used in a deep learning neural network to perform the cell state classification. The proposed method has been successfully applied to the classification of 26 different states achieved in experiments where the following factors have been varied: (1) average current density; (2) airflow; (3) drying; and (4) air pressure. The mean successful identification rate of the 26 states is above 85%. The proposed diagnosis method is well-suited for real-time diagnosis, and it can be implemented using lightweight and inexpensive hardware.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117104,Journal,Expert Systems with Applications,scopus,2022-09-01,sciencedirect,MFCC-based descriptor for bee queen presence detection,https://api.elsevier.com/content/abstract/scopus_id/85129475070,"Monitoring and detecting hive health are essential for the development of ecosystem conservation strategies and sustainable beekeeping. The absence of the queen bee is a warning signal and indicates an anomalous situation. The literature contains promising machine learning and deep learning techniques for detecting the presence of the queen bee through the spectral temporal analysis of hive sounds. Despite works that consider handcrafted and deep features to describe the problem, there is a lack of feature selection to evaluate which descriptors could better discriminate the presence/absence of queen bee. Additionally, deep learning techniques lead to high-dimension descriptors and a high computational cost. In this context, we explore feature extraction and selection techniques to obtain efficient and compact descriptors that can perform classification in a real-time monitoring scenario. The results reveal that combining cepstral, time, and frequency features achieve 0.99 for accuracy, kappa, area under curve, specificity, and sensibility metrics, outperforming most state-of-the-art models for queen bee presence classification, including convolution neural network models. The feature selection step notably reduces the descriptor size and maintains classification performance. The 15 and 31 mel-frequency cepstrum coefficients descriptors have a low dimension and are based on only one feature, which reduces the number of calculation and library dependencies. Given this, we believe that our findings can support deployment in low-computational devices for non-intrusive and real-time hive health diagnoses.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117026,Journal,Expert Systems with Applications,scopus,2022-09-01,sciencedirect,Improving chronic disease management for children with knowledge graphs and artificial intelligence,https://api.elsevier.com/content/abstract/scopus_id/85128476469,"Chronic diseases for children pose serious challenges from a health management perspective. When not implemented in a well-designed manner, an inefficient management platform can have a significant negative impact on patients and the utilization of health care resources. Innovations of recent years in information technology, artificial intelligence and machine learning provide possibilities to design and implement knowledge-based systems and platforms that follow-up, monitor and advise child patients with a chronic disease in an automated manner. In this article we propose the Artificial Intelligence Chronic Management System that combines artificial intelligence, knowledge graph, big data and internet of things in a platform to offer an optimized solution from the perspective of treatment and utilization of resources. The system includes patient and hospital clients, data storage and analytic tools for decision support relying on AI-based services. We illustrate the functionality of the system through different situations frequently occurring in pediatric wards. To assess the feasibility of the AI component, we utilize real life health care data from a hospital in China to develop a classification model for patients with asthma. To provide a more qualitative assessment at the same time, we discuss how the Artificial Intelligence Chronic Management System conforms to the requirements set forth by the standard Chronic Care Model.",health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
