paperId,url,title,abstract,venue,year,externalIds.DOI,database,query_name,query_value
a812368fe1d4a186322bf72a6d07e1cf60067234,https://www.semanticscholar.org/paper/a812368fe1d4a186322bf72a6d07e1cf60067234,Gaussian processes for modeling of facial expressions,"Automated analysis of facial expressions has been gaining significant attention over the past years. This stems from the fact that it constitutes the primal step toward developing some of the next-generation computer technologies that can make an impact in many domains, ranging from medical imaging and health assessment to marketing and education. No matter the target application, the need to deploy systems under demanding, realworld conditions that can generalize well across the population is urgent. Hence, careful consideration of numerous factors has to be taken prior to designing such a system. The work presented in this thesis focuses on tackling two important problems in automated analysis of facial expressions: (i) view-invariant facial expression analysis; (ii) modeling of the structural patterns in the face, in terms of well coordinated facial muscle movements. Driven by the necessity for efficient and accurate inference mechanisms we explore machine learning techniques based on the probabilistic framework of Gaussian processes (GPs). Our ultimate goal is to design powerful models that can efficiently handle imagery with spontaneously displayed facial expressions, and explain in detail the complex configurations behind the human face in real-world situations. To effectively decouple the head pose and expression in the presence of large outof-plane head rotations we introduce a manifold learning approach based on multi-view learning strategies. Contrary to the majority of existing methods that typically treat the numerous poses as individual problems, in this model we first learn a discriminative manifold shared by multiple views of a facial expression. Subsequently, we perform facial expression classification in the expression manifold. Hence, the pose normalization problem is solved by aligning the facial expressions from different poses in a common latent space. We demonstrate that the recovered manifold can efficiently generalize to various poses and expressions even from a small amount of training data, while also being largely robust to corrupted image features due to illumination variations. State-of-the-art performance is achieved in the task of facial expression classification of basic emotions. The methods that we propose for learning the structure in the configuration of the muscle movements represent some of the first attempts in the field of analysis and intensity estimation of facial expressions. In these models, we extend our multi-view approach to exploit relationships not only in the input features but also in the multi-output labels. The structure of the outputs is imposed into the recovered manifold either from heuristically defined hard constraints, or in an auto-encoded manner, where the structure is learned automatically from the input data. The resulting models are proven to be robust to data with imbalanced expression categories, due to our proposed Bayesian learning of the target manifold. We also propose a novel regression approach based on product of GP experts where we take into account people’s individual expressiveness in order to adapt the learned models on each subject. We demonstrate the superior performance of our proposed models on the task of facial expression recognition and intensity estimation.",,2016,10.25560/44106,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
53c9f3c34d8481adaf24df3b25581ccf1bc53f5c,https://www.semanticscholar.org/paper/53c9f3c34d8481adaf24df3b25581ccf1bc53f5c,Physics-Informed Machine Learning,"Traditional lithium-ion (Li-ion) battery state of health (SOH) estimation methodologies that focused on estimating present cell capacity do not provide sufficient information to determine the cell’s lifecycle stage or value in second-life use. Quantifying the underlying degradation modes that cause capacity fade can give further insight into the electrochemical state of the cell and provide more detailed health information such as the remaining active materials and lithium inventory. However, current physics-based methods for degradation diagnostics require long-term cycling data and are computationally expensive to deploy locally on a device. To improve upon current methods, we propose and extensively test two light-weight physics-informed machine learning methods for online estimating the capacity of a battery cell and diagnosing its primary degradation modes using only limited early-life experimental degradation data. To enable late-life prediction (e.g. > 1.5 years) without the use of late-life experimental data, each of the methods is trained using simulation data from a physics-based half-cell model and early-life (e.g. < 3 months) degradation data obtained from cycling tests. The proposed methods are comprehensively evaluated using data from a long-term (3.5 years) cycling experiment of 16 implantable-grade Li-ion cells cycled under two temperatures and C-rates. Results from a four-fold cross-validation study show that the proposed physics-informed machine learning models are capable of improving the estimation accuracy of cell capacity and the state of three primary degradation modes by over 50% compared to a purely data-driven approach. Additionally, this work provides insights into the role of temperature and C-rate in cell degradation. loss in lithiated active material in one of the electrodes (LAM PE/NE,li ) and 10% loss of lithium due to the solid electrolyte interface (SEI) growth (pure LLI), the total loss of lithium inventory quantified by the LII parameter is 20%, and the total LAM PE/NE is 10%. The LAM parameter used throughout this study is used to quantify delithiated LAM, whereas lithiated LAM can be quantified by a linear combination of both LAM and LII. Practically, the increase of LLI results from the accumulation of parasitic reactions in the cell that contribute to lithium inventory loss (e.g., SEI growth, electrolyte decomposition, and delamination of lithiated electrode materials).",,2021,,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
7dde3d8ba6115f0bce116c2f661b76d5d97ddec7,https://www.semanticscholar.org/paper/7dde3d8ba6115f0bce116c2f661b76d5d97ddec7,CLOUD BASED MODEL FOR SHARING PATIENT’S HEALTH INFORMATION ACROSS HOSPITALS & ANALYSIS USING MACHINE LEARNING,"With nationwide efforts to improve the quality, safety and efficiency of medical services, the demand for electronic health information exchange between medical professionals is growing. Medical Facility in our country has grown leaps and bounds in past 3 decades, especially with the availability of private hospitals and efforts of Government. In these past decades the cost of medical facility has also grown 100 times in this duration, every time a patient is referred to a particular hospital, he has to again go on for new test along with medical prescriptions, such actions are repeated for every hospital visit, which involves time and cost both. In this work we are propose a model to deploy Hospital Management ERP over cloud, with storage of all the records of patient including his prescriptions & Lab reports, for any time accessibility of the same. So that can reduce the cost of treatment for the patient and accessibility of the same across all hospitals. We also implement Machine Learning as a tool to analyze the health improvement of the patients, tracking their medical history and also to analyze the performance of hospitals & doctors. By accomplishing this work, we aim at providing a solution to Indian Medical Industry and Government of India, in line with HIPAA act of USA, which reduces cost of Treatment, Ease of access and regulation & monitoring of health care.",,2021,,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
19cdfa05880bcee1bdcd8aa80cc20eb2c74c625c,https://www.semanticscholar.org/paper/19cdfa05880bcee1bdcd8aa80cc20eb2c74c625c,Safeguards for the use of artificial intelligence and machine learning in global health.,"Safeguards for the use of artificial intelligence and machine learning in global health Amy K Paul & Merrick Schaefer a United States Agency for International Development, 1300 Pennsylvania Ave NW, Washington, DC, 20004, United States of America (USA). b 1924 6th St NW, Washington, DC, 20001, USA. Correspondence to Amy K Paul (email: apaul@usaid.gov). (Submitted: 15 May 2019 – Revised version received: 17 September 2019 – Accepted: 18 November 2019 – Published online: 27 January 2020) The potential benefits of artificial intelligence and machine learning are gaining attention in public health as in other fields. With applications spanning clinical decision support to management of supply-chain systems, artificial intelligence-enabled technologies are poised to improve clinical care and strengthen health systems. Given the pace of progress in the application of such tools in advanced economies, we consider several challenges that lowand middle-income countries need to overcome to develop and deploy similar innovations. Health systems will have an important role in shaping the development of artificial intelligence-based tools and realizing their benefits. We argue that lower-resource countries will need to invest in improvements in data quality, improve equity in access to care, establish safeguards to minimize the harmful effects of bias and address supportive linkages within the health system. Without these developments, the benefits of the new technologies may fail to materialize, further exacerbating health disparities within and between highand low-income countries.",Bulletin of the World Health Organization,2020,10.2471/blt.19.237099,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
ca06b0887eebd4f48c7fcd361a3e73789d69a899,https://www.semanticscholar.org/paper/ca06b0887eebd4f48c7fcd361a3e73789d69a899,Re-identification of Health Data through Machine Learning,"Startups and large technology companies are working with companies in healthcare to research, create, and deploy machine learning healthcare solutions. The growth of machine learning healthcare solutions is increasing the risk of re-identification of health data, raising concerns for individual privacy. Differential privacy is one of the latest and most popular anonymization techniques used on machine learning data to guarantee data privacy but is presenting challenges when applied to health data. The Health Insurance Portability and Accountability Act (HIPAA) has loopholes and does not address the use of machine learning on health data. This paper will explain why HIPAA needs to be amended to reduce the risk of re-identification due to the growth of machine learning in healthcare and the challenges presented in applying differential privacy. The paper will also discuss three possible proposals to amend HIPAA to reduce the risk of re-identification.",,2020,10.2139/ssrn.3794927,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
3c53da3f904e3328111f516468cdd7b67aa67531,https://www.semanticscholar.org/paper/3c53da3f904e3328111f516468cdd7b67aa67531,Predicting CoVID-19 community mortality risk using machine learning and development of an online prognostic tool,"Background The recent pandemic of CoVID-19 has emerged as a threat to global health security. There are very few prognostic models on CoVID-19 using machine learning. Objectives To predict mortality among confirmed CoVID-19 patients in South Korea using machine learning and deploy the best performing algorithm as an open-source online prediction tool for decision-making. Materials and Methods Mortality for confirmed CoVID-19 patients (n = 3,524) between January 20, 2020 and May 30, 2020 was predicted using five machine learning algorithms (logistic regression, support vector machine, K nearest neighbor, random forest and gradient boosting). The performance of the algorithms was compared, and the best performing algorithm was deployed as an online prediction tool. Results The logistic regression algorithm was the best performer in terms of discrimination (area under ROC curve = 0.830), calibration (Matthews Correlation Coefficient = 0.433; Brier Score = 0.036) and. The best performing algorithm (logistic regression) was deployed as the online CoVID-19 Community Mortality Risk Prediction tool named CoCoMoRP (https://ashis-das.shinyapps.io/CoCoMoRP/). Conclusions We describe the development and deployment of an open-source machine learning tool to predict mortality risk among CoVID-19 confirmed patients using publicly available surveillance data. This tool can be utilized by potential stakeholders such as health providers and policymakers to triage patients at the community level in addition to other approaches.",PeerJ,2020,10.7717/peerj.10083,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
1a4c2a129e8bef923dd01719f78be4609720f718,https://www.semanticscholar.org/paper/1a4c2a129e8bef923dd01719f78be4609720f718,Quantifying representativeness in randomized clinical trials using machine learning fairness metrics,"Objective We formulate population representativeness of randomized clinical trials (RCTs) as a machine learning (ML) fairness problem, derive new representation metrics, and deploy them in visualization tools which help users identify subpopulations that are underrepresented in RCT cohorts with respect to national, community-based or health system target populations. Materials and Methods We represent RCT cohort enrollment as random binary classification fairness problems, and then show how ML fairness metrics based on enrollment fraction can be efficiently calculated using easily computed rates of subpopulations in RCT cohorts and target populations. We propose standardized versions of these metrics and deploy them in an interactive tool to analyze three RCTs with respect to type-2 diabetes and hypertension target populations in the National Health and Nutrition Examination Survey (NHANES). Results We demonstrate how the proposed metrics and associated statistics enable users to rapidly examine representativeness of all subpopulations in the RCT defined by a set of categorical traits (e.g., sex, race, ethnicity, smoker status, and blood pressure) with respect to target populations. Discussion The normalized metrics provide an intuitive standardized scale for evaluating representation across subgroups, which may have vastly different enrollment fractions and rates in RCT study cohorts. The metrics are beneficial complements to other approaches (e.g., enrollment fractions and GIST) used to identify generalizability and health equity of RCTs. Conclusion By quantifying the gaps between RCT and target populations, the proposed methods can support generalizability evaluation of existing RCT cohorts, enrollment target decisions for new RCTs, and monitoring of RCT recruitment, ultimately contributing to more equitable public health outcomes.",medRxiv,2021,10.1093/jamiaopen/ooab077,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
987c58f7c3f9a8c208f91d72ed2f0db6c14ff9ad,https://www.semanticscholar.org/paper/987c58f7c3f9a8c208f91d72ed2f0db6c14ff9ad,Managing air quality: Predicting exceedances of legal limits for PM10 and O 3 concentration using machine learning methods,"Air pollution imposes great costs on productivity, safety and health of individuals and dictates necessity of a proactive air pollution management. This, in turn, requires powerful tools for air quality modeling. In this article we develop a two‐stage procedure for predicting exceedances of the EU legal limits for PM10 and O 3 concentrations using hourly data. Within the first stage we deploy machine learning methods to produce accurate 24‐h‐ahead forecasts of hourly pollutant concentrations at seven specific locations in the cities of Augsburg and Munich, Germany. The best performance was shown by the Stochastic Gradient Boosting Model—an ensemble tree‐based method, especially convenient because of its computational efficiency and robustness to overfitting. Its predictive ability was largely superior to that reported by similar studies. In the second stage, the hourly forecasts were used to predict the exceedances of the EU daily limits for PM10 and O 3 concentrations. For both pollutants we could achieve the average probability of exceedances detection above 80%, while keeping the probability of false alarms at a reasonably low level. Such satisfactory results show that our approach can be successfully applied to anticipate the shocks, which would allow authorities to manage them in the most effective manner.",Environmetrics,2021,10.1002/env.2707,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
22540193ef0f5c78577b9856a6575c7873dfaa69,https://www.semanticscholar.org/paper/22540193ef0f5c78577b9856a6575c7873dfaa69,A Machine Learning Approach for Heart Attack Prediction,"A heart attack also known as cardiac arrest, diversify various conditions impacting the heart and became one of the chief-reason for death worldwide over the last few decades. Approximately, 31% of total deaths globally are due to CVDs. It constitutes the pinnacle of chronic processes which involve complex interactions between risk factors which can and cannot be improved. Most of the instances or cases of cardiovascular diseases can be allocated to revisable risk factors where most of the instances are considered preventable. ML became the enhancing approach for the evolution of predictive models in health care industries and was decided to test various algorithms to check what extent their prediction scores estimate or ameliorate upon the results acquired. Researchers deploy various machine learning and data mining techniques over a set of enormous data of cardiovascular patients to attain the prediction for heart attacks before their occurrence for helping healthcare industries and professionals. This research comprises various Supervised ML classifiers like, Gradient Boosting, Decision Tree, Random Forest and Logistic Regression that have been used to deploy a model for Myocardial Infarction prediction. It uses the existing datasets from the Framingham database and others from the database of the UCI Heart repository. This research intends to ideate the prediction for probabilities of occurrence of a heart attack in the patients. These classifiers have been deployed in pipeline approach of machine learning to attain the prediction using both ways i.e., without optimizations and feature transformations as well as vice-versa. The results impersonate that the Gradient Boosting classifier is achieving the highest accuracy score in such a way that prediction used by our model is of binary form in where 1 means a chance of heart attack and 0 means no chance. Some of the most influential attributes are chest pain type among which the typical angina is the most influential and asymptotic chest pain is least, cholesterol level in which the level greater than 200mg/dl are more prone, increased heart rate, thal, and age. It is concluded that premature heart attack is preventable in 80% of the total cases just by using a healthy diet along with regular exercises and not using tobacco products also the person who drinks more than 5 glasses of water daily are less likely to develop attacks. The medical checkup of Blood-pressure level, cholesterol level and heart rate on daily basis along with meditation can help you prevent the major heart attacks.",International Journal of Engineering and Advanced Technology,2021,10.35940/ijeat.f3043.0810621,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
ffa5e04a55da0cfd151053beeca3d470d26cb35d,https://www.semanticscholar.org/paper/ffa5e04a55da0cfd151053beeca3d470d26cb35d,Problem Formulation Integrating Physics-Based Modelling and Machine Learning for Degradation Diagnostics of Lithium-Ion Batteries,"Traditional lithium-ion (Li-ion) battery state of health (SOH) estimation methodologies that focused on estimating present cell capacity do not provide sufficient information to determine the cell’s lifecycle stage or value in second-life use. Quantifying the underlying degradation modes that cause capacity fade can give further insight into the electrochemical state of the cell and provide more detailed health information such as the remaining active materials and lithium inventory. However, current physics-based methods for degradation diagnostics require long-term cycling data and are computationally expensive to deploy locally on a device. To improve upon current methods, we propose and extensively test two light-weight physics-informed machine learning methods for online estimating the capacity of a battery cell and diagnosing its primary degradation modes using only limited early-life experimental degradation data. To enable late-life prediction (e.g. > 1.5 years) without the use of late-life experimental data, each of the methods is trained using simulation data from a physics-based half-cell model and earlylife (e.g. < 3 months) degradation data obtained from cycling tests. The proposed methods are comprehensively evaluated using data from a long-term (3.5 years) cycling experiment of 16 implantable-grade Li-ion cells cycled under two temperatures and C-rates. Results from a four-fold cross-validation study show that the proposed physics-informed machine learning models are capable of improving the estimation accuracy of cell capacity and the state of three primary degradation modes by over 50% compared to a purely data-driven approach. Additionally, this work provides insights into the role of temperature and C-rate in cell degradation.",,2021,,semantic_scholar,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
