id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.05164v1,2022-07-11T19:58:56Z,2022-07-11T19:58:56Z,"""Why do so?"" -- A Practical Perspective on Machine Learning Security","Despite the large body of academic work on machine learning security, little
is known about the occurrence of attacks on machine learning systems in the
wild. In this paper, we report on a quantitative study with 139 industrial
practitioners. We analyze attack occurrence and concern and evaluate
statistical hypotheses on factors influencing threat perception and exposure.
Our results shed light on real-world attacks on deployed machine learning. On
the organizational level, while we find no predictors for threat exposure in
our sample, the amount of implement defenses depends on exposure to threats or
expected likelihood to become a target. We also provide a detailed analysis of
practitioners' replies on the relevance of individual machine learning attacks,
unveiling complex concerns like unreliable decision making, business
information leakage, and bias introduction into models. Finally, we find that
on the individual level, prior knowledge about machine learning security
influences threat perception. Our work paves the way for more research about
adversarial machine learning in practice, but yields also insights for
regulation and auditing.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.03066v1,2022-07-07T03:23:04Z,2022-07-07T03:23:04Z,Device-Cloud Collaborative Recommendation via Meta Controller,"On-device machine learning enables the lightweight deployment of
recommendation models in local clients, which reduces the burden of the
cloud-based recommenders and simultaneously incorporates more real-time user
features. Nevertheless, the cloud-based recommendation in the industry is still
very important considering its powerful model capacity and the efficient
candidate generation from the billion-scale item pool. Previous attempts to
integrate the merits of both paradigms mainly resort to a sequential mechanism,
which builds the on-device recommender on top of the cloud-based
recommendation. However, such a design is inflexible when user interests
dramatically change:
  the on-device model is stuck by the limited item cache while the cloud-based
recommendation based on the large item pool do not respond without the new
re-fresh feedback.
  To overcome this issue, we propose a meta controller to dynamically manage
the collaboration between the on-device recommender and the cloud-based
recommender, and introduce a novel efficient sample construction from the
causal perspective to solve the dataset absence issue of meta controller. On
the basis of the counterfactual samples and the extended training, extensive
experiments in the industrial recommendation scenarios show the promise of meta
controller in the device-cloud collaboration.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.01595v1,2022-07-04T17:27:03Z,2022-07-04T17:27:03Z,"Deep Learning for Short-term Instant Energy Consumption Forecasting in
  the Manufacturing Sector","Electricity is a volatile power source that requires great planning and
resource management for both short and long term. More specifically, in the
short-term, accurate instant energy consumption forecasting contributes greatly
to improve the efficiency of buildings, opening new avenues for the adoption of
renewable energy. In that regard, data-driven approaches, namely the ones based
on machine learning, are begin to be preferred over more traditional ones since
they provide not only more simplified ways of deployment but also state of the
art results. In that sense, this work applies and compares the performance of
several deep learning algorithms, LSTM, CNN, mixed CNN-LSTM and TCN, in a real
testbed within the manufacturing sector. The experimental results suggest that
the TCN is the most reliable method for predicting instant energy consumption
in the short-term.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.01219v1,2022-07-04T06:08:01Z,2022-07-04T06:08:01Z,"Masked Self-Supervision for Remaining Useful Lifetime Prediction in
  Machine Tools","Prediction of Remaining Useful Lifetime(RUL) in the modern manufacturing and
automation workplace for machines and tools is essential in Industry 4.0. This
is clearly evident as continuous tool wear, or worse, sudden machine breakdown
will lead to various manufacturing failures which would clearly cause economic
loss. With the availability of deep learning approaches, the great potential
and prospect of utilizing these for RUL prediction have resulted in several
models which are designed driven by operation data of manufacturing machines.
Current efforts in these which are based on fully-supervised models heavily
rely on the data labeled with their RULs. However, the required RUL prediction
data (i.e. the annotated and labeled data from faulty and/or degraded machines)
can only be obtained after the machine breakdown occurs. The scarcity of broken
machines in the modern manufacturing and automation workplace in real-world
situations increases the difficulty of getting sufficient annotated and labeled
data. In contrast, the data from healthy machines is much easier to be
collected. Noting this challenge and the potential for improved effectiveness
and applicability, we thus propose (and also fully develop) a method based on
the idea of masked autoencoders which will utilize unlabeled data to do
self-supervision. In thus the work here, a noteworthy masked self-supervised
learning approach is developed and utilized. This is designed to seek to build
a deep learning model for RUL prediction by utilizing unlabeled data. The
experiments to verify the effectiveness of this development are implemented on
the C-MAPSS datasets (which are collected from the data from the NASA turbofan
engine). The results rather clearly show that our development and approach here
perform better, in both accuracy and effectiveness, for RUL prediction when
compared with approaches utilizing a fully-supervised model.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.15285v1,2022-06-30T13:44:48Z,2022-06-30T13:44:48Z,"Machine learning for automated quality control in injection moulding
  manufacturing","Machine learning (ML) may improve and automate quality control (QC) in
injection moulding manufacturing. As the labelling of extensive, real-world
process data is costly, however, the use of simulated process data may offer a
first step towards a successful implementation. In this study, simulated data
was used to develop a predictive model for the product quality of an injection
moulded sorting container. The achieved accuracy, specificity and sensitivity
on the test set was $99.4\%$, $99.7\%$ and $94.7\%$, respectively. This study
thus shows the potential of ML towards automated QC in injection moulding and
encourages the extension to ML models trained on real-world data.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11618v1,2022-06-23T11:02:10Z,2022-06-23T11:02:10Z,Learning to Use Local Cuts,"An essential component in modern solvers for mixed-integer (linear) programs
(MIPs) is the separation of additional inequalities (cutting planes) to tighten
the linear programming relaxation. Various algorithmic decisions are necessary
when integrating cutting plane methods into a branch-and-bound (B&B) solver as
there is always the trade-off between the efficiency of the cuts and their
costs, given that they tend to slow down the solution time of the relaxation.
One of the most crucial questions is: Should cuts only be generated globally at
the root or also locally at nodes of the tree? We address this question by a
machine learning approach for which we train a regression forest to predict the
speed-up (or slow-down) provided by using local cuts. We demonstrate with an
open implementation that this helps to improve the performance of the FICO
Xpress MIP solver on a public test set of general MIP instances. We further
report on the impact of a practical implementation inside Xpress on a large,
diverse set of real-world industry MIPs.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11338v1,2022-06-22T19:33:21Z,2022-06-22T19:33:21Z,Synthetic Data-Based Simulators for Recommender Systems: A Survey,"This survey aims at providing a comprehensive overview of the recent trends
in the field of modeling and simulation (M&S) of interactions between users and
recommender systems and applications of the M&S to the performance improvement
of industrial recommender engines. We start with the motivation behind the
development of frameworks implementing the simulations -- simulators -- and the
usage of them for training and testing recommender systems of different types
(including Reinforcement Learning ones). Furthermore, we provide a new
consistent classification of existing simulators based on their functionality,
approbation, and industrial effectiveness and moreover make a summary of the
simulators found in the research literature. Besides other things, we discuss
the building blocks of simulators: methods for synthetic data (user, item,
user-item responses) generation, methods for what-if experimental analysis,
methods and datasets used for simulation quality evaluation (including the
methods that monitor and/or close possible simulation-to-reality gaps), and
methods for summarization of experimental simulation results. Finally, this
survey considers emerging topics and open problems in the field.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.09707v1,2022-06-20T10:56:08Z,2022-06-20T10:56:08Z,The Role of Machine Learning in Cybersecurity,"Machine Learning (ML) represents a pivotal technology for current and future
information systems, and many domains already leverage the capabilities of ML.
However, deployment of ML in cybersecurity is still at an early stage,
revealing a significant discrepancy between research and practice. Such
discrepancy has its root cause in the current state-of-the-art, which does not
allow to identify the role of ML in cybersecurity. The full potential of ML
will never be unleashed unless its pros and cons are understood by a broad
audience.
  This paper is the first attempt to provide a holistic understanding of the
role of ML in the entire cybersecurity domain -- to any potential reader with
an interest in this topic. We highlight the advantages of ML with respect to
human-driven detection methods, as well as the additional tasks that can be
addressed by ML in cybersecurity. Moreover, we elucidate various intrinsic
problems affecting real ML deployments in cybersecurity. Finally, we present
how various stakeholders can contribute to future developments of ML in
cybersecurity, which is essential for further progress in this field. Our
contributions are complemented with two real case studies describing industrial
applications of ML as defense against cyber-threats.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.09590v1,2022-06-20T06:36:45Z,2022-06-20T06:36:45Z,"From Multi-agent to Multi-robot: A Scalable Training and Evaluation
  Platform for Multi-robot Reinforcement Learning","Multi-agent reinforcement learning (MARL) has been gaining extensive
attention from academia and industries in the past few decades. One of the
fundamental problems in MARL is how to evaluate different approaches
comprehensively. Most existing MARL methods are evaluated in either video games
or simplistic simulated scenarios. It remains unknown how these methods perform
in real-world scenarios, especially multi-robot systems. This paper introduces
a scalable emulation platform for multi-robot reinforcement learning (MRRL)
called SMART to meet this need. Precisely, SMART consists of two components: 1)
a simulation environment that provides a variety of complex interaction
scenarios for training and 2) a real-world multi-robot system for realistic
performance evaluation. Besides, SMART offers agent-environment APIs that are
plug-and-play for algorithm implementation. To illustrate the practicality of
our platform, we conduct a case study on the cooperative driving lane change
scenario. Building off the case study, we summarize several unique challenges
of MRRL, which are rarely considered previously. Finally, we open-source the
simulation environments, associated benchmark tasks, and state-of-the-art
baselines to encourage and empower MRRL research.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.06817v1,2022-06-14T13:11:22Z,2022-06-14T13:11:22Z,"Physics-Informed Transfer Learning Strategy to Accelerate Unsteady Fluid
  Flow Simulations","Since the derivation of the Navier Stokes equations, it has become possible
to numerically solve real world viscous flow problems (computational fluid
dynamics (CFD)). However, despite the rapid advancements in the performance of
central processing units (CPUs), the computational cost of simulating transient
flows with extremely small time/grid scale physics is still unrealistic. In
recent years, machine learning (ML) technology has received significant
attention across industries, and this big wave has propagated various interests
in the fluid dynamics community. Recent ML CFD studies have revealed that
completely suppressing the increase in error with the increase in interval
between the training and prediction times in data driven methods is
unrealistic. The development of a practical CFD acceleration methodology that
applies ML is a remaining issue. Therefore, the objectives of this study were
developing a realistic ML strategy based on a physics-informed transfer
learning and validating the accuracy and acceleration performance of this
strategy using an unsteady CFD dataset. This strategy can determine the timing
of transfer learning while monitoring the residuals of the governing equations
in a cross coupling computation framework. Consequently, our hypothesis that
continuous fluid flow time series prediction is feasible was validated, as the
intermediate CFD simulations periodically not only reduce the increased
residuals but also update the network parameters. Notably, the cross coupling
strategy with a grid based network model does not compromise the simulation
accuracy for computational acceleration. The simulation was accelerated by 1.8
times in the laminar counterflow CFD dataset condition including the parameter
updating time. Open source CFD software OpenFOAM and open-source ML software
TensorFlow were used in this feasibility study.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.05096v1,2022-06-10T13:43:03Z,2022-06-10T13:43:03Z,Skill Transfer for Temporally-Extended Task Specifications,"Deploying robots in real-world domains, such as households and flexible
manufacturing lines, requires the robots to be taskable on demand. Linear
temporal logic (LTL) is a widely-used specification language with a
compositional grammar that naturally induces commonalities across tasks.
However, the majority of prior research on reinforcement learning with LTL
specifications treats every new formula independently. We propose LTL-Transfer,
a novel algorithm that enables subpolicy reuse across tasks by segmenting
policies for training tasks into portable transition-centric skills capable of
satisfying a wide array of unseen LTL specifications while respecting
safety-critical constraints. Our experiments in a Minecraft-inspired domain
demonstrate the capability of LTL-Transfer to satisfy over 90% of 500 unseen
tasks while training on only 50 task specifications and never violating a
safety constraint. We also deployed LTL-Transfer on a quadruped mobile
manipulator in a household environment to show its ability to transfer to many
fetch and delivery tasks in a zero-shot fashion.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.04967v2,2022-06-15T02:01:25Z,2022-06-10T09:45:25Z,Deep Learning-based Massive MIMO CSI Acquisition for 5G Evolution and 6G,"Recently, inspired by successful applications in many fields, deep learning
(DL) technologies for CSI acquisition have received considerable research
interest from both academia and industry. Considering the practical feedback
mechanism of 5th generation (5G) New radio (NR) networks, we propose two
implementation schemes for artificial intelligence for CSI (AI4CSI), the
DL-based receiver and end-to-end design, respectively. The proposed AI4CSI
schemes were evaluated in 5G NR networks in terms of spectrum efficiency (SE),
feedback overhead, and computational complexity, and compared with legacy
schemes. To demonstrate whether these schemes can be used in real-life
scenarios, both the modeled-based channel data and practically measured
channels were used in our investigations. When DL-based CSI acquisition is
applied to the receiver only, which has little air interface impact, it
provides approximately 25\% SE gain at a moderate feedback overhead level. It
is feasible to deploy it in current 5G networks during 5G evolutions. For the
end-to-end DL-based CSI enhancements, the evaluations also demonstrated their
additional performance gain on SE, which is 6% -- 26% compared with DL-based
receivers and 33% -- 58% compared with legacy CSI schemes. Considering its
large impact on air-interface design, it will be a candidate technology for 6th
generation (6G) networks, in which an air interface designed by artificial
intelligence can be used.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.04355v1,2022-06-09T08:56:11Z,2022-06-09T08:56:11Z,Graph Attention Multi-Layer Perceptron,"Graph neural networks (GNNs) have achieved great success in many graph-based
applications. However, the enormous size and high sparsity level of graphs
hinder their applications under industrial scenarios. Although some scalable
GNNs are proposed for large-scale graphs, they adopt a fixed $K$-hop
neighborhood for each node, thus facing the over-smoothing issue when adopting
large propagation depths for nodes within sparse regions. To tackle the above
issue, we propose a new GNN architecture -- Graph Attention Multi-Layer
Perceptron (GAMLP), which can capture the underlying correlations between
different scales of graph knowledge. We have deployed GAMLP in Tencent with the
Angel platform, and we further evaluate GAMLP on both real-world datasets and
large-scale industrial datasets. Extensive experiments on these 14 graph
datasets demonstrate that GAMLP achieves state-of-the-art performance while
enjoying high scalability and efficiency. Specifically, it outperforms GAT by
1.3\% regarding predictive accuracy on our large-scale Tencent Video dataset
while achieving up to $50\times$ training speedup. Besides, it ranks top-1 on
both the leaderboards of the largest homogeneous and heterogeneous graph (i.e.,
ogbn-papers100M and ogbn-mag) of Open Graph Benchmark.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.03960v1,2022-06-08T15:25:58Z,2022-06-08T15:25:58Z,Predict better with less training data using a QNN,"Over the past decade, machine learning revolutionized vision-based quality
assessment for which convolutional neural networks (CNNs) have now become the
standard. In this paper, we consider a potential next step in this development
and describe a quanvolutional neural network (QNN) algorithm that efficiently
maps classical image data to quantum states and allows for reliable image
analysis. We practically demonstrate how to leverage quantum devices in
computer vision and how to introduce quantum convolutions into classical CNNs.
Dealing with a real world use case in industrial quality control, we implement
our hybrid QNN model within the PennyLane framework and empirically observe it
to achieve better predictions using much fewer training data than classical
CNNs. In other words, we empirically observe a genuine quantum advantage for an
industrial application where the advantage is due to superior data encoding.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.03288v1,2022-06-07T13:28:43Z,2022-06-07T13:28:43Z,"Collaborative Intelligence Orchestration: Inconsistency-Based Fusion of
  Semi-Supervised Learning and Active Learning","While annotating decent amounts of data to satisfy sophisticated learning
models can be cost-prohibitive for many real-world applications. Active
learning (AL) and semi-supervised learning (SSL) are two effective, but often
isolated, means to alleviate the data-hungry problem. Some recent studies
explored the potential of combining AL and SSL to better probe the unlabeled
data. However, almost all these contemporary SSL-AL works use a simple
combination strategy, ignoring SSL and AL's inherent relation. Further, other
methods suffer from high computational costs when dealing with large-scale,
high-dimensional datasets. Motivated by the industry practice of labeling data,
we propose an innovative Inconsistency-based virtual aDvErsarial Active
Learning (IDEAL) algorithm to further investigate SSL-AL's potential
superiority and achieve mutual enhancement of AL and SSL, i.e., SSL propagates
label information to unlabeled samples and provides smoothed embeddings for AL,
while AL excludes samples with inconsistent predictions and considerable
uncertainty for SSL. We estimate unlabeled samples' inconsistency by
augmentation strategies of different granularities, including fine-grained
continuous perturbation exploration and coarse-grained data transformations.
Extensive experiments, in both text and image domains, validate the
effectiveness of the proposed algorithm, comparing it against state-of-the-art
baselines. Two real-world case studies visualize the practical industrial value
of applying and deploying the proposed data sampling algorithm.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.00868v1,2022-06-02T04:34:57Z,2022-06-02T04:34:57Z,"6G Survey on Challenges, Requirements, Applications, Key Enabling
  Technologies, Use Cases, AI integration issues and Security aspects","The fifth-generation (5G) network is likely to bring in high data rates, more
reliability, and low delays for mobile, personal and local area networks.
Alongside the rapid growth of smart wireless sensing and communication
technologies, data traffic has significantly risen, and existing 5G networks
are not fully capable of supporting future massive data traffic in terms of
services, storage, and processing. To meet the forthcoming challenges, the
research community is investigating the Terahertz-based sixth-generation (6G)
wireless network which is supposed to be offered for industrial usage in around
10 years. This is the right time to explore and learn about various 6G aspects
that will play a key role in the successful execution and implementation of 6G
networks in the future. This survey provides a review of specifications,
requirements, applications, enabling technologies including disruptive and
innovative, integration of 6G with advanced architectures and networks like
software-defined networks (SDN), network functions virtualization (NFV),
cloud/fog computing, etc, artificial intelligence (AI) oriented technologies,
privacy and security issues and solutions, and potential futuristic use cases:
virtual reality, smart healthcare and Industry 5.0. Furthermore, based on the
conducted review, challenges and future research directions are highlighted to
aid the deployment of 6G networks.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.02628v1,2022-06-01T09:57:34Z,2022-06-01T09:57:34Z,HYCEDIS: HYbrid Confidence Engine for Deep Document Intelligence System,"Measuring the confidence of AI models is critical for safely deploying AI in
real-world industrial systems. One important application of confidence
measurement is information extraction from scanned documents. However, there
exists no solution to provide reliable confidence score for current
state-of-the-art deep-learning-based information extractors. In this paper, we
propose a complete and novel architecture to measure confidence of current deep
learning models in document information extraction task. Our architecture
consists of a Multi-modal Conformal Predictor and a Variational
Cluster-oriented Anomaly Detector, trained to faithfully estimate its
confidence on its outputs without the need of host models modification. We
evaluate our architecture on real-wold datasets, not only outperforming
competing confidence estimators by a huge margin but also demonstrating
generalization ability to out-of-distribution data.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2205.11267v1,2022-05-23T12:32:38Z,2022-05-23T12:32:38Z,"Fed-DART and FACT: A solution for Federated Learning in a production
  environment","Federated Learning as a decentralized artificial intelligence (AI) solution
solves a variety of problems in industrial applications. It enables a
continuously self-improving AI, which can be deployed everywhere at the edge.
However, bringing AI to production for generating a real business impact is a
challenging task. Especially in the case of Federated Learning, expertise and
resources from multiple domains are required to realize its full potential.
Having this in mind we have developed an innovative Federated Learning
framework FACT based on Fed-DART, enabling an easy and scalable deployment,
helping the user to fully leverage the potential of their private and
decentralized data.",arxiv,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
