doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/IS.2018.8710526,A Digital Twin-based Privacy Enhancement Mechanism for the Automotive Industry,IEEE,Conferences,"This paper discusses a Digital Twin demonstrator for privacy enhancement in the automotive industry. Here, the Digital Twin demonstrator is presented as a method for the design and implementation of privacy enhancement mechanisms, and is used to detect privacy concerns and minimize breaches and associated risks to which smart car drivers can be exposed through connected infotainment applications and services. The Digital Twin-based privacy enhancement demonstrator is designed to simulate variety of conditions that can occur in the smart car ecosystem. We firstly identify the core stakeholders (actors) in the smart car ecosystem, their roles and exposure to privacy vulnerabilities and associated risks. Secondly, we identify assets that consume and generate sensitive privacy data in smart cars, their functionalities, and relevant privacy concerns and risks. Thirdly, we design an infrastructure for collecting (i) real-time sensor data from smart cars and their assets, and (ii) environmental data, road and traffic data, generated through operational driving lifecycle. In order to ensure compliance of the collected data with privacy policies and regulations, e.g. with GDPR requirements for enforcement of the data subject's rights, we design methods for the Digital Twin-based privacy enhancement demonstrator that are based on behavioural analytics informed by GDPR. We also perform data anonymization to minimize privacy risks and enable actions such as sending an automatic informed consent to the stakeholders.",https://ieeexplore.ieee.org/document/8710526/,2018 International Conference on Intelligent Systems (IS),25-27 Sept. 2018,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/SCC53864.2021.00047,A Framework for Enabling Cyber-Twins based Industry 4.0 Application Development,IEEE,Conferences,"Industry 4.0 applications aim to improve industrial efficiency, product consistency, and related supply chains by providing smart, data-driven solutions that involve machines, processes, workers, and products. This paper proposes Cyber Twins (CTs) for Industry 4.0 application development and a CT- based framework that reduces the cost/effort of Industry 4.0 application development by providing: 1) a CT ontology for describing industrial machines, including their sensors, actuators, settings and automation/control functions, 2) machine emulation/simulation for testing, and 3) services for generating CTs from their semantic descriptions, CT-based communication with machines, and CT integration across Industry 4.0 applications. We present a proof-of-concept CT framework implementation and introduce a cost model to compute the costs of CT-based Industry 4.0 application development and compare this with the cost of applications that use other existing digital twins. Via these, we measure the benefits of CT-based application development in a real-world use case from the milk processing industry.",https://ieeexplore.ieee.org/document/9592482/,2021 IEEE International Conference on Services Computing (SCC),5-10 Sept. 2021,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICMCCE.2018.00050,A Smart Manufacturing Compliance Architecture of Electronic Batch Recording System (eBRS) for Life Sciences Industry,IEEE,Conferences,"The paradigm shift brought about by smart manufacturing or Industrie 4.0 has posed threefold challenges to electronic batch recording system (eBRS) in Life Sciences Industry: 1) the structure of the data should be informative and standard for interoperate using information models, 2) administration of synchronization between physical world and cyber world for smart decision making and optimization using cyber physical system (CPS) and 3) so-called digital manufacturing operations management (digital MOM) characterized by decentralization, comprehensive collaboration and servitization shall be implemented. Under the new situations of smart manufacturing or Industrie 4.0, the requirements from information models, CPS and digital MOM will become the most principal criteria to be considered for future eBRS/MES and other operations management information system in shop floor. To fulfill these demands, an approach combining ISA95/88 hybrid model with activities ontology and variant domain-driven design for SOA-based eBRS development has been presented. An eBRS software platform has been developed on the theoretical basis and applied to a specific application scenario of Lyophilized Injection Production for verifying its feasibility purpose.",https://ieeexplore.ieee.org/document/8537548/,"2018 3rd International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",14-16 Sept. 2018,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/PacificVis.2018.00026,A Visual Analytics Approach for Equipment Condition Monitoring in Smart Factories of Process Industry,IEEE,Conferences,"Monitoring equipment conditions is of great value in manufacturing, which can not only reduce unplanned downtime by early detecting anomalies of equipment but also avoid unnecessary routine maintenance. With the coming era of Industry 4.0 (or industrial internet), more and more assets and machines in plants are equipped with various sensors and information systems, which brings an unprecedented opportunity to capture large-scale and fine-grained data for effective on-line equipment condition monitoring. However, due to the lack of systematic methods, analysts still find it challenging to carry out efficient analyses and extract valuable information from the mass volume of data collected, especially for process industry (e.g., a petrochemical plant) with complex manufacturing procedures. In this paper, we report the design and implementation of an interactive visual analytics system, which helps managers and operators at manufacturing sites leverage their domain knowledge and apply substantial human judgements to guide the automated analytical approaches, thus generating understandable and trustable results for real-world applications. Our system integrates advanced analytical algorithms (e.g., Gaussian mixture model with a Bayesian framework) and intuitive visualization designs to provide a comprehensive and adaptive semi-supervised solution to equipment condition monitoring. The example use cases based on a real-world manufacturing dataset and interviews with domain experts demonstrate the effectiveness of our system.",https://ieeexplore.ieee.org/document/8365986/,2018 IEEE Pacific Visualization Symposium (PacificVis),10-13 April 2018,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/CSSS.2011.5974714,A data prediction algorithm based on BP neural network in telecom industry,IEEE,Conferences,"The data mining technology is more and more widely used in the telecom industry. But telecom data set always includes instances with missing values. Besides, many data mining models are sensitive for the missing value and distortion. Estimating missing values becomes an inherent problem. To address the problem, A prediction method is proposed for the missing value based on the BP neural network and K-means algorithm. The algorithm first clusters the dataset, and selects a certain cluster for the instance with missing values, then we train the BP net using the cluster and get the architecture parameters. When a test instance has a missing value of a certain attribute, we regard the attribute as the aiming attribute and apply the instance to the network, it will produce a prediction value . This paper uses real datasets from the telecom industry as the test datasets. The result shows that the algorithm can be used to predict the missing value of telecom industry with good performance.",https://ieeexplore.ieee.org/document/5974714/,2011 International Conference on Computer Science and Service System (CSSS),27-29 June 2011,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/SNPDWinter52325.2021.00056,A study on Medical Device Security Status in Medical Convergence Industry,IEEE,Conferences,"Beyond informatization, the development of new technologies and the introduction of innovative technologies in the Fourth Industrial Revolution are the evolution of various industries. In the early information age, the introduction of various information systems has made it possible to manage and utilize large amounts of data in high quality, thus expanding the business of other industries faster and more reliably. However, in certain industries, various devices and equipments are dependent on the existing information system, and thus, time and cost difficulties are introduced to introduce a new system. Accordingly, existing security problems rather than new security flaws are coming to reality. The purpose of this study is to investigate and analyze the security status of existing medical devices according to the arrival of convergence environment in the medical industry.",https://ieeexplore.ieee.org/document/9403515/,"2021 21st ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",28-30 Jan. 2021,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ISPASS51385.2021.00014,AIBench Training: Balanced Industry-Standard AI Training Benchmarking,IEEE,Conferences,"Earlier-stage evaluations of a new AI architecture/system need affordable AI benchmarks. Only using a few AI component benchmarks like MLPerf alone in the other stages may lead to misleading conclusions. Moreover, the learning dynamics are not well understood, and the benchmarks' shelf-life is short. This paper proposes a balanced benchmarking methodology. We use real-world benchmarks to cover the factors space that impacts the learning dynamics to the most considerable extent. After performing an exhaustive survey on Internet service AI domains, we identify and implement nineteen representative AI tasks with state-of-the-art models. For repeatable performance ranking (RPR subset) and workload characterization (WC subset), we keep two subsets to a minimum for affordability. We contribute by far the most comprehensive AI training benchmark suite. The evaluations show: (1) AIBench Training (v1.1) outperforms MLPerf Training (v0.7) in terms of diversity and representativeness of model complexity, computational cost, convergent rate, computation, and memory access patterns, and hotspot functions; (2) Against the AIBench full benchmarks, its RPR subset shortens the benchmarking cost by 64%, while maintaining the primary workload characteristics; (3) The performance ranking shows the single-purpose AI accelerator like TPU with the optimized TensorFlow framework performs better than that of GPUs while losing the latter's general support for various AI models. The specification, source code, and performance numbers are available from the AIBench homepage https://www.benchcouncil.org/aibench-training/index.html.",https://ieeexplore.ieee.org/document/9408170/,2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),28-30 March 2021,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/BigData.2014.7004408,Advanced planning and control of manufacturing processes in steel industry through big data analytics: Case study and architecture proposal,IEEE,Conferences,"Enterprises in today's globalized world are compelled to react on threats and opportunities in a highly flexible manner. Hence, companies that are able to analyze the current state of their business processes, forecast their most optimal progresses and with this proactively control them will have a decisive competitive advantage. Technological progress in sensor technology has boosted real-time situation awareness, especially in manufacturing operations. The paper at hands examines, based on a case study stemming from the steel manufacturing industry, which production-related data is collectable using state of the art sensors forming a basis for a detailed situation awareness and for deriving accurate forecasts. However, analyses of this data point out that dedicated big data analytics approaches are required to utilize the full potential out of it. By proposing an architecture for predictive process planning and control systems, the paper intends to form a working and discussion basis for further research and implementation efforts in big data analytics.",https://ieeexplore.ieee.org/document/7004408/,2014 IEEE International Conference on Big Data (Big Data),27-30 Oct. 2014,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/HICSS.2007.52,Agent-based Human-computer-interaction for Real-time Monitoring Systems in the Trucking Industry,IEEE,Conferences,"Auto ID systems can replace time-consuming, costly and error-prone processes of human data entry and produce detailed real time information. However, they would add value only to the extent that data is presented in a user-friendly manner. As model-based decision support is not always adequate, an agent-based approach is often chosen. Real life entities such as orders and trucks are represented by agents, which negotiate in order to solve planning problems. For the respective data representation at least two forms can be distinguished, focusing either on (1) resources (account-based) or (2) orders (order-centric). Applying cognitive fit theory we describe how the different interfaces affect decision making. The hypotheses would be tested in a laboratory experiment. The intended contribution should support that order-centric interfaces have higher user-friendliness and are especially beneficial to low-analytics and planners working under time pressure",https://ieeexplore.ieee.org/document/4076424/,2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07),3-6 Jan. 2007,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/BDEIM52318.2020.00043,An Empirical Study on the Correlation between Operating Capital Management and Operating Performance-Taking the Communication Terminal and Accessories Industry as an example,IEEE,Conferences,"This article uses Stata16.0 software tools to analyze and research the 2015-2019 company annual reports of listed companies in the communication terminal and accessories industry collected in the RESSET financial research database, and summarizes the impact of short-term operating funds on operating performance in the company's supply, production and sales scenarios, provides reference suggestions and valuable experience for companies of different sizes in the communication terminal and accessories industry and other industries in the use of short-term operating funds, and promotes the sustainable and healthy development of enterprises.",https://ieeexplore.ieee.org/document/9407126/,2020 International Conference on Big Data Economy and Information Management (BDEIM),11-13 Dec. 2020,ieeexplore,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
