id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.rcim.2022.102365,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-12-01,sciencedirect,A digital twin-based sim-to-real transfer for deep reinforcement learning-enabled industrial robot grasping,https://api.elsevier.com/content/abstract/scopus_id/85131222861,"Deep reinforcement learning (DRL) has proven to be an effective framework for solving various complex control problems. In manufacturing, industrial robots can be trained to learn dexterous manipulation skills from raw pixels with DRL. However, training robots in the real world is a time-consuming, high-cost and of safety concerns process. A frequently adopted approach for easing this is to train robots through simulations first and then deploy algorithms (or policies) on physical robots. How to transfer policies of robot learning from simulation to the real world is a challenging issue. Digital twin that is able to create a dynamic, up-to-date representation of a physical robotic grasping system provides an effective approach for addressing this issue. In this paper, we focus on the scenario of DRL-based assembly-oriented industrial grasping and propose a digital twin-enabled approach for achieving effective transfer of DRL algorithms to a physical robot. Two parallel training systems, i.e., the physical robotic system and corresponding digital twin system, respectively, are established, which take virtual and real images as inputs. The output of the digital twin system is used to correct the real grasping point so that accurate grasping can be achieved. Experimental results verify the effectiveness of the intelligent grasping algorithm and the digital twin-enabled sim-to-real transfer approach and mechanism.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117649,Journal,Expert Systems with Applications,scopus,2022-11-15,sciencedirect,Bridging the gap between complexity and interpretability of a data analytics-based process for benchmarking energy performance of buildings,https://api.elsevier.com/content/abstract/scopus_id/85132331460,"Artificial intelligence (AI) is fast becoming a general purpose technology with outstanding impacts in industries worldwide, thus supporting the Industry 4.0 revolution. In particular, the energy sector is one of those that has taken more advantages from the implementation of AI approaches, especially Machine Learning models, for several applications, including energy performance benchmarking of buildings. However, the black-box approach could lead to a lack of result interpretability thus preventing the effective application of AI in some real-world scenarios. For this reason, eXplainable Artificial Intelligence (XAI) tools can be effectively embedded within an AI-based Energy Analytics methodology in order to enhance the explainability of the model results. In this paper, we propose an explainable AI-based benchmarking framework for estimating the membership to specific energy performance classes of a large set of Energy Performance Certificates (EPCs) of flats. The classification is obtained by leveraging different black-box classifiers characterized by high accuracy, yet their inference mechanism is not human-readable. Therefore, a generalizable XAI methodology, based on the combination of a local explainer together with a clustering algorithm, is employed to explain the model results and causal effects between the predictors and target variable to better understand the model behaviour, and the motivations behind correct and wrong performed classifications. The paper provides a general methodological approach capable to exploit a limited number of instances to extract, explain and interpret inference mechanisms learnt by the model that are useful for the end-user. The framework was tested on about 100,000 EPCs of flats located in Italy.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.ijepes.2022.108291,Journal,International Journal of Electrical Power and Energy Systems,scopus,2022-11-01,sciencedirect,Density-based clustering algorithm for associating transformers with smart meters via GPS-AMI data,https://api.elsevier.com/content/abstract/scopus_id/85130630920,"The ongoing deployment of Distributed Energy Resources, while bringing benefits, introduces significant challenges to the electric utility industry, especially in the distribution grid. These challenges call for closer monitoring through state estimation, where real-time topology recovery is the basis for accurate modeling. Previous methods either ignore geographical information, which is important in connectivity identification or are based on an ideal assumption of an isolated sub-network for topology recovery, e.g., within one transformer. This requires field engineers to identify the association, which is costly and may contain errors. To solve these problems, we propose a density-based topology clustering method that leverages both voltage domain data and the geographical space information to segment datasets from a large utility customer pool, after which other topology reconstruction methods can carry over. Specifically, we show how to use voltage and GPS information to infer associations within one transformer area, i.e., to identify the meter-transformer connectivity. To give a guarantee, we show a theoretic bound for our clustering method, providing the ability to explain the performance of the machine learning method. The proposed algorithm has been validated by IEEE test systems and Duquesne Light Company in Pittsburgh, showing outstanding performance. A utility implementation is also demonstrated.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117634,Journal,Expert Systems with Applications,scopus,2022-10-15,sciencedirect,RADIS: A real-time anomaly detection intelligent system for fault diagnosis of marine machinery,https://api.elsevier.com/content/abstract/scopus_id/85131074045,"By enhancing data accessibility, the implementation of data-driven models has been made possible to empower strategies in relation to O&M activities. Such models have been extensively applied to perform anomaly detection tasks, with the express purpose of detecting data patterns that deviate significantly from normal operational behaviour. Due to its preeminent importance in the maritime industry to adequately identify the behaviour of marine systems, the Real-time Anomaly Detection Intelligent System (RADIS) framework, constituted by a Long Short-Term Memory-based Variational Autoencoder in tandem with multi-level Otsu’s thresholding, is proposed. RADIS aims to address the current gaps identified within the maritime industry in relation to data-driven model applications for enabling smart maintenance. To assess the performance of such a framework, a case study on a total of 14 parameters obtained from sensors installed on a diesel generator of a tanker ship is introduced to highlight the implementation of RADIS. Results demonstrated the capability of RADIS to be part of a diagnostic analytics tool that will promote the implementation of smart maintenance within the maritime industry, as RADIS detected an average of 92.5% of anomalous instances in the presented case study.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.bios.2022.114475,Journal,Biosensors and Bioelectronics,scopus,2022-10-01,sciencedirect,Biosensor prototype for rapid detection and quantification of DNase activity,https://api.elsevier.com/content/abstract/scopus_id/85132387568,"DNases are enzymes that cleave phosphodiesteric bonds of deoxyribonucleic acid molecules and are found everywhere in nature, especially in bodily fluids, i.e., saliva, blood, or sweat. Rapid and sensitive detection of DNase activity is highly important for quality control in the pharmaceutical and biotechnology industries. For clinical diagnostics, recent reports indicate that increased DNase activity could be related to various diseases, such as cancers. In this paper, we report a new bioelectronic device for the determination of nuclease activity in various fluids. The system consists of a sensor electrode, a custom design DNA target to maximize the DNase cleavage rate, a signal analysis algorithm, and supporting electronics. The developed sensor enables the determination of DNase activity in the range of 3.4 × 10−4 – 3.0 × 10−2 U mL−1 with a limit of detection of up to 3.4 × 10−4 U mL−1. The sensor was tested by measuring nuclease activity in real human saliva samples and found to demonstrate high accuracy and reproducibility compared to the industry standard DNaseAlert™️. Finally, the entire detection system was implemented as a prototype device system utilizing single-use electrodes, custom-made cells, and electronics. The developed technology can improve nuclease quality control processes in the pharmaceutical/biotechnology industry and provide new insights into the importance of nucleases for medical applications.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.rcim.2022.102371,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-10-01,sciencedirect,A grasps-generation-and-selection convolutional neural network for a digital twin of intelligent robotic grasping,https://api.elsevier.com/content/abstract/scopus_id/85129983234,"Robotic grasping plays an essential role in human-machine cooperation in various household and industrial applications. Although humans can instinctively execute grasps in an accurate, stable, and rapid way even under a constantly changing environment, intelligent grasping remains a challenging task for robots. As a prerequisite for grasping, robots need to correctly identify the best grasping location of unknown objects often based on an artificial intelligence approach, which is still a challenging problem. This paper proposes a new grasps-generation-and-selection convolutional neural network (GGS-CNN), which is trained and implemented in a digital twin of intelligent robotic grasping (DTIRG). By defining a grasp with 3-D position, rotation angle, and gripper width, the GGS-CNN generates grasp candidates by transforming the red–green-blue-depth images (RGB-D images) into feature maps and evaluating the quality of selected grasps. The GGS-CNN is trained in the virtual environment and the real world of the DTIRG to detect accurate grasps. In the grasping tests, the proposed GGS-CNN achieves grasping success rates of 96.7% and 93.8% for grasping single objects and cluttered objects, respectively, and obtains the best grasp from the RGB-D image in less than 40 ms.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.rcim.2022.102351,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-10-01,sciencedirect,Cloud-edge-device collaboration mechanisms of deep learning models for smart robots in mass personalization,https://api.elsevier.com/content/abstract/scopus_id/85127198043,"Personalized products have gradually become the main business model and core competencies of many enterprises. Large differences in components and short delivery cycles of such products, however, require industrial robots in cloud manufacturing (CMfg) to be smarter, more responsive and more flexible. This means that the deep learning models (DLMs) for smart robots should have the performance of real-time response, optimization, adaptability, dynamism, and multimodal data fusion. To satisfy these typical demands, a cloud-edge-device collaboration framework of CMfg is first proposed to support smart collaborative decision-making for smart robots. Meanwhile, in this context, different deployment and update mechanisms of DLMs for smart robots are analyzed in detail, aiming to support rapid response and high-performance decision-making by considering the factors of data sources, data processing location, offline/online learning, data sharing and the life cycle of DLMs. In addition, related key technologies are presented to provide references for technical research directions in this field.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.biortech.2022.127456,Journal,Bioresource Technology,scopus,2022-09-01,sciencedirect,Moisture content monitoring in industrial-scale composting systems using low-cost sensor-based machine learning techniques,https://api.elsevier.com/content/abstract/scopus_id/85132318701,"Moisture is a key aspect for proper composting, allowing greater efficiency and lower environmental impact. Low-cost real-time moisture determination methods are still a challenge in industrial composting processes. The aim of this study was to design a model of hardware and software that would allow self-adjustment of a low-cost capacitive moisture sensor. Samples of organic composts with distinct waste composition and from different composting stages were used. Machine learning techniques were applied for self-adjustment of the sensor. To validate the model, results obtained in a laboratory by the gravimetric method were used. The proposed model proved to be efficient and reliable in measuring moisture in compost, reaching a correlation coefficient of 0.9939 between the moisture content verified by gravimetric analysis and the prediction obtained by the Sensor Node.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.suscom.2022.100743,Journal,Sustainable Computing: Informatics and Systems,scopus,2022-09-01,sciencedirect,Improving sugarcane production in saline soils with Machine Learning and the Internet of Things,https://api.elsevier.com/content/abstract/scopus_id/85129609524,"The Indian sugar industry is the second largest in the world. Sugar is an essential domestic grocery item required in India producing over 25 million tonnes per annum. Sugarcane is the root of sugar products that grow in over 5 million hectares all over India. However, nearly 1.5 million hectares of overall farms are saline soil lands (high salt content). This leads to lower yields in sugarcane agriculture than what would be expected. Therefore, tackling the salinity problem is crucial to achieve strong food security as well as tackle the sustainability of farming practices in India that have reach beyond just sugarcane. This research proposes efficient, sustainable, smart farming techniques for sugarcane cultivation in salt-affected lands with the help of the Internet of Things (IoT) and Machine Learning (ML). The proposed model has been implemented in a real-world two hectare sugar cane field cultivated from saline soils using Raspberry PI IoT nodes to control the drip irrigation (water supply). The Naïve Bayes model has been used to train and predict the leaching requirement suggested by Food and Agriculture Organization of the United Nations (FAO) and United Nations Educational, Scientific and Cultural Organization (UNESCO) for efficient leaching water requirements. The performance of the proposed model has been evaluated in terms of sugar cane growth, cost of cultivation, as well as water requirements leading to an improved outlook for future use. Moreover, our results have been compared with regular sugar cane cultivation to show their effectiveness.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.ecmx.2022.100261,Journal,Energy Conversion and Management: X,scopus,2022-08-01,sciencedirect,Multi-objective optimization of turbocharger turbines for low carbon vehicles using meanline and neural network models,https://api.elsevier.com/content/abstract/scopus_id/85133274528,"Due to slow turnover of the global vehicle parc internal combustion engines will remain a primary means of motive power for decades, so the automotive industry must continue to improve engine thermal efficiency to reduce 
                        
                           
                              
                                 CO
                              
                              
                                 2
                              
                           
                        
                      emissions, since savings will be compounded over the long lifetime of millions of vehicles. Turbochargers are a proven efficiency technology (most new vehicles are turbocharged) but are not optimally designed for real-world driving. The aim of this study was to develop a framework to optimize turbocharger turbine design for competing customer objectives: minimizing fuel consumption (and thus 
                        
                           
                              
                                 CO
                              
                              
                                 2
                              
                           
                        
                      emissions) over a representative drive cycle, while minimizing transient response time. This is achieved by coupling engine cycle, turbine meanline, and neural network inertia models within a genetic algorithm-based optimizer, allowing aerodynamic and inertia changes to be accurately reflected in drive cycle fuel consumption and transient performance. Exercising the framework for the average new passenger car across a drive cycle representing the Worldwide harmonized Light vehicles Test Procedure reveals the trade-off between competing objectives and a turbine design that maintains transient response while minimizing fuel consumption due to a 3 percentage-point improvement in turbine peak efficiency, validated by experiment. This optimization framework is fast to execute, requiring only eight turbine geometric parameters, making it a commercially viable procedure that can refine existing or optimize tailor-made turbines for any turbocharged application (whether gasoline, diesel, or alternatively fuelled), but if applied to turbocharged gasoline cars in the EU would lead to lifetime 
                        
                           
                              
                                 CO
                              
                              
                                 2
                              
                           
                        
                     
                     savings of 
                        
                           >
                        
                     
                     290,000 tonnes per production year, and millions of tonnes if deployed worldwide.",industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
