id,datePublished,description,journals,publisher,title,doi,downloadUrl,database,query_name,query_value
350944360,2020-10-01T00:00:00,"This study describes the development of a simple and easy-to-build portable automated bag valve mask (BVM) compression system, which, during acute shortages and supply chain disruptions can serve as a temporary emergency ventilator. The resuscitation system is based on the Arduino controller with a real-time operating system installed on a largely RepRap 3-D printable parametric component-based structure. The cost of the materials for the system is under $170, which makes it affordable for replication by makers around the world. The device provides a controlled breathing mode with tidal volumes from 100 to 800 mL, breathing rates from 5 to 40 breaths/minute, and inspiratory-to-expiratory ratio from 1:1 to 1:4. The system is designed for reliability and scalability of measurement circuits through the use of the serial peripheral interface and has the ability to connect additional hardware due to the object-oriented algorithmic approach. Experimental results after testing on an artificial lung for peak inspiratory pressure (PIP), respiratory rate (RR), positive end-expiratory pressure (PEEP), tidal volume, proximal pressure, and lung pressure demonstrate repeatability and accuracy exceeding human capabilities in BVM-based manual ventilation. Future work is necessary to further develop and test the system to make it acceptable for deployment outside of emergencies such as with COVID-19 pandemic in clinical environments, however, the nature of the design is such that desired features are relatively easy to add using protocols and parametric design files provided.Peer reviewe","[{'title': 'HardwareX', 'identifiers': ['issn:2468-0672', '2468-0672']}]",'Elsevier BV',Partially RepRapable automated open source bag valve mask-based ventilator,10.1016/j.ohx.2020.e00131,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
305078134,2020-03-25T09:38:57,"This is the author accepted manuscript. The final version is available from Springer Verlad via the DOI in this recordRecent advances in “developmental” approach (combining experimental study with computational modeling) of neural networks produce increasingly large data sets, in both complexity and size. This poses a significant challenge in analyzing, visualizing and understanding not only the spatial structure but also the behavior of such networks. This paper describes a virtual reality application for visualization of two biologically accurate computational models that model the anatomical structure of a neural network comprised of 1500 neurons and over 80,000 connections. The visualization enables a user to observe the complex spatiotemporal interplay between seven unique types of neurons culminating in an observable swimming pattern. We present a detailed description of the design approach for the virtual environment, based on a set of initial requirements, followed up by the implementation and optimization steps. Lastly, the results of a pilot usability study are being presented on how confident participants are in their ability to understand how the alternating firing pattern between the two sides of the tadpole’s body generates swimming motion","[{'title': 'Virtual Reality', 'identifiers': ['issn:1359-4338', '1359-4338']}]",'Springer Science and Business Media LLC',Tadpole VR: virtual reality visualization of a simulated tadpole spinal cord,10.1007/s10055-020-00431-z,https://core.ac.uk/download/305078134.pdf,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
328720905,2020-08-28T14:06:08,"The “time-varying loudness” (TVL) model of Glasberg and Moore calculates “instantaneous loudness” every 1 ms, and this is used to generate predictions of short-term loudness, the loudness of a short segment of sound, such as a word in a sentence, and of long-term loudness, the loudness of a longer segment of sound, such as a whole sentence. The calculation of instantaneous loudness is computationally intensive and real-time implementation of the TVL model is difficult. To speed up the computation, a deep neural network (DNN) was trained to predict instantaneous loudness using a large database of speech sounds and artificial sounds (tones alone and tones in white or pink noise), with the predictions of the TVL model as a reference (providing the “correct” answer, specifically the loudness level in phons). A multilayer perceptron with three hidden layers was found to be sufficient, with more complex DNN architecture not yielding higher accuracy. After training, the deviations between the predictions of the TVL model and the predictions of the DNN were typically less than 0.5 phons, even for types of sounds that were not used for training (music, rain, animal sounds, and washing machine). The DNN calculates instantaneous loudness over 100 times more quickly than the TVL model. Possible applications of the DNN are discussed",,Trends in Hearing,Development of a Deep Neural Network for Speeding Up a Model of Loudness for Time-Varying Sounds,10.17863/CAM.56818,https://core.ac.uk/download/328720905.pdf,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
480333455,2021-08-01T00:00:00,"The advancement of the Internet of Things (IoT) brings new opportunities for collecting real-time data and deploying machine learning models. Nonetheless, an individual IoT device may not have adequate computing resources to train and deploy an entire learning model. At the same time, transmitting continuous real-time data to a central server with high computing resource incurs enormous communication costs and raises issues in data security and privacy. Federated learning, a distributed machine learning framework, is a promising solution to train machine learning models with resource-limited devices and edge servers. Yet, the majority of existing works assume an impractically synchronous parameter update manner with homogeneous IoT nodes under stable communication connections. In this paper, we develop an asynchronous federated learning scheme to improve training efficiency for heterogeneous IoT devices under unstable communication network. Particularly, we formulate an asynchronous federated learning model and develop a lightweight node selection algorithm to carry out learning tasks effectively. The proposed algorithm iteratively selects heterogeneous IoT nodes to participate in the global learning aggregation while considering their local computing resource and communication condition. Extensive experimental results demonstrate that our proposed asynchronous federated learning scheme outperforms the state-of-the-art schemes in various settings on independent and identically distributed (i.i.d.) and non-i.i.d. data distribution","[{'title': 'Digital Communications and Networks', 'identifiers': ['2352-8648', 'issn:2352-8648']}]",'Elsevier BV',Towards asynchronous federated learning for heterogeneous edge-powered internet of things,10.1016/j.dcan.2021.04.001,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
480154226,2021-08-01T00:00:00,"Abstract This article proposes a new parallel performance model for different workloads of Spark Big Data applications running on Hadoop clusters. The proposed model can predict the runtime for generic workloads as a function of the number of executors, without necessarily knowing how the algorithms were implemented. For a certain problem size, it is shown that a model based on serial boundaries for a 2D arrangement of executors can fit the empirical data for various workloads. The empirical data was obtained from a real Hadoop cluster, using Spark and HiBench. The workloads used in this work were included WordCount, SVM, Kmeans, PageRank and Graph (Nweight). A particular runtime pattern emerged when adding more executors to run a job. For some workloads, the runtime was longer with more executors added. This phenomenon is predicted with the new model of parallelisation. The resulting equation from the model explains certain performance patterns that do not fit Amdahl’s law predictions, nor Gustafson’s equation. The results show that the proposed model achieved the best fit with all workloads and most of the data sizes, using the R-squared metric for the accuracy of the fitting of empirical data. The proposed model has advantages over machine learning models due to its simplicity, requiring a smaller number of experiments to fit the data. This is very useful to practitioners in the area of Big Data because they can predict runtime of specific applications by analysing the logs. In this work, the model is limited to changes in the number of executors for a fixed problem size","[{'title': 'Journal Of Big Data', 'identifiers': ['2196-1115', 'issn:2196-1115']}]",'Springer Science and Business Media LLC',A parallelization model for performance characterization of Spark Big Data jobs on Hadoop clusters,10.1186/s40537-021-00499-7,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
440882566,2021-01-01T00:00:00,"An axial piston pump fault diagnosis algorithm based on empirical wavelet transform (EWT) and one-dimensional convolutional neural network (1D-CNN) is presented. The fault vibration signals and pressure signals of axial piston pump are taken as the analysis objects. Firstly, the original signals are decomposed by EWT, and each signal component is screened and reconstructed according to the energy characteristics. Then, the time-domain features and the frequency-domain features of the denoised signal are extracted, and features of time domain and frequency domain are fused. Finally, the 1D-CNN model was deployed to the WISE-Platform as a Service (WISE-PaaS) cloud platform to realize the real-time fault diagnosis of axial piston pump based on the cloud platform. Compared with ensemble empirical mode decomposition (EEMD) and complementary ensemble empirical mode decomposition (CEEMD), the results show that the axial piston pump fault diagnosis algorithm based on EWT and 1D-CNN has higher fault identification accuracy","[{'title': 'Shock and Vibration', 'identifiers': ['issn:1070-9622', '1875-9203', '1070-9622', 'issn:1875-9203']}]",'Hindawi Limited',Hydraulic Pump Fault Diagnosis Method Based on EWT Decomposition Denoising and Deep Learning on Cloud Platform,10.1155/2021/6674351,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
491039194,2021-01-01T00:00:00,"Recent advancements in the domain of Network Function Virtualization (NFV), and rollout of next-generation networks have necessitated the requirement for the upkeep of latency-critical application architectures in future networks and communications. While Cloud service providers recognize the evolving mission-critical requirements in latency sensitive verticals such as autonomous driving, multimedia, gaming, telecommunications, and virtual reality, there is a wide gap to bridge the Quality of Service (QoS) constraints for the end-user experience. Most latency-critical services are over-provisioned on all fronts to offer reliability, which is inefficient towards scalability in the long run. To address this, we propose a strategy to model frequent violations on the application level as a multi-output target to enable more complex decision-making in the management of virtualised communication networks. In this work, we utilize data from a real-world deployment to configure and draft a realistic set of Service Level Objectives (SLOs) for a voice based NFV application, and develop a deep neural network based multi-label classification methodology to identify and predict multiple categories of SLO breaches associated with an application state. With this, we aim to gain granular SLA and SLO violation insights, enabling us to study and mitigate their impact and inform precision in drafting proactive scaling policies. We further compare the performance against a set of multi-label compatible machine learning classifiers, and address class imbalance in a multi-label setup. We perform a comprehensive evaluation to assess the performance on example-based, label-based and ranking-based measures, and demonstrate the suitability of deep learning in such a use-case","[{'title': 'IEEE Open Journal of the Communications Society', 'identifiers': ['2644-125x', 'issn:2644-125X']}]",'Institute of Electrical and Electronics Engineers (IEEE)',A Deep Neural Network-Based Multi-Label Classifier for SLA Violation Prediction in a Latency Sensitive NFV Application,10.1109/OJCOMS.2021.3122844,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
441438944,2020-10-01T00:00:00,"A lack of sensory feedback often hinders minimally invasive operations. Although endoscopy has addressed this limitation to an extent, endovascular procedures such as angioplasty or stenting still face significant challenges. Sensors that rely on a clear line of sight cannot be used because it is unable to gather feedback in blood environments. During the stent deployment procedure, feedback on the deployed stent's state is critical because a partially open stent can affect the blood flow. Despite this, no robust and noninvasive clinical solutions that allow real‐time monitoring of the stent deployment exists. In recent years, radio frequency (RF)‐based sensors can detect the shape and material of an object that is hidden from the direct line of sight. Herein, the use of a 3D RF‐based imaging sensor and a novel Convolutional Neural Network (CNN) called StentNet is proposed for detecting the stent's state without a need for a clear line of sight. The StentNet achieves an overall accuracy of 90% in detecting the state of an occluded stent in the test dataset. Compared with an existing CNN model, the StentNet significantly outperforms the 3D LeNet in the evaluation metrics such as accuracy, precision, recall, and F1‐score","[{'title': 'Advanced Intelligent Systems', 'identifiers': ['2640-4567', 'issn:2640-4567']}]",'Wiley',Stent Deployment Detection Using Radio Frequency‐Based Sensor and Convolutional Neural Networks,10.1002/aisy.202000092,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
390009408,2020-02-20T00:00:00,"Methods of machine intelligence with training contribute their specifics to the creation and commissioning of a gaming system.One of the main problems is the need to anticipate the entire set of input situations and possible answers at the time of design and the impossibility of expanding their list withoutretraining. This leads to a narrowing of the possibility of their use in real gaming systems.  The object of research is the processes of creating and training game agents based on the evolutionary approaches of artificial intelligence. The purpose of the work is the development and justification of a formal model of a game agent based on machine learning methods, software implementation of the game process using neural networks and evolutionary optimization methods for multiple generations of game agent populations. To achieve this goal, the theoretical base, the existing research and development in the industry; a game scenario was designed, the main agents were identified, their main capabilities and expected behavior; training of game agents by various types of neural networks; development testing, quality assessment of behavior and decision-making by artificial intelligence using neural networks were performed; a comparative analysis of various types of neural networks, the proposed recommendations for their use for given conditions. To display the artificial neural network, the template components of the layer, neuron, and bridge were used. The created software module will allow game agents built using various neural networks to compete with each other (and not with a person, as in the normal game mode), and will reveal more prepared ones.  The scientific novelty of the study lies in the fact that a model of a game agent is formalized, based on machine learning methods. The results obtained in this work can be used in the development of video games built on the basis of artificial intelligence of game agents based on machine learning methods, as well as in other scientific studies.Методы машинного интеллекта с обучением вносят свою специфику к созданию и наладке игровой системы.Одна из главных проблем — это необходимость предвидения всего набора входных ситуаций и возможных ответов на моменте проектирования и невозможность расширения их списка без переобучения. Это приводит к сужению возможности их использования в реальных игровых системах.Объектом исследования являются процессы создания и обучения игровых агентов на основе эволюционных подходов искусственного интеллекта. Цель работы - разработка и обоснование формальной модели игрового агента, основанного на методах машинного обучения, программная реализация игрового процесса сприменением нейронных сетей и эволюционных методов оптимизации при множественных поколениях популяций игровых агентов.Для осуществления поставленной цели исследована теоретическая база, существующие исследования и разработки в отрасли; спроектирован игровой сценарий, определены основные агенты, их основные возможности и ожидаемое поведение;реализовано обучение игровых агентов различными типами нейронных сетей; выполнено тестирование разработок, оценка качества поведения и принятия решений искусственныминтеллектом с использованием нейронных сетей; проведен сравнительный анализ различных типов нейронных сетей, предлагаемых рекомендаций по их использованию для заданныхусловий. Для отображения искусственной нейронной сети использованы шаблонные компоненты слоя, нейрона и моста.Созданный программный модуль позволит игровым агентам, построенным с использованием различных нейронных сетей, соперничать друг с другом (а не с человеком,как в обычном режиме игры), позволит выявить более подготовленного из них. Научная новизна исследования заключается в том, что формализована модель игрового агента, в основе которой методы машинного обучения. Полученные в работе результаты могут быть использованы при разработке видеоигр, построенных на базе искусственного интеллекта игровых агентов, в основекоторых методы машинного обучения, а также в рамках других научных исследований.Методи машинного інтелекту з навчанням привносять свою специфіку до створення і налагодження ігрової системи.  Одна з головних проблем - це необхідність передбачення усього набору вхідних ситуацій і можливих відповідей на моменті проектування і неможливість розширення їх списку без перенавчання. Це призводить до звуження можливості їх використання у реальних ігрових системах. Об'єктом дослідження є процеси створення і навчання ігрових агентів на основі еволюційних підходів штучного інтелекту. Мета роботи - розробка і обґрунтування формальної моделі ігрового агенту, заснованої на методах машинного навчання, програмна реалізація ігрового процесу з застосуванням нейронних мереж та еволюційних методів оптимізації при множинних генераціях популяцій ігрових агентів. Для здійснення поставленої мети досліджена теоретична база, існуюча дослідження та розробки в галузі; спроектовано ігровий сценарій, визначені основні агенти, їх основні можливості та очікувана поведінка; реалізоване навчання ігрових агентів різними типами нейронних мереж; виконане тестування розробок, оцінка якості поведінки й прийняття рішень штучним інтелектом з використанням нейронних мереж; проведений порівняльний аналіз різних типів нейронних мереж, запропонування рекомендацій щодо їх використання для заданих умов. Для відображення штучної нейронної мережі використані шаблоні компоненти слою, нейрону і мосту. Створений програмний модуль дозволить ігровим агентам, побудованим з використанням різних нейронних мереж, суперничати один з іншим (а не з людиною, як у звичайному режимі гри), дозволить виявити більш підготовленого з них. Наукова новизна одержаних результатів полягає у тому, що формалізовано модель ігрового агенту, в основі якої методи машинного навчання. Отримані в роботі результати можуть бути використані при розробці відеоігор, побудованих на базі штучного інтелекту ігрових агентів, що гуртуються на методах машинного навчання, а також в рамках інших наукових досліджень",,ДВНЗ «Приазовський державний технічний університет»,ДОСЛІДЖЕННЯ ТА МОДЕЛЮВАННЯ ІГРОВОГО ПРОЦЕСУ НА БАЗІ МЕТОДІВ МАШИННОГО НАВЧАННЯ,,,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
491329314,2021-08-11T19:44:40,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying
and mining video event patterns. This paper details GNOSIS, an
event processing platform to perform near-real-time video event
detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices
and can be deployed at multiple nodes. GNOSIS uses a declarative
query-driven approach where users can write customize queries
for spatiotemporal video event reasoning. The system converts the
incoming video streams into a continuous evolving graph stream
using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS
can perform both stateful and stateless video event matching. To
improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy
efficiency, and content-driven windows. This paper demonstrates
the Occupational Health and Safety query use cases to show the
GNOSIS efficacyThis work was supported with the financial support of the Science
Foundation Ireland (SFI) grant SFI/12/RC/2289_P2.peer-reviewe","[{'title': 'Proceedings of the VLDB Endowment', 'identifiers': ['issn:2150-8097', '2150-8097']}]",'VLDB Endowment',Query-driven video event processing for the internet of multimedia things,10.14778/3476311.3476360,https://core.ac.uk/download/491329314.pdf,core,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
