doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/ICSC.2018.00074,A Matching Framework for Multimedia Data Integration Using Semantics and Ontologies,IEEE,Conferences,The increasing of data volume together with heterogeneity of representations are basic challenges in several application and research contexts. This issue is stressed in the Semantic Web domain where huge of information have to be accessed by users and services in a common and simple way. In order to present different data in an integrated fashion we need of efficient and effective techniques to preserve information about them. In this paper we present a complete approach to integrate very large multimedia knowledge bases using well known formalisms for knowledge representation as ontologies. The proposed approach is supported by a software framework able to create a global ontology by the integration of existing ones automatizing the whole ontology building process. We present a case study on cultural heritage domain to show a real implementation of our approach.,https://ieeexplore.ieee.org/document/8334497/,2018 IEEE 12th International Conference on Semantic Computing (ICSC),31 Jan.-2 Feb. 2018,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ROMAN.1995.531986,A multimedia self-service terminal with conferencing functions,IEEE,Conferences,"We developed a new platform for personal computer based self-service terminals with multimedia conferencing functions in order to provide networked multimedia capability and face-to-face interface. The platform is based on extending our desktop conferencing system called ConverStation/2. It provides ITU-T H.320 motion video audio communication, and shared chalkboard function between a self-service terminal and an operator terminal. It also provides scanned image data transmission for browsing and co-editing of images between a customer and an operator. We clearly separate the platform with application modules, by providing a string command interface between them; we enhanced our conferencing features to meet the requirements of self-service applications. The major new features include: 1) asymmetric operation and user interface of a shared chalkboard; 2) dynamic line connection/disconnection control, and 3) dynamic media (video/audio/data) control on ISDN communication. With these conferencing functions, more complex services such as consultation can be provided through self-service terminals.",https://ieeexplore.ieee.org/document/531986/,Proceedings 4th IEEE International Workshop on Robot and Human Communication,5-7 July 1995,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ISPACS.2010.5704595,Advancing multimedia technologies for smart living and learning services,IEEE,Conferences,"The development of ICT technologies to advance smart living products and creative humanity services becomes future global consensus and industrial trends in the world. The user-driven innovations, which bring products and services naturally and smartly close to human needs, should heavily adopt many interactive multimedia technologies. The interactions through the detection of human nature touch, voice, and gestures and the responses of virtually real multimedia could be implemented in highly integrated embedded and cloud computing systems. In the talk, some designs such as 3D interactive sports, Interactive arts, interactive table, and smart living and learning products in the Technologies of Ubiquitous Computing and Humanity (TOUCH) Center, will be introduced. Through smart living and learning clouds, the future plans related to smart living and efficient learning services for the students are addressed. Linked to the city government, the humanity services through living lab open innovations delivered to the citizens will be forecasted finally.",https://ieeexplore.ieee.org/document/5704595/,2010 International Symposium on Intelligent Signal Processing and Communication Systems,6-8 Dec. 2010,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/DEST.2009.5276702,An artificial immune system approach to anomaly detection in multimedia ambient intelligence,IEEE,Conferences,"Artificial Immune Systems are inspired by biological immune systems, and are characterized by interesting properties such as error tolerance, adaptation and self-monitoring. An area where they found wide application is anomaly detection in information systems, including intrusion detection. In this work we propose to extend the Artificial Immune System (AIS) paradigm from its typical application domain, computer system security, to ambient intelligence. AISs can be used to respond adaptively to real word anomalies in controlled environments. Here the counterpart of perceptual functions and detection capabilities can be provided by device intelligence, e.g. in terms of multimedia interpretation.",https://ieeexplore.ieee.org/document/5276702/,2009 3rd IEEE International Conference on Digital Ecosystems and Technologies,1-3 June 2009,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/CloudCom.2016.0060,Animation Rendering on Multimedia Fog Computing Platforms,IEEE,Conferences,"Modern distributed multimedia applications are resource-hungry, and they often leverage on-demand cloud services to reduce their expenses. Existing cloud services deploy many servers in a few data centers, which consume a lot of electricity to power up and cold down, and thus are expensive and environmentally unfriendly. In this paper, we present a multimedia fog computing platform that utilizes resources from public crowds, edge networks, and data centers to serve distributed multimedia applications at lower costs. We use animation rendering as a case study, and identify several challenges for optimizing it on our multimedia fog computing platform. Among these challenges, we focus on the problem of predicting the completion time of each rendering job. We propose an efficient algorithm based on state-of-the-art machine learning algorithms. We also fine-tune the algorithm using multi-fold cross-validation for higher prediction accuracy. With real datasets, we conduct trace-driven simulations to quantify the performance of our prediction algorithm and that of the whole platform. The simulation results show that our proposed algorithm outperforms a state-of the-art statistical model in several aspects: completed job ratio by 20%, makespan by 2 times, and normalized deviation by 30 times, on average. Moreover, the overall performance of the platform with our proposed algorithm is fairly close to that with an Oracle of the actual job completion time: a small factor of 1.48 in terms of makespan is observed.",https://ieeexplore.ieee.org/document/7830701/,2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),12-15 Dec. 2016,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ISM52913.2021.00039,Combining Linked Open Data and Multimedia Knowledge Base for Digital Cultural Heritage Robotic Applications,IEEE,Conferences,"The current trends in society evolution are showing rapid changes in our habitual environments and consequently affecting human interactions with them. Among the key factors of this process we can certainly cite the growth of BigData favored by the knowledge digitalization, the dissemination of sensors in environments and the advancements of connectivity capabilities. At the same time, the progress in artificial intelligence and cognitive robotics has lead to the production of sophisticated humanoid robots, which are progressively spreading to a wide public. In this way, research efforts are needed for a proper knowledge management and knowledge acquisition by machines, in order to have more natural and friendly human-robot interactions in daily tasks, usually performed by human beings. In this paper we show an approach related to a human-robot interaction in cultural heritage context, simulating a digital ecosystem where a robot plays the role of a guide for tourists and it is able to proactively interact with its interlocutors by combining both semantic and visual information. The proposed approach, its implementation and experimental results on a real robotic platform are shown and discussed.",https://ieeexplore.ieee.org/document/9666077/,2021 IEEE International Symposium on Multimedia (ISM),29 Nov.-1 Dec. 2021,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/EMSCNT.1997.658447,Combining multimedia collaboration and workflow management,IEEE,Conferences,"Two different areas of distributed group work are supported by workflow management systems and real time collaboration systems. Workflow management systems support work being structured in steps such that each step can be handled with the results of former steps and the expertise of the person working on that step. On the other hand, multimedia collaboration systems are best suited for unstructured group activities. Audiovisual connectivity and shared documents enable flexible group processes. All coordination tasks are left to the conference participants. The paper introduces an integration concept and prototype system which combines the advantages of both types of CSCW systems.",https://ieeexplore.ieee.org/document/658447/,Proceedings 23rd Euromicro Conference New Frontiers of Information Technology - Short Contributions -,1-4 Sept. 1997,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
,Controlling QoS at the application level for multimedia applications using artificial neural networks: Experimental results,IEEE,Conferences,"In this paper we implement a recurrent high order neural network based controller (built into a Client-Server architecture), in order to provide QoS control. The scheme is based on a recently proposed QoS control algorithm with proven stability and robustness properties. Mild assumptions have been used to construct a user satisfaction function that depends on two media characteristics (i.e. color depth and frame rate). The above, along with bandwidth measurements obtained at per frame basis, provide the essential information to the controller, which outputs the appropriate values for the media characteristics in order to achieve the required user satisfaction without violating the available bandwidth constraint. The implementation is performed on a TCP/IP network and the QoS control, which is applied at the application level, is shown to hold a real time property. Experimental results highlight its performance.",https://ieeexplore.ieee.org/document/7075266/,2000 10th European Signal Processing Conference,4-8 Sept. 2000,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/TENCON.2002.1181265,Current challenges and trends of interactive multimedia in enhancing engineering education,IEEE,Conferences,"The use of multimedia computer technology as replacement, or supplement to, human educators in engineering education is becoming widespread. Such technology can be employed to demonstrate and correlate real life application and theory thereby promoting deep learning. Interactive courseware for higher learning institutions may be extremely useful where trained human resources in the engineering education sector are limited. However, although many interactive multimedia systems have been developed, only few of these systems can really be said to be successful. This paper present an overview of the status of some interactive techniques commonly used in the context of engineering education and discuss the current trends of incorporating multimedia technology in the teaching of engineering subjects.",https://ieeexplore.ieee.org/document/1181265/,"2002 IEEE Region 10 Conference on Computers, Communications, Control and Power Engineering. TENCOM '02. Proceedings.",28-31 Oct. 2002,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICMLC.2007.4370883,Design and Application of Multimedia Mobile Learning Framework,IEEE,Conferences,"Due to the thrive of mobile network and portable device, distance learning is evolved from desktop computer to mobile device. This paper combines mobile computing with streaming media technology in the application of distance education to design an open multimedia mobile learning framework for university students. This framework consists of mobile learning software and custom learning device. System architecture and several implementation issues are discussed in this paper. Moreover, practical applications show that our framework can significantly increase student's interest and effect in learning as compare to the traditional mode. The system is of preferable feature of real-time, interactive and expansion.",https://ieeexplore.ieee.org/document/4370883/,2007 International Conference on Machine Learning and Cybernetics,19-22 Aug. 2007,ieeexplore,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
