contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Chapter ConferencePaper,doi:10.1007/978-981-16-9967-2_32,Deep Learning for Part of Speech (PoS) Tagging: Konkani,Smart Trends in Computing and Communications,10.1007/978-981-16-9967-2_32,Springer,2023-01-01,"This is the first time that an experiment using deep learning has been attempted with a Konkani language data set. For this study, over 100,000 PoS tagged Konkani sentences were used. The f-scores for deep learning are 90.73% for training data and 71.43% for test data. These results are better than the ones previously reported for Konkani. We have provided a list of references of PoS tagging for Indian languages specifically using deep learning to place our research in perspective.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-9967-2_32,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-2394-4_67,Pain Detection Using Deep Learning Method from 3D Facial Expression and Movement of Motion,Proceedings of Seventh International Congress on Information and Communication Technology,10.1007/978-981-19-2394-4_67,Springer,2023-01-01,"Nowadays, face expression technology is widespread. For instance, 2D pain detection is utilized in hospitals; nevertheless, it has some disadvantages that should be considered. Our goal was to design a 3D pain detection system that anybody may use before coming to the hospital, supporting all orientations. We utilized a dataset from the University of Northern British Columbia (UNBC) as a training set in this study. Pain is classified as not hurting, becoming painful, and painful in our system. The system’s effectiveness was established by comparing its results to those of a highly trained medical and two-dimensional pain identification. To conclude, our study has developed an uncomplicated, cost-effective, and easy to comprehend alternative tool for screening for pain before admission for the public in general and health provider.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-2394-4_67,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-16-9967-2_64,Real-Time Object Detection System with Voice Feedback for the Blind People,Smart Trends in Computing and Communications,10.1007/978-981-16-9967-2_64,Springer,2023-01-01,"Lots of people suffer from temporary or permanent disabilities, and one of them is blindness or the visually impaired. According to the World Health Organization (WHO), more than 1 billion people suffer from blindness. Technology may assist blind and visually impaired persons in a number of ways; objects detecting is still a difficult process. There are so many techniques available for object detection. But, the accuracy and efficiency of detection aren’t good. Therefore, in this paper, authenticate object detection in real time using the YOLO-v3 and deep learning techniques. The main focus of this paper is to create a smartphone application that is cost-efficient with high accuracy.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-9967-2_64,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-16-9967-2_65,Bird Video Summarization Using Pre-trained CNN Model and Deep Learning,Smart Trends in Computing and Communications,10.1007/978-981-16-9967-2_65,Springer,2023-01-01,"In the past few years, the forms of data have changed drastically from the text formats to images and today, most of the data are available in the video format. With this, there is a huge demand in the techniques that can provide the overall summary of the video. In this paper, we present the summary of birds that are identified from the large datasets using convolutional neural network (CNN). CNN is one of the best image processing and video processing model. The CNN model that we have used for the task is pre-trained AlexNet. The paper clearly proves that the work proposed recognizes the various kinds of birds from the inputted video with accuracy level ranging between 85 and 99%. At last, we provide the overall summary in terms of start time and end time of existence of each bird in the video.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-9967-2_65,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-3632-6_37,Multi-dimensional Convolutional Neural Network for Speech Emotion Recognition,The 2021 International Conference on Smart Technologies and Systems for Internet of Things,10.1007/978-981-19-3632-6_37,Springer,2023-01-01,"Speech Emotion Recognition (SER) is a difficulty of deep learning algorithms. The difficulty is that people’s own understanding of emotions is not absolute. Different people may also have different judgments on the same speech. And speech emotion recognition plays a huge role in many real-time applications. With the continuous development of deep learning in recent years, many people use convolutional neural networks (CNN) to extract high-dimensional features in speech from speech spectrograms, thereby improving the accuracy of speech emotion recognition. In contrast, we propose a new model of speech emotion recognition. The model uses the eGeMAPS feature set extracted through the openSMILE toolkit to input into our model. The model learns the correlation and timing between features. In addition, we perform intra-class normalization on the input features to ensure more accurate recognition and faster data fitting. In our model, the key speech segments can be selected through the characteristics of convolutional neural network (CNN), so that the recognition accuracy of the model can achieve a better effect. Our model was evaluated experimentally in the IEMOCAP dataset. Experimental results show that our unweighted accuracy (UA) and weighted accuracy (WA) on the test set reached 60.9% and 63.0%.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-3632-6_37,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0095-2_18,Traffic Sign Detection and Recognition,Information and Communication Technology for Competitive Strategies (ICTCS 2021),10.1007/978-981-19-0095-2_18,Springer,2023-01-01,"Surge in the amount of automobiles on street imposes the consumption of automatic systems for driver aid. These structures form significant instruments of self-driving automobiles as well. Traffic Sign Recognition remains such an automatic structure which affords the relative responsiveness aimed at self-driving automobile. In this work we are able to perceive and identify traffic signs in video classifications detailed by an onboard automobile camera. Traffic Sign Recognition (TSR) stands used to control traffic signs, inform a driver and facility or proscribe definite actions. A debauched real-time and vigorous instinctive traffic sign finding and recognition can upkeep and disburden the driver and ominously upsurge heavy protection and ease. Instinctive recognition of traffic signs is also important for automated intellectual driving automobile or driver backing structures. This paper presents a study to identify traffic sign via OpenCV procedure and also convert the detected sign into text and audio signal. The pictures are mined, perceived and recognized by preprocessing through numerous image processing methods. At that time, the phases are accomplished to identify and identify the traffic sign arrangements. The structure is trained and endorsed to find the finest network architecture. Aimed at the network exercise and assessment we have generated a dataset containing of 1012 images of 8 diverse classes. The tentative results demonstrate the exceedingly accurate groupings of traffic sign patterns with composite contextual images and the computational price of the planned system. Though, numerous features make the road sign recognition tricky and problematic such as lighting state changes, occlusion of signs due to hitches, distortion of signs, gesture blur in video images.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0095-2_18,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-3-031-07258-1_50,Digital Twins as Testbeds for Vision-Based Post-earthquake Inspections of Buildings,European Workshop on Structural Health Monitoring,10.1007/978-3-031-07258-1_50,Springer,2023-01-01,"Manual visual inspections typically conducted after an earthquake are high-risk, subjective, and time-consuming. Delays from inspections often exacerbate the social and economic impact of the disaster on affected communities. Rapid and autonomous inspection using images acquired from unmanned aerial vehicles offer the potential to reduce such delays. Indeed, a vast amount of research has been conducted toward developing automated vision-based methods to assess the health of infrastructure at the component and structure level. Most proposed methods typically rely on images of the damaged structure, but seldom consider how the images were acquired. To achieve autonomous inspections, methods must be evaluated in a comprehensive end-to-end manner, incorporating both data acquisition and data processing. In this paper, we leverage recent advances in computer generated imagery (CGI) to construct a 3D synthetic environment with a digital twin for simulation of post-earthquake inspections that allows for comprehensive evaluation and validation of autonomous inspection strategies. A critical issue is how to simulate and subsequently render the damage in the structure after an earthquake. To this end, a high-fidelity nonlinear finite element model is incorporated in the synthetic environment to provide a representation of earthquake-induced damage; this finite element model, combined with photo-realistic rendering of the damage, is termed herein a physics-based graphics models (PBGM). The 3D synthetic environment with PBGM as a digital twin provides a comprehensive end-to-end approach for development and validation of autonomous post-earthquake strategies using UAVs.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-07258-1_50,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-3-031-04090-0_5,Wavelet Energy Features for Damage Identification: Sensitivity to Measurement Uncertainties,"Model Validation and Uncertainty Quantification, Volume 3",10.1007/978-3-031-04090-0_5,Springer,2023-01-01,"In vibration-based structural parameter identification, wavelet transformation has been widely used for extraction of damage pertinent data for onward identification of structural parameters or the occurrence of anomalies. Among wavelet-based techniques, the use of wavelet packet node energy (WPNE) as damage-sensitive features has attracted much research interest in more recent years. WPNE features contain detailed information which can be highly sensitive to local damages. However, most of the existing studies in the literature on using wavelet energy-based features have been numerical and involved idealised assumptions such as perfect and identical excitations among different tests. This paper presents an investigation into the tolerance of a wavelet packet energy with neural network approach to uncertainties in the input excitations and measurement noises. WPNEs are extracted from vibration signals from impact tests as feature proxies and a back-propagation neural network is used for classification. The method is firstly applied on a beam model using finite element simulations, in which variation in the excitations and measurement noises are incorporated to investigate the susceptibility of the approach to such uncertainties. Subsequently, the method is applied to the experimental data from the laboratory test of a steel beam. The results from both the numerical simulations and the experimental verification demonstrate that the wavelet energy with neural network approach to detecting structural changes is workable, and given a reasonably controlled impact test, it is possible to identify the initiation of damage with good accuracy.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-04090-0_5,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0095-2_56,Robust Feature Extraction and Recognition Model for Automatic Speech Recognition System on News Report Dataset,Information and Communication Technology for Competitive Strategies (ICTCS 2021),10.1007/978-981-19-0095-2_56,Springer,2023-01-01,"Information processing has become ubiquitous. The process of deriving speech from transcription is known as automatic speech recognition systems. In recent days, most of the real-time applications such as home computer systems, mobile telephones, and various public and private telephony services have been deployed with automatic speech recognition (ASR) systems. Inspired by commercial speech recognition technologies, the study on automatic speech recognition (ASR) systems has developed an immense interest among the researchers. This paper is an enhancement of convolution neural networks (CNNs) via a robust feature extraction model and intelligent recognition systems. First, the news report dataset is collected from a public repository. The collected dataset is subjective to different noises that are preprocessed by min–max normalization. The normalization technique linearly transforms the data into an understandable form. Then, the best sequence of words, corresponding to the audio based on the acoustic and language model, undergoes feature extraction using Mel-frequency Cepstral Coefficients (MFCCs). The transformed features are then fed into convolutional neural networks. Hidden layers perform limited iterations to get robust recognition systems. Experimental results have proved better accuracy of 96.17% than existing ANN.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0095-2_56,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0095-2_35,Designing a Digital Shadow for Pasture Management to Mitigate the Impact of Climate Change,Information and Communication Technology for Competitive Strategies (ICTCS 2021),10.1007/978-981-19-0095-2_35,Springer,2023-01-01,"Pasture is a said to be a natural feed to the animal. Pastures are maintained to ensure a good quality and quantity of the feed to get the best produce from the animals. Traditional ways of managing the pastures are costly and labor intensive. The use of technology in farming introduced the concept of smart farming which made pasture management easier and cost effective. Smart farming integrates advanced technological methods that include Internet of Things (IoT), big data and cloud computing. These enable tracking, monitoring, automating and complex operational analysis operations. However even with the use of these new technological techniques there are still challenges facing pasture management. Pastures are dependent on climatic conditions therefore climate change has a great impact on pasture management. With the onset of climate change, it has become a challenge for livestock farmers to predict weather conditions therefore it is impossible for decision makers to deal more effectively with the effects of climate variability. However, the digital twin concept proved to be the best technique to tackle these challenges due to its complex prediction techniques that include artificial intelligence (AI) and machine learning. This paper analyses the models used in building a digital shadow as the first step in developing a digital twin.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0095-2_35,springer,multimedia,'multimedia' AND 'machine learning' AND ('real-world' AND 'deploy')
