id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2207.10170v1,2022-07-20T19:49:09Z,2022-07-20T19:49:09Z,Illusionary Attacks on Sequential Decision Makers and Countermeasures,"Autonomous intelligent agents deployed to the real-world need to be robust
against adversarial attacks on sensory inputs. Existing work in reinforcement
learning focuses on minimum-norm perturbation attacks, which were originally
introduced to mimic a notion of perceptual invariance in computer vision. In
this paper, we note that such minimum-norm perturbation attacks can be
trivially detected by victim agents, as these result in observation sequences
that are not consistent with the victim agent's actions. Furthermore, many
real-world agents, such as physical robots, commonly operate under human
supervisors, which are not susceptible to such perturbation attacks. As a
result, we propose to instead focus on illusionary attacks, a novel form of
attack that is consistent with the world model of the victim agent. We provide
a formal definition of this novel attack framework, explore its characteristics
under a variety of conditions, and conclude that agents must seek realism
feedback to be robust to illusionary attacks.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.06572v1,2022-07-14T00:26:45Z,2022-07-14T00:26:45Z,"i-Sim2Real: Reinforcement Learning of Robotic Policies in Tight
  Human-Robot Interaction Loops","Sim-to-real transfer is a powerful paradigm for robotic reinforcement
learning. The ability to train policies in simulation enables safe exploration
and large-scale data collection quickly at low cost. However, prior works in
sim-to-real transfer of robotic policies typically do not involve any
human-robot interaction because accurately simulating human behavior is an open
problem. In this work, our goal is to leverage the power of simulation to train
robotic policies that are proficient at interacting with humans upon
deployment. But there is a chicken and egg problem -- how do we gather examples
of a human interacting with a physical robot so as to model human behavior in
simulation without already having a robot that is able to interact with a
human? Our proposed method, Iterative-Sim-to-Real (i-S2R), attempts to address
this. i-S2R bootstraps from a simple model of human behavior and alternates
between training in simulation and deploying in the real world. In each
iteration, both the human behavior model and the policy are refined. We
evaluate our method on a real world robotic table tennis setting, where the
objective for the robot is to play cooperatively with a human player for as
long as possible. Table tennis is a high-speed, dynamic task that requires the
two players to react quickly to each other's moves, making a challenging test
bed for research on human-robot interaction. We present results on an
industrial robotic arm that is able to cooperatively play table tennis with
human players, achieving rallies of 22 successive hits on average and 150 at
best. Further, for 80% of players, rally lengths are 70% to 175% longer
compared to the sim-to-real (S2R) baseline. For videos of our system in action,
please see https://sites.google.com/view/is2r.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.04703v2,2022-07-17T18:53:03Z,2022-07-11T08:31:22Z,"Don't Start From Scratch: Leveraging Prior Data to Automate Robotic
  Reinforcement Learning","Reinforcement learning (RL) algorithms hold the promise of enabling
autonomous skill acquisition for robotic systems. However, in practice,
real-world robotic RL typically requires time consuming data collection and
frequent human intervention to reset the environment. Moreover, robotic
policies learned with RL often fail when deployed beyond the carefully
controlled setting in which they were learned. In this work, we study how these
challenges can all be tackled by effective utilization of diverse offline
datasets collected from previously seen tasks. When faced with a new task, our
system adapts previously learned skills to quickly learn to both perform the
new task and return the environment to an initial state, effectively performing
its own environment reset. Our empirical results demonstrate that incorporating
prior data into robotic reinforcement learning enables autonomous learning,
substantially improves sample-efficiency of learning, and enables better
generalization. Project website: https://sites.google.com/view/ariel-berkeley/",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.03124v1,2022-07-07T07:04:55Z,2022-07-07T07:04:55Z,"Retro-RL: Reinforcing Nominal Controller With Deep Reinforcement
  Learning for Tilting-Rotor Drones","Studies that broaden drone applications into complex tasks require a stable
control framework. Recently, deep reinforcement learning (RL) algorithms have
been exploited in many studies for robot control to accomplish complex tasks.
Unfortunately, deep RL algorithms might not be suitable for being deployed
directly into a real-world robot platform due to the difficulty in interpreting
the learned policy and lack of stability guarantee, especially for a complex
task such as a wall-climbing drone. This paper proposes a novel hybrid
architecture that reinforces a nominal controller with a robust policy learned
using a model-free deep RL algorithm. The proposed architecture employs an
uncertainty-aware control mixer to preserve guaranteed stability of a nominal
controller while using the extended robust performance of the learned policy.
The policy is trained in a simulated environment with thousands of domain
randomizations to achieve robust performance over diverse uncertainties. The
performance of the proposed method was verified through real-world experiments
and then compared with a conventional controller and the state-of-the-art
learning-based controller trained with a vanilla deep RL algorithm.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.02890v1,2022-07-06T18:07:36Z,2022-07-06T18:07:36Z,Humans Social Relationship Classification during Accompaniment,"This paper presents the design of deep learning architectures which allow to
classify the social relationship existing between two people who are walking in
a side-by-side formation into four possible categories --colleagues, couple,
family or friendship. The models are developed using Neural Networks or
Recurrent Neural Networks to achieve the classification and are trained and
evaluated using a database of readings obtained from humans performing an
accompaniment process in an urban environment. The best achieved model
accomplishes a relatively good accuracy in the classification problem and its
results enhance partially the outcomes from a previous study [1]. Furthermore,
the model proposed shows its future potential to improve its efficiency and to
be implemented in a real robot.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2207.00254v1,2022-07-01T07:56:48Z,2022-07-01T07:56:48Z,"A Survey on Active Simultaneous Localization and Mapping: State of the
  Art and New Frontiers","Active Simultaneous Localization and Mapping (SLAM) is the problem of
planning and controlling the motion of a robot to build the most accurate and
complete model of the surrounding environment. Since the first foundational
work in active perception appeared, more than three decades ago, this field has
received increasing attention across different scientific communities. This has
brought about many different approaches and formulations, and makes a review of
the current trends necessary and extremely valuable for both new and
experienced researchers. In this work, we survey the state-of-the-art in active
SLAM and take an in-depth look at the open challenges that still require
attention to meet the needs of modern applications. % in order to achieve
real-world deployment. After providing a historical perspective, we present a
unified problem formulation and review the classical solution scheme, which
decouples the problem into three stages that identify, select, and execute
potential navigation actions. We then analyze alternative approaches, including
belief-space planning and modern techniques based on deep reinforcement
learning, and review related work on multi-robot coordination. The manuscript
concludes with a discussion of new research directions, addressing reproducible
research, active spatial perception, and practical applications, among other
topics.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.14176v1,2022-06-28T17:44:48Z,2022-06-28T17:44:48Z,DayDreamer: World Models for Physical Robot Learning,"To solve tasks in complex environments, robots need to learn from experience.
Deep reinforcement learning is a common approach to robot learning but requires
a large amount of trial and error to learn, limiting its deployment in the
physical world. As a consequence, many advances in robot learning rely on
simulators. On the other hand, learning inside of simulators fails to capture
the complexity of the real world, is prone to simulator inaccuracies, and the
resulting behaviors do not adapt to changes in the world. The Dreamer algorithm
has recently shown great promise for learning from small amounts of interaction
by planning within a learned world model, outperforming pure reinforcement
learning in video games. Learning a world model to predict the outcomes of
potential actions enables planning in imagination, reducing the amount of trial
and error needed in the real environment. However, it is unknown whether
Dreamer can facilitate faster learning on physical robots. In this paper, we
apply Dreamer to 4 robots to learn online and directly in the real world,
without simulators. Dreamer trains a quadruped robot to roll off its back,
stand up, and walk from scratch and without resets in only 1 hour. We then push
the robot and find that Dreamer adapts within 10 minutes to withstand
perturbations or quickly roll over and stand back up. On two different robotic
arms, Dreamer learns to pick and place multiple objects directly from camera
images and sparse rewards, approaching human performance. On a wheeled robot,
Dreamer learns to navigate to a goal position purely from camera images,
automatically resolving ambiguity about the robot orientation. Using the same
hyperparameters across all experiments, we find that Dreamer is capable of
online learning in the real world, establishing a strong baseline. We release
our infrastructure for future applications of world models to robot learning.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11887v1,2022-06-23T17:53:33Z,2022-06-23T17:53:33Z,"VRKitchen2.0-IndoorKit: A Tutorial for Augmented Indoor Scene Building
  in Omniverse","With the recent progress of simulations by 3D modeling software and game
engines, many researchers have focused on Embodied AI tasks in the virtual
environment. However, the research community lacks a platform that can easily
serve both indoor scene synthesis and model benchmarking with various
algorithms. Meanwhile, computer graphics-related tasks need a toolkit for
implementing advanced synthesizing techniques. To facilitate the study of
indoor scene building methods and their potential robotics applications, we
introduce INDOORKIT: a built-in toolkit for NVIDIA OMNIVERSE that provides
flexible pipelines for indoor scene building, scene randomizing, and animation
controls. Besides, combining Python coding in the animation software INDOORKIT
assists researchers in creating real-time training and controlling avatars and
robotics. The source code for this toolkit is available at
https://github.com/realvcla/VRKitchen2.0-Tutorial, and the tutorial along with
the toolkit is available at https://vrkitchen20-tutorial.readthedocs.io/en/",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11804v4,2022-07-07T05:57:55Z,2022-06-23T16:22:56Z,"Rethinking Surgical Instrument Segmentation: A Background Image Can Be
  All You Need","Data diversity and volume are crucial to the success of training deep
learning models, while in the medical imaging field, the difficulty and cost of
data collection and annotation are especially huge. Specifically in robotic
surgery, data scarcity and imbalance have heavily affected the model accuracy
and limited the design and deployment of deep learning-based surgical
applications such as surgical instrument segmentation. Considering this, we
rethink the surgical instrument segmentation task and propose a one-to-many
data generation solution that gets rid of the complicated and expensive process
of data collection and annotation from robotic surgery. In our method, we only
utilize a single surgical background tissue image and a few open-source
instrument images as the seed images and apply multiple augmentations and
blending techniques to synthesize amounts of image variations. In addition, we
also introduce the chained augmentation mixing during training to further
enhance the data diversities. The proposed approach is evaluated on the real
datasets of the EndoVis-2018 and EndoVis-2017 surgical scene segmentation. Our
empirical analysis suggests that without the high cost of data collection and
annotation, we can achieve decent surgical instrument segmentation performance.
Moreover, we also observe that our method can deal with novel instrument
prediction in the deployment domain. We hope our inspiring results will
encourage researchers to emphasize data-centric methods to overcome demanding
deep learning limitations besides data shortage, such as class imbalance,
domain adaptation, and incremental learning. Our code is available at
https://github.com/lofrienger/Single_SurgicalScene_For_Segmentation.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
http://arxiv.org/abs/2206.11623v1,2022-06-23T11:21:04Z,2022-06-23T11:21:04Z,"Waypoint Generation in Row-based Crops with Deep Learning and
  Contrastive Clustering","The development of precision agriculture has gradually introduced automation
in the agricultural process to support and rationalize all the activities
related to field management. In particular, service robotics plays a
predominant role in this evolution by deploying autonomous agents able to
navigate in fields while executing different tasks without the need for human
intervention, such as monitoring, spraying and harvesting. In this context,
global path planning is the first necessary step for every robotic mission and
ensures that the navigation is performed efficiently and with complete field
coverage. In this paper, we propose a learning-based approach to tackle
waypoint generation for planning a navigation path for row-based crops,
starting from a top-view map of the region-of-interest. We present a novel
methodology for waypoint clustering based on a contrastive loss, able to
project the points to a separable latent space. The proposed deep neural
network can simultaneously predict the waypoint position and cluster assignment
with two specialized heads in a single forward pass. The extensive
experimentation on simulated and real-world images demonstrates that the
proposed approach effectively solves the waypoint generation problem for both
straight and curved row-based crops, overcoming the limitations of previous
state-of-the-art methodologies.",arxiv,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
