id,datePublished,description,journals,publisher,title,doi,downloadUrl,database,query_name,query_value
161050422,2017-01-03T00:00:00,"Several neural network controllers for robotic manipulators have been developed during the last decades due to their capability to learn the dynamic properties and the improvements in the global stability of the system. In this paper, an adaptive neural controller has been designed with self learning to resolve the problems caused by using a classical controller. A comparison between the improved unsupervised adaptive neural network controller and the P controller for the NXT SCARA robot system is done, and the result shows the improvement of the self learning controller to track the determined trajectory of robotic automated controllers with uncertainties. Implementation and practical results were designed to guarantee online real-time","[{'title': 'Recent Innovations in Mechatronics', 'identifiers': ['issn:2064-9622', '2064-9622']}]",'University of Debrecen/ Debreceni Egyetem',Implementation of Adaptive Neural Networks Controller for NXT SCARA Robot System,10.17667/riim.2017.1/3.,https://core.ac.uk/download/161050422.pdf,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
304935586,2018-06-30T22:22:06,"Advanced autonomous robotics space missions rely heavily on the flawless interaction of complex hardware, multiple sensors, and a mission-critical software system.  This software system consists of an operating system, device drivers, controllers, and executives; recently highly complex AI-based autonomy software have also been introduced. Prior to launch, this software has to undergo rigorous verification and validation (V&V).  Nevertheless, dormant software bugs, failing sensors, unexpected hardware-software interactions, and unanticipated environmental conditions—likely on a space exploration mission—can cause major software faults that can endanger the entire mission.

Our Integrated Software Health Management (ISWHM) system continuously monitors the hardware sensors and the software in real-time. The ISWHM uses Bayesian networks, compiled to arithmetic circuits, to model software and hardware interactions. Advanced reasoning algorithms using arithmetic circuits not only enable the ISWHM to handle large, hierarchical models that are necessary in the realm of complex autonomous systems, but also enable efficient execution on small embedded processors. The latter capability is of extreme importance for small (mobile) autonomous units with limited computational power and low telemetry bandwidth.  In this paper, we discuss the requirements of ISWHM.  As our initial demonstration platform, we use a primitive Lego rover. A Lego 
Mindstorms microcontroller is used to implement a highly simplified autonomous rover driving system, running on the OSEK real-time operating system. We demonstrate that our ISWHM, running on this small embedded microcontroller, can perform fault detection as well as on-board reasoning for advanced diagnosis and root-cause detection in real time",,,Software and System Health Management for Autonomous Robotics Missions,10.1184/r1/6710654.v1,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
323332613,2014-11-19T00:00:00,"Robotics has become a common subject in many engineering degrees and postgraduate programs. Although at undergraduate levels the students are introduced to basic theoretical concepts and tools, at postgraduate courses more complex topics have to be covered. One of those advanced subjects is Cognitive Robotics, which covers aspects like automatic symbolic reasoning, decision-making, task planning or machine learning. In particular, Reinforcement Learning (RL) is a machine learning and
decision-making methodology that does not require a model of the environment where the robot operates, overcoming this limitation by making observations. In order to get the greatest educational benefit, RL theory should be complemented with some hands-on RL task that uses a real robot, so students get a complete vision of the learning problem, as well as of the issues that arise when dealing with a physical robotic platform. There are several RL techniques that can be studied in such a subject; we have chosen Q-learning, since is a simple, effective and well-known RL algorithm.

In this paper we present a minimalist implementation of the Q-learning method for a Lego Mindstorms NXT mobile robot, focused on simplicity and applicability, and flexible enough to be adapted to several tasks. Starting from a simple wandering problem, we first design an off-line model of the learning process in which the Q-learning parameters are studied. After that, we implement the algorithm on the robot, gradually enlarging the number of states-actions of the problem. The final result of this work is a teaching framework for developing practical activities regarding Q-learning in our Robotics subjects, which will improve our teaching.Universidad de Málaga. Campus de Excelencia Internacional Andalucía Tech",,,LEGO© Mindstorms NXT and Q-Learning: a teaching approach for robotics in engineering,,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
33705626,2014,"Humans have the subconscious ability to create simple abstractions from observations of their physical environment. The ability to consider the colour of an object in terms of ""red"" or ""blue"", rather than spatial distributions of reflected light wavelengths, is vital in processing and communicating information about important features within our local environment. The real-time identification of such features in image processing necessitates the software implementation of such a process; segmenting an image into regions of salient colour, and in doing so reducing the information stored and processed from 3-dimensional pixel values to a simple colour class label. This paper details a method by which colour segmentation may be performed offline and stored in a static look-up table, allowing for constant time dimensionality reduction in an arbitrary environment of coloured features. The machine learning framework requires no human supervision, and its performance is evaluated in terms of feature classification performance within a RoboCup robot soccer environment. The developed system is demonstrated to yield an 8% improvement over slower traditional methods of manual colour mapping",,Springer Verlag,Unsupervised recognition of salient colour for real-time image processing,10.1007/978-3-662-44468-9_33,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
522188581,2018-09-01T00:00:00,"© 2018 IEEE.The capability of following a person is crucial in service-oriented robots for human assistance and cooperation. Though a vast variety of following systems exist, they lack robustness against dynamic changes of the environment and relocating to continue following a lost target. Here we present a robust human following system that has the extendability to commercial service robot platforms having a RGB-D camera. The proposed framework integrates deep learning methods for perception and variational Bayesian techniques for trajectory prediction. Deep learning modules enable robots to accompany a person by detecting the target, learning the target and following while avoiding collision within the dynamic home environment. The variational Bayesian techniques robustly predict the trajectory of the target by empowering the following ability of the robot when target is lost. We experimentally demonstrate the capability of the deep Bayesian trajectory prediction method on real-time usage, following abilities, collision avoidance and trajectory prediction of the system. The proposed system was deployed at the RoboCup@Home 2017 Social Standard Platform League and successfully demonstrated its robust functions and smooth person following capability resulting in winning the 1st place.N","[{'title': None, 'identifiers': ['issn:1050-4729', '1050-4729']}]",Institute of Electrical and Electronics Engineers Inc.,Robust Human Following by Deep Bayesian Trajectory Prediction for Home Service Robots,,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
352152004,2019-03-20T00:00:00,"Robotic Process Automation (RPA) is a new wave of the future technologies. Robotic Process Automation is one of the most advanced technologies in the area of computers science, electronic and communications, mechanical engineering, and information technology. It is a combination of both hardware and software, networking and automation for doing things very simple. In this light, the research manuscript investigated the secondary data - which is available on google, academic and research databases. The investigation went for totally 6 months, i.e., 1-1-2018 to 30-6-2018. A very few empirical articles, white papers, blogs and were found RPA and came across to compose this research manuscript. This study is exploratory in nature because of the contemporary phenomenon. The keywords used in searching from the database were Robotic Process Automation, RPA, Robots, Artificial Intelligence, Blue Prism. The study finally discovered that Robots and Robotic Process Automation technologies are becoming compulsory as a part to do business operations in organizations across the globe. Robotic Process Automation can bring immediate value to the core business processes including employee payroll, employee status changes, new hire recruitment, and onboarding, accounts receivable and payable, invoice processing, inventory management, report creation, software installations, data migration, and vendor onboarding etc. to name a few applications. Besides, the Robotic Process Automation has abundant applications including healthcare and pharmaceuticals, financial services, outsourcing, retail, telecom, energy and utilities, real estate and FMCG and many more sectors. To put in the right place of RPA in business operations, their many allied technologies are working at the background level, artificial intelligence, machine learning, deep learning, data analytics, HR analytics, virtual reality (second life), home automation, blockchain technologies, 4D printing etc. Moreover, it covers the content of different start-ups companies and existing companies - their RPA applications used across the world. This manuscript will be a good guideline for the academicians, researchers, students, and practitioners to get an overall idea",,"Universidade de São Paulo. Faculdade de Economia, Administração e Contabilidade",The future digital work force: Robotic Process Automation (Rpa),,https://core.ac.uk/download/352152004.pdf,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
323090892,2015-07-10T00:00:00,"[EN] Unmanned Underwater Vehicles (UUVs) explore different habitats with a view to protecting and managing them. They are developed to overcome scientific challenges and the engineering problems caused by the unstructured and hazardous underwater environment in which they operate. Their development bears the same difficulties as the rest of service robots (hardware heterogeneity, sensor uncertainty, software complexity, etc.) as well as other particular from the domain, like the underwater environment, energy constraints, and autonomy. This article describes the AEGIR UUV, used as a test bed for implementation of control strategies and oceanographic mission in the Mar Menor area in Spain, which is one of the largest coastal lagoons in Europe. It also describes the development of a tool chain that follows a model-driven approach, which has been used in the design of the vehicle control software as well as a component-based framework that provides the runtime support of the application and enables its flexible deployment in nodes, processes and threads and pre-verification of concurrent behavior.[ES] Los vehículos submarinos no tripulados (Unmanned Underwater Vehicles, UUVs) se diseñan para misiones de monitorización, inspección e intervención. En estudios oceanográficos y de monitorización ambiental son cada vez más demandados por las innumerables ventajas que presentan con respecto a las tecnologías tradicionales. Estos vehículos son desarrollados para superar los retos científicos y los problemas de ingeniería que aparecen en el entorno no estructurado y hostil del fondo marino en el que operan. Su desarrollo no solo conlleva las mismas dificultades que el resto de los robots de servicio (heterogeneidad en el hardware, incertidumbre de los sistemas de medida, complejidad del software, etc.), sino que además se les unen las propias del dominio de aplicación, la robótica submarina: condiciones de iluminación, incertidumbre en cuanto a posición y velocidad, restricciones energéticas, etc. Este artículo describe el UUV AEGIR, un vehículo utilizado como banco de pruebas para la implementación de estrategias de control y misiones oceanográficas. También describe el desarrollo de una cadena de herramientas que sigue un enfoque dirigido por modelos, utilizada en el diseño del software de control del vehículo, así como un framework basado en componentes que proporciona el soporte de ejecución de la aplicación y permite su despliegue flexible en nodos, procesos e hilos y pre-verificación del comportamiento concurrente. Su diseño ha permitido desarrollar, comprobar y añadir los componentes que proporcionan el comportamiento necesario para que el UUV AEGIR pudiera completar con éxito distintos tipos de misiones oceanográficas.Este trabajo ha sido parcialmente financiado por el proyecto
financiado por la CICYT del Gobierno Español DIVISAMOS
(ref. DPI2009-14744-C03-02) y ViSelTR (ref. TIN2012-39279),
así como por el proyecto financiado por la Fundación Séneca de
la Región de Murcia MISSION-SICUVA (ref. 15374/PI/10) y el
proyecto “Coastal Monitoring System for the Mar Menor Coastal
Lagoon (PEPLAN 463.02-08 CLUSTER de la Región de Murcia.
Francisco Sánchez Ledesma agradece la financiación recibida por
parte del programa de becas FPU del MEC (beca AP2009-5083).
Por último, los autores quieren agradecer también a la Armada
Española la cesión del vehículo UUV y su posterior ayuda en su
reconstrucción.Ortiz, F.; Guerrero, A.; Sánchez Ledesma, F.; García Córdova, F.; Alonso, D.; Gilabert, J. (2015). Diseño del software de control de un UUV para monitorización oceanográfica usando un modelo de componentes y framework con despliegue flexible. Revista Iberoamericana de Automática e Informática industrial. 12(3):325-337. https://doi.org/10.1016/j.riai.2015.06.003OJS325337123Alonso, D., Pastor, J., Sánchez, P., Álvarez, B., Vicente-Chicote, C., 2012. Generación Automática de Software para Sistemas de Tiempo Real: Un Enfoque basado en Componentes, Modelos y Frameworks. Revista Iberoamericana de Automática e Informática Industrial RIAI. Vol, 9, Num. 2, págs 170-181, doi: 10.1016/j.riai.2012.02.010.Alonso, D., Vicente-Chicote, C., Ortiz, F., Pastor, J., Álvarez, B., 2010. V3CMM: a 3-View Component Meta-Model for Model-Driven Robotic Software Development. Journal of Software Engineering for Robotics, Vol.1, no 1, pp. 3-17.Antonelli, G., Chiaverini, S., Sarkar,N., West, M., 2001. Adaptive control of an autonomous underwater vehicle: experimental results on ODIN, IEEE Trans Control Syst. Technol., vol. 9, Issue: 5, Sep. 2001, pp. 756-765.Auke Jan Ijspeert, 2008. Central pattern generators for locomotion control in animals and robots: A review. Neural Networks, Volume 21 Issue 4, pp. 642-653.Ben-Ari, M., 2008. Principles of the Spin Model Checker. Springer-Verlag.Bengtsson, J., Yi, W., 2004. Timed Automata: Semantics, Algorithms and Tools. In: Lectures on concurrency and Petri nets, Springer-Verlag, vol. 3098, pp. 87-124.Behrmann, G., Larsen, K., Moller, O., David, A., Pettersson, P., Wang, Y., 2001. UPPAAL - present and future. Proc. of the 40th IEEE Conf. on Decision and Control.Bruyninckx, H., 2008. Robotics Software: The Future Should Be Open. In: IEEE Robotics & Automation Magazine, Vol. 15, No. 1, pp. 9-11.Carreras, M., Yuh, J., Batlle, J., Ridao, P., 2005. A behavior-based scheme Using Reinforcement Learning for Autonomous Underwater Vehicles. In: IEEE Journal of Oceanic Engineering, Vol. 30, No. 2.Chang, C., and Gaudiano, P., 1998. Application of biological learning theories to mobile robot avoidance and approach behaviors. J. Complex Systems, vol. 1, pp. 79-114.Eickstedt, D.P., Sideleau, S.R., 2009. The backseat control architecture for autonomous robotic vehicles: A case study with the Iver2 AUV. In: OCEANS 2009, MTS/IEEE Biloxi - Marine Technology for Our Future: Global and Local Challenges. 1-8.Fossen, T., 1994. Guidance and control of ocean vehicles. John Wiley and Sons Ltd.Fujii, T., Arai, Y., Asama, H., and Endo, I., 1998. Multilayered reinforcement learning for complicated collision avoidance problems. In: Proceedings IEEE International Conference on Robotics and Automation, vol. 3, pp. 2186-2191, Leuven, Belgium.García-Córdova, F., 2007. A cortical network for control of voluntary movements in a robot finger. In: Neurocomputing, vol. 71, 2007, pp. 374-391.Gonzalez, J. et al, 2012. AUV Based Multi-vehicle Colla*boration: Salinity Studies in Mar Menor Coastal Lagoon. In IFAC Workshop on Navigation, Guidance and Control of Underwater Vehicles (NGCUV).Guerrero-González, A., García-Córdova, F., Ruz-Vila, F., 2010. A Solar Powered Autonomous Mobile Vehicle for Monitoring and Surveillance Missions of Long Duration. In: International Review of Electrical Engineering, Part A, vol. 5, n. 4, pp. 1580-1587.Guerrero-González, A., García-Córdova, F., Gilabert, J., 2011. A Biologically inspired neural network for navigation with obstacle avoidance in autonomous underwater and surface vehicles. In: OCEANS 2011 IEEE. Doi. 10.1109/Oceans-Spain.2011.6003432.Medina, J., González-Harbour, M., and Drake, J., 2001. MAST real-time view: A graphic UML tool for modeling object-oriented real-time systems. Proc. of the 22nd IEEE Real-Time Systems Symposium (RTSS), December, pp. 245-256. IEEE.Pérez-Ruzafa, A., Marcos, C., Gilabert, J., 2005. The Ecology of the Mar Menor coastal lagoon: a fast-changing ecosystem under human pressure. In: Coastal lagoons. Ecosystem processes and modelling for sustainable use and development. CRC press. pp.: 392-422.Ridao, P., Yuh, J., Sugihara, K., Batlle, J., 2000. On AUV control architecture. In: Proc. Int. Conf. Robots and Systems.Ritter, H., Martinez, T., Schulten, K., 1989. Topology-conserving maps for learning visuo-motor coordination, Neural Networks, vol. 2, 1989, pp. 159-168.Schlegel, C., 2006. Communication patterns as key towards component-based robotics. In: International Journal on Advanced Robotics Systems 3 (1), 49-54.Schlegel, C., Steck, C., Lotz, A., 2011. Model-driven software development in robotics: Communication patterns as key for a robotics component model, En: Introduction to Modern Robotics. iConcept Press (ed.on-line).Stutters, L., Liu, H., Tiltman, C., Brown, D., 2008. Navigation technologies for autonomous underwater vehicles. In: IEEE Transactions on Systems, Man and Cybernetics, Part C: Applications and Reviews, Vol. 38, 581-589.OMG, 2009. UML profile for MARTE: Modeling and analysis of real-time embedded systems, formal/2009-11-02.RoSta: Robot Standards and Reference Architectures, Coordination Action (CA) funded under the European Union's Sixth Framework Programme (FP6), http://www.robot-standards.org/. Last accessed 05/2013.Singhoff, F., Plantec, A., Dissaux, P., Legrand, J., 2009. Investigating the usability of real-time scheduling theory with the cheddar project. Journal of Real Time Systems, 43, 259-295",,'Elsevier BV',Design of the control software of a UUV for oceanographic monitoring using a component model and framework with flexible deployment.,10.1016/j.riai.2015.06.003,http://hdl.handle.net/10251/143643,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
195551950,2016-12-05T00:00:00,"International audienceOur demonstration presents an open-source hardware and software platform which allows non-roboticistsresearchers to conduct machine learning experiments to benchmark algorithms for autonomous explorationand active learning. In particular, in addition to showing the general properties of the platform such asits modularity and usability, we will demonstrate the online functioning of a particular algorithm whichallows efficient learning of multiple forward and inverse models and can leverage information from humanguidance. A first aspect of our demonstration is to illustrate the ease of use of the 3D printed low-costPoppy humanoid robotic platform, that allows non-roboticists to quickly set up and program roboticexperiments. A second aspect is to show how the Explauto library allows systematic comparison andevaluation of active learning and exploration algorithms in sensorimotor spaces, through a Python API toselect already implemented exploration algorithms. The third idea is to showcase Active Model Babbling,an efficient exploration algorithm dynamically choosing which task/goal space to explore and particulargoals to reach, and integrating social guidance from humans in real time to drive exploration towardsparticular objects or actions.[Forestier and Oudeyer, 2016] Forestier, S. and Oudeyer, P.-Y. (2016). Modular active curiosity-driven discovery oftool use. In 2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), Daejeon, Korea.[Lapeyre et al., 2014] Lapeyre, M., Rouanet, P., Grizou, J., Nguyen, S., Depraetre, F., Le Falher, A., and Oudeyer,P.-Y. (2014). Poppy Project: Open-Source Fabrication of 3D Printed Humanoid Robot for Science, Educationand Art. In Digital Intelligence 2014, page 6, Nantes, France.[Moulin-Frier et al., 2014] Moulin-Frier, C., Rouanet, P., Oudeyer, P.-Y., and others (2014). Explauto: an open-source Python library to study autonomous exploration in developmental robotics. In ICDL-Epirob-InternationalConference on Development and Learning, Epirob",,HAL CCSD,"Autonomous exploration, active learning and human guidance with open-source Poppy humanoid robot platform and Explauto library",,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
237173517,2019,"In this paper we investigate the impact of a social robot in the context of serious games in which the robot plays the role of a game opponent by challenging and, at the same time, teaching the child to correctly recycle waste materials. To this aim we performed a study in which we investigated the dimensions that are used to evaluate serious games integrated with those that are typical of the interaction with a social robot. To endow the robot with the capability to play as a game opponent in a real-world context, we implemented an image recognition module based on a Convolutional Neural Network so that the robot could detect and classify the waste material as a child would do, by seeing it. After a preliminary evaluation of the approach, we started a formal experiment in which we measured the effectiveness of game design, the robot evaluation and the evaluation of cognitive and affective elements that can form the pro-environmental attitude and then the tendency to recycling. A primary school classroom was involved in the study and, results obtained so far, are encouraging and drew promising possibilities for robotics education in changing recycling attitude for children since Pepper is positively evaluated as trustful and believable and this allowed to be concentrated on the ‘memorization’ task during the game",,IEEE Computer Society,Investigating the Social Robots’ Role in Improving Children Attitudes toward Recycling. The case of PeppeRecycle,,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
302828762,2017-11-08T00:00:00,"Intelligent Autonomous Robots deployed in human environments must have understanding of the wide range of possible semantic identities associated with the spaces they inhabit – kitchens, living rooms, bathrooms, offices, garages, etc. We believe robots should learn this information through their own exploration and situated perception in order to uncover and exploit structure in their environments – structure that may not be apparent to human engineers, or that may emerge over time during a deployment. In this work, we combine semantic web-mining and situated robot perception to develop a system capable of assigning semantic categories to regions of space. This is accomplished by looking at web-mined relationships between room categories and objects identified by a Convolutional Neural Network trained on 1000 categories. Evaluated on real-world data, we show that our system exhibits several conceptual and technical advantages over similar systems, and uncovers semantic structure in the environment overlooked by ground-truth annotators","[{'title': None, 'identifiers': ['0302-9743', 'issn:0302-9743']}]",'Springer Science and Business Media LLC',Making sense of indoor spaces using semantic web mining and situated robot perception,10.1007/978-3-319-70407-4_39,,core,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
