id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.ijepes.2022.108291,Journal,International Journal of Electrical Power and Energy Systems,scopus,2022-11-01,sciencedirect,Density-based clustering algorithm for associating transformers with smart meters via GPS-AMI data,https://api.elsevier.com/content/abstract/scopus_id/85130630920,"The ongoing deployment of Distributed Energy Resources, while bringing benefits, introduces significant challenges to the electric utility industry, especially in the distribution grid. These challenges call for closer monitoring through state estimation, where real-time topology recovery is the basis for accurate modeling. Previous methods either ignore geographical information, which is important in connectivity identification or are based on an ideal assumption of an isolated sub-network for topology recovery, e.g., within one transformer. This requires field engineers to identify the association, which is costly and may contain errors. To solve these problems, we propose a density-based topology clustering method that leverages both voltage domain data and the geographical space information to segment datasets from a large utility customer pool, after which other topology reconstruction methods can carry over. Specifically, we show how to use voltage and GPS information to infer associations within one transformer area, i.e., to identify the meter-transformer connectivity. To give a guarantee, we show a theoretic bound for our clustering method, providing the ability to explain the performance of the machine learning method. The proposed algorithm has been validated by IEEE test systems and Duquesne Light Company in Pittsburgh, showing outstanding performance. A utility implementation is also demonstrated.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.patcog.2022.108832,Journal,Pattern Recognition,scopus,2022-10-01,sciencedirect,Learning a deep dual-level network for robust DeepFake detection,https://api.elsevier.com/content/abstract/scopus_id/85131788667,"Face manipulation techniques, especially DeepFake techniques, are causing severe social concerns and security problems. When faced with skewed data distributions such as those found in the real world, existing DeepFake detection methods exhibit significantly degraded performance, especially the AUC score. In this paper, we focus on DeepFake detection in real-world situations. We propose a dual-level collaborative framework to detect frame-level and video-level forgeries simultaneously with a joint loss function to optimize both the AUC score and error rate at the same time. Our experiments indicate that the AUC loss boosts imbalanced learning performance and outperforms focal loss, a state-of-the-art loss function to address imbalanced data. In addition, our multitask structure enables mutual reinforcement of frame-level and video-level detection and achieves outstanding performance in imbalanced learning. Our proposed method is also more robust to video quality variations and shows better generalization ability in cross-dataset evaluations than existing DeepFake detection methods. Our implementation is available online at https://github.com/PWB97/Deepfake-detection.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.infsof.2022.106961,Journal,Information and Software Technology,scopus,2022-10-01,sciencedirect,Find potential partners: A GitHub user recommendation method based on event data,https://api.elsevier.com/content/abstract/scopus_id/85131450587,"Context:
                  GitHub has attracted much popularity among a large number of software developers around the world and introduced the social function follow to strengthen the relationship among developers. Like other social networks, GitHub users usually follow others who are popular in the community, co-workers, or friends in real life. However, according to our investigation, more than half of GitHub users prefer to follow recently like-minded developers other than their traditional networks for communicating with timely feedback, discovering niche repositories, and attracting more active contributors to cooperate, while these users are hard to find.
               
                  Objective:
                  Our objective in this paper is to leverage recent activities-Event Data of GitHub users and conduct a recommendation approach to help them match some recently like-minded developers to follow or reach out.
               
                  Methods:
                  As a first step, we conduct one empirical research—an online survey to investigate and analyze the opinions of GitHub users whether they are willing to follow others with similar recent events and which kind of events they will focus on during the follow process. Regarding the results from our survey, we partition 12 types of events focused by participants into three Event sets of Communication, Exploration, and Cooperation. As a second step, we collect Event Data of 12,713 GitHub users who participated in repositories written in python and build a time-based multi-dimensional recommendation approach based on a calculating vector-similarity method, a clustering approach, and a deep learning model.
               
                  Results and Conclusion:
                  The experimental results show that our approach achieves an improvement of 607.64%, 564.59%, and 599.19% on average compared with two baselines in terms of 
                        
                           P
                           r
                           e
                           c
                           i
                           s
                           i
                           o
                           n
                           @
                           N
                        
                     , 
                        
                           R
                           e
                           c
                           a
                           l
                           l
                           @
                           N
                        
                     , and 
                        
                           F
                           1
                           −
                           S
                           c
                           o
                           r
                           e
                           @
                           N
                        
                     . Such a series of experiments have proved that our method is effective and feasible.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.patcog.2022.108828,Journal,Pattern Recognition,scopus,2022-10-01,sciencedirect,Classification for high-dimension low-sample size data,https://api.elsevier.com/content/abstract/scopus_id/85131426270,"High-dimension and low-sample-size (HDLSS) data sets have posed great challenges to many machine learning methods. To deal with practical HDLSS problems, development of new classification techniques is highly desired. After the cause of the over-fitting phenomenon is identified, a new classification criterion for HDLSS data sets, termed tolerance similarity, is proposed to emphasize maximization of within-class variance on the premise of class separability. Leveraging on this criterion, a novel linear binary classifier, termed No-separated Data Maximum Dispersion classifier (NPDMD), is designed. The main idea of the NPDMD is to spread samples of two classes in a large interval in the respective positive or negative space along the projecting direction when the distance between the projection means for two classes is large enough. The salient features of the proposed NPDMD are: (1) The NPDMD operates well on HDLSS data sets; (2) The NPDMD solves the objective function in the entire feature space to avoid the data-piling phenomenon. (3) The NPDMD leverages on the low-rank property of the covariance matrix for HDLSS data sets to accelerate the computation speed. (4) The NPDMD is suitable for different real-word applications. (5) The NPDMD can be implemented readily using Quadratic Programming. Not only theoretical properties of the NPDMD have been derived, but also a series of evaluations have been conducted on one simulated and six real-world benchmark data sets, including face classification and mRNA classification. Experimental results and comprehensive studies demonstrate the superiority of the NPDMD in terms of correct classification rate, mean within-group correct classification rate and the area under the ROC curve.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.energy.2022.124588,Journal,Energy,scopus,2022-09-15,sciencedirect,Energy conservation for existing cooling and lighting loads,https://api.elsevier.com/content/abstract/scopus_id/85133809340,"Energy consumption by cooling and lighting loads can be significantly reduced if real time information on the occupancy is applied in their control. To meet this goal smart cooling and lighting devices, which have built-in sensors and controllers and which make decisions on individual basis, are being developed. However, it appears that no attempt has yet been taken for auto-operation of the huge number of already existent so called “non smart” air conditioning (AC) and lighting loads considering the count and location of occupants. A good deal of research has been reported in literature on the line of deploying or improving occupant detecting sensors/cameras, processing the captured images and developing high performance occupant identification (only detection or detection and counting) algorithms. Those were focused on locating users and surveillance in a building. A comparison of those works reveals that cameras combined with faster RCNN (Region based Convolutional Neural Network) algorithm can best identify the occupants. However, none of the works reported any prototyping considering occupancy with or without other ambient conditions such as comfort level, temperature, humidity and luminance for cooling load set point temperature update and/or lighting load control. Furthermore, the way the existing cooling and lighting loads can be made amenable to occupancy sensitive operation for energy saving in a noninvasive way is not yet reported. The novelties and contributions of the present paper are on bridging the gaps viz. (i) prototyping using traditional cooling and lighting loads of any brand already existent in a space for achieving occupancy sensitive energy saving, (ii) developing a model using the total count of occupants in a space along with ambient temperature and humidity for update of the set point temperature of cooling loads such that energy will be saved while the occupants will feel comfort, (iii) generation of ON/OFF commands in real time for lighting loads considering zone wise location of occupants along with the difference between ambient and required luminance in a zone, (iv) auto transmission of the updated set point temperature and on/off commands wirelessly from a common GUI (Graphical User Interface) respectively to the cooling and lighting loads without requiring any “hand held remote”, and (v) noninvasive implementation i.e. no need to modify or open the existing cooling and lighting loads at all and fixing any gadget inside these. The method proposed has been implemented on 3 traditional split type AC units of different brands and 16 composite units of LED (Light Emitting Diode) tube lights already existent in a lab. Compared with the manual mode of control which is insensitive to occupancy, the proposed method shows an energy saving in the range of 12.7%–36.15% for cooling loads while in the range of 35%–87.5% for lighting loads as the occupancy varies from high to low. The main economic and commercial impact of the present research is avoiding or postponing the replacement of the huge number of existing cooling and lighting devices by their smart counterparts which is often unaffordable for the entities in many countries.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.jpowsour.2022.231736,Journal,Journal of Power Sources,scopus,2022-09-15,sciencedirect,A convolutional neural network model for battery capacity fade curve prediction using early life data,https://api.elsevier.com/content/abstract/scopus_id/85133568910,"Early prediction of battery performance degradation trends can facilitate research of new materials and cell designs, rapid deployment of batteries in real-world applications, timely replacement of batteries in critical applications, and even the secondary use market. In this study, we design a convolutional neural network model to predict the entire battery capacity fade curve – a critical indicator of battery performance degradation – using first 100 cycles of data (∼ three weeks of testing). We use the discharge voltage-capacity curves as input to the model and automate the feature extraction process through the convolutional layers of the network. Our approach can predict the per cycle capacity fade rate and rollover cycle (knee point) in the capacity fade curve, which indicate the onset of rapid capacity decay. On the publicly available graphite/LiFePO4 battery dataset, optimized networks predict the capacity fade curves, rollover cycle, and end of life with 3.7% (worst-case), 19%, and 17% mean absolute percentage errors, respectively.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117196,Journal,Expert Systems with Applications,scopus,2022-09-15,sciencedirect,A simple modelling strategy for integer order and fractional order interval type-2 fuzzy PID controllers with their simulation and real-time implementation,https://api.elsevier.com/content/abstract/scopus_id/85129066364,"This paper presents a simple approach to the mathematical modelling of the Integer Order (IO) and Fractional Order (FO) Interval Type-2 Fuzzy Proportional Integral Derivative (IT2FPID) controllers. In this approach, the control effort produced by the IT2FPID controller is obtained by combining the individual control efforts generated by the Interval Type-2 Fuzzy Proportional (IT2FP), Interval Type-2 Fuzzy Integral (IT2FI), and Interval Type-2 Fuzzy Derivative (IT2FD) controllers. The analytical structures of each of the IT2FPID components are unveiled using one-dimensional (1D) input space and without using any AND or OR operator. To the best of the authors’ knowledge, such a strategy was never used and is completely new for the modelling of the IT2FPID controllers. Properties, computational issues, and design guidelines of the newly obtained controllers are discussed, and their applicability is delineated using five simulation examples and one experimental case study. A chemical reactor plant, two fractional order plants, a nonlinear plant, and a Twin Rotor Multi Input Multi Output System (TRMS) are considered in the simulation study. The experimental study is conducted on an unstable nonlinear Magnetic Levitation System (MLS). Moreover, to exhibit the usefulness of the newly derived controllers, simulation and real-time results are also compared with the existing results available in the literature. As the proposed controllers are plant model-free, they can be used for other control applications also.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.jmapro.2022.07.009,Journal,Journal of Manufacturing Processes,scopus,2022-09-01,sciencedirect,AMS-Net: Attention mechanism based multi-size dual light source network for surface roughness prediction,https://api.elsevier.com/content/abstract/scopus_id/85134221510,"Real-time and efficient surface roughness measurement is very essential for machining. Previously proposed non-contact roughness prediction methods usually use surface roughness images taken by a single light source. However, different light sources have a different reflection feature on the same roughness surface. A novel surface roughness prediction method of deep learning network model is proposed in this paper which is based on channel and spatial attention mechanisms, and embedded into the multi-size parallel framework (AMS-Net) for dual light sources. The network uses two branches which extract the features of surface roughness implied in images taken under different light sources. In each branch, the multi-size parallel convolution module (MSP) is constructed to extract parallel imagery pertaining to multi-size feature information of images with different roughness. In order to better fuse the surface roughness images taken by the dual light sources, the dual light source spatial attention module (DSA) and dual light source channel attention module (DCA) are proposed to project the space and channel respectively, while interacting with the roughness feature map from the MSP module. The dual light source roughness data set is built by white light and red laser for microimaging in this paper. Comparison experiments are implemented with other popular classification deep learning models. The results of experiment show the proposed novel AMS-Net network that achieves the best classification accuracy.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.compeleceng.2022.108177,Journal,Computers and Electrical Engineering,scopus,2022-09-01,sciencedirect,Multi-feature embedded learning SVM for cloud detection in remote sensing images,https://api.elsevier.com/content/abstract/scopus_id/85133490273,"To improve remote sensing image transmission efficiency, we propose a cloud detection method using a multi-feature embedded learning support vector machine (SVM) to address cloud coverage occupying channel transmission bandwidth. Specifically, we first consider the imaging and physical properties of the clouds to construct a multi-feature space of cloud and non-cloud samples, which mainly includes five valuable features of grayscale, geometry, contrast, correlation, and angular second moment. Subsequently, we regard cloud detection (CDRSI) of remote sensing images as a binary classification problem, and construct a classifier by using multi-feature embedded learning SVM. Finally, the CDRSI is implemented by image block operations. Additionally, we build a large-scale real-world Remote Sensing Image Cloud Detection Benchmark (RSICDB) including 1520 images, where 790 non-cloud images and 430 cloud images are used as training datasets, 150 of which as test samples with the corresponding 150 mask results. Experimental results demonstrate that the proposed method can detect clouds with higher accuracy and robustness than compared methods.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.dyepig.2022.110547,Journal,Dyes and Pigments,scopus,2022-09-01,sciencedirect,Photochromic and luminescent materials for the development of Chemical Artificial Intelligence,https://api.elsevier.com/content/abstract/scopus_id/85133479311,"Artificial Intelligence (AI) is an interdisciplinary research line that aims to devise intelligent machines. Chemical Artificial Intelligence (CAI) focuses on designing intelligent chemical systems, primarily in wetware. This work shows that intelligent chemical systems can be implemented by devising neural surrogates that, by interplaying, can give rise to synchronization phenomena analogous to those of real neurons in the brain. When the signals employed in the communication are UV–visible radiations, the artificial neuron models can be implemented through photochromic and luminescent compounds, as this work demonstrates. Furthermore, this article describes how photochromic and luminescent materials contribute to processing Fuzzy logic, which is a good model of human power to compute by using words. Perspectives on how photoswitchable materials will be employed in further developments of CAI are outlined.",science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
