paperId,url,title,abstract,venue,year,externalIds.DOI,database,query_name,query_value
95b0e56cccc9141e371700ae6173ba5b9d46ed7c,https://www.semanticscholar.org/paper/95b0e56cccc9141e371700ae6173ba5b9d46ed7c,Fine-grained classification of social science journal articles using textual data: A comparison of supervised machine learning approaches,"We compare two supervised machine learning algorithms—Multinomial Naïve Bayes and Gradient Boosting—to classify social science articles using textual data. The high level of granularity of the classification scheme used and the possibility that multiple categories are assigned to a document make this task challenging. To collect the training data, we query three discipline specific thesauri to retrieve articles corresponding to specialties in the classification. The resulting data set consists of 113,909 records and covers 245 specialties, aggregated into 31 subdisciplines from three disciplines. Experts were consulted to validate the thesauri-based classification. The resulting multilabel data set is used to train the machine learning algorithms in different configurations. We deploy a multilabel classifier chaining model, allowing for an arbitrary number of categories to be assigned to each document. The best results are obtained with Gradient Boosting. The approach does not rely on citation data. It can be applied in settings where such information is not available. We conclude that fine-grained text-based classification of social sciences publications at a subdisciplinary level is a hard task, for humans and machines alike. A combination of human expertise and machine learning is suggested as a way forward to improve the classification of social sciences documents.",Quantitative Science Studies,2021,10.1162/qss_a_00106,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
3a2f8def7038c5454f8c20a789fe3454d9a14e7b,https://www.semanticscholar.org/paper/3a2f8def7038c5454f8c20a789fe3454d9a14e7b,ML4Chem: A Machine Learning Package for Chemistry and Materials Science,"ML4Chem is an open-source machine learning library for chemistry and materials science. It
provides an extendable platform to develop and deploy machine learning models and pipelines and
is targeted to the non-expert and expert users. ML4Chem follows user-experience design and offers
the needed tools to go from data preparation to inference. Here we introduce its atomistic module
for the implementation, deployment, and reproducibility of atom-centered models. This module is
composed of six core building blocks: data, featurization, models, model optimization, inference,
and visualization. We present their functionality and ease of use with demonstrations utilizing
neural networks and kernel ridge regression algorithms.",ArXiv,2020,10.26434/chemrxiv.11952516.v1,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
88edac037922f4a1e507b56f3fc85984bc63f848,https://www.semanticscholar.org/paper/88edac037922f4a1e507b56f3fc85984bc63f848,ML4Chem: A Machine Learning Package for Chemistry and Materials Science,"ML4Chem is an open-source machine learning library for chemistry and materials science. It
provides an extendable platform to develop and deploy machine learning models and pipelines and
is targeted to the non-expert and expert users. ML4Chem follows user-experience design and offers
the needed tools to go from data preparation to inference. Here we introduce its atomistic module
for the implementation, deployment, and reproducibility of atom-centered models. This module is
composed of six core building blocks: data, featurization, models, model optimization, inference,
and visualization. We present their functionality and ease of use with demonstrations utilizing
neural networks and kernel ridge regression algorithms.",,2020,10.26434/chemrxiv.11952516,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
71960b10294f741fdcb1c339a218c378eba6bc03,https://www.semanticscholar.org/paper/71960b10294f741fdcb1c339a218c378eba6bc03,Trust in AutoML: exploring information needs for establishing trust in automated machine learning systems,"We explore trust in a relatively new area of data science: Automated Machine Learning (AutoML). In AutoML, AI methods are used to generate and optimize machine learning models by automatically engineering features, selecting models, and optimizing hyperparameters. In this paper, we seek to understand what kinds of information influence data scientists' trust in the models produced by AutoML? We operationalize trust as a willingness to deploy a model produced using automated methods. We report results from three studies - qualitative interviews, a controlled experiment, and a card-sorting task - to understand the information needs of data scientists for establishing trust in AutoML systems. We find that including transparency features in an AutoML tool increased user trust and understandability in the tool; and out of all proposed features, model performance metrics and visualizations are the most important information to data scientists when establishing their trust with an AutoML tool.",IUI,2020,10.1145/3377325.3377501,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
b14558c0b727af0ac9086f463b6030b9072dbe16,https://www.semanticscholar.org/paper/b14558c0b727af0ac9086f463b6030b9072dbe16,Methods for Automatic Machine-Learning Workflow Analysis,,ECML/PKDD,2021,10.1007/978-3-030-86517-7_4,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
de4322c57d80e0d85412aea6b2ff84b621ecd7ac,https://www.semanticscholar.org/paper/de4322c57d80e0d85412aea6b2ff84b621ecd7ac,Discover Discriminatory Bias in High Accuracy Models Embedded in Machine Learning Algorithms,,"Advances in Natural Computation, Fuzzy Systems and Knowledge Discovery",2020,10.1007/978-3-030-70665-4_166,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
76b80b610537ab916e81e31901c81156eadf0d61,https://www.semanticscholar.org/paper/76b80b610537ab916e81e31901c81156eadf0d61,Automated Machine Learning for Wind Farms Location,": Automated Machine Learning aims at preparing effective Machine Learning models with little or no data science expertise. Tedious tasks like preprocessing, algorithm selection and hyper-parameters optimization are then automatized: end-users just have to apply and deploy the model that best suits the real world problem. In this paper, we experiment Automated Machine Learning to leverage open data sources for predicting potential next wind farms location in Luxembourg, France, Belgium and Germany.",ICPRAM,2021,10.5220/0010232102220227,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
6a29fae129632f40acf6cbed76645a054f6979a9,https://www.semanticscholar.org/paper/6a29fae129632f40acf6cbed76645a054f6979a9,Politics of Adversarial Machine Learning,"In addition to their security properties, adversarial machine-learning attacks and defenses have political dimensions. They enable or foreclose certain options for both the subjects of the machine learning systems and for those who deploy them, creating risks for civil liberties and human rights. In this paper, we draw on insights from science and technology studies, anthropology, and human rights literature, to inform how defenses against adversarial attacks can be used to suppress dissent and limit attempts to investigate machine learning systems. To make this concrete, we use real-world examples of how attacks such as perturbation, model inversion, or membership inference can be used for socially desirable ends. Although the predictions of this analysis may seem dire, there is hope. Efforts to address human rights concerns in the commercial spyware industry provide guidance for similar measures to ensure ML systems serve democratic, not authoritarian ends.",SSRN Electronic Journal,2020,10.2139/SSRN.3547322,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
b3d6e532ef958296f99fb62600f7bf1275b15e3e,https://www.semanticscholar.org/paper/b3d6e532ef958296f99fb62600f7bf1275b15e3e,Object Detection in Fog Computing Using Machine Learning Algorithms,"The moment we live in today demands the convergence of the cloud computing, fog computing, machine learning, and IoT to explore new technological solutions. Fog computing is an emerging architecture intended for alleviating the network burdens at the cloud and the core network by moving resource-intensive functionalities such as computation, communication, storage, and analytics closer to the end users. Machine learning is a subfield of computer science and is a type of artificial intelligence (AI) that provides machines with the ability to learn without explicit programming. IoT has the ability to make decisions and take actions autonomously based on algorithmic sensing to acquire sensor data. These embedded capabilities will range across the entire spectrum of algorithmic approaches that is associated with machine learning. Here the authors explore how machine learning methods have been used to deploy the object detection, text detection in an image, and incorporated for better fulfillment of requirements in fog computing.",,2020,10.4018/978-1-7998-0194-8.ch006,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
1d3539a8d94bd3ab78993d7cc584efc06ed0e460,https://www.semanticscholar.org/paper/1d3539a8d94bd3ab78993d7cc584efc06ed0e460,Synthetic Benchmarks for Scientific Research in Explainable Machine Learning,"As machine learning models grow more complex and their applications become more high-stakes, tools for explaining model predictions have become increasingly important. This has spurred a flurry of research in model explainability and has given rise to feature attribution methods such as LIME and SHAP. Despite their widespread use, evaluating and comparing different feature attribution methods remains challenging: evaluations ideally require human studies, and empirical evaluation metrics are often data-intensive or computationally prohibitive on realworld datasets. In this work, we address this issue by releasing XAI-BENCH: a suite of synthetic datasets along with a library for benchmarking feature attribution algorithms. Unlike real-world datasets, synthetic datasets allow the efficient computation of conditional expected values that are needed to evaluate groundtruth Shapley values and other metrics. The synthetic datasets we release offer a wide variety of parameters that can be configured to simulate real-world data. We demonstrate the power of our library by benchmarking popular explainability techniques across several evaluation metrics and across a variety of settings. The versatility and efficiency of our library will help researchers bring their explainability methods from development to deployment. Our code is available at https://github.com/abacusai/xai-bench.",NeurIPS Datasets and Benchmarks,2021,,semantic_scholar,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
