id,datePublished,description,publisher,title,doi,downloadUrl,journals,database,query_name,query_value
78776770,2015-09-01T00:00:00,"International audienceA real-time capable core turbulence tokamak transport model is ă developed. This model is constructed from the regularized nonlinear ă regression of quasilinear gyrokinetic transport code output. The ă regression is performed with a multilayer perceptron neural network. The ă transport code input for the neural network training set consists of ă five dimensions, and is limited to adiabatic electrons. The neural ă network model successfully reproduces transport fluxes predicted by the ă original quasilinear model, while gaining five orders of magnitude in ă computation time. The model is implemented in a real-time capable ă tokamak simulator, and simulates a 300 s ITER discharge in 10 s. This ă proof-of-principle for regression based transport models anticipates a ă significant widening of input space dimensionality and physics realism ă for future training sets. This aims to provide unprecedented ă computational speed coupled with first-principle based physics for ă real-time control and integrated modelling applications",'IOP Publishing',Real-time capable first principle based modelling of tokamak turbulent ă transport,10.1088/0029-5515/55/9/092001,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
237183624,2020-01-01T00:00:00,"Parking vehicle is a daunting task and a common problem in many cities around the globe. The search for parking space leads to congestion, frustration and increased air pollution. Information of a vacant parking space would facilitate to reduce congestion and subsequent air pollution. Therefore, aim of the paper is to acquire vehicle occupancy in an open parking lot using deep learning. Thermal camera was used to collect the data during varying environmental conditions such as; sunny, dusk, dawn, dark and snowy conditions. Vehicle detection with deep learning was implemented where image classification and object localization were performed for multi object detection. The dataset consists of 527 images which were manually labelled as there were no pre-labelled thermal images available. Multiple deep learning networks such as Yolo, ReNet18, ResNet50 and GoogleNet with varying layers and architectures were evaluated on vehicle detection. Yolo, GoogleNet and ResNet18 are computationally efficient detectors which took less processing time while Resnet50 produced better detection results compared to other detectors. However, ResNet18 also produced minimal miss rates and is suitable for real time vehicle detection. The detected results were compared with a template of parking spaces and IoU value is used to identify vehicle occupancy information",'Institution of Engineering and Technology (IET)',Deep learning-based vehicle occupancy detection in an open parking lot using thermal camera,10.1049/iet-its.2019.0468,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
427469430,2020-01-01T00:00:00,"This paper investigates the use of recurrent neural network to predict urban long-term traffic flows. A representation of the long-term flows with related weather and contextual information is first introduced. A recurrent neural network approach, named RNN-LF, is then proposed to predict the long-term of flows from multiple data sources. Moreover, a parallel implementation on GPU of the proposed solution is developed (GRNN-LF), which allows to boost the performance of RNN-LF. Several experiments have been carried out on real traffic flow including a small city (Odense, Denmark) and a very big city (Beijing). The results reveal that the sequential version (RNN-LF) is capable of dealing effectively with traffic of small cities. They also confirm the scalability of GRNN-LF compared to the most competitive GPU-based software tools when dealing with big traffic flow such as Beijing urban data.publishedVersio",'Springer Science and Business Media LLC',A recurrent neural network for urban long-term traffic flow forecasting,10.1007/s10489-020-01716-1,https://core.ac.uk/download/427469430.pdf,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
235261716,2017-01-01T00:00:00,"This paper presents the development and implementation of a theoretical mathematical-statistical framework for sequential updating of the grade control model, based on a support vector machine learning algorithm. Utilising the Zambujal orebody within the Neves-Corvo Cu deposit in Portugal, parameters that can be measured in real time, used in visualisation, modelled for resource estimation, and used for process control visualisation and optimisation are considered.
The methodology broadly comprises of three steps. Firstly, the provided dataset is used to develop a virtual asset model (VAM) representing the true 3D grade distribution in order to simulate the mining method. Then ore quality parameters are established simulating real time monitoring sensor installation at: (a) stope development and rock face monitoring (face imaging and drillholes); and (b) transport monitoring (muck pile, LHD/scooptram). Next, the acquired data was assimilated into the models as part of the sequential model update.
Two different mining methods and the monitoring information that can be acquired during the ore extraction are analysed: (a) drift and fill mining and (b) bench and fill mining, which are widely implemented at the Neves-Corvo mine. Selected study zones were chosen such as to contrast mining through the high/low grade zones with different degrees of heterogeneity, which demonstrate the performance of resource estimation and classification models developed in heterogeneous mining stopes.
The grade accuracy and error in the resource model, and high/low grade ore classification accuracy and error are evaluated as performance metrics for the proposed methods.
In drift and fill mining, drillhole and face sampling data collection was simulated in a real-time manner and fed into the support vector machine (SVM) regressor to update the resource estimation model in both a high grade and low grade drift scenarios. In each scenario, six drift and fill mining steps were simulated sequentially and the posterior resource models, after integrating real time mining data, have shown significant improvement of bias correction in both updating planned resources and reconciling extracted ore.
In bench and fill mining, grade classification based on random sampling data from muck pile was demonstrated, considering scoop by scoop derived monitoring data. Three different classifiers (mean, median, and Bayesian) were tested and shown very good performance. In the case study presented here, a sequence of 15 blasting steps was simulated with each step requiring 112 scooping operations to transport the blasted ore. Using the real time monitored information, it was shown that at each blasting step over 85% of the scoops can be labelled correctly using the proposed methods and with an accuracy of over 95%",TU Bergakademie Freiberg,Development of support vector machine learning algorithm for real time update of resource estimation and grade classification,,https://core.ac.uk/download/235261716.pdf,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
201500559,2018-11-01T00:00:00,"This article develops the design, installation, exploitation, and final utilization of intelligent techniques, hardware, and software for understanding mobility in a modern city. We focus on a smart-campus initiative in the University of Malaga as the scenario for building this cyber&#8315;physical system at a low cost, and then present the details of a new proposed evolutionary algorithm used for better training machine-learning techniques: BiPred. We model and solve the task of reducing the size of the dataset used for learning about campus mobility. Our conclusions show an important reduction of the required data to learn mobility patterns by more than 90%, while improving (at the same time) the precision of the predictions of theapplied machine-learning method (up to 15%). All this was done along with the construction of a real system in a city, which hopefully resulted in a very comprehensive work in smart cities using sensors",'MDPI AG',BiPred: A Bilevel Evolutionary Algorithm for Prediction in Smart Mobility,10.3390/s18124123,,"[{'title': 'Sensors', 'identifiers': ['issn:1424-8220', '1424-8220']}]",core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
54611646,2015,"Obiettivi: l’integrazione tra servizi sanitari e servizi socio-assistenziali è uno dei temi più rilevanti per l’amministrazione comunale di Cagliari che sta realizzando alcuni interventi di recupero funzionale di immobili dismessi in quartieri con particolari problematiche socio-economiche per creare Strutture Sanitarie Integrate denominate “Centri di salute”, rivolte in particolare modo agli anziani, ma capaci di avere ricadute sull’intera struttura sociale di riferimento.

Metodi: gli strumenti utilizzati sono quelli della pianificazione strategica e degli investimenti territoriali integrati, secondo una logica di intervento sulla struttura fisica della città coerente con la struttura demografica dei residenti e quindi capace di rispondere ai bisogni reali degli abitanti. I quartieri scelti per la sperimentazione sono “zone di margine” caratterizzati da una condizione di segregazione sociale e spaziale. Il modello di gestione è quello della medicina di iniziativa con intervento proattivo basato sulla partecipazione e coinvolgimento delle persone.

Risultati: i primi risultati mettono in evidenza che l’intervento messo in atto si presta particolarmente al coinvolgimento della popolazione anziana emarginata, che per presenza di barriere sociali, economiche, culturali ed ambientali, sottoutilizza o non si rivolge ai servizi di cura. Inoltre, alle azioni specifiche su target predefinito (ultra 70enni) vengono affiancate attività di promozione sociale del valore della salute e della cultura della responsabilità all’auto-cura individuale e collettiva.Objectives: the integration of health and social services is one of the most important issues for the municipal amministration of Cagliari which is building, restoration of functional abandoned buildings in neighborhoods with particular socio-economic problems to create Integrated Medical Information referred to as “health centers”, aimed particularly so for the elderly, but capable of having repercussions on the entire social structure of reference.

Methods: the instruments used are the strategic planning and investment territorial integrated, according to a logic of intervention on the physical structure of the city in line with the demographic structure of the residents and therefore able to respond to the real needs of the inhabitants. The districts chosen for testing are “marginal areas” characterized by a state of social and spatial segregation. The management model is one of medicine’s initiative with proactive intervention based on parteciapzione and involvement of people.

Results: the first results show that the intervention implemented is particularly the involvement of the elderly marginalized, that the presence of barriers to social, economic, and environmental culturalie, does not use care services. In addition, specific actions on target default (over 70years) are flanked promotion of social avlore health and culture of responsibility to self-care individual and collective",,Strategie e progettualità per Cagliari Città per la salute = Planning and strategies and for Cagliari Healthy City,,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
268909577,2019,"The Internet of Things becomes Internet of Everything when in the process of communication machine-to-machine also intelligent forms of communication between human and machine are involved. Cities can be viewed as a microcosm of this interconnected system where ICT and emerging technologies can be enabling factors to transform cities in Smart Cities. Cities can take great advantage by using information intelligence to achieve important public-policy goals and, in particular, by enabling network communication channels between citizens and public administrators in order to provide information and online services in real time through platform systems rather than by means of humans, using Artificial Intelligence and Natural Language Processing techniques. This work was the first step of a wider project aimed at providing a Spell Checking Web Service API for Smart City communication platforms able to automatically select, among the large availability of open source spell checking tools, the most suitable tool based on the semantic structure of the specific textual data. The system should manage an enhanced Italian Vocabulary Database, specifically implemented to support all the tools of the system. The goal of the present work was to test, through an experimental research, the feasibility of the entire project by implementing a Spell Checking Prototype System designed to manage two selected spell checking tools. Results showed that the Spell Checking Prototype System significantly improves performances by allowing the user to select the most suitable tool for the specific semantic structure of the text. The system also enables to manage the list of exceptions, which continuously enhance the Italian Vocabulary Database. The experimentation proved scientific evidence of the validity of the project aimed at implementing a Spell Checking Web Service API in order to improve the quality of natural language data to be stored or processed in Smart City NCeSDP systems, through the use of existing spell checking tools","'Scientific Research Publishing, Inc.'",A Spell Checking Web Service API for Smart City Communication Platforms,10.4236/ojapps.2019.912066,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
265418453,2019-05-27T00:00:00,"International audienceThis work aims to show the new approaches in embedded vision dedicated to object detection and tracking for drone visual control. Object/Pedestrian detection has been carried out through two methods: 1. Classical image processing approach through improved Histogram Oriented Gradient (HOG) and Deformable Part Model (DPM) based detection and pattern recognition methods. In this step, we present our improved HOG/DPM approach allowing the detection of a target object in real time. The developed approach allows us not only to detect the object (pedestrian) but also to estimates the distance between the target and the drone. 2. Object/Pedestrian detection-based Deep Learning approach. The target position estimation has been carried out within image analysis. After this, the system sends instruction to the drone engine in order to correct its position and to track target. For this visual servoing, we have applied 1 This work is carried out as part of the INTERREG VA FMA ADAPT project ""Assistive Devices for empowering disAbled People through robotic Technologies"" http://adapt-project.com/index.php. The Interreg FCE Programme is a European Territorial Cooperation programme that aims to fund high quality our improved HOG approach and implemented two kinds of PID controllers. The platform has been validated under different scenarios by comparing measured data to ground truth data given by the drone GPS. Several tests which were ca 1 rried out at ESIGELEC car park and Rouen city center validate the developed platform",'University of West Bohemia',Real Time Pedestrian and Object Detection and Tracking-based Deep Learning. Application to Drone Visual Tracking,10.24132/CSRN.2019.2902.2.5,https://core.ac.uk/download/265418453.pdf,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
237114799,2018,"Public bicycle sharing programmes (PBSPs) have become increasingly popular across many urban areas in China. Hangzhou PBSP is the world&#039;s largest and forms this case study. The management of this large inventory of bicycles is a particularly challenging issue with the goal to ensure the demand for bicycles is met at all times across the network. To this end, an efficient scheduling approach is needed with the capacity to guide the redistribution of bicycles across the self-service stations. Drawing on 7 years of disaggregate trip data, this study first captures the usage dynamics across both space and time to extract the candidate stations and redistribution periods for vehicle scheduling. A region partition method with K-means clustering is proposed to satisfy the real-time requirement of large-scale PBSPs&#039; redistribution. Moreover, drawing on the variations in demand a back-propagation neural network short-term prediction model is computed to inform the necessary prospective redistribution of bicycles to ensure demand is always met. Finally, a vehicle scheduling model employing a rolling horizon scheduling algorithm is established and implemented in a GIS-based prototype system. The prototype is evaluated through its effectiveness and found benefit for following 18 months of practical operation in Hangzhou PBSP",Institution of Engineering and Technology (United States),Vehicle scheduling approach and its practice to optimise public bicycle redistribution in Hangzhou,,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
347692253,2016-11-14T00:00:00,"Nowadays, monitoring of people and events is a common matter in the street, in the industry or at home, and acoustic event detection is commonly used. This increases the knowledge of what is happening in the soundscape, and this information encourages any monitoring system to take decisions depending on the measured events. Our research in this field includes, on one hand, smart city applications, which aim is to develop a low cost sensor network for real time noise mapping in the cities, and on the other hand, ambient assisted living applications through audio event recognition at home. This requires acoustic signal processing for event recognition, which is a challenging problem applying feature extraction techniques and machine learning methods. Furthermore, when the techniques come closer to implementation, a complete study of the most suitable platform is needed, taking into account computational complexity of the algorithms and commercial platforms price. In this work, the comparative study of several platforms serving to implement this sensing application is detailed. An FPGA platform is chosen as the optimum proposal considering the application requirements and taking into account time restrictions of the signal processing algorithms. Furthermore, we describe the first approach to the real-time implementation of the feature extraction algorithm on the chosen platform",'MDPI AG',An FPGA Platform Proposal for Real-Time Acoustic Event Detection: Optimum Platform Implementation for Audio Recognition with Time Restrictions,,,,core,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
