contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Article,doi:10.1007/s10660-022-09582-4,E-commerce review sentiment score prediction considering misspelled words: a deep learning approach,Electronic Commerce Research,10.1007/s10660-022-09582-4,Springer,2022-07-11,"Acquiring a single sentiment score dependent on all the reviews will benefit the buyers and sellers in making the decision more accurately. The raw format of user-generated content lacks a legitimate language structure. It, therefore, acts as an obstacle for applying the Sentiment analysis task, which aims to predict the true emotion of a sentence by providing a score and its nature. This paper concentrates on obtaining a single sentiment score using a hybrid Long Short-Term Memory encoder–decoder model. This research uses the text normalization process to transform the sentences consisting of noise, appearing as incorrect grammar, abbreviations, freestyle, and typographical errors, into their canonical structure. The experimental outcomes confirm that the proposed hybrid model performs well in standardizing the raw E-commerce website review, enriched with hidden information and provided a single sentiment score influenced by all the review scores for the product.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10660-022-09582-4,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10479-022-04834-w,Identifying purchase intention through deep learning: analyzing the Q &D text of an E-Commerce platform,Annals of Operations Research,10.1007/s10479-022-04834-w,Springer,2022-07-01,"Identifying purchase intention by analyzing the Query and the Document of the product description (Q &D) text is one of the most important means of promoting Purchase Rate (PR). In view of that customers sometimes cannot describe their purchasing intention in queries, this paper aims to identify purchase intention from implicit queries by computing semantic similarity between Q &D and proposes a novel model based on Word2Vec algorithm, Long Short-term Memory (LSTM) and Deep Structured Semantic Model (DSSM). Besides, an empirical analysis is conducted through the Keras framework and based on the factual retrieval data of the Home Depot, an E-commerce website selling building materials in America. The results show that the proposed model has achieved improving F1-score on test dataset compared with other existing models. The novel model combines Word2Vec and LSTM to extract text features and applies DSSM to further fetch high-dimension representations by maximizing semantic similarity between the user query and the description of the correct merchandise. Our proposed model can be used to remove or minimize subjective factors in extracting features, improves the performance of purchasing intention identification, and also improves the customer experience of online shopping.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10479-022-04834-w,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s12652-022-04093-4,Retraction Note to: Optimized machine learning based collaborative filtering (OMLCF) recommendation system in e-commerce,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-022-04093-4,Springer,2022-06-07,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12652-022-04093-4,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s12599-021-00716-w,The Cost of Fairness in AI: Evidence from E-Commerce,Business & Information Systems Engineering,10.1007/s12599-021-00716-w,Springer,2022-06-01,"Contemporary information systems make widespread use of artificial intelligence (AI). While AI offers various benefits, it can also be subject to systematic errors, whereby people from certain groups (defined by gender, age, or other sensitive attributes) experience disparate outcomes. In many AI applications, disparate outcomes confront businesses and organizations with legal and reputational risks. To address these, technologies for so-called “AI fairness” have been developed, by which AI is adapted such that mathematical constraints for fairness are fulfilled. However, the financial costs of AI fairness are unclear. Therefore, the authors develop AI fairness for a real-world use case from e-commerce, where coupons are allocated according to clickstream sessions. In their setting, the authors find that AI fairness successfully manages to adhere to fairness requirements, while reducing the overall prediction performance only slightly. However, they find that AI fairness also results in an increase in financial cost. Thus, in this way the paper’s findings contribute to designing information systems on the basis of AI fairness.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12599-021-00716-w,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s11334-022-00437-7,Emotion detection for online recommender system using deep learning: a proposed method,Innovations in Systems and Software Engineering,10.1007/s11334-022-00437-7,Springer,2022-05-17,"Presently, a majority of businesses are carried out online, and there is a trend of creating a virtual environment during online shopping. The recent advancements in the fields of e-commerce and business have necessitated providing personalized online recommendation to the users or customers by predicting human emotion. Though it is easy to predict human emotion by observing one’s facial expression, but achieving the same with computer algorithm is challenging. In this work, a novel approach has been proposed for online recommendation system using human facial expression-based emotion detection. The facial expression is taken in real time, and thus, the proposed framework provides an intelligent recommendation system on–the-fly without relying on historical ratings or purchase records. This new approach is to predict the human emotion based on the facial features and to develop ways for recommending products to customers based on such reaction during the purchasing of a product. Two approaches have been used in this work. First, with the help of five different facial expressions, emotion of the user is detected, and analysis is done. Secondly, video of user’s facial expression is captured through a webcam while purchasing a product online. To predict emotion in real time, the live video from a webcam is fed into a network which detects faces and predicts the emotions. This proposed system can detect the emotion with 75% accuracy and provide online recommendation in real time. The performance measurement of the proposed recommendation system is done by taking feedback from the customers. The purpose of this work is to create a virtual environment and to provide recommendations in real time using deep learning approach.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11334-022-00437-7,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s00521-021-06249-3,Hybrid recommendation algorithm of cross-border e-commerce items based on artificial intelligence and multiview collaborative fusion,Neural Computing and Applications,10.1007/s00521-021-06249-3,Springer,2022-05-01,"E-commerce platforms apply recommendation technology to a wide variety of commercial websites to help users quickly find the product they need from a large number of products. At present, recommendation systems have been widely used in large-scale e-commerce websites, and most e-commerce shopping websites attract customers through the image information of goods. In this paper, the research status of content-based image retrieval algorithms is analysed, and how to use image content information to recommend goods is studied. A hierarchical commodity classification and retrieval system are designed. A class decision layer is used to determine the category of commodity images and then precisely retrieve the corresponding category of commodity image features. The corresponding relationship between different commodity visual features is used to recommend commodities, and a matching recommendation algorithm for commodities is proposed. Experiments show that the proposed image content-based recommendation method can coordinate with features, and its recommendation results have high accuracy in practical applications.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-06249-3,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s12652-022-03837-6,Customer purchasing behavior prediction using machine learning classification techniques,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-022-03837-6,Springer,2022-04-19,"Many sales and service-providing companies need to talk up related customers while launching the new products, services, and updated versions of existing products. While doing so, they need to target their existing customers. The behavior of these customers gives companies information about how to sell products. This paper presents a comparative study of different machine learning techniques that have been applied to the problem of customer purchasing behavior prediction. Experiments are done using supervised classification machine learning techniques like logistic regression, decision tree, k-nearest neighbors (KNN), Naïve Bayes, SVM, random forest, stochastic gradient descent (SGD), ANN, AdaBoost, XgBoost, and dummy classifier, as well as some hybrid algorithms that use stacking like SvmAda, RfAda, and KnnSgd. Models are evaluated using the cross-validation technique. Furthermore, the confusion matrix and ROC curve are used to calculate the accuracy of each model. Finally, the best classifier is a hybrid classifier using the ensemble stacking technique (KnnSgd), with an accuracy of 92.42%. KnnSgd gives the highest accuracy with maximum features because the error of the KNN and SGD are minimized by the KNN at the end.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12652-022-03837-6,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10614-020-10069-3,A Computational Model to Predict Consumer Behaviour During COVID-19 Pandemic,Computational Economics,10.1007/s10614-020-10069-3,Springer,2022-04-01,"The knowledge-based economy has drawn increasing attention recently, particularly in online shopping applications where all the transactions and consumer opinions are logged. Machine learning methods could be used to extract implicit knowledge from the logs. Industries and businesses use the knowledge to better understand the consumer behavior, and opportunities and threats correspondingly. The outbreak of coronavirus (COVID-19) pandemic has a great impact on the different aspects of our daily life, in particular, on our shopping behaviour. To predict electronic consumer behaviour could be of valuable help for managers in government, supply chain and retail industry. Although, before coronavirus pandemic we have experienced online shopping, during the disease the number of online shopping increased dramatically. Due to high speed transmission of COVID-19, we have to observe personal and social health issues such as social distancing and staying at home. These issues have direct effect on consumer behaviour in online shopping. In this paper, a prediction model is proposed to anticipate the consumers behaviour using machine learning methods. Five individual classifiers, and their ensembles with Bagging and Boosting are examined on the dataset collected from an online shopping site. The results indicate the model constructed using decision tree ensembles with Bagging achieved the best prediction of consumer behavior with the accuracy of 95.3%. In addition, correlation analysis is performed to determine the most important features influencing the volume of online purchase during coronavirus pandemic.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10614-020-10069-3,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10660-020-09449-6,Cross-border e-commerce platform for commodity automatic pricing model based on deep learning,Electronic Commerce Research,10.1007/s10660-020-09449-6,Springer,2022-03-01,"With the innovation of information technology and the rise of the Internet economy, cross-border e-commerce has grown up to be an important means and strategy for enterprises to seek rapid development. This paper proposes a model that fuses CNN (Convolutional Neural Network) and attention mechanism to encode image features, and selects the image features of commodities. A 5-layer CNN without a fully connected layer is constructed to initially extract image features, and then a set of attention mechanism strategies is designed. This strategy is used to select the image features that have the greatest impact when generating words at different times. Considering the characteristics of quantitative indicators of the pricing model, this paper transforms this evaluation process of consumers into price perception. Corresponding mathematical model is set up to improve and expand the original probability unit model. The consumer selection model is utilized to obtain a prediction of product market share, and a nonlinear constraint programming is established to determine the optimal price. The strategy takes into account the changed market shares of consumer characteristics and product quality evaluation results. In the two-layer hybrid channel supply chain model, retailers and manufacturers all use third-party platforms when they achieve maximum benefits; when price cross-elasticity coefficients and third-party platform usage fees are independent variables of influencing factors, retailers are dispersed on CNN to get the most profit under the pricing strategy. Similarly, when the unit product tax difference is the independent variable of the influencing factors, the manufacturer is also the most profitable under the CNN decentralized pricing strategy.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10660-020-09449-6,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10660-020-09454-9,Study on early warning of E-commerce enterprise financial risk based on deep learning algorithm,Electronic Commerce Research,10.1007/s10660-020-09454-9,Springer,2022-03-01,"With the development trend of economic progress, the capital business of e-commerce enterprises has become complicated. The financial risk of listed companies is a problem that needs to be paid attention to. The financial risk of e-commerce companies is a complex and gradual process, and its unique reasons may be many. E-commerce companies are facing financial risks or difficulties, and bankruptcy and liquidation are also increasing. Financial risk has seriously affected e-commerce companies and society. As a result, the early warning methods of financial risks have been constantly improved. With the arrival of the new economic era in the era of knowledge economy, the early warning of financial risks in e-commerce companies has become a hot issue in the financial management of e-commerce companies. Based on the deep learning algorithm, this paper studies from the perspective of establishing the financial early warning model based on deep learning and constructing the financial risk early warning mechanism of e-commerce companies, and analyzes and forecasts the financial risks of listed companies. Through the construction of financial security early warning system, crisis signals can be diagnosed as soon as possible, and crisis signals can be prevented and solved timely and effectively.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10660-020-09454-9,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
