contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Chapter ConferencePaper,doi:10.1007/978-3-031-08136-1_37,Machine Learning-Based Anomaly Prediction for Smart Manufacturing,Sensors and Microsystems,10.1007/978-3-031-08136-1_37,Springer,2023-01-01,"Thanks to the widespread availability of sensor data, it is today possible to accurately predict anomalies in machinery functioning, preventing so potential breakages, downtime, and poor quality of products. In the case of punching machine, it is important to monitor the surface of the punch tool in order to detect abnormal incipient deformations. This paper addresses the problem of model building when only few punch-tool samples are available for model training. To this end, sample data are augmented by generating synthetic deformations and then using, hybridlike, both synthetic and real data for model training. The feature extraction process relies on the new concept of Profile Integration Matrix, which accounts for punch-tool surface deformations. Using the Profile Integration features, the predictive model is based on the supervised classifier one-class Support Vector Machine. The achieved results are promising, showing accuracy rates of 97.4% with hybrid data and of 97.7% with synthetic data.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-08136-1_37,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter,doi:10.1007/978-3-030-92968-8_6,Industry 4.0: From Smart Factories to Artificial Intelligence,Industry 4.0 Challenges in Smart Cities,10.1007/978-3-030-92968-8_6,Springer,2023-01-01,"The subject of the study is the theoretic analysis and interpretation of the fourth industrial revolution referred to as Industry 4.0. Attention is primarily paid to smart factories and questions linked with the development of artificial intelligence. The main objective of the study is to describe the basic attributes of Industry 4.0 and typical development trends linked with the fourth industrial revolution. Partial objectives of the study include putting Industry 4.0 into a wider historical context and mapping security risks that modern information and digital technologies bring about. The study consists of four relatively independent parts in which various aspects of the researched topic are described and analysed from complementary points of view. The first part of the study applies an anthropological approach that allows the analysis of developmental changes in different types of manufacturing to make use of the terms “culture” and “sociocultural change.” The second part of the study maps the history of humanity from a historic perspective together with transformations of manufacturing technologies during the first, second, and third industrial revolution with emphasis on the use of energy resources. The third part of the study, discussing the fourth industrial revolution, presents basic visions of Industry 4.0 including its main aspiration, i.e. connecting the Internet of Things, Services, and People. The fourth part of the study deals with legislative and security risks resulting from the acceptance of new digital technologies and progress in the research of artificial intelligence.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-92968-8_6,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-2394-4_62,Knowledge Domain Organization in AEC-AI 4.0 Industry,Proceedings of Seventh International Congress on Information and Communication Technology,10.1007/978-981-19-2394-4_62,Springer,2023-01-01,"Knowledge Domain Organization (KDO) allows us to understand relationships, terms, or topics and the conceptual structure of specific knowledge domains. In complex domains, given by the heterogeneity of actors as well as specific domains/sub-domain features, they also impose further challenges in defining structures/features. In the AEC-AI 4.0 domain, digital and cyber-physical technologies are transforming the sector. However, big unsolved challenges are still foreseen. One of these challenges is the need for development, testing, selection, integration, and orchestration of AI and IoT technology. Here, an integrated approach involving AI, scientometrics, knowledge engineering, and metalearning would enable the development of an integrated operational system for the AEC’s life cycle operations. It would provide a dynamic framework for the assessment of digital and cyber-physical technology.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-2394-4_62,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0108-9_32,An Investigation on Impact of Machine Learning in Additive Manufacturing,Proceedings of Second International Conference in Mechanical and Energy Technology,10.1007/978-981-19-0108-9_32,Springer,2023-01-01,"One of the final phases in the product design process is prototyping or model creation. It is beneficial in the conception of a design. A model is produced and evaluated on a regular basis prior to the start of complete assembly. Historically, manual prototyping was employed to create a prototype. Additive manufacturing is a buzzword in the industrial and manufacturing industries. Initially, the CAD model of the components for the product was created in modeling software according to the specifications. Following the creation of a CAD model, the model is sliced by parallel planes equal to the layer thickness. As a result, the edges of these slices are quite sharp and squared, like a stair effect. These three-dimensional models will now be broken into small two-dimensional objects called slices. Simply said, a complicated three-dimensional problem has been reduced to a set of two-dimensional difficulties. These small two-dimensional files are known as STL files, and they are sent by tessellating the geometric three-dimensional model. Different surfaces of a CAD model are piecewise approximated by a sequence of triangles in tessellation, and the coordinates of triangle vertices and their surface normal are recorded. The predictive nature of various machine learning algorithms makes them the best instrument for dealing with additive manufacturing challenges. Machine learning techniques are capable of evaluating previous data and predicting future outcomes based on that analysis. This article discusses machine learning applications in additive engineering.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0108-9_32,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1142-2_38,Deep Learning and Machine Intelligence for Operational Management of Strategic Planning,"Proceedings of Third International Conference on Computing, Communications, and Cyber-Security",10.1007/978-981-19-1142-2_38,Springer,2023-01-01,"Currently, industries and businesses are adopting the concept of AI in the technological frontier, while some are opposing the progress. Many financiers are putting more money into AI businesses intending to just see AI adoption in marketing grow at a rapid pace since they are ready to pay for AI equipment, applications, and interfaces. Facebook, Google, and other Internet behemoths are developing tools to kick-start targeted advertising and improved searching. Nevertheless, gaining an understanding of how conventional businesses in the retailing, medical, and telecoms industries spend their own money on AI initiatives is important. Concerning machine learning, the next digitalization frontier is intended to be unleashed using AI. As a result, businesses should be prepared for this type of development since it provides a real-world edge to the corporate sector as a result of the forthcoming digital changes. This article focuses on five AI technical innovations: self-driving cars, computerized visions, robotic systems, deep learning, and virtual assistants, which cover a wide range of current AI breakthroughs and acquiring knowledge. AI development is rising all the time, with Baidu and Google now leading the market. Globally, we estimate that the technical behemoths spent around $2 trillion on AI alone and in 2021. Approximately, 90% of the total funds has been committed to R&D, with the remaining 10% going into AI acquisition. Grants from PE and VC firms, as well as financing and startup funds, have grown considerably. Deep learning continues to be a growing technology investment with a substantial presence in both the internal and external corporate worlds.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-1142-2_38,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1142-2_34,A Review on Service Delivery in Tourism and Hospitality Industry Through Artificial Intelligence,"Proceedings of Third International Conference on Computing, Communications, and Cyber-Security",10.1007/978-981-19-1142-2_34,Springer,2023-01-01,"AI in service industry like tourism and hospitality is changing at an impressive pace and has uncovered new research opportunities. It has been progressively reshaping the service industry and has led to significant innovations in this sector. This study focuses on the systematic review of artificial intelligence in delivery of service in the field of tourism and hospitality. The purpose of the paper is to explore and signify the relevance of artificial intelligence in tourism and hospitality industry in the contemporary times to meet the challenges posed by the pandemic and to ensure speed and accuracy in service delivery for enriching guest experience and sustaining competition. Paper mainly discusses about the optimum use of artificial intelligence through the adoption of AI technology in service delivery in tourism and hospitality industry. The use of AI-enabled tools like chatbots, smart rooms with voice control system, facial recognition technology, robots, operational analysis, and virtual reality in hospitality industry has been analyzed. This study also explores the acceptance of AI by the customer in the tourism and hospitality industry.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-1142-2_34,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0098-3_56,Detection of Faulty Steel Used in Construction Industry Using Machine Learning Algorithms,Information and Communication Technology for Competitive Strategies (ICTCS 2021),10.1007/978-981-19-0098-3_56,Springer,2023-01-01,"The construction industry consumes nearly half of global steel production. Every year, nearly 3 billion tonnes of raw materials are utilized to manufacture steel products, mainly for building purposes alone. Detecting faulty steel plays a major role utilizing the quality of manufactured building products, which in turn lowers the maintenance cost. In recent days, advanced analytical tools and machine learning algorithms have gained more popularity in fault diagnosis in steel products. In this work, Naive Bayes, support vector machine, and bagging classifier are applied to detect faulty steel and perform performance evaluation in terms of precision, recall, and accuracy. Detection of fault type is used to accomplish some prevention measures with respect to occupational safety.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0098-3_56,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0108-9_46,Using Blockchain and Distributed Machine Learning to Evaluate Performance Management and Its Effect on the Construction Industry,Proceedings of Second International Conference in Mechanical and Energy Technology,10.1007/978-981-19-0108-9_46,Springer,2023-01-01,"Blockchain and machine learning technology are the most important two technologies that help to develop organizational performance in the marketplace. The purpose of this study is evaluation of the performance management and effect of this technology in the construction industry. In the present time, most of the sector has used machine learning and blockchain technology to grow their business. Among these industries, the construction industry is one of the most important sectors that have increased performance through blockchain and machine learning technology. In the construction industry, supply chain management is the most effective aspect. Machine learning and blockchain technology have helped to improve supply chain management. Moreover, the construction industry has improved its performance management through the implementation of 2.0 technology. This research study has selected the secondary qualitative data collection method to get realistic and genuine data for the research study. The teachers have collected the secondary qualitative data from online articles, books, and journals. In this regard, from the secondary qualitative data, the teachers have conducted the thematic analysis to find the authentic result of this study. In this research study, the researcher has analyzed the importance of blockchain and machine learning to develop performance management in an organization. After all analysis, this research study concludes that machine learning and blockchain technology have affected the construction industry positively to manage the performance.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0108-9_46,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-3-030-96314-9_2,Challenges and Benefits for Detecting Soon-to-Fail Drives in Industry 4.0,6th EAI International Conference on Management of Manufacturing Systems,10.1007/978-3-030-96314-9_2,Springer,2023-01-01,"Data storage and processing is an integral component of Industry 4.0 applications. Failures of storage devices may lead to system corruptions and malfunctioning of physical infrastructures. In this chapter, we explore a methodology to monitor the storage devices that are used in an Industry 4.0 environment and investigate mechanisms for early detection of failing devices. In particular, we describe the usage of machine learning models over data that describe the physical condition of the storage devices to determine whether a device is ill-functioning. We support our proposed models with experimental results over a large dataset, and we provide an analysis on the performance of our algorithms.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-96314-9_2,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0108-9_41,Machine Learning for the Manufacturing of Digital Marketing Techniques and Its Impact on Health Care System,Proceedings of Second International Conference in Mechanical and Energy Technology,10.1007/978-981-19-0108-9_41,Springer,2023-01-01,"The study explores among the most significant developments in the digital marketing sector has been the emergence of machine learning and artificial intelligence technologies to assist in the streamlining of marketing operations and the increased effectiveness of companies. The manner in which digital marketers collaborate with machine learning-based technologies will determine the direction of marketing in the next. As machine learning and artificial intelligence grow increasingly prevalent in the digital marketing environment, it is critical that the finest digital companies understand how to use machine learning into their digital marketing initiatives in order to remain competitive. As a healthcare organization, you are undoubtedly aware of how difficult it can be to keep up with the digital revolution in the healthcare industry. Selecting which new technologies are worthy the investment in and convincing your staff to embrace changes is frequently the most difficult aspect of the process. Look, adjusting to the digital world necessitates a change in perspective toward one that is more adaptable and threat. It entails letting go of antiquated corporate procedures and placing faith in the fact that disruptions will produce significant benefits.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0108-9_41,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-16-9967-2_72,Threats and Challenges of Artificial Intelligence in the Healthcare Industry,Smart Trends in Computing and Communications,10.1007/978-981-16-9967-2_72,Springer,2023-01-01,"The authors provide a crisp yet in-depth summary of the relevance of artificial intelligence (AI) in providing healthcare solutions. Artificial intelligence is a relatively new concept in the field of health care. AI aids in the prediction of disease patients for medical procedures. Patients, pharma companies, health services, insurance companies, and medical institutions benefit from AI’s application in health care. Artificial intelligence supports different concepts, counting computing, computer program improvement, and information exchange. Machine learning, profound learning, normal dialect generation, discourse acknowledgment, robots, and biometric distinguishing proof are illustrations of artificial intelligence’s innovation. Artificial intelligence is used in a variety of areas, including health care, manufacturing, and business. It is also used in the automotive industry. The authors have discussed the current scenario of artificial intelligence and the threats and challenges posed for AI in the healthcare industry.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-9967-2_72,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-16-9967-2_11,Relevance of Artificial Intelligence in the Hospitality and Tourism Industry,Smart Trends in Computing and Communications,10.1007/978-981-16-9967-2_11,Springer,2023-01-01,"The authors provide a crisp yet in-depth summary of the relevance of artificial intelligence in the hospitality and tourism industry. Focusing on artificial intelligence, the chapter draws the attention of the reader toward its usage and role in the lives of the customers and service providers in the hospitality sector. It also focuses on the costs involved in the incorporation of artificial intelligence in the hospitality industry. Some of the salient features of artificial intelligence in the hospitality sector have been discussed in the chapter by elucidating the benefits of artificial intelligence like financial benefits, technological benefits, and resource management benefits. This chapter sought to project the various factors affecting the role of artificial intelligence in the industry and how the hospitality and tourism industry adopts the technology with time, demand, and expectations of the customer. Both perspectives have been highlighted, i.e., from the customer’s point of view as well as the managerial insights. The overall intention and thrust were to provide the reader with perspectives of the importance of advancing stages of artificial intelligence in the chosen industry along with a few contrasting thoughts as artificial intelligence cannot replace the essence of human touch completely as it is one of a kind of a servicescape involving humans as the most crucial and critical link.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-9967-2_11,springer,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
