contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Chapter ConferencePaper,doi:10.1007/978-981-19-3632-6_24,Path Planning of Indoor Mobile Educational Robot Based on Improved Deep Reinforcement Learning,The 2021 International Conference on Smart Technologies and Systems for Internet of Things,10.1007/978-981-19-3632-6_24,Springer,2023-01-01,"With the maturity of artificial intelligence and Internet of Things technology, the research on robots has also become one of the hotspots of artificial intelligence. Indoor mobile educational robots are an important part of machine intelligence. Research on the path of indoor mobile educational robots has become a key point in machine research. The purpose of this paper is to study the path planning of indoor mobile educational robots to improve deep reinforcement learning. This article first summarizes the research status of mobile educational robots at home and abroad. On this basis, the kinematics model of the indoor mobile educational robot is researched and analyzed. This article systematically elaborates the path planning based on the Actor-Critic algorithm and the deep reinforcement learning training model based on the minimum depth of field information. And use comparative analysis method, observation method and other research methods to carry out experimental research on the theme of this article. Research shows that the Actor-Critic algorithm proposed in this paper is shorter in path planning time and path distance than traditional algorithms.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-3632-6_24,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0108-9_30,"Evaluating the Role of Robotics, Machine Learning and Artificial Intelligence in the Field of Performance Management",Proceedings of Second International Conference in Mechanical and Energy Technology,10.1007/978-981-19-0108-9_30,Springer,2023-01-01,"Although intelligent automation academic production has evolved fast (e.g., artificial intelligence, robots) we currently lack a full knowledge of the effects on organizational (companies) and individual (workforce) levels of the use of these innovations in performance management (PM). The purpose of this study is to systematize scholarly input on smart automation to date and to elucidate their primary contributions to the performance management difficulties. We found 45 publications on artificial intelligence, robotics as well as other technologically advanced within PM settings in the international business (IB) and general management (GM) and information management (IM) journals. The results demonstrate that smart automation technologies provide a new strategy to managing personnel and improving company performance, providing various performance management opportunities and also major technological and ethical problems. Its influence is based on performance management techniques such as job substitution, work collaboration between human robots and AI, policy-making and apprenticeship possibilities, and performance management activities, namely recruitment, education, and job performance. This paper addresses these changes in-depth and the main contribution to future studies theories and practices.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0108-9_30,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1540-6_11,Neural Network-Based Self-tuning Kinematic Control and Dynamic Compensation for Mobile Robots,Proceedings of 10th International Conference on Mechatronics and Control Engineering,10.1007/978-981-19-1540-6_11,Springer,2023-01-01,"This paper proposes a neural network-based self-tuning kinematic controller and dynamic compensation for tracking trajectories, which applied, e.g., in cases where mobile robots are subject to: continuous parametric changes; different trajectories and external disturbances where online gain tuning is a desirable choice. For this kind of controller, the kinematic and dynamic model was developed considering that the mobile robot is confirmed by differential platform, and the operating point is not located at the center of wheel’s axes. The artificial neural network estimates the states of the mobile robot while the gradient descent optimization algorithm adjusts the controller gains that attain the smaller position tracking error, the dynamic model is used to compensate the velocity errors in the robot. Moreover, the stability of the proposed controller is demonstrated analytically. Finally, simulation results are given considering a Turtlebot3 mobile robot, real-time experiments are implemented in the same mobile robot, where the tests are carried out to show the effectiveness of the controller in a real environment.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-1540-6_11,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0561-2_2,Autonomous Navigation for Mobile Robots with Sensor Fusion Technology,Industry 4.0 and Advanced Manufacturing,10.1007/978-981-19-0561-2_2,Springer,2023-01-01,"Autonomous navigation for a mobile robot is a method used to localize and navigate a robot in a random environment. The existing solution leverages a 2D LiDAR on top of the robot for mapping and obstacle avoidance but the LiDAR at times is unable to detect objects due to their size and color properties. This paper aims to develop a robot that uses both LiDAR and a vision-based sensor as fused sensor technology and to navigate the robot in any direction without any constraints using four-wheel Mecanum drive. The method uses 2D LiDAR as the global sensor for mapping and obstacle avoidance and fusing it with a vision sensor for detecting objects which cannot be detected by LiDAR. The vision sensor uses a deep learning object detection method; YOLOv3. Whenever an object is detected by a neural network the program sends a false laser scan, which is updated in the local cost map of the ROS navigation stack, which makes the robot aware of an object ahead and takes an alternate path to reach the goal position. This robot was tested in a gazebo ROS environment and was able to avoid obstacles irrespective of the size or color of the object. This method was successful in a simulation environment and can be used in industries that need 2D LiDAR as an affordable option and as a replacement for 3D LiDAR.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-0561-2_2,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-3-031-08954-1_1,"Industry 5.0: A Panacea in the Phase of Covid-19 Pandemic Concerning Health, Education, and Banking Sector","Explore Business, Technology Opportunities and Challenges ‎After the Covid-19 Pandemic",10.1007/978-3-031-08954-1_1,Springer,2023-01-01,"The fifth industrial revolution focuses on sustainability with the aid of recent technologies and advanced digital information. Industrial revolution 5.0 develops successful procedures and creates quick enhancement in various industries. Resolutions to challenges modeled by COVID-19 Pandemic can be realized with the placement of Industry 5.0 based on smart technologies. During Covid-19 Pandemic where the world is suffering from a crisis, technological innovation is equipped to march forward with the mission, vision, new values, and principles. In COVID-19 Pandemic, these technologies are offering a remote service structure in various sectors and those who have implemented technology in their respective areas are more likely to recover faster than the others. This study focuses on the health care, education, banking, and aims to bring out the role of industry 5.0 in the selected sectors during the COVID-19 Pandemic. The study also identifies the challenges in realizing industry 5.0, identifies the several supportive structures and services of Industry 5.0 to aid out COVID-19 situation, and brings out a model which represents the stages of evolution for each selected sector and supportive features and facilities of Industry 5.0.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-08954-1_1,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s00167-022-07035-x,Artificial intelligence and robotics in TKA surgery: promising options for improved outcomes?,"Knee Surgery, Sports Traumatology, Arthroscopy",10.1007/s00167-022-07035-x,Springer,2022-08-01,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00167-022-07035-x,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10489-021-02902-5,Data-driven physical law learning model for chaotic robot dynamics prediction,Applied Intelligence,10.1007/s10489-021-02902-5,Springer,2022-08-01,"A robot control system is a multivariable, nonlinear automatic control system, as well as a dynamic coupling system. To address the difficult problem of data prediction under a chaotic system, a data-driven physical law learning model (DPM) is proposed, which can learn the underlying physical rules that the data follow. First, two independent autoencoder neural networks are stacked and merged to explore potential physical rules. Then, a virtual Hamiltonian represented as the sum of kinetic energy and potential energy of chaotic data is introduced. Combined with the Hamiltonian equation, the learned Hamiltonian is transformed into a symplectic transformation, whose first-order differential w.r.t. the generalized coordinates and momentum can be regarded as a time-dependent prediction instead of a direct numerical approximation. Finally, the DPM continuously learns implicit Hamiltonian equations from chaotic data until it can fit the law of phase space motion in a chaotic environment. The experimental results show that the model has a better robot dynamics prediction ability in long-term chaotic systems than the existing SOTA methods.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10489-021-02902-5,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s12369-022-00883-0,Enabling AI and Robotic Coaches for Physical Rehabilitation Therapy: Iterative Design and Evaluation with Therapists and Post-stroke Survivors,International Journal of Social Robotics,10.1007/s12369-022-00883-0,Springer,2022-07-23,"Artificial intelligence (AI) and robotic coaches promise the improved engagement of patients on rehabilitation exercises through social interaction. While previous work explored the potential of automatically monitoring exercises for AI and robotic coaches, the deployment of these systems remains a challenge. Previous work described the lack of involving stakeholders to design such functionalities as one of the major causes. In this paper, we present our efforts on eliciting the detailed design specifications on how AI and robotic coaches could interact with and guide patient’s exercises in an effective and acceptable way with four therapists and five post-stroke survivors. Through iterative questionnaires and interviews, we found that both post-stroke survivors and therapists appreciated the potential benefits of AI and robotic coaches to achieve more systematic management and improve their self-efficacy and motivation on rehabilitation therapy. In addition, our evaluation sheds light on several practical concerns (e.g. a possible difficulty with the interaction for people with cognitive impairment, system failures, etc.). We discuss the value of early involvement of stakeholders and interactive techniques that complement system failures, but also support a personalized therapy session for the better deployment of AI and robotic exercise coaches.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12369-022-00883-0,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s43154-022-00086-5,Review of Current Robotic Approaches for Precision Weed Management,Current Robotics Reports,10.1007/s43154-022-00086-5,Springer,2022-07-22,"Purpose of Review The goal of this review is to provide an overview of current robotic approaches to precision weed management. This includes an investigation into applications within this field during the past 5 years, identifying which major technical areas currently preclude more widespread use, and which key topics will drive future development and utilisation. Recent Findings Studies combining computer vision with traditional machine learning and deep learning are driving progress in weed detection and robotic approaches to mechanical weeding. Integrating key technologies for perception, decision-making, and control, autonomous weeding robots are emerging quickly. These effectively save effort while reducing environmental pollution caused by pesticide use. Summary This review assesses different weed detection methods and weeder robots used in precision weed management and summarises the trends in this area in recent years. The limitations of current systems are discussed, and ideas for future research directions are proposed.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s43154-022-00086-5,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s00500-022-07293-4,Research on path planning algorithm of mobile robot based on reinforcement learning,Soft Computing,10.1007/s00500-022-07293-4,Springer,2022-07-21,"In order to solve the problems of low learning efficiency and slow convergence speed when mobile robot uses reinforcement learning method for path planning in complex environment, a reinforcement learning method based on each round path planning result is proposed. Firstly, the algorithm adds obstacle learning matrix to improve the success rate of path planning; and introduces heuristic reward to speed up the learning process by reducing the search space; then proposes a method of dynamically adjusting the exploration factor to balance the exploration and utilization in path planning, so as to further improve the performance of the algorithm. Finally, the simulation experiment in grid environment shows that compared with Q-learning algorithm, the improved algorithm not only shortens the average path length of the robot to reach the target position, but also speeds up the learning efficiency of the algorithm, so that the robot can find the optimal path more quickly. The code of EPRQL algorithm proposed in this paper has been published to GitHub: https://github.com/panpanpanguoguoqian/mypaper1.git .",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00500-022-07293-4,springer,robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
