doi,url,title,abstract,publisher,publication_date,database,query_name,query_value
095f98cc481046a4ab3b25af4eac7178ccd8736f,https://www.semanticscholar.org/paper/095f98cc481046a4ab3b25af4eac7178ccd8736f,"SCADA Systems With Focus on Continuous Manufacturing and Steel Industry: A Survey on Architectures, Standards, Challenges and Industry 5.0","Recent technological advances encompassed by the smart factory concept have fundamentally changed industrial control systems in the way they are structured and how they operate. Majority of these changes affect Supervisory Control And Data Acquisition (SCADA) systems, shifting them to a higher level of interoperability, heterogeneous networks, big data and toward internet technologies and services in general. However, this transformation does not affect all SCADA systems equally. The immediate industrial environment and controlled processes have a significant impact as well. This paper presents a holistic approach to SCADA systems implemented in continuous flow production control within the steel industry production environment. We outline the multi-layer architecture of the SCADA control framework and the aspects of interoperability and interconnectivity within the architecture reference models, together with the research challenges and opportunities arising from the recent rapid increasement of the industrial control systems complexity and digital transformation under the Industry 4.0 paradigm, resulting in disrupting levels of the traditional automation pyramid based on Purdue model toward a higher level of integration and interoperability enabling cross-level data exchange empowered by the Industrial Internet of Things. Furthermore, the paper addresses the problem of proprietary SCADA systems and elaborates the causal correlation between SCADA quality requirements and adoption of new technologies in relation to the specific industrial environment of the steel manufacturing process.",IEEE Access,2022,semantic_scholar,citation,citation
390f735ab2a12565006e761850c78bd487667a97,https://www.semanticscholar.org/paper/390f735ab2a12565006e761850c78bd487667a97,Continuous Design Control for Machine Learning in Certified Medical Systems,,Software Quality Journal,2022,semantic_scholar,citation,citation
03211db44025aa6b1f7025faf3781a0c6f8d06c4,https://www.semanticscholar.org/paper/03211db44025aa6b1f7025faf3781a0c6f8d06c4,Development of medical applications based on AI models and register data – regulatory considerations,<jats:p />,Linköping Electronic Conference Proceedings,2022,semantic_scholar,citation,citation
267e19842ee07b786572629d464cca56a0e1c6b3,https://www.semanticscholar.org/paper/267e19842ee07b786572629d464cca56a0e1c6b3,MLOps: A Guide to its Adoption in the Context of Responsible AI,"DevOps practices have increasingly been applied to software development as well as the machine learning lifecycle, in a process known as MLOps. Currently, many professionals have written about this topic, but still few results can be found in the academic and scientific literature on MLOps and how to to implement it effectively. Considering aspects of responsible AI, this number is even lower, opening up a field of research with many possibilities. This article presents five steps to guide the understanding and adoption of MLOps in the context of responsible AI. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices to develop their systems, following responsible AI principles.CCS CONCEPTS• Software and its engineering → Software creation and management; • Computing methodologies → Machine learning.",2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI),2022,semantic_scholar,citation,citation
c82e39cc3b49bcb9868bad539376ddff34730ada,https://www.semanticscholar.org/paper/c82e39cc3b49bcb9868bad539376ddff34730ada,Operationalizing Machine Learning Models - A Systematic Literature Review,"Deploying machine learning (ML) models to production with the same level of rigor and automation as traditional software systems has shown itself to be a non-trivial task, requiring extra care and infrastructure to deal with the additional challenges. Although many studies focus on adapting ML software engineering (SE) approaches and techniques, few studies have summarized the status and challenges of operationalizing ML models. Model operationalization encompasses all steps after model training and evaluation, including packaging the model in a format appropriate for deployment, publishing to a model registry or storage, integrating the model into a broader software system, serving, and monitoring. This study is the first systematic literature review investigating the techniques, tools, and infrastructures to operationalize ML models. After reviewing 24 primary studies, the results show that there are a number of tools for most use cases to operationalize ML models and cloud deployment in particular. The review also revealed several research opportunities, such as dynamic model-switching, continuous model-monitoring, and efficient edge ML deployments. CCS CONCEPTS • General and reference → Surveys and overviews; • Computing methodologies → Machine learning; • Software and its engineering → Software development techniques.",2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI),2022,semantic_scholar,citation,citation
f54fc76b7574e1600bad79f82e9eceefcecd3bc6,https://www.semanticscholar.org/paper/f54fc76b7574e1600bad79f82e9eceefcecd3bc6,MLOps: A Taxonomy and a Methodology,"Over the past few decades, the substantial growth in enterprise-data availability and the advancements in Artificial Intelligence (AI) have allowed companies to solve real-world problems using Machine Learning (ML). ML Operations (MLOps) represents an effective strategy for bringing ML models from academic resources to useful tools for solving problems in the corporate world. The current literature on MLOps is still mostly disconnected and sporadic. In this work, we review the existing scientific literature and we propose a taxonomy for clustering research papers on MLOps. In addition, we present methodologies and operations aimed at defining a ML pipeline to simplify the release of ML applications in industry. The pipeline is based on ten steps: business problem understanding, data acquisition, ML methodology, ML training & testing, continuous integration, continuous delivery, continuous training, continuous monitoring, explainability, and sustainability. The scientific and business interest and the impact of MLOps have grown significantly over the past years. The definition of a clear and standardized methodology for conducting MLOps projects is the main contribution of this paper.",IEEE Access,2022,semantic_scholar,citation,citation
92dfb6f46dcb158d281282a8cacd07f440a03508,https://www.semanticscholar.org/paper/92dfb6f46dcb158d281282a8cacd07f440a03508,Applying DevOps to Machine Learning Processes: A Systematic Mapping,"Práticas de DevOps têm sido cada vez mais utilizadas por equipes de engenharia de software com o intuito de aprimorar as etapas de desenvolvimento. Em processos que envolvem machine learning (ML), DevOps também pode ser aplicado a fim de implantar modelos de aprendizado de máquina em produção – prática também conhecida como MLOps. Neste mapeamento sistemático objetiva-se entender como DevOps tem sido aplicado a processos de machine learning e quais são os desafios enfrentados. Foram selecionados 15 artigos e observou-se que a maioria faz uso de práticas de CI/CD e propõe arquiteturas para a implantação de modelos de ML. Como maiores desafios, têm-se as características inerentes aos modelos de ML e resistência à mudança.",Anais do XVIII Encontro Nacional de Inteligência Artificial e Computacional (ENIAC 2021),2021,semantic_scholar,citation,citation
4241129513a8407c3a598cf3724e50a4e743fd6d,https://www.semanticscholar.org/paper/4241129513a8407c3a598cf3724e50a4e743fd6d,Towards RegOps: A DevOps Pipeline for Medical Device Software,,PROFES,2021,semantic_scholar,citation,citation
539ca3f39cf1a4c690d823ec64dcb5154d57249d,https://www.semanticscholar.org/paper/539ca3f39cf1a4c690d823ec64dcb5154d57249d,Semi-Supervised Condition Monitoring and Visualization of Fused Magnesium Furnace,"This paper introduces a novel practice of using image based condition classification and visualization system to augment operators in the task of monitoring the working condition of fused magnesium furnace. The system implements two functions: working condition detection and remote visually reconstruction of the furnace flame. For the problem of working condition detection, we combine the image features and the smelting electrical currents to train the classifier under semi-supervised learning framework. We also introduce a highly efficient cross-entropy based optimization method for training. For the visualization task, we propose a practical end-to-end solution which can visually simulate the dynamic furnace flame at remote monitoring consoles according to the visual feature of the monitoring video. Finally, we introduce the distributed structure of the monitoring system which consists of a private cloud, an edge server and remote monitoring consoles. The proposed solution can be applicable for various monitoring tasks in industry. Note to Practitioners—This paper introduces an image based solution to the practical problem of condition monitoring of fused magnesium furnace. The solution includes two parts: working condition detection and visualization. First, for the abnormal condition detection problem, most existing approaches use the process monitoring video as the condition predictor. It also assumes that the video data are fully labeled with condition category, which often is not available in practice. This paper suggests a novel approach combining the monitoring video and the smelting electrical currents under semi-supervised learning framework to the development of condition classifier. Experiments show that the detection accuracy is remarkably improved comparing to the approach using monitoring video only. Second, this paper presents a remote visualization solution which enables instant reconstruction of the furnace flame at monitoring consoles using only essential features of the flame. This technique is well suited for situation of real-time remote visual monitoring with very limited network bandwidth. Finally, the condition monitoring system adopts a distributed structure including a private cloud, an edge server and remote monitoring consoles. The presented techniques in this paper can be applicable for various monitoring tasks in industry.",IEEE Transactions on Automation Science and Engineering,2022,semantic_scholar,citation,citation
22fe5b7aab5019c542487f078686ff5a404b9a28,https://www.semanticscholar.org/paper/22fe5b7aab5019c542487f078686ff5a404b9a28,RX-ADS: Interpretable Anomaly Detection using Adversarial ML for Electric Vehicle CAN data,"—Recent year has brought considerable advance- ments in Electric Vehicles (EVs) and associated infrastruc-tures/communications. Intrusion Detection Systems (IDS) are widely deployed for anomaly detection in such critical infrastructures. This paper presents an Interpretable Anomaly Detection System (RX-ADS) for intrusion detection in CAN protocol communication in EVs. Contributions include: 1) window based feature extraction method; 2) deep Autoencoder based anomaly detection method; and 3) adversarial machine learning based explanation generation methodology. The presented approach was tested on two benchmark CAN datasets: OTIDS and Car Hacking. The anomaly detection performance of RX-ADS was compared against the state-of-the-art approaches on these datasets: HIDS and GIDS. The RX-ADS approach presented performance comparable to the HIDS approach (OTIDS dataset) and has outperformed HIDS and GIDS approaches (Car Hacking dataset). Further, the proposed approach was able to gener- ate explanations for detected abnormal behaviors arising from various intrusions. These explanations were later validated by information used by domain experts to detect anomalies. Other advantages of RX-ADS include: 1) the method can be trained on unlabeled data; 2) explanations help experts in understanding anomalies and root course analysis, and also help with AI model debugging and diagnostics, ultimately improving user trust in AI systems.",ArXiv,2022,semantic_scholar,citation,citation
