doi,url,title,abstract,publisher,publication_date,database,query_name,query_value,id,type,status
053166fe63e374e2244a2b0d5e8d8738654077fe,https://www.semanticscholar.org/paper/053166fe63e374e2244a2b0d5e8d8738654077fe,Anomaly Detection in Smart Grids using Machine Learning,"Smart grid data can be analyzed for detecting abnormalities in many different areas such as cybersecurity, fault detection, electricity theft, etc. There is a strong case for the use of machine learning in anomaly detection. The raw grid data requires feature extraction. Anomalies can be defined as instances or changes in the smart grid data that are out of character concerning the average trend. A typical grid architecture results can vary significantly, depending on trends or changes in power, voltage, current, or consumption. This paper develops an anomaly detection model for a real-world smart grid system implemented on a hardware-based testbed. By detecting abnormal activities, one can improve the system behavior in data communication flow. It will also identify if there are parameter changes that indicate the presence of cyber-attacks. Our proposed anomaly detection model is build based on Isolation Forest (IF) to isolate outliers from standard observations through multiple decision trees. The performance of the proposed detection method was verified using the simulation results on a hardware-based testbed. Feature selection was optimized by principal component analysis and the model was further analyzed for performance with dickey-fuller test.",IECON 2021 â€“ 47th Annual Conference of the IEEE Industrial Electronics Society,2021,semantic_scholar,citation,citation,1,filtered,unknown
0727c772d0f0389c29d3269ee4e4dc9cb2b1d568,https://www.semanticscholar.org/paper/0727c772d0f0389c29d3269ee4e4dc9cb2b1d568,CNN-Based Fall Detection Strategy with Edge Computing Scheduling in Smart Cities,"The livelihood problem, especially the medical wisdom, has played an important role during the process of the building of smart cities. For the medical wisdom, the fall detection has attracted the considerable attention from the global researchers and medical institutions. It is very difficult for the traditional fall detection strategies to realize the intelligent detection with the following three reasons: (i) the data collection cannot reach the real-time level; (ii) the adopted detection methods cannot satisfy the enough stability; and (iii) the computation overhead of collection device is very high, which causes the barely satisfactory detection effect. Therefore, this paper proposes Convolutional Neural Network (CNN)-based fall detection strategy with edge computing consideration, where the global network view ability of Software-Defined Networking (SDN) is used to collect the generated data from smartphone. Meanwhile, on one hand, the edge computing is exploited to put some computation tasks at the edge server by the scheduling technique. On the other hand, CNN is equipped with both edge server and smartphone, and it is leveraged to train the related data and further give the guidance of fall detection. The experimental results show that the novel fall detection strategy has a more accurate rate, transmission delay, and stability than two cutting-edge strategies.",Electronics,2020,semantic_scholar,citation,citation,2,filtered,unknown
043454093561e9d4880a095a4cfe83c7ea74dab2,https://www.semanticscholar.org/paper/043454093561e9d4880a095a4cfe83c7ea74dab2,Work-in-Progress: Making Machine Learning Real-Time Predictable,"Machine learning (ML) on edge computing devices is becoming popular in the industry as a means to make control systems more intelligent and autonomous. The new trend is to utilize embedded edge devices, as they boast higher computational power and larger memories than before, to perform ML tasks that had previously been limited to cloud-hosted deployments. In this work, we assess the real-time predictability and consider data privacy concerns by comparing traditional cloud services with edge-based ones for certain data analytics tasks. We identify the subset of ML problems appropriate for edge devices by investigating if they result in real-time predictable services for a set of widely used ML libraries. We specifically enhance the Caffe library to make it more suitable for real-time predictability. We then deploy ML models with high accuracy scores on an embedded system, exposing it to industry sensor data from the field, to demonstrates its efficacy and suitability for real-time processing.",2018 IEEE Real-Time Systems Symposium (RTSS),2018,semantic_scholar,citation,citation,3,filtered,unknown
0435b4bfb15fe8df5c41db25984d913caebb1502,https://www.semanticscholar.org/paper/0435b4bfb15fe8df5c41db25984d913caebb1502,Predictive Maintenance using Machine Learning on Industrial Water Pumps,"â€“ To help the industry, detect critical problems in production or maintenance devices, Predictive Maintenance or Predictive Preservation are combined with the Internet of Things (IoT). We propose in this research paper a system architecture model for detecting early water pump system failures by utilizing prevailing measurements captured by the monitored controlled devices. In the tentative portion, we have worked on real measured datasets, events, and failures from the water pumps sector. There are different preservation approaches or tactics that are being used to keep the effectiveness of the industries. For any specific industry, preservation disturbs the value of product works. To avoid shocking or later breakdown, the preservation methods ought to be deliberate in such a mode that the preservation tasked to decrease the conservation costs and the time required to implement them properly. This research study describes the deployment of a keen and Machine Learning architecture system for Predictive Maintenance or Preventive preservation, based on the Random Forest method in an Industry sector, that considers IoT (Internet of Things) and Machine Learning(ML) technologies to support the real-time statistics, an online collection of data, and analysis for detecting machine breakdowns sooner, allowing the real-time monitoring on the data, visualization of the statistics and schedule of preservation interventions to mitigate the existence of such failures in the water pumps. The deployed system architecture also integrates Machine Learning techniques to provision the technicians during the execution of preservation interventions..",International Journal of Innovations in Engineering and Science,2022,semantic_scholar,citation,citation,4,filtered,unknown
0a2d88440f10f0c8d5478f47bf99f4162911b618,https://www.semanticscholar.org/paper/0a2d88440f10f0c8d5478f47bf99f4162911b618,PREDICTIVE MAINTENANCE USING MACHINE LEARNING ON WATER PUMP,"Predictive Preservation or maintenance is used in conjunction with the Internet of Things to assist the industry in detecting important faults in production or maintenance devices. In this study, we offer a system architecture model for detecting early water pump system failures based on data acquired by monitored controlled devices. We worked on real measured statistics, events, and failures from the water pumps sector in the tentative portion. Different preservation measures or tactics are being tried to maintain the industries' effectiveness. Preservation disrupts the value of goods works in any sector. To avoid being shocked or later breaking down, preservation procedures should be planned in such a way that the preservation task is reduced in both cost and time. This research study describes the implementation of a keen and Machine Learning architecture system for Predictive Maintenance or Preventive Preservation, based on the Random Forest method in an Industry sector, that considers the Internet of Things and Machine Learning (ML) technologies to support real-time statistics, an online collection of data, and analysis for detecting machine breakdowns sooner, allowing real-time monitoring on the data, visualization of the data, and analysis for detecting machine breakdowns earlier.",,2022,semantic_scholar,citation,citation,5,filtered,unknown
74772776c2d99f8a1e70f59523ee4de24d47501f,https://www.semanticscholar.org/paper/74772776c2d99f8a1e70f59523ee4de24d47501f,Deep-Graph-Based Reinforcement Learning for Joint Cruise Control and Task Offloading for Aerial Edge Internet of Things (EdgeIoT),"This article puts forth an aerial edge Internet of Things (EdgeIoT) system, where an unmanned aerial vehicle (UAV) is employed as a mobile-edge server to process mission-critical computation tasks of ground Internet of Things (IoT) devices. When the UAV schedules an IoT device to offload its computation task, the tasks buffered at the other unselected devices could be outdated and have to be canceled. We investigate a new joint optimization of UAV cruise control and task offloading allocation, which maximizes tasks offloaded to the UAV, subject to the IoT deviceâ€™s computation capacity and battery budget, and the UAVâ€™s speed limit. Since the optimization contains a large solution space while the instantaneous network states are unknown to the UAV, we propose a new deep-graph-based reinforcement learning framework. An advantage actorâ€“critic (A2C) structure is developed to train the real-time continuous actions of the UAV in terms of the flight speed, heading, and the offloading schedule of the IoT device. By exploring hidden representations resulting from the network feature correlation, our framework takes advantage of graph neural networks (GNNs) to supervise the training of UAVâ€™s actions in A2C. The proposed graph neural network-enabled A2C (GNN-A2C) framework is implemented with Google Tensorflow. The performance analysis shows that GNN-A2C achieves fast convergence and reduces considerably the task missing rate in aerial EdgeIoT.",IEEE Internet of Things Journal,2022,semantic_scholar,citation,citation,6,filtered,unknown
982248098bd6b1be2d72369ae3d083f551eefced,https://www.semanticscholar.org/paper/982248098bd6b1be2d72369ae3d083f551eefced,"Modeling Live Video Streaming: Real-Time Classification, QoE Inference, and Field Evaluation","Social media, professional sports, and video games are driving rapid growth in live video streaming, on platforms such as Twitch and YouTube Live. Live streaming experience is very susceptible to short-time-scale network congestion since client playback buffers are often no more than a few seconds. Unfortunately, identifying such streams and measuring their QoE for network management is challenging, since content providers largely use the same delivery infrastructure for live and videoon-demand (VoD) streaming, and packet inspection techniques (including SNI/DNS query monitoring) cannot always distinguish between the two. In this paper, we design, build, and deploy ReCLive: a machine learning method for live video detection and QoE measurement based on network-level behavioral characteristics. Our contributions are four-fold: (1) We analyze about 23,000 video streams from Twitch and YouTube, and identify key features in their traffic profile that differentiate live and on-demand streaming. We release our traffic traces as open data to the public; (2) We develop an LSTM-based binary classifier model that distinguishes live from on-demand streams in real-time with over 95% accuracy across providers; (3) We develop a method that estimates QoE metrics of live streaming flows in terms of resolution and buffer stall events with overall accuracies of 93% and 90%, respectively; and (4) Finally, we prototype our solution, train it in the lab, and deploy it in a live ISP network serving more than 7,000 subscribers. Measurements from the field show that 99.8% of Twitch videos are streamed live, while this measure is only 2.3% for YouTube. Further, during peak hours as many as 15% of live video streams are played at low-definition resolution and about 7% of them experience a buffer stall. Our method provides ISPs with fine-grained visibility into live video streams, enabling them to measure and improve user experience.",ArXiv,2021,semantic_scholar,citation,citation,7,filtered,unknown
9f4722294a2c99f18dec9e24446c283f7edb6920,https://www.semanticscholar.org/paper/9f4722294a2c99f18dec9e24446c283f7edb6920,Managing IoT Cyber-Security Using Programmable Telemetry and Machine Learning,"Cyber-security risks for Internet of Things (IoT) devices sourced from a diversity of vendors and deployed in large numbers, are growing rapidly. Therefore, management of these devices is becoming increasingly important to network operators. Existing network monitoring technologies perform traffic analysis using specialized acceleration on network switches, or full inspection of packets in software, which can be complex, expensive, inflexible, and unscalable. In this paper, we use SDN paradigm combined with machine learning to leverage the benefits of programmable flow-based telemetry with flexible data-driven models to manage IoT devices based on their network activity. Our contributions are three-fold: (1) We analyze traffic traces of 17 real consumer IoT devices collected in our lab over a six-month period and identify a set of traffic flows (per-device) whose time-series attributes computed at multiple timescales (from a minute to an hour) characterize the network behavior of various IoT device types, and their operating states (i.e., booting, actively interacted with user, or being idle); (2) We develop a multi-stage architecture of inference models that use flow-level attributes to automatically distinguish IoT devices from non-IoTs, classify individual types of IoT devices, and identify their states during normal operations. We train our models and validate their efficacy using real traffic traces; and (3) We quantify the trade-off between performance and cost of our solution, and demonstrate how our monitoring scheme can be used in operation for detecting behavioral changes (firmware upgrade or cyber attacks).",IEEE Transactions on Network and Service Management,2020,semantic_scholar,citation,citation,8,filtered,unknown
d28f3595f430a79c73fd524398ac7fe712c447ac,https://www.semanticscholar.org/paper/d28f3595f430a79c73fd524398ac7fe712c447ac,IoT Behavioral Monitoring via Network Traffic Analysis,"Smart homes, enterprises, and cities are increasingly being equipped with a plethora of Internet of Things (IoT), ranging from smart-lights to security cameras. While IoT networks have the potential to benefit our lives, they create privacy and security challenges not seen with traditional IT networks. Due to the lack of visibility, operators of such smart environments are not often aware of their IoT assets, let alone whether each IoT device is functioning properly safe from cyber-attacks. This thesis is the culmination of our efforts to develop techniques to profile the network behavioral pattern of IoTs, automate IoT classification, deduce their operating context, and detect anomalous behavior indicative of cyber-attacks. 
We begin this thesis by surveying IoT ecosystem, while reviewing current approaches to vulnerability assessments, intrusion detection, and behavioral monitoring. For our first contribution, we collect traffic traces and characterize the network behavior of IoT devices via attributes from traffic patterns. We develop a robust machine learning-based inference engine trained with these attributes and demonstrate real-time classification of 28 IoT devices with over 99% accuracy. Our second contribution enhances the classification by reducing the cost of attribute extraction while also identifying IoT device states. Prototype implementation and evaluation demonstrate the ability of our supervised machine learning method to detect behavioral changes for five IoT devices. Our third and final contribution develops a modularized unsupervised inference engine that dynamically accommodates the addition of new IoT devices and/or updates to existing ones, without requiring system-wide retraining of the model. We demonstrate via experiments that our model can automatically detect attacks and firmware changes in ten IoT devices with over 94% accuracy.",ArXiv,2020,semantic_scholar,citation,citation,9,filtered,unknown
e089c880d56950c0fffa04db8e07ab609e495f62,https://www.semanticscholar.org/paper/e089c880d56950c0fffa04db8e07ab609e495f62,Drain Structural Defect Detection and Mapping Using AI-Enabled Reconfigurable Robot Raptor and IoRT Framework,"Human visual inspection of drains is laborious, time-consuming, and prone to accidents. This work presents an AI-enabled robot-assisted remote drain inspection and mapping framework using our in-house developed reconfigurable robot Raptor. The four-layer IoRT serves as a bridge between the users and the robots, through which seamless information sharing takes place. The Faster RCNN ResNet50, Faster RCNN ResNet101, and Faster RCNN Inception-ResNet-v2 deep learning frameworks were trained using a transfer learning scheme with six typical concrete defect classes and deployed in an IoRT framework remote defect detection task. The efficiency of the trained CNN algorithm and drain inspection robot Raptor was evaluated through various real-time drain inspection field trials using the SLAM technique. The experimental results indicate that robotâ€™s maneuverability was stable, and its mapping and localization were also accurate in different drain types. Finally, for effective drain maintenance, the SLAM-based defect map was generated by fusing defect detection results in the lidar-SLAM map.",Sensors,2021,semantic_scholar,citation,citation,10,filtered,unknown
