doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/ICEEICT53905.2021.9667885,A Convolutional Neural Network for End to End Structural Prediction and Lane Detection for Autonomous Vehicle,IEEE,Conferences,"Real-time automated road lane recognition is an essential aspect of a smart vehicle safety system. The driver assistance system is the most significant advancement for intelligent automobiles. The vision-based driver assistance system of intelligent vehicles provides automatic road lane detection. This paper proposes a novel approach based on CNN for recognizing road lane and road border markings in the development of autonomous vehicle navigation. At first, it transforms the image of the RGB street scene to a gray image and then uses the flood-fill technique to identify the gray image’s related components. Following that, the road region, which is the largest connected component in the labeled image, is extracted using the maximum width and number of pixels. Finally, the outer region is excluded, and the road lane and road border markers are separated from the associated components. The numerical results prove the applicability of the proposed algorithm on both straight and slightly curved road scene photos under various daylight circumstances and the presence of road shadows. The driver support system consists of a camera support system that captures real-time pictures of the vehicle environs and displays pertinent information to the driver. As a result, intelligent vehicles automatically collect information about the road lane and the vehicle’s position corresponding to the lane. The system employed by smart vehicles thus offers the means of alerting drivers who swerve off the lane without using the blinker. Smart vehicles will therefore clearly improve traffic safety if they are extensively adopted.",https://ieeexplore.ieee.org/document/9667885/,2021 5th International Conference on Electrical Engineering and Information Communication Technology (ICEEICT),18-20 Nov. 2021,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/MSM49833.2020.9201644,A Preliminary Investigation of an Autonomous Vehicle Validation Infrastructure for Smart Cities,IEEE,Conferences,"The research and development of autonomous vehicle has entered the era of commercialization. While the vehicle self-driving technology has been growing rapidly, the validation for autonomous vehicle in terms of driving model, human factor model and traffic model is still maturing. Most of previous infrastructures are mainly focused on validation of those three models separately resorting either on real driving test at physical infrastructure or software simulation in virtualized infrastructure. However, neither the real driving test can cover all possible scenarios of autonomous driving and human factors, nor the virtualized software simulation can generate a feasible model for practical on/off-road driving. Furthermore, future autonomous transport in smart cities requires comprehensive validation. In order for autonomous vehicles to meet the autonomous transport in such complex traffic environment, an integrated testing and simulation infrastructure has been built targeting the systematic validation for autonomous vehicles: the Multi-User Environment for Autonomous Vehicle Innovation (MUEAVI). A preliminary investigation of a new autonomous vehicle validation infrastructure that can serve a multitude of research projects for smart city is presented.",https://ieeexplore.ieee.org/document/9201644/,2020 International Conference Mechatronic Systems and Materials (MSM),1-3 July 2020,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ROBOT.1986.1087458,An architecture for reflexive autonomous vehicle control,IEEE,Conferences,"We describe a software architecture to support the planning and control requirements of an autonomous land vehicle. This architecture is designed specifically to handle diverse terrain with maximal speed, efficacy and versatility through the use of a library of reflexive strategies specialized to particular needs. A hierarchy of control is built in which lower level modules perform tasks requiring greatest immediacy while higher level modules perform tasks involving greater assimilation of sensor data. With all levels of the hierarchy operating in parallel, higher level modules perform selective activation and deactivation of lower level responses with limited interference from demands for immediacy, allowing the system to exploit the advantages of both immediate and assimilated data. The reflexive component of this system has been demonstrated both in a detailed real-time simulation and on a small indoor robotic vehicle.",https://ieeexplore.ieee.org/document/1087458/,Proceedings. 1986 IEEE International Conference on Robotics and Automation,7-10 April 1986,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/IVS.2018.8500461,Autonomous Vehicle Testing and Validation Platform: Integrated Simulation System with Hardware in the Loop,IEEE,Conferences,"With the development of autonomous driving, offline testing remains an important process allowing low-cost and efficient validation of vehicle performance and vehicle control algorithms in multiple virtual scenarios. This paper aims to propose a novel simulation platform with hardware in the loop (HIL). This platform comprises of four layers: the vehicle simulation layer, the virtual sensors layer, the virtual environment layer and the Electronic Control Unit (ECU) layer for hardware control. Our platform has attained multiple capabilities: (1) it enables the construction and simulation of kinematic car models, various sensors and virtual testing fields; (2) it performs a closed-loop evaluation of scene perception, path planning, decision-making and vehicle control algorithms, whilst also having multi-agent interaction system; (3) it further enables rapid migrations of control and decision-making algorithms from the virtual environment to real self-driving cars. In order to verify the effectiveness of our simulation platform, several experiments have been performed with self-defined car models in virtual scenarios of a public road and an open parking lot and the results are substantial.",https://ieeexplore.ieee.org/document/8500461/,2018 IEEE Intelligent Vehicles Symposium (IV),26-30 June 2018,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/CMPEUR.1992.218441,Developments in autonomous vehicle navigation,IEEE,Conferences,An approach to autonomous vehicle navigation using neural networks to imitate human driving behavior is presented. The results are based on the measured actions of a real human driver in a real car. The car environment and the information that is recorded during driving are described. The problem that should be solved by the neural network is discussed. The actual learning of the driving task is presented. The quality of the leaned driving behavior is reviewed. The experiments showed that medium-sized neural networks were able to approximate the driving behavior within a maximum error of 5%.<>,https://ieeexplore.ieee.org/document/218441/,CompEuro 1992 Proceedings Computer Systems and Software Engineering,4-8 May 1992,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/AICAS51828.2021.9458488,Evaluation of Machine Learning-based Detection against Side-Channel Attacks on Autonomous Vehicle,IEEE,Conferences,"Autonomous vehicles are becoming increasingly popular, but their reliance on computer systems to sense and operate in the physical world has introduced new security risks. Recent studies have shown that using Cache-based Side-Channel Attacks (SCAs) could infer sensitive users' information (e.g., which route the user is taking) highlighting significant vulnerability posed to today's computer systems. As a result, it is crucial to propose effective detection mechanisms against emerging microarchitectural SCAs on autonomous driving systems. In response, we first identify the threat model and victim applications of autonomous driving systems in this work. Next, we explore the suitability of various machine learning-based classifiers trained by information collected from built-in hardware performance counter registers available in modern autonomous vehicle systems. To this end, various supervised machine learning models are implemented for cache-based SCAs detection and precisely compared and characterized in terms of detection accuracy, robustness, and latency of the detection. Our experiments conducted on an Intel Xeon, which Waymo autonomous driving vendor uses, demonstrate that J48 achieves 99.5% accuracy with the highest efficiency compared with other investigated models.",https://ieeexplore.ieee.org/document/9458488/,2021 IEEE 3rd International Conference on Artificial Intelligence Circuits and Systems (AICAS),6-9 June 2021,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/VTCFall.2017.8288318,Impact to Longitude Velocity Control of Autonomous Vehicle from Human Driver's Distraction Behavior,IEEE,Conferences,"Driver distraction behaviors are usually blind to autonomous vehicles (AVs), leading to probable late preparation for AVs to take emergency measures. Hence, this paper aims to build a bridge between AV control and driver behavior detection, to assist AVs to predict the potential risk and avoid abnormal drivers carefully like experienced drivers. Our main contributions of this paper consist: i) put forward a practicable system framework integrating driver distraction monitoring, vehicle-to-vehicle communication and AV velocity control; ii) provide a real-time driver distraction monitoring implementation building on convolutional neural network trained offline; iii) propose a method of longitude velocity control of AV considering the risk of driver distraction behavior based on model predictive control strategy. Simulation results validate the effectiveness of our work.",https://ieeexplore.ieee.org/document/8288318/,2017 IEEE 86th Vehicular Technology Conference (VTC-Fall),24-27 Sept. 2017,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/FIE49875.2021.9637402,Learning Autonomous Driving in Tangible Practice: Development and On-Road Applications of a 1/10-Scale Autonomous Vehicle,IEEE,Conferences,"This Innovative Practice Work-In-Progress Paper presents a case of learning autonomous driving in tangible practice. As technology sustainably enhances the quality of life, intelligent systems continue to contribute solutions to some of the biggest challenges faced by humans. Autonomous vehicles offer humans the opportunity to increase transportation safety by reducing human errors on the road, preventing accidents, improving human productivity by reducing commuting time, and possibly mitigating air pollution. There is a critical shortage of educational and training programs in autonomous vehicles due to the high cost of full-size vehicles, computing and sensor equipment, and big lab space needed. To address this problem, we develop a 1/10-scale autonomous vehicle powered by pre-collision detection, lane tracking, and road sign recognition systems. The pre-collision system is built using ultrasonic sensors, and the Proportional-Integral-Derivative (PID) control is implemented to manipulate the vehicle's safety response. The Open-Source Computer Vision Library (OpenCV) is exploited to detect and process real-time on-road streaming video to enable lane-tracking and road sign recognition. AI techniques are utilized for the model training. Preliminary results of this work are presented and analyzed. We also discuss the future directions of this study.",https://ieeexplore.ieee.org/document/9637402/,2021 IEEE Frontiers in Education Conference (FIE),13-16 Oct. 2021,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICMLC.2010.71,Microcontroller Based Neural Network Controlled Low Cost Autonomous Vehicle,IEEE,Conferences,"In this paper, design of a low cost autonomous vehicle based on neural network for navigation in unknown environments is presented. The vehicle is equipped with four ultrasonic sensors for hurdle distance measurement, a wheel encoder for measuring distance traveled, a compass for heading information, a GPS receiver for goal position information, a GSM modem for changing destination place on run time and a nonvolatile RAM for storing waypoint data; all interfaced to a low cost AT89C52 microcontroller. The microcontroller processes the information acquired from the sensors and generates robot motion commands accordingly through neural network. The neural network running inside the microcontroller is a multilayer feed-forward network with back-propagation training algorithm. The network is trained offline with tangent-sigmoid as activation function for neurons and is implemented in real time with piecewise linear approximation of tangent-sigmoid function. Results have shown that upto twenty neurons can be implemented in hidden layer with this technique. The vehicle is tested with varying destination places in outdoor environments containing stationary as well as moving obstacles and is found to reach the set targets successfully.",https://ieeexplore.ieee.org/document/5460762/,2010 Second International Conference on Machine Learning and Computing,9-11 Feb. 2010,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/URAI.2016.7734068,Monocular vision-based object recognition for autonomous vehicle driving in a real driving environment,IEEE,Conferences,"Nowadays, many attentions have been devoted to autonomous vehicles because the automation of driving technology has a large number of benefits, such as the minimization of risks, the improvement of mobility and ease of drivers. Among many technologies for autonomous driving, road environmental recognition is one of the key issues. In this paper, we present the test results of various object detection algorithms using single monocular camera for autonomous vehicle in real driving conditions. The vision recognition system tested in this paper has three main recognition parts: pedestrian detection, traffic sign and traffic light recognition. We use Histogram of Gradients (HOG) features and detect the pedestrians by Support Vector Machine (SVM). Also features of traffic signs are extracted by Principal Components Analysis (PCA) and canny edge detection is used for traffic lights. These two signals are classified by Neural Network (NN). Algorithms that we tested are implemented in General-Purpose computing on Graphics Processing Units (GPGPU). We show the effectiveness of these methods in real-time applications for autonomous driving.",https://ieeexplore.ieee.org/document/7734068/,2016 13th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),19-22 Aug. 2016,ieeexplore,autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
