id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.compeleceng.2022.108163,Journal,Computers and Electrical Engineering,scopus,2022-09-01,sciencedirect,Intelligent energy and ecosystem for real-time monitoring of glaciers,https://api.elsevier.com/content/abstract/scopus_id/85133281340,"The United Nations is deeply concerned about global warming and its impacts on natural resources. Simultaneously, it has been recommended that cutting-edge technologies be employed to predict the impact of climate change on natural reservoirs such as glaciers. With the motivation of the above facts, this study investigates the impact and significance of emerging and cutting-edge technologies like Remote Sensing, the Internet of Things (IoT), Artificial Intelligence (AI), Unmanned Aerial Vehicles (UAVs), and robots implementation for the digitalization in glaciers. The study identified that convergence of AI, Machine Learning (ML), and Deep Learning approaches with Spatio-temporal data empowers to detect non-linear characteristics, especially in high mountainous regions due to their diversity and unpredictable nature. The article suggested valuable recommendations such as establishing an intelligent eco-system in glaciers, low-cost intelligent IoT devices with intelligent energy algorithms, ML empowered edge devices, glacier-resistant rescue robots, and Wearable IoT-based safety guide devices.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.rsase.2022.100787,Journal,Remote Sensing Applications: Society and Environment,scopus,2022-08-01,sciencedirect,A novel drone-based system for accurate human temperature measurement and disease symptoms detection using thermography and AI,https://api.elsevier.com/content/abstract/scopus_id/85132238263,"The world continues to witness several waves of COVID-19 spread due to the emergence of new variants of the SARS-CoV-2 virus. Stopping the spread requires synergistic efforts that include the use of technologies such as unmanned aerial vehicles and machine learning. This paper presents a novel system for detecting disease symptoms from a distance using unmanned aerial vehicles equipped with thermal and visual image sensors. A hardware/software system that uses thermography to accurately calculate the skin temperature of targeted individuals using thermal cameras is developed. In addition, machine vision algorithms are developed to recognize human actions such as coughing and sneezing, which are paramount symptoms of respiratory infections. The proposed system is implemented and tested in outdoor environments. The results of experiments showed that the system can determine the skin temperature of multiple targeted individuals simultaneously with an error of less than 1 °C. The field experiments showed that the developed system is capable of simultaneously measuring the temperature of more than 10 individuals in less than 5 seconds. Just to give a perspective, it takes at least 3 seconds to measure one individual's temperature if this was done using traditional methods. Furthermore, the results showed that the system has accurately detected actions such as coughing and sneezing with almost 96% accuracy at a real-time performance of 28 frames/second.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.neunet.2022.04.008,Journal,Neural Networks,scopus,2022-08-01,sciencedirect,Risk-based implementation of COLREGs for autonomous surface vehicles using deep reinforcement learning,https://api.elsevier.com/content/abstract/scopus_id/85129960792,"Autonomous systems are becoming ubiquitous and gaining momentum within the marine sector. Since the electrification of transport is happening simultaneously, autonomous marine vessels can reduce environmental impact, lower costs, and increase efficiency. Although close monitoring is still required to ensure safety, the ultimate goal is full autonomy. One major milestone is to develop a control system that is versatile enough to handle any weather and encounter that is also robust and reliable. Additionally, the control system must adhere to the International Regulations for Preventing Collisions at Sea (COLREGs) for successful interaction with human sailors. Since the COLREGs were written for the human mind to interpret, they are written in ambiguous prose and therefore not machine-readable or verifiable. Due to these challenges and the wide variety of situations to be tackled, classical model-based approaches prove complicated to implement and computationally heavy. Within machine learning (ML), deep reinforcement learning (DRL) has shown great potential for a wide range of applications. The model-free and self-learning properties of DRL make it a promising candidate for autonomous vessels. In this work, a subset of the COLREGs is incorporated into a DRL-based path following and obstacle avoidance system using collision risk theory. The resulting autonomous agent dynamically interpolates between path following and COLREG-compliant collision avoidance in the training scenario, isolated encounter situations, and AIS-based simulations of real-world scenarios.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.patcog.2022.108614,Journal,Pattern Recognition,scopus,2022-07-01,sciencedirect,Learning residue-aware correlation filters and refining scale for real-time UAV tracking,https://api.elsevier.com/content/abstract/scopus_id/85125856281,"Unmanned aerial vehicle (UAV)-based tracking finds its applications in agriculture, aviation, navigation, transportation and public security, etc and develops rapidly recently. However, due to limitations of computing resources, battery capacity, requirement of low power and maximum load of UAV, the deployment of deep learning-based tracking algorithms in UAV is currently not feasible and therefore discriminative correlation filters (DCF)-based trackers have stood out in UAV tracking community for their high efficiency and appealing robustness on a single CPU. But confronted with difficult challenges the efficiency and accuracy of existing DCF-based approaches is still not satisfying. Inspired by the good optimization properties associated with residue representation, in this paper we exploit the residue nature inherent to videos and propose residue-aware correlation filters which demonstrate better convergence properties in filter learning. In addition, we propose a scale refinement strategy to improve the wildly adopted discriminative scale estimation in DCF-based trackers, which, in fact, greatly impacts the precision and accuracy of the trackers since accumulated scale error degrades the appearance model as online updating goes on. Extensive experiments are conducted on four UAV benchmarks, namely, UAV123@10fps, DTB70, UAVDT and Vistrone2018 (VisDrone2018-test-dev). The results show that our method achieves state-of-the-art performance in UAV tracking.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.neucom.2022.03.026,Journal,Neurocomputing,scopus,2022-06-14,sciencedirect,A review on varying-parameter convergence differential neural network,https://api.elsevier.com/content/abstract/scopus_id/85126975231,"Inspired by the nature of actual dynamics systems with time-varying parameters, varying-parameter convergence differential neural network (termed as VP-CDNN) has been put forward and played a crucial role in obtaining the real-time solution of algebraic equations and optimization problems. Plenty of fruitful literatures report that such a neural network breaks the bottlenecks of the conventional algorithms and presents superior convergence performance and strong anti-noise capability in the time-varying problem solving. This paper presents an overall review about VP-CDNN in different mathematical problems solving such as time-varying quadratic-programming equation, time-varying Sylvester equation, nonlinear and nonconvex equation and so on. Besides its extension forms such as anti-noise VP-CDNN, finite-time VP-CDNN, fuzzy VP-CDNN and discrete-time VP-CDNN are briefly introduced in mathematical problems solving. Additionally, the applications of VP-CDNN in robot motion planning, unmanned aerial vehicles, venture investment and other applications are illustrated for practical implementation. The conclusion summarizes the superiority of VP-CDNN and indicates several future research direction.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.isprsjprs.2022.04.002,Journal,ISPRS Journal of Photogrammetry and Remote Sensing,scopus,2022-06-01,sciencedirect,Vision based crown loss estimation for individual trees with remote aerial robots,https://api.elsevier.com/content/abstract/scopus_id/85128243118,"With the capability of capturing high-resolution imagery data and the ease of accessing remote areas, aerial robots are becoming increasingly popular for forest health monitoring applications. For example, forestry tasks such as field surveys and foliar sampling which are generally manual and labour intensive can be automated with remotely controlled aerial robots. In this study, we propose two new online frameworks to quantify and rank the severity of individual tree crown loss. The real-time crown loss estimation (RTCLE) model localises and classifies individual trees into their respective crown loss percentage bins. Experiments are conducted to investigate if synthetically generated tree images can be used to train the RTCLE model as real images with diverse viewpoints are generally expensive to collect. Results have shown that synthetic data training helps to achieve a satisfactory baseline mean average precision (mAP) which can be further improved with just some additional real imagery data. We showed that the mAP can be increased approximately from 60% to 78% by mixing the real dataset with the generated synthetic data. For individual tree crown loss ranking, a two-step crown loss ranking (TSCLR) framework is developed to handle the inconsistently labelled crown loss data. The TSCLR framework detects individual trees before ranking them based on some relative crown loss severity measures. The tree detection model is trained with the combined dataset used in the RTCLE model training where we achieved an mAP of approximately 95% suggesting that the model generalises well to unseen datasets. The relative crown loss severity of each tree is estimated, with deep representation learning, by a probabilistic encoder from a fully trained variational autoencoder (VAE) model. The VAE is trained end-to-end to reconstruct tree images in a background agnostic way. Based on a conservative evaluation, the estimated crown loss severity from the probabilistic encoder generally showed moderate agreement with the expert’s estimation across all species of trees present in the dataset. All the software pipelines, the dataset, and the synthetic dataset generation can be found in the GitHub link.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.engappai.2022.104854,Journal,Engineering Applications of Artificial Intelligence,scopus,2022-06-01,sciencedirect,Heuristic-driven strategy for boosting aerial photography with multi-UAV-aided Internet-of-Things platforms,https://api.elsevier.com/content/abstract/scopus_id/85128181273,"Unmanned Aerial Vehicles (UAVs) are gaining much attractiveness due to the emerging 5G, Internet of things applications and the advances in artificial intelligence. Their application fields encompass both civil and military domains. UAVs can ubiquitously supply many Internet-of-things-driven services; as such, they can be configured into airborne networks to provide flexible aerial views, which is essential for photography and videography-based applications like 3D mapping and real-time monitoring. However, many research challenges need to be tackled to facilitate the deployment of such promising applications. This paper addresses a non-convex NP-hard problem of deploying a fleet of UAVs equipped with rotating gimbal-mounted cameras over large-scaled terrains. The problem is heuristically solved in two phases. Firstly, we introduce a fast parallel multi-verse swarm optimization algorithm. A hybrid multi-objective heuristic coalescing two relevant concepts of stochastic optimization: (1) Improved Multi-Objective Particle Swarm Optimization; (2) Improved Multi-Objective Multi-verse Optimization. This heuristic holds several algorithmic tweaks, such as Pareto-based population splitting, Taguchi-based parameters tuning, adaptive mutation, and is used to derive the most near-optimal hovering coordinates of UAVs under two customized objective functions. Secondly, we adopt an efficient gimbal-based rotation and synchronization strategy allowing the UAVs to rotate their cameras resourcefully in four cardinal directions to boost the aerial photographing coverage with few maneuvers. The claimed performance is rigorously endorsed with intensive simulations and comparative analyses (e.g., analysis of variances, Wilcoxon test, performance index) against twenty multi-objective bio-inspired heuristics. The results show that our approach has the upper hand in terms of efficiency and accuracy.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.jnca.2022.103341,Journal,Journal of Network and Computer Applications,scopus,2022-05-01,sciencedirect,Survey on computation offloading in UAV-Enabled mobile edge computing,https://api.elsevier.com/content/abstract/scopus_id/85123949491,"With the increasing growth of internet-of-things (IoT) devices, effective computation performance has become a critical issue. Many services provided by IoT devices (e.g., augmented reality, location-tracking, traffic systems, and autonomous driving) require intensive real-time data processing, which demands powerful computational resources. Mobile edge computing (MEC) has been introduced to effectively handle this problem reliably over the internet. The inclusion of a MEC server allows computationally intensive tasks to be offloaded from IoT devices. However, communication overhead and delays are major drawbacks. With the advantages of high mobility and low cost, unmanned aerial vehicles (UAVs) can mitigate this issue by acting as MEC servers. The offloading decisions for such scenarios involve service latency, energy/power consumption, and execution delays. For this reason, this study reviews UAV-enabled MEC solutions in which offloading was the focus of research. We compare the algorithms qualitatively to assess features and performance. Finally, we discuss open issues and research challenges in terms of design and implementation.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.engappai.2022.104717,Journal,Engineering Applications of Artificial Intelligence,scopus,2022-04-01,sciencedirect,Robust EMRAN-aided coupled controller for autonomous vehicles,https://api.elsevier.com/content/abstract/scopus_id/85124465739,"This paper presents a coupled, neural network-aided longitudinal cruise and lateral path-tracking controller for an autonomous vehicle with model uncertainties and experiencing unknown external disturbances. Using a feedback error learning mechanism, an inverse vehicle dynamics learning scheme utilizing an adaptive Radial Basis Function (RBF) neural network, referred to as the Extended Minimal Resource Allocating Network (EMRAN) is employed. EMRAN uses an extended Kalman filter for online learning and weight updates, and also incorporates a growing/pruning strategy for maintaining a compact network for easier real-time implementation. The online learning algorithm handles the parametric uncertainties and eliminates the effect of unknown disturbances on the road. Combined with a self-regulating learning scheme for improving generalization performance, the proposed EMRAN-aided control architecture aids a basic PID cruise and Stanley path-tracking controllers in a coupled form. Its performance and robustness to various disturbances and uncertainties are compared with the conventional PID and Stanley controllers, along with a comparison with a fuzzy-based PID controller and an active disturbance rejection control (ADRC) scheme. Simulation results are presented for both slow and high speed scenarios. The root mean square (RMS) and maximum tracking errors clearly indicate the effectiveness of the proposed control scheme in achieving better tracking performance in autonomous vehicles under unknown environments.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.compeleceng.2022.107700,Journal,Computers and Electrical Engineering,scopus,2022-03-01,sciencedirect,Modeling multiple vehicle interaction constraints for behavior prediction of vehicles on highways,https://api.elsevier.com/content/abstract/scopus_id/85123282977,"In the context of autonomous driving and road situation awareness, this manuscript introduces a Bayesian network that enables the prediction of participant vehicles (PVs) circulating on a highway. The network architecture combines Long-Short-Term-Memory recurrent Deep networks and Support Vector Machines as computational nodes in a graph. The network inputs are real data acquired by radar and synthetic data generated mimicking the real ones. The interaction among multiple vehicles is handled explicitly by introducing the Allowance Factors that model the constraints of the possible interactions of the PVs and the ego car in the trajectory forecast estimation. Results obtained on the conducted tests show the ability of the system to predict the motion of the vehicles up to 6 s in advance with a 92% mean average accuracy. Additionally, if implemented into automatic trajectory planners, the introduced modeling approach enables the prediction and avoidance of possible vehicles’ collisions.",autonomous vehicle,'autonomous vehicle' AND 'machine learning' AND ('real-world' AND 'deploy')
