id,datePublished,description,publisher,title,doi,downloadUrl,journals,database,query_name,query_value
395142086,2019-01-29T00:00:00,"[EN] Classification or typology systems used to categorize different human body parts have
existed for many years. Nevertheless, there are very few taxonomies of facial features.
Ergonomics, forensic anthropology, crime prevention or new human-machine interaction
systems and online activities, like e-commerce, e-learning, games, dating or social networks, are fields in which classifications of facial features are useful, for example, to create
digital interlocutors that optimize the interactions between human and machines. However,
classifying isolated facial features is difficult for human observers. Previous works reported
low inter-observer and intra-observer agreement in the evaluation of facial features. This
work presents a computer-based procedure to automatically classify facial features based
on their global appearance. This procedure deals with the difficulties associated with classifying features using judgements from human observers, and facilitates the development of
taxonomies of facial features. Taxonomies obtained through this procedure are presented
for eyes, mouths and noses.Fuentes-Hurtado, F.; Diego-Mas, JA.; Naranjo Ornedo, V.; Alcañiz Raya, ML. (2019). Automatic classification of human facial features based on their appearance. PLoS ONE. 14(1):1-20. https://doi.org/10.1371/journal.pone.0211314S120141Damasio, A. R. (1985). Prosopagnosia. Trends in Neurosciences, 8, 132-135. doi:10.1016/0166-2236(85)90051-7Bruce, V., & Young, A. (1986). Understanding face recognition. British Journal of Psychology, 77(3), 305-327. doi:10.1111/j.2044-8295.1986.tb02199.xTodorov, A. (2011). Evaluating Faces on Social Dimensions. Social Neuroscience, 54-76. doi:10.1093/acprof:oso/9780195316872.003.0004Little, A. C., Burriss, R. P., Jones, B. C., & Roberts, S. C. (2007). Facial appearance affects voting decisions. Evolution and Human Behavior, 28(1), 18-27. doi:10.1016/j.evolhumbehav.2006.09.002Porter, J. P., & Olson, K. L. (2001). Anthropometric Facial Analysis of the African American Woman. Archives of Facial Plastic Surgery, 3(3), 191-197. doi:10.1001/archfaci.3.3.191Gündüz Arslan, S., Genç, C., Odabaş, B., & Devecioğlu Kama, J. (2007). Comparison of Facial Proportions and Anthropometric Norms Among Turkish Young Adults With Different Face Types. Aesthetic Plastic Surgery, 32(2), 234-242. doi:10.1007/s00266-007-9049-yFerring, V., & Pancherz, H. (2008). Divine proportions in the growing face. American Journal of Orthodontics and Dentofacial Orthopedics, 134(4), 472-479. doi:10.1016/j.ajodo.2007.03.027Mane, D. R., Kale, A. D., Bhai, M. B., & Hallikerimath, S. (2010). Anthropometric and anthroposcopic analysis of different shapes of faces in group of Indian population: A pilot study. Journal of Forensic and Legal Medicine, 17(8), 421-425. doi:10.1016/j.jflm.2010.09.001Ritz-Timme, S., Gabriel, P., Tutkuviene, J., Poppa, P., Obertová, Z., Gibelli, D., … Cattaneo, C. (2011). Metric and morphological assessment of facial features: A study on three European populations. Forensic Science International, 207(1-3), 239.e1-239.e8. doi:10.1016/j.forsciint.2011.01.035Ritz-Timme, S., Gabriel, P., Obertovà, Z., Boguslawski, M., Mayer, F., Drabik, A., … Cattaneo, C. (2010). A new atlas for the evaluation of facial features: advantages, limits, and applicability. International Journal of Legal Medicine, 125(2), 301-306. doi:10.1007/s00414-010-0446-4Kong, S. G., Heo, J., Abidi, B. R., Paik, J., & Abidi, M. A. (2005). Recent advances in visual and infrared face recognition—a review. Computer Vision and Image Understanding, 97(1), 103-135. doi:10.1016/j.cviu.2004.04.001Tavares, G., Mourão, A., & Magalhães, J. (2016). Crowdsourcing facial expressions for affective-interaction. Computer Vision and Image Understanding, 147, 102-113. doi:10.1016/j.cviu.2016.02.001Buckingham, G., DeBruine, L. M., Little, A. C., Welling, L. L. M., Conway, C. A., Tiddeman, B. P., & Jones, B. C. (2006). Visual adaptation to masculine and feminine faces influences generalized preferences and perceptions of trustworthiness. Evolution and Human Behavior, 27(5), 381-389. doi:10.1016/j.evolhumbehav.2006.03.001Boberg M, Piippo P, Ollila E. Designing Avatars. DIMEA ‘08 Proc 3rd Int Conf Digit Interact Media Entertain Arts. ACM; 2008; 232–239. doi: https://doi.org/10.1145/1413634.1413679Rojas Q., M., Masip, D., Todorov, A., & Vitria, J. (2011). Automatic Prediction of Facial Trait Judgments: Appearance vs. Structural Models. PLoS ONE, 6(8), e23323. doi:10.1371/journal.pone.0023323Laurentini, A., & Bottino, A. (2014). Computer analysis of face beauty: A survey. Computer Vision and Image Understanding, 125, 184-199. doi:10.1016/j.cviu.2014.04.006Alemany S, Gonzalez J, Nacher B, Soriano C, Arnaiz C, Heras H. Anthropometric survey of the Spanish female population aimed at the apparel industry. Proceedings of the 2010 Intl Conference on 3D Body scanning Technologies. 2010. pp. 307–315.Vinué, G., Epifanio, I., & Alemany, S. (2015). Archetypoids: A new approach to define representative archetypal data. Computational Statistics & Data Analysis, 87, 102-115. doi:10.1016/j.csda.2015.01.018Jee, S., & Yun, M. H. (2016). An anthropometric survey of Korean hand and hand shape types. International Journal of Industrial Ergonomics, 53, 10-18. doi:10.1016/j.ergon.2015.10.004Kim, N.-S., & Do, W.-H. (2014). Classification of Elderly Women’s Foot Type. Journal of the Korean Society of Clothing and Textiles, 38(3), 305-320. doi:10.5850/jksct.2014.38.3.305Sarakon P, Charoenpong T, Charoensiriwath S. Face shape classification from 3D human data by using SVM. The 7th 2014 Biomedical Engineering International Conference. IEEE; 2014. pp. 1–5. doi: https://doi.org/10.1109/BMEiCON.2014.7017382PRESTON, T. A., & SINGH, M. (1972). Redintegrated Somatotyping. Ergonomics, 15(6), 693-700. doi:10.1080/00140137208924469Lin, Y.-L., & Lee, K.-L. (1999). Investigation of anthropometry basis grouping technique for subject classification. Ergonomics, 42(10), 1311-1316. doi:10.1080/001401399184965Malousaris, G. G., Bergeles, N. K., Barzouka, K. G., Bayios, I. A., Nassis, G. P., & Koskolou, M. D. (2008). Somatotype, size and body composition of competitive female volleyball players. Journal of Science and Medicine in Sport, 11(3), 337-344. doi:10.1016/j.jsams.2006.11.008Carvalho, P. V. R., dos Santos, I. L., Gomes, J. O., Borges, M. R. S., & Guerlain, S. (2008). Human factors approach for evaluation and redesign of human–system interfaces of a nuclear power plant simulator. Displays, 29(3), 273-284. doi:10.1016/j.displa.2007.08.010Fabri M, Moore D. The use of emotionally expressive avatars in Collaborative Virtual Environments. AISB’05 Convention:Proceedings of the Joint Symposium on Virtual Social Agents: Social Presence Cues for Virtual Humanoids Empathic Interaction with Synthetic Characters Mind Minding Agents. 2005. pp. 88–94. doi:citeulike-article-id:790934Sukhija, P., Behal, S., & Singh, P. (2016). Face Recognition System Using Genetic Algorithm. Procedia Computer Science, 85, 410-417. doi:10.1016/j.procs.2016.05.183Trescak T, Bogdanovych A, Simoff S, Rodriguez I. Generating diverse ethnic groups with genetic algorithms. Proceedings of the 18th ACM symposium on Virtual reality software and technology—VRST ‘12. New York, New York, USA: ACM Press; 2012. p. 1. doi: https://doi.org/10.1145/2407336.2407338Vanezis, P., Lu, D., Cockburn, J., Gonzalez, A., McCombe, G., Trujillo, O., & Vanezis, M. (1996). Morphological Classification of Facial Features in Adult Caucasian Males Based on an Assessment of Photographs of 50 Subjects. Journal of Forensic Sciences, 41(5), 13998J. doi:10.1520/jfs13998jTamir, A. (2011). Numerical Survey of the Different Shapes of the Human Nose. Journal of Craniofacial Surgery, 22(3), 1104-1107. doi:10.1097/scs.0b013e3182108eb3Tamir, A. (2013). Numerical Survey of the Different Shapes of Human Chin. Journal of Craniofacial Surgery, 24(5), 1657-1659. doi:10.1097/scs.0b013e3182942b77Richler, J. J., Cheung, O. S., & Gauthier, I. (2011). Holistic Processing Predicts Face Recognition. Psychological Science, 22(4), 464-471. doi:10.1177/0956797611401753Taubert, J., Apthorp, D., Aagten-Murphy, D., & Alais, D. (2011). The role of holistic processing in face perception: Evidence from the face inversion effect. Vision Research, 51(11), 1273-1278. doi:10.1016/j.visres.2011.04.002Donnelly, N., & Davidoff, J. (1999). The Mental Representations of Faces and Houses: Issues Concerning Parts and Wholes. Visual Cognition, 6(3-4), 319-343. doi:10.1080/135062899395000Davidoff, J., & Donnelly, N. (1990). Object superiority: A comparison of complete and part probes. Acta Psychologica, 73(3), 225-243. doi:10.1016/0001-6918(90)90024-aTanaka, J. W., & Farah, M. J. (1993). Parts and Wholes in Face Recognition. The Quarterly Journal of Experimental Psychology Section A, 46(2), 225-245. doi:10.1080/14640749308401045Wang, R., Li, J., Fang, H., Tian, M., & Liu, J. (2012). Individual Differences in Holistic Processing Predict Face Recognition Ability. Psychological Science, 23(2), 169-177. doi:10.1177/0956797611420575Rhodes, G., Ewing, L., Hayward, W. G., Maurer, D., Mondloch, C. J., & Tanaka, J. W. (2009). Contact and other-race effects in configural and component processing of faces. British Journal of Psychology, 100(4), 717-728. doi:10.1348/000712608x396503Miller, G. A. (1994). The magical number seven, plus or minus two: Some limits on our capacity for processing information. Psychological Review, 101(2), 343-352. doi:10.1037/0033-295x.101.2.343Scharff, A., Palmer, J., & Moore, C. M. (2011). Evidence of fixed capacity in visual object categorization. Psychonomic Bulletin & Review, 18(4), 713-721. doi:10.3758/s13423-011-0101-1Meyers, E., & Wolf, L. (2007). Using Biologically Inspired Features for Face Processing. International Journal of Computer Vision, 76(1), 93-104. doi:10.1007/s11263-007-0058-8Cootes, T. F., Edwards, G. J., & Taylor, C. J. (2001). Active appearance models. IEEE Transactions on Pattern Analysis and Machine Intelligence, 23(6), 681-685. doi:10.1109/34.927467Ahonen, T., Hadid, A., & Pietikainen, M. (2006). Face Description with Local Binary Patterns: Application to Face Recognition. IEEE Transactions on Pattern Analysis and Machine Intelligence, 28(12), 2037-2041. doi:10.1109/tpami.2006.244Belhumeur, P. N., Hespanha, J. P., & Kriegman, D. J. (1997). Eigenfaces vs. Fisherfaces: recognition using class specific linear projection. IEEE Transactions on Pattern Analysis and Machine Intelligence, 19(7), 711-720. doi:10.1109/34.598228Turk, M., & Pentland, A. (1991). Eigenfaces for Recognition. Journal of Cognitive Neuroscience, 3(1), 71-86. doi:10.1162/jocn.1991.3.1.71Klare B, Jain AK. On a taxonomy of facial features. IEEE 4th International Conference on Biometrics: Theory, Applications and Systems, BTAS 2010. IEEE; 2010. pp. 1–8. doi: https://doi.org/10.1109/BTAS.2010.5634533Chihaoui, M., Elkefi, A., Bellil, W., & Ben Amar, C. (2016). A Survey of 2D Face Recognition Techniques. Computers, 5(4), 21. doi:10.3390/computers5040021Ma, D. S., Correll, J., & Wittenbrink, B. (2015). The Chicago face database: A free stimulus set of faces and norming data. Behavior Research Methods, 47(4), 1122-1135. doi:10.3758/s13428-014-0532-5Asthana A, Zafeiriou S, Cheng S, Pantic M. Incremental face alignment in the wild. Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition. 2014. pp. 1859–1866. doi: https://doi.org/10.1109/CVPR.2014.240Bag S, Barik S, Sen P, Sanyal G. A statistical nonparametric approach of face recognition: combination of eigenface &amp; modified k-means clustering. Proceedings Second International Conference on Information Processing. 2008. p. 198.Doukas, C., & Maglogiannis, I. (2010). A Fast Mobile Face Recognition System for Android OS Based on Eigenfaces Decomposition. Artificial Intelligence Applications and Innovations, 295-302. doi:10.1007/978-3-642-16239-8_39Huang P, Huang Y, Wang W, Wang L. Deep embedding network for clustering. Proceedings—International Conference on Pattern Recognition. 2014. pp. 1532–1537. doi: https://doi.org/10.1109/ICPR.2014.272Dizaji KG, Herandi A, Deng C, Cai W, Huang H. Deep Clustering via Joint Convolutional Autoencoder Embedding and Relative Entropy Minimization. Proceedings of the IEEE International Conference on Computer Vision. 2017. doi: https://doi.org/10.1109/ICCV.2017.612Xie J, Girshick R, Farhadi A. Unsupervised deep embedding for clustering analysis [Internet]. Proceedings of the 33rd International Conference on International Conference on Machine Learning—Volume 48. JMLR.org; 2016. pp. 478–487. Available: https://dl.acm.org/citation.cfm?id=3045442Nousi, P., & Tefas, A. (2017). Discriminatively Trained Autoencoders for Fast and Accurate Face Recognition. Communications in Computer and Information Science, 205-215. doi:10.1007/978-3-319-65172-9_18Sirovich, L., & Kirby, M. (1987). Low-dimensional procedure for the characterization of human faces. Journal of the Optical Society of America A, 4(3), 519. doi:10.1364/josaa.4.00051",'Public Library of Science (PLoS)',Automatic classification of human facial features based on their appearance,10.1371/journal.pone.0211314,https://riunet.upv.es/bitstream/10251/160091/1/Fuentes-Hurtado%3bDiego-Mas%3bNaranjo%20-%20Automatic%20classification%20of%20human%20facial%20features%20based%20on%20th....pdf,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
480211410,2021-01-01T00:00:00,"Credit card fraud jeopardizes the trust of customers in e-commerce transactions. This led in recent years to major advances in the design of automatic Fraud Detection Systems (FDS) able to detect fraudulent transactions with short reaction time and high precision. Nevertheless, the heterogeneous nature of the fraud behavior makes it difficult to tailor existing systems to different contexts (e.g. new payment systems, different countries and/or population segments). Given the high cost (research, prototype development, and implementation in production) of designing data-driven FDSs, it is crucial for transactional companies to define procedures able to adapt existing pipelines to new challenges. From an AI/machine learning perspective, this is known as the problem of transfer learning. This paper discusses the design and implementation of transfer learning approaches for e-commerce credit card fraud detection and their assessment in a real setting. The case study, based on a six-month dataset (more than 200 million e-commerce transactions) provided by the industrial partner, relates to the transfer of detection models developed for a European country to another country. In particular, we present and discuss 15 transfer learning techniques (ranging from naive baselines to state-of-the-art and new approaches), making a critical and quantitative comparison in terms of precision for different transfer scenarios. Our contributions are twofold: (i) we show that the accuracy of many transfer methods is strongly dependent on the number of labeled samples in the target domain and (ii) we propose an ensemble solution to this problem based on self-supervised and semi-supervised domain adaptation classifiers. The thorough experimental assessment shows that this solution is both highly accurate and hardly sensitive to the number of labeled samples",'Institute of Electrical and Electronics Engineers (IEEE)',Transfer Learning Strategies for Credit Card Fraud Detection,10.1109/ACCESS.2021.3104472,,"[{'title': 'IEEE Access', 'identifiers': ['issn:2169-3536', '2169-3536']}]",core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
478185066,2017-01-01T00:00:00,"The Bonseyes EU H2020 collaborative project aims to develop a platform consisting of a Data Marketplace, a Deep Learning Toolbox, and Developer Reference Platforms for organizations wanting to adopt Artificial Intelligence. The project will be focused on using artificial intelligence in low power Internet of Things (IoT) devices (""edge computing""), embedded computing systems, and data center servers (""cloud computing""). It will bring about orders of magnitude improvements in efficiency, performance, reliability, security, and productivity in the design and programming of systems of artificial intelligence that incorporate Smart Cyber-Physical Systems (CPS). In addition, it will solve a causality problem for organizations who lack access to Data and Models. Its open software architecture will facilitate adoption of the whole concept on a wider scale. To evaluate the effectiveness, technical feasibility, and to quantify the real-world improvements in efficiency, security, performance, effort and cost of adding AI to products and services using the Bonseyes platform, four complementary demonstrators will be built. Bonseyes platform capabilities are aimed at being aligned with the European FI-PPP activities and take advantage of its flagship project FIWARE. This paper provides a description of the project motivation, goals and preliminary work.Invited paperwww.bonseyes.co",'Association for Computing Machinery (ACM)',BONSEYES : Platform for Open Development of Systems of Artificial Intelligence,10.1145/3075564.3076259,,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
295571477,2008-01-01T00:00:00,"Data mining is a new discipline lying at the interface of statistics, database technology, pattern 
recognition, machine learning, and other areas. It is concerned with the secondary analysis of lar-
ge databases in order to find previously unsuspected relationships which are of interest or value 
to the database owners. There are two keys to success in data mining. First is coming up with 
a precise formulation of the problem you are trying to solve. A focused statement usually results 
in the best payoff. The second key is using the right data. After choosing from the data available 
to you, or perhaps buying external data, you may need to transform and combine it in significant 
ways. New problems arise, partly as a consequence of the sheer size of the data sets involved, and 
partly because of issues of pattern matching. H
owever, since statistics 
provides the intellectual 
glue underlying the effort, it is important for statisticians to become involved. There are very real 
opportunities for statisticians to make significant contributions. 
The main definition of data mining and the special data mining tasks are mentioned in the first 
part of this paper. The data mining problem was also discussed in previous issues of E+M. One 
method (clustering) was chosen to be a subject of this article. 
One of the opportunities to gain knowledge from data is a use of clustering analysis. Clustering 
analysis belongs to unsupervised methods of data mining. We put here a focus on this method. 
Some basic principles are described in the second part of this paper. This method is examined on 
two examples from the marketing field. In the first example is used software Statgraphics 5.0Plus 
(www.statgraphics.com) to solve clustering problem (nearest neighbour algorithm and Eucleidi-
an distance), and in the second example is used Statistica 6.0Cz software (from Statoft, Inc., 
www.statsoft.com or www.statsoft.cz).
But the building models is only one step in knowledge discovery. It is vital to properly collect and 
prepare the data, and to check the models against the real world. The „best“ model is often found 
after building models of several different types, or by trying different technologies or algorithms",Technická univerzita v Liberci,Data mining with clustering,,,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
523156082,2017-01-01T00:00:00,"The Bonseyes EU H2020 collaborative project aims to develop a platform consisting of a Data Marketplace, a Deep Learning Toolbox, and Developer Reference Platforms for organizations wanting to adopt Artificial Intelligence. The project will be focused on using artificial intelligence in low power Internet of Things (IoT) devices (""edge computing""), embedded computing systems, and data center servers (""cloud computing""). It will bring about orders of magnitude improvements in efficiency, performance, reliability, security, and productivity in the design and programming of systems of artificial intelligence that incorporate Smart Cyber-Physical Systems (CPS). In addition, it will solve a causality problem for organizations who lack access to Data and Models. Its open software architecture will facilitate adoption of the whole concept on a wider scale. To evaluate the effectiveness, technical feasibility, and to quantify the real-world improvements in efficiency, security, performance, effort and cost of adding AI to products and services using the Bonseyes platform, four complementary demonstrators will be built. Bonseyes platform capabilities are aimed at being aligned with the European FI-PPP activities and take advantage of its flagship project FIWARE. This paper provides a description of the project motivation, goals and preliminary work",'Association for Computing Machinery (ACM)',BONSEYES: Platform for Open Development of Systems of Artificial Intelligence: Invited paper,10.1145/3075564.3076259,https://core.ac.uk/download/523156082.pdf,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
491346803,2021-01-01T00:00:00,"Credit card fraud jeopardizes the trust of customers in e-commerce transactions. This led in recent years to major advances in the design of automatic Fraud Detection Systems (FDS) able to detect fraudulent transactions with short reaction time and high precision. Nevertheless, the heterogeneous nature of the fraud behavior makes it difficult to tailor existing systems to different contexts (e.g. new payment systems, different countries and/or population segments). Given the high cost (research, prototype development, and implementation in production) of designing data-driven FDSs, it is crucial for transactional companies to define procedures able to adapt existing pipelines to new challenges. From an AI/machine learning perspective, this is known as the problem of transfer learning. This paper discusses the design and implementation of transfer learning approaches for e-commerce credit card fraud detection and their assessment in a real setting. The case study, based on a six-month dataset (more than 200 million e-commerce transactions) provided by the industrial partner, relates to the transfer of detection models developed for a European country to another country. In particular, we present and discuss 15 transfer learning  techniques (ranging from naive baselines to state-of-the-art and new approaches), making a critical and quantitative comparison in terms of precision for different transfer scenarios. Our contributions are twofold: (i) we show that the accuracy of many transfer methods is strongly dependent on the number of labeled samples in the target domain and (ii) we propose an ensemble solution to this problem based on self-supervised and semi-supervised domain adaptation classifiers. The thorough experimental assessment shows that this solution is both highly accurate and hardly sensitive to the number of labeled samples",,Transfer Learning Strategies for Credit Card Fraud Detection.,,https://core.ac.uk/download/491346803.pdf,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
480151527,2021-06-01T00:00:00,"The article has dealt with the current trends of communication aspects of company’s relations

with the customers. The emphasis is placed on the necessity to review the companies’ marketing

strategies, in particular, due to communication constraints and the corresponding changes in the format

of both direct and feedback with the customers. Restrictive measures have changed the format of

competition, having created the conditions for its concentration in cyberspace. Changes in the nature

of interpersonal communication predetermined by the limited personal activity and the introduction

of remote forms of interaction, have generated demand for innovative ways of communication with

customers. Other factors that require the adjustment of marketing strategies include the emergence

of new behavioral capabilities of consumers associated with the intensive development of digital

communication channels.

It has been noted that in the digital communication environment, digital platforms provide the main

format of communication with the existing customer base and potential customers. In addition, prompt

acquisition and processing of data on purchasing behavior of customers allows companies to increase

significantly the “sensitivity” of marketing research and optimize their own marketing decisions. Among

the areas of increasing targeting and personalization of product offerings, the use of elements of artificial

intelligence and voice search has been accentuated. Moreover, the use of artificial intelligence greatly

facilitates and simplifies the work of marketers on the processing and initial analysis of the growing flow

of digital marketing data, as well as provides greater efficiency. It has been concluded that widespread use

of voice assistants in e-commerce requires companies to rethink radically their approaches to internal data

processing, IT investment and customer engagement strategies.

Active integration of chatbots into various communication platforms is able to make them

universal tools for both business and consumers, which will allow them to become a familiar part of

the user experience. Implementation of virtual reality and augmented reality elements in the interface

of company websites can significantly diversify the process of collecting information by users and push

them to unplanned purchases.

It has been indicated that the growing standards of personalization and new rules of customer

confidentiality will continue to require companies to be flexible and introduce new technologies in

order to adapt permanently their business to new conditions. Focusing on building trust with customers\ud
based on digital communications will enable companies to create a long-term integrated marketing

strategy and concentrate on the multi-channel nature of customer experienc",'Alfred Nobel University',MODERN DIGITAL MARKETING TRENDS AND THEIR INFLUENCE ON THE MARKETING STRATEGY FORMATION,10.32342/2074-5354-2021-1-54-5,,"[{'title': 'Academic Review', 'identifiers': ['2074-5354', 'issn:2074-5354']}]",core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
491342150,2017-01-01T00:00:00,"The Bonseyes EU H2020 collaborative project aims to develop a platform consisting of a Data Marketplace, a Deep Learning Toolbox, and Developer Reference Platforms for organizations wanting to adopt Artificial Intelligence. The project will be focused on using artificial intelligence in low power Internet of Things (IoT) devices (""edge computing""), embedded computing systems, and data center servers (""cloud computing""). It will bring about orders of magnitude improvements in efficiency, performance, reliability, security, and productivity in the design and programming of systems of artificial intelligence that incorporate Smart Cyber-Physical Systems (CPS). In addition, it will solve a causality problem for organizations who lack access to Data and Models. Its open software architecture will facilitate adoption of the whole concept on a wider scale. To evaluate the effectiveness, technical feasibility, and to quantify the real-world improvements in efficiency, security, performance, effort and cost of adding AI to products and services using the Bonseyes platform, four complementary demonstrators will be built. Bonseyes platform capabilities are aimed at being aligned with the European FI-PPP activities and take advantage of its flagship project FIWARE. This paper provides a description of the project motivation, goals and preliminary work",'Association for Computing Machinery (ACM)',BONSEYES: Platform for Open Development of Systems of Artificial Intelligence: Invited paper,10.1145/3075564.3076259,,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
226055646,2017,"Purpose: Healthy and safety food issues are more and more the purchasing process core of

conscious consumer. “Type 1” wheat flour means higher protein and ash content. This paper aims at

investigating the attributes usually referred to the characteristics of wheat flour known to consumers

and at implementing a predictive model of purchasing that allows to make correct decisions without

the necessary experience of a real human expert.

Design methodology: In order to investigate the research aims of the paper, an on-line survey was

carried out and conducted by means of the Google Forms in the detection time January-April 2016.

The on line survey collected responses from 467 Italian respondents asked to give feedback about

their buying habits of various types of flour. Responses were analyzed through a data mining

approach. This paper implements predictive analytics to create a statistical model of future behavior

by means of a machine learning algorithms.

Findings: In line with recent healthy and dynamic trends in the food industry, conscious consumer

seems to be willing to pay a price for “type 1” wheat flour that is four times higher than the price

related to the basic types of wheat flour.

Social Implications: Consumer seems not to know well the “type 1” wheat flour and its healthy

characteristics; then, it should be crucial to implement promotional strategies and marketing hand in

hand. Promotion can be a key element in putting across the health benefits of special kinds of wheat

flour.

Originality/value: Highlighting health issues about the “type 1” wheat flour gives insights and

sheds some light on the crucial need of changing eating and purchasing behavior. Then, originality

of this paper can be find in the used predictive algorithm of the artificial intelligence",,Predicting consumer healthy choices regarding Type1 wheat flour,,,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
382462970,2021-01-01T00:00:00,"Recommendation system can predict the ratings of users to items by leveraging machine learning algorithms. The use of recommendation systems is common in e-commerce websites now-a-days. Since enormous amounts of data including users’ click streams, purchase history, demographics, social networking comments and user-item ratings are stored in e-commerce systems databases, the volume of the data is getting bigger at high speed, and the data is sparse. However, the recommendations and predictions must be made in real time, enabling to bring enormous benefits to human beings. Apache spark is well suited for applications which require high speed query of data, transformation and analytics results. Therefore, the recommendation system developed in this research is implemented on Apache Spark. Also, the matrix factorization using Alternating Least Squares (ALS) algorithm which is a type of collaborative filtering is used to solve overfitting issues in sparse data and increases prediction accuracy. The overfitting problem arises in the data as the user-item rating matrix is sparse. In this research a recommendation system for e-commerce using alternating least squares (ALS) matrix factorization method on Apache Spark MLlib is developed. The research shows that the RMSE value is significantly reduced using ALS matrix factorization method and the RMSE is 0.870. Consequently, it is shown that the ALS algorithm is suitable for training explicit feedback data set where users provide ratings for items.ISBN för värdpublikation: 978-3-030-68153-1,  978-3-030-68154-8</p",'Springer Science and Business Media LLC',Recommendation System for E-commerce Using Alternating Least Squares (ALS) on Apache Spark,10.1007/978-3-030-68154-8_75,,,core,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
