contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Chapter ConferencePaper,doi:10.1007/978-981-19-2065-3_68,Application of Ontologies in the Enterprise—Overview and Critical Analysis,Proceedings of the Third International Conference on Information Management and Machine Intelligence,10.1007/978-981-19-2065-3_68,Springer,2023-01-01,"For many years, it was claimed that semantics should provide foundation of knowledge management in the enterprise. Today, it is easy to realize that this vision did not materialize. The aim of this work is to critically analyse the state of the art of use of semantic technologies in the enterprise and an attempt at diagnosing key problem(s).",http://dx.doi.org/10.1007/978-981-19-2065-3_68,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10209-022-00903-w,A systematic literature review of mobile application usability: addressing the design perspective,Universal Access in the Information Society,10.1007/s10209-022-00903-w,Springer,2022-08-02,"Advances in mobile technologies and wireless Internet services have accelerated the growth of the mobile app market. To nurture such growth, the usability of mobile apps must be addressed as a priority. Indeed, the unique characteristics of mobile phones, such as the screen size, connectivity, processing capabilities, and context of use, require a high level of usability for mobile apps. Mobile app usability requirements vary with the category of the app. However, mobile app usability is not well understood, and this may lead to the ineffective design of mobile apps and may thus influence users’ acceptance of mobile apps. This study systematically reviews and discusses mobile app usability. It identifies and interprets the relationships among the usability principles, attributes, and design features with the objective of informing mobile app usability design. It also identifies and discusses a set of common usability design features in mobile app design and a set of usability design features that are required in specific mobile app categories.",http://dx.doi.org/10.1007/s10209-022-00903-w,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10479-022-04844-8,Reconceptualizing cybersecurity awareness capability in the data-driven digital economy,Annals of Operations Research,10.1007/s10479-022-04844-8,Springer,2022-08-02,"Data breaches have become a formidable challenge for business operations in the twenty-first century. The emergence of big data in the ever-growing digital economy has created the necessity to secure critical organizational information. The lack of cybersecurity awareness exposes organizations to potential cyber threats. Thus, this research aims to identify the various dimensions of cybersecurity awareness capabilities. Drawing on the dynamic capabilities framework, the findings of the study show personnel (knowledge, attitude and learning), management (training, culture and strategic orientation) and infrastructure capabilities (technology and data governance) as thematic dimensions to tackle cybersecurity awareness challenges.",http://dx.doi.org/10.1007/s10479-022-04844-8,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s11277-022-09658-2,"A Contemporary Survey on IoT Based Smart Cities: Architecture, Applications, and Open Issues",Wireless Personal Communications,10.1007/s11277-022-09658-2,Springer,2022-08-01,"Internet of Things (IoT) is one of the emerging technologies, which is widely used across the globe. As the idea of a smart city was founded, IoT has been acknowledged as the key foundation in smart city paradigms. Technology makes a person smart, and to make the world smart, we have to make the country smart. To make the country smart, we have to make cities smart and to make smart cities, we have to be smart. In short, to create a smart environment, one must be equipped and familiar with the current trends. The integration of various smart devices and systems facilitates IoT for a smart city. The interdependent and interwoven nature of smart cities puts notable legislative, socioeconomic, and technical challenges for integrators, organizations, and designers committed to administrating these novel entities. The goal of this paper is to illustrate a contemporary survey of IoT-based smart cities with their potential, current trends and developments, amenity architecture, application area, real-world involvement, and open challenges. In addition, key elements with potential implementation constraints and integration of various IoT-based application areas that play a key role in building a smarter city have also been discussed. This extensive study contributes a useful panorama on various key points and gives a critical direction for forthcoming investigations. This study will also provide a reference point for practitioners and academics in the near future.",http://dx.doi.org/10.1007/s11277-022-09658-2,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s11227-022-04469-5,On the performance evaluation of object classification models in low altitude aerial data,The Journal of Supercomputing,10.1007/s11227-022-04469-5,Springer,2022-08-01,"This paper compares the classification performance of machine learning classifiers vs. deep learning-based handcrafted models and various pretrained deep networks. The proposed study performs a comprehensive analysis of object classification techniques implemented on low-altitude UAV datasets using various machine and deep learning models. Multiple UAV object classification is performed through widely deployed machine learning-based classifiers such as K nearest neighbor, decision trees, naïve Bayes, random forest, a deep handcrafted model based on convolutional layers, and pretrained deep models. The best result obtained using random forest classifiers on the UAV dataset is 90%. The handcrafted deep model's accuracy score suggests the efficacy of deep models over machine learning-based classifiers in low-altitude aerial images. This model attains 92.48% accuracy, which is a significant improvement over machine learning-based classifiers. Thereafter, we analyze several pretrained deep learning models, such as VGG-D, InceptionV3, DenseNet, Inception-ResNetV4, and Xception. The experimental assessment demonstrates nearly 100% accuracy values using pretrained VGG16- and VGG19-based deep networks. This paper provides a compilation of machine learning-based classifiers and pretrained deep learning models and a comprehensive classification report for the respective performance measures.",http://dx.doi.org/10.1007/s11227-022-04469-5,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10844-021-00681-6,Predicting temporary deal success with social media timing signals,Journal of Intelligent Information Systems,10.1007/s10844-021-00681-6,Springer,2022-08-01,"Temporary deals such as flash sales nowadays are popular strategies in retail business for cleaning out excessive inventories. It is known that the success of a temporary deal is related to product quality, promotion, and discount rates. In this paper, we look at another more obscure factor, that is the timing in the market, and we argue that such timing can be learned from social media. For example, the trending of words “summer” and “ice cream” in social media may indicate successful sales of air conditioners. We propose an approach to detect emerging words in social media as timing signals, and associate them with successful temporary deals. More specifically, the words that tend to emerge just before successful deals are considered as effective timing signals. We obtain a real-world temporary deal dataset from an industry partner and collect a social media datasets from Twitter for experiments. With experimental evaluation, we show and discuss the discovered timing signals. Furthermore, we propose a prediction framework and show that using social media timing signals can achieve better accuracy for predicting temporary deal success, comparing to internal deal information.",http://dx.doi.org/10.1007/s10844-021-00681-6,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s00500-022-07062-3,Analyzing the interactions among factors affecting cloud adoption for software testing: a two-stage ISM-ANN approach,Soft Computing,10.1007/s00500-022-07062-3,Springer,2022-08-01,"To reduce costs and improve organizational efficiency, the adoption of innovative services such as Cloud services is the current trend in today’s highly competitive global business venture. The aim of the study is to guide the software development organization for Cloud-based testing adoption. Therefore, the objective is to develop a two-stage Interpretive Structural Model (ISM) and Artificial Neural Network (ANN)-based approach, for analyzing the factors influencing cloud adoption for software testing. This study first identifies the determinants and predictors of Cloud adoption for software testing through systematic literature (SLR) and empirical survey. Based on the collected data, an ANN was incorporated to weight the nonlinear effect of the predictors. Then, based on the results of empirical survey; a panel of ten experts was selected, to explore the multifaceted interrelationships among the influential factors (IFs) through SM. To provide a concise understanding of the facts, Cross-Impact Matrix Multiplication Applied to the Classification (MICMAC) was used for factors classification. To achieve our objective, through SLR this study identifies 70 IFs. To offer a brief understanding of the issue, we distributed the identified IFs into ten predictors and analyzed their nonlinear effect on the predictors through ANN. Based on the ANN outcomes, the foremost significant independent variable in predicting CCA intention of CC are perceived business concerns (100%), followed by feasibility planning and risk analysis (84.4%), perceived level of trust (76.1%). Finally, the key 44 factors, identified through panel review, were priorities through ISM and were distributed into four Quadrants using MICMAC approach. Some studies in the form of survey have been conducted to examine the IFs affecting CCA. However, no attempt was made to explore the multifaceted interrelationships among them. This study concludes that software testing should be carried out in the Cloud",http://dx.doi.org/10.1007/s00500-022-07062-3,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s00521-022-07163-y,A fuzzy approach for multi criteria decision making in diet plan ranking system using cuckoo optimization,Neural Computing and Applications,10.1007/s00521-022-07163-y,Springer,2022-08-01,"In recent days, people have easily adapted to unhealthy diets due to their busy lifestyles. Inappropriate and unhealthy food intake leads to various health problems. As a result of poor health and lack of information about a healthy diet, people depend on medicines rather than concentrating on improving their food intake. Due to the wide range of dietary advice, it is difficult to choose the appropriate diet plan that satisfies their personalized nutritional needs. The proposed system ranks the diet plan by considering personal information like age, gender, height, weight, pressure and heart rate. Various diet plans like intermittent fasting, plant-based diets, low-carb diets, paleo diet, low-fat diets, Mediterranean diet, DASH diet, vegan diet, gluten-free diet, GM diet and egg diet are considered. Multi-criteria decision-making methods such as fuzzy AHP and fuzzy TOPSIS are also applied for the decision-making process to rank the best diet plan. Fuzzy AHP is used for weight generation, which is given to the cuckoo algorithm for optimization, and then, the fuzzy TOPSIS method helps in ranking the diet plan. Personal information is considered as criteria, and the diet plans are considered as alternatives for the decision-making process.",http://dx.doi.org/10.1007/s00521-022-07163-y,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s12525-022-00572-w,"It is not (only) about privacy: How multi-party computation redefines control, trust, and risk in data sharing",Electronic Markets,10.1007/s12525-022-00572-w,Springer,2022-07-30,"Firms are often reluctant to share data because of mistrust, concerns over control, and other risks. Multi-party computation (MPC) is a new technique to compute meaningful insights without having to transfer data. This paper investigates if MPC affects known antecedents for data sharing decisions: control, trust, and risks. Through 23 qualitative interviews in the automotive industry, we find that MPC (1) enables new ways of technology-based control, (2) reduces the need for inter-organizational trust, and (3) prevents losing competitive advantage due to data leakage. However, MPC also creates the need to trust technology and introduces new risks of data misuse. These impacts arise if firms perceive benefits from sharing data, have high organizational readiness, and perceive data as non-sensitive. Our findings show that known antecedents of data sharing should be specified differently with MPC in place. Furthermore, we suggest reframing MPC as a data collaboration technology beyond enhancing privacy.",http://dx.doi.org/10.1007/s12525-022-00572-w,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1186/s40708-022-00164-6,Machine learning-based ABA treatment recommendation and personalization for autism spectrum disorder: an exploratory study,Brain Informatics,10.1186/s40708-022-00164-6,Springer,2022-07-25,"Autism spectrum is a brain development condition that impairs an individual’s capacity to communicate socially and manifests through strict routines and obsessive–compulsive behavior. Applied behavior analysis (ABA) is the gold-standard treatment for autism spectrum disorder (ASD). However, as the number of ASD cases increases, there is a substantial shortage of licensed ABA practitioners, limiting the timely formulation, revision, and implementation of treatment plans and goals. Additionally, the subjectivity of the clinician and a lack of data-driven decision-making affect treatment quality. We address these obstacles by applying two machine learning algorithms to recommend and personalize ABA treatment goals for 29 study participants with ASD. The patient similarity and collaborative filtering methods predicted ABA treatment with an average accuracy of 81–84%, with a normalized discounted cumulative gain of 79–81% (NDCG) compared to clinician-prepared ABA treatment recommendations. Additionally, we assess the two models’ treatment efficacy (TE) by measuring the percentage of recommended treatment goals mastered by the study participants. The proposed treatment recommendation and personalization strategy are generalizable to other intervention methods in addition to ABA and for other brain disorders. This study was registered as a clinical trial on November 5, 2020 with trial registration number CTRI/2020/11/028933.",http://dx.doi.org/10.1186/s40708-022-00164-6,springer,e-commerce,'e-commerce' AND 'machine learning' AND ('real-world' AND 'deploy')
