id,datePublished,description,publisher,title,downloadUrl,doi,journals,database,query_name,query_value
390009409,2020-02-20T00:00:00,"Computer vision is used in recognition, identification, identification, analysis of images. But the disadvantage of advanced software is that it does not perceive the surrounding world as a person. Smart machines cannot yet see, but can learn, like the formation of neural connections inthe human brain. The relevance of the study of human face recognition methods is manifested due to the popularity of human image processing and the need to improve human interaction and technology.The result of the research is to determine the advantages and disadvantages of existing systems and methods, as well as simplifying the process of recognizing a person's face in images and increasing indicators when recognizing using the convolutional neural network method. The resulting system based on neural network methods makes a decision similarly to humans. To make a decision, this system needs information about the object, which is received at the entrance bytracking the special properties of the object. When a person is the object under investigation, the most special properties can be obtained by tracking his personality. In this case, the system has todeal with sometimes low-quality images, noise, angles of the head position, poor lighting and the like. Accuracy and speed criteria are factors in the success of a face recognition system. Theoriginal product shows improved recognition rates.Studies have shown the versatility of neural networks and their effectiveness in solving problems of facial recognition in real time and in photography. The system of automatic tracking and recognition of a person’s face using artificial intelligence and convolutional neural networks can be used at checkpoints, customs control, for identification in banking systems, government institutions, educational institutions (attendance control, registration of passers-by of unauthorized persons in the premises, identification personswhen writing control or examination papers).Компьютерное зрение применяется при распознавании, идентификации, выявлении, анализе изображения. Но недостатком продвинутого программного обеспечения является то, что оно не воспринимает окружающий мир как человек. Умные машины пока не могут видеть, но могут учиться, подобно формированию нейронных связей в мозгу человека. Актуальность исследования методов распознавания лица человека проявляется из-за популярности обработки изображения человека и необходимости улучшениявзаимодействия человека и технологий. Результатом исследований является определение преимуществ и недостатков существующих систем и методов, а также упрощение процесса распознавания лицачеловека на изображениях и повышение показателей при распознавании с помощью метода сверточных нейронных сетей. Полученная система на основе нейросетевых методовпринимает решение аналогично человеку. Для принятия решения данной системе необходима информация об объекте, которую получают на входе благодаря отслеживаниюособых свойств объекта. Когда исследуемым объектом является человек, наиболее особые свойства можно получить благодаря отслеживанию его личности. При этом системе приходится иметь дело с иногда некачественными изображениями, шумом, ракурсамиположения головы, плохим освещением и тому подобное.  Критерии точности и скорости являются факторами успешной работы системы распознавания лица. Исходный продукт показывает улучшенные показатели распознавания. Проведенные исследования показали универсальность нейронных сетей и их эффективность в решении задач распознавания лица человека в реальном времени и по фотографии. Система автоматического отслеживания и распознавания лица человека с использованием искусственного интеллекта и сверточных нейронных сетей может быть использована в контрольно-пропускных пунктах, таможенном контроле, дляидентификации в банковских системах, государственных  учреждениях, учебных заведениях (контроль посещаемости, учет проходимости посторонних лиц в помещениях, идентификация лица при написании контрольных или экзаменационных работ).Комп'ютерний зір застосовується при розпізнаванні, ідентифікації, виявленні, аналізу зображення. Але недоліком просунутого програмного забезпечення є те, що воно не сприймає навколишній світ як людина. Найрозумніші машини поки що не можуть бачити,але можуть навчатися, подібно формуванню нейронних зв’язків у мозку людини. Актуальність дослідження методів розпізнавання обличчя людини проявляється через популярність обробки зображення людини та необхідність покращення взаємодії людини і технологій. Результатом досліджень є визначення переваг та недоліків існуючих систем та методів, а також спрощення процесу розпізнавання обличчя людини на зображеннях та підвищення показників при розпізнаванні за допомогою методу згорткових нейронних мереж. Отримана система на основі нейромережевих методів приймає рішення аналогічно людині. Для прийняття рішення даній системі необхідна інформація про об’єкт, яку отримують на вході завдяки відстеженню особливих властивостей об’єкта. Коли досліджуваним об’єктом є людина, найбільш особливі властивості можна одержати завдяки відстеженню його особи. При цьому системі доводиться мати справу з інодінеякісними зображеннями, шумом, ракурсами положення голови, погане освітлення і тощо. Критерії точності та швидкості є факторами успішної роботи системи розпізнавання обличчя. Вихідний продукт показує поліпшені показники розпізнавання. Проведені дослідження показали універсальність нейронних мереж та їх ефективність у вирішенні задач розпізнавання обличчя людини у реальному часі та по фотографії. Систему автоматичного відстеження та розпізнавання обличчя людини із використанням штучного інтелекту та згорткових нейронних мереж може бути використано в контрольно-пропускних пунктах, митному контролі, для ідентифікації у банківських системах, державних установах, навчальних закладах (контроль відвідуваності,облік проходимості сторонніх осіб у приміщеннях, ідентифікація особи при написанні контрольних або екзаменаційних робіт)",ДВНЗ «Приазовський державний технічний університет»,ДОСЛІДЖЕННЯ ВИКОРИСТАННЯ МЕТОДІВ РОЗПІЗНАВАННЯ ОБЛИЧЧЯ ЛЮДИНИ В СИСТЕМАХ ІДЕНТИФІКАЦІЇ,,,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
98345401,2016-01-01T00:00:00,"IJMISSP promotes research in machine intelligence/signal processing, highlighting developments in randomised algorithms, deep learning, other learning techniques, sampling theory, transformations and data compression. Besides theory/fundamentals encountered in the main subject area, applications associated with cybersecurity, health sciences, finance and engineering are essential. Design of advanced computational intelligence systems for subtle pattern recognition/discovery, visual data understanding/retrieval, robust face recognition, streaming data processing and intelligent control/software is stressed. Submissions on technology development and real-world applications of complex machine intelligence systems are encouraged",,Editorial Board Member of International Journal of Machine Intelligence and Sensory Signal Processing,,,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
196573376,2019,"Запропоновано модель інтеграції сучасних ІТ з управління проектами із технологіями штучного інтелекту, що враховує сучасні тенденції та розробки у галузі ІТ з комп'ютерних наук та дозволяє ефективно обробляти зростаючі потоки даних щодо параметрів та характеристик складних проектів при розробці та прийнятті рішень по управлінню складними проектами. Визначено та класифіковано основні причини, що впливають на неуспішне завершення проектів. Показано складові запропонованої моделі інтегрованої системи управління проектами та надано їх деталізовану характеристику. Визначено, що запропонована модель ґрунтується на трьох складових, які включають перелік базових методологій та стандартів з управління проектами, що можуть на основі конвергенції утворювати гібридні методології, сукупність ІТ, баз даних та знань з управління проектами для розробки, обґрунтування та управління проектами та сучасні технології штучного інтелекту, які базуються на використанні методів машинного навчання. Обґрунтовано роль, складові та оточення машинного навчання для використання в управління проектами. Щодо умов інтеграції проведено аналіз та побудована таблиця сучасних ІТ для управління проектами та проведена кластерізації їх на три групи щодо можливостей використання технологій штучного інтелекту, зокрема машинного навчання. Результати впровадження елементів запропонованої моделі при реалізації складних ІТ проектів у банківській сфері засвідчили ефективність запропонованого підходу. Збільшилася успішність поточних проектів та портфелів проектів банку, зросла кількість учасників проектної діяльності, що працюють у реальних проектах з обробкою великих масивів інформації щодо управління розробкою та впровадженням складних ІТ продуктів.A model is proposed for integrating modern IT project management with artificial intelligence technologies, taking into account current trends and developments in the field of IT computer science and allows you to effectively handle the growing data flows on the parameters and characteristics of complex projects when developing and making decisions on managing complex projects. Identified and classified the main reasons affecting the unsuccessful completion of projects. The components of the proposed model for integrating the project management system are shown and their detailed characteristics are presented. It is determined that the proposed model is based on three components, including a list of basic methodologies and standards for project management, which can form hybrid methodologies, a set of IT, database and project management knowledge for developing, substantiating and managing projects and modern artificial technologies intelligence based on the use of machine learning methods. The role, components and environment of machine learning for use in project management is substantiated. The integration conditions were used to analyze and build a table of modern IT for project management, clustering them into three groups concerning the possibilities of using artificial intelligence technologies, in particular machine learning. The results of introducing elements of the proposed model in the implementation of complex IT projects in the banking sector have shown the effectiveness of the proposed approach. The success of current projects and portfolios of projects of the bank has increased, the number of participants in project activities working in real projects with processing large amounts of information on managing the development and implementation of complex IT products has increased","НТУ ""ХПІ""",The model of IT project management system based on machine learning,https://core.ac.uk/download/pdf/196573376.pdf,10.20998/2413-3000.,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
478849805,2020-10-16T03:22:32,"Abstract
We present a general-purpose solver for convex quadratic programs based on the alternating direction method of multipliers, employing a novel operator splitting technique that requires the solution of a quasi-definite linear system with the same coefficient matrix at almost every iteration. Our algorithm is very robust, placing no requirements on the problem data such as positive definiteness of the objective function or linear independence of the constraint functions. It can be configured to be division-free once an initial matrix factorization is carried out, making it suitable for real-time applications in embedded systems. In addition, our technique is the first operator splitting method for quadratic programs able to reliably detect primal and dual infeasible problems from the algorithm iterates. The method also supports factorization caching and warm starting, making it particularly efficient when solving parametrized problems arising in finance, control, and machine learning. Our open-source C implementation OSQP has a small footprint, is library-free, and has been extensively tested on many problem instances from a wide variety of application areas. It is typically ten times faster than competing interior-point methods, and sometimes much more when factorization caching or warm start is used. OSQP has already shown a large impact with tens of thousands of users both in academia and in large corporations",'Springer Science and Business Media LLC',OSQP: an operator splitting solver for quadratic programs,,10.1007/s12532-020-00179-2,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
270334669,2008-01-01T00:00:00,"This paper shows how nonlinear models originally developed in the finance field can be used to predict rain attenuation level and volatility in Earth-to-Satellite links operating at the Extremely High Frequencies band (EHF, 20–50 GHz). A common approach to solving this problem is to consider that the prediction error corresponds only to scintillations, whose variance is assumed to be constant. Nevertheless, this assumption does not seem to be realistic because of the heteroscedasticity of error time series: the variance of the prediction error is found to be time-varying and has to be modeled. Since rain attenuation time series behave similarly to certain stocks or foreign exchange rates, a switching ARIMA/GARCH model was implemented. The originality of this model is that not only the attenuation level, but also the error conditional distribution are predicted. It allows an accurate upper-bound of the future attenuation to be estimated in real time that minimizes the cost of Fade Mitigation Techniques (FMT) and therefore enables the communication system to reach a high percentage of availability. The performance of the switching ARIMA/GARCH model was estimated using a measurement database of the Olympus satellite 20/30 GHz beacons and this model is shown to outperform significantly other existing models. The model also includes frequency scaling from the downlink frequency to the uplink frequency. The attenuation effects (gases, clouds and rain) are first separated with a neural network and then scaled using specific scaling factors. As to the resulting uplink prediction error, the error contribution of the frequency scaling step is shown to be larger than that of the downlink prediction, indicating that further study should focus on improving the accuracy of the scaling factor",'Copernicus GmbH',Short-term prediction of rain attenuation level and volatility in Earth-to-Satellite links at EHF band,,10.5194/npg-15-631-2008,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
251203367,2018-10-11T00:00:00,"BACKGROUND: Logistic regression is a popular technique used in machine learning to construct classification models. Since the construction of such models is based on computing with large datasets, it is an appealing idea to outsource this computation to a cloud service. The privacy-sensitive nature of the input data requires appropriate privacy preserving measures before outsourcing it. Homomorphic encryption enables one to compute on encrypted data directly, without decryption and can be used to mitigate the privacy concerns raised by using a cloud service. METHODS: In this paper, we propose an algorithm (and its implementation) to train a logistic regression model on a homomorphically encrypted dataset. The core of our algorithm consists of a new iterative method that can be seen as a simplified form of the fixed Hessian method, but with a much lower multiplicative complexity. RESULTS: We test the new method on two interesting real life applications: the first application is in medicine and constructs a model to predict the probability for a patient to have cancer, given genomic data as input; the second application is in finance and the model predicts the probability of a credit card transaction to be fraudulent. The method produces accurate results for both applications, comparable to running standard algorithms on plaintext data. CONCLUSIONS: This article introduces a new simple iterative algorithm to train a logistic regression model that is tailored to be applied on a homomorphically encrypted dataset. This algorithm can be used as a privacy-preserving technique to build a binary classification model and can be applied in a wide range of problems that can be modelled with logistic regression. Our implementation results show that our method can handle the large datasets used in logistic regression training.status: publishe",'Springer Science and Business Media LLC',Privacy-preserving logistic regression training,,10.1186/s12920-018-0398-y,"[{'title': 'BMC Medical Genomics', 'identifiers': ['1755-8794', 'issn:1755-8794']}]",core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
524867282,2022-03-24T00:00:00,"The subject. Digital technologies have been integrated into all aspects of public life, including politics, law, finance, business, education, science, and society. Yet, digitalization exerts an even greater impact on the economy, which should prompt the State, represented by its legislative and executive bodies, to take timely action to ensure the legal regulation of diverse aspects of the digital economy. Digital transformation of the economy has redefined the approaches to the issues of legal capacity, corporate governance and management of business processes. Traditional management mechanisms are no longer competitive, unless used in conjunction with dynamically developing digital technologies.This article explores the issues related to digital legal personality of a corporation (online registration (e-residency) of corporations and the digital footprint that companies leave in public registers), digital corporate governance, and discuss the operation of digital corporations, including networked and decentralized autonomous organizations. The authors distinguish three types of digital corporate governance: remote management (exercised by human individuals), smart management (based on algorithms designed by human engineers), and artificial intelligence (AI) management (that does not require human involvement). Some tools of digital corporation management are illustrated, replacing traditional forms of management of the human cognitive system. Finally, we provide an overview of the operational characteristics of decentralized autonomous organizations.Purpose of the research. This article is devoted to the transformation of management tools for modern corporations in the digital economy. In order to comply with the Russian corporate legislation of the existing digital reality, it is necessary to develop a comprehensive scientific and legal concept of corporate governance, ensuring the balance and protection of the rights and legitimate interests of all participants in corporate relations and others related to corporate relations, as well as increasing the transparency and efficiency of corporations.Methodology. The methodology of this study was based on the following methods of scientific knowledge: general scientific empirical methods (observation (over the course of development of the use of digital technologies in corporate law), comparison (of the effectiveness of the use of digital technologies in corporate law of different countries)); methods of theoretical knowledge (analysis (of advantages and disadvantages of digitalization of individual institutions of corporate law), formal legal method (in the formulation and research of various concepts, determination of their characteristics and classification), theoretical modeling (of the prospects and areas of possible application of digital technologies in corporate law).The main results. Digitalization of corporate management is bound to increase business profitability and improve competitiveness on the market. We believe that in the coming years science will have to tackle the issues of assessing the implications of the introduction of digital technologies, determining technical, economic and legal prerequisites for their implementation, and identifying their limits. In addition, issues related to professional training / retraining of personnel capable of working with modern technologies are of importance.Conclusions. The authors came to the conclusion that the main direction of improving corporate legislation in the context of digitalization is currently the creation and provision of conditions for effective interaction between corporate actors and persons directly associated with them in the digital environment.Развитие и активное внедрение информационных технологий в современную экономику потребовало оценки трансформации сознания цифрового общества. Цифровая трансформация экономики изменила подходы к вопросу правоспособности, управления корпорациями и бизнес-процессами. Традиционные механизмы управления утрачивают свою конкурентоспособность при их использовании в отрыве от динамично развивающихся цифровых технологий.В статье исследуются вопросы, связанные с цифровой правосубъектностью корпорации (онлайн-регистрация корпораций (электронное (цифровое) резидентство корпораций), а также «цифровой отпечаток» компании в публичных реестрах), цифровым корпоративным управлением, а также деятельностью непосредственно цифровых (сетевых или децентрализованных автономных организаций) корпораций. Выделяются три типа цифрового корпоративного управления: дистанционное управление (с участием человека), смарт-управление (по алгоритмам, установленным человеком) и управление искусственным интеллектом (без участия человека). Иллюстрируются отдельные инструменты цифрового управления корпорацией, вытесняющие традиционные формы управления когнитивной системой человека. Раскрываются особенности функционирования децентрализованных автономных организаций",Dostoevsky Omsk State University,Цифровая трансформация инструментов управления современными корпорациями: состояние и пути развития,https://core.ac.uk/download/524867282.pdf,10.52468/2542-1514.2022.6(1).229-244,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
346575794,2018-01-01T00:00:00,"We present a general purpose solver for quadratic programs based on the alternating direction method of multipliers, employing a novel operator splitting technique that requires the solution of a quasi-definite linear system with the same coefficient matrix in each iteration. Our algorithm is very robust, placing no requirements on the problem data such as positive definiteness of the objective function or linear independence of the constraint functions. It is division-free once an initial matrix factorization is carried out, making it suitable for real-time applications in embedded systems. In addition, our technique is the first operator splitting method for quadratic programs able to reliably detect primal and dual infeasible problems from the algorithm iterates. The method also supports factorization caching and warm starting, making it particularly efficient when solving parametrized problems arising in finance, control, and machine learning. Our open-source C implementation OSQP has a small footprint, is library-free, and has been extensively tested on many problem instances from a wide variety of application areas. It is typically ten times faster than competing interior point methods, and sometimes much more when factorization caching or warm start is used",'Institute of Electrical and Electronics Engineers (IEEE)',OSQP: an operator splitting solver for quadratic programs,,,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
98345403,2017-01-01T00:00:00,"IJMISSP promotes research in machine intelligence/signal processing, highlighting developments in randomised algorithms, deep learning, other learning techniques, sampling theory, transformations and data compression. Besides theory/fundamentals encountered in the main subject area, applications associated with cybersecurity, health sciences, finance and engineering are essential. Design of advanced computational intelligence systems for subtle pattern recognition/discovery, visual data understanding/retrieval, robust face recognition, streaming data processing and intelligent control/software is stressed. Submissions on technology development and real-world applications of complex machine intelligence systems are encouraged",,Editorial Board Member of International Journal of Machine Intelligence and Sensory Signal Processing,,,,core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
441761640,2020-01-01T00:00:00,"Time series analysis and prediction are major scientific challenges that find their applications in fields as diverse as finance, biology, economics, meteorology, and so on. Obtaining the method with the least prediction error is one of the difficult problems of financial market and investment analysts. State space modelling is an efficient and flexible method for statistical inference of a broad class of time series and other data. The neural network is an important tool for analyzing time series especially when it is nonlinear and nonstationary. Essential tools for the study of Box-Jenkins methodology, neural networks, and extended Kalman filter were put together. We examine the use of the nonlinear autoregressive neural network method as a prediction technique for financial time series and the application of the extended Kalman filter algorithm to improve the accuracy of the model. As application on a real example, we are analyzing the time series of the daily price of steel over a 790-day period for establishing the superiority of this method over other existing methods. The simulation results using MATLAB and R software show that the model is capable of producing a reasonable accuracy",'Hindawi Limited',Nonlinear Autoregressive Neural Network and Extended Kalman Filters for Prediction of Financial Time Series,,10.1155/2020/5057801,"[{'title': 'Journal of Applied Mathematics', 'identifiers': ['issn:1110-757X', '1687-0042', 'issn:1687-0042', '1110-757x']}]",core,finance,'finance' AND 'machine learning' AND ('real-world' AND 'deploy')
