@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,article-number,pii,prism:isbn,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132133653', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132133653?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132133653&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132133653&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85132133653,SCOPUS_ID:85132133653,2-s2.0-85132133653,An Intrusion Detection System for SDN Using Machine Learning,Logeswari G.,Intelligent Automation and Soft Computing,10798587,2326005X,35,1,867-880,2023-01-01,2023,10.32604/iasc.2023.026769,0,"[{'@_fa': 'true', 'affilname': 'Anna University', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Journal,ar,Article,25476,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85127446556', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85127446556?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127446556&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127446556&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85127446556,SCOPUS_ID:85127446556,2-s2.0-85127446556,1D convolutional neural networks for chart pattern classification in financial time series,Liu L.,Journal of Supercomputing,09208542,15730484,78,12,14191-14214,2022-08-01,August 2022,10.1007/s11227-022-04431-5,0,"[{'@_fa': 'true', 'affilname': 'University of Macau', 'affiliation-city': 'Taipa', 'affiliation-country': 'Macao'}]",Journal,ar,Article,25623,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134525203', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134525203?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134525203&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134525203&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134525203,SCOPUS_ID:85134525203,2-s2.0-85134525203,An Intelligent Software System for Real Estate Systems using Machine Learning,Banga M.,International Journal of Performability Engineering,09731318,,18,6,444-452,2022-06-01,June 2022,10.23940/ijpe.22.06.p7.444452,0,"[{'@_fa': 'true', 'affilname': 'Amity University, Rajasthan', 'affiliation-city': 'Jaipur', 'affiliation-country': 'India'}]",Journal,ar,Article,17500155116,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85127566250', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85127566250?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127566250&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127566250&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85127566250,SCOPUS_ID:85127566250,2-s2.0-85127566250,Search-based fairness testing for regression-based machine learning systems,Perera A.,Empirical Software Engineering,13823256,15737616,27,3,,2022-05-01,May 2022,10.1007/s10664-022-10116-7,0,"[{'@_fa': 'true', 'affilname': 'Monash University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}]",Journal,ar,Article,18650,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",79,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105703997', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105703997?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105703997&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105703997&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105703997,SCOPUS_ID:85105703997,2-s2.0-85105703997,Harnessing emerging digital technologies: DataNet operations in eSwatini,Ahmed J.U.,Journal of Information Technology Teaching Cases,,20438869,12,1,79-87,2022-05-01,1 May 2022,10.1177/2043886921993136,0,"[{'@_fa': 'true', 'affilname': 'North South University', 'affiliation-city': 'Dhaka-1229', 'affiliation-country': 'Bangladesh'}]",Journal,ar,Article,21100448566,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85109424638', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85109424638?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109424638&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109424638&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221721005385'}",https://api.elsevier.com/content/abstract/scopus_id/85109424638,SCOPUS_ID:85109424638,2-s2.0-85109424638,"Fairness in credit scoring: Assessment, implementation and profit implications",Kozodoi N.,European Journal of Operational Research,03772217,,297,3,1083-1094,2022-03-16,16 March 2022,10.1016/j.ejor.2021.06.023,5,"[{'@_fa': 'true', 'affilname': 'Humboldt-Universität zu Berlin', 'affiliation-city': 'Berlin', 'affiliation-country': 'Germany'}]",Journal,ar,Article,22489,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,S0377221721005385,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85128302303', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85128302303?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128302303&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128302303&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85128302303,SCOPUS_ID:85128302303,2-s2.0-85128302303,Inverse Problem Approach to Machine Learning with Application in the Option Price Correction,Pourmohammad Azizi S.,Optical Memory and Neural Networks (Information Optics),1060992X,19347898,31,1,46-58,2022-03-01,March 2022,10.3103/S1060992X22010088,0,"[{'@_fa': 'true', 'affilname': ""Allameh Tabataba'i University"", 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Zhengzhou University', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,17600155052,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129488656', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129488656?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129488656&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129488656&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85129488656,SCOPUS_ID:85129488656,2-s2.0-85129488656,ASSE 2022 - 2022 3rd Asia Service Sciences and Software Engineering Conference,,ACM International Conference Proceeding Series,,,,,,2022-02-24,24 February 2022,,0,,Conference Proceeding,cr,Conference Review,21101088223,0,False,,,,,"[{'@_fa': 'true', '$': '9781450387453'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134688052', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134688052?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134688052&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134688052&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134688052,SCOPUS_ID:85134688052,2-s2.0-85134688052,BAMCloud: a cloud based Mobile biometric authentication framework,Shakil K.A.,Multimedia Tools and Applications,13807501,15737721,,,,2022-01-01,2022,10.1007/s11042-022-13514-7,0,"[{'@_fa': 'true', 'affilname': 'Princess Nourah bint Abdulrahman University', 'affiliation-city': 'Riyadh', 'affiliation-country': 'Saudi Arabia'}]",Journal,ar,Article,25627,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85133693151', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85133693151?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133693151&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133693151&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85133693151,SCOPUS_ID:85133693151,2-s2.0-85133693151,Enhanced Stock Market Prediction Using Hybrid LSTM Ensemble,Roy R.P.,Lecture Notes on Data Engineering and Communications Technologies,23674512,23674520,114,,49-61,2022-01-01,2022,10.1007/978-981-16-9416-5_4,0,"[{'@_fa': 'true', 'affilname': 'Christ University, Bengaluru', 'affiliation-city': 'Bengaluru', 'affiliation-country': 'India'}]",Book Series,ch,Book Chapter,21100975545,0,False,,,,,,
