id,datePublished,description,title,downloadUrl,journals,publisher,doi,database,query_name,query_value
304693960,2020-01-01T00:00:00,Fault detection and fault diagnosis are crucial subsystems to be integrated within the control architecture of modern industrial processes to ensure high quality standards. In this paper we present a two-stage unsupervised approach for fault detection and diagnosis in household appliances. In particular a suitable testing procedure has been implemented on a real industrial production line in order to extract the most meaningful features that allow to efficiently classify different types of fault by consecutively exploiting deep autoencoder neural network and k-means or hierarchical clustering techniques,A deep learning unsupervised approach for fault diagnosis of household appliances,,,,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
475059757,2021-07-01T00:00:00,"Electronic health records (EHRs) have been widely adopted in recent years, but often include a high proportion of missing data, which can create difficulties in implementing machine learning and other tools of personalized medicine. Completed datasets are preferred for a number of analysis methods, and successful imputation of missing EHR data can improve interpretation and increase our power to predict health outcomes. However, use of the most popular imputation methods mainly require scripting skills, and are implemented using various packages and syntax. Thus, the implementation of a full suite of methods is generally out of reach to all except experienced data scientists. Moreover, imputation is often considered as a separate exercise from exploratory data analysis, but should be considered as art of the data exploration process. We have created a new graphical tool, ImputEHR, that is based on a Python base and allows implementation of a range of simple and sophisticated (e.g., gradient-boosted tree-based and neural network) data imputation approaches. In addition to imputation, the tool enables data exploration for informed decision-making, as well as implementing machine learning prediction tools for response data selected by the user. Although the approach works for any missing data problem, the tool is primarily motivated by problems encountered for EHR and other biomedical data. We illustrate the tool using multiple real datasets, providing performance measures of imputation and downstream predictive analysis",ImputEHR: A Visualization Tool of Imputation for the Prediction of Biomedical Data,https://core.ac.uk/download/475059757.pdf,"[{'title': 'Frontiers in Genetics', 'identifiers': ['1664-8021', 'issn:1664-8021']}]",'Frontiers Media SA',10.3389/fgene.2021.691274,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
490875871,2021-10-01T00:00:00,"The classic monitoring methods for detecting faults in automotive vehicles based on on-board diagnostics (OBD) are insufficient when diagnosing several mechanical failures. Other sensing techniques present drawbacks such as high invasiveness and limited physical range. The present work presents a fully noninvasive system for fault detection and isolation in internal combustion engines through sound signals processing. An acquisition system was developed, whose data are transmitted to a smartphone in which the signal is processed, and the user has access to the information. A study of the chaotic behavior of the vehicle was carried out, and the feasibility of using fractal dimensions as a tool to diagnose engine misfire and problems in the alternator belt was verified. An artificial neural network was used for fault classification using the fractal dimension data extracted from the sound of the engine. For comparison purposes, a strategy based on wavelet multiresolution analysis was also implemented. The proposed solution allows a diagnosis without having any contact with the vehicle, with low computational cost, without the need for installing sensors, and in real time. The system and method were validated through experimental tests, with a success rate of 99% for the faults under consideration",Noninvasive Methods for Fault Detection and Isolation in Internal Combustion Engines Based on Chaos Analysis,,"[{'title': 'Sensors', 'identifiers': ['issn:1424-8220', '1424-8220']}]",'MDPI AG',10.3390/s21206925,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
440882566,2021-01-01T00:00:00,"An axial piston pump fault diagnosis algorithm based on empirical wavelet transform (EWT) and one-dimensional convolutional neural network (1D-CNN) is presented. The fault vibration signals and pressure signals of axial piston pump are taken as the analysis objects. Firstly, the original signals are decomposed by EWT, and each signal component is screened and reconstructed according to the energy characteristics. Then, the time-domain features and the frequency-domain features of the denoised signal are extracted, and features of time domain and frequency domain are fused. Finally, the 1D-CNN model was deployed to the WISE-Platform as a Service (WISE-PaaS) cloud platform to realize the real-time fault diagnosis of axial piston pump based on the cloud platform. Compared with ensemble empirical mode decomposition (EEMD) and complementary ensemble empirical mode decomposition (CEEMD), the results show that the axial piston pump fault diagnosis algorithm based on EWT and 1D-CNN has higher fault identification accuracy",Hydraulic Pump Fault Diagnosis Method Based on EWT Decomposition Denoising and Deep Learning on Cloud Platform,,"[{'title': 'Shock and Vibration', 'identifiers': ['issn:1070-9622', '1875-9203', '1070-9622', 'issn:1875-9203']}]",'Hindawi Limited',10.1155/2021/6674351,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
478074447,2021-01-01T00:00:00,"Machine learning (ML) has been slowly entering every aspect of our lives and its positive impact has been astonishing. To accelerate embedding ML in more applications and incorporating it in real-world scenarios, automated machine learning (AutoML) is emerging. The main purpose of AutoML is to provide seamless integration of ML in various industries, which will facilitate better outcomes in everyday tasks. In healthcare, AutoML has been already applied to easier settings with structured data such as tabular lab data. However, there is still a need for applying AutoML for interpreting medical text, which is being generated at a tremendous rate. For this to happen, a promising method is AutoML for clinical notes analysis, which is an unexplored research area representing a gap in ML research. The main objective of this paper is to fill this gap and provide a comprehensive survey and analytical study towards AutoML for clinical notes. To that end, we first introduce the AutoML technology and review its various tools and techniques. We then survey the literature of AutoML in the healthcare industry and discuss the developments specific to clinical settings, as well as those using general AutoML tools for healthcare applications. With this background, we then discuss challenges of working with clinical notes and highlight the benefits of developing AutoML for medical notes processing. Next, we survey relevant ML research for clinical notes and analyze the literature and the field of AutoML in the healthcare industry. Furthermore, we propose future research directions and shed light on the challenges and opportunities this emerging field holds. With this, we aim to assist the community with the implementation of an AutoML platform for medical notes, which if realized can revolutionize patient outcomes",Automated machine learning for healthcare and clinical notes analysis,https://core.ac.uk/download/478074447.pdf,,'MDPI AG',10.3390/computers10020024,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
304119006,2020-02-26T14:33:48,"none4noPrognostic Health Management (PHM) is a maintenance policy aimed at predicting the occurrence of a failure in components in order to minimize unexpected downtimes of complex systems and maximize their availability. Recent developments in condition monitoring (CM) techniques and Artificial Intelligence (AI) tools enabled the collection of a huge amount of data in real-time and its transformation into meaningful information that will support the maintenance decision-making process. The emerging Cyber-Physical Systems (CPS) technologies connect distributed physical systems with their virtual representations in the cyber computational world. The PHM assumes a key role in the implementation of CPS in manufacturing contexts, since it allows to keep CPS and its machines in proper conditions. On the other hand, CPS-based PHM provide an efficient solution to maximize availability of machines and production systems.
In this paper, evolving and unsupervised approaches for the implementation of PHM at a component level are described, which are able to process streaming data in real-time and with almost-zero prior knowledge about the monitored component. A case study from a real industrial context is presented. Different unsupervised and online anomaly detection methods are combined with evolving clustering models in order to detect anomalous behaviors in streaming vibration data and integrate the so-generated knowledge into supervised and adaptive models; then, the degradation model for each identified fault is built and the resulting RUL prediction model integrated into the online analysis. Supervised methods are applied to the same dataset, in batch mode, to validate the proposed procedure.openCalabrese, Francesca; Regattieri, Alberto; Botti, Lucia; Galizia, Francesco GabrieleCalabrese, Francesca; Regattieri, Alberto; Botti, Lucia; Galizia, Francesco Gabriel",Prognostic Health Management of Production Systems. New Proposed Approach and Experimental Evidences,,,'Elsevier BV',10.1016/j.promfg.2020.01.333,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
481358006,2021-01-01T00:00:00,"Developers proposing new machine learning for health (ML4H) tools often pledge to match or even surpass the performance of existing tools, yet the reality is usually more complicated. Reliable deployment of ML4H to the real world is challenging as examples from diabetic retinopathy or Covid-19 screening show. We envision an integrated framework of algorithm auditing and quality control that provides a path towards the effective and reliable application of ML systems in healthcare. In this editorial, we give a summary of ongoing work towards that vision and announce a call for participation to the special issue&nbsp; Machine Learning for Health: Algorithm Auditing &amp; Quality Control in this journal to advance the practice of ML4H auditing",Machine learning for health: Algorithm auditing &amp; quality control.,,,'Springer Science and Business Media LLC',10.1007/s10916-021-01783-y,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
491329314,2021-08-11T19:44:40,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying
and mining video event patterns. This paper details GNOSIS, an
event processing platform to perform near-real-time video event
detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices
and can be deployed at multiple nodes. GNOSIS uses a declarative
query-driven approach where users can write customize queries
for spatiotemporal video event reasoning. The system converts the
incoming video streams into a continuous evolving graph stream
using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS
can perform both stateful and stateless video event matching. To
improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy
efficiency, and content-driven windows. This paper demonstrates
the Occupational Health and Safety query use cases to show the
GNOSIS efficacyThis work was supported with the financial support of the Science
Foundation Ireland (SFI) grant SFI/12/RC/2289_P2.peer-reviewe",Query-driven video event processing for the internet of multimedia things,https://core.ac.uk/download/491329314.pdf,"[{'title': 'Proceedings of the VLDB Endowment', 'identifiers': ['issn:2150-8097', '2150-8097']}]",'VLDB Endowment',10.14778/3476311.3476360,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
519726762,2021-08-01T00:00:00,"Pediatric emergency cases need rapid systems that measure vital body parameters data, analyze and categorize emergency cases for precise action. Current systems use manual examination resulting in delayed medication, death, or other severe medical conditions.In this paper, we propose a Internet of Things (IoT) based model, created using Balena fin with Raspberry pi compute module. It is used for determining emergency cases, in pediatric section, specifically the triage section. It is later tested using hospital data that represents the vital parameters in pediatric. Our approach entails designing and setting up the hardware and software infrastructure, to accommodate data via Bluetooth protocol, and transmit it to the cloud server database via Message Queuing Telemetry Transport (MQTT). Later, we perform machine learning on the data by training a model and finally develop a Plotly Dash analytical application integrating the model for visualization near real-time.Findings show that emergency cases are detected using vital body parameters which include the body temperature, oxygen levels, heart rate and the age. The model indicates a 97% accuracy.In conclusion, children’s emergency cases are detected in time using IoT gadgets and machine learning classification",Internet of Things Based Model For Identifying Pediatric Emergency Cases,,,,,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
491003696,2021-11-01T00:00:00,"Abstract Since 2017, we have used IonTorrent NGS platform in our hospital to diagnose and treat cancer. Analyzing variants at each run requires considerable time, and we are still struggling with some variants that appear correct on the metrics at first, but are found to be negative upon further investigation. Can any machine learning algorithm (ML) help us classify NGS variants? This has led us to investigate which ML can fit our NGS data and to develop a tool that can be routinely implemented to help biologists. Currently, one of the greatest challenges in medicine is processing a significant quantity of data. This is particularly true in molecular biology with the advantage of next-generation sequencing (NGS) for profiling and identifying molecular tumors and their treatment. In addition to bioinformatics pipelines, artificial intelligence (AI) can be valuable in helping to analyze mutation variants. Generating sequencing data from patient DNA samples has become easy to perform in clinical trials. However, analyzing the massive quantities of genomic or transcriptomic data and extracting the key biomarkers associated with a clinical response to a specific therapy requires a formidable combination of scientific expertise, biomolecular skills and a panel of bioinformatic and biostatistic tools, in which artificial intelligence is now successful in developing future routine diagnostics. However, cancer genome complexity and technical artifacts make identifying real variants challenging. We present a machine learning method for classifying pathogenic single nucleotide variants (SNVs), single nucleotide polymorphisms (SNPs), multiple nucleotide variants (MNVs), insertions, and deletions detected by NGS from different types of tumor specimens, such as: colorectal, melanoma, lung and glioma cancer. We compared our NGS data to different machine learning algorithms using the k-fold cross-validation method and to neural networks (deep learning) to measure the performance of the different ML algorithms and determine which one is a valid model for confirming NGS variant calls in cancer diagnosis. We trained our machine learning with 70% of our data samples, extracted from our local database (our data structure had 7 parameters: chromosome, position, exon, variant allele frequency, minor allele frequency, coverage and protein description) and validated it with the 30% remaining data. The model offering the best accuracy was chosen and implemented in the NGS analysis routine. Artificial intelligence was developed with the R script language version 3.6.0. We trained our model on 70% of 102,011 variants. Our best error rate (0.22%) was found with random forest machine learning (ntree = 500 and mtry = 4), with an AUC of 0.99. Neural networks achieved some good scores. The final trained model with the neural network achieved an accuracy of 98% and an ROC-AUC of 0.99 with validation data. We tested our RF model to interpret more than 2000 variants from our NGS database: 20 variants were misclassified (error rate < 1%). The errors were nomenclature problems and false positives. After adding false positives to our training database and implementing our RF model routinely, our error rate was always < 0.5%. The RF model shows excellent results for oncosomatic NGS interpretation and can easily be implemented in other molecular biology laboratories. AI is becoming increasingly important in molecular biomedical analysis and can be very helpful in processing medical data. Neural networks show a good capacity in variant classification, and in the future, they may be useful in predicting more complex variants",Machine learning random forest for predicting oncosomatic variant NGS analysis,,"[{'title': 'Scientific Reports', 'identifiers': ['2045-2322', 'issn:2045-2322']}]",'Springer Science and Business Media LLC',10.1038/s41598-021-01253-y,core,health,'health' AND 'machine learning' AND ('real-world' AND 'deploy')
