id,datePublished,description,publisher,title,doi,downloadUrl,journals,database,query_name,query_value
289160157,2020-01-01T00:00:00,"Hyper-heuristic is a new methodology for the adaptive hybridization of meta-heuristic algorithms to derive a general algorithm for solving optimization problems. This work focuses on the selection type of hyper-heuristic, called the exponential Monte Carlo with counter (EMCQ). Current implementations rely on the memory-less selection that can be counterproductive as the selected search operator may not (historically) be the best performing operator for the current search instance. Addressing this issue, we propose to integrate the memory into EMCQ for combinatorial t-wise test suite generation using reinforcement learning based on the Q-learning mechanism, called Q-EMCQ. The limited application of combinatorial test generation on industrial programs can impact the use of such techniques as Q-EMCQ. Thus, there is a need to evaluate this kind of approach against relevant industrial software, with a purpose to show the degree of interaction required to cover the code as well as finding faults. We applied Q-EMCQ on 37 real-world industrial programs written in Function Block Diagram (FBD) language, which is used for developing a train control management system at Bombardier Transportation Sweden AB. The results show that Q-EMCQ is an efficient technique for test case generation. Addition- ally, unlike the t-wise test suite generation, which deals with the minimization problem, we have also subjected Q-EMCQ to a maximization problem involving the general module clustering to demonstrate the effectiveness of our approach. The results show the Q-EMCQ is also capable of outperforming the original EMCQ as well as several recent meta/hyper-heuristic including modified choice function, Tabu high-level hyper-heuristic, teaching learning-based optimization, sine cosine algorithm, and symbiotic optimization search in clustering quality within comparable execution time",'Springer Science and Business Media LLC',An evaluation of Monte Carlo-based hyper-heuristic for interaction testing of industrial embedded software applications,10.1007/s00500-020-04769-z,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
304693960,2020-01-01T00:00:00,Fault detection and fault diagnosis are crucial subsystems to be integrated within the control architecture of modern industrial processes to ensure high quality standards. In this paper we present a two-stage unsupervised approach for fault detection and diagnosis in household appliances. In particular a suitable testing procedure has been implemented on a real industrial production line in order to extract the most meaningful features that allow to efficiently classify different types of fault by consecutively exploiting deep autoencoder neural network and k-means or hierarchical clustering techniques,,A deep learning unsupervised approach for fault diagnosis of household appliances,,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
322738580,2020-01-01T00:00:00,"An important research problem in artificial intelligence is how to organize multiple agents, and coordinate them, so that they can work together to solve problems. Coordinating agents in a multi-agent system can significantly affect the systems performance-the agents can, in many instances, be organized so that they can solve tasks more efficiently, and consequently benefit collectively and individually. Central to this endeavor is coalition formation-the process by which heterogeneous agents organize and form disjoint groups (coalitions). Coalition formation often involves finding a coalition structure (an exhaustive set of disjoint coalitions) that maximizes the systems potential performance (e.g., social welfare) through coalition structure generation. However, coalition structure generation typically has no notion of goals. In cooperative settings, where coordination of multiple coalitions is important, this may generate suboptimal teams for achieving and accomplishing the tasks and goals at hand. With this in mind, we consider simultaneously generating coalitions of agents and assigning the coalitions to independent alternatives (e.g., tasks/goals), and present an anytime algorithm for the simultaneous coalition structure generation and assignment problem. This combinatorial optimization problem hasmany real-world applications, including forming goal-oriented teams. To evaluate the presented algorithms performance, we present five methods for synthetic problem set generation, and benchmark the algorithm against the industry-grade solver CPLEXusing randomized data sets of varying distribution and complexity. To test its anytime-performance, we compare the quality of its interim solutions against those generated by a greedy algorithm and pure random search. Finally, we also apply the algorithm to solve the problem of assigning agents to regions in a major commercial strategy game, and show that it can be used in game-playing to coordinate smaller sets of agents in real-time.Funding Agencies|Linkoping University; Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation</p",'Springer Science and Business Media LLC',An anytime algorithm for optimal simultaneous coalition structure generation and assignment,10.1007/s10458-020-09450-1,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
429122164,2020-08-01T00:00:00,"[EN] The paper presents the results of the Battle of Postdisaster Response and Restoration (BPDRR) presented in a special session at the first International water distribution systems analysis & computing and control in the water industry (WDSA/CCWI) Joint Conference, held in Kingston, Ontario, Canada, in July 2018. The BPDRR problem focused on how to respond and restore water service after the occurrence of five earthquake scenarios that cause structural damage in a water distribution system. Participants were required to propose a prioritization schedule to fix the damages of each scenario while following restrictions on visibility/nonvisibility of damages. Each team/approach was evaluated against six performance criteria: (1) time without supply for hospital/firefighting, (2) rapidity of recovery, (3) resilience loss, (4) average time of no user service, (5) number of users without service for eight consecutive hours, and (6) water loss. Three main types of approaches were identified from the submissions: (1) general-purpose metaheuristic algorithms, (2) greedy algorithms, and (3) ranking-based prioritizations. All three approaches showed potential to solve the challenge efficiently. The results of the participants showed that for this network, the impact of a large-diameter pipe failure on the network is more significant than several smaller pipes failures. The location of isolation valves and the size of hydraulic segments influenced the resilience of the system during emergencies. On average, the interruptions to water supply (hospitals and firefighting) varied considerably among solutions and emergency scenarios, highlighting the importance of private water storage for emergencies. The effects of damages and repair work were more noticeable during the peak demand periods (morning and noontime) than during the low-flow periods; and tank storage helped to preserve functionality of the network in the first few hours after a simulated event. (C) 2020 American Society of Civil Engineers.Paez, D.; Filion, Y.; Castro-Gama, M.; Quintiliani, C.; Santopietro, S.; Sweetapple, C.; Meng, F.... (2020). Battle of Postdisaster Response and Restoration. Journal of Water Resources Planning and Management. 146(8):1-13. https://doi.org/10.1061/(ASCE)WR.1943-5452.0001239S1131468Balut A. R. Brodziak J. Bylka and P. Zakrzewski. 2018. “Battle of post-disaster response and restauration (BPDRR).” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Bibok A. 2018. “Near-optimal restoration scheduling of damaged drinking water distribution systems using machine learning.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Castro-Gama M. C. Quintiliani and S. Santopietro. 2018. “After earthquake post-disaster response using a many-objective approach a greedy and engineering interventions.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Cimellaro, G. P., Tinebra, A., Renschler, C., & Fragiadakis, M. (2016). New Resilience Index for Urban Water Distribution Networks. Journal of Structural Engineering, 142(8). doi:10.1061/(asce)st.1943-541x.0001433Cover, T., & Hart, P. (1967). Nearest neighbor pattern classification. IEEE Transactions on Information Theory, 13(1), 21-27. doi:10.1109/tit.1967.1053964Creaco, E., Franchini, M., & Alvisi, S. (2010). Optimal Placement of Isolation Valves in Water Distribution Systems Based on Valve Cost and Weighted Average Demand Shortfall. Water Resources Management, 24(15), 4317-4338. doi:10.1007/s11269-010-9661-5Deb, K., Mohan, M., & Mishra, S. (2005). Evaluating the ε-Domination Based Multi-Objective Evolutionary Algorithm for a Quick Computation of Pareto-Optimal Solutions. Evolutionary Computation, 13(4), 501-525. doi:10.1162/106365605774666895Deuerlein J. D. Gilbert E. Abraham and O. Piller. 2018. “A greedy scheduling of post-disaster response and restoration using pressure-driven models and graph segment analysis.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Deuerlein, J. W. (2008). Decomposition Model of a General Water Supply Network Graph. Journal of Hydraulic Engineering, 134(6), 822-832. doi:10.1061/(asce)0733-9429(2008)134:6(822)Di Nardo, A., Di Natale, M., Giudicianni, C., Santonastaso, G. F., & Savic, D. (2018). Simplified Approach to Water Distribution System Management via Identification of a Primary Network. Journal of Water Resources Planning and Management, 144(2), 04017089. doi:10.1061/(asce)wr.1943-5452.0000885Eliades D. G. M. Kyriakou S. Vrachimis and M. M. Polycarpou. 2016. “EPANET-MATLAB toolkit: An open-source software for interfacing EPANET with MATLAB.” In Proc. 14th Int. Conf. on Computing and Control for the Water Industry (CCWI) 8. The Hague The Netherlands: International Water Conferences. https://doi.org/10.5281/zenodo.831493.Fragiadakis, M., Christodoulou, S. E., & Vamvatsikos, D. (2013). Reliability Assessment of Urban Water Distribution Networks Under Seismic Loads. Water Resources Management, 27(10), 3739-3764. doi:10.1007/s11269-013-0378-0Gilbert, D., Abraham, E., Montalvo, I., & Piller, O. (2017). Iterative Multistage Method for a Large Water Network Sectorization into DMAs under Multiple Design Objectives. Journal of Water Resources Planning and Management, 143(11), 04017067. doi:10.1061/(asce)wr.1943-5452.0000835Hill, D., Kerkez, B., Rasekh, A., Ostfeld, A., Minsker, B., & Banks, M. K. (2014). Sensing and Cyberinfrastructure for Smarter Water Management: The Promise and Challenge of Ubiquity. Journal of Water Resources Planning and Management, 140(7), 01814002. doi:10.1061/(asce)wr.1943-5452.0000449Hwang, H. H. M., Lin, H., & Shinozuka, M. (1998). Seismic Performance Assessment of Water Delivery Systems. Journal of Infrastructure Systems, 4(3), 118-125. doi:10.1061/(asce)1076-0342(1998)4:3(118)Li Y. J. Gao C. Jian C. Ou and S. Hu. 2018. “A two-stage post-disaster response and restoration method for the water distribution system.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Liu, W., Zhao, Y., & Li, J. (2014). Seismic functional reliability analysis of water distribution networks. Structure and Infrastructure Engineering, 11(3), 363-375. doi:10.1080/15732479.2014.887121Luong, H. T., & Nagarur, N. N. (2005). Optimal Maintenance Policy and Fund Allocation in Water Distribution Networks. Journal of Water Resources Planning and Management, 131(4), 299-306. doi:10.1061/(asce)0733-9496(2005)131:4(299)MacQueen J. B. 1967. “Some methods for classification and analysis of multivariate observations.” In Vol. 1 of Proc. 5th Berkeley Symp. on Mathematical Statistics and Probability 281–297. Berkeley: University of California Press.Mahmoud, H. A., Kapelan, Z., & Savić, D. (2018). Real-Time Operational Response Methodology for Reducing Failure Impacts in Water Distribution Systems. Journal of Water Resources Planning and Management, 144(7), 04018029. doi:10.1061/(asce)wr.1943-5452.0000956Meng, F., Fu, G., Farmani, R., Sweetapple, C., & Butler, D. (2018). Topological attributes of network resilience: A study in water distribution systems. Water Research, 143, 376-386. doi:10.1016/j.watres.2018.06.048Ostfeld, A., Uber, J. G., Salomons, E., Berry, J. W., Hart, W. E., Phillips, C. A., … Walski, T. (2008). The Battle of the Water Sensor Networks (BWSN): A Design Challenge for Engineers and Algorithms. Journal of Water Resources Planning and Management, 134(6), 556-568. doi:10.1061/(asce)0733-9496(2008)134:6(556)Paez D. Y. Filion and M. Hulley. 2018a. “Battle of post-disaster response and restoration (BPDRR)—Problem description and rules.” Accessed June 14 2019. https://www.queensu.ca/wdsa-ccwi2018/problem-description-and-files.Paez, D., Suribabu, C. R., & Filion, Y. (2018). Method for Extended Period Simulation of Water Distribution Networks with Pressure Driven Demands. Water Resources Management, 32(8), 2837-2846. doi:10.1007/s11269-018-1961-1Salcedo C. A. Aguilar P. Cuero S. Gonzalez S. Muñoz J. Pérez A. Posada J. Robles and K. Vargas. 2018. “Determination of the hydraulic restoration capacity of b-city involving a multi-criteria decision support model.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Santonastaso G. F. E. Creaco A. Di Nardo and M. Di Natale. 2018. “Post-disaster response and restauration of B-town network based on primary network.” In Vol. 1 of Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. Kingston Canada: Open Journal Systems.Sophocleous S. E. Nikoloudi H. A. Mahmoud K. Woodward and M. Romano. 2018. “Simulation-based framework for the restoration of earthquake-damaged water distribution networks using a genetic algorithm.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Sweetapple C. F. Meng R. Farmani G. Fu and D. Butler. 2018. “A heuristic approach to water network post-disaster response and restoration.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems.Tabucchi, T., Davidson, R., & Brink, S. (2010). Simulation of post-earthquake water supply system restoration. Civil Engineering and Environmental Systems, 27(4), 263-279. doi:10.1080/10286600902862615Taormina, R., Galelli, S., Tippenhauer, N. O., Salomons, E., Ostfeld, A., Eliades, D. G., … Ohar, Z. (2018). Battle of the Attack Detection Algorithms: Disclosing Cyber Attacks on Water Distribution Networks. Journal of Water Resources Planning and Management, 144(8), 04018048. doi:10.1061/(asce)wr.1943-5452.0000969Walski, T. M. (1993). Water distribution valve topology for reliability analysis. Reliability Engineering & System Safety, 42(1), 21-27. doi:10.1016/0951-8320(93)90051-yWang, Y., Au, S.-K., & Fu, Q. (2010). Seismic Risk Assessment and Mitigation of Water Supply Systems. Earthquake Spectra, 26(1), 257-274. doi:10.1193/1.3276900Yoo, D. G., Kang, D., & Kim, J. H. (2016). Optimal design of water supply networks for enhancing seismic reliability. Reliability Engineering & System Safety, 146, 79-88. doi:10.1016/j.ress.2015.10.001Zhang Q. F. Zheng K. Diao B. Ulanicki and Y. Huang. 2018. “Solving the battle of post-disaster response and restauration (BPDRR) problem with the aid of multi-phase optimization framework.” In Proc. 1st Int. WDSA/CCWI 2018 Joint Conf. 14. Kingston Canada: Open Journal Systems",'American Society of Civil Engineers (ASCE)',Battle of Postdisaster Response and Restoration,10.1061/(ASCE)WR.1943-5452.0001239,https://riunet.upv.es/bitstream/10251/166926/1/Paez%3bFlon%3bCastro-Gama%20-%20Battle%20of%20Postdsaster%20Response%20and%20Restoraton.pdf,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
480211410,2021-01-01T00:00:00,"Credit card fraud jeopardizes the trust of customers in e-commerce transactions. This led in recent years to major advances in the design of automatic Fraud Detection Systems (FDS) able to detect fraudulent transactions with short reaction time and high precision. Nevertheless, the heterogeneous nature of the fraud behavior makes it difficult to tailor existing systems to different contexts (e.g. new payment systems, different countries and/or population segments). Given the high cost (research, prototype development, and implementation in production) of designing data-driven FDSs, it is crucial for transactional companies to define procedures able to adapt existing pipelines to new challenges. From an AI/machine learning perspective, this is known as the problem of transfer learning. This paper discusses the design and implementation of transfer learning approaches for e-commerce credit card fraud detection and their assessment in a real setting. The case study, based on a six-month dataset (more than 200 million e-commerce transactions) provided by the industrial partner, relates to the transfer of detection models developed for a European country to another country. In particular, we present and discuss 15 transfer learning techniques (ranging from naive baselines to state-of-the-art and new approaches), making a critical and quantitative comparison in terms of precision for different transfer scenarios. Our contributions are twofold: (i) we show that the accuracy of many transfer methods is strongly dependent on the number of labeled samples in the target domain and (ii) we propose an ensemble solution to this problem based on self-supervised and semi-supervised domain adaptation classifiers. The thorough experimental assessment shows that this solution is both highly accurate and hardly sensitive to the number of labeled samples",'Institute of Electrical and Electronics Engineers (IEEE)',Transfer Learning Strategies for Credit Card Fraud Detection,10.1109/ACCESS.2021.3104472,,"[{'title': 'IEEE Access', 'identifiers': ['issn:2169-3536', '2169-3536']}]",core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
478074447,2021-01-01T00:00:00,"Machine learning (ML) has been slowly entering every aspect of our lives and its positive impact has been astonishing. To accelerate embedding ML in more applications and incorporating it in real-world scenarios, automated machine learning (AutoML) is emerging. The main purpose of AutoML is to provide seamless integration of ML in various industries, which will facilitate better outcomes in everyday tasks. In healthcare, AutoML has been already applied to easier settings with structured data such as tabular lab data. However, there is still a need for applying AutoML for interpreting medical text, which is being generated at a tremendous rate. For this to happen, a promising method is AutoML for clinical notes analysis, which is an unexplored research area representing a gap in ML research. The main objective of this paper is to fill this gap and provide a comprehensive survey and analytical study towards AutoML for clinical notes. To that end, we first introduce the AutoML technology and review its various tools and techniques. We then survey the literature of AutoML in the healthcare industry and discuss the developments specific to clinical settings, as well as those using general AutoML tools for healthcare applications. With this background, we then discuss challenges of working with clinical notes and highlight the benefits of developing AutoML for medical notes processing. Next, we survey relevant ML research for clinical notes and analyze the literature and the field of AutoML in the healthcare industry. Furthermore, we propose future research directions and shed light on the challenges and opportunities this emerging field holds. With this, we aim to assist the community with the implementation of an AutoML platform for medical notes, which if realized can revolutionize patient outcomes",'MDPI AG',Automated machine learning for healthcare and clinical notes analysis,10.3390/computers10020024,https://core.ac.uk/download/478074447.pdf,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
304119006,2020-02-26T14:33:48,"none4noPrognostic Health Management (PHM) is a maintenance policy aimed at predicting the occurrence of a failure in components in order to minimize unexpected downtimes of complex systems and maximize their availability. Recent developments in condition monitoring (CM) techniques and Artificial Intelligence (AI) tools enabled the collection of a huge amount of data in real-time and its transformation into meaningful information that will support the maintenance decision-making process. The emerging Cyber-Physical Systems (CPS) technologies connect distributed physical systems with their virtual representations in the cyber computational world. The PHM assumes a key role in the implementation of CPS in manufacturing contexts, since it allows to keep CPS and its machines in proper conditions. On the other hand, CPS-based PHM provide an efficient solution to maximize availability of machines and production systems.
In this paper, evolving and unsupervised approaches for the implementation of PHM at a component level are described, which are able to process streaming data in real-time and with almost-zero prior knowledge about the monitored component. A case study from a real industrial context is presented. Different unsupervised and online anomaly detection methods are combined with evolving clustering models in order to detect anomalous behaviors in streaming vibration data and integrate the so-generated knowledge into supervised and adaptive models; then, the degradation model for each identified fault is built and the resulting RUL prediction model integrated into the online analysis. Supervised methods are applied to the same dataset, in batch mode, to validate the proposed procedure.openCalabrese, Francesca; Regattieri, Alberto; Botti, Lucia; Galizia, Francesco GabrieleCalabrese, Francesca; Regattieri, Alberto; Botti, Lucia; Galizia, Francesco Gabriel",'Elsevier BV',Prognostic Health Management of Production Systems. New Proposed Approach and Experimental Evidences,10.1016/j.promfg.2020.01.333,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
479180866,2021-07-01T00:00:00,"This interdisciplinary article presents a concept of the 21st century and phenomena that are products of the 4th industrial revolution – big data and Artificial Intelligence technologies – as well as the opportunities of their application in public governance and social policy. This paper examines the advantages and disadvantages of big data, problems of data collection, its reliability and use. Big data can be used for the analysis and modeling of phenomena relevant to public governance and social policy. Big data consist of three main types: a) historical data, b) present data with little delay, c) prognostic data for future forecasting. The following categories of big data can be defined as: a) data from social networks, b) traditional data from business systems, c) machine-generated data, such as water extraction, pollution, satellite information. The article analyzes the advantages and disadvantages of big data. There are big data challenges such as data security, lack of cooperation in civil service and social work, in rare situations – data fragmentation, incompleteness and erroneous issues, as well as ethical issues regarding the analysis of data and its use in social policy and social administration.


Big data, covered by Artificial Intelligence, can be used in public governance and social policy by identifying “the hot spots” of various phenomena, by prognosing the meanings of variables in the future on the basis of past time rows, and by calculating the optimal motion of actions in the situations where there are possible various alternatives. The technologies of Artificial Intelligence are used more profoundly in many spheres of public policy, and in the governance of COVID-19 pandemics too.


The substantial advantages of the provided big data and Artificial Intelligence are a holistic improvement of public services, possibilities of personalization, the enhancement of citizen satisfaction, the diminishing of the costs of processing expenditure, the targeting of adopted and implemented decisions, more active involvement of citizens, the feedback of the preferences of policy formation and implementation, the observation of social phenomenas in real time, and possibilities for more detailed prognosing.


Challenges to security of data, necessary resources and competences, the lack of cooperation in public service, especially rare instances of data fragmentation, roughness, falseness, and ethical questions regarding data analysis and application can be evaluated as the most significant problems of using big data and Artificial Intelligence technologies.


Big data and their analytics conducted using Artificial Intelligence technologies can contribute to the adequacy and objectivity of decisions in public governance and social policy, effectively curbing corruption and nepotism by raising the authority and confidence of public sector organizations in governance, which is so lacking in the modern world",'Vilnius University Press',The Analysis of Opportunities of the Application of Big Data and Artificial Intelligence Technologies in Public Governance and Social Policy,10.15388/STEPP.2021.31,https://core.ac.uk/download/479180866.pdf,"[{'title': 'Socialinė teorija empirija politika ir praktika', 'identifiers': ['issn:2345-0266', '2345-0266', 'issn:1648-2425', '1648-2425']}]",core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
390009408,2020-02-20T00:00:00,"Methods of machine intelligence with training contribute their specifics to the creation and commissioning of a gaming system.One of the main problems is the need to anticipate the entire set of input situations and possible answers at the time of design and the impossibility of expanding their list withoutretraining. This leads to a narrowing of the possibility of their use in real gaming systems.  The object of research is the processes of creating and training game agents based on the evolutionary approaches of artificial intelligence. The purpose of the work is the development and justification of a formal model of a game agent based on machine learning methods, software implementation of the game process using neural networks and evolutionary optimization methods for multiple generations of game agent populations. To achieve this goal, the theoretical base, the existing research and development in the industry; a game scenario was designed, the main agents were identified, their main capabilities and expected behavior; training of game agents by various types of neural networks; development testing, quality assessment of behavior and decision-making by artificial intelligence using neural networks were performed; a comparative analysis of various types of neural networks, the proposed recommendations for their use for given conditions. To display the artificial neural network, the template components of the layer, neuron, and bridge were used. The created software module will allow game agents built using various neural networks to compete with each other (and not with a person, as in the normal game mode), and will reveal more prepared ones.  The scientific novelty of the study lies in the fact that a model of a game agent is formalized, based on machine learning methods. The results obtained in this work can be used in the development of video games built on the basis of artificial intelligence of game agents based on machine learning methods, as well as in other scientific studies.Методы машинного интеллекта с обучением вносят свою специфику к созданию и наладке игровой системы.Одна из главных проблем — это необходимость предвидения всего набора входных ситуаций и возможных ответов на моменте проектирования и невозможность расширения их списка без переобучения. Это приводит к сужению возможности их использования в реальных игровых системах.Объектом исследования являются процессы создания и обучения игровых агентов на основе эволюционных подходов искусственного интеллекта. Цель работы - разработка и обоснование формальной модели игрового агента, основанного на методах машинного обучения, программная реализация игрового процесса сприменением нейронных сетей и эволюционных методов оптимизации при множественных поколениях популяций игровых агентов.Для осуществления поставленной цели исследована теоретическая база, существующие исследования и разработки в отрасли; спроектирован игровой сценарий, определены основные агенты, их основные возможности и ожидаемое поведение;реализовано обучение игровых агентов различными типами нейронных сетей; выполнено тестирование разработок, оценка качества поведения и принятия решений искусственныминтеллектом с использованием нейронных сетей; проведен сравнительный анализ различных типов нейронных сетей, предлагаемых рекомендаций по их использованию для заданныхусловий. Для отображения искусственной нейронной сети использованы шаблонные компоненты слоя, нейрона и моста.Созданный программный модуль позволит игровым агентам, построенным с использованием различных нейронных сетей, соперничать друг с другом (а не с человеком,как в обычном режиме игры), позволит выявить более подготовленного из них. Научная новизна исследования заключается в том, что формализована модель игрового агента, в основе которой методы машинного обучения. Полученные в работе результаты могут быть использованы при разработке видеоигр, построенных на базе искусственного интеллекта игровых агентов, в основекоторых методы машинного обучения, а также в рамках других научных исследований.Методи машинного інтелекту з навчанням привносять свою специфіку до створення і налагодження ігрової системи.  Одна з головних проблем - це необхідність передбачення усього набору вхідних ситуацій і можливих відповідей на моменті проектування і неможливість розширення їх списку без перенавчання. Це призводить до звуження можливості їх використання у реальних ігрових системах. Об'єктом дослідження є процеси створення і навчання ігрових агентів на основі еволюційних підходів штучного інтелекту. Мета роботи - розробка і обґрунтування формальної моделі ігрового агенту, заснованої на методах машинного навчання, програмна реалізація ігрового процесу з застосуванням нейронних мереж та еволюційних методів оптимізації при множинних генераціях популяцій ігрових агентів. Для здійснення поставленої мети досліджена теоретична база, існуюча дослідження та розробки в галузі; спроектовано ігровий сценарій, визначені основні агенти, їх основні можливості та очікувана поведінка; реалізоване навчання ігрових агентів різними типами нейронних мереж; виконане тестування розробок, оцінка якості поведінки й прийняття рішень штучним інтелектом з використанням нейронних мереж; проведений порівняльний аналіз різних типів нейронних мереж, запропонування рекомендацій щодо їх використання для заданих умов. Для відображення штучної нейронної мережі використані шаблоні компоненти слою, нейрону і мосту. Створений програмний модуль дозволить ігровим агентам, побудованим з використанням різних нейронних мереж, суперничати один з іншим (а не з людиною, як у звичайному режимі гри), дозволить виявити більш підготовленого з них. Наукова новизна одержаних результатів полягає у тому, що формалізовано модель ігрового агенту, в основі якої методи машинного навчання. Отримані в роботі результати можуть бути використані при розробці відеоігор, побудованих на базі штучного інтелекту ігрових агентів, що гуртуються на методах машинного навчання, а також в рамках інших наукових досліджень",ДВНЗ «Приазовський державний технічний університет»,ДОСЛІДЖЕННЯ ТА МОДЕЛЮВАННЯ ІГРОВОГО ПРОЦЕСУ НА БАЗІ МЕТОДІВ МАШИННОГО НАВЧАННЯ,,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
347169206,2020-09-01T00:00:00,"International audienceSuccessful development of a micro-total-analysis system (μTAS, lab-on-a-chip) is strictly related to the degree of miniaturization, integration, autonomy, sensitivity, selectivity, and repeatability of its detector. Fluorescence sensing is an optical detection method used for a large variety of biological and chemical assays, and its full integration within lab-on-a-chip devices remains a challenge. Important achievements were reported during the last few years, including improvements of previously reported methodologies, as well as new integration strategies. However, a universal paradigm remains elusive. This review considers achievements in the field of fluorescence sensing miniaturization, starting from off-chip approaches, representing miniaturized versions of their lab counter-parts, continuing gradually with strategies that aim to fully integrate fluorescence detection on-chip, and reporting the results around integration strategies based on optical-fiber-based designs,optical layer integrated designs, CMOS-based fluorescence sensing, and organic electronics. Further successful development in this field would enable the implementation of sensing networks in specific environments that, when coupled to Internet of-Things (IoT) and artificial intelligence (AI), could provide real-time data collection and, therefore, revolutionize fields like health, environmental, and industrial sensing",'Springer Science and Business Media LLC',Miniaturization of fluorescence sensing in optofluidic devices,10.1007/s10404-020-02371-1,,,core,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
