paperId,url,title,abstract,venue,year,externalIds.DOI,database,query_name,query_value
0034de50716005e8bcf857e49b30b5d435a4b0bb,https://www.semanticscholar.org/paper/0034de50716005e8bcf857e49b30b5d435a4b0bb,Machine Learning Techniques for Network-based Intrusion Detection System: A Survey Paper,"The rapid growth of Internet technologies and further dependence on online services, increase the demand for keeping these networks and data secure. The protection of online information is becoming even more vital to the national security and economic stability. Recently, network security has become one of the most concerning subjects in the current research and industry fields. Intrusion Detection Systems (IDSs) are considered as the backbone for network and data protection. Throughout time, different IDS approaches have been implemented to attain maximum detection accuracy. Machine learning IDS is one of the promising IDS techniques that have been created to detect known as well as unknown attacks. This paper investigates various machine learning techniques used to deploy Network-based Intrusion Detection System (NIDS). This survey could provide a more robust understanding of the existing techniques and assists intrigued researchers to identify research opportunities and investigate more in this direction.",2021 National Computing Colleges Conference (NCCC),2021,10.1109/NCCC49330.2021.9428827,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
1698257462714eb2183e7ecb2259514a827290bf,https://www.semanticscholar.org/paper/1698257462714eb2183e7ecb2259514a827290bf,Detecting Anomalous Transactions via an IoT Based Application: A Machine Learning Approach for Horse Racing Betting †,"During the past decade, the technological advancement have allowed the gambling industry worldwide to deploy various platforms such as the web and mobile applications. Government agencies and local authorities have placed strict regulations regarding the location and amount allowed for gambling. These efforts are made to prevent gambling addictions and monitor fraudulent activities. The revenue earned from gambling provides a considerable amount of tax revenue. The inception of internet gambling have allowed professional gamblers to par take in unlawful acts. However, the lack of studies on the technical inspections and systems to prohibit unlawful internet gambling has caused incidents such as the Walkerhill Hotel incident in 2016, where fraudsters placed bets abnormally by modifying an Internet of Things (IoT)-based application called “MyCard”. This paper investigates the logic used by smartphone IoT applications to validate the location of users and then confirm continuous threats. Hence, our research analyzed transactions made on applications that operated using location authentication through IoT devices. Drawing on gambling transaction data from the Korea Racing Authority, this research used time series machine learning algorithms to identify anomalous activities and transactions. In our research, we propose a method to detect and prevent these anomalies by conducting a comparative analysis of the results of existing anomaly detection techniques and novel techniques.",Sensors,2021,10.3390/s21062039,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
f9879bbca1f2d46d63a01cfbb951195b6cdadee6,https://www.semanticscholar.org/paper/f9879bbca1f2d46d63a01cfbb951195b6cdadee6,Improving Ambulance Dispatching with Machine Learning and Simulation,,ECML/PKDD,2021,10.1007/978-3-030-86514-6_19,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
ec0e5e45759e88bb8aa795ec2047608bf8484795,https://www.semanticscholar.org/paper/ec0e5e45759e88bb8aa795ec2047608bf8484795,MLHat: Deployable Machine Learning for Security Defense,"The MLHat workshop aims to bring together academic researchers and industry practitioners to discuss the open challenges, potential solutions, and best practices to deploy machine learning at scale for security defense. The workshop will discuss related topics from both defender perspectives (white-hat) and the attacker perspectives (black-hat). We call the workshop MLHats, to serve as a place for people who are interested in using machine learning to solve practical security problems. The workshop will focus on defining new machine learning paradigms under various security application contexts and identifying exciting new future research directions. At the same time, the workshop will also have a strong industry presence to provide insights into the challenges in deploying and maintaining machine learning models and the much-needed discussion on the capabilities that the state-of-the-arts failed to provide.",KDD,2021,10.1145/3447548.3469463,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
5b320308332d871f2bf7c02ab3b9f879edd8c7fc,https://www.semanticscholar.org/paper/5b320308332d871f2bf7c02ab3b9f879edd8c7fc,Improving Ambulance Dispatching with Machine Learning and Simulation,". As an industry where performance improvements can save lives, but resources are often scarce, emergency medical services (EMS) providers continuously look for ways to deploy available resources more eﬃciently. In this paper, we report a case study executed at a Dutch EMS region to improve ambulance dispatching. We ﬁrst capture the way in which dispatch human agents currently make decisions on which ambulance to dispatch to a request. We build a decision tree based on historical data to learn human agents’ dispatch decisions. Then, insights from the ﬁtted decision tree are used to enrich the commonly assumed closest-idle dispatch policy. Subsequently, we use the captured dispatch policy as input to a discrete event simulation to investigate two enhancements to current practices and evaluate their performance relative to the current policy. Our results show that complementing the current dispatch policy with redispatching and reevaluation policies yields an improvement of the on-time performance of highly urgent ambulance requests of 0.77 percentage points. The performance gain is signiﬁcant, which is equivalent to adding additional seven weekly ambulance shifts.",,2021,,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
f5792d3c5e53f406b1aee6aae4505792b23bfcc0,https://www.semanticscholar.org/paper/f5792d3c5e53f406b1aee6aae4505792b23bfcc0,Dynamic Placement of Rapidly Deployable Mobile Sensor Robots Using Machine Learning and Expected Value of Information,"
 Although the Industrial Internet of Things has increased the number of sensors permanently installed in industrial plants, there will be gaps in coverage due to broken sensors or sparse density in very large plants, such as in the petrochemical industry. Modern emergency response operations are beginning to use Small Unmanned Aerial Systems (sUAS) that have the ability to drop sensor robots to precise locations. sUAS can provide longer-term persistent monitoring that aerial drones are unable to provide. Despite the relatively low cost of these assets, the choice of which robotic sensing systems to deploy to which part of an industrial process in a complex plant environment during emergency response remains challenging.
 This paper describes a framework for optimizing the deployment of emergency sensors as a preliminary step towards realizing the responsiveness of robots in disaster circumstances. AI techniques (Long short-term memory, 1-dimensional convolutional neural network, logistic regression, and random forest) identify regions where sensors would be most valued without requiring humans to enter the potentially dangerous area. In the case study described, the cost function for optimization considers costs of false-positive and false-negative errors. Decisions on mitigation include implementing repairs or shutting down the plant. The Expected Value of Information (EVI) is used to identify the most valuable type and location of physical sensors to be deployed to increase the decision-analytic value of a sensor network. This method is applied to a case study using the Tennessee Eastman process data set of a chemical plant, and we discuss implications of our findings for operation, distribution, and decision-making of sensors in plant emergency and resilience scenarios.","Volume 13: Safety Engineering, Risk, and Reliability Analysis; Research Posters",2021,10.1115/imece2021-70759,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
6a29fae129632f40acf6cbed76645a054f6979a9,https://www.semanticscholar.org/paper/6a29fae129632f40acf6cbed76645a054f6979a9,Politics of Adversarial Machine Learning,"In addition to their security properties, adversarial machine-learning attacks and defenses have political dimensions. They enable or foreclose certain options for both the subjects of the machine learning systems and for those who deploy them, creating risks for civil liberties and human rights. In this paper, we draw on insights from science and technology studies, anthropology, and human rights literature, to inform how defenses against adversarial attacks can be used to suppress dissent and limit attempts to investigate machine learning systems. To make this concrete, we use real-world examples of how attacks such as perturbation, model inversion, or membership inference can be used for socially desirable ends. Although the predictions of this analysis may seem dire, there is hope. Efforts to address human rights concerns in the commercial spyware industry provide guidance for similar measures to ensure ML systems serve democratic, not authoritarian ends.",SSRN Electronic Journal,2020,10.2139/SSRN.3547322,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
42d6c00260ceb1f1e48ce9b24ed079f0b2a2d098,https://www.semanticscholar.org/paper/42d6c00260ceb1f1e48ce9b24ed079f0b2a2d098,Cognitive Service Virtualisation: A New Machine Learning-Based Virtualisation to Generate Numeric Values,"Continuous delivery has gained increased popularity in industry as a development approach to develop, test, and deploy enhancements to software components in short development cycles. In order for continuous delivery to be effectively adopted, the services that a component depends upon must be readily available to software engineers in order to systematically apply quality assurance techniques. However, this may not always be possible as (i) these requisite services may have limited access and (ii) defects that are introduced in a component under development may cause ripple effects in real deployment environments. Service virtualisation (SV) has been introduced as an approach to address these challenges, but existing approaches to SV still fall short of delivering the required accuracy and/or ease-of-use to virtualise services for adoption in continuous delivery. In this work, we propose a novel machine learning based approach to predict numeric fields in virtualised responses, extending existing research that has provided a way to produce values for categorical fields. The SV approach introduced here uses machine learning techniques to derive values of numeric fields that are based on a variable number of pertinent historic messages. Our empirical evaluation demonstrates that the Cognitive SV approach can produce responses with the appropriate fields and accurately predict values of numeric fields across three data sets, some of them based on stateful protocols.",Sensors,2020,10.3390/s20195664,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
4696c84f6d4a5188eafabd3aebc002abd8419262,https://www.semanticscholar.org/paper/4696c84f6d4a5188eafabd3aebc002abd8419262,A Cloud-based Analytics Architecture for the Application of Online Machine Learning Algorithms on Data Streams in Consumer-centric Internet of Things Domains,"The increasing number of smart devices in private households has lead to a large quantity of smart homes worldwide. In order to gain meaningful insights into their generated data and offer extended information and added value for consumers, data analytics architectures are essential. In addition, the development and improvement of machine learning techniques and algorithms in the past years has lead to the availability of powerful analytics tools, which have the potential to allow even more sophisticated insights at the cost of changed challenges and requierements for analytics architectures. However, architectural solutions, which offer the ability to deploy flexible, machine learning-based analytics pipelines on streaming data, are missing in research as well as in industry. In this paper, we present the motivation and a concept for machine learningbased data processing on streaming data for consumer-centric Internet of Things domains, such as smart home. This approach was evaluated in terms of its performance and may serve as a basis for further development and",IoTBDS,2020,10.5220/0009339501890196,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
64d64ea38f04e704131ecf9f1b6736bb3204cacb,https://www.semanticscholar.org/paper/64d64ea38f04e704131ecf9f1b6736bb3204cacb,Impacts of Machine Learning on Counterfeit IC Detection and Avoidance Techniques,"Globalization of integrated circuit (IC) supply chain has made counterfeiting a major source of concern in the semiconductor industry. To address this concern, extensive efforts have been put into developing effective counterfeit detection and avoidance techniques. In the recent years, machine learning (ML) algorithms have played an important role in development and evaluation of many emerging countermeasures against counterfeiting. In this paper, we aim to investigate impacts of such algorithms on the landscape of anti-counterfeiting schemes. We provide a comprehensive review of prior arts that deploy machine learning to develop or attack counterfeit detection and avoidance techniques. We also discuss future directions for application of machine learning in anti-counterfeit schemes.",2020 21st International Symposium on Quality Electronic Design (ISQED),2020,10.1109/ISQED48828.2020.9136972,semantic_scholar,industry,'industry' AND 'machine learning' AND ('real-world' AND 'deploy')
