id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.rcim.2022.102365,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-12-01,sciencedirect,A digital twin-based sim-to-real transfer for deep reinforcement learning-enabled industrial robot grasping,https://api.elsevier.com/content/abstract/scopus_id/85131222861,"Deep reinforcement learning (DRL) has proven to be an effective framework for solving various complex control problems. In manufacturing, industrial robots can be trained to learn dexterous manipulation skills from raw pixels with DRL. However, training robots in the real world is a time-consuming, high-cost and of safety concerns process. A frequently adopted approach for easing this is to train robots through simulations first and then deploy algorithms (or policies) on physical robots. How to transfer policies of robot learning from simulation to the real world is a challenging issue. Digital twin that is able to create a dynamic, up-to-date representation of a physical robotic grasping system provides an effective approach for addressing this issue. In this paper, we focus on the scenario of DRL-based assembly-oriented industrial grasping and propose a digital twin-enabled approach for achieving effective transfer of DRL algorithms to a physical robot. Two parallel training systems, i.e., the physical robotic system and corresponding digital twin system, respectively, are established, which take virtual and real images as inputs. The output of the digital twin system is used to correct the real grasping point so that accurate grasping can be achieved. Experimental results verify the effectiveness of the intelligent grasping algorithm and the digital twin-enabled sim-to-real transfer approach and mechanism.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.rcim.2022.102371,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-10-01,sciencedirect,A grasps-generation-and-selection convolutional neural network for a digital twin of intelligent robotic grasping,https://api.elsevier.com/content/abstract/scopus_id/85129983234,"Robotic grasping plays an essential role in human-machine cooperation in various household and industrial applications. Although humans can instinctively execute grasps in an accurate, stable, and rapid way even under a constantly changing environment, intelligent grasping remains a challenging task for robots. As a prerequisite for grasping, robots need to correctly identify the best grasping location of unknown objects often based on an artificial intelligence approach, which is still a challenging problem. This paper proposes a new grasps-generation-and-selection convolutional neural network (GGS-CNN), which is trained and implemented in a digital twin of intelligent robotic grasping (DTIRG). By defining a grasp with 3-D position, rotation angle, and gripper width, the GGS-CNN generates grasp candidates by transforming the red–green-blue-depth images (RGB-D images) into feature maps and evaluating the quality of selected grasps. The GGS-CNN is trained in the virtual environment and the real world of the DTIRG to detect accurate grasps. In the grasping tests, the proposed GGS-CNN achieves grasping success rates of 96.7% and 93.8% for grasping single objects and cluttered objects, respectively, and obtains the best grasp from the RGB-D image in less than 40 ms.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.rcim.2022.102351,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-10-01,sciencedirect,Cloud-edge-device collaboration mechanisms of deep learning models for smart robots in mass personalization,https://api.elsevier.com/content/abstract/scopus_id/85127198043,"Personalized products have gradually become the main business model and core competencies of many enterprises. Large differences in components and short delivery cycles of such products, however, require industrial robots in cloud manufacturing (CMfg) to be smarter, more responsive and more flexible. This means that the deep learning models (DLMs) for smart robots should have the performance of real-time response, optimization, adaptability, dynamism, and multimodal data fusion. To satisfy these typical demands, a cloud-edge-device collaboration framework of CMfg is first proposed to support smart collaborative decision-making for smart robots. Meanwhile, in this context, different deployment and update mechanisms of DLMs for smart robots are analyzed in detail, aiming to support rapid response and high-performance decision-making by considering the factors of data sources, data processing location, offline/online learning, data sharing and the life cycle of DLMs. In addition, related key technologies are presented to provide references for technical research directions in this field.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.asoc.2022.109245,Journal,Applied Soft Computing,scopus,2022-09-01,sciencedirect,Human action prediction in collaborative environments based on shared-weight LSTMs with feature dimensionality reduction,https://api.elsevier.com/content/abstract/scopus_id/85134563727,"As robots are progressing towards being ubiquitous and an indispensable part of our everyday environments, such as home, offices, healthcare, education, and manufacturing shop floors, efficient and safe collaboration and cohabitation become imperative. Given that, such environments could benefit greatly from accurate human action prediction. In addition to being accurate, human action prediction should be computationally efficient, in order to ensure a timely reaction, and capable of dealing with changing environments, since unstructured interaction and collaboration with humans usually do not assume static conditions. In this paper, we propose a model for human action prediction based on motion cues and gaze using shared-weight Long Short-Term Memory networks (LSTMs) and feature dimensionality reduction. LSTMs have proven to be a powerful tool in processing time series data, especially when dealing with long-term dependencies; however, to maximize their performance, LSTM networks should be fed with informative and quality inputs. Given that, in this paper, we furthermore conducted an extensive input feature analysis based on (i) signal correlation and their strength to act as stand-alone predictors, and (ii) a multilayer perceptron inspired by the autoencoder architecture. We validated the proposed model on a publicly available MoGaze
                        1
                     
                     
                        1
                        
                           https://humans-to-robots-motion.github.io/mogaze/.
                      dataset for human action prediction, as well as on a smaller dataset recorded in our laboratory. Our model outperformed alternatives, such as recurrent neural networks, a fully connected LSTM network, and the strongest stand-alone signals (baselines), and can run in real-time on a standard laptop CPU. Since eye gaze might not always be available in a real-world scenario, we have implemented and tested a multi-layer perceptron for gaze estimation from more easily obtainable motion cues, such as head orientation and hand position. The estimated gaze signal can be utilized during inference of our LSTM-based model, thus making our action prediction pipeline suitable for real-time practical applications.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.engappai.2022.105164,Journal,Engineering Applications of Artificial Intelligence,scopus,2022-09-01,sciencedirect,Pose estimation and robotic insertion tasks based on YOLO and layout features,https://api.elsevier.com/content/abstract/scopus_id/85133819972,"In this study, we proposed a practical scheme for the challenging robotic cable insertion task. In general, the applied architecture is based on two YOLOs, vision-based pose estimation and admittance control. A precise and effective method was developed to estimate the pose of a manipulated connector. Our method uses a deep convolutional neural network to detect the relevant regions in the image. The characteristics of these relevant regions along with the pins’ layout manifold are combined to conduct the estimation. Practical problems such as error examination and time efficiency were considered in the proposed method for real applications. An admittance controller is introduced to experimentally validate the performance of pose estimation and provide compliant insertion by the proposed architecture. Our method is only based on less prior layout knowledge and does not require a precise model, which facilitates modeling and deployment. In addition, our method is robust to image quality and has low computational complexity, which makes it highly suitable for online manipulation. Besides, our method can handle multiple connector types which can cover most cases in aeronautical manufacturing and guide the design of connectors in the production process. The advantages of our method were demonstrated by extensive testing using both synthetic data and experiments. We also designed an insertion controller and realized a complete insertion task using a PC with a 12 GB RTX 3060 GPU and 32 GB RAM. These experimental results show that our method can achieve precise and reliable estimation with mean absolute errors less than 0.44 deg and 0.36 mm, an estimation accuracy of over 99%, and a successful manipulation rate of over 94%. This reveals that the proposed method displays potential for the challenging robotic cable insertion task.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.compeleceng.2022.108163,Journal,Computers and Electrical Engineering,scopus,2022-09-01,sciencedirect,Intelligent energy and ecosystem for real-time monitoring of glaciers,https://api.elsevier.com/content/abstract/scopus_id/85133281340,"The United Nations is deeply concerned about global warming and its impacts on natural resources. Simultaneously, it has been recommended that cutting-edge technologies be employed to predict the impact of climate change on natural reservoirs such as glaciers. With the motivation of the above facts, this study investigates the impact and significance of emerging and cutting-edge technologies like Remote Sensing, the Internet of Things (IoT), Artificial Intelligence (AI), Unmanned Aerial Vehicles (UAVs), and robots implementation for the digitalization in glaciers. The study identified that convergence of AI, Machine Learning (ML), and Deep Learning approaches with Spatio-temporal data empowers to detect non-linear characteristics, especially in high mountainous regions due to their diversity and unpredictable nature. The article suggested valuable recommendations such as establishing an intelligent eco-system in glaciers, low-cost intelligent IoT devices with intelligent energy algorithms, ML empowered edge devices, glacier-resistant rescue robots, and Wearable IoT-based safety guide devices.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.robot.2022.104158,Journal,Robotics and Autonomous Systems,scopus,2022-09-01,sciencedirect,Development of an autonomous fog computing platform using control-theoretic approach for robot-vision applications,https://api.elsevier.com/content/abstract/scopus_id/85131700902,"This paper presents the dynamic modelling and linear matrix inequality (LMI) based controller design of a distributed fog computing framework for real-time robot vision applications. A mobile robot vision system acquires the images from an application environment such as a warehouse, where articles are stacked in numerous racks. We characterise the mobile robot vision data (MRVD) using frames per second (FPS) and the image resolution. From the MRVD, object detection is performed by an open-source deep learning (DL) platform for detecting and localising various objects. However, with higher FPS together with high-resolution images, the processing time by the DL algorithm increases significantly. This necessitates the deployment of a distributed computing platform with several computing nodes. In this work, we deploy a distributed fog computing environment (DFCE) for the real-time object detection in an application environment.
                  The processing time required to handle the MRVD is called the service time. However, for efficient auto-scaling performance, the mathematical model of the DFCE, taking into consideration the characteristics of the MRVD is necessary. In this context, we envisage the application of control theory to build the dynamic model of the DFCE. A Linear Parameter Varying (LPV) model is proposed for the DFCE with the service time as the output, the number of fog nodes as the input, and the characteristics of MRVD as the time-varying parameters. At first, an LPV model for the DFCE is derived using system identification, and the model is validated using the real-time test data. The LPV model is converted to a Polytopic LPV (PLPV) model for LMI based controller design. Finally, we develop and validate a Linear Matrix Inequality (LMI) based LPV controller to meet the service time constraints for a given application environment.
                  For localisation and trajectory tracking with obstacle avoidance in the application environment, the mobile robot implements an Extended Kalman Filter (EKF) based simultaneous localisation and mapping (SLAM) and a bug-based path planning algorithm respectively. Finally, we present, detailed controller validation results illustrating the mobile robot navigation together with the auto-scaling control for the fog computing platform to modulate the service time.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.asoc.2022.109136,Journal,Applied Soft Computing,scopus,2022-08-01,sciencedirect,Dynamic environment prediction on unmanned mobile manipulator robot via ensemble convolutional randomization networks,https://api.elsevier.com/content/abstract/scopus_id/85132884016,"This paper aims to improve the prediction for dynamic environments on unmanned mobile manipulator robot system. When it comes to a simple prediction task, the mobile manipulator robot is undesirable to spend lots of time training a complex neural network. In this paper, the structure of randomization-based neural networks with the convolutional layer named conv-RNet is tested, which reveals that conv-RNet seems to be better than randomization-based neural network with the fully connected layer in terms of accuracy, parameters and computational complexity. Based on the conv-RNet, an ensemble learning architecture named Ensemble convolutional randomization-based neural networks (EC-RNet) is proposed to further optimize the network performance. Here, three problems are mainly solved to optimize this ensemble architecture. The first is how to extract local feature information and decrease the computational complexity. The convolutional layer is used to filter the input to extract features. For producing the fixed number of the hidden layer nodes, the convolutional operation could extract more abundant feature information while maintaining few parameters and low computational complexity than a fully connected operation. The second is how to calculate the number of component learners. Little probability event is used to build a relationship between the number of component learners and the data number in each component dataset. For a given component data, the minimum number of component learners will be determined by this relationship. The third is how to combine the results of component learners to obtain the final result. The confidence level is introduced as the weight to measure the relationship between component results and final results. The combination of component results attaching to different confidence levels is used to calculate the final result. On CIFAR-10, MNIST handwritten digits dataset, and UCI dataset, EC-RNet achieves high accuracy, low computational complexity, and few parameters. Moreover, Experiments on above three datasets show that the proposed EC-RNet+RVFL structure outperforms the proposed EC-RNet+ELM structure. In the real world, the EC-RNet is deployed on the mobile robot and achieves more reliable performance.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.mechatronics.2022.102833,Journal,Mechatronics,scopus,2022-08-01,sciencedirect,Control framework for collaborative robot using imitation learning-based teleoperation from human digital twin to robot digital twin,https://api.elsevier.com/content/abstract/scopus_id/85130606803,"Despite the deployment of collaborative robots for various industrial processes, their teaching and control remain comparatively difficult tasks compared with general industrial robots. Various imitation learning methods involving the transfer of human poses to a collaborative robot have been proposed. However, most of these methods depend heavily on deep learning-based human recognition algorithms that fail to recognize complicated human poses. To address this issue, we propose an automated/semi-automated vision-based teleoperation framework using human digital twin and a collaborative robot digital twin models. First, a human pose is recognized and reasoned to a human skeleton model using a convolution encoder-decoder architecture. Next, the developed human digital twin model is taught using the skeletons. As human and collaborative robots have different joints and rotation architectures, pose mapping is achieved using the proposed Bezier curve-based smooth approximation. Then, a real collaborative robot is controlled using the developed robot digital twin. Furthermore, the proposed framework works successfully using a human digital twin in the case of recognition failures of human poses. To verify the effectiveness of the proposed framework, transfers of several human poses to a real collaborative robot are tested and analyzed.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.postharvbio.2022.111956,Journal,Postharvest Biology and Technology,scopus,2022-08-01,sciencedirect,Image classification of root-trimmed garlic using multi-label and multi-class classification with deep convolutional neural network,https://api.elsevier.com/content/abstract/scopus_id/85129495630,"Garlic root trimming is one of the most tedious tasks in the postharvest processing of garlic since the evaluation of trimming results is done by mainly visual inspection for each label of a garlic bulb. Currently, multi-class classification using a deep convolutional neural network (CNN) can automate the evaluation process. However, it can handle only a single label per a garlic image and cannot be used for evaluation of multi-labels in conventional garlic root trimming practices. This study introduced a modified multi-class model and a multi-label model that utilized CNN to classify two labels of a garlic bulb after root trimming. The first label includes good, bad, untrimmed and scratched classes, and the second label consists of clean and muddy classes. The modified multi-class model achieved a classification accuracy of 82.9% while the multi-label gave a better classification performance of minor classes, with an overall accuracy of 95.2%. With the addition of a background image class, classification accuracies of both multi-class model and multi-label model increased to 91.8% and 98.0%, respectively. The background class significantly enhanced the classification performance of multi-label model when it was deployed to a garlic sorting robot. The utilization of data augmentation, dropout, transfer learning and fine-tuning was confirmed to improve model generalization and performance. Multi-label model is recommended for grading of garlic bulbs with multi-labels of after root trimming. The time to process an image was 0.021 s, which is suitable for a real-time garlic sorting and grading robot. The method shows a potential for development of a smart and fully autonomous robots in the postharvest processing for garlic production.",robotics,'robotics' AND 'machine learning' AND ('real-world' AND 'deploy')
