id,datePublished,description,journals,publisher,title,doi,downloadUrl,database,query_name,query_value
323445568,2020-05-28T09:32:45,"A data augmentation methodology is presented and applied to generate a large dataset of off-axis iris regions and train a low-complexity deep neural network. Although of low complexity the resulting network achieves a high level of accuracy in iris region segmentation for challenging off-axis eye-patches. Interestingly, this network is also shown to achieve high levels of performance for regular, frontal, segmentation of iris regions, comparing favourably with state-of-the-art techniques of significantly higher complexity. Due to its lower complexity this network is well suited for deployment in embedded applications such as augmented and mixed reality headsets. (C) 2019 Elsevier Ltd. All rights reserved.This research is funded under the SFI Strategic Partnership Program by Science Foundation
Ireland (SFI) and FotoNation Ltd. Project ID: 13/SPP/I2868 on Next Generation Imaging for
Smart- phone and Embedded Platforms.
Portions of the research in this paper use the CASIA-IrisV4 collected by the Chinese Academy
of Sciences’ Institute of Automation (CASIA).peer-reviewed2021-08-0","[{'title': 'Neural Networks', 'identifiers': ['1879-2782', 'issn:0893-6080', '0893-6080', 'issn:1879-2782']}]",'Elsevier BV',Deep neural network and data augmentation methodology for off-axis iris segmentation in wearable headsets,10.1016/j.neunet.2019.07.020,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
350944360,2020-10-01T00:00:00,"This study describes the development of a simple and easy-to-build portable automated bag valve mask (BVM) compression system, which, during acute shortages and supply chain disruptions can serve as a temporary emergency ventilator. The resuscitation system is based on the Arduino controller with a real-time operating system installed on a largely RepRap 3-D printable parametric component-based structure. The cost of the materials for the system is under $170, which makes it affordable for replication by makers around the world. The device provides a controlled breathing mode with tidal volumes from 100 to 800 mL, breathing rates from 5 to 40 breaths/minute, and inspiratory-to-expiratory ratio from 1:1 to 1:4. The system is designed for reliability and scalability of measurement circuits through the use of the serial peripheral interface and has the ability to connect additional hardware due to the object-oriented algorithmic approach. Experimental results after testing on an artificial lung for peak inspiratory pressure (PIP), respiratory rate (RR), positive end-expiratory pressure (PEEP), tidal volume, proximal pressure, and lung pressure demonstrate repeatability and accuracy exceeding human capabilities in BVM-based manual ventilation. Future work is necessary to further develop and test the system to make it acceptable for deployment outside of emergencies such as with COVID-19 pandemic in clinical environments, however, the nature of the design is such that desired features are relatively easy to add using protocols and parametric design files provided.Peer reviewe","[{'title': 'HardwareX', 'identifiers': ['issn:2468-0672', '2468-0672']}]",'Elsevier BV',Partially RepRapable automated open source bag valve mask-based ventilator,10.1016/j.ohx.2020.e00131,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
237183624,2020-01-01T00:00:00,"Parking vehicle is a daunting task and a common problem in many cities around the globe. The search for parking space leads to congestion, frustration and increased air pollution. Information of a vacant parking space would facilitate to reduce congestion and subsequent air pollution. Therefore, aim of the paper is to acquire vehicle occupancy in an open parking lot using deep learning. Thermal camera was used to collect the data during varying environmental conditions such as; sunny, dusk, dawn, dark and snowy conditions. Vehicle detection with deep learning was implemented where image classification and object localization were performed for multi object detection. The dataset consists of 527 images which were manually labelled as there were no pre-labelled thermal images available. Multiple deep learning networks such as Yolo, ReNet18, ResNet50 and GoogleNet with varying layers and architectures were evaluated on vehicle detection. Yolo, GoogleNet and ResNet18 are computationally efficient detectors which took less processing time while Resnet50 produced better detection results compared to other detectors. However, ResNet18 also produced minimal miss rates and is suitable for real time vehicle detection. The detected results were compared with a template of parking spaces and IoU value is used to identify vehicle occupancy information",,'Institution of Engineering and Technology (IET)',Deep learning-based vehicle occupancy detection in an open parking lot using thermal camera,10.1049/iet-its.2019.0468,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
322738580,2020-01-01T00:00:00,"An important research problem in artificial intelligence is how to organize multiple agents, and coordinate them, so that they can work together to solve problems. Coordinating agents in a multi-agent system can significantly affect the systems performance-the agents can, in many instances, be organized so that they can solve tasks more efficiently, and consequently benefit collectively and individually. Central to this endeavor is coalition formation-the process by which heterogeneous agents organize and form disjoint groups (coalitions). Coalition formation often involves finding a coalition structure (an exhaustive set of disjoint coalitions) that maximizes the systems potential performance (e.g., social welfare) through coalition structure generation. However, coalition structure generation typically has no notion of goals. In cooperative settings, where coordination of multiple coalitions is important, this may generate suboptimal teams for achieving and accomplishing the tasks and goals at hand. With this in mind, we consider simultaneously generating coalitions of agents and assigning the coalitions to independent alternatives (e.g., tasks/goals), and present an anytime algorithm for the simultaneous coalition structure generation and assignment problem. This combinatorial optimization problem hasmany real-world applications, including forming goal-oriented teams. To evaluate the presented algorithms performance, we present five methods for synthetic problem set generation, and benchmark the algorithm against the industry-grade solver CPLEXusing randomized data sets of varying distribution and complexity. To test its anytime-performance, we compare the quality of its interim solutions against those generated by a greedy algorithm and pure random search. Finally, we also apply the algorithm to solve the problem of assigning agents to regions in a major commercial strategy game, and show that it can be used in game-playing to coordinate smaller sets of agents in real-time.Funding Agencies|Linkoping University; Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation</p",,'Springer Science and Business Media LLC',An anytime algorithm for optimal simultaneous coalition structure generation and assignment,10.1007/s10458-020-09450-1,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
478500268,2021-12-01T00:00:00,"We employed a new approach in the field of social sciences or psychological aspects of teaching besides using a very common software package that is Statistical Package for the Social Sciences (SPSS). Artificial intelligence (AI) is a new domain that the methods of its data analysis could provide the researchers with new insights for their research studies and more innovative ways to analyze their data or verify the data with this method. Also, a very significant element in teaching is teacher motivation that is the trigger that pushes the teachers forward, depending on some internal and external factors. In the current study, seven research questions were designed to explore different aspects of teacher motivation, and they were analyzed via SPSS. The current study also compared the results by using an adaptive neuro-fuzzy inference system (ANFIS). Due to the similarity of ANFIS to humans' brain intelligence, the results of the current study could be similar to humans regarding what happens in reality. To do so, the researchers used the validated teacher motivation scale (TMS) and asked participants to fill the questionnaire, and analyzed the results. When the inputs were added to the ANFIS system, the model indicated a high accuracy and prediction capability. The findings also illustrated the importance of the tuning model parameters for the ANFIS method to build up the AI model with a high repeatability level. The differences between the results and conclusions are discussed in detail in the article",,,Ability of neural network cells in learning teacher motivation scale and prediction of motivation with fuzzy logic system,,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
482629844,2021-10-01T00:00:00,"Illegal logging and trafficking of endangered timber species has attracted the world's major organized crime groups, with associated deforestation and serious social damage. The inability of traditional methodologies and DNA analysis to readily perform wood identification to the species level for monitoring has stimulated research on chemotyping techniques. In this study, simple wood extraction of endangered rosewoods (Dalbergia spp), amenable to use in the field, produced colorful hues that were suggestive of wood species. A more definitive study was conducted to develop wood species identification procedures using high-resolution quadrupole time-of-flight (QTOF) mass spectrometers interfaced with liquid chromatography (LC), gas chromatography (GC), and Direct Analysis in Real Time (DART). The time consuming process of extracting “identifying” mass spectral ions for species identification, contentious due to their ubiquitous nature, was supplanted by application of machine learning processes. The unbiased software mining of raw data from multiple analytical batches, followed by statistical Random Forest analysis, enabled discrimination between both anatomically and chemotypically similar Dalbergia species. Statistical Principal Component Analysis (PCA) scatterplots with 95% confidence ellipses were visually compelling in showing a differential clustering of Dalbergia from other commonly traded and lookalike wood species. The information rich raw data from GC or LC analyses offered a corroborative, legally defensible, and widely available confirmatory tool in the identification of timber species","[{'title': 'Environmental Advances', 'identifiers': ['issn:2666-7657', '2666-7657']}]",'Elsevier BV',"A practical study of CITES wood species identification by untargeted DART/QTOF, GC/QTOF and LC/QTOF together with machine learning processes and statistical analysis",10.1016/j.envadv.2021.100089,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
389904876,2020-07-09T00:00:00,"The article presents a new concept of “Management of knowledge about virtual promotion” on the Internet. Usually a real produ ct or service is being divided into four components (product, price, promotion and place) in accordance with the theory of marketing. One of the components is a product promotion. But now this element is becoming a fully virtual tool. It is necessary to consider product promotion as an image or a copy of a real product in a virtual space that lives in parallel on the network. Therefore, the objective of the paper is the presentation of a new object of research based on the experience of more than thirty real projects performed in Ukraine, USA, Europe and Canada. We regard the promotion as a software product, which works according to principles of knowledge management and machine learning. It is proposed that virtual promotion is characterized by four views: customer or user, data, technology and marketing. Thus, the structure of virtual promotion business process was presented. It includes four steps: selection of hypertext sources, knowledge representation and extraction, semantic kernel building and quality criterion evaluation to stop the process. Based on the process structure the research tasks were identified. The central task is semantic kernel forming. Then the software architecture was developed. IT solution contains CRM system as accounting tool and Web site as an image of virtual promotion. CRM plays main role as a commander center. Here we form semantic kernel and then send it via marketing channels such as Web site, telegram or viber accounts. Another part of IT solution is Web service such as Bing API or Google API. They help us to build the kernel. Also the paper demonstrates the list of future tasks that should be solved and the example of real project of proposed approach.В статье представлена новая технология «управление знаниями о виртуальном продвижении» в среде Интернет. Обычно реальный продукт или услуга характеризуются четырьмя компонентами (продукт, цена, продвижение и место) в соответствии с теорией маркетинга. Одним из компонентов является продвижение товара. Однако сейчас этот элемент становится полностью виртуальным инструментом. Необходимо рассматривать продвижение продукта как отображение или копию реального продукта в виртуальном пространстве. Это отражение существует параллельно в сети и непосредственно влияет на реальный продукт или услугу. Поэтому целью статьи является презентация нового объекта исследования, основанного на опыте более тридцати реальных проектов, выполненных в Украине, США, Европе и Канаде. Мы рассматриваем продвижение как программный продукт, который работает в соответствии с принципами управления знаниями и машинного обучения. Предполагается, что виртуальное продвижение характеризуется четырьмя репрезентациями: клиент или пользова тель, данные, технологии и маркетинг. Далее была представлена структура бизнес–процесса виртуального продвижения. Он включает четыре этапа: выбор источников гипертекста, представление и извлечение знаний, построение семантического ядра и оценка критерия качества для остановки процесса. На основе структуры процесса были определены задачи исследования. Центральная задача – формирование семантического ядра. Затем была разработана архитектура программного обеспечения. ИТ решение содержит CRM систему в качестве инструмента учета и Веб сайт как образ виртуального продвижения. CRM играет главную роль командного центра. Здесь мы формируем семантическое ядро и затем отправляем его через маркетинговые каналы, такие как Веб сайт, Телеграмм каналы или профили в Вайбере. Другая часть ИТ решения – это Веб сервис, такой как Bing API или Google API. Они помогают нам построить ядро. Также в статье приведен список будущих задач, которые необходимо решить, и пример реальных проектов в рамках предложенного подхода.У статті представлена нова технологія «управління знаннями про віртуальне просування» в мережі Інтернет. Звичайно реальний продукт або послуга характеризуються наступними компонентами: продукт, ціна, просування і місце, згідно з теорією маркетингу. Одним з компонентів є просування товару. Однак зараз цей елемент стає повністю віртуальним інструментом. Необхідно розглядати просування продукту як відображення або копію реального продукту у віртуальному просторі. Це відображення існує паралельно у мережі та безпосередньо впливає на реальний продукт чи послугу. Тому ціллю статті є презентація нового об’єкта дослідження, поява якого основана на досвіді виконання більш ніж тридцяти реальних проектів в Україні, США, Європі та Канаді. Ми працюємо відповідно до принципів управління знаннями і машинного навчання. Передбачається, що віртуальне просування характеризується чотирма репрезентаціями: клієнт або користувач, дані, технологія та маркетинг. Далі була представлена структура бізнес–процесу віртуального просування. Він включає чотири етапи: вибір джерел гіпертексту, подання та витяг знань, побудова семантичного ядра і оцінка критерію якості для зупинки процесу. На основі структури процесу були визначені задачі дослідження. Центральна задача – формування семантичного ядра. Потім була розроблена архітектура програмного забезпечення. ІТ рішення містить CRM систему в якості інструменту обліку та Веб сайт як образ віртуального просування. CRM грає роль командного центру. Тут формується семантичне ядро і потім відправляється через маркетингові канали, такі як Веб сайт, Телеграм канали або профілі в Вайбері. Інша частина ІТ рішення – це Веб сервіс, такий як Bing API або Google API. Вони допомагають нам побудувати ядро. Також в статті наведено список майбутніх завдань, які необхідно вирішити, і приклад реальних проектів в рамках запропонованого підходу",,"NTU ""KhPI""",ТЕХНОЛОГІЯ УПРАВЛІННЯ ЗНАННЯМИ ПРО ВІРТУАЛЬНЕ ПРОСУВАННЯ,,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
478501595,2020-01-01T00:00:00,"The paper concerns the analysis of the residents' attitude towards the construction of the chord ring in Moscow, as well as the identification of digital conflictogenic zones and predictive analytics. The material for the study was network data collected during the period from 1.07.2019 00:00 to 31.12.2019 23:59. To interpret the data, neural network text analysis, analysis of lexical associations, content analysis and sentiment analysis were used. As a result, digital conflictogenic zones were identified; users' perception of each facility was characterized; the risks of protests in the virtual and real space during the project implementation were assessed",,,Communicative behavior and speech perception of social media actors: A neural network approach,,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
491329314,2021-08-11T19:44:40,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying
and mining video event patterns. This paper details GNOSIS, an
event processing platform to perform near-real-time video event
detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices
and can be deployed at multiple nodes. GNOSIS uses a declarative
query-driven approach where users can write customize queries
for spatiotemporal video event reasoning. The system converts the
incoming video streams into a continuous evolving graph stream
using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS
can perform both stateful and stateless video event matching. To
improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy
efficiency, and content-driven windows. This paper demonstrates
the Occupational Health and Safety query use cases to show the
GNOSIS efficacyThis work was supported with the financial support of the Science
Foundation Ireland (SFI) grant SFI/12/RC/2289_P2.peer-reviewe","[{'title': 'Proceedings of the VLDB Endowment', 'identifiers': ['issn:2150-8097', '2150-8097']}]",'VLDB Endowment',Query-driven video event processing for the internet of multimedia things,10.14778/3476311.3476360,https://core.ac.uk/download/491329314.pdf,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
289486572,2020-03-01T01:29:56,"© 2016, Springer Science+Business Media New York.In this paper, we present the next step in our approach to neurobiologically plausible implementation of emotional reactions and behaviors for real-time autonomous robotic systems. The working metaphor we use is the “day” and the “night” phases of mammalian life. During the “day’ phase” a robotic system stores the inbound information and is controlled by a light-weight rule-based system in real time. In contrast to that, during the “night phase” information that has been stored is transferred to a supercomputing system to update the realistic neural network: emotional and behavioral strategies","[{'title': 'BioNanoScience', 'identifiers': ['issn:2191-1630', '2191-1630']}]",,Neuromorphic Robot Dream,,,core,science,'science' AND 'machine learning' AND ('real-world' AND 'deploy')
