doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/ICIBT52874.2022.9807724,A Comparative Study of Various Intrusion Detections In Smart Cities Using Machine Learning,IEEE,Conferences,"Smart Cities demand highly scalable and connected technologies to operate at multiple distributed locations. Despite the enormous potential it brings to citizens' lives, security as well as privacy concerns must still be addressed. A huge volume of data is formed as a result of technological advancements, and machine learning techniques are used to understand useful patterns. Recent advances in ML methods make it possible to handle the huge amount of complex data, enable fast processing, robustness by decentralization, and scalability of real-world systems. In recent decades, cyber security has appeared as an important consideration throughout scientific investigation. According to the World Internet Statistics Report, the Internet grew by 1,114 % from 2000 to 2019, with more than 2 quintillion bytes of data formed daily basis. It also demonstrates that rate of data advancement out of multiple sources is incredibly quick, while hacking tools as well as techniques are also developing at a rapid pace. Machine Learning techniques identify network intrusions and threats by forecasting hazard utilizing data training. The demand for the internet is growing by the day, raising concerns about network security. By blocking malicious things in the network system, an Intrusion Detection System (IDS) can furnish solutions to several rapidly growing network attacks (e.g., DDoS attack, Ransom ware attack, Botnet attack, and so on). This systematic review summarizes latest framework studies in sensing DDoS threats and investigates a comprehensive evaluation of numerous Ml techniques employed throughout Smart City applications. Furthermore, the goal of this work is to categorize the intrusions utilizing ML algorithms.",https://ieeexplore.ieee.org/document/9807724/,2022 International Conference on IoT and Blockchain Technology (ICIBT),6-8 May 2022,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/SBESC49506.2019.9046078,A Linked Data-Based Semantic Information Model for Smart Cities,IEEE,Conferences,"Smart cities typically involve a myriad of inter-connected systems intended to promote better management of urban and natural resources of cities, thereby contributing to the improve the quality of life of citizens. The heterogeneity of domains, systems, data, and relationships among them requires defining a data model able to express information in a flexible, extensible way while promoting interoperability between systems and applications. Furthermore, smart city systems can benefit from georeferenced information to allow for more effective actions over the real-world urban space. Aiming at tackling challenges related to data heterogeneity while considering georeferenced information, this work introduces LGeoSIM, a semantic-based information model for smart cities as means of fostering interoperability and powerful automated reasoning upon unambiguous information. LGeoSIM relies on the recent NGSI-LD Specification, thereby encompassing the principles of Linked Data to allow semantically defining information through ontologies and their interconnection. This paper also presents an implementation of LGeoSIM within Smart Geo Layers, a geographic-layered data middleware platform conceived to integrate data provided by heterogeneous sources in a smart city environment.",https://ieeexplore.ieee.org/document/9046078/,2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC),19-22 Nov. 2019,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/MSM49833.2020.9201644,A Preliminary Investigation of an Autonomous Vehicle Validation Infrastructure for Smart Cities,IEEE,Conferences,"The research and development of autonomous vehicle has entered the era of commercialization. While the vehicle self-driving technology has been growing rapidly, the validation for autonomous vehicle in terms of driving model, human factor model and traffic model is still maturing. Most of previous infrastructures are mainly focused on validation of those three models separately resorting either on real driving test at physical infrastructure or software simulation in virtualized infrastructure. However, neither the real driving test can cover all possible scenarios of autonomous driving and human factors, nor the virtualized software simulation can generate a feasible model for practical on/off-road driving. Furthermore, future autonomous transport in smart cities requires comprehensive validation. In order for autonomous vehicles to meet the autonomous transport in such complex traffic environment, an integrated testing and simulation infrastructure has been built targeting the systematic validation for autonomous vehicles: the Multi-User Environment for Autonomous Vehicle Innovation (MUEAVI). A preliminary investigation of a new autonomous vehicle validation infrastructure that can serve a multitude of research projects for smart city is presented.",https://ieeexplore.ieee.org/document/9201644/,2020 International Conference Mechatronic Systems and Materials (MSM),1-3 July 2020,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ISC2.2017.8090817,A predictive policing application to support patrol planning in smart cities,IEEE,Conferences,"Recently, patrol planning and other predictive policing strategies were improved for Smart Cities applications. In such public safety context, some police departments have been recording crime events in their databases to compose better strategies to understand and predict crime incidence. This work presents the ROTA-Analytics, a web-based application which aims to provide crime incidence forecasting as outputs. This crime incident forecasting helps patrol supervisors to elaborate the list of predefined locations (points) and staying time at which each police vehicle must patrol. ROTA-Analytics supports multiple machine and statistical learning methods selection to create an environment of crime prediction in different areas of the city. All the phases from time series creation to the automatic machine selection are discussed and exemplified with real data from Natal City in Brazil. Finally, we evaluated our architecture by using two regression strategies for different spatial granularity levels.",https://ieeexplore.ieee.org/document/8090817/,2017 International Smart Cities Conference (ISC2),14-17 Sept. 2017,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/HONET.2019.8907997,AR-IoMT Mental Health Rehabilitation Applications for Smart Cities,IEEE,Conferences,"Augmented Reality (AR) applications provide major opportunities for healthcare. Mental health rehabilitation in particular is an area that stands to gain from innovations in this field. Debilitating medical conditions related to traumatic brain injuries, aging, and drug abuse, can take advantage from the benefits that these applications provide. Coupled with IoMT (Internet of Medical Things) sensors and machine learning, effective system implementations that predict mental rehabilitation outcomes can be built. This can help in administering better treatment protocols. The collective use of these technologies for therapeutic approaches to alter patient behaviour at a physiological level falls in the emerging field of Digital Therapeutics (DT). In this paper, the current state of AR for mental health rehabilitation is described and used to motivate the implementation of a proof of concept mental DT rehabilitation system developed by us. Similar AR-IoMT systems can reduce inpatient counts in smart cities where an increase in aging populations is already a concern, and existing healthcare resources may be clogged up due to minor inpatient health checkups. In addition, the paper discusses the deployment challenges of the implemented system, which include the lack and need thereof of a standardized protocol for IoMT data collection and analysis for cross interoperability across different healthcare providers and vendors.",https://ieeexplore.ieee.org/document/8907997/,2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT),6-9 Oct. 2019,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/icABCD49160.2020.9183832,Adaptation of Smart Cities in the South African Internet of Things Context,IEEE,Conferences,"Towards the end of 2030, the global population is estimated to be around 8.5 billion. Half of the human population live today in cities and these cities continues to grow exponential growth as people migrate to urban areas in search of a better life. As a result, urban resources are being stretched to their limits to accommodate the population growth. Smart city is a paradigm to manage the difficulty of urban living, upsurge competence, decrease expenditures and advance the worth of its inhabitant's daily life. Countries across the world are adapting to smart cities as it becomes highly critical to explore innovative solutions available to make cities more efficient and smarter. South Africa (SA) needs to leapfrog in terms of the competition through smart cities. SA cities have unique challenges stemming from years of apartheid and neglect of infrastructure. When compared to established cities such as Amsterdam, Barcelona, Copenhagen, London and New York, SA cities are lagging far behind the competitive curve. However, can be mitigated as SA cities through innovative adoption of smart cities can become globally competitive. Furthermore, through the implementation of advanced technologies and lessons learned from established cities that the anticipated growth need not be incremental, but rather will be exponential in many aspects. In light of the above facts, this paper looks into the adaptation of smart cities from a SA perspective by leveraging on the Internet of Things (IoT) technologies for different feasible use cases. The smart city initiatives in SA are laid out and the priority use cases are stream lined in lieu of the national priorities as stipulated in the National Development Plan (NDP). A smart city framework for SA is further proposed and the vitally important use cases in the SA context are identified and elaborated. The use cases are then evaluated based on the national Key Performance Indicators (KPIs). The scope for future directions and conclusions are sketched towards the end, with an optimism that the current work will be an eye-opener and adaptable to other developing countries.",https://ieeexplore.ieee.org/document/9183832/,"2020 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",6-7 Aug. 2020,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/BMSB53066.2021.9547185,An Optimal and Lightweight Convolutional Neural Network for Performance Evaluation in Smart Cities based on CAPTCHA Solving,IEEE,Conferences,"Multimedia Internet of Things (IoT) devices, especially, the smartphones are embedded with sensors including Global Positioning System (GPS), barometer, microphone, accelerometer, etc. These sensors working together, present a fairly complete picture of the citizens' daily activities, with implications for their privacy. With the internet, Citizens in Smart Cities are able to perform their daily life activities online with their connected electronic devices. But, unfortunately, computer hackers tend to write automated malicious applications to attack websites on which these citizens perform their activities. These security threats sometime put their private information at risk. In order to prevent these security threats on websites, Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHAs) are generated, as a form of security mechanism to protect the citizens' private information. But with the advancement of deep learning, text-based CAPTCHAs can sometimes be vulnerable. As a result, it is essential to conduct performance evaluation on the CAPTCHAs that are generated before they are deployed on multimedia web applications. Therefore, this work proposed an optimal and light-weight Convolutional Neural Network (CNN) to solve both numerical and alpha-numerical complex text-based CAPTCHAs simultaneously. The accuracy of the proposed CNN model has been accelerated based on Cyclical Learning Rates (CLRs) policy. The proposed CLR-CNN model achieved a high accuracy to solve both numerical and alpha-numerical text-based CAPTCHAs of 99.87% and 99.66%, respectively. In real-time, we observed that the speed of the model has increased, the model is lightweight, stable, and flexible as compared to other CAPTCHA solving techniques. The result of this current work will increase awareness and will assist multimedia security Researchers to continue and develop more robust text-based CAPTCHAs with their security mechanisms capable of protecting the private information of citizens in Smart Cities.",https://ieeexplore.ieee.org/document/9547185/,2021 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),4-6 Aug. 2021,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICEARS53579.2022.9752084,Disease Transmission Prevention at Public Toilets with IoT-Enabled Devices in Smart Cities,IEEE,Conferences,"In the present ingenious world, every country is accelerating in the process of developing smart cities. As a part of developing smart cities, public toilets have been entrenched at every nook and corner of the country. Yet, the hygiene and cleanliness in our country are at gunpoint due to the improper maintenance of public toilets. Because of this reason, though there are many public toilets available, people are not ready to use them with the fear of getting infected or falling sick after using the public toilet that is not properly maintained. This paper proposes a new idea with the help of advancing technologies such as the Internet of Things (IoT). They are smart testing toolkits that can be installed in public toilets so that people can safely use them without any fear. It also contributes to converting the public toilets from disease transmitters to smart toilets that contribute to the health and well-being of the nation. Since prevention is better than cure, by implementing the proposed idea the transmission of diseases that are caused using ill-maintained public toilets can be prevented.",https://ieeexplore.ieee.org/document/9752084/,2022 International Conference on Electronics and Renewable Systems (ICEARS),16-18 March 2022,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/MIUCC52538.2021.9447632,Edge/Fog-based Architecture Design for Intelligent Surveillance Systems in Smart Cities: A Software Perspective,IEEE,Conferences,"Surveillance systems are critical for the growth of smart cities. These systems can be thought of as the cities&#x2019; vision organs. It is anticipated that smart cities will produce a massive amount of data. Thus, to ensure the safety of its people, it is essential to conduct an efficient and real-time analysis of these data in order to receive timely responses in the event of catastrophic incidents. As a result, the process of transferring this vast data to the cloud for processing is relatively slow. In this paper, we present the software perspective to design and implement EFISS, a multilayer computing-based architecture for an intelligent, resourceefficient, and real-time surveillance system for smart cities. The framework, which is comprised of edge-fog computational layers, would help in the prevention of crime and the prediction of criminal incidents in smart cities. The EFISS can identify and validate crimes in real-time, using artificial intelligence (AI) and an event-driven method to transmit crime data to protective services and police units, allowing rapid intervention while conserving resources.",https://ieeexplore.ieee.org/document/9447632/,"2021 International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",26-27 May 2021,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1109/ICSCDS53736.2022.9760987,Futuristic IoT-Enabled Toilet Maintenance System to Avoid Disease Transmission at Public Toilets in Smart Cities,IEEE,Conferences,"In the present ingenious world, every country is accelerating in the process of developing smart cities. As a part of developing smart cities, public toilets have been entrenched at every nook and corner of the country. Yet, the hygiene and cleanliness in our country are at gunpoint due to the improper maintenance of public toilets. Because of this reason, though there are many public toilets available, people are not ready to use them with the fear of getting infected or falling sick after using the public toilet that is not properly maintained This paper proposes a new idea with the help of advancing technologies such as the Internet of Things (IoT). They are smart testing toolkits that can be installed in public toilets so that people can safely use them without any fear. It also contributes to converting the public toilets from disease transmitters to smart toilets that contribute to the health and well-being of the nation. As prevention is better than cure, the implementation of proposed idea can prevent the transmission of diseases that are caused by using the ill-maintained public toilets.",https://ieeexplore.ieee.org/document/9760987/,2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),7-9 April 2022,ieeexplore,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
