id,type,publication,publisher,publication_date,database,title,url,abstract,query_name,query_value
10.1016/j.knosys.2022.109414,Journal,Knowledge-Based Systems,scopus,2022-09-27,sciencedirect,A fuzzy Einstein-based decision support system for public transportation management at times of pandemic,https://api.elsevier.com/content/abstract/scopus_id/85134799911,"Optimal decision-making has become increasingly more difficult due to their inherent complexity exacerbated by uncertain and rapidly changing environmental conditions in which they are defined. Hence, with the aim of improving the uncertainty management and facilitating the weighting criteria, this paper introduces an improved fuzzy Einstein Combined Compromise Solution (CoCoSo) methodology. Such a CoCoSo model improves previous CoCoSo proposals by using nonlinear fuzzy weighted Einstein functions for defining weighted sequences. In addition, it proposes a novel algorithm for determining the criteria weights based on the fuzzy logarithmic function, therefore it allows decision-makers a better perception of the relationship between the criteria, as it considers the relationships between adjacent criteria; high consistency of expert comparisons; and enables the definition of weighting coefficients of a larger set of criteria, without the need to cluster (group) the criteria. Nonlinear fuzzy Einstein functions implemented in the fuzzy Einstein CoCoSo methodology enable the processing of complex and uncertain information. Such characteristics contribute to the rational definition of compromise strategies and enable objective reasoning when solving real-world decision problems. The efficiency, effectiveness, and robustness of the proposed fuzzy Einstein CoCoSo model are illustrated by a case study to create a conceptual framework to evaluate and rank the prioritization of public transportation management at the time of the COVID-19 pandemic. The results reveal its good performance in determining the transportation management systems strategy.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.eswa.2022.117057,Journal,Expert Systems with Applications,scopus,2022-09-15,sciencedirect,Multi-attention graph neural networks for city-wide bus travel time estimation using limited data,https://api.elsevier.com/content/abstract/scopus_id/85129071250,"An important factor that discourages patrons from using bus systems is the long and uncertain waiting times. Therefore, accurate bus travel time prediction is important to improve the serviceability of bus transport systems. Many researchers have proposed machine learning and deep learning-based models for bus travel time predictions. However, most of the existing models focus on predicting the travel times using complete data. Moreover, with the dramatically increasing population, bus systems also expand and upgrade their routes to provide improved coverage. Consequently, predicting the routes with sparse or no historical records becomes vital in this situation, and has not been well addressed in the literature. In particular, the challenges involved in this prediction include discovering routes with sparse records, discovering newly deployed routes, and finding the roads that need new routes. In order to address these, we propose a Multi-Attention Graph neural network for city-wide bus travel time estimation (TTE), especially for the routes with limited data, called MAGTTE. In particular, we first represent the bus network using a novel multi-view graph, which can automatically extract the stations and paths as nodes and weighted edges of bus graphs, respectively. Using inductive learning on dynamic graphs, we propose a multi-attention graph neural network with novel masks to capture the global and local spatial dependencies using limited data, and formulate a framework with LSTM and transformer layers to learn short and long-term temporal dependencies. Evaluation of our model on a real-world bus dataset from Xi’an, China demonstrates that the proposed model is superior compared to nine baselines, and robust to highly sparse data.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.comnet.2022.109156,Journal,Computer Networks,scopus,2022-09-04,sciencedirect,Forecasting fine-grained city-scale cellular traffic with sparse crowdsourced measurements,https://api.elsevier.com/content/abstract/scopus_id/85134563079,"With the rapid development of wireless technology and the edge computing applications, an increasing number of 4G/5G infrastructure are densely deployed to meet the booming cellular traffic demands. Monitoring and forecasting urban cellular traffic is fundamental for urban planning, network resources allocation, traffic engineering, etc. In this paper, we address the crowdsourcing-based urban cellular traffic prediction problem, i.e., to predict the city-scale fine-grained cellular traffic patterns based on partial user-generated measurements. We propose a novel deep generative adversarial network (GAN) model called CrowdGAN to solve the problem. Specifically, CrowdGAN employs a convolutional Long Short-Term Memory (LSTM) network to extract spatio-temporal features from sparse traffic maps, and adopts a novel design of co-training a generator and a discriminator under the supervision of an accuracy assurance network to generate a high-resolution cellular traffic map for prediction. We implement the proposed CrowdGAN in TensorFlow and evaluate its performance using two real-world cellular traffic datasets. Extensive experiments show that CrowdGAN significantly outperforms the baselines on a variety of performance metrics, and achieves at least 47% reduction in root-mean-squared error compared to the state-of-the-art.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.sysarc.2022.102664,Journal,Journal of Systems Architecture,scopus,2022-09-01,sciencedirect,Edge intelligence in motion: Mobility-aware dynamic DNN inference service migration with downtime in mobile edge computing,https://api.elsevier.com/content/abstract/scopus_id/85134830747,"Edge intelligence (EI) becomes a trend to push the deep learning frontiers to the network edge, so that deep neural networks (DNNs) applications can be well leveraged at resource-constrained mobile devices with benefits of edge computing. Due to the high user mobility among scattered edge servers in many scenarios such as internet of vehicular applications, dynamic service migration is desired to maintain a reliable and efficient quality of service (QoS). However, inevitable service downtime incurred by service migration would largely degrade the real-time performance of delay-sensitive DNN inference services. To address this issue, we advocate a user-centric management for dynamic DNN inference service migration with flexible multi-exit mechanism, aiming at maximizing overall user utility (e.g., DNN model inference accuracy) with various service downtime. We first leverage dynamic programming to propose an optimal offline migration and exit point selection strategy (OMEPS) algorithm when complete future information of user behaviors is available. Amenable to a more practical application domain without complete future information, we incorporate the OMEPS algorithm into a model predictive control (MPC) framework, then construct a mobility-aware service migration and DNN exit point selection (MOMEPS) algorithm, which improves the long-term user utility within limited predictive future information. However, heavy computation overheads of MOMEPS algorithm impose burdens on mobile devices, thus we further advocate a cost-efficient algorithm, named smart-MOMEPS, which introduces a smart migration judgement based on Neural Networks to control the implementation of (MOMEPS) algorithm by wisely estimating whether the DNN service should be migrated or not. Extensive trace-driven simulation results demonstrate the superior performance of our smart-MOMEPS algorithm for achieving significant overall utility improvements with low computation overheads compared with other online algorithms.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.trc.2022.103790,Journal,Transportation Research Part C: Emerging Technologies,scopus,2022-09-01,sciencedirect,Effectiveness of trip planner data in predicting short-term bus ridership,https://api.elsevier.com/content/abstract/scopus_id/85134596053,"Predictions on Public Transport (PT) ridership are beneficial as they allow for sufficient and cost-efficient deployment of vehicles. On an operational level, this relates to short-term predictions with lead times of less than an hour. Where conventional data sources on ridership, such as Automatic Fare Collection (AFC) data, may have longer lag times and contain no travel intentions, in contrast, trip planner data are often available in (near) real-time and are used before traveling. In this paper, we investigate how such data from a trip planner app can be utilized for short-term bus ridership predictions. This is combined with AFC data (in this case smart card data) to construct a ground truth on actual ridership. Using informative variables from the trip planner dataset through correlation analysis, we develop 3 supervised Machine Learning (ML) models, including k-nearest neighbors, random forest, and gradient boosting. The best-performing model relies on random forest regression with trip planner requests. Compared with the baseline model that depends on the weekly trend, it reduces the mean absolute error by approximately half. Moreover, using the same model with and without trip planner data, we prove the usefulness of trip planner data by an improved mean absolute error of 8.9% and 21.7% and an increased coefficient of determination from a 5-fold cross-validation of 7.8% and 18.5% for two case study lines, respectively. Lastly, we show that this model performance is maintained even for the trip planner requests with prediction lead times up to 30 min ahead, and for different periods of the day. We expect our methodology to be useful for PT operators to elevate their daily operations and level of service as well as for trip planner companies to facilitate passenger replanning, in particular during peak hours.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.techfore.2022.121778,Journal,Technological Forecasting and Social Change,scopus,2022-09-01,sciencedirect,A metaverse assessment model for sustainable transportation using ordinal priority approach and Aczel-Alsina norms,https://api.elsevier.com/content/abstract/scopus_id/85132442768,"Metaverse comes from the meta-universe, and it is the integration of physical and digital space into a virtual universe. Metaverse technologies will change the transportation system as we know it. Preparations for the transition of the transportation systems into the world of metaverse are underway. This study considers four alternative metaverses: auto-driving algorithm testing for training autonomous driving artificial intelligence, public transportation operation and safety, traffic operation, and sharing economy applications to obtain sustainable transportation. These alternatives are evaluated on thirteen sub-criteria, grouped under four main aspects: efficiency, operation, social and health, and legislation and regulation. A novel Rough Aczel–Alsa (RAA) function and the Ordinal Priority Approach (OPA) method are used in the assessment model. We also present a case study to demonstrate the applicability and exhibit the efficacy of the assessment framework in prioritizing the metaverse implementation alternatives.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.future.2022.03.039,Journal,Future Generation Computer Systems,scopus,2022-09-01,sciencedirect,Towards automatic model specialization for edge video analytics,https://api.elsevier.com/content/abstract/scopus_id/85129734933,"The number of cameras deployed to the edge of the network increases by the day, while emerging use cases, such as smart cities or autonomous driving, also grow to expect images to be analyzed in real-time by increasingly accurate and complex neural networks. Unfortunately, state-of-the-art accuracy comes at a computational cost rarely available in the edge cloud. At the same time, due to strict latency constraints and the vast amount of bandwidth edge cameras generate, we can no longer rely on offloading the task to a centralized cloud. Consequently, there is a need for a meeting point between the resource-constrained edge cloud and accurate real-time video analytics. If state-of-the-art models are too expensive to run on the edge, and lightweight models are not accurate enough for the use cases in the edge, one solution is to demand less from the lightweight model and specialize it in a narrower scope of the problem, a technique known as model specialization. By specializing a model to the context of a single camera, we can boost its accuracy while keeping its computational cost constant. However, this also involves one training per camera, which quickly becomes unfeasible unless the entire process is fully automated. In this paper, we present and evaluate COVA (Contextually Optimized Video Analytics), a framework to assist in the automatic specialization of models for video analytics in edge cloud cameras. COVA aims to automatically improve the accuracy of lightweight models by specializing them to the context to which they will be deployed. Moreover, we discuss and analyze each step involved in the process to understand the different trade-offs that each one entails. Using COVA, we demonstrate that the whole pipeline can be effectively automated by leveraging large neural networks used as teachers whose predictions are used to train and specialize lightweight neural networks. Results show that COVA can automatically improve pre-trained models by an average of 21% mAP on the different scenes of the VIRAT dataset.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.jbi.2022.104132,Journal,Journal of Biomedical Informatics,scopus,2022-08-01,sciencedirect,"A deep learning approach for Spatio-Temporal forecasting of new cases and new hospital admissions of COVID-19 spread in Reggio Emilia, Northern Italy",https://api.elsevier.com/content/abstract/scopus_id/85134302793,"Background
                  Since February 2020, the COVID-19 epidemic has rapidly spread throughout Italy. Some studies showed an association of environmental factors, such as PM10, PM2.5, NO2, temperature, relative humidity, wind speed, solar radiation and mobility with the spread of the epidemic.
                  In this work, we aimed to predict via Deep Learning the real-time transmission of SARS-CoV-2 in the province of Reggio Emilia, Northern Italy, in a grid with a small resolution (12 km × 12 km), including satellite information.
               
                  Methods
                  We focused on the Province of Reggio Emilia, which was severely hit by the first wave of the epidemic. The outcomes included new SARS-CoV-2 infections and COVID-19 hospital admissions. Pollution, meteorological and mobility data were analyzed. The spatial simulation domain included the Province of Reggio Emilia in a grid of 40 cells of (12 km)2. We implemented a ConvLSTM, which is a spatio-temporal deep learning approach, to perform a 7-day moving average to forecast the 7th day after. We used as training and validation set the new daily infections and hospital admissions from August 2020 to March 2021. Finally, we assessed the models in terms of Mean Absolute Error (MAE) compared with Mean Observed Value (MOV) and Root Mean Squared Error (RMSE) on data from April to September 2021. We tested the performance of different combinations of input variables to find the best forecast model.
               
                  Findings
                  Daily new cases of infection, mobility and wind speed resulted in being strongly predictive of new COVID-19 hospital admissions (MAE = 2.72 in the Province of Reggio Emilia; MAE = 0.62 in Reggio Emilia city), whereas daily new cases, mobility, solar radiation and PM2.5 turned out to be the best predictors to forecast new infections, with appropriate time lags.
               
                  Interpretation
                  ConvLSTM achieved good performances in forecasting new SARS-CoV-2 infections and new COVID-19 hospital admissions. The spatio-temporal representation allows borrowing strength from data neighboring to forecast at the level of the square cell (12 km)2, getting accurate predictions also at the county level, which is paramount to help optimise the real-time allocation of health care resources during an epidemic emergency.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.tra.2022.05.024,Journal,Transportation Research Part A: Policy and Practice,scopus,2022-08-01,sciencedirect,A new curb lane monitoring and illegal parking impact estimation approach based on queueing theory and computer vision for cameras with low resolution and low frame rate,https://api.elsevier.com/content/abstract/scopus_id/85131413326,"The rapid development of the internet of things (IoT), sensing technologies, and machine learning and deep learning techniques, along with the growing variety and volume of data, have yielded new perspectives on how novel technologies can be applied to obtain new sources of curb data to achieve cost-effective curb management. This study presents a new computer vision–based data acquisition and analytics approach for curb lane monitoring and illegal parking impact assessment. The proposed “rank, detect, and quantify impacts” system consists of three main modules: 1) hotspot identification based on rankings generated by local spatial autocorrelation analysis, 2) curb lane occupancy estimation leveraging traffic cameras and computer vision techniques, and 3) illegal parking traffic impact quantification using an M/M/∞ queueing model. To demonstrate the feasibility and validity of the proposed approach, it was tested and empirically validated using field data collected from three case study sites in Midtown Manhattan, New York City (NYC)—one of the most complex urban transportation networks in the world. Different types of curb lane occupancy, including parking and bus lanes, and different frequencies of illegal parking (high, moderate, low) were investigated. The proposed method was proven to be effective even for low resolution and discontinuous video feeds obtained from publicly available traffic cameras. All three case study sites achieved good detection accuracy (86% to 96%) for parking and bus lane occupancy, and acceptable precision and recall in detecting illegal parking events. The queueing model was also proven to effectively quantify link travel time with the appearance of illegal parking events of different frequencies. The proposed “rank, detect, and quantify impacts” system is friendly for large-scale real-time implementation and is highly scalable to help evaluate the impact of other modes such as bike or mobility-on-demand (MOD) services. It can also be easily adopted by other cities to provide transportation agencies with effective data collection and innovative curb space management strategies.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
10.1016/j.apenergy.2022.119274,Journal,Applied Energy,scopus,2022-08-01,sciencedirect,Optimal deployment of distributed rooftop photovoltaic systems and batteries for achieving net-zero energy of electric bus transportation in high-density cities,https://api.elsevier.com/content/abstract/scopus_id/85130809324,"Using rooftop solar photovoltaics (PV) and batteries together to power electric buses is considered a novel and feasible approach to reducing carbon emissions and tackling street-level air pollution in high-density cities like Hong Kong. However, associated optimal deployment is highly challenging due to the involved high-dimensional system planning, non-linear component sizing, and complex solar potential accurate characterization. To address this challenge, this study proposed a strategy to minimize the payback period of the deployed rooftop PV and batteries for achieving net-zero energy of electric bus transportation by taking associated grid impacts into consideration. In this strategy, a genetic algorithm-integer linear programming (GA-ILP) approach was developed to solve the high-dimensional rooftop PV planning problem and the non-linear PV and battery sizing problem. Our 3D-GIS (geographic information system) and DL (deep learning) integrated approach was used to attain accurate spatiotemporal rooftop solar power generation profiles. To verify the proposed strategy, a case study covering 5 bus terminuses with 28 bus routes and a total of 1,224 building rooftops surrounding the terminuses was conducted in a real region of Hong Kong. The effectiveness of the developed strategy was verified by comparing the optimized deployment with 150 million Monte-Carlo-generated solutions. The optimized deployment achieved the shortest payback period of 3.98 years by effectively tackling design issues such as battery oversizing, PV misallocation, and battery misallocation. To meet the increasing requirement on peak export power reduction (representing the grid impact constraint in the study), the proposed strategy can find a cost-effective balance between shifting PVs from higher-density solar potential terminuses to lower ones and increasing battery capacity. The proposed strategy can be adopted in practice to facilitate the development of cost-effective and grid-friendly community-solar-powered electric bus networks in high-density cities.",smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
