@_fa,link,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:isbn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,dc:creator,prism:doi,pii,affiliation,article-number,freetoread,freetoreadLabel,prism:issueIdentifier,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85135088721', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85135088721?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135088721&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135088721&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85135088721,SCOPUS_ID:85135088721,2-s2.0-85135088721,"1st International Conference on Microelectronics, Communication Systems, Machine Learning, and Internet of Things, MCMI 2020",Lecture Notes in Electrical Engineering,18761100,18761119,"[{'@_fa': 'true', '$': '9789811919053'}]",887,,2023-01-01,2023,0,Book Series,cr,Conference Review,19700186822,0,False,,,,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134799911', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134799911?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134799911&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134799911&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0950705122007079'}",https://api.elsevier.com/content/abstract/scopus_id/85134799911,SCOPUS_ID:85134799911,2-s2.0-85134799911,A fuzzy Einstein-based decision support system for public transportation management at times of pandemic,Knowledge-Based Systems,09507051,,,252,,2022-09-27,27 September 2022,0,Journal,ar,Article,24772,1,True,Deveci M.,10.1016/j.knosys.2022.109414,S0950705122007079,"[{'@_fa': 'true', 'affilname': 'Milli Savunma Üniversitesi', 'affiliation-city': 'Istanbul', 'affiliation-country': 'Turkey'}, {'@_fa': 'true', 'affilname': 'Imperial College London', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}]",109414,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129071250', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129071250?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129071250&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129071250&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0957417422004717'}",https://api.elsevier.com/content/abstract/scopus_id/85129071250,SCOPUS_ID:85129071250,2-s2.0-85129071250,Multi-attention graph neural networks for city-wide bus travel time estimation using limited data,Expert Systems with Applications,09574174,,,202,,2022-09-15,15 September 2022,0,Journal,ar,Article,24201,0,False,Ma J.,10.1016/j.eswa.2022.117057,S0957417422004717,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",117057,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134563079', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134563079?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134563079&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134563079&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1389128622002663'}",https://api.elsevier.com/content/abstract/scopus_id/85134563079,SCOPUS_ID:85134563079,2-s2.0-85134563079,Forecasting fine-grained city-scale cellular traffic with sparse crowdsourced measurements,Computer Networks,13891286,,,214,,2022-09-04,4 September 2022,0,Journal,ar,Article,26811,0,False,Duan J.H.,10.1016/j.comnet.2022.109156,S1389128622002663,"[{'@_fa': 'true', 'affilname': 'Nanjing University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",109156,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134830747', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134830747?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134830747&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134830747&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1383762122001771'}",https://api.elsevier.com/content/abstract/scopus_id/85134830747,SCOPUS_ID:85134830747,2-s2.0-85134830747,Edge intelligence in motion: Mobility-aware dynamic DNN inference service migration with downtime in mobile edge computing,Journal of Systems Architecture,13837621,,,130,,2022-09-01,September 2022,0,Journal,ar,Article,12398,0,False,Wang P.,10.1016/j.sysarc.2022.102664,S1383762122001771,"[{'@_fa': 'true', 'affilname': 'Sun Yat-Sen University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",102664,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134596053', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134596053?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134596053&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134596053&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0968090X22002170'}",https://api.elsevier.com/content/abstract/scopus_id/85134596053,SCOPUS_ID:85134596053,2-s2.0-85134596053,Effectiveness of trip planner data in predicting short-term bus ridership,Transportation Research Part C: Emerging Technologies,0968090X,,,142,,2022-09-01,September 2022,0,Journal,ar,Article,20893,1,True,Wang Z.,10.1016/j.trc.2022.103790,S0968090X22002170,"[{'@_fa': 'true', 'affilname': 'Department of Transport &amp; Planning, TU Delft', 'affiliation-city': 'Delft', 'affiliation-country': 'Netherlands'}]",103790,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85132442768', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85132442768?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132442768&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132442768&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S004016252200302X'}",https://api.elsevier.com/content/abstract/scopus_id/85132442768,SCOPUS_ID:85132442768,2-s2.0-85132442768,A metaverse assessment model for sustainable transportation using ordinal priority approach and Aczel-Alsina norms,Technological Forecasting and Social Change,00401625,,,182,,2022-09-01,September 2022,0,Journal,ar,Article,14704,0,False,Pamucar D.,10.1016/j.techfore.2022.121778,S004016252200302X,"[{'@_fa': 'true', 'affilname': 'University of Defense in Belgrade', 'affiliation-city': 'Belgrade', 'affiliation-country': 'Serbia'}]",121778,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85129734933', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85129734933?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129734933&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129734933&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167739X22001200'}",https://api.elsevier.com/content/abstract/scopus_id/85129734933,SCOPUS_ID:85129734933,2-s2.0-85129734933,Towards automatic model specialization for edge video analytics,Future Generation Computer Systems,0167739X,,,134,399-413,2022-09-01,September 2022,0,Journal,ar,Article,12264,0,False,Rivas D.,10.1016/j.future.2022.03.039,S0167739X22001200,"[{'@_fa': 'true', 'affilname': 'Centro Nacional de Supercomputación', 'affiliation-city': 'Barcelona', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'Universitat Politècnica de Catalunya', 'affiliation-city': 'Barcelona', 'affiliation-country': 'Spain'}]",,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134876605', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134876605?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134876605&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134876605&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85134876605,SCOPUS_ID:85134876605,2-s2.0-85134876605,Unsupervised Dynamic Sensor Selection for IoT-Based Predictive Maintenance of a Fleet of Public Transport Buses,ACM Transactions on Internet of Things,25776207,,,3,,2022-08-01,August 2022,0,Journal,ar,Article,21101083126,1,True,Killeen P.,10.1145/3530991,,"[{'@_fa': 'true', 'affilname': 'University of Ottawa', 'affiliation-city': 'Ottawa', 'affiliation-country': 'Canada'}]",3530991,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",3,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85134302793', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85134302793?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134302793&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134302793&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1532046422001484'}",https://api.elsevier.com/content/abstract/scopus_id/85134302793,SCOPUS_ID:85134302793,2-s2.0-85134302793,"A deep learning approach for Spatio-Temporal forecasting of new cases and new hospital admissions of COVID-19 spread in Reggio Emilia, Northern Italy",Journal of Biomedical Informatics,15320464,,,132,,2022-08-01,August 2022,0,Journal,ar,Article,23706,0,False,Sciannameo V.,10.1016/j.jbi.2022.104132,S1532046422001484,"[{'@_fa': 'true', 'affilname': 'Università degli Studi di Padova', 'affiliation-city': 'Padua', 'affiliation-country': 'Italy'}]",104132,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,35835438
