contentType,identifier,title,publicationName,doi,publisher,publicationDate,abstract,url,database,query_name,query_value
Chapter ConferencePaper,doi:10.1007/978-981-19-2394-4_5,Different Applications and Technologies of Internet of Things (IoT),Proceedings of Seventh International Congress on Information and Communication Technology,10.1007/978-981-19-2394-4_5,Springer,2023-01-01,"Internet of things (IoT) has significantly altered the traditional lifestyle to a highly technologically advanced society. Some of the significant transformations that have been achieved through IoT are smart homes, smart transportation, smart city, and control of pollution. A considerable number of studies have been conducted and continues to be done to increase the use of technology through IoT. Furthermore, the research about IoT has not been done fully in improving the application of technology through IoT. Besides, IoT experiences several problems that need to be considered in order to get the full capability of IoT in changing society. This research paper addresses the key applications of IoT, the architecture of IoT, and the key issues affecting IoT. In addition, the paper highlights how big data analytics is essential in improving the effectiveness of IoT in various applications within society.",http://dx.doi.org/10.1007/978-981-19-2394-4_5,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1906-0_19,A Review on Parameters that Impact IoT Application—An Experimental Evaluation,"Microelectronics, Communication Systems, Machine Learning and Internet of Things",10.1007/978-981-19-1906-0_19,Springer,2023-01-01,"With the advent of the Internet of Things (IoT), diverse long-range, low-power, and low-bit-rate wireless network technologies have gained impetus. The success is, however, based on the capabilities of the underlying internetwork of “things.” Our article focuses on a generic perspective of how scalability issues impact communications among IoT. We present a detailed analysis of the impacts of sensing range and environmental factors that affect the network performance. The simulations provide a realistic outlay to estimate the dependency of factors that can be controlled for expected IoT network performance and for deciding on configuring and reconfiguring IoT scenarios.",http://dx.doi.org/10.1007/978-981-19-1906-0_19,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter,doi:10.1007/978-3-031-06829-4_2,The Application of Blockchain of Things (BCoT) in the Construction Industry,Blockchain of Things and Deep Learning Applications in Construction,10.1007/978-3-031-06829-4_2,Springer,2023-01-01,"Various applications integrating blockchain with the Internet of Things (IoT) have emerged in recent years. While industries such as automotive have embraced this integration, application in other areas such as construction remains limited. The scientometric analysis is applied to 648 papers, identifying the use of IoT and blockchain in engineering and evaluating the progress of research in the construction industry. The qualitative critical review is applied to 88 papers and analyses successful IoT and blockchain application cases in construction while highlighting challenges and limitations. Blockchain of Things (BCoT) was introduced to exploit the advantages of IoT and Blockchain as a new concept. This chapter presents the potential uses of BCoT in the construction industry. This chapter provides researchers with a comprehensive view of related literature and gaps and indicates future research.",http://dx.doi.org/10.1007/978-3-031-06829-4_2,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1142-2_51,Sentiment Analysis of Twitter Data Using Clustering and Classification,"Proceedings of Third International Conference on Computing, Communications, and Cyber-Security",10.1007/978-981-19-1142-2_51,Springer,2023-01-01,"Data mining helps in collecting and managing data besides performing analysis and prediction analysis. The process that is implemented to discover useful data patterns may have different names. Statisticians, database researchers, and professional organizations were among the first to use term data mining. The fundamental steps for sarcasm detection are dataset collection, feature extraction, and classification. This work puts forward a new model of sarcasm detection formed by fusing K-mean, PCA, and SVM classifiers together. With respect to common evaluation metrics like accuracy, precision, and recall, the architecture designed for this work is especially productive.",http://dx.doi.org/10.1007/978-981-19-1142-2_51,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-3-030-94285-4_2,On-Phone CNN Model-Based Implicit Authentication to Secure IoT Wearables,The Fifth International Conference on Safety and Security with IoT,10.1007/978-3-030-94285-4_2,Springer,2023-01-01,"The connectivity of smart technologies, such as smartphones and smart wearables, is ever-increasing with the emergence of the internet of things (IoT). This technological advancement makes it possible to serve emerging applications, such as financial transactions, healthcare check-ups, and property access, easily through smart wearables, such as Apple Watch. This also presents a new vulnerability as hackers have more opportunities to attack users via the wearables. As the current knowledge-based wearable authentication schemes, such as passwords, PINs, or pattern locks, are overwhelming for users, we need an authentication system that can validate a user implicitly, i.e., without the need for active user interaction. In this work, we present an authentication system for the wearables leveraging the sensing and computation power of smartphones and IoT connectivity. We develop a smartphone application ( TFL Auth app) using the TensorFlow Lite framework and an on-phone convolutional neural network (CNN) model that listens to a user’s breathing patterns through the microphone and verifies the user’s identity in real-time before sending the acceptance/rejection notification to a paired wearable that we want to secure. From a detailed analysis, we are able to achieve an average accuracy of 0.92 ± 0.01 using the Mel-frequency cepstral coefficients.",http://dx.doi.org/10.1007/978-3-030-94285-4_2,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-0095-2_60,Automatic Waste Segregation System: An IOT Approach,Information and Communication Technology for Competitive Strategies (ICTCS 2021),10.1007/978-981-19-0095-2_60,Springer,2023-01-01,"Effective waste management and disposal are major issues in today’s world, especially in countries like India where a majority of individuals do not use separate trash bins for recyclable and non-recyclable waste. This is a major cause of pollution and diseases in the country. However, separating them manually is a tedious process and also not efficient. Improper segregation results in pollution and affects the environment. We have developed an automated trash bin which autonomously classifies and segregates wastes as biodegradable and non-biodegradable and places them in the respective bin. We have achieved the same using IOT by passing the image data to the cloud to perform analytics and return the classified output to the controller of the bin and trigger it to place the waste in the correct container. We also send the usage data to the cloud to perform analytics about the bin usage and deploy it in a Web app to report the live status.",http://dx.doi.org/10.1007/978-981-19-0095-2_60,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Chapter ConferencePaper,doi:10.1007/978-981-19-1844-5_59,Wireless Sensor Networks (WSNs) in Air Pollution Monitoring: A Review,Intelligent Communication Technologies and Virtual Mobile Networks,10.1007/978-981-19-1844-5_59,Springer,2023-01-01,Air pollution is the major concern in urban areas due to the impacts of air pollution on health and environment. A number of studies reveal the importance to be aware of air pollution and air pollution monitoring systems. This paper is a review article based on different methods implemented by the researchers to know about the concentration levels of particles and gases in air. The paper focuses on the different networks that are used for the pollution monitoring system and how they work effectively.,http://dx.doi.org/10.1007/978-981-19-1844-5_59,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s41403-022-00338-y,Passenger Surveillance Using Deep Learning in Post-COVID-19 Intelligent Transportation System,Transactions of the Indian National Academy of Engineering,10.1007/s41403-022-00338-y,Springer,2022-09-01,"Intelligent Transport System should be renovated in many aspects in post-pandemic situation like COVID-19. The passenger-count inside a car will be restricted based on the vehicle capacity and the COVID-19 hot-spot zone. Traffic rules will be impacted to align with a similar contagious outbreak. The on-road ‘Yellow-Vulture’ cameras need to incorporate such surveillance rules to monitor related anomalies for preventing contamination. To maintain safe-distance, an automatic surveillance system will be preferred by the Government very soon. Moreover, facial mask usage during the journey has become an essential habit to stop the spread of the infection. In this article, we have proposed a deep-Learning based framework that employs an augmented image data set to provide proper surveillance in the transport system to maintain the health protocols. Fast and accurate detection of the number of passengers inside a car and their face masks from the traffic inspection camera feed has been demonstrated. We have exploited the advantages of the popular Transfer Learning approach with novel variations of images while performing the training. To the best of our knowledge, this is the first attempt to watch over in-vehicle social-distancing in post-pandemic circumstances through deep-Learning based image analysis. The superiority of the proposed framework has been established over several state-of-the-art techniques using different numerical metrics and visual comparisons along with a support of statistical hypothesis test. Our technique has achieved $$98.5\%$$ 98.5 % testing accuracy in various adverse conditions. Zero-shot evaluation has been explored for the Real-Time-Medical-Mask-Detection data set Wang et al. (Real-Time-Medical-Mask-Detection, 2020a https://github.com/TheSSJ2612/Real-Time-Medical-Mask-Detection/ , Accessed 14 Nov 2020), where we have attained $$96.4\%$$ 96.4 % accuracy that manifests the generalization of the network.",http://dx.doi.org/10.1007/s41403-022-00338-y,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10586-022-03669-1,Towards a secure and dependable IoT data monetization using blockchain and fog computing,Cluster Computing,10.1007/s10586-022-03669-1,Springer,2022-08-03,"Massive internet of things (IoT) data generated by IoT edge devices are shaping the data economy. Monetizing the stream of IoT data has enabled the development of IoT data trading systems, which allow individuals to sell and exchange data. This article presents a blockchain-based system for IoT data trading using fog computing. We propose crowdsourcing fog nodes on the edge network to communicate and collect data from IoT edge device owners. This paper focuses on developing a secure and dependable blockchain-based system that allows data providers and consumers to engage in data trading process. Through experimental results, we evaluate the performance of the proposed model with respect to transaction throughput, latency, and resource consumption metrics under varied scenarios and parameters using Hyperledger blockchain.",http://dx.doi.org/10.1007/s10586-022-03669-1,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
Article,doi:10.1007/s10586-022-03677-1,An adaptive and secure routes migration model for the sustainable cloud of things,Cluster Computing,10.1007/s10586-022-03677-1,Springer,2022-08-03,"Software-defined networks (SDN) have gained a lot of attention in recent years as a technique to develop smart systems with a help of the Internet of Things (IoT). Its powerful and centralized architecture makes a balanced contribution to the management of sustainable applications through efficient processes. These networks also systematically keep track of mobile devices and decrease the extra overheads in the communication cost. Many solutions are proposed to cope with data transferring for the critical system, however, mobile devices, on the other hand, require long-distance communication links with minimal retransmissions. Furthermore, the mobile network is highly infected by security attacks and compromised the IoT architecture for both the intermediate layers and end-users. Therefore, this paper presents an adaptive routes migration model for sustainable applications with the collaboration of SDN architecture and limits the disconnectivity time in data transporting along with efficient management of network services. Moreover, its centralized controller fetches the updated information from low-level smart devices and supervised their monitoring efficiently. The proposed model also secures the cloud of things (CoTs) from network threats and protects private data. It provides three levels of security algorithms and supports adaptive computing systems. The proposed model was tested using simulations, and the findings showed that it outperformed other existing studies in terms of packet delivery ratio by 13%, packet loss rate by 15%, transmission error by 22%, computing cost by 17%, and latency by 18%.",http://dx.doi.org/10.1007/s10586-022-03677-1,springer,smart cities,'smart cities' AND 'machine learning' AND ('real-world' AND 'deploy')
